,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2014-07,332.00M,,,138.00M,138.00M,-22.00M,,,28.00M,-1.00M,-59.00M,,-39.00M,48.00M,33.00M,,25.00M,67.00M,483.00M,-166.00M,121.00M,-45.00M,,,0.00,-45.00M,,,,,-378.00M,-378.00M,-96.00M,-96.00M,10.00M,1.00M,-463.00M,1.544B,-25.00M,-1.00M,1.518B,,,,-378.00M,331.00M,1.00M
2014-04,260.00M,,,133.00M,133.00M,30.00M,,,25.00M,-24.00M,-13.00M,,21.00M,-202.00M,173.00M,,110.00M,102.00M,513.00M,-162.00M,,-162.00M,,,-1.00M,-163.00M,,,,,-230.00M,-230.00M,-98.00M,-98.00M,33.00M,-23.00M,-318.00M,1.51B,32.00M,2.00M,1.544B,,,,-230.00M,54.00M,38.00M
2014-01,307.00M,,,138.00M,138.00M,38.00M,,,30.00M,-1.00M,-40.00M,,530.00M,-297.00M,6.00M,,41.00M,280.00M,752.00M,-183.00M,0.00,-183.00M,,0.00,-2.00M,-185.00M,,,,,-104.00M,-104.00M,-89.00M,-89.00M,52.00M,-44.00M,-41.00M,996.00M,526.00M,-12.00M,1.51B,,,,-104.00M,218.00M,1.00M
2013-10,337.00M,,,131.00M,131.00M,9.00M,,,26.00M,-7.00M,-35.00M,,-633.00M,334.00M,-92.00M,,26.00M,-365.00M,96.00M,-172.00M,0.00,-172.00M,,0.00,2.00M,-170.00M,,,,,-790.00M,-790.00M,-92.00M,-92.00M,17.00M,7.00M,-858.00M,1.925B,-932.00M,3.00M,996.00M,,,,-790.00M,197.00M,37.00M
2013-07,303.00M,,,133.00M,133.00M,17.00M,,,29.00M,-20.00M,-32.00M,,-118.00M,192.00M,-23.00M,,20.00M,71.00M,501.00M,-164.00M,0.00,-164.00M,,0.00,-1.00M,-165.00M,,,,,-27.00M,-27.00M,-70.00M,-70.00M,58.00M,20.00M,-19.00M,1.61B,317.00M,-2.00M,1.925B,,,,-27.00M,271.00M,1.00M
2013-04,333.00M,,,134.00M,134.00M,55.00M,,,31.00M,-28.00M,-19.00M,,28.00M,-203.00M,65.00M,,-40.00M,-150.00M,356.00M,-151.00M,,-151.00M,,50.00M,-3.00M,-104.00M,,,,,-58.00M,-58.00M,-70.00M,-70.00M,15.00M,27.00M,-86.00M,1.46B,166.00M,-16.00M,1.61B,,,,-58.00M,119.00M,38.00M
2013-01,351.00M,,,138.00M,138.00M,-21.00M,,,26.00M,-2.00M,-11.00M,,512.00M,-274.00M,-30.00M,,22.00M,230.00M,711.00M,-210.00M,,-210.00M,,0.00,6.00M,-333.00M,0.00,-2.00M,-2.00M,,-563.00M,-563.00M,-58.00M,-58.00M,15.00M,2.00M,-606.00M,1.72B,-228.00M,-32.00M,1.46B,,,-2.00M,-563.00M,137.00M,2.00M
2012-10,308.00M,,,136.00M,136.00M,-1.00M,,,34.00M,-15.00M,-16.00M,,-599.00M,455.00M,-74.00M,,27.00M,-191.00M,255.00M,-152.00M,,-152.00M,,25.00M,-6.00M,-133.00M,-360.00M,-6.00M,-366.00M,,-98.00M,-98.00M,-61.00M,-61.00M,68.00M,15.00M,-442.00M,2.039B,-320.00M,1.00M,1.72B,,,-366.00M,-98.00M,157.00M,39.00M
2012-07,243.00M,,,141.00M,141.00M,-7.00M,,,23.00M,-2.00M,-16.00M,,-80.00M,159.00M,99.00M,,46.00M,224.00M,606.00M,-149.00M,,-149.00M,,0.00,2.00M,-147.00M,0.00,-11.00M,-11.00M,,-347.00M,-347.00M,-60.00M,-60.00M,25.00M,2.00M,-391.00M,1.972B,68.00M,-1.00M,2.039B,,,-11.00M,-347.00M,253.00M,2.00M
2012-04,233.00M,,,144.00M,144.00M,25.00M,,,30.00M,-15.00M,-22.00M,,24.00M,-35.00M,-39.00M,,19.00M,-31.00M,364.00M,-148.00M,,-148.00M,,-75.00M,-8.00M,-231.00M,-40.00M,,-40.00M,,-22.00M,-22.00M,-61.00M,-61.00M,66.00M,15.00M,-42.00M,1.885B,91.00M,-4.00M,1.972B,,,-40.00M,-22.00M,35.00M,40.00M
2012-01,218.00M,,,148.00M,148.00M,-93.00M,,,8.00M,-2.00M,-1.00M,,698.00M,-275.00M,-23.00M,,47.00M,447.00M,725.00M,-132.00M,,-132.00M,,25.00M,-2.00M,-109.00M,0.00,7.00M,7.00M,,-79.00M,-79.00M,-55.00M,-55.00M,7.00M,2.00M,-118.00M,1.392B,498.00M,-5.00M,1.885B,,7.00M,0.00,-79.00M,105.00M,3.00M
2011-10,193.00M,,,148.00M,148.00M,31.00M,,,16.00M,0.00,-3.00M,,-579.00M,328.00M,-80.00M,,25.00M,-306.00M,79.00M,-155.00M,,-155.00M,,50.00M,-1.00M,-106.00M,0.00,9.00M,9.00M,,-653.00M,-653.00M,-55.00M,-55.00M,15.00M,,-684.00M,2.104B,-711.00M,-1.00M,1.392B,,9.00M,0.00,-653.00M,108.00M,40.00M
2011-07,189.00M,,,145.00M,145.00M,50.00M,,,17.00M,-1.00M,-2.00M,,-35.00M,-101.00M,44.00M,,22.00M,-70.00M,328.00M,-134.00M,,-134.00M,,-25.00M,-1.00M,-160.00M,400.00M,0.00,400.00M,,-842.00M,-842.00M,-60.00M,-60.00M,12.00M,1.00M,-489.00M,2.417B,-321.00M,8.00M,2.104B,,400.00M,0.00,-842.00M,292.00M,1.00M
2011-04,233.00M,,,151.00M,151.00M,11.00M,,,17.00M,-10.00M,-6.00M,,-80.00M,-77.00M,-42.00M,,34.00M,-165.00M,231.00M,-127.00M,,-127.00M,,50.00M,-2.00M,-79.00M,1.246B,,1.246B,,-518.00M,-518.00M,-66.00M,-66.00M,28.00M,-1.00M,689.00M,1.561B,841.00M,15.00M,2.417B,,1.246B,0.00,-518.00M,94.00M,1.00M
2011-01,,,,156.00M,156.00M,106.00M,63.00M,,16.00M,-2.00M,-914.00M,,539.00M,-304.00M,,,31.00M,179.00M,808.00M,-144.00M,,-144.00M,,150.00M,0.00,6.00M,0.00,0.00,0.00,,-607.00M,-607.00M,,-60.00M,8.00M,2.00M,-657.00M,1.403B,157.00M,1.00M,1.561B,,3.00M,,-607.00M,677.00M,1.00M
2010-10,,,,160.00M,160.00M,43.00M,-20.00M,,16.00M,0.00,313.00M,,-516.00M,401.00M,,,-1.00M,-116.00M,396.00M,-165.00M,,-165.00M,,100.00M,8.00M,-57.00M,0.00,3.00M,3.00M,,-254.00M,-254.00M,,-62.00M,8.00M,0.00,-305.00M,1.353B,34.00M,16.00M,1.403B,,3.00M,,-254.00M,-440.00M,-1.00M
2010-07,,,,166.00M,166.00M,-31.00M,-24.00M,,18.00M,-1.00M,248.00M,,-92.00M,-147.00M,,,74.00M,-165.00M,211.00M,-141.00M,,-141.00M,,75.00M,-7.00M,-73.00M,0.00,,0.00,,-799.00M,-799.00M,,-63.00M,9.00M,1.00M,-852.00M,2.056B,-714.00M,11.00M,1.353B,,0.00,,-799.00M,384.00M,1.00M
2010-04,,,,166.00M,166.00M,-14.00M,-19.00M,,27.00M,-8.00M,322.00M,,-58.00M,-32.00M,,,-55.00M,-145.00M,329.00M,-107.00M,,-107.00M,,-200.00M,2.00M,-305.00M,0.00,,0.00,,-299.00M,-299.00M,,-67.00M,45.00M,8.00M,-313.00M,2.348B,-289.00M,-3.00M,2.056B,,0.00,,-299.00M,56.00M,0.00
2010-01,352.00M,,,164.00M,164.00M,-51.00M,-22.00M,,16.00M,-1.00M,80.00M,,521.00M,-269.00M,,,-14.00M,238.00M,776.00M,-113.00M,,-112.00M,,0.00,2.00M,-110.00M,0.00,0.00,0.00,,-441.00M,-441.00M,,-56.00M,,-46.00M,-487.00M,2.173B,179.00M,-4.00M,2.348B,,0.00,0.00,-441.00M,210.00M,1.00M
2009-10,307.00M,,,168.00M,168.00M,1.00M,-21.00M,,23.00M,-3.00M,-42.00M,,-523.00M,463.00M,,,59.00M,-1.00M,432.00M,-90.00M,,-90.00M,,-125.00M,1.00M,-214.00M,-18.00M,0.00,-18.00M,,-61.00M,-61.00M,,-60.00M,,58.00M,-81.00M,2.031B,137.00M,5.00M,2.173B,,-18.00M,0.00,-61.00M,166.00M,0.00
2009-07,228.00M,,,161.00M,161.00M,2.00M,-20.00M,,13.00M,,-8.00M,,-65.00M,120.00M,,,87.00M,142.00M,518.00M,-68.00M,,-68.00M,,-100.00M,0.00,-168.00M,18.00M,,18.00M,,0.00,0.00,,-59.00M,,-8.00M,-49.00M,1.708B,301.00M,22.00M,2.031B,,18.00M,0.00,0.00,249.00M,1.00M
2009-04,215.00M,,,162.00M,162.00M,-2.00M,-19.00M,,12.00M,0.00,-16.00M,,110.00M,-233.00M,,,-27.00M,-150.00M,202.00M,-63.00M,,-63.00M,,0.00,18.00M,-45.00M,-50.00M,,-50.00M,,-45.00M,-45.00M,,-59.00M,,,-154.00M,1.715B,3.00M,-10.00M,1.708B,,,-50.00M,-45.00M,77.00M,1.00M
2009-01,378.00M,,,233.00M,233.00M,-74.00M,,,64.00M,-4.00M,-151.00M,,710.00M,-432.00M,138.00M,238.00M,-6.00M,648.00M,1.094B,-19.00M,,-18.00M,141.00M,-327.00M,20.00M,-184.00M,-50.00M,,-50.00M,-69.00M,46.00M,-23.00M,,-51.00M,56.00M,-2.00M,-70.00M,1.48B,840.00M,37.00M,2.348B,-69.00M,,-50.00M,46.00M,702.00M,3.00M
2008-10,246.00M,,,99.00M,99.00M,24.00M,42.00M,,-30.00M,3.00M,55.00M,,-539.00M,623.00M,-55.00M,-238.00M,42.00M,-167.00M,272.00M,-107.00M,,-107.00M,-141.00M,0.00,-4.00M,-252.00M,,,,69.00M,-93.00M,-24.00M,,-60.00M,-44.00M,3.00M,-125.00M,1.606B,-105.00M,-21.00M,1.48B,69.00M,,,-93.00M,-402.00M,-9.00M
2008-07,229.00M,,,184.00M,184.00M,16.00M,-42.00M,,17.00M,0.00,8.00M,,-147.00M,60.00M,,,61.00M,-26.00M,386.00M,-94.00M,,-94.00M,,-75.00M,3.00M,-166.00M,0.00,,0.00,,-304.00M,-304.00M,,-61.00M,44.00M,-36.00M,-357.00M,1.744B,-137.00M,-1.00M,1.606B,,,0.00,-304.00M,343.00M,8.00M
2008-04,249.00M,,,139.00M,139.00M,-18.00M,,,13.00M,-3.00M,22.00M,,19.00M,-170.00M,,,-75.00M,-226.00M,176.00M,-114.00M,,-114.00M,,177.00M,2.00M,65.00M,0.00,,0.00,,-196.00M,-196.00M,,-62.00M,,39.00M,-219.00M,1.724B,22.00M,-2.00M,1.744B,,,0.00,-196.00M,59.00M,1.00M
2008-01,265.00M,,,140.00M,140.00M,98.00M,,,,,31.00M,,897.00M,-325.00M,,-16.00M,-30.00M,544.00M,1.078B,-163.00M,0.00,-163.00M,,-12.00M,6.00M,-169.00M,,,0.00,-86.00M,-650.00M,-736.00M,,-60.00M,,128.00M,-668.00M,1.491B,241.00M,-8.00M,1.724B,-86.00M,,,-650.00M,,
2007-10,237.00M,,,140.00M,140.00M,-3.00M,,,,,9.00M,,-488.00M,337.00M,,135.00M,-33.00M,-49.00M,334.00M,-197.00M,11.00M,-186.00M,,322.00M,-2.00M,134.00M,,,-326.00M,32.00M,-850.00M,-818.00M,,-62.00M,,1.00M,-1.205B,2.209B,-737.00M,19.00M,1.491B,32.00M,,,-850.00M,,
2007-07,153.00M,,,133.00M,133.00M,-23.00M,,,,,23.00M,,-148.00M,248.00M,,-135.00M,137.00M,102.00M,388.00M,-200.00M,,-200.00M,,35.00M,-7.00M,-172.00M,,,,24.00M,-200.00M,-176.00M,,-65.00M,,1.00M,-240.00M,2.222B,-24.00M,11.00M,2.209B,24.00M,,,-200.00M,,
2007-04,178.00M,,,134.00M,134.00M,-123.00M,,,,,44.00M,,-9.00M,-61.00M,,44.00M,74.00M,48.00M,281.00M,-122.00M,,-122.00M,,48.00M,7.00M,-67.00M,,,,30.00M,,30.00M,,-65.00M,,2.00M,-33.00M,2.03B,181.00M,11.00M,2.222B,30.00M,,,,,
2007-01,219.00M,,,126.00M,126.00M,34.00M,,,,,40.00M,,816.00M,-485.00M,,-157.00M,37.00M,211.00M,630.00M,-166.00M,0.00,-166.00M,,42.00M,24.00M,-100.00M,,,,-109.00M,-279.00M,-388.00M,,-64.00M,,209.00M,-243.00M,1.753B,287.00M,-10.00M,2.03B,-109.00M,,,-279.00M,,
2006-10,189.00M,,,129.00M,129.00M,-64.00M,,,,,4.00M,,-598.00M,198.00M,,241.00M,-12.00M,-171.00M,87.00M,-173.00M,22.00M,-151.00M,,135.00M,0.00,-16.00M,,,,53.00M,-284.00M,-231.00M,,-66.00M,,1.00M,-296.00M,1.977B,-225.00M,1.00M,1.753B,53.00M,,,-284.00M,,
2006-07,128.00M,,-12.00M,140.00M,140.00M,12.00M,,,,,22.00M,,-112.00M,172.00M,,-239.00M,106.00M,-73.00M,217.00M,-142.00M,,-142.00M,,251.00M,-15.00M,94.00M,,,,16.00M,-105.00M,-89.00M,,-67.00M,,1.00M,-155.00M,1.822B,156.00M,-1.00M,1.977B,16.00M,,,-105.00M,,
2006-04,242.00M,,12.00M,135.00M,135.00M,-23.00M,,,,,1.00M,,-203.00M,90.00M,,128.00M,-66.00M,-51.00M,316.00M,-91.00M,,-91.00M,,-47.00M,10.00M,-128.00M,,,,40.00M,-382.00M,-342.00M,,-68.00M,,2.00M,-408.00M,2.035B,-220.00M,7.00M,1.822B,40.00M,,,-382.00M,,
2006-01,338.00M,,-28.00M,201.00M,201.00M,40.00M,,,,,25.00M,,851.00M,-232.00M,90.00M,42.00M,,647.00M,1.223B,-152.00M,6.00M,-146.00M,,-109.00M,11.00M,-244.00M,,,,20.00M,-298.00M,-278.00M,,-38.00M,,,-316.00M,1.372B,663.00M,0.00,2.035B,20.00M,,,-298.00M,,
2005-10,212.00M,,,151.00M,151.00M,-23.00M,,,,,13.00M,,-465.00M,136.00M,-90.00M,139.00M,-41.00M,-321.00M,32.00M,-173.00M,21.00M,-152.00M,,386.00M,53.00M,287.00M,,,,15.00M,-189.00M,-174.00M,,-39.00M,,,-213.00M,1.263B,106.00M,3.00M,1.372B,15.00M,,,-189.00M,,
2005-07,272.00M,,-4.00M,127.00M,127.00M,-28.00M,,,,,-38.00M,,-166.00M,-43.00M,99.00M,-189.00M,41.00M,-258.00M,71.00M,-163.00M,,-163.00M,,82.00M,914.00M,833.00M,,,,51.00M,-996.00M,-945.00M,,-40.00M,,,-985.00M,1.354B,-81.00M,-10.00M,1.263B,51.00M,,,-996.00M,,
2005-04,291.00M,,4.00M,146.00M,146.00M,-35.00M,,,,,,,-106.00M,37.00M,-99.00M,-13.00M,,-181.00M,225.00M,-112.00M,,-112.00M,,-482.00M,4.00M,-590.00M,,,,24.00M,-488.00M,-464.00M,,-62.00M,,,-526.00M,2.245B,-891.00M,,1.354B,24.00M,,,-488.00M,,
2005-01,378.00M,,57.00M,158.00M,158.00M,-42.00M,,,,,-38.00M,,820.00M,-147.00M,39.00M,-60.00M,,634.00M,1.147B,-125.00M,,-125.00M,,-300.00M,4.00M,-421.00M,,,0.00,27.00M,-703.00M,-676.00M,,-19.00M,,,-695.00M,2.214B,31.00M,,2.245B,27.00M,,,-703.00M,,
