,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2015-12,1.276B,,1.276B,572.70M,,283.80M,1.10B,136.60M,435.90M,991.00M,,1.564B,123.10M,,,80.50M,4.143B,3.330B,222.30M,2.100B,6.633B,,1.475B,13.76B,-5.039B,8.721B,1.595B,,1.595B,980.50M,1.257B,13.25B,17.39B,,2015-12,520.60M,104.40M,,481.70M,1.107B,660.00M,1.767B,91.90M,,67.20M,,67.20M,121.20M,121.20M,,,2.047B,,3.770B,977.40M,,977.40M,211.30M,5.778B,7.824B,,2015-12,3.50M,11.01B,6.40M,,,-1.493B,9.532B,,2015-12,AOR,Restated
2015-09,1.285B,,1.285B,675.10M,,232.60M,1.093B,131.30M,443.80M,974.40M,,1.550B,70.90M,,175.00M,89.80M,4.263B,,,,,,,13.67B,-4.941B,8.734B,1.625B,,1.625B,876.10M,1.196B,12.85B,17.12B,,2015-09,657.00M,,35.90M,257.90M,950.80M,630.90M,1.582B,104.30M,,60.20M,,60.20M,125.30M,125.30M,0.00,,1.872B,,3.738B,895.30M,,895.30M,204.10M,5.619B,7.491B,,2015-09,3.60M,11.06B,0.90M,,,-1.449B,9.614B,,2015-09,AOR,Restated
2015-06,2.210B,,2.210B,626.60M,,134.30M,968.40M,129.20M,443.10M,1.040B,,1.612B,86.70M,,148.20M,74.70M,5.100B,,,,,,,13.93B,-4.894B,9.041B,1.710B,,1.710B,930.50M,572.50M,12.68B,17.78B,,2015-06,858.20M,,33.60M,,891.80M,575.80M,1.468B,105.80M,,84.10M,,84.10M,225.50M,225.50M,0.00,,1.883B,,3.762B,968.80M,,968.80M,213.30M,5.742B,7.625B,,2015-06,3.60M,11.07B,9.20M,,,-941.40M,10.14B,,2015-06,AOR,Restated
2015-03,2.517B,,2.517B,661.40M,,112.80M,925.90M,148.10M,466.80M,908.10M,,1.523B,75.20M,,158.40M,51.70M,5.252B,,,,,,,13.58B,-4.68B,8.899B,1.687B,,1.687B,862.10M,548.60M,12.38B,17.63B,,2015-03,706.80M,,50.00M,,756.80M,477.20M,1.234B,115.90M,,51.40M,,51.40M,219.40M,219.40M,0.00,,1.621B,,3.775B,901.20M,,901.20M,327.70M,5.804B,7.425B,,2015-03,3.70M,11.26B,13.20M,,,-1.083B,10.19B,,2015-03,AOR,Restated
2014-12,2.375B,,2.375B,624.90M,,182.00M,1.006B,187.70M,505.10M,1.026B,,1.718B,63.80M,,,52.60M,5.216B,3.516B,233.70M,2.242B,6.661B,,1.296B,13.95B,-4.633B,9.314B,1.806B,,1.806B,849.80M,554.20M,13.07B,18.28B,,2014-12,559.60M,,48.70M,237.70M,846.00M,506.70M,1.353B,87.90M,,54.50M,,54.50M,101.60M,101.60M,,,1.597B,,3.778B,987.70M,,987.70M,350.80M,5.966B,7.562B,,2014-12,3.70M,11.17B,4.20M,,,-473.70M,10.70B,,2014-12,AOR,Restated
2014-09,2.971B,,2.971B,573.90M,,125.50M,839.40M,116.80M,488.70M,866.00M,,1.472B,107.70M,,171.80M,55.60M,5.658B,,,,,,,13.87B,-4.456B,9.414B,1.741B,,1.741B,840.00M,614.50M,12.80B,18.46B,,2014-09,762.20M,,14.50M,,776.70M,483.80M,1.260B,102.90M,,41.40M,,41.40M,125.30M,144.80M,19.50M,,1.550B,,3.774B,963.90M,,963.90M,447.50M,5.943B,7.493B,,2014-09,3.70M,11.15B,0.50M,,,-212.80M,10.94B,,2014-09,AOR,Restated
2014-06,2.367B,,2.367B,604.20M,,51.40M,800.40M,121.70M,536.30M,921.60M,,1.580B,118.60M,,161.00M,70.50M,5.188B,,,,,,,14.04B,-4.341B,9.694B,1.793B,,1.793B,720.80M,704.60M,13.11B,18.29B,,2014-06,750.20M,,,,750.20M,451.70M,1.202B,105.10M,,13.30M,,13.30M,275.40M,295.50M,20.10M,306.50M,1.922B,,3.013B,1.009B,,1.009B,325.10M,5.107B,7.029B,,2014-06,3.80M,11.07B,42.30M,,,130.60M,11.25B,,2014-06,AOR,Restated
2014-03,2.491B,,2.491B,597.40M,,45.40M,838.40M,112.30M,558.40M,935.90M,,1.607B,123.00M,,156.50M,55.40M,5.355B,,,,,,,13.69B,-4.138B,9.552B,1.765B,,1.765B,579.60M,671.50M,12.76B,18.11B,,2014-03,592.80M,,,,592.80M,460.70M,1.054B,113.20M,,41.70M,,41.70M,179.30M,199.10M,19.80M,755.80M,2.163B,,3.009B,993.20M,,993.20M,300.80M,5.098B,7.261B,,2014-03,3.90M,10.92B,32.40M,,,-120.70M,10.83B,,2014-03,AOR,Restated
2013-09,3.339B,,3.339B,478.70M,,270.20M,1.039B,95.60M,415.90M,983.50M,,1.495B,92.00M,,81.20M,13.30M,6.291B,,,,,,,12.43B,-3.917B,8.513B,1.833B,,1.833B,562.10M,244.50M,11.37B,17.66B,,2013-09,611.70M,,28.50M,,640.20M,338.30M,978.50M,95.00M,,15.30M,,15.30M,126.90M,213.50M,86.60M,,1.302B,,1.012B,960.90M,,960.90M,141.60M,2.803B,4.106B,,2013-09,4.30M,11.71B,1.508B,,,312.90M,13.53B,,2013-09,AOR,
2013-05,3.697B,,3.697B,933.90M,,223.60M,1.420B,120.20M,445.80M,991.30M,,1.557B,98.20M,,75.70M,31.80M,6.880B,2.887B,187.70M,1.959B,5.794B,,1.419B,12.25B,-3.761B,8.486B,1.845B,,1.845B,431.50M,229.90M,11.20B,18.09B,,2013-05,763.10M,,81.10M,,844.20M,437.20M,1.281B,83.50M,,69.60M,,69.60M,243.30M,330.40M,87.10M,,1.765B,,1.010B,961.40M,,961.40M,191.50M,2.878B,4.643B,,2013-05,4.30M,11.60B,1.491B,,,326.40M,13.43B,,2013-05,AOR,Restated
2013-02,3.323B,,3.323B,873.60M,,140.20M,1.157B,118.30M,395.50M,1.056B,,1.569B,132.30M,,138.40M,21.80M,6.342B,,,,,,,11.95B,-3.673B,8.272B,1.853B,,1.853B,452.30M,222.50M,10.98B,17.32B,,2013-02,740.90M,,42.70M,,783.60M,415.20M,1.199B,86.90M,,62.20M,,62.20M,125.60M,188.70M,63.10M,,1.537B,,1.010B,803.00M,,803.00M,181.10M,2.642B,4.178B,,2013-02,4.30M,11.22B,1.486B,,,410.40M,13.12B,,2013-02,AOR,
2012-11,3.421B,,3.421B,797.50M,,,971.90M,129.80M,399.00M,989.70M,,1.518B,155.10M,,237.80M,229.10M,6.533B,,,,,,,11.81B,-3.564B,8.246B,1.889B,,1.889B,441.40M,215.40M,10.91B,17.44B,,2012-11,913.70M,,,,913.70M,645.80M,1.560B,,,21.90M,,21.90M,,66.00M,66.00M,,1.647B,,1.011B,827.60M,,827.60M,208.30M,2.692B,4.340B,,2012-11,4.30M,10.99B,1.481B,,,611.10M,13.08B,,2012-11,AOR,
2012-08,3.595B,,3.595B,,,,732.00M,147.00M,377.80M,959.60M,,1.484B,,,237.80M,491.90M,6.541B,,,,,,,11.39B,-3.444B,7.944B,1.890B,,1.890B,445.20M,203.80M,10.53B,17.07B,,2012-08,801.30M,,,,801.30M,795.60M,1.597B,,,18.20M,,18.20M,,61.00M,61.00M,,1.676B,,1.011B,817.60M,,817.60M,985.70M,2.814B,4.490B,,2012-08,4.30M,10.46B,1.476B,,,617.70M,12.56B,,2012-08,AOR,
2012-05,3.811B,,3.811B,706.90M,,202.40M,1.118B,132.70M,340.10M,764.80M,,1.238B,132.10M,,237.80M,44.20M,6.581B,2.791B,188.70M,1.456B,4.873B,,1.523B,10.83B,-3.284B,7.547B,1.844B,,1.844B,454.20M,214.20M,10.11B,16.69B,,2012-05,912.40M,,78.50M,,990.90M,411.40M,1.402B,87.00M,,43.00M,,43.00M,323.00M,385.40M,62.40M,,1.918B,,1.01B,787.90M,,787.90M,319.90M,2.773B,4.691B,,2012-05,4.30M,10.14B,1.460B,,,378.00M,11.98B,,2012-05,AOR,Restated
2012-02,3.202B,,3.202B,,,,656.30M,138.70M,306.30M,882.30M,,1.327B,,,150.00M,594.90M,5.930B,,,,,,,10.58B,-3.201B,7.380B,1.874B,,1.874B,438.40M,220.00M,10.01B,15.94B,,2012-02,800.50M,,,,800.50M,657.90M,1.458B,,,82.70M,,82.70M,,73.70M,73.70M,,1.615B,,1.011B,611.20M,,611.20M,869.80M,2.492B,4.106B,,2012-02,4.30M,9.687B,1.455B,,,664.20M,11.81B,,2012-02,AOR,Restated
2011-11,3.628B,,3.628B,,,,919.20M,134.60M,327.30M,744.80M,,1.207B,,,188.20M,417.70M,6.359B,,,,,,,10.13B,-3.150B,6.975B,1.830B,,1.830B,439.30M,192.70M,9.443B,15.80B,,2011-11,853.60M,,42.90M,,896.50M,,896.50M,92.80M,,541.80M,,541.80M,102.50M,170.70M,68.20M,283.00M,2.099B,,1.009B,589.40M,,589.40M,208.30M,2.383B,4.482B,,2011-11,4.30M,9.436B,1.452B,,,408.10M,11.30B,,2011-11,AOR,Restated
2011-08,4.038B,,4.038B,,,,784.60M,129.10M,275.30M,997.60M,,1.402B,,,223.50M,309.70M,6.758B,,,,,,,9.978B,-3.087B,6.891B,1.896B,,1.896B,433.10M,198.60M,9.423B,16.18B,,2011-08,903.10M,,,,903.10M,723.00M,1.626B,,,87.70M,,87.70M,,70.10M,70.10M,,1.784B,,737.40M,579.70M,,579.70M,841.10M,2.158B,3.942B,,2011-08,4.50M,8.834B,2.610B,,,769.20M,12.22B,,2011-08,AOR,Restated
2011-05,3.906B,,3.906B,926.00M,,,986.40M,129.20M,284.30M,852.90M,,1.266B,157.40M,,277.80M,90.50M,6.685B,2.861B,176.40M,1.084B,4.266B,,1.224B,9.612B,-2.976B,6.636B,1.830B,,1.830B,434.30M,195.50M,9.102B,15.79B,,2011-05,941.10M,,132.60M,,1.074B,260.90M,1.335B,90.60M,,71.60M,,71.60M,243.20M,315.40M,72.20M,,1.928B,,761.30M,580.10M,,580.10M,255.50M,2.196B,4.125B,,2011-05,4.50M,8.331B,2.596B,,,710.20M,11.64B,,2011-05,AOR,Restated
2011-02,3.352B,0.00,3.352B,777.90M,,,798.40M,117.80M,264.40M,751.40M,,1.134B,,,111.30M,298.20M,5.694B,,,,,,,9.207B,-2.877B,6.330B,1.829B,,1.829B,438.90M,171.80M,9.006B,14.70B,,2011-02,670.10M,,32.00M,,702.10M,660.60M,1.363B,,,124.50M,,124.50M,,47.30M,,,1.534B,,762.20M,514.10M,,514.10M,878.70M,2.155B,3.690B,,2011-02,4.50M,7.704B,2.572B,,,702.70M,10.98B,,2011-02,AOR,Restated
2010-11,3.659B,54.40M,3.714B,651.00M,,,671.60M,104.60M,215.70M,496.60M,,816.90M,,,111.80M,210.20M,5.524B,,,,,,,8.728B,-2.759B,5.969B,1.794B,,1.794B,442.00M,180.10M,8.675B,14.20B,,2010-11,532.50M,,,,539.30M,663.60M,1.203B,,,520.80M,,520.80M,,46.30M,46.30M,,1.77B,,788.40M,501.10M,,501.10M,869.10M,2.159B,3.929B,,2010-11,4.50M,7.184B,2.556B,,,496.70M,10.24B,,2010-11,AOR,Restated
2010-08,2.363B,392.50M,2.755B,553.90M,,,572.10M,108.50M,233.30M,703.50M,,1.045B,,,128.70M,253.50M,4.755B,,,,,,,8.292B,-2.634B,5.658B,1.758B,,1.758B,442.80M,164.40M,8.317B,13.07B,,2010-08,552.10M,,16.20M,,575.30M,681.00M,1.256B,,,88.50M,,88.50M,,34.30M,,,1.379B,,1.244B,481.30M,,481.30M,908.70M,2.634B,4.013B,,2010-08,4.50M,6.181B,2.536B,,,309.10M,9.031B,,2010-08,AOR,Restated
2010-05,2.523B,399.60M,2.923B,699.90M,,,705.90M,133.40M,295.50M,573.40M,,1.002B,,,115.70M,228.30M,4.975B,2.593B,165.10M,861.60M,3.598B,,790.70M,8.008B,-2.543B,5.466B,1.763B,,1.763B,54.70M,143.50M,7.733B,12.71B,,2010-05,552.50M,,63.70M,,630.40M,3.00M,633.40M,83.10M,,98.30M,,98.30M,65.90M,99.30M,33.40M,293.60M,1.304B,,1.246B,583.40M,37.80M,621.20M,141.40M,2.655B,3.959B,,2010-05,4.50M,5.905B,2.523B,,,289.40M,8.722B,,2010-05,AOR,Restated
2010-02,2.292B,400.50M,2.692B,,,,595.00M,108.40M,274.30M,556.80M,0.10M,939.60M,,,186.20M,378.20M,4.791B,2.692B,164.60M,713.80M,3.388B,,750.90M,7.709B,-2.456B,5.253B,1.765B,,1.765B,54.10M,168.00M,7.487B,12.28B,,2010-02,475.10M,,0.00,,475.10M,584.80M,1.060B,,,112.80M,,112.80M,,53.90M,53.90M,,1.227B,,1.246B,476.40M,,476.40M,837.00M,2.559B,3.786B,,2010-02,4.50M,5.532B,2.518B,,,411.00M,8.465B,,2010-02,AOR,Restated
2009-11,2.648B,,2.648B,,,,579.50M,113.60M,313.60M,541.90M,,969.10M,,,187.40M,627.20M,5.011B,2.573B,175.70M,788.20M,3.334B,0.10M,686.20M,7.558B,-2.400B,5.158B,1.757B,,1.757B,389.90M,121.30M,7.685B,12.70B,,2009-11,505.80M,,0.00,,505.80M,1.134B,1.64B,,,156.20M,,156.20M,,71.60M,71.60M,,1.868B,,1.250B,471.10M,,471.10M,854.60M,2.576B,4.444B,,2009-11,4.50M,5.331B,2.506B,,,384.10M,8.226B,,2009-11,AOR,Restated
2009-08,2.599B,,2.599B,,,,485.50M,126.30M,347.60M,572.80M,,1.047B,,,199.30M,672.00M,5.002B,2.527B,173.30M,763.50M,3.241B,,594.70M,7.300B,-2.292B,5.008B,1.733B,,1.733B,375.50M,107.00M,7.477B,12.48B,,2009-08,429.80M,,11.20M,,441.00M,671.70M,1.113B,,,136.80M,,136.80M,,65.80M,65.80M,,1.315B,,1.253B,456.00M,,456.00M,839.80M,2.549B,3.864B,,2009-08,4.50M,5.825B,2.500B,,,260.20M,8.590B,,2009-08,AOR,Restated
