,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2013-05,2.692B,2.692B,1.924B,768.60M,122.40M,,,0.00,4.90M,4.90M,25.50M,147.90M,620.70M,4.90M,0.00,4.90M,0.00,4.90M,625.60M,146.90M,485.40M,,,0.50M,,793.40M,167.80M,625.60M,,2013-05,,,1.146,1.141,,,,,,2013-05,426.00M,427.20M,0.25,,2013-05,AOR,Restated
2013-02,2.241B,2.241B,1.672B,568.40M,90.40M,,,0.00,3.60M,3.60M,58.90M,149.30M,419.10M,3.60M,0.00,3.60M,31.90M,3.60M,454.60M,108.90M,345.40M,,,-0.80M,,606.80M,152.20M,454.60M,,2013-02,,,0.7523,0.81,,,,,,2013-02,425.70M,427.10M,0.25,,2013-02,AOR,
2012-11,2.536B,2.536B,1.860B,675.90M,102.80M,,-13.00M,,4.40M,4.40M,,102.80M,573.10M,4.40M,,4.40M,-30.00M,4.40M,547.50M,-78.10M,630.30M,,,-1.50M,,720.50M,147.40M,573.10M,,2012-11,,,1.526,1.48,,0.00,,,,2012-11,425.70M,427.00M,0.25,,2012-11,AOR,
2012-08,2.505B,2.505B,1.758B,747.30M,111.70M,,-1.00M,0.00,5.90M,5.90M,25.40M,137.10M,610.20M,5.90M,0.00,5.90M,-29.30M,5.90M,586.80M,163.30M,430.70M,,,-1.30M,,724.20M,137.40M,586.80M,,2012-08,,,1.060,1.01,,0.00,,,,2012-08,425.50M,426.70M,0.25,,2012-08,AOR,
2012-05,2.820B,2.820B,1.987B,833.80M,117.10M,,,1.40M,6.80M,5.40M,45.90M,163.00M,670.80M,6.80M,1.40M,5.40M,12.90M,5.40M,689.10M,188.60M,506.90M,,,0.40M,,830.20M,139.70M,690.50M,,2012-05,,,1.173,1.192,,0.00,,,,2012-05,425.30M,426.60M,0.125,,2012-05,AOR,Restated
2012-02,2.190B,2.190B,1.668B,521.80M,91.30M,,,0.00,4.10M,4.10M,16.80M,108.10M,413.70M,4.10M,0.00,4.10M,-63.10M,4.10M,354.70M,87.00M,271.90M,,,1.40M,,482.60M,127.90M,354.70M,,2012-02,,,0.7181,0.64,,,,,,2012-02,425.40M,426.70M,0.05,,2012-02,AOR,Restated
2011-11,3.014B,3.014B,2.133B,881.20M,100.60M,,15.60M,,4.10M,4.10M,,100.60M,780.60M,4.10M,,4.10M,70.70M,4.10M,855.40M,230.70M,625.60M,,,-2.00M,,900.80M,120.20M,780.60M,,2011-11,,,1.294,1.41,,0.00,,,,2011-11,443.40M,444.70M,0.05,,2011-11,AOR,Restated
2011-08,3.083B,3.083B,2.235B,848.20M,101.10M,,0.70M,0.00,5.10M,5.10M,17.50M,118.60M,729.60M,5.10M,0.00,5.10M,-5.00M,5.10M,729.70M,205.10M,526.40M,,,-0.40M,,850.00M,120.30M,729.70M,,2011-08,,,1.188,1.18,,0.00,,,,2011-08,446.60M,447.90M,0.05,,2011-08,AOR,Restated
2011-05,2.860B,2.860B,1.865B,995.20M,111.50M,,17.00M,0.00,7.70M,7.70M,58.80M,170.30M,824.90M,7.70M,0.00,7.70M,4.20M,7.70M,836.80M,186.00M,645.20M,,,4.00M,,959.70M,122.90M,836.80M,,2011-05,,,1.423,1.46,,,,,,2011-05,446.60M,448.10M,0.05,,2011-05,AOR,Restated
2011-02,2.214B,2.214B,1.361B,853.60M,83.60M,,-16.10M,4.80M,4.60M,-0.20M,-0.80M,82.80M,770.80M,4.60M,4.80M,-0.20M,-47.80M,-0.20M,722.80M,175.90M,542.60M,,,-0.50M,,841.70M,114.10M,727.60M,,2011-02,,,1.291,1.21,,0.00,,,,2011-02,446.30M,447.70M,0.05,,2011-02,AOR,Restated
