,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-03,8.094M,,,,163.57M,163.57M,-0.376M,,,,10.54M,-13.03M,82.96M,-16.61M,,-25.74M,-0.664M,-12.03M,-29.85M,-1.922M,166.87M,,-361.04M,,,,-0.571M,0.515M,-361.09M,,0.00,274.50M,274.50M,,,-2.828M,-75.90M,-75.90M,,195.77M,,13.89M,1.548M,15.44M,,,299.50M,-25.00M,,,,,AOR,Restated
2017-12,26.50M,,-0.119M,-0.119M,164.92M,164.92M,36.62M,,,,3.949M,-16.02M,152.66M,-4.802M,,0.489M,12.99M,62.07M,-93.16M,130.25M,346.11M,,-381.02M,,,,-1.14M,-6.737M,-388.90M,,173.76M,-36.00M,137.76M,,,-4.52M,-75.87M,-75.87M,-11.37M,46.00M,,10.67M,3.218M,13.89M,,,333.76M,-196.00M,,2.054M,46.51M,,AOR,Restated
2017-09,280.94M,,-0.032M,-0.032M,154.42M,154.42M,115.78M,,,,3.662M,-38.57M,-78.50M,3.556M,,-46.03M,-0.38M,51.79M,34.71M,-34.85M,481.36M,,-334.13M,,,,0.00,-17.27M,-351.40M,,297.84M,-350.60M,-52.76M,,,-0.078M,-71.41M,-71.41M,0.00,-124.24M,,4.953M,5.721M,10.67M,,,16.04M,-68.80M,,0.131M,50.44M,,AOR,Restated
2017-06,172.32M,,-0.121M,-0.121M,143.42M,143.42M,81.16M,,,,2.894M,-40.95M,-216.65M,-4.77M,,-0.376M,-6.124M,52.32M,-32.61M,-208.21M,150.51M,,-344.80M,,,,-0.571M,5.817M,-339.56M,,-3.806M,274.70M,270.90M,,,2.788M,-71.34M,-71.34M,-11.37M,190.97M,,3.028M,1.925M,4.953M,,,270.90M,,,0.001M,92.33M,,AOR,Restated
2017-03,28.18M,,-0.101M,-0.101M,147.86M,147.86M,10.01M,,,,9.997M,-14.64M,47.95M,-0.667M,,22.15M,-17.36M,-101.80M,8.474M,-41.26M,140.05M,,-348.82M,,,,-0.57M,0.71M,-348.68M,,255.44M,30.10M,285.54M,,,-11.58M,-71.18M,-71.18M,-0.001M,202.78M,,8.881M,-5.853M,3.028M,,,285.54M,0.00,,,,,AOR,Restated
2016-12,58.12M,,-0.125M,-0.125M,142.16M,142.16M,41.38M,,,,-8.705M,-15.39M,114.25M,2.947M,,-9.68M,-11.50M,56.31M,-111.42M,40.90M,258.34M,,-260.56M,,,,-0.571M,19.52M,-241.61M,,-16.87M,59.90M,43.03M,,,-16.66M,-71.11M,-71.11M,-11.37M,-56.11M,,48.27M,-39.39M,8.881M,,,59.90M,-16.87M,,7.394M,37.77M,,AOR,Restated
2016-09,267.90M,,-0.041M,-0.041M,140.56M,140.56M,124.78M,,,,2.54M,-20.76M,-10.97M,-5.989M,,-104.86M,-5.465M,-66.22M,21.11M,-172.39M,342.58M,,-283.30M,,,,-0.57M,-11.14M,-295.01M,,-29.49M,53.16M,23.67M,,,1.773M,-67.78M,-67.78M,0.00,-42.34M,,43.04M,5.227M,48.27M,,,300.38M,-276.71M,,0.059M,57.58M,,AOR,Restated
2016-06,126.18M,,-0.126M,-0.126M,141.53M,141.53M,60.44M,,,,8.361M,-21.01M,-170.32M,0.026M,,86.06M,1.767M,109.55M,-64.20M,-37.12M,278.27M,,-353.11M,,,,-0.57M,10.53M,-343.15M,,369.08M,-197.66M,171.42M,,,1.115M,-67.72M,-67.72M,-11.37M,93.44M,,14.48M,28.56M,43.04M,,,248.27M,-76.85M,,0.001M,32.97M,,AOR,Restated
2016-03,9.326M,,-0.111M,-0.111M,140.76M,140.76M,3.354M,,,,16.69M,-7.121M,49.68M,1.525M,,-38.44M,-7.45M,-37.63M,13.63M,-18.68M,144.21M,,-378.50M,,,,-0.57M,6.765M,-372.30M,,0.00,261.80M,261.80M,,,8.902M,-67.61M,-67.61M,0.001M,203.09M,,39.49M,-25.00M,14.48M,,,261.80M,,,2.502M,56.14M,,AOR,Restated
2015-12,45.98M,,-0.12M,-0.12M,143.54M,143.54M,67.68M,,,,,-11.53M,150.48M,-1.408M,,18.98M,2.118M,-44.79M,-116.74M,8.652M,272.95M,,-297.39M,,,,-4.065M,8.007M,-293.44M,,171.69M,-57.00M,114.69M,,,6.83M,-67.56M,-67.56M,-6.989M,46.97M,,13.01M,26.48M,39.49M,,,242.42M,-127.72M,,3.858M,27.09M,,AOR,Restated
2015-09,261.98M,,-0.036M,-0.036M,145.90M,145.90M,114.45M,,,,,-11.63M,-66.91M,-4.226M,,-89.88M,13.98M,33.92M,29.54M,-83.59M,427.08M,,-247.66M,,,,-4.312M,-11.31M,-263.28M,,0.00,-100.50M,-100.50M,,,0.382M,-64.22M,-64.22M,-0.001M,-164.34M,,13.56M,-0.55M,13.01M,,,-10.10M,-90.40M,,0.858M,59.11M,,AOR,Restated
2015-06,127.51M,,-0.121M,-0.121M,140.72M,140.72M,56.48M,,,,,-9.495M,-144.08M,-8.316M,,72.31M,-3.373M,83.88M,-65.37M,-64.94M,250.15M,,-279.99M,,,,-4.56M,7.868M,-276.69M,,5.153M,113.00M,118.15M,,,2.471M,-64.18M,-64.18M,-28.01M,28.43M,,11.66M,1.893M,13.56M,,,360.10M,-241.95M,,0.002M,30.45M,,AOR,Restated
2015-03,20.73M,,-0.104M,-0.104M,141.49M,141.49M,6.684M,,,,,14.06M,45.09M,-9.995M,,-35.67M,-9.907M,-70.17M,41.94M,-38.71M,144.15M,,-251.04M,,,,-4.312M,22.54M,-232.82M,,250.00M,-102.90M,147.10M,,,9.69M,-64.06M,-64.06M,,92.73M,,7.604M,4.06M,11.66M,,,250.00M,-102.90M,,1.832M,53.56M,,AOR,Restated
2014-12,9.535M,,0.039M,0.039M,124.76M,124.76M,23.29M,,,,,0.175M,148.79M,7.07M,,6.818M,8.944M,25.00M,-174.77M,21.85M,212.71M,,-291.98M,,,,-4.313M,7.378M,-288.91M,,8.005M,128.25M,136.26M,-14.86M,,0.428M,-58.89M,-58.89M,-4.455M,73.34M,,10.47M,-2.867M,7.604M,,-14.86M,157.00M,-20.74M,,,31.79M,,AOR,Restated
2014-09,248.09M,,0.251M,0.251M,125.35M,125.35M,100.50M,,,,,-21.91M,-67.66M,6.089M,,-37.90M,11.24M,29.98M,27.82M,-30.42M,421.85M,,-229.91M,,,,-4.312M,-6.571M,-240.79M,,38.15M,-157.50M,-119.35M,2.235M,,2.235M,-62.64M,-62.64M,0.001M,-179.75M,,9.161M,1.31M,10.47M,,2.235M,14.63M,-133.98M,,,54.58M,,AOR,Restated
2014-06,141.38M,,0.062M,0.062M,123.98M,123.98M,52.92M,,,,,-27.44M,-169.86M,-9.248M,,81.72M,-5.186M,42.49M,-14.91M,-75.00M,215.91M,,-181.29M,,,,-4.311M,1.144M,-184.46M,,-217.61M,167.15M,-50.46M,3.235M,,3.235M,-62.62M,-62.62M,-15.87M,-125.71M,,103.42M,-94.26M,9.161M,,3.235M,309.50M,-359.96M,,,41.56M,,AOR,Restated
2014-03,24.69M,,-0.013M,-0.013M,122.39M,122.39M,8.563M,,,,,32.21M,164.74M,-0.187M,,-50.99M,-10.96M,-44.94M,3.642M,61.31M,249.16M,,-207.46M,,,,-4.313M,3.264M,-208.51M,,250.00M,-143.62M,106.38M,9.39M,,9.39M,-62.52M,-62.52M,0.001M,53.25M,,9.526M,93.90M,103.42M,,9.39M,250.00M,-143.62M,,,49.15M,,AOR,Restated
2013-12,32.81M,,-0.003M,-0.003M,114.35M,114.35M,29.54M,,,,,9.734M,166.83M,-2.964M,,0.71M,-4.347M,50.22M,-125.91M,84.54M,270.98M,,-434.81M,,,,-4.312M,1.674M,-437.44M,,-50.05M,153.12M,103.07M,-10.40M,,6.923M,-60.76M,-60.76M,-8.701M,40.54M,,135.46M,-125.93M,9.526M,,-10.40M,60.95M,42.12M,,15.12M,42.96M,,AOR,Restated
2013-09,234.72M,,0.188M,0.188M,128.49M,128.49M,183.61M,,,,,-16.42M,-199.48M,-4.912M,,-40.86M,2.977M,30.59M,109.16M,-102.51M,428.07M,,-204.91M,,,,-4.312M,9.148M,-200.08M,,-32.65M,-30.10M,-62.75M,0.645M,,0.645M,-58.25M,-58.25M,0.017M,-120.34M,,27.80M,107.65M,135.46M,,0.645M,0.00,-62.75M,,3.412M,49.70M,,AOR,Restated
2013-06,139.60M,,0.016M,0.016M,125.14M,125.14M,76.52M,,,,,8.523M,-155.59M,5.384M,,73.64M,-13.96M,26.93M,-44.11M,-107.70M,242.10M,,-193.74M,,,,-4.312M,2.896M,-195.16M,,-8.127M,30.10M,21.97M,0.31M,,0.31M,-58.16M,-58.16M,-8.366M,-44.25M,,25.11M,2.694M,27.80M,,0.31M,32.00M,-10.03M,,-0.425M,42.31M,,AOR,Restated
2013-03,32.84M,,0.333M,0.333M,124.34M,124.34M,12.16M,,,,,25.45M,8.196M,-9.386M,,11.92M,-1.592M,-38.43M,46.32M,17.03M,212.16M,,-182.86M,,,,-4.313M,10.45M,-176.72M,,104.31M,-92.18M,12.13M,9.441M,,9.441M,-58.07M,-58.07M,-0.036M,-36.53M,,26.20M,-1.093M,25.11M,,9.441M,104.31M,-92.18M,,0.425M,49.04M,,AOR,Restated
2012-12,30.67M,,0.194M,0.194M,120.69M,120.69M,22.10M,,,,,-11.58M,122.36M,0.83M,,-26.82M,-17.08M,43.54M,-43.25M,79.57M,241.65M,,-218.87M,,,,-4.312M,3.303M,-219.88M,,-107.58M,92.18M,-15.41M,6.271M,,6.271M,-58.00M,-58.00M,-7.914M,-75.05M,,79.48M,-53.28M,26.20M,,6.271M,217.18M,-232.58M,,,48.34M,,AOR,Restated
2012-09,252.86M,,1.675M,1.675M,120.83M,120.83M,140.36M,,,,,-73.94M,-16.78M,-2.861M,,-78.98M,1.228M,61.24M,65.20M,29.05M,470.84M,,-245.91M,,,,-4.313M,11.83M,-238.40M,,-0.252M,-109.00M,-109.25M,0.815M,,0.815M,-55.78M,-55.78M,0.025M,-164.19M,,11.23M,68.25M,79.48M,,0.815M,-109.00M,-0.252M,,,57.90M,,AOR,Restated
2012-06,130.11M,,-4.603M,-4.603M,121.26M,121.26M,68.13M,,,,,0.458M,-137.41M,-7.259M,,48.55M,-3.928M,143.16M,-15.17M,27.95M,343.30M,,-183.80M,,,,-4.311M,8.49M,-179.62M,,-13.72M,-107.60M,-121.32M,4.58M,,4.58M,-55.70M,-55.70M,-0.713M,-173.16M,,20.71M,-9.482M,11.23M,,4.58M,-75.60M,-45.72M,,,31.79M,,AOR,Restated
2012-03,-0.481M,,1.985M,1.985M,118.49M,118.49M,-1.989M,,,,,17.48M,72.78M,-13.75M,,-39.36M,-5.355M,-72.75M,38.29M,-20.15M,115.34M,,-240.97M,,,,-4.313M,10.19M,-235.10M,,-56.65M,216.60M,159.95M,4.289M,,4.289M,-55.60M,-55.60M,-1.757M,106.89M,,33.58M,-12.87M,20.71M,,4.289M,535.68M,-375.73M,,,62.89M,,AOR,Restated
2011-12,19.99M,0.00,,4.064M,123.68M,123.68M,44.61M,,,,,-2.809M,150.95M,2.134M,,-60.53M,31.85M,56.80M,-165.66M,15.54M,205.08M,,-241.09M,-36.35M,-36.35M,0.00,51.74M,-22.02M,-247.72M,,-426.71M,0.00,-426.71M,0.888M,,0.888M,-55.53M,-55.53M,-7.136M,-488.49M,,564.71M,-531.13M,33.58M,,0.888M,0.00,-443.31M,,10.32M,217.79M,,AOR,Restated
2011-09,262.78M,-10.40M,,-10.40M,124.41M,124.41M,119.64M,,,0.279M,,-91.49M,-171.56M,-7.306M,0.00,111.92M,35.47M,26.33M,84.15M,79.01M,484.23M,,-255.99M,14.45M,14.45M,45.11M,-3.698M,-5.833M,-205.96M,,254.86M,-7.30M,247.56M,0.433M,,0.433M,-53.66M,-53.66M,-0.157M,194.17M,,92.27M,472.44M,564.71M,,0.433M,295.35M,-40.50M,,,-110.66M,,AOR,Restated
2011-06,93.84M,,,,122.40M,122.40M,52.95M,31.24M,,-0.279M,,-59.67M,-41.89M,-39.65M,,31.50M,-36.42M,41.37M,-2.616M,-47.70M,192.78M,,-195.72M,12.77M,12.77M,,-3.699M,51.12M,-135.53M,,-12.79M,-10.00M,-22.79M,2.793M,,2.793M,-57.24M,-57.24M,-1.932M,-79.17M,,114.19M,-21.92M,92.27M,,2.793M,0.00,-12.79M,,0.00,54.66M,,AOR,Restated
2011-03,-9.674M,,,,123.30M,123.30M,-41.00M,-31.24M,,,,44.27M,85.16M,21.42M,,-24.54M,-0.636M,-37.41M,113.85M,157.85M,243.50M,,-191.55M,9.136M,9.136M,,-4.923M,-5.455M,-192.80M,,-0.17M,0.70M,0.53M,11.73M,,11.73M,-55.30M,-55.30M,-3.653M,-46.70M,,110.19M,4.005M,114.19M,,11.73M,175.00M,-175.17M,,0.00,56.00M,,AOR,Restated
2010-12,12.50M,0.00,,17.09M,122.04M,122.04M,-21.08M,95.93M,0.00,,,-104.99M,112.74M,-6.735M,,-27.56M,5.465M,-35.33M,10.88M,59.46M,180.96M,,-195.67M,-25.26M,-25.26M,0.00,-5.24M,27.48M,-198.68M,,-22.04M,16.60M,-5.443M,0.815M,,0.815M,-55.26M,-55.26M,-8.118M,-68.00M,,195.92M,-85.73M,110.19M,,0.815M,0.00,-159.16M,,-22.16M,-167.58M,,AOR,Restated
2010-09,239.04M,0.00,,-11.47M,120.80M,120.80M,230.51M,-40.43M,0.00,,,-18.98M,-114.40M,5.434M,,-8.626M,2.313M,33.32M,-69.42M,-151.39M,368.09M,,-174.13M,10.10M,10.10M,0.00,65.07M,-0.387M,-99.35M,,-69.31M,-4.616M,-73.92M,0.544M,,0.544M,-55.20M,-55.20M,5.257M,-123.32M,,50.50M,145.41M,195.92M,,0.544M,0.00,-69.31M,,18.22M,51.85M,,AOR,Restated
2010-06,119.57M,-41.97M,,-49.00M,115.84M,115.84M,0.127M,-29.54M,1.619M,,,16.24M,-143.35M,7.337M,,68.65M,-0.192M,12.99M,94.80M,40.23M,215.09M,,-176.02M,12.21M,12.21M,100.30M,-6.104M,2.174M,-67.44M,,-11.07M,-285.00M,-296.07M,253.77M,,253.77M,-55.10M,-55.10M,-3.27M,-100.67M,,3.528M,46.97M,50.50M,,253.77M,0.00,-11.07M,,-1.603M,57.04M,,AOR,Restated
2010-03,-0.897M,,,4.095M,114.12M,114.12M,50.84M,-25.95M,15.11M,,,40.05M,84.75M,6.24M,,-23.33M,-8.148M,-39.57M,-230.98M,-211.05M,-13.68M,,-202.55M,2.949M,2.949M,,-6.104M,-4.719M,-210.43M,,-4.15M,135.90M,131.75M,0.844M,,0.844M,-51.42M,-51.42M,1.079M,82.25M,,145.38M,-141.85M,3.528M,,0.844M,0.00,-4.15M,,5.547M,58.68M,,AOR,Restated
2009-12,-25.04M,0.00,,13.69M,,112.55M,-49.02M,,19.74M,,,-281.46M,5.143M,4.52M,,129.47M,12.10M,48.49M,,358.86M,296.34M,,-206.11M,,,0.00,7.076M,-22.83M,-168.35M,,-35.92M,11.46M,-24.45M,0.679M,,0.679M,-51.34M,-51.34M,-8.327M,-83.44M,,100.82M,44.55M,145.38M,,0.679M,-0.113M,492.41M,,18.08M,53.17M,,AOR,Restated
2009-09,191.02M,0.00,,72.99M,,115.52M,76.93M,,38.40M,,,82.73M,-128.86M,4.847M,,62.66M,27.74M,24.58M,,-9.02M,568.57M,,-164.81M,,,0.00,25.40M,144.18M,4.766M,,-191.76M,-248.25M,-440.00M,0.916M,,0.916M,-51.30M,-51.30M,0.277M,-490.11M,,17.60M,83.23M,100.82M,,0.916M,26.95M,-466.95M,,17.10M,65.91M,,AOR,Restated
2009-06,72.85M,0.00,,96.71M,,110.79M,81.49M,,6.186M,,,45.38M,-98.62M,-9.832M,,-59.53M,-0.721M,13.86M,,-154.84M,258.56M,,-200.67M,,,0.00,-5.448M,-153.19M,-359.30M,,154.96M,-16.51M,138.45M,0.892M,,0.892M,-51.24M,-51.24M,-2.57M,85.53M,,32.80M,-15.21M,17.60M,,0.892M,340.95M,-202.49M,,0.00,51.48M,,AOR,Restated
2009-03,-166.07M,,,-183.39M,,112.00M,-3.901M,,215.87M,,,79.67M,91.76M,-11.80M,,-159.94M,-0.711M,-29.66M,,-110.35M,-56.17M,,-193.01M,,,,-5.448M,16.43M,-182.03M,,483.30M,-263.46M,219.83M,0.815M,,0.815M,-51.20M,-51.20M,-3.694M,165.76M,,105.24M,-72.44M,32.80M,,0.815M,499.68M,-279.85M,,17.60M,46.04M,,AOR,Restated
2008-12,-38.85M,,,-128.47M,,106.60M,-70.54M,,53.25M,,,1.808M,171.87M,36.12M,,-94.15M,-17.17M,-49.28M,58.45M,105.83M,29.63M,,-227.89M,,,,-5.185M,15.00M,-218.07M,,6.689M,230.86M,237.54M,-4.478M,,-4.478M,-45.77M,-45.77M,1.867M,189.16M,,104.53M,0.717M,105.24M,,-4.478M,239.24M,-1.695M,,24.03M,54.09M,,AOR,Restated
2008-09,151.59M,,,30.78M,,108.01M,74.32M,,0.00,,,-39.85M,-53.71M,-9.539M,,35.30M,3.375M,45.19M,-240.36M,-219.74M,105.10M,,-230.42M,,,,-5.186M,17.66M,-217.95M,,-6.906M,175.10M,168.19M,2.603M,,2.603M,-52.88M,-52.88M,2.914M,120.82M,,96.55M,7.98M,104.53M,,2.603M,126.31M,41.88M,,-10.61M,43.26M,,,Restated
2008-06,133.86M,,,-14.66M,,104.94M,199.03M,,0.00,,,22.55M,-100.61M,7.43M,,13.80M,23.04M,15.93M,27.67M,-12.74M,432.98M,,-229.00M,,,,88.98M,8.999M,-131.02M,,-98.74M,-76.18M,-174.91M,2.747M,,2.747M,-52.83M,-52.83M,2.05M,-222.95M,,17.53M,79.02M,96.55M,,2.747M,17.47M,-192.38M,,0.949M,47.78M,,,Restated
2008-03,-4.473M,,,-14.71M,,104.42M,-44.78M,,0.00,,,54.31M,63.28M,-11.42M,,-37.53M,-0.511M,-16.97M,154.24M,151.09M,245.85M,,-248.26M,,,,-5.185M,5.331M,-248.12M,,14.40M,1.965M,16.36M,2.815M,,2.815M,-52.76M,-52.76M,-2.94M,-36.52M,,56.32M,-38.79M,17.53M,,2.815M,45.66M,-29.30M,,9.86M,45.95M,,,Restated
2007-12,2.911M,,,,,102.51M,-104.05M,,,,,181.46M,183.68M,0.01M,,7.453M,-23.39M,-83.95M,-86.17M,-2.368M,180.46M,,-183.78M,,-183.78M,,0.00,-11.51M,-195.29M,,,,73.94M,5.463M,,5.463M,,-52.70M,0.533M,27.24M,,43.91M,12.41M,56.32M,,5.463M,,,,116.67M,50.79M,,,
2007-09,208.71M,,,,,-38.44M,49.36M,,,,,14.41M,-142.76M,-6.291M,,-35.81M,9.541M,42.52M,85.92M,-46.88M,187.15M,,-297.02M,,-297.02M,,0.00,47.41M,-249.60M,,,,130.63M,0.696M,,0.696M,,-52.66M,4.233M,82.89M,,23.47M,20.44M,43.91M,,0.696M,,,,47.26M,52.82M,,,
2007-06,78.99M,,,,,241.10M,9.419M,,,,,-157.50M,-127.17M,-9.057M,,111.14M,-0.715M,43.15M,-113.63M,-96.28M,75.74M,,-231.70M,,-231.70M,,0.00,-12.75M,-244.46M,,,,119.60M,10.32M,,10.32M,,-52.62M,-6.368M,70.94M,,121.25M,-97.78M,23.47M,,10.32M,,,,1.734M,39.21M,,,
2007-03,16.53M,,,,,98.72M,-12.75M,,,,,32.54M,149.10M,-14.44M,,-124.78M,4.525M,20.94M,44.21M,79.55M,214.58M,,-206.08M,,-206.08M,,32.70M,-10.62M,-184.00M,,,,49.25M,7.613M,,7.613M,,-52.50M,-0.907M,3.463M,,87.21M,34.04M,121.25M,,7.613M,,,,38.98M,50.70M,,,
2006-12,18.48M,,,,,168.90M,24.14M,,,,,-13.67M,81.34M,-9.229M,,23.55M,-5.621M,162.23M,-339.85M,-87.57M,110.28M,,-203.41M,,-203.41M,0.00,208.10M,-13.10M,-8.403M,,,,-120.46M,14.97M,,14.97M,,-52.34M,14.94M,-142.89M,,128.22M,-41.01M,87.21M,,14.97M,,,,85.34M,40.10M,,,
2006-09,184.17M,,,,,201.67M,-12.88M,,,,,-134.76M,-71.39M,-0.445M,,21.94M,12.49M,-146.22M,172.43M,-11.20M,227.00M,,-170.58M,,-170.58M,0.00,-201.18M,-14.66M,-386.42M,,,,299.37M,15.66M,,15.66M,,-49.65M,6.649M,272.04M,,15.61M,112.61M,128.22M,,15.66M,,,,71.65M,26.12M,,,
2006-06,112.15M,,,180.81M,,186.45M,14.72M,,,,,-90.27M,-130.70M,-3.606M,,33.03M,11.34M,-19.19M,-241.58M,-350.70M,53.17M,,-196.43M,,-196.43M,0.00,0.00,-9.18M,-205.61M,,,,-106.42M,3.845M,,3.845M,,-49.62M,5.387M,-146.81M,,314.86M,-299.25M,15.61M,,3.845M,,,,0.211M,61.76M,,,
2006-03,12.46M,,,-180.81M,,95.07M,1.757M,,,,,,129.94M,4.186M,,-124.58M,-7.537M,24.94M,47.64M,74.59M,3.057M,,-167.37M,,-167.37M,207.62M,0.00,-8.556M,31.70M,,,,167.19M,5.065M,,5.065M,,-49.61M,3.45M,126.10M,,154.00M,160.85M,314.86M,,5.065M,,,,0.04M,25.53M,,,
