,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2004-06,705.58M,705.58M,239.71M,465.87M,33.12M,32.31M,,,,208.39M,342.71M,123.17M,,,,33.12M,,119.10M,45.03M,74.07M,-1.428M,,,72.64M,53.47M,225.18M,96.53M,123.17M,,0.81,-0.01,,,0.5844,0.80,,0.81,-0.02,,,0.5846,0.79,,91.32M,91.40M,0.45,,,
2004-03,566.34M,566.34M,156.38M,409.97M,5.467M,30.33M,,,,193.83M,325.77M,84.20M,,,,5.467M,,46.26M,15.47M,30.79M,0.635M,,,31.43M,27.15M,193.41M,109.22M,84.20M,,0.34,0.00,,,0.3001,0.34,,0.34,0.00,,,0.3002,0.34,,91.29M,91.38M,0.45,,,
2003-12,722.88M,722.88M,204.61M,518.27M,19.75M,25.42M,,,,299.73M,439.09M,79.18M,,,,19.75M,,50.78M,6.148M,44.63M,4.459M,,,49.09M,27.27M,199.10M,119.92M,79.18M,,0.49,0.05,,,0.2998,0.54,,0.49,0.05,,,0.2999,0.54,,91.27M,91.32M,0.45,,,
2003-09,831.00M,831.00M,292.95M,538.05M,-2.067M,28.21M,,,,202.24M,340.69M,197.36M,,,,-2.067M,,158.62M,49.96M,108.66M,1.388M,,,110.05M,110.08M,314.01M,116.65M,197.36M,,1.19,0.02,,,1.206,1.21,,1.19,0.01,,,1.205,1.20,,91.27M,91.47M,0.425,,,
2003-06,683.30M,683.30M,197.62M,485.68M,-3.595M,28.15M,,,,217.97M,353.20M,132.48M,,,,-3.595M,,90.14M,35.25M,54.89M,1.253M,,,56.14M,57.08M,246.69M,114.21M,132.48M,,0.60,0.02,,,0.6240,0.62,,0.60,0.01,,,0.6239,0.61,,91.26M,91.45M,0.425,,,
2003-03,552.64M,552.64M,167.00M,385.65M,1.524M,28.50M,,,,182.50M,316.39M,69.26M,,,,1.524M,,32.91M,12.75M,20.15M,5.145M,,,25.30M,19.22M,182.38M,113.12M,69.26M,,0.22,0.06,,,0.2098,0.28,,0.22,0.06,,,0.2098,0.28,,91.26M,91.36M,0.425,,,
2002-12,440.50M,440.50M,-1.333M,441.83M,1.718M,26.80M,,,,239.16M,378.15M,63.68M,,,,1.718M,,20.05M,6.257M,13.80M,-28.68M,,,-80.63M,12.61M,185.20M,121.51M,63.68M,,0.16,-1.11,,,0.1461,-0.95,,0.15,-1.11,,,0.1361,-0.95,,85.31M,85.31M,0.425,,,
2002-09,871.39M,871.39M,300.84M,570.54M,-9.567M,26.76M,,,,222.62M,358.05M,212.49M,,,,-9.567M,,166.56M,65.85M,100.71M,0.203M,,,100.92M,106.50M,344.24M,131.75M,212.49M,,1.19,0.00,,,1.258,1.19,,1.19,0.00,,,1.258,1.19,,84.77M,84.80M,0.40,,,
2002-06,714.94M,714.94M,234.52M,480.42M,-7.693M,27.63M,,,,185.21M,314.93M,165.49M,,,,-7.693M,,124.81M,49.44M,75.36M,,,,75.36M,80.01M,267.58M,94.60M,165.49M,,0.89,0.00,,,0.9448,0.89,,0.89,0.00,,,0.9447,0.89,,84.79M,84.93M,0.40,,,
2002-03,620.96M,620.96M,221.04M,399.92M,1.088M,26.76M,,,,154.79M,281.46M,118.46M,,,,1.088M,,88.98M,35.23M,53.76M,,,,53.76M,53.10M,225.86M,107.40M,118.46M,,0.63,0.00,,,0.6222,0.63,,0.63,0.00,,,0.6223,0.63,,84.74M,84.88M,0.40,,,
2001-12,-238.26M,-238.26M,-649.25M,411.00M,9.105M,20.97M,,,,191.30M,321.33M,89.67M,,,,9.105M,,60.48M,24.67M,35.81M,,0.00,,35.81M,30.34M,204.87M,115.20M,89.67M,,0.42,0.00,0.00,,0.3558,0.42,,0.42,0.00,0.0002,,0.3558,0.42,,85.12M,85.12M,0.40,,,
2001-09,1.161B,1.161B,533.50M,627.28M,-2.965M,29.34M,,,,191.26M,328.52M,298.75M,,,,-2.965M,,266.60M,104.10M,162.50M,,-12.45M,,150.05M,164.31M,414.73M,115.98M,298.75M,,1.92,-0.15,0.00,,1.941,1.77,,1.91,-0.15,-0.1469,,1.931,1.77,,84.72M,84.91M,0.375,,,
2001-06,1.294B,1.294B,858.76M,435.06M,3.237M,25.46M,,,,164.58M,296.17M,138.89M,,,,3.237M,,110.83M,43.97M,66.86M,,,,66.86M,64.90M,251.61M,112.73M,138.89M,,0.79,0.00,,,0.7670,0.79,,0.79,0.00,,,0.7670,0.79,,84.74M,85.04M,0.375,,,
2001-03,938.83M,938.83M,516.42M,422.40M,-0.738M,25.30M,,,,156.26M,286.34M,136.06M,,,,-0.738M,,103.00M,40.80M,62.20M,,,,59.45M,62.65M,248.42M,112.36M,136.06M,,0.70,0.00,,-0.0325,0.7053,0.70,,0.70,0.00,,-0.0325,0.7052,0.70,,84.73M,84.97M,0.375,,,
2000-12,838.15M,838.15M,439.56M,398.59M,-13.97M,23.14M,,,,152.10M,276.04M,122.55M,,,,-13.97M,,72.10M,29.78M,42.31M,,,,42.31M,50.69M,230.29M,107.75M,122.55M,,0.50,0.00,,,0.5989,0.50,,0.50,0.00,,,0.5986,0.50,,84.73M,85.04M,0.375,,,
2000-09,1.607B,1.607B,1.079B,527.92M,-14.78M,25.64M,,,,147.65M,271.92M,256.00M,,,,-14.78M,,203.69M,87.64M,116.05M,,,,116.05M,124.92M,377.77M,121.77M,256.00M,,1.37,0.00,,,1.475,1.37,,1.37,0.00,,,1.474,1.37,,84.74M,85.01M,0.35,,,
2000-06,756.55M,756.55M,289.78M,466.76M,-6.98M,25.61M,,,,142.06M,265.61M,201.15M,,,,-6.98M,,155.51M,65.61M,89.90M,,,,89.90M,94.09M,299.09M,90.01M,201.15M,,1.06,0.00,,,1.109,1.06,,1.06,0.00,,,1.109,1.06,,84.73M,84.89M,0.35,,,
2000-03,488.12M,488.12M,126.00M,362.12M,35.54M,25.39M,,,,143.42M,265.85M,96.27M,,,,35.54M,,94.89M,40.82M,54.07M,,,,54.07M,32.74M,201.24M,104.97M,96.27M,,0.64,0.00,,,0.3883,0.64,,0.64,0.00,,,0.3886,0.64,,84.73M,84.83M,0.35,,,
1999-12,546.45M,546.45M,167.70M,378.75M,11.70M,12.10M,,,,165.40M,280.80M,97.95M,,,,11.70M,,70.20M,25.40M,44.80M,0.00,,0.00,44.80M,37.33M,201.25M,103.30M,97.95M,,0.53,0.01,,-0.0149,0.4394,0.54,,0.53,0.01,,-0.0149,0.4425,0.53,,82.41M,85.35M,0.35,,,
1999-09,894.20M,894.20M,396.60M,497.60M,1.00M,25.50M,,,,128.30M,257.50M,240.10M,,,,1.00M,,203.70M,78.10M,125.60M,38.00M,,,23.70M,124.98M,359.51M,119.41M,240.10M,,1.48,-1.20,,-1.653,1.473,0.28,,1.48,-1.20,,-1.653,1.473,0.28,,84.64M,84.64M,0.325,,,
1999-06,544.13M,544.13M,134.76M,409.38M,0.399M,25.36M,,,,137.66M,260.41M,148.97M,,,,0.399M,,112.45M,43.75M,68.70M,,,,68.70M,68.46M,246.35M,89.09M,148.97M,,0.81,0.00,,,0.8071,0.81,,0.81,0.00,,,0.8071,0.81,,84.72M,85.09M,0.325,,,
1999-03,438.52M,438.52M,99.20M,339.32M,-2.50M,29.40M,,,,113.00M,247.60M,91.72M,,,,-2.50M,,51.60M,20.90M,30.70M,,,-1.00M,30.70M,32.20M,196.92M,105.20M,91.72M,,0.36,0.00,,,0.3776,0.36,,0.36,0.00,,,0.3776,0.36,,85.28M,85.28M,0.325,,,
1998-12,486.40M,486.40M,,,,,,,,,,-1.077B,,,,,,,,35.50M,,,,35.50M,35.50M,-1.077B,,-1.077B,,0.42,0.00,,,0.42,0.42,,0.42,0.00,,,0.42,0.42,,85.14M,85.33M,0.325,,,
1998-09,759.00M,759.00M,,,,,,,,,,759.00M,,,,,,,,127.30M,,,,127.30M,127.30M,759.00M,,759.00M,,1.50,0.00,,,1.50,1.50,,1.49,0.00,,,1.49,1.49,,84.87M,85.44M,0.30,,,
1998-06,470.60M,470.60M,95.60M,375.00M,0.20M,29.90M,,,,120.50M,252.40M,122.60M,,,,0.20M,,82.80M,33.80M,49.00M,,,-2.40M,49.00M,48.88M,224.60M,,122.60M,,0.58,0.00,,,0.5786,0.58,,0.57,0.00,,,0.5686,0.57,,84.48M,85.96M,0.30,,,
1998-03,414.60M,414.60M,73.90M,340.70M,4.40M,30.30M,,,,118.00M,249.70M,91.00M,,,,4.40M,,54.10M,23.00M,31.10M,,,-2.90M,31.10M,28.46M,192.40M,,91.00M,,0.37,0.00,,,0.3386,0.37,,0.36,0.00,,,0.3294,0.36,,84.05M,86.39M,0.30,,,
1997-12,443.80M,443.80M,,,,,,,,,,443.80M,,,,,,,,19.00M,,,,19.00M,19.00M,443.80M,,443.80M,,0.23,0.00,,,0.23,0.23,,0.23,0.00,,,0.23,0.23,,84.69M,85.14M,0.30,,,
1997-09,663.80M,663.80M,,,,,,,,,,663.80M,,,,,,,,124.30M,,,,124.30M,124.30M,663.80M,,663.80M,,1.47,0.00,,,1.47,1.47,,1.46,0.00,,,1.46,1.46,,84.56M,85.14M,0.275,,,
1997-06,489.00M,489.00M,99.30M,389.70M,4.80M,30.30M,,,,108.60M,239.60M,150.10M,,,,4.80M,,109.80M,42.60M,67.20M,,,-3.20M,67.20M,64.26M,250.80M,,150.10M,,0.79,0.00,,,0.7555,0.79,,0.78,0.00,,,0.7459,0.78,,85.06M,86.15M,0.275,,,
1997-03,398.50M,398.50M,85.50M,313.00M,4.20M,30.20M,,,,100.10M,230.60M,82.40M,,,,4.20M,,43.00M,17.60M,25.40M,,,-3.60M,25.40M,22.88M,182.70M,,82.40M,,0.29,0.00,,,0.2612,0.29,,0.29,0.00,,,0.2612,0.29,,87.59M,87.59M,0.275,,,
1996-12,405.00M,405.00M,,,,,,,,,,1.313B,,,,,,,,-6.70M,,,,-16.10M,-6.70M,1.313B,,1.313B,,-0.08,0.12,,0.0018,-0.08,-0.19,,-0.09,0.12,,0.0018,-0.09,-0.20,,88.30M,90.00M,0.275,,,
1996-09,598.80M,598.80M,108.00M,490.80M,-0.30M,25.00M,,,,118.90M,244.90M,245.90M,,,,-0.30M,,197.10M,75.70M,121.40M,,,-4.20M,107.10M,121.58M,346.90M,,245.90M,,1.39,-0.16,,-0.1642,1.392,1.23,,1.39,-0.16,,-0.1642,1.392,1.23,,87.07M,87.07M,0.25,,,
1996-06,452.90M,452.90M,79.80M,373.10M,-1.00M,35.50M,,,,118.30M,220.90M,152.20M,,,,-1.00M,,100.10M,38.60M,61.50M,,,-4.30M,59.00M,62.11M,219.30M,,152.20M,,0.70,-0.03,,-0.0284,0.7070,0.67,,0.70,-0.03,,-0.0284,0.7070,0.67,,88.06M,88.06M,0.25,,,
1996-03,361.30M,361.30M,56.30M,305.00M,1.70M,34.20M,,,,96.60M,198.30M,106.70M,,,,1.70M,,58.00M,23.10M,34.90M,,,-4.50M,31.30M,33.88M,174.20M,,106.70M,,0.40,-0.04,,-0.0414,0.3882,0.36,,0.40,-0.04,,-0.0414,0.3882,0.36,,86.94M,86.94M,0.25,,,
1995-12,371.70M,371.70M,60.00M,311.70M,3.70M,35.70M,,,,129.30M,233.10M,78.60M,,,,3.70M,,27.30M,9.00M,18.30M,,,-4.70M,6.70M,15.82M,146.70M,,78.60M,,0.20,-0.13,,,0.1719,0.07,,0.20,-0.13,,,0.1719,0.07,,88.19M,88.19M,0.25,,,
1995-09,558.80M,558.80M,92.30M,466.50M,-13.10M,35.50M,,,,99.00M,205.50M,261.00M,,,,-13.10M,,189.60M,75.10M,114.50M,,,-4.80M,114.50M,122.41M,332.00M,,261.00M,,1.31,0.00,,,1.401,1.31,,1.31,0.00,,,1.401,1.31,,87.40M,87.40M,0.225,,,
1995-06,393.30M,393.30M,62.60M,330.70M,1.30M,35.40M,,,,99.50M,203.40M,127.30M,,,,1.30M,,70.20M,28.00M,42.20M,,,-4.80M,42.20M,41.42M,195.80M,,127.30M,,0.48,0.00,,,0.4711,0.48,,0.48,0.00,,,0.4711,0.48,,87.92M,87.92M,0.225,,,
1995-03,346.10M,346.10M,54.90M,291.20M,4.60M,35.70M,,,,91.00M,195.40M,95.80M,,,,4.60M,,40.50M,15.90M,24.60M,,,-4.80M,24.60M,21.81M,164.50M,,95.80M,,0.28,0.00,,,0.2482,0.28,,0.28,0.00,,,0.2482,0.28,,87.86M,87.86M,0.225,,,
1994-12,363.10M,363.10M,60.70M,302.40M,-0.40M,34.50M,,,,113.10M,219.70M,82.70M,,,,-0.40M,,23.40M,-12.90M,36.30M,,,-4.90M,36.30M,36.54M,154.80M,,82.70M,,0.42,0.00,,,0.4227,0.42,,0.42,0.00,,,0.4227,0.42,,87.46M,87.46M,0.225,,,
1994-09,554.40M,554.40M,95.60M,458.80M,-2.80M,36.00M,,,,107.50M,213.30M,245.50M,,,,-2.80M,,172.20M,78.20M,94.00M,,,-5.90M,94.00M,95.68M,315.30M,,245.50M,,1.08,0.00,,,1.099,1.08,,1.08,0.00,,,1.099,1.08,,87.04M,87.04M,0.20,,,
1994-06,412.60M,412.60M,76.40M,336.20M,33.70M,36.80M,,,,124.00M,218.80M,117.40M,,,,33.70M,,85.20M,36.50M,48.70M,,,-7.00M,48.70M,28.48M,175.40M,,117.40M,,0.56,0.00,,,0.3275,0.56,,0.56,0.00,,,0.3275,0.56,,86.96M,86.96M,0.20,,,
1994-03,355.40M,355.40M,68.00M,287.40M,20.20M,34.50M,,,,99.50M,199.00M,88.40M,,,,20.20M,,42.80M,21.20M,21.60M,,,-7.50M,21.60M,9.48M,153.40M,,88.40M,,0.25,0.00,,,0.1097,0.25,,0.25,0.00,,,0.1097,0.25,,86.40M,86.40M,0.20,,,
1993-12,395.10M,395.10M,,,,,,,,,,395.10M,,,,,,,,16.90M,,0.00,,16.90M,16.90M,395.10M,,395.10M,,0.20,0.00,0.00,,0.20,0.20,,0.19,0.00,-0.0003,,0.19,0.19,,86.40M,88.02M,0.20,,,
1993-09,534.60M,534.60M,,,,,,,,,,534.60M,,,,,,,,86.70M,,,,86.70M,86.70M,534.60M,,534.60M,,0.99,0.00,,,0.99,0.99,,0.99,0.00,,,0.99,0.99,,87.58M,87.58M,0.00,,,
1993-06,413.70M,413.70M,,,,,,,,,,413.70M,,,,,,,,38.90M,,,,38.90M,38.90M,413.70M,,413.70M,,0.45,0.00,,,0.45,0.45,,0.45,0.00,,,0.45,0.45,,86.44M,86.44M,0.00,,,
1993-03,375.10M,375.10M,,,,,,,,,,375.10M,,,,,,,,27.50M,,19.30M,,46.80M,27.50M,375.10M,,375.10M,,0.32,0.22,0.00,,0.32,0.54,,0.32,0.22,0.2227,,0.32,0.54,,86.67M,86.67M,0.00,,,
1992-12,403.10M,403.10M,,,,,,,,,,403.10M,,,,,,,,18.60M,,,,24.60M,18.60M,403.10M,,403.10M,,0.22,0.07,,,0.22,0.29,,0.22,0.07,,,0.22,0.29,,85.70M,85.70M,0.00,,,
1992-09,526.30M,526.30M,,,,,,,,,,526.30M,,,,,,,,85.30M,,,,85.30M,85.30M,526.30M,,526.30M,,0.98,0.00,,,0.98,0.98,,0.98,0.00,,,0.98,0.98,,87.04M,87.04M,0.00,,,
1992-06,412.90M,412.90M,,,,,,,,,,412.90M,,,,,,,,38.70M,,,,38.70M,38.70M,412.90M,,412.90M,,0.44,0.00,,,0.44,0.44,,0.44,0.00,,,0.44,0.44,,87.95M,87.95M,0.00,,,
1992-03,347.30M,347.30M,,,,,,,,,,347.30M,,,,,,,,7.80M,,,,7.80M,7.80M,347.30M,,347.30M,,0.09,0.00,,,0.09,0.09,,0.09,0.00,,,0.09,0.09,,86.67M,86.67M,0.00,,,
1991-12,305.10M,305.10M,,,,,,,,,,305.10M,,,,,,,,-437.10M,,,,-283.60M,-437.10M,305.10M,,305.10M,,-5.02,1.76,,,-5.02,-3.26,,-5.02,1.76,,,-5.02,-3.26,,85.91M,85.91M,0.00,,,
1991-09,474.70M,474.70M,,,,,,,,,,474.70M,,,,,,,,77.50M,,,,77.50M,77.50M,474.70M,,474.70M,,0.89,0.00,,,0.89,0.89,,0.89,0.00,,,0.89,0.89,,87.08M,87.08M,0.00,,,
1991-06,362.50M,362.50M,,,,,,,,,,362.50M,,,,,,,,13.80M,,,,13.80M,13.80M,362.50M,,362.50M,,0.16,0.00,,,0.16,0.16,,0.16,0.00,,,0.16,0.16,,86.25M,86.25M,0.00,,,
1991-03,332.30M,332.30M,,,,,,,,,,332.30M,,,,,,,,5.50M,,,,5.50M,5.50M,332.30M,,332.30M,,0.06,0.00,,,0.06,0.06,,0.06,0.00,,,0.06,0.06,,91.67M,91.67M,0.00,,,
1990-12,348.10M,348.10M,,,,,,,,,,348.10M,,,,,,,,-0.50M,25.60M,,,25.10M,-0.50M,348.10M,,348.10M,,0.00,0.29,,,0.00,0.29,,0.00,0.29,,,0.00,0.29,,86.54M,86.54M,0.00,,,
1990-09,474.60M,474.60M,,,,,,,,,,474.60M,,,,,,,,55.50M,1.50M,,,57.00M,55.50M,474.60M,,474.60M,,0.64,0.02,,,0.64,0.66,,0.64,0.02,,,0.64,0.66,,86.36M,86.36M,0.00,,,
1990-06,418.40M,418.40M,,,,,,,,,,418.40M,,,,,,,,2.10M,,,,2.10M,2.10M,418.40M,,418.40M,,0.02,0.00,,,0.02,0.02,,0.02,0.00,,,0.02,0.02,,105.00M,105.00M,0.00,,,
1990-03,355.50M,355.50M,,,,,,,,,,355.50M,,,,,,,,13.10M,,,,13.10M,13.10M,355.50M,,355.50M,,0.15,0.00,,,0.15,0.15,,0.15,0.00,,,0.15,0.15,,87.33M,87.33M,0.00,,,
1989-12,311.90M,311.90M,,,,,,,,,,311.90M,,,,,,,,-21.90M,-544.30M,,,-566.20M,,311.90M,,311.90M,,,-6.276,,,,-6.276,,,-6.276,,,,-6.276,,86.72M,86.72M,0.00,,,
1989-09,463.30M,463.30M,,,,,,,,,,463.30M,,,,,,,,67.30M,-62.20M,,,5.10M,,463.30M,,463.30M,,0.78,-0.72,,,0.78,0.06,,0.78,-0.72,,,0.78,0.06,,86.72M,86.72M,0.40,,,
1989-06,375.80M,375.80M,,,,,,,,,,375.80M,,,,,,,,38.30M,-49.50M,,,-11.20M,,375.80M,,375.80M,,0.44,-0.57,,,0.44,-0.13,,0.44,-0.57,,,0.44,-0.13,,86.72M,86.72M,0.40,,,
1989-03,356.90M,356.90M,,,,,,,,,,356.90M,,,,,,,,40.90M,-20.00M,,,20.90M,,356.90M,,356.90M,,0.47,-0.23,,,0.47,0.24,,0.47,-0.23,,,0.47,0.24,,86.72M,86.72M,0.40,,,
1988-12,341.50M,341.50M,,,,,,,,,,341.50M,,,,,,,,-125.70M,,,,-125.70M,,341.50M,,341.50M,,,,,,,,,,,,,,,,86.72M,86.72M,0.70,,,
1988-09,463.40M,463.40M,,,,,,,,,,463.40M,,,,,,,,55.90M,,,,55.90M,,463.40M,,463.40M,,0.65,0.00,,,0.65,0.65,,0.65,0.00,,,0.65,0.65,,86.72M,86.72M,0.70,,,
1988-06,329.80M,329.80M,,,,,,,,,,329.80M,,,,,,,,43.60M,,,,43.60M,,329.80M,,329.80M,,0.50,0.00,,,0.50,0.50,,0.50,0.00,,,0.50,0.50,,86.08M,86.08M,0.70,,,
1988-03,307.30M,307.30M,,,,,,,,,,307.30M,,,,,,,,30.40M,,,,30.40M,,307.30M,,307.30M,,0.35,0.00,,,0.35,0.35,,0.35,0.00,,,0.35,0.35,,86.32M,86.32M,0.70,,,
1987-12,303.50M,303.50M,,,,,,,,,,303.50M,,,,,,,,57.20M,,,,57.20M,,303.50M,,303.50M,,,,,,,,,,,,,,,,86.08M,86.08M,0.70,,,
1987-09,392.80M,392.80M,,,,,,,,,,392.80M,,,,,,,,90.20M,,,,90.20M,,392.80M,,392.80M,,1.06,0.00,,,1.06,1.06,,1.06,0.00,,,1.06,1.06,,85.19M,85.19M,0.70,,,
1987-06,326.80M,326.80M,,,,,,,,,,326.80M,,,,,,,,64.40M,,,,64.40M,,326.80M,,326.80M,,0.78,0.00,,,0.78,0.78,,0.78,0.00,,,0.78,0.78,,83.29M,83.29M,0.70,,,
1987-03,290.30M,290.30M,,,,,,,,,,290.30M,,,,,,,,56.60M,,,,56.60M,,290.30M,,290.30M,,0.70,0.00,,,0.70,0.70,,0.70,0.00,,,0.70,0.70,,83.29M,83.29M,0.68,,,
1986-12,288.20M,288.20M,,,,,,,,,,288.20M,,,,,,,,50.00M,,,,50.00M,,288.20M,,288.20M,,,,,,,,,,,,,,,,80.08M,80.08M,0.68,,,
1986-09,391.70M,391.70M,,,,,,,,,,391.70M,,,,,,,,92.30M,,,,92.30M,,391.70M,,391.70M,,1.19,0.00,,,1.19,1.19,,1.19,0.00,,,1.19,1.19,,75.98M,75.98M,0.68,,,
1986-06,295.50M,295.50M,,,,,,,,,,295.50M,,,,,,,,43.60M,,,,43.60M,,295.50M,,295.50M,,0.57,0.00,,,0.57,0.57,,0.57,0.00,,,0.57,0.57,,75.98M,75.98M,0.68,,,
1986-03,274.50M,274.50M,,,,,,,,,,274.50M,,,,,,,,48.30M,,,,48.30M,,274.50M,,274.50M,,0.65,0.00,,,0.65,0.65,,0.65,0.00,,,0.65,0.65,,74.35M,74.35M,0.68,,,
1985-12,286.10M,286.10M,,,,,,,,,,286.10M,,,,,,,,68.20M,,,,68.20M,,286.10M,,286.10M,,,,,,,,,,,,,,,,74.35M,74.35M,0.68,,,
1985-09,368.10M,368.10M,,,,,,,,,,368.10M,,,,,,,,102.70M,,,,102.70M,,368.10M,,368.10M,,1.41,0.00,,,1.41,1.41,,1.41,0.00,,,1.41,1.41,,72.75M,72.75M,0.68,,,
1985-06,276.70M,276.70M,,,,,,,,,,276.70M,,,,,,,,61.70M,,,,61.70M,,276.70M,,276.70M,,0.86,0.00,,,0.86,0.86,,0.86,0.00,,,0.86,0.86,,71.65M,71.65M,0.68,,,
1985-03,243.60M,243.60M,,,,,,,,,,243.60M,,,,,,,,46.90M,,,,46.90M,,243.60M,,243.60M,,0.67,0.00,,,0.67,0.67,,0.67,0.00,,,0.67,0.67,,70.13M,70.13M,,,,
1984-12,242.50M,242.50M,,,,,,,,,,242.50M,,,,,,,,81.30M,,,,81.30M,,242.50M,,242.50M,,,,,,,,,,,,,,,,70.13M,70.13M,,,,
1984-09,311.80M,311.80M,,,,,,,,,,311.80M,,,,,,,,103.10M,-1.00M,,,102.10M,,311.80M,,311.80M,,1.32,-0.02,,,1.32,1.30,,1.32,-0.02,,,1.32,1.30,,70.13M,70.13M,,,,
1984-06,236.70M,236.70M,,,,,,,,,,236.70M,,,,,,,,61.90M,-0.20M,,,61.70M,,236.70M,,236.70M,,0.73,0.00,,,0.73,0.73,,0.73,0.00,,,0.73,0.73,,70.13M,70.13M,,,,
1984-03,203.90M,203.90M,,,,,,,,,,203.90M,,,,,,,,51.30M,1.40M,,,52.70M,,203.90M,,203.90M,,0.60,0.02,,,0.60,0.62,,0.60,0.02,,,0.60,0.62,,70.13M,70.13M,,,,
