,NetIncome,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2007-12,96.26M,,14.74M,14.74M,41.46M,,,-34.46M,-4.542M,7.217M,-3.20M,-38.57M,71.00M,31.90M,149.90M,-72.03M,-72.03M,-134.86M,180.77M,-26.13M,,,,19.28M,,19.28M,,,,5.762M,-80.32M,296.49M,43.45M,-0.089M,339.84M,19.28M,,,
2007-09,96.15M,,13.87M,13.87M,7.166M,,,11.04M,-23.74M,5.213M,-11.45M,33.64M,-1.984M,1.676M,129.90M,-39.56M,-39.56M,-11.96M,-70.80M,-122.31M,,,,11.83M,,11.83M,,,,6.102M,17.94M,268.98M,25.53M,1.976M,296.49M,11.83M,,,
2007-06,82.28M,,13.05M,13.05M,-6.773M,,,12.14M,-48.68M,-21.29M,7.74M,19.60M,-6.024M,-48.65M,52.04M,-42.20M,-42.20M,,-40.35M,-82.55M,,,,15.88M,,15.88M,,,,9.907M,25.79M,273.04M,-4.722M,0.669M,268.98M,15.88M,,,
2007-03,75.45M,,12.26M,12.26M,-16.80M,,,8.502M,-42.92M,19.42M,-27.32M,-14.67M,-1.43M,-66.93M,12.48M,-28.68M,-28.68M,,-17.67M,-46.34M,,,,20.11M,,20.11M,,,,20.49M,40.60M,265.94M,6.738M,0.363M,273.04M,20.11M,,,
2006-12,69.53M,,10.47M,10.47M,-2.005M,,,8.902M,-4.037M,1.512M,2.355M,34.71M,-2.979M,31.56M,118.46M,-33.52M,-33.52M,0.00,-42.58M,-76.10M,,,-0.029M,13.96M,,13.96M,,,,10.56M,24.50M,197.70M,66.86M,1.381M,265.94M,13.96M,,,
2006-09,61.03M,,8.861M,8.861M,1.336M,,,8.573M,-24.09M,2.332M,-8.176M,39.58M,-2.698M,6.949M,86.75M,-26.22M,-26.22M,-14.77M,-72.22M,-113.22M,,,-1.725M,14.56M,,14.56M,,,,8.121M,20.96M,203.10M,-5.509M,0.104M,197.70M,14.56M,,,
2006-06,55.07M,-8.686M,7.801M,7.801M,1.876M,,,16.28M,-42.50M,2.353M,-5.417M,25.58M,-0.76M,-20.75M,51.60M,-24.40M,-24.40M,,-7.91M,-32.31M,,,,9.285M,,9.285M,,,,5.483M,14.77M,165.36M,34.06M,3.688M,203.10M,9.285M,,,
2006-03,47.16M,8.686M,7.03M,7.03M,-3.489M,,,,-31.70M,4.62M,-15.61M,-18.64M,-1.982M,-63.32M,-3.927M,-20.59M,-20.59M,,-30.12M,-50.71M,,,,13.59M,,13.59M,,,,9.08M,22.67M,196.94M,-31.97M,0.393M,165.36M,13.59M,,,
2005-12,57.67M,5.29M,5.28M,5.28M,-19.15M,,,,-8.623M,-1.41M,2.243M,24.90M,,17.11M,66.20M,-22.20M,-22.20M,0.00,-73.48M,-95.67M,,,,12.96M,,12.96M,,,,,12.96M,214.91M,-16.51M,-1.462M,196.94M,12.96M,,,
2005-09,40.58M,24.30M,5.581M,5.581M,-16.71M,,,,-4.063M,2.923M,-7.537M,17.82M,,9.141M,62.90M,-27.22M,-27.22M,-4.521M,-6.822M,-38.56M,,,,11.48M,,11.48M,,,,,11.48M,180.12M,35.81M,-1.025M,214.91M,11.48M,,,
2005-06,36.03M,9.337M,5.449M,5.449M,-3.842M,,,,-26.34M,-1.301M,-3.236M,14.53M,0.425M,-15.92M,31.06M,-13.71M,-13.71M,-14.11M,-7.964M,-35.78M,,,,11.83M,,11.83M,,,,,11.83M,174.99M,7.101M,-1.966M,180.12M,11.83M,,,
