,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2016-09,3.453B,3.453B,2.077B,1.376B,701.00M,,5.00M,27.00M,22.00M,793.00M,583.00M,27.00M,5.00M,22.00M,8.00M,22.00M,613.00M,170.00M,444.00M,444.00M,438.93M,715.00M,97.00M,618.00M,0.73,,0.7216,0.73,0.73,,0.7217,0.73,606.00M,609.00M,
2016-06,3.37B,3.37B,2.038B,1.332B,654.00M,,5.00M,28.00M,23.00M,741.00M,591.00M,28.00M,5.00M,23.00M,-19.00M,23.00M,595.00M,343.00M,252.00M,252.00M,264.00M,693.00M,93.00M,600.00M,0.42,,0.4398,0.42,0.41,,0.4297,0.41,606.00M,609.00M,
2016-03,3.202B,3.202B,1.915B,1.287B,646.00M,,5.00M,31.00M,26.00M,733.00M,554.00M,31.00M,5.00M,26.00M,9.00M,26.00M,589.00M,148.00M,441.00M,441.00M,434.26M,682.00M,88.00M,594.00M,0.73,,0.7189,0.73,0.72,,0.709,0.72,608.00M,612.00M,
2015-12,4.272B,3.232B,1.933B,1.299B,659.10M,,4.60M,27.70M,23.10M,745.70M,553.40M,27.70M,4.60M,23.10M,-14.90M,23.10M,561.60M,137.80M,423.80M,423.80M,434.82M,654.20M,88.00M,566.20M,0.7,,0.7181,0.7,0.69,,0.708,0.69,607.80M,611.50M,
2015-09,2.829B,3.187B,1.935B,1.252B,627.10M,,4.30M,20.70M,16.40M,709.60M,542.80M,20.70M,4.30M,16.40M,-16.20M,16.40M,543.00M,145.80M,397.20M,397.20M,408.75M,629.80M,82.40M,547.30M,0.65,,0.669,0.65,0.65,,0.6689,0.65,608.80M,612.70M,
2015-06,2.726B,3.085B,1.845B,1.240B,612.00M,,4.10M,17.60M,13.50M,694.80M,545.50M,17.60M,4.10M,13.50M,-10.20M,13.50M,548.80M,128.70M,420.10M,420.10M,428.06M,636.90M,84.00M,552.90M,0.69,,0.703,0.69,0.68,,0.693,0.68,609.90M,613.90M,
2015-03,2.589B,2.911B,1.727B,1.184B,610.80M,,5.00M,18.00M,13.00M,683.90M,500.30M,18.00M,5.00M,13.00M,-2.70M,13.00M,510.60M,127.70M,382.90M,382.90M,384.55M,591.20M,75.60M,515.60M,0.63,,0.6327,0.63,0.62,,0.6227,0.62,609.60M,613.90M,
2014-12,2.428B,2.742B,1.639B,1.103B,562.60M,,2.70M,17.20M,14.50M,623.70M,479.50M,17.20M,2.70M,14.50M,-8.80M,14.50M,485.20M,122.60M,362.60M,362.60M,367.68M,550.70M,62.80M,487.90M,0.6,,0.6084,0.6,0.59,,0.5983,0.59,608.30M,614.80M,
2014-09,2.271B,2.581B,1.570B,1.011B,506.00M,,0.30M,17.20M,16.90M,553.70M,457.50M,17.20M,0.30M,16.90M,-10.70M,16.90M,463.70M,108.10M,355.60M,355.60M,364.19M,513.70M,49.70M,464.00M,0.58,,0.5941,0.58,0.58,,0.594,0.58,608.10M,612.10M,
2014-06,2.218B,2.517B,1.500B,1.018B,482.90M,,0.00,14.10M,14.10M,529.60M,488.00M,14.10M,0.00,14.10M,-0.30M,14.10M,501.80M,129.90M,371.90M,371.90M,372.49M,550.60M,48.80M,501.80M,0.61,,0.611,0.61,0.61,,0.611,0.61,607.90M,612.20M,
2014-03,2.152B,2.422B,1.432B,989.90M,485.40M,,0.00,13.50M,13.50M,529.90M,460.00M,13.50M,0.00,13.50M,-0.30M,13.50M,473.20M,124.30M,348.90M,348.90M,349.78M,519.90M,46.70M,473.20M,0.57,,0.5715,0.57,0.57,,0.5714,0.57,607.70M,612.90M,
2013-12,2.101B,2.355B,1.411B,944.31M,450.49M,,,11.88M,11.88M,496.48M,447.83M,11.88M,,11.88M,-8.586M,11.88M,451.12M,126.77M,324.35M,324.35M,330.89M,495.72M,47.89M,447.83M,0.535,,0.5458,0.535,0.53,,0.5407,0.53,605.69M,611.01M,
2013-09,2.045B,2.306B,1.382B,923.39M,443.38M,,,10.70M,10.70M,486.03M,437.36M,10.70M,,10.70M,-8.857M,10.70M,439.20M,119.57M,319.63M,319.63M,326.32M,481.94M,44.58M,437.36M,0.53,,0.5411,0.53,0.53,,0.541,0.53,603.26M,608.55M,
2013-06,1.914B,2.161B,1.272B,889.23M,420.53M,,,13.08M,13.08M,462.42M,426.80M,13.08M,,13.08M,-19.49M,13.08M,420.40M,119.99M,300.41M,300.41M,314.05M,470.64M,43.83M,426.80M,0.5,,0.5226,0.5,0.49,,0.5124,0.49,603.34M,608.89M,
2013-03,1.791B,2.021B,1.200B,820.77M,413.20M,,,13.25M,13.25M,454.87M,365.91M,13.25M,,13.25M,-1.971M,13.25M,377.18M,92.97M,284.21M,284.21M,287.04M,409.51M,43.60M,365.91M,0.47,,0.4747,0.47,0.47,,0.4746,0.47,603.71M,610.35M,
2012-12,1.724B,1.948B,1.151B,797.28M,401.75M,,,11.42M,11.42M,441.03M,356.25M,11.42M,,11.42M,-1.826M,11.42M,365.84M,87.06M,278.78M,278.78M,280.10M,423.52M,41.16M,382.35M,0.465,,0.4672,0.465,0.46,,0.4622,0.46,600.90M,607.56M,
2012-09,1.668B,1.892B,1.112B,779.79M,384.95M,,,12.04M,12.04M,424.40M,355.39M,12.04M,,12.04M,-3.044M,12.04M,364.38M,87.48M,276.90M,276.90M,279.82M,396.75M,41.37M,355.39M,0.465,,0.4699,0.465,0.455,,0.4598,0.455,598.12M,606.26M,
2012-06,1.580B,1.795B,1.031B,764.33M,396.77M,,,9.984M,9.984M,432.37M,331.96M,9.984M,,9.984M,-6.85M,9.984M,335.09M,83.16M,251.93M,251.93M,257.33M,369.39M,37.43M,331.96M,0.415,,0.4239,0.415,0.41,,0.4188,0.41,604.45M,614.65M,
2012-03,1.497B,1.711B,984.52M,726.83M,374.18M,,,11.07M,11.07M,408.93M,317.90M,11.07M,,11.07M,-6.694M,11.07M,322.28M,78.63M,243.65M,243.65M,249.14M,354.52M,36.62M,317.90M,0.4,,0.409,0.4,0.395,,0.4039,0.395,606.86M,618.42M,
2011-12,880.60M,1.664B,970.69M,693.02M,352.46M,,,10.87M,10.87M,384.88M,308.14M,10.87M,,10.87M,4.069M,10.87M,323.08M,82.95M,240.13M,240.13M,240.13M,342.44M,34.30M,308.14M,0.395,,0.395,0.395,0.39,,0.39,0.39,604.71M,617.65M,
2011-09,1.601B,1.601B,924.89M,676.07M,353.16M,-15.01M,,9.97M,9.97M,383.07M,293.00M,9.97M,,9.97M,-15.01M,9.97M,287.96M,60.84M,227.12M,227.12M,238.96M,324.64M,31.64M,293.00M,0.375,0.0,0.3946,0.375,0.365,0.0,0.3841,0.365,605.45M,618.59M,
2011-06,1.485B,1.485B,860.87M,624.37M,326.72M,0.612M,,9.474M,9.474M,354.41M,269.96M,9.474M,,9.474M,-1.827M,9.474M,277.60M,69.56M,208.04M,208.04M,209.41M,299.23M,29.27M,269.96M,0.34,0.0,0.3423,0.34,0.335,0.0,0.3372,0.335,607.98M,622.95M,
2011-03,1.371B,1.371B,782.18M,589.08M,296.33M,6.198M,,8.937M,8.937M,323.71M,265.36M,8.937M,,8.937M,6.198M,8.937M,280.50M,72.17M,208.33M,208.33M,203.72M,294.33M,28.96M,265.36M,0.345,0.0,0.3374,0.345,0.335,0.0,0.3276,0.335,608.08M,623.61M,
2010-12,689.42M,1.311B,758.02M,552.58M,279.92M,,,6.139M,6.139M,307.96M,244.62M,6.139M,,6.139M,-2.216M,6.139M,248.54M,42.38M,206.17M,206.17M,206.17M,274.24M,29.61M,244.62M,0.34,,0.34,0.34,0.33,,0.33,0.33,607.27M,623.55M,
2010-09,1.217B,1.217B,699.62M,517.29M,262.63M,7.924M,,7.053M,7.053M,288.99M,228.30M,7.053M,,7.053M,7.924M,7.053M,243.28M,39.58M,203.70M,203.70M,197.06M,256.23M,27.93M,228.30M,0.34,0.0,0.329,0.34,0.33,0.0,0.3193,0.33,603.43M,619.24M,
2010-06,1.105B,1.105B,641.02M,464.14M,234.55M,-4.454M,,6.547M,6.547M,258.22M,205.92M,6.547M,,6.547M,-4.454M,6.547M,208.01M,35.83M,172.18M,172.18M,175.86M,231.16M,25.25M,205.92M,0.285,0.0,0.2911,0.285,0.28,0.0,0.286,0.28,599.78M,616.97M,
2010-03,959.72M,959.72M,555.90M,403.82M,194.99M,-10.32M,,6.054M,6.054M,220.80M,183.02M,6.054M,,6.054M,-10.32M,6.054M,178.75M,27.25M,151.50M,151.50M,160.25M,210.40M,27.38M,183.02M,0.255,0.0,0.2697,0.255,0.245,0.0,0.2593,0.245,595.77M,613.33M,
2009-12,902.72M,902.72M,520.80M,381.92M,190.68M,-4.45M,,6.139M,6.139M,215.02M,166.91M,6.139M,,6.139M,-4.45M,6.139M,168.60M,24.59M,144.00M,144.00M,147.80M,191.25M,24.34M,166.91M,0.24,0.0,0.2464,0.24,0.24,0.0,0.2462,0.24,591.20M,609.23M,
2009-09,853.49M,853.49M,475.60M,377.89M,193.81M,-2.747M,,4.664M,4.664M,216.11M,161.78M,4.664M,,4.664M,-2.747M,4.664M,163.70M,27.13M,136.57M,136.57M,138.86M,184.08M,22.30M,161.78M,0.235,0.0,0.2389,0.235,0.225,0.0,0.2288,0.225,587.33M,605.16M,
2009-06,776.59M,776.59M,433.34M,343.25M,170.00M,14.87M,,2.622M,2.622M,191.58M,151.67M,2.622M,,2.622M,14.87M,2.622M,169.17M,27.91M,141.26M,141.26M,128.84M,173.25M,21.58M,151.67M,0.24,0.0,0.2188,0.24,0.235,0.0,0.2142,0.235,584.67M,598.54M,
2009-03,745.86M,745.86M,419.71M,326.15M,166.87M,-5.111M,,2.47M,2.47M,188.02M,138.13M,2.47M,,2.47M,-5.111M,2.47M,135.49M,22.36M,113.13M,113.13M,117.40M,159.28M,21.15M,138.13M,0.195,0.0,0.2023,0.195,0.19,0.0,0.1972,0.19,583.23M,595.99M,
2008-12,753.04M,753.04M,419.75M,333.30M,169.38M,-12.34M,,,,190.63M,142.67M,,,,-12.34M,,136.09M,23.80M,112.29M,112.29M,122.47M,163.92M,21.25M,142.67M,0.195,0.0,0.2125,0.195,0.19,0.0,0.2071,0.19,582.53M,595.14M,
2008-09,734.73M,734.73M,405.94M,328.79M,166.68M,-14.78M,,,,186.16M,142.63M,,,,-14.78M,,133.20M,20.37M,112.83M,112.83M,125.35M,162.10M,19.47M,142.63M,0.195,0.0,0.2165,0.195,0.19,0.0,0.2109,0.19,582.68M,599.61M,
2008-06,685.43M,685.43M,380.87M,304.56M,167.10M,-0.485M,,,,184.88M,119.68M,,,,-0.485M,,124.06M,20.20M,103.86M,103.86M,104.26M,137.46M,17.78M,119.68M,0.18,0.0,0.1807,0.18,0.175,0.0,0.1757,0.175,579.42M,598.66M,
2008-03,643.11M,643.11M,366.26M,276.84M,148.85M,3.954M,,,,165.15M,111.70M,,,,3.954M,,121.87M,20.00M,101.87M,101.87M,98.57M,127.99M,16.29M,111.70M,0.175,0.0,0.1693,0.175,0.17,0.0,0.1645,0.17,576.34M,598.10M,
2007-12,599.96M,599.96M,341.51M,258.44M,137.59M,0.118M,,,,152.32M,106.12M,,,,0.118M,,114.76M,18.50M,96.26M,96.26M,96.16M,120.85M,14.74M,106.12M,0.17,0.0,0.1698,0.17,0.16,0.0,0.1598,0.16,578.30M,604.39M,
2007-09,558.84M,558.84M,317.29M,241.55M,126.55M,2.644M,,,,140.42M,101.13M,,,,2.644M,,111.69M,15.54M,96.15M,96.15M,93.88M,115.00M,13.87M,101.13M,0.165,0.0,0.1611,0.165,0.16,0.0,0.1563,0.16,579.12M,609.13M,
2007-06,516.51M,516.51M,292.33M,224.19M,120.46M,0.529M,,,,133.52M,90.67M,,,,0.529M,,97.65M,15.37M,82.28M,82.28M,81.83M,103.72M,13.05M,90.67M,0.1425,0.0,0.1417,0.1425,0.135,0.0,0.1343,0.135,576.21M,608.19M,
2007-03,460.27M,460.27M,254.91M,205.36M,109.50M,-0.017M,,,,121.76M,83.60M,,,,-0.017M,,90.26M,14.81M,75.45M,75.45M,75.46M,95.86M,12.26M,83.60M,0.13,0.0,0.13,0.13,0.125,0.0,0.125,0.125,571.61M,607.03M,
2006-12,424.43M,424.43M,232.59M,191.84M,105.02M,0.397M,,,,115.49M,76.35M,,,,0.397M,,82.29M,12.75M,69.53M,69.53M,69.20M,86.82M,10.47M,76.35M,0.1225,0.0,0.1219,0.1225,0.1175,0.0,0.1169,0.1175,568.09M,606.26M,
2006-09,377.52M,377.52M,208.43M,169.10M,91.47M,-0.611M,,,,100.33M,68.76M,,,,-0.611M,,72.94M,11.91M,61.03M,61.03M,61.54M,77.62M,8.861M,68.76M,0.11,0.0,0.1109,0.11,0.1,0.0,0.1008,0.1,564.81M,603.34M,
2006-06,336.84M,336.84M,188.32M,148.52M,80.04M,1.508M,,,,87.84M,60.67M,,,,1.508M,,66.03M,10.96M,55.07M,55.07M,53.81M,68.47M,7.801M,60.67M,0.0975,0.0,0.0953,0.0975,0.0925,0.0,0.0904,0.0925,562.17M,601.97M,
2006-03,285.48M,285.48M,158.59M,126.89M,66.70M,-0.041M,,,,73.74M,53.16M,,,,-0.041M,,56.55M,9.388M,47.16M,47.16M,47.20M,60.19M,7.03M,53.16M,0.085,0.0,0.0851,0.085,0.08,0.0,0.0801,0.08,558.66M,597.42M,
2005-12,256.90M,256.90M,135.98M,120.92M,64.60M,-0.737M,,,,69.88M,51.04M,,,,-0.737M,,53.16M,-4.51M,57.67M,57.67M,58.12M,56.32M,5.28M,51.04M,0.105,0.0,0.1058,0.105,0.0975,0.0,0.0982,0.0975,554.47M,591.70M,
2005-09,235.54M,235.54M,128.18M,107.36M,54.76M,0.13M,,,,60.34M,47.02M,,,,0.13M,,49.37M,8.789M,40.58M,40.58M,40.48M,52.60M,5.581M,47.02M,0.075,0.0,0.0748,0.075,0.07,0.0,0.0698,0.07,548.74M,589.12M,
2005-06,211.71M,211.71M,117.77M,93.94M,46.13M,-0.595M,,,,51.58M,42.37M,,,,-0.595M,,43.83M,7.802M,36.03M,36.03M,36.52M,47.82M,5.449M,42.37M,0.0675,0.0,0.0684,0.0675,0.0625,0.0,0.0633,0.0625,542.75M,586.22M,
2005-03,181.68M,181.68M,97.99M,83.69M,41.41M,-0.124M,,,,46.50M,37.19M,,,,-0.124M,,38.90M,6.925M,31.98M,31.98M,32.08M,42.28M,5.09M,37.19M,0.06,0.0,0.0602,0.06,0.055,0.0,0.0552,0.055,537.94M,583.28M,
2004-12,172.78M,172.78M,94.66M,78.12M,38.18M,0.117M,,,,42.85M,35.27M,,,,0.117M,,36.86M,6.253M,30.60M,30.60M,30.50M,39.94M,4.671M,35.27M,0.06,0.0,0.0598,0.06,0.0525,0.0,0.0523,0.0525,532.86M,578.76M,
2004-09,155.43M,155.43M,84.58M,70.84M,35.89M,-0.252M,,,,39.97M,30.87M,,,,-0.252M,,31.89M,5.835M,26.05M,26.05M,26.26M,34.96M,4.083M,30.87M,0.05,0.0,0.0504,0.05,0.045,0.0,0.0454,0.045,526.99M,570.88M,
2004-06,138.72M,138.72M,75.56M,63.16M,31.54M,-0.08M,,,,35.37M,27.79M,,,,-0.08M,,28.52M,4.724M,23.80M,23.80M,23.87M,31.62M,3.828M,27.79M,0.045,0.0,0.0451,0.045,0.0425,0.0,0.0426,0.0425,520.47M,564.66M,
2004-03,119.74M,119.74M,65.01M,54.73M,27.18M,0.301M,,,,31.05M,23.69M,,,,0.301M,,24.83M,5.04M,19.79M,19.79M,19.55M,27.55M,3.865M,23.69M,0.0375,0.0,0.037,0.0375,0.035,0.0,0.0346,0.035,515.52M,566.60M,
2003-12,105.58M,108.16M,58.60M,49.56M,24.64M,2.496M,,,,26.16M,23.40M,,,,2.496M,,22.08M,4.352M,17.72M,17.72M,15.72M,26.94M,3.539M,23.40M,0.035,0.0,0.0311,0.035,0.0312,0.0,0.0277,0.0312,511.43M,562.48M,
2003-09,98.11M,98.11M,52.97M,45.14M,22.86M,-0.021M,,,,25.87M,19.27M,,,,-0.021M,,19.87M,3.91M,15.96M,15.96M,15.98M,22.28M,3.008M,19.27M,0.0312,0.0,0.0313,0.0312,0.0288,0.0,0.0288,0.0288,503.22M,552.66M,
2003-06,87.45M,87.45M,47.20M,40.25M,20.35M,0.098M,,,,23.12M,17.13M,,,,0.098M,,17.55M,4.044M,13.50M,13.50M,13.43M,19.90M,2.767M,17.13M,0.0275,0.0,0.0273,0.0275,0.025,0.0,0.0249,0.025,495.08M,529.91M,
2003-03,74.52M,74.52M,40.96M,33.56M,16.41M,-2.207M,,,,19.03M,14.52M,,,,-2.207M,,12.74M,2.56M,10.18M,10.18M,11.94M,17.15M,2.622M,14.52M,0.0212,0.0,0.0248,0.0212,0.0188,0.0,0.0221,0.0188,490.55M,527.94M,
2002-12,46.58M,67.01M,36.19M,30.82M,15.41M,18.60M,,,,15.90M,14.92M,,,,18.60M,,11.92M,2.78M,9.139M,9.139M,-5.125M,17.08M,2.163M,14.92M,0.0183,0.0,-0.0112,0.0183,0.0171,0.0,-0.0102,0.0171,483.17M,523.31M,
2002-09,61.23M,61.23M,32.97M,28.26M,14.15M,0.024M,,,,16.16M,12.11M,,,,0.024M,,12.60M,2.936M,9.667M,9.667M,9.649M,14.11M,2.005M,12.11M,0.0204,0.0,0.0204,0.0204,0.0188,0.0,0.0187,0.0188,476.69M,514.82M,
2002-06,54.36M,54.36M,29.35M,25.01M,12.56M,0.046M,,,,14.31M,10.70M,,,,0.046M,,11.15M,2.506M,8.647M,8.647M,8.611M,12.45M,1.747M,10.70M,0.0183,0.0,0.0183,0.0183,0.0171,0.0,0.017,0.0171,469.90M,505.32M,
2002-03,46.48M,46.48M,24.19M,22.30M,11.22M,-0.159M,,,,13.15M,9.146M,,,,-0.159M,,9.416M,2.307M,7.109M,7.109M,7.229M,11.07M,1.927M,9.146M,0.0154,0.0,0.0157,0.0154,0.0146,0.0,0.0148,0.0146,464.76M,493.61M,
2001-12,24.65M,43.46M,21.99M,21.47M,10.64M,16.69M,,,,12.44M,9.034M,,,,16.69M,,7.411M,2.771M,4.64M,4.64M,-5.810M,10.84M,1.801M,9.034M,0.0088,0.0,-0.0137,0.0088,0.0088,0.0,-0.0127,0.0088,465.12M,488.11M,
2001-09,45.50M,45.50M,23.11M,22.39M,11.44M,-0.209M,,,,13.07M,9.323M,,,,-0.209M,,9.757M,3.649M,6.108M,6.108M,6.239M,10.95M,1.629M,9.323M,0.0133,0.0,0.0136,0.0133,0.0125,0.0,0.0128,0.0125,460.42M,492.36M,
2001-06,45.41M,45.41M,23.38M,22.03M,11.66M,-0.15M,,,,13.16M,8.874M,,,,-0.15M,,9.341M,3.494M,5.847M,5.847M,5.941M,10.37M,1.499M,8.874M,0.0129,0.0,0.0131,0.0129,0.0121,0.0,0.0123,0.0121,453.91M,491.14M,
2001-03,43.40M,43.40M,22.37M,21.04M,11.21M,-0.245M,,,,12.65M,8.389M,,,,-0.245M,,8.89M,3.325M,5.565M,5.565M,5.718M,9.827M,1.438M,8.389M,0.0125,0.0,0.0128,0.0125,0.0117,0.0,0.012,0.0117,448.75M,485.57M,
2000-12,41.05M,41.05M,21.01M,20.04M,10.89M,-0.099M,,,,12.16M,7.885M,,,,-0.099M,,8.656M,3.237M,5.419M,5.419M,5.481M,9.15M,1.265M,7.885M,0.0121,0.0,0.0122,0.0121,0.0108,0.0,0.011,0.0108,447.50M,488.30M,
2000-09,37.11M,37.11M,19.11M,18.00M,9.673M,-0.167M,,,,10.92M,7.079M,,,,-0.167M,,7.644M,2.859M,4.785M,4.785M,4.890M,8.324M,1.245M,7.079M,0.0108,0.0,0.0111,0.0108,0.01,0.0,0.0102,0.01,446.02M,482.62M,
2000-06,31.80M,31.80M,16.38M,15.42M,8.358M,-0.166M,,,,9.384M,6.041M,,,,-0.166M,,6.417M,2.40M,4.017M,4.017M,4.121M,7.067M,1.026M,6.041M,0.0092,0.0,0.0094,0.0092,0.0083,0.0,0.0085,0.0083,444.84M,484.20M,
2000-03,27.07M,27.07M,13.94M,13.13M,7.037M,-0.099M,,,,8.008M,5.123M,,,,-0.099M,,5.529M,2.068M,3.461M,3.461M,3.523M,6.094M,0.971M,5.123M,0.0079,0.0,0.0081,0.0079,0.0071,0.0,0.0072,0.0071,444.00M,484.49M,
1999-12,24.10M,24.10M,12.50M,11.60M,6.30M,,,,,7.10M,4.50M,,,,,,4.80M,1.80M,3.00M,3.00M,3.00M,5.30M,0.80M,4.50M,0.0067,0.0,0.0067,0.0067,0.0063,0.0,0.0063,0.0063,447.54M,489.56M,
1999-09,22.90M,22.90M,11.80M,11.10M,6.00M,0.10M,,,,6.90M,4.20M,,,,0.10M,,4.60M,1.70M,2.90M,2.90M,2.837M,5.10M,0.90M,4.20M,0.0067,0.0,0.0065,0.0067,0.0062,0.0,0.0061,0.0062,435.44M,464.45M,
