,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity
2017-12,1.925B,3.131B,5.056B,2.865B,357.00M,3.222B,,,833.00M,9.111B,0.0,82.00M,836.00M,1.469B,,145.00M,308.00M,2.84B,-1.516B,1.324B,2.704B,981.00M,3.685B,235.00M,418.00M,448.00M,6.11B,15.22B,210.00M,48.00M,258.00M,746.00M,1.004B,175.00M,175.00M,,175.00M,383.00M,383.00M,,5.00M,2.839B,698.00M,,698.00M,146.00M,104.00M,250.00M,181.00M,1.713B,4.552B,6.00M,10.54B,49.00M,,70.00M,10.67B
2017-09,1.577B,3.136B,4.713B,2.889B,403.00M,3.292B,,,552.00M,8.557B,,,,,,,,,,1.304B,2.608B,957.00M,3.565B,262.00M,464.00M,428.00M,6.023B,14.58B,186.00M,23.00M,209.00M,694.00M,903.00M,100.00M,100.00M,,100.00M,333.00M,333.00M,,2.00M,2.60B,723.00M,,723.00M,5.00M,114.00M,119.00M,159.00M,1.001B,3.601B,6.00M,10.72B,208.00M,,44.00M,10.98B
2017-06,1.157B,3.221B,4.378B,2.68B,409.00M,3.089B,,,632.00M,8.099B,,,,,,,,,,1.284B,2.576B,894.00M,3.47B,198.00M,457.00M,430.00M,5.839B,13.94B,179.00M,15.00M,194.00M,608.00M,802.00M,244.00M,244.00M,,244.00M,337.00M,337.00M,,6.00M,2.415B,747.00M,,747.00M,5.00M,133.00M,138.00M,155.00M,1.04B,3.455B,6.00M,10.32B,128.00M,,33.00M,10.48B
2017-03,1.308B,2.966B,4.274B,2.644B,395.00M,3.039B,,,529.00M,7.842B,,,,,,,,,,1.306B,2.563B,923.00M,3.486B,110.00M,458.00M,427.00M,5.787B,13.63B,189.00M,12.00M,201.00M,680.00M,881.00M,437.00M,437.00M,,437.00M,397.00M,397.00M,,13.00M,2.585B,772.00M,,772.00M,6.00M,128.00M,134.00M,155.00M,1.061B,3.646B,6.00M,9.935B,59.00M,,-17.00M,9.983B
2016-12,2.034B,3.135B,5.169B,2.556B,349.00M,2.905B,,,526.00M,8.60B,0.0,86.00M,823.00M,1.28B,,169.00M,266.00M,2.624B,-1.313B,1.311B,2.554B,951.00M,3.505B,62.00M,425.00M,359.00M,5.662B,14.26B,175.00M,10.00M,185.00M,708.00M,893.00M,81.00M,81.00M,,81.00M,306.00M,306.00M,,4.00M,2.418B,797.00M,,797.00M,6.00M,151.00M,157.00M,162.00M,1.116B,3.534B,6.00M,10.48B,358.00M,,-114.00M,10.73B
2016-09,1.550B,3.308B,4.859B,2.492B,423.60M,2.916B,,,425.50M,8.200B,,,,,,,,2.579B,-1.255B,1.323B,2.482B,936.90M,3.419B,60.60M,385.30M,328.80M,5.517B,13.72B,171.50M,14.70M,186.20M,636.60M,822.80M,75.00M,75.00M,,75.00M,281.70M,281.70M,,4.50M,2.301B,821.60M,,821.60M,3.70M,158.30M,162.00M,140.10M,1.124B,3.424B,6.10M,10.06B,279.20M,,-56.20M,10.29B
2016-06,1.684B,2.797B,4.481B,2.427B,451.10M,2.878B,,,399.20M,7.759B,,,,,,,,2.479B,-1.191B,1.287B,2.458B,961.40M,3.419B,59.60M,328.70M,286.20M,5.381B,13.14B,164.50M,34.60M,199.10M,569.00M,768.10M,68.80M,68.80M,,68.80M,321.70M,321.70M,,6.20M,2.12B,840.00M,,840.00M,3.00M,175.60M,178.60M,138.60M,1.157B,3.277B,6.10M,9.619B,333.70M,,-95.70M,9.863B
2016-03,1.524B,2.928B,4.452B,2.319B,432.20M,2.751B,,,367.90M,7.571B,,,,,,,,2.406B,-1.136B,1.27B,2.462B,862.30M,3.324B,,295.00M,275.90M,5.165B,12.74B,213.20M,11.60M,224.80M,498.20M,723.00M,162.50M,162.50M,,162.50M,349.60M,349.60M,,8.00M,2.050B,858.40M,,858.40M,9.10M,67.60M,76.70M,138.10M,1.073B,3.124B,6.10M,9.366B,301.40M,,-61.60M,9.612B
2015-12,2.125B,2.824B,4.949B,2.253B,369.00M,2.622B,,,338.00M,7.909B,0.0,86.00M,805.00M,1.081B,,115.00M,263.00M,2.35B,-1.079B,1.271B,2.405B,864.00M,3.269B,0.00,348.00M,264.00M,5.152B,13.06B,165.00M,17.00M,182.00M,519.00M,701.00M,406.00M,406.00M,,406.00M,324.00M,324.00M,,11.00M,2.714B,877.00M,,877.00M,3.00M,49.00M,52.00M,140.00M,1.069B,3.783B,6.00M,8.925B,453.00M,,-106.00M,9.278B
2015-09,1.477B,2.574B,4.051B,2.136B,420.90M,2.557B,,365.90M,264.70M,7.238B,,,,,,,,2.292B,-1.013B,1.279B,2.404B,881.40M,3.285B,,203.70M,262.10M,5.030B,12.27B,160.10M,63.40M,223.50M,508.10M,731.60M,50.00M,50.00M,,50.00M,262.70M,262.70M,,30.70M,2.128B,900.00M,,900.00M,230.00M,53.00M,283.00M,129.20M,1.312B,3.441B,6.10M,8.502B,432.40M,,-113.30M,8.827B
2015-06,1.089B,2.477B,3.566B,2.162B,386.50M,2.549B,,333.50M,322.70M,6.771B,,,,,,,,2.235B,-957.80M,1.277B,2.405B,906.10M,3.311B,,159.80M,277.70M,5.026B,11.80B,169.00M,33.20M,202.20M,487.40M,689.60M,150.00M,150.00M,,150.00M,288.80M,288.80M,,45.20M,1.956B,912.50M,,912.50M,233.60M,50.30M,283.90M,103.90M,1.300B,3.257B,6.10M,8.105B,520.60M,,-90.50M,8.541B
2015-03,1.271B,2.078B,3.350B,2.060B,388.20M,2.448B,,271.70M,336.90M,6.406B,,,,,,,,2.163B,-895.10M,1.268B,2.404B,928.40M,3.332B,,153.30M,223.60M,4.977B,11.38B,181.40M,30.10M,211.50M,502.40M,713.90M,150.00M,150.00M,,150.00M,330.90M,330.90M,,65.80M,1.884B,925.00M,,925.00M,237.30M,47.30M,284.60M,111.20M,1.321B,3.205B,6.10M,7.684B,607.20M,,-119.30M,8.178B
2014-12,2.010B,1.765B,3.775B,1.969B,324.60M,2.293B,,,352.60M,6.421B,0.0,82.70M,605.00M,859.90M,,304.70M,247.00M,2.099B,-852.10M,1.247B,2.414B,953.70M,3.367B,,234.20M,209.70M,5.058B,11.48B,145.70M,23.80M,169.50M,494.40M,663.90M,700.00M,700.00M,,700.00M,224.10M,224.10M,,97.30M,2.592B,937.50M,,937.50M,11.80M,81.00M,92.80M,116.40M,1.147B,3.739B,6.10M,7.302B,555.60M,,-123.10M,7.740B
2014-09,2.618B,2.001B,4.618B,1.809B,338.09M,2.147B,,259.47M,234.94M,7.260B,,,,,,,,1.909B,-807.86M,1.101B,437.78M,109.69M,547.47M,,142.73M,175.35M,1.967B,9.227B,130.04M,15.12M,145.16M,484.24M,629.40M,,,,,169.38M,169.38M,,105.41M,1.741B,,,,18.04M,,18.04M,85.83M,103.87M,1.845B,6.089M,6.939B,560.50M,,-123.66M,7.382B
2014-06,1.992B,2.137B,4.129B,1.823B,297.94M,2.121B,,233.84M,257.05M,6.741B,,,,,,,,1.855B,-768.62M,1.086B,449.54M,120.95M,570.49M,,123.30M,166.70M,1.947B,8.687B,119.14M,18.82M,137.97M,392.33M,530.29M,,,,,179.66M,179.66M,,116.00M,1.568B,,,,19.86M,,19.86M,108.94M,128.80M,1.696B,6.079M,6.583B,513.06M,,-111.46M,6.991B
2014-03,1.936B,1.929B,3.865B,1.704B,267.35M,1.971B,,200.43M,254.37M,6.291B,,,,,,,,1.831B,-740.02M,1.091B,445.18M,124.74M,569.92M,,140.57M,187.19M,1.989B,8.279B,176.37M,31.24M,207.61M,383.63M,591.24M,,,,,166.50M,166.50M,,138.72M,1.503B,,,,20.28M,,20.28M,133.20M,153.48M,1.656B,6.084M,6.211B,572.91M,,-167.28M,6.623B
2013-12,2.213B,1.534B,3.747B,1.649B,226.49M,1.875B,,256.23M,268.91M,6.148B,0.0,82.95M,444.96M,700.34M,,360.58M,211.68M,1.800B,-719.34M,1.081B,444.24M,131.27M,575.51M,,147.15M,183.01M,1.987B,8.135B,113.39M,24.31M,137.71M,367.34M,505.04M,,,,,182.89M,182.89M,,191.58M,1.775B,,,,21.17M,0.00,21.17M,203.25M,224.42M,1.999B,6.077M,5.862B,543.61M,,-276.26M,6.136B
2013-09,2.031B,1.329B,3.361B,1.637B,254.06M,1.891B,,268.64M,218.78M,5.739B,,,,,,,,1.692B,-680.66M,1.012B,417.96M,118.14M,536.10M,,160.75M,169.30M,1.878B,7.617B,114.82M,34.38M,149.21M,328.71M,477.92M,,,,,141.94M,142.02M,0.083M,226.12M,1.602B,,,,14.79M,,14.79M,352.04M,366.84M,1.969B,3.024M,5.538B,482.31M,,-375.09M,5.648B
2013-06,1.678B,1.222B,2.901B,1.561B,224.37M,1.785B,,228.13M,220.03M,5.134B,,,,,,,,1.664B,-646.68M,1.018B,412.65M,121.99M,534.64M,,165.94M,160.07M,1.878B,7.012B,94.07M,35.03M,129.10M,325.00M,454.10M,,,,,134.19M,134.68M,0.491M,177.02M,1.357B,,,,14.55M,,14.55M,316.73M,331.28M,1.689B,3.013M,5.218B,426.93M,,-324.60M,5.324B
2013-03,1.475B,1.270B,2.744B,1.496B,206.34M,1.702B,,183.50M,206.36M,4.837B,,,,,,,,1.618B,-610.16M,1.008B,407.35M,122.50M,529.85M,,164.97M,169.65M,1.873B,6.709B,132.50M,29.28M,161.78M,298.01M,459.80M,,,,,138.20M,138.75M,0.548M,112.50M,1.226B,,,,14.84M,,14.84M,252.68M,267.52M,1.493B,3.025M,4.918B,503.34M,,-208.43M,5.216B
2012-12,1.570B,1.294B,2.864B,1.346B,183.08M,1.529B,,201.89M,219.90M,4.814B,0.0,80.70M,423.34M,593.14M,,256.27M,191.83M,1.545B,-573.79M,971.49M,309.18M,87.48M,396.66M,,178.82M,160.31M,1.707B,6.522B,108.71M,29.57M,138.28M,296.16M,434.44M,,,,,149.70M,150.15M,0.454M,130.92M,1.377B,,,,2.777M,,2.777M,287.08M,289.86M,1.667B,3.017M,4.634B,457.26M,,-239.68M,4.854B
2012-09,1.325B,1.307B,2.632B,1.363B,213.74M,1.577B,,166.16M,166.42M,4.542B,,,,,,,,1.430B,-551.62M,878.56M,301.40M,87.58M,388.99M,,154.93M,143.03M,1.566B,6.107B,111.42M,46.91M,158.33M,255.04M,413.37M,,,,,116.43M,117.20M,0.774M,106.40M,1.276B,,,,4.593M,,4.593M,254.49M,259.08M,1.535B,2.999M,4.355B,404.40M,,-190.04M,4.572B
2012-06,1.050B,1.296B,2.346B,1.504B,,1.504B,,104.15M,198.17M,4.152B,,,,,,,,1.353B,-515.15M,837.68M,289.21M,86.53M,375.74M,,167.46M,120.98M,1.502B,5.654B,104.41M,33.37M,137.78M,228.69M,366.48M,,,,,106.62M,107.35M,0.724M,164.73M,1.151B,,,,3.073M,,3.073M,407.72M,410.79M,1.562B,2.993M,4.078B,407.97M,,-396.74M,4.092B
2012-03,1.329B,1.163B,2.491B,1.421B,,1.421B,,94.64M,189.65M,4.197B,,,,,,,,1.268B,-482.70M,784.98M,289.90M,93.42M,383.32M,,164.07M,139.01M,1.471B,5.668B,109.98M,47.86M,157.84M,221.88M,379.73M,,,,,107.82M,108.60M,0.781M,75.96M,1.021B,,,,2.978M,,2.978M,276.65M,279.63M,1.301B,3.044M,3.826B,731.36M,,-193.33M,4.367B
2011-12,1.311B,1.121B,2.432B,1.179B,139.63M,1.319B,,109.04M,225.53M,4.086B,0.0,55.23M,321.28M,478.87M,,211.14M,147.03M,1.214B,-455.51M,758.03M,288.77M,97.62M,386.39M,,164.19M,113.81M,1.422B,5.508B,72.20M,27.68M,99.88M,244.66M,344.54M,,,,,105.71M,105.79M,0.073M,126.73M,1.210B,,,,3.339M,,3.339M,342.00M,345.34M,1.555B,3.031M,3.583B,692.72M,,-325.39M,3.953B
2011-09,1.181B,1.110B,2.291B,1.105B,163.37M,1.268B,,108.08M,144.77M,3.812B,,,,,,,,1.094B,-429.27M,664.61M,289.06M,102.57M,391.62M,,135.57M,100.12M,1.292B,5.104B,78.18M,,78.18M,874.65M,952.84M,,,,,87.89M,87.89M,,,1.041B,,,,3.605M,,3.605M,120.26M,123.86M,1.165B,3.021M,3.342B,644.78M,,-50.68M,3.940B
2011-06,1.193B,1.076B,2.269B,1.228B,,1.228B,,80.76M,180.14M,3.758B,,,,,,,,1.017B,-402.58M,614.49M,224.14M,87.85M,311.99M,,112.85M,119.48M,1.159B,4.917B,89.06M,29.99M,119.05M,191.18M,310.23M,,,,,84.63M,85.76M,1.131M,8.219M,887.35M,,,,3.558M,,3.558M,73.94M,77.50M,964.85M,3.036M,3.115B,756.90M,,76.64M,3.952B
2011-03,1.293B,874.62M,2.168B,994.95M,128.20M,1.123B,,68.12M,176.42M,3.536B,,,,,,,,978.75M,-377.05M,601.70M,224.01M,81.79M,305.80M,,112.31M,82.27M,1.102B,4.638B,117.60M,,117.60M,602.10M,719.69M,,,,,82.02M,82.02M,,,801.71M,,,,3.87M,,3.87M,68.10M,71.97M,873.68M,3.042M,2.907B,813.96M,,39.95M,3.764B
2010-12,1.541B,685.42M,2.226B,1.014B,,1.014B,,96.16M,181.41M,3.518B,0.0,49.70M,289.26M,379.48M,,95.50M,108.99M,922.92M,-352.47M,570.45M,223.96M,85.14M,309.10M,0.00,109.81M,75.48M,1.065B,4.583B,75.37M,,75.37M,770.76M,846.14M,,,,,84.59M,84.59M,,,930.73M,,,,4.946M,,4.946M,62.97M,67.92M,998.64M,3.039M,2.699B,846.89M,,35.60M,3.584B
2010-06,1.040B,612.31M,1.652B,933.69M,,933.69M,,59.16M,160.07M,2.805B,,,,,,,,822.99M,-318.22M,504.77M,214.81M,92.97M,307.79M,0.00,87.29M,59.39M,959.23M,3.764B,80.99M,,80.99M,507.79M,588.78M,,,,,56.82M,56.82M,,,645.60M,,,,6.071M,,6.071M,71.60M,77.67M,723.27M,3.008M,2.289B,769.92M,,-21.08M,3.041B
2010-03,1.081B,352.94M,1.434B,812.32M,,812.32M,,60.81M,162.22M,2.469B,,,,,,,,776.27M,-297.91M,478.36M,193.90M,76.74M,270.64M,137.45M,86.58M,67.48M,1.041B,3.510B,85.63M,,85.63M,438.94M,524.57M,,,,,53.58M,53.58M,,,578.15M,,,,,,,,45.23M,623.38M,2.994M,2.117B,722.46M,,44.04M,2.886B
2009-12,1.101B,298.40M,1.399B,709.24M,,709.24M,,73.79M,125.20M,2.308B,0.0,32.97M,230.42M,327.01M,,70.64M,95.04M,756.09M,-274.57M,481.52M,192.37M,75.76M,268.13M,151.13M,80.62M,49.28M,1.031B,3.338B,54.64M,,54.64M,540.36M,595.00M,,,,,51.60M,51.60M,,,646.61M,,,,0.00,,0.00,38.46M,38.46M,685.06M,2.972M,1.965B,664.56M,,20.28M,2.653B
2009-09,992.93M,189.78M,1.183B,684.77M,,684.77M,,51.94M,97.42M,2.017B,,,,,,,,714.30M,-254.06M,460.24M,160.88M,65.47M,226.36M,157.03M,72.04M,44.00M,959.66M,2.976B,53.40M,,53.40M,418.19M,471.60M,,,,,36.78M,36.78M,,,508.37M,,,,0.00,,0.00,31.89M,31.89M,540.26M,2.946M,1.821B,605.54M,,6.364M,2.436B
2009-06,860.38M,122.80M,983.17M,635.92M,,635.92M,,45.36M,99.22M,1.764B,,,,,,,,681.46M,-234.53M,446.93M,154.20M,45.86M,200.05M,160.78M,58.92M,42.93M,909.61M,2.673B,45.74M,,45.74M,312.01M,357.75M,,,,,32.11M,32.11M,,,389.86M,,,,0.624M,,0.624M,15.11M,15.73M,405.59M,2.931M,1.685B,572.08M,,7.894M,2.268B
2009-03,758.57M,50.07M,808.64M,600.71M,,600.71M,,44.48M,71.83M,1.526B,,,,,,,,672.96M,-216.66M,456.30M,155.01M,47.04M,202.04M,160.48M,49.13M,35.43M,903.39M,2.429B,55.71M,,55.71M,253.10M,308.81M,,,,,31.71M,31.71M,,,340.52M,,,,1.837M,,1.837M,13.98M,15.81M,356.33M,2.92M,1.544B,551.25M,,-25.00M,2.073B
2008-12,735.07M,27.51M,762.58M,579.64M,,579.64M,,48.32M,77.59M,1.468B,0.0,29.80M,159.07M,258.82M,,128.57M,78.19M,654.44M,-199.19M,455.25M,154.04M,47.79M,201.82M,161.69M,52.82M,34.85M,906.44M,2.375B,39.97M,,39.97M,309.48M,349.45M,,,,,38.12M,38.12M,,,387.58M,,,,7.294M,,7.294M,14.11M,21.40M,408.98M,2.917M,1.430B,541.74M,,,1.966B
2008-09,569.26M,26.13M,595.40M,599.95M,,599.95M,,50.99M,74.87M,1.321B,,,,,,,,635.65M,-182.30M,453.35M,156.30M,44.86M,201.15M,,38.24M,198.28M,891.02M,2.212B,45.75M,,45.75M,271.57M,317.33M,,,,,28.57M,28.57M,,,345.90M,,,,8.033M,,8.033M,15.27M,23.30M,369.20M,2.912M,1.318B,523.53M,,-1.529M,1.843B
2008-06,521.19M,29.98M,551.17M,583.13M,,583.13M,,65.36M,68.95M,1.269B,,,,,,,,561.55M,-151.74M,409.81M,157.74M,47.16M,204.90M,,28.12M,198.33M,841.16M,2.110B,50.81M,,50.81M,253.39M,304.20M,,,,,24.25M,24.25M,,,328.45M,,,,10.45M,,10.45M,16.51M,26.96M,355.41M,2.916M,1.205B,532.24M,,13.93M,1.754B
2008-03,449.74M,25.21M,474.95M,519.40M,,519.40M,,67.44M,54.64M,1.116B,,,,,,,,544.99M,-151.74M,393.25M,151.38M,44.58M,195.96M,,30.50M,205.52M,825.24M,1.942B,47.45M,,47.45M,238.84M,286.29M,,,,,26.37M,26.37M,,,312.66M,,,,12.50M,,12.50M,15.47M,27.97M,340.63M,2.888M,1.101B,480.65M,,16.06M,1.601B
2007-12,339.84M,330.58M,670.42M,436.46M,,436.46M,,75.47M,59.83M,1.242B,0.0,29.80M,148.03M,199.30M,,121.90M,,499.03M,-142.98M,356.05M,148.79M,45.56M,194.35M,,11.95M,33.78M,596.13M,1.838B,36.18M,,36.18M,223.25M,259.43M,,,,,29.02M,29.02M,,52.24M,340.68M,,,,15.14M,,15.14M,14.27M,29.41M,370.10M,2.88M,999.56M,450.57M,,15.20M,1.468B
2007-09,296.49M,512.77M,809.26M,428.50M,,428.50M,,69.18M,46.66M,1.354B,,,,,,,,421.56M,-129.93M,291.63M,43.60M,14.16M,57.75M,,8.632M,27.41M,385.42M,1.739B,29.78M,,29.78M,237.51M,267.28M,,,,,19.07M,19.07M,,,286.35M,,,,,,,,9.152M,295.51M,2.903M,903.30M,520.55M,,16.75M,1.444B
2007-06,268.98M,441.25M,710.24M,403.60M,,403.60M,,78.73M,37.01M,1.230B,,,,,,,,383.18M,-117.44M,265.75M,43.35M,14.76M,58.11M,,6.275M,24.65M,354.78M,1.584B,24.62M,,24.62M,219.50M,244.12M,,,,,15.00M,15.00M,,,259.12M,,,,,,,,7.992M,267.11M,1.446M,807.15M,494.57M,,14.08M,1.317B
2007-03,273.04M,400.06M,673.10M,347.76M,,347.76M,,73.12M,43.60M,1.138B,,,,,,,,342.60M,-106.66M,235.94M,27.26M,19.37M,46.63M,,5.954M,18.58M,307.10M,1.445B,36.94M,,36.94M,186.76M,223.70M,,,,,15.64M,15.64M,,,239.33M,,,,,,,,8.027M,247.36M,1.437M,724.87M,458.63M,,12.39M,1.197B
2006-12,265.94M,382.22M,648.16M,298.48M,,298.48M,,61.26M,32.50M,1.040B,0.0,10.88M,121.40M,147.03M,,36.38M,,315.69M,-95.54M,220.15M,27.19M,20.46M,47.65M,,1.024M,16.76M,285.59M,1.326B,27.84M,,27.84M,202.26M,230.10M,,,,,19.40M,19.40M,,,249.50M,,,,,,,,2.979M,252.48M,1.425M,650.28M,410.02M,,11.78M,1.073B
