,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2014-09,192.00M,,-61.00M,,-56.00M,,,306.00M,306.00M,77.00M,,17.00M,0.00,6.00M,-107.00M,8.00M,15.00M,-46.00M,,,-130.00M,412.00M,,2014-09,-488.00M,148.00M,-340.00M,4.00M,,,,2014-09,75.00M,,75.00M,,-152.00M,-152.00M,,0.00,6.00M,-71.00M,2014-09,170.00M,5.00M,-7.00M,,2014-09,,1.135B,-1.06B,-152.00M,24.00M,,2014-09,AOR,Restated
2014-06,94.00M,,-61.00M,,3.00M,,,299.00M,299.00M,35.00M,,19.00M,,12.00M,-39.00M,1.00M,-1.00M,123.00M,,,84.00M,546.00M,,2014-06,-729.00M,145.00M,-584.00M,-755.00M,,,,2014-06,899.00M,,899.00M,,-186.00M,-186.00M,,1.00M,16.00M,730.00M,2014-06,227.00M,-63.00M,6.00M,,2014-06,,2.378B,-1.479B,-186.00M,27.00M,,2014-06,AOR,Restated
2014-03,60.00M,,-46.00M,,-35.00M,,,277.00M,277.00M,22.00M,,12.00M,,7.00M,47.00M,-32.00M,-4.00M,154.00M,,,165.00M,508.00M,,2014-03,-351.00M,121.00M,-230.00M,-1.00M,,,,2014-03,-145.00M,,-145.00M,,-61.00M,-61.00M,,1.00M,-13.00M,-218.00M,2014-03,175.00M,59.00M,-7.00M,,2014-03,,2.398B,-2.543B,-61.00M,9.00M,,2014-03,AOR,Restated
2013-12,140.00M,0.00,-55.00M,,-55.00M,,,284.00M,284.00M,70.00M,,12.00M,,6.00M,-3.00M,20.00M,67.00M,-105.00M,,,-21.00M,436.00M,,2013-12,-114.00M,145.00M,31.00M,0.00,,,,2013-12,-410.00M,,-410.00M,,-16.00M,-16.00M,,1.00M,14.00M,-411.00M,2013-12,125.00M,56.00M,-6.00M,,2013-12,,874.00M,-1.284B,-16.00M,4.00M,,2013-12,AOR,Restated
2013-09,143.00M,0.00,-41.00M,,-40.00M,,,278.00M,278.00M,58.00M,,15.00M,,6.00M,-51.00M,21.00M,-13.00M,-180.00M,,,-223.00M,237.00M,,2013-09,-504.00M,106.00M,-398.00M,-9.00M,,,,2013-09,218.00M,,218.00M,,-15.00M,-15.00M,,0.00,-44.00M,159.00M,2013-09,133.00M,-11.00M,3.00M,,2013-09,,1.292B,-1.074B,-15.00M,13.00M,,2013-09,AOR,Restated
2013-06,83.00M,1.00M,-45.00M,,-43.00M,,,270.00M,270.00M,36.00M,,10.00M,,12.00M,-31.00M,-9.00M,-24.00M,165.00M,,,101.00M,469.00M,,2013-06,-763.00M,137.00M,-626.00M,0.00,,,,2013-06,196.00M,,196.00M,,-54.00M,-54.00M,,2.00M,4.00M,148.00M,2013-06,147.00M,-9.00M,-5.00M,,2013-06,,1.008B,-812.00M,-54.00M,16.00M,,2013-06,AOR,Restated
2013-03,21.00M,,-41.00M,,-40.00M,,,266.00M,266.00M,3.00M,,9.00M,,18.00M,65.00M,-34.00M,30.00M,71.00M,,,132.00M,409.00M,,2013-03,-303.00M,128.00M,-175.00M,0.00,,,,2013-03,-164.00M,,-164.00M,,-30.00M,-30.00M,,3.00M,,-191.00M,2013-03,106.00M,43.00M,-2.00M,,2013-03,,631.00M,-795.00M,-30.00M,15.00M,,2013-03,AOR,Restated
2012-12,41.00M,2.00M,-42.00M,,32.00M,,,272.00M,272.00M,-21.00M,,9.00M,,25.00M,8.00M,20.00M,-1.00M,-159.00M,,,-132.00M,226.00M,,2012-12,-184.00M,146.00M,-38.00M,0.00,,,,2012-12,-141.00M,,-141.00M,,-3.00M,-3.00M,,4.00M,-9.00M,-149.00M,2012-12,68.00M,39.00M,-1.00M,,2012-12,,1.127B,-1.268B,-3.00M,9.00M,,2012-12,AOR,Restated
2012-09,73.00M,0.00,-29.00M,,-29.00M,,,275.00M,275.00M,19.00M,,10.00M,,53.00M,-97.00M,17.00M,-1.00M,-167.00M,,,-248.00M,153.00M,,2012-09,-287.00M,115.00M,-172.00M,0.00,,,,2012-09,55.00M,,55.00M,,-13.00M,-13.00M,,6.00M,-3.00M,45.00M,2012-09,41.00M,26.00M,1.00M,,2012-09,,693.00M,-638.00M,-13.00M,7.00M,,2012-09,AOR,Restated
2012-06,-52.00M,-10.00M,-26.00M,,-36.00M,,,221.00M,221.00M,-15.00M,,9.00M,,165.00M,-47.00M,2.00M,-27.00M,-132.00M,,,-204.00M,88.00M,,2012-06,-472.00M,86.00M,-386.00M,-1.108B,,,,2012-06,-1.237B,,-1.237B,,-107.00M,-107.00M,,6.00M,2.76B,1.422B,2012-06,26.00M,16.00M,-1.00M,,2012-06,,842.00M,-2.079B,-107.00M,12.00M,,2012-06,AOR,Restated
2012-03,13.00M,,-30.00M,,-30.00M,,,129.00M,129.00M,1.00M,,4.00M,,-10.00M,50.00M,-41.00M,11.00M,127.00M,,,147.00M,254.00M,,2012-03,-426.00M,83.00M,-343.00M,-57.00M,,,,2012-03,2.966B,,2.966B,,-8.00M,-8.00M,,5.00M,-2.828B,135.00M,2012-03,36.00M,-11.00M,1.00M,,2012-03,,3.351B,-385.00M,-8.00M,12.00M,,2012-03,AOR,Restated
2011-12,,0.00,-24.00M,,-20.00M,,,129.00M,129.00M,23.00M,-17.00M,3.00M,,-17.00M,-2.00M,14.00M,-4.00M,-51.00M,,,-43.00M,159.00M,,2011-12,-155.00M,95.00M,-60.00M,-78.00M,,,,2011-12,11.00M,,11.00M,-31.00M,0.00,-31.00M,,,,-12.00M,2011-12,26.00M,9.00M,1.00M,,2011-12,-31.00M,430.00M,-419.00M,0.00,4.00M,,2011-12,AOR,Restated
2011-09,,0.00,-16.00M,,-16.00M,,,123.00M,123.00M,20.00M,6.00M,3.00M,,67.00M,-45.00M,13.00M,4.00M,-18.00M,,,-46.00M,157.00M,,2011-09,-230.00M,45.00M,-185.00M,-55.00M,,,,2011-09,52.00M,,52.00M,1.00M,0.00,1.00M,,,,53.00M,2011-09,58.00M,-30.00M,-2.00M,,2011-09,1.00M,355.00M,-303.00M,0.00,4.00M,,2011-09,AOR,Restated
2011-06,,,-14.00M,,-14.00M,,,117.00M,117.00M,5.00M,6.00M,4.00M,,29.00M,-51.00M,-6.00M,-9.00M,61.00M,,,-5.00M,142.00M,,2011-06,-305.00M,45.00M,-260.00M,-143.00M,,,,2011-06,86.00M,,86.00M,26.00M,0.00,26.00M,,,,112.00M,2011-06,205.00M,-149.00M,2.00M,,2011-06,26.00M,536.00M,-450.00M,0.00,5.00M,,2011-06,AOR,Restated
2011-03,,,-14.00M,,-13.00M,,,111.00M,111.00M,-9.00M,5.00M,2.00M,,-19.00M,36.00M,-24.00M,-6.00M,71.00M,,,77.00M,154.00M,,2011-03,-120.00M,36.00M,-84.00M,0.00,,,,2011-03,-70.00M,0.00,-70.00M,4.00M,-7.00M,-3.00M,,,,-73.00M,2011-03,203.00M,-3.00M,5.00M,,2011-03,4.00M,571.00M,-641.00M,-7.00M,11.00M,,2011-03,AOR,Restated
2010-12,,,-10.00M,,15.00M,,,117.00M,117.00M,-23.00M,-17.00M,2.00M,,43.00M,24.00M,9.00M,-1.00M,-34.00M,,,-2.00M,109.00M,,2010-12,-67.00M,41.00M,-26.00M,0.00,,,,2010-12,-39.00M,,-39.00M,,0.00,0.00,,1.00M,-18.00M,-56.00M,2010-12,170.00M,27.00M,6.00M,,2010-12,,1.942B,-1.981B,0.00,-98.00M,,2010-12,AOR,Restated
2010-09,,,-10.00M,,-10.00M,,,112.00M,112.00M,12.00M,6.00M,2.00M,,30.00M,-55.00M,12.00M,7.00M,8.00M,,,-28.00M,124.00M,,2010-09,-121.00M,35.00M,-86.00M,0.00,,,,2010-09,98.00M,,98.00M,,0.00,0.00,,0.00,-1.00M,97.00M,2010-09,30.00M,135.00M,5.00M,,2010-09,,391.00M,-293.00M,0.00,-1.00M,,2010-09,AOR,Restated
2010-06,,,-9.00M,,-10.00M,,,111.00M,111.00M,-23.00M,5.00M,3.00M,,18.00M,-24.00M,-14.00M,18.00M,17.00M,,,-3.00M,101.00M,,2010-06,-132.00M,39.00M,-93.00M,0.00,,,,2010-06,10.00M,,10.00M,0.00,0.00,0.00,,,0.00,10.00M,2010-06,20.00M,18.00M,-8.00M,,2010-06,0.00,445.00M,-435.00M,0.00,50.00M,,2010-06,AOR,Restated
2010-03,,,-12.00M,,-8.00M,,,109.00M,109.00M,-24.00M,6.00M,1.00M,,-34.00M,17.00M,-2.00M,37.00M,16.00M,,,68.00M,118.00M,,2010-03,-54.00M,36.00M,-18.00M,,,,,2010-03,-252.00M,,-252.00M,0.00,-1.00M,-1.00M,,,-1.00M,-254.00M,2010-03,169.00M,-154.00M,5.00M,,2010-03,0.00,645.00M,-897.00M,-1.00M,,,2010-03,AOR,Restated
2009-12,-26.00M,,-4.00M,,5.00M,,,116.00M,116.00M,8.00M,4.00M,2.00M,,6.00M,34.00M,9.00M,-49.00M,-24.00M,,,-30.00M,85.00M,,2009-12,-79.00M,39.00M,-40.00M,1.00M,,,,2009-12,-2.235B,,-8.00M,,-1.00M,-1.00M,,,-19.00M,-28.00M,2009-12,149.00M,18.00M,2.00M,,2009-12,,1.449B,-3.684B,-1.00M,1.00M,,2009-12,AOR,Restated
2009-09,0.00,,-3.00M,,-2.00M,,,113.00M,113.00M,3.00M,5.00M,2.00M,,1.00M,11.00M,3.00M,4.00M,8.00M,,,26.00M,148.00M,,2009-09,-68.00M,44.00M,-24.00M,-25.00M,,,,2009-09,483.00M,,-83.00M,,0.00,0.00,,,-1.00M,-84.00M,2009-09,125.00M,15.00M,9.00M,,2009-09,,483.00M,,0.00,-2.00M,,2009-09,AOR,Restated
2009-06,-17.00M,,10.00M,4.00M,-16.00M,,,125.00M,125.00M,-4.00M,4.00M,2.00M,,20.00M,-10.00M,4.00M,2.00M,-29.00M,,,-33.00M,81.00M,,2009-06,-100.00M,89.00M,-11.00M,1.00M,,,,2009-06,1.626B,,-35.00M,,,,,,-14.00M,-49.00M,2009-06,96.00M,22.00M,7.00M,,2009-06,,1.20B,426.00M,,2.00M,,2009-06,AOR,Restated
2009-03,-19.00M,,-9.00M,-4.00M,-13.00M,,,120.00M,120.00M,-3.00M,4.00M,2.00M,,4.00M,93.00M,0.00,7.00M,-71.00M,,,29.00M,124.00M,,2009-03,-64.00M,70.00M,6.00M,-2.00M,,,,2009-03,-106.00M,,-106.00M,,0.00,0.00,,,-1.00M,-107.00M,2009-03,77.00M,21.00M,-2.00M,,2009-03,,320.00M,-426.00M,0.00,2.00M,,2009-03,AOR,Restated
2008-12,-853.00M,,-69.00M,,-52.00M,-378.00M,-11.00M,124.00M,124.00M,-87.00M,16.00M,6.00M,,7.00M,43.00M,19.00M,18.00M,-126.00M,,60.00M,-115.00M,193.00M,,2008-12,-73.00M,78.00M,5.00M,-17.00M,,17.00M,,2008-12,247.00M,,-212.00M,0.00,0.00,0.00,,,288.00M,-181.00M,2008-12,66.00M,17.00M,-6.00M,,2008-12,0.00,2.004B,-1.757B,0.00,,,2008-12,AOR,Restated
2008-09,149.00M,,38.00M,,-19.00M,378.00M,11.00M,140.00M,140.00M,35.00M,-7.00M,-2.00M,,-68.00M,-31.00M,15.00M,24.00M,-52.00M,,-60.00M,-104.00M,124.00M,,2008-09,-162.00M,58.00M,-104.00M,,,-17.00M,,2008-09,133.00M,,592.00M,3.00M,-605.00M,-602.00M,,,-4.00M,-14.00M,2008-09,80.00M,-11.00M,-3.00M,,2008-09,3.00M,-353.00M,486.00M,-605.00M,,,2008-09,,
2008-06,-38.00M,,-21.00M,,-21.00M,,,126.00M,126.00M,34.00M,5.00M,1.00M,,80.00M,-26.00M,1.00M,-14.00M,73.00M,,,34.00M,221.00M,,2008-06,-318.00M,71.00M,-247.00M,0.00,,,,2008-06,-126.00M,,-126.00M,,,,,,-284.00M,-410.00M,2008-06,515.00M,-436.00M,1.00M,,2008-06,,353.00M,-479.00M,,,,2008-06,,Restated
2008-03,38.00M,,-17.00M,,-17.00M,,,123.00M,123.00M,18.00M,2.00M,1.00M,,1.00M,65.00M,-4.00M,2.00M,-3.00M,,,60.00M,226.00M,,2008-03,-151.00M,68.00M,-83.00M,0.00,,,,2008-03,-7.00M,,-7.00M,,,,,,,-7.00M,2008-03,381.00M,136.00M,-2.00M,,2008-03,,0.00,-7.00M,,,,2008-03,,Restated
2007-12,153.00M,,,,-32.00M,-359.00M,-19.00M,113.00M,113.00M,20.00M,,,,7.00M,74.00M,35.00M,-1.00M,-56.00M,,38.00M,90.00M,375.00M,,2007-12,-124.00M,79.00M,-45.00M,0.00,,,,2007-12,,,-72.00M,10.00M,-1.00M,9.00M,,,3.00M,-60.00M,2007-12,112.00M,270.00M,-1.00M,,2007-12,10.00M,,,-1.00M,,,2007-12,,Restated
2007-09,111.00M,,,,-25.00M,124.00M,4.00M,128.00M,128.00M,21.00M,,,,-1.00M,-29.00M,39.00M,9.00M,-100.00M,,8.00M,-73.00M,164.00M,,2007-09,-209.00M,91.00M,-118.00M,-2.00M,,,,2007-09,,,-61.00M,5.00M,-3.00M,2.00M,,,18.00M,-41.00M,2007-09,104.00M,1.00M,7.00M,,2007-09,5.00M,,,-3.00M,,,2007-09,,
2007-06,67.00M,,,,-24.00M,118.00M,11.00M,129.00M,129.00M,12.00M,,,,2.00M,-53.00M,7.00M,8.00M,4.00M,,44.00M,10.00M,196.00M,,2007-06,-361.00M,88.00M,-273.00M,0.00,,,,2007-06,,,53.00M,13.00M,0.00,13.00M,,,8.00M,74.00M,2007-06,104.00M,-3.00M,3.00M,,2007-06,13.00M,,,0.00,,,2007-06,,
2007-03,32.00M,,,,-25.00M,117.00M,4.00M,121.00M,121.00M,8.00M,,,,-2.00M,3.00M,-30.00M,-16.00M,126.00M,,-90.00M,-7.00M,133.00M,,2007-03,-296.00M,84.00M,-212.00M,-21.00M,,,,2007-03,,,9.00M,4.00M,-1.00M,3.00M,,,2.00M,14.00M,2007-03,119.00M,-17.00M,2.00M,,2007-03,4.00M,,,-1.00M,,,2007-03,,
