,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2000-12,750.92M,750.92M,727.37M,23.55M,118.87M,1.04M,,,,-103.98M,127.52M,,,1.04M,,62.18M,25.80M,36.37M,,,,,36.37M,35.75M,232.81M,,2000-12,0.52,0.00,,0.52,,2000-12,0.40,0.00,0.3932,0.40,,91.64M,,2000-12,,
2000-09,859.03M,859.03M,430.83M,428.21M,124.49M,0.484M,,,,233.88M,194.32M,,,0.484M,,128.87M,53.48M,75.39M,,,-4.875M,,75.39M,75.10M,303.71M,,2000-09,1.07,0.00,,1.07,,2000-09,0.79,0.00,0.7868,0.79,,91.64M,,2000-09,,
2000-06,729.95M,729.95M,372.62M,357.33M,109.12M,0.108M,,,,215.35M,141.98M,,,0.108M,,80.68M,33.48M,47.20M,,,-4.875M,,47.20M,47.13M,248.21M,,2000-06,0.66,0.00,,0.66,,2000-06,0.51,0.00,0.5093,0.51,,91.64M,,2000-06,,
2000-03,578.96M,578.96M,299.48M,279.49M,101.85M,0.204M,,,,195.37M,84.12M,,,0.204M,,29.76M,12.35M,17.41M,,,-4.875M,,17.41M,17.29M,177.64M,,2000-03,0.24,0.00,,0.24,,2000-03,0.19,0.00,0.1887,0.19,,91.64M,,2000-03,,
1999-12,669.03M,669.03M,623.01M,46.02M,104.40M,0.479M,,,,-79.84M,125.86M,,,0.479M,,75.21M,30.84M,44.37M,,,,,44.37M,44.08M,222.26M,,1999-12,0.61,0.00,,0.61,,1999-12,0.47,0.00,0.4670,0.47,,95.65M,,1999-12,,
1999-09,668.60M,668.60M,333.70M,334.90M,98.30M,0.40M,,,,192.90M,142.00M,,,0.40M,,95.30M,39.10M,56.20M,,,-4.90M,,56.20M,55.96M,236.60M,,1999-09,0.78,0.00,,0.78,,1999-09,0.60,0.00,0.5976,0.60,,99.00M,,1999-09,,
1999-06,503.66M,503.66M,253.70M,249.96M,84.60M,-9.40M,,,,164.90M,85.06M,,,-9.40M,,43.90M,18.00M,25.90M,,,-4.90M,,25.90M,31.54M,165.36M,,1999-06,0.36,0.00,,0.36,,1999-06,0.28,0.00,0.3410,0.28,,92.50M,,1999-06,,
1999-03,392.31M,392.31M,198.30M,194.01M,65.30M,0.20M,,,,137.50M,56.51M,,,0.20M,,27.50M,11.30M,16.20M,,,-4.90M,,16.20M,16.08M,128.71M,,1999-03,0.24,0.00,,0.24,,1999-03,0.18,0.00,0.1787,0.18,,90.00M,,1999-03,,
1998-12,416.00M,416.00M,209.90M,206.10M,66.80M,-4.60M,,,,134.90M,71.20M,,,-4.60M,,36.60M,18.30M,18.30M,,,,,18.30M,21.06M,139.30M,,1998-12,0.27,0.00,,0.27,,1998-12,0.25,0.00,0.2793,0.25,,94.29M,,1998-12,,
1998-09,379.10M,379.10M,125.80M,253.30M,60.40M,-41.90M,,,,186.20M,67.10M,,,-41.90M,,-1.80M,8.40M,-10.20M,,,,,-31.50M,14.94M,192.90M,,1998-09,-0.15,-0.31,,-0.46,,1998-09,-0.15,-0.31,0.1772,-0.46,,76.83M,,1998-09,,
1998-06,254.00M,254.00M,160.80M,93.20M,42.20M,3.40M,,,,54.90M,38.30M,,,3.40M,,32.20M,11.90M,20.30M,,,,,20.30M,18.16M,83.00M,,1998-06,0.31,0.00,,0.31,,1998-06,0.28,0.00,0.2058,0.28,,28.89M,,1998-06,,
