,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,AsOriginallyReported,Restated
2014-03,227.00M,227.00M,752.00M,752.00M,102.00M,59.00M,260.00M,,1.40B,,,,5.406B,408.00M,,5.814B,,5.814B,2.944B,972.00M,3.916B,117.00M,9.847B,11.25B,,2014-03,454.00M,,454.00M,382.00M,,265.00M,,265.00M,,,,1.101B,6.774B,,6.774B,1.481B,1.481B,,,,67.00M,8.322B,9.423B,,2014-03,1.00M,252.00M,,,-20.00M,1.824B,AOR,Restated
2013-12,175.00M,175.00M,804.00M,804.00M,70.00M,53.00M,260.00M,,1.362B,0.00,103.00M,213.00M,7.856B,,192.00M,8.364B,-2.569B,5.795B,2.953B,1.018B,3.971B,103.00M,9.869B,11.23B,,2013-12,292.00M,29.00M,321.00M,134.00M,,604.00M,,604.00M,32.00M,32.00M,59.00M,1.286B,6.569B,,6.569B,1.459B,1.459B,69.00M,,,,8.097B,9.383B,,2013-12,1.00M,209.00M,,,19.00M,1.848B,AOR,Restated
2013-09,125.00M,125.00M,807.00M,807.00M,91.00M,129.00M,262.00M,,1.414B,,,,5.599B,420.00M,,6.019B,,6.019B,2.961B,1.064B,4.025B,105.00M,10.15B,11.56B,,2013-09,366.00M,,366.00M,422.00M,,630.00M,,630.00M,,,,1.418B,6.952B,,6.952B,1.395B,1.395B,,,,69.00M,8.416B,9.834B,,2013-09,1.00M,200.00M,,,53.00M,1.729B,AOR,Restated
2013-06,133.00M,133.00M,751.00M,751.00M,111.00M,113.00M,255.00M,,1.363B,,,,5.38B,417.00M,,5.797B,,5.797B,2.954B,1.103B,4.057B,109.00M,9.963B,11.33B,,2013-06,606.00M,,606.00M,362.00M,,624.00M,,624.00M,,,,1.592B,6.732B,,6.732B,1.328B,1.328B,,,,65.00M,8.125B,9.717B,,2013-06,1.00M,185.00M,,,32.00M,1.609B,AOR,Restated
2013-03,147.00M,147.00M,725.00M,725.00M,103.00M,81.00M,255.00M,,1.311B,,,,4.963B,420.00M,,5.383B,,5.383B,2.963B,1.151B,4.114B,113.00M,9.61B,10.92B,,2013-03,406.00M,,406.00M,396.00M,,567.00M,,567.00M,,,,1.369B,6.597B,,6.597B,1.293B,1.293B,,,,67.00M,7.957B,9.326B,,2013-03,1.00M,133.00M,,,64.00M,1.595B,AOR,Restated
2012-12,106.00M,106.00M,793.00M,793.00M,68.00M,111.00M,265.00M,,1.343B,0.00,106.00M,224.00M,7.076B,,175.00M,7.581B,-2.187B,5.394B,2.97B,1.20B,4.17B,119.00M,9.683B,11.03B,,2012-12,286.00M,29.00M,315.00M,136.00M,,630.00M,,630.00M,28.00M,28.00M,61.00M,1.351B,6.734B,,6.734B,1.302B,1.302B,65.00M,,,,8.101B,9.452B,,2012-12,1.00M,115.00M,,,84.00M,1.574B,AOR,Restated
2012-09,68.00M,68.00M,804.00M,804.00M,89.00M,108.00M,42.00M,,1.111B,,,,,,,,,5.529B,2.964B,1.264B,4.228B,124.00M,9.881B,10.99B,,2012-09,408.00M,,408.00M,455.00M,,651.00M,,651.00M,,,,1.514B,6.779B,,6.779B,1.106B,1.106B,,,,98.00M,7.983B,9.497B,,2012-09,1.00M,112.00M,,,94.00M,1.495B,AOR,Restated
2012-06,41.00M,41.00M,704.00M,704.00M,102.00M,106.00M,66.00M,,1.019B,,,,,,,,,5.514B,,,4.281B,128.00M,9.923B,10.94B,,2012-06,605.00M,,605.00M,395.00M,,421.00M,,421.00M,,,,1.421B,6.923B,,6.923B,1.106B,1.106B,,,,97.00M,8.126B,9.547B,,2012-06,1.00M,100.00M,,,73.00M,1.395B,AOR,Restated
2012-03,26.00M,26.00M,417.00M,417.00M,85.00M,78.00M,50.00M,,656.00M,,,,,,,,,3.245B,,,414.00M,2.982B,6.641B,7.297B,,2012-03,384.00M,,384.00M,291.00M,,371.00M,,371.00M,,,,1.046B,5.645B,,5.645B,419.00M,419.00M,,,,97.00M,6.161B,7.207B,,2012-03,1.00M,,,,85.00M,90.00M,AOR,Restated
2011-12,36.00M,36.00M,464.00M,464.00M,44.00M,75.00M,104.00M,,723.00M,0.00,109.00M,223.00M,4.386B,,158.00M,4.876B,-1.893B,2.983B,289.00M,83.00M,372.00M,65.00M,3.42B,4.143B,,2011-12,220.00M,18.00M,238.00M,47.00M,,395.00M,,395.00M,18.00M,18.00M,51.00M,864.00M,2.647B,,2.647B,470.00M,470.00M,53.00M,,,6.00M,3.176B,4.04B,,2011-12,1.00M,0.00,,,75.00M,103.00M,AOR,Restated
2011-09,26.00M,26.00M,453.00M,453.00M,56.00M,68.00M,55.00M,,658.00M,,,,,,,,,2.958B,,,332.00M,57.00M,3.347B,4.005B,,2011-09,233.00M,,233.00M,245.00M,,401.00M,,401.00M,,,,879.00M,2.616B,,2.616B,397.00M,397.00M,,,,99.00M,3.112B,3.991B,,2011-09,1.00M,,,,63.00M,14.00M,AOR,Restated
2011-06,58.00M,58.00M,407.00M,407.00M,70.00M,68.00M,71.00M,,674.00M,,,,,,,,,2.90B,,,319.00M,59.00M,3.278B,3.952B,,2011-06,282.00M,,282.00M,211.00M,,347.00M,,347.00M,,,,840.00M,2.629B,,2.629B,399.00M,399.00M,,,,104.00M,3.132B,3.972B,,2011-06,1.00M,,,,100.00M,-20.00M,AOR,Restated
2011-03,205.00M,205.00M,341.00M,341.00M,63.00M,48.00M,76.00M,,733.00M,,,,,,,,,2.669B,,,226.00M,64.00M,2.959B,3.692B,,2011-03,222.00M,,222.00M,189.00M,,199.00M,,199.00M,,,,610.00M,2.664B,,2.664B,385.00M,385.00M,,,,62.00M,3.111B,3.721B,,2011-03,1.00M,,,,99.00M,-29.00M,AOR,Restated
2010-12,203.00M,203.00M,377.00M,377.00M,39.00M,37.00M,69.00M,,725.00M,20.00M,112.00M,227.00M,3.935B,,166.00M,4.46B,-1.787B,2.673B,198.00M,29.00M,227.00M,68.00M,2.968B,3.693B,,2010-12,132.00M,,132.00M,208.00M,,229.00M,,229.00M,,,,569.00M,2.70B,,2.70B,385.00M,385.00M,,,,59.00M,3.144B,3.713B,,2010-12,1.00M,,,,87.00M,-20.00M,AOR,Restated
2010-09,170.00M,170.00M,399.00M,399.00M,48.00M,37.00M,58.00M,,712.00M,,,,,,,,,2.744B,,,227.00M,61.00M,3.032B,3.744B,,2010-09,167.00M,,167.00M,234.00M,,123.00M,,123.00M,,,,524.00M,2.816B,,2.816B,384.00M,384.00M,,,,35.00M,3.235B,3.759B,,2010-09,1.00M,,,,73.00M,-15.00M,AOR,Restated
2010-06,30.00M,30.00M,344.00M,344.00M,60.00M,40.00M,57.00M,,531.00M,,,,,,,,,2.751B,,,227.00M,65.00M,3.043B,3.574B,,2010-06,188.00M,,188.00M,195.00M,,124.00M,,124.00M,,,,507.00M,2.711B,,2.711B,369.00M,369.00M,,,,37.00M,3.117B,3.624B,,2010-06,1.00M,,,,62.00M,-50.00M,AOR,Restated
2010-03,20.00M,20.00M,320.00M,320.00M,46.00M,56.00M,69.00M,,511.00M,,,,,,,,,2.775B,,,230.00M,68.00M,3.073B,3.584B,,2010-03,138.00M,,138.00M,219.00M,,124.00M,,124.00M,,,,481.00M,2.706B,,2.706B,405.00M,405.00M,,,,40.00M,3.151B,3.632B,,2010-03,1.00M,,,,78.00M,-48.00M,AOR,Restated
2009-12,169.00M,169.00M,337.00M,337.00M,44.00M,89.00M,66.00M,,705.00M,22.00M,120.00M,229.00M,140.00M,,3.898B,4.409B,-1.561B,2.848B,196.00M,35.00M,231.00M,75.00M,3.154B,3.859B,,2009-12,128.00M,,128.00M,208.00M,,125.00M,,125.00M,,,,461.00M,2.95B,,2.95B,424.00M,424.00M,,,,43.00M,3.417B,3.878B,,2009-12,1.00M,,,,67.00M,-19.00M,AOR,Restated
2009-09,149.00M,149.00M,369.00M,369.00M,52.00M,35.00M,74.00M,,679.00M,,,,,,,,,2.921B,,,232.00M,63.00M,3.216B,3.895B,,2009-09,143.00M,,143.00M,215.00M,,9.00M,,9.00M,,,,367.00M,3.093B,,3.093B,414.00M,414.00M,,,,39.00M,3.546B,3.913B,,2009-09,1.00M,,,,60.00M,-18.00M,AOR,Restated
2009-06,125.00M,125.00M,375.00M,375.00M,55.00M,36.00M,74.00M,,665.00M,,,,,,,,,2.956B,,,230.00M,67.00M,3.253B,3.918B,,2009-06,144.00M,,144.00M,196.00M,,9.00M,,9.00M,,,,349.00M,3.166B,,3.166B,407.00M,407.00M,,,,42.00M,3.615B,3.964B,,2009-06,1.00M,,,,33.00M,-46.00M,AOR,Restated
2009-03,96.00M,96.00M,359.00M,359.00M,59.00M,33.00M,75.00M,,622.00M,,,,,,,,,3.064B,,,229.00M,62.00M,3.355B,3.977B,,2009-03,154.00M,,154.00M,191.00M,,11.00M,,11.00M,,,,356.00M,3.221B,,3.221B,410.00M,410.00M,,,,46.00M,3.677B,4.033B,,2009-03,1.00M,,,,7.00M,-56.00M,AOR,Restated
2008-12,77.00M,77.00M,454.00M,454.00M,59.00M,37.00M,76.00M,,703.00M,32.00M,120.00M,229.00M,131.00M,,4.21B,4.722B,-1.529B,3.193B,190.00M,39.00M,229.00M,66.00M,3.488B,4.191B,,2008-12,157.00M,,157.00M,257.00M,,13.00M,,13.00M,,,,427.00M,3.332B,,3.332B,414.00M,414.00M,,,,47.00M,3.793B,4.22B,,2008-12,1.00M,,,,16.00M,-29.00M,AOR,Restated
2008-09,66.00M,66.00M,507.00M,507.00M,78.00M,50.00M,80.00M,,781.00M,,,,2.927B,1.961B,,4.888B,-1.521B,3.367B,1.393B,,1.393B,71.00M,4.831B,5.612B,,2008-09,211.00M,,211.00M,246.00M,,11.00M,,11.00M,,,,468.00M,3.579B,,3.579B,631.00M,631.00M,,,,59.00M,4.269B,4.737B,,2008-09,1.00M,,,,68.00M,875.00M,,
2008-06,80.00M,80.00M,478.00M,478.00M,94.00M,72.00M,44.00M,,768.00M,,,,2.936B,1.955B,,4.891B,-1.521B,3.37B,1.395B,,1.395B,76.00M,4.841B,5.609B,,2008-06,311.00M,,311.00M,262.00M,,12.00M,,12.00M,,,,585.00M,2.983B,,2.983B,562.00M,562.00M,,,,65.00M,3.61B,4.195B,,2008-06,1.00M,,,,84.00M,1.414B,,Restated
2008-03,515.00M,515.00M,452.00M,452.00M,95.00M,54.00M,74.00M,,1.19B,,,,2.796B,1.961B,,4.757B,-1.521B,3.236B,1.396B,,1.396B,50.00M,4.682B,5.872B,,2008-03,275.00M,,275.00M,216.00M,,157.00M,,157.00M,,,,648.00M,2.559B,,2.559B,559.00M,559.00M,,,,64.00M,3.182B,3.83B,,2008-03,1.00M,,,,77.00M,2.042B,,Restated
2007-12,381.00M,381.00M,519.00M,519.00M,91.00M,57.00M,72.00M,,1.12B,58.00M,112.00M,196.00M,163.00M,,4.258B,4.787B,-1.521B,3.266B,1.358B,46.00M,1.404B,52.00M,4.722B,5.842B,,2007-12,195.00M,,195.00M,310.00M,,15.00M,,15.00M,,,,520.00M,2.701B,,2.701B,539.00M,539.00M,,,,64.00M,3.304B,3.824B,,2007-12,1.00M,,,,92.00M,2.018B,,Restated
2007-09,112.00M,112.00M,582.00M,582.00M,123.00M,51.00M,51.00M,,919.00M,,,,,,,4.73B,-1.397B,3.333B,1.407B,,1.407B,58.00M,4.798B,5.717B,,2007-09,248.00M,,248.00M,273.00M,,78.00M,,78.00M,,,,599.00M,2.681B,,2.681B,472.00M,472.00M,,,,100.00M,3.253B,3.852B,,2007-09,1.00M,,,,107.00M,1.865B,,
2007-06,104.00M,104.00M,553.00M,553.00M,162.00M,61.00M,48.00M,,928.00M,,,,,,,4.678B,-1.397B,3.281B,1.397B,,1.397B,62.00M,4.74B,5.668B,,2007-06,348.00M,,348.00M,263.00M,,121.00M,,121.00M,,,,732.00M,2.655B,,2.655B,449.00M,449.00M,,,,130.00M,3.234B,3.966B,,2007-06,1.00M,,,,78.00M,1.702B,,
2007-03,104.00M,104.00M,500.00M,500.00M,169.00M,70.00M,51.00M,,894.00M,,,,,,,4.466B,-1.397B,3.069B,1.385B,,1.385B,62.00M,4.516B,5.41B,,2007-03,344.00M,,344.00M,224.00M,,61.00M,,61.00M,,,,629.00M,2.655B,,2.655B,439.00M,439.00M,,,,106.00M,3.20B,3.829B,,2007-03,1.00M,,,,51.00M,1.581B,,
2006-12,119.00M,119.00M,502.00M,502.00M,139.00M,56.00M,82.00M,107.00M,1.005B,0.00,91.00M,252.00M,3.903B,71.00M,,4.317B,-1.397B,2.92B,1.376B,,1.376B,65.00M,4.361B,5.366B,,2006-12,218.00M,,218.00M,322.00M,,37.00M,,37.00M,,,22.00M,599.00M,2.665B,,2.665B,463.00M,463.00M,,,,101.00M,3.229B,3.828B,,2006-12,1.00M,,,,47.00M,1.538B,,
2006-09,140.00M,140.00M,615.00M,615.00M,174.00M,123.00M,,,1.052B,,,,2.688B,687.00M,,3.375B,-309.00M,3.066B,1.34B,30.00M,1.37B,,4.436B,5.488B,,2006-09,267.00M,,267.00M,423.00M,,,,,,,,690.00M,2.957B,,2.957B,340.00M,340.00M,,,,,3.297B,3.987B,,2006-09,1.00M,,,,60.00M,1.501B,,
2006-06,208.00M,208.00M,566.00M,566.00M,195.00M,140.00M,,,1.109B,,,,2.587B,771.00M,,3.358B,-309.00M,3.049B,1.341B,31.00M,1.372B,,4.421B,5.53B,,2006-06,284.00M,,284.00M,435.00M,,,,,,,,719.00M,3.116B,,3.116B,293.00M,293.00M,,,,,3.409B,4.128B,,2006-06,1.00M,,,,63.00M,1.402B,,
