,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2013-06,1.653B,1.653B,649.00M,1.004B,735.00M,,9.00M,16.00M,5.00M,2.00M,-3.00M,,744.00M,260.00M,2.00M,5.00M,-3.00M,8.00M,-3.00M,265.00M,84.00M,181.00M,,,181.00M,174.17M,330.00M,60.00M,270.00M,,1.99,,,1.915,1.99,,1.94,,,1.867,1.94,,90.80M,93.10M,0.40,,AOR,Restated
2013-03,1.644B,1.644B,669.00M,975.00M,770.00M,,7.00M,-16.00M,6.00M,2.00M,-4.00M,,777.00M,198.00M,2.00M,6.00M,-4.00M,-26.00M,-4.00M,168.00M,41.00M,127.00M,,,127.00M,142.88M,233.00M,59.00M,174.00M,,1.41,,,1.586,1.41,,1.37,,,1.541,1.37,,90.40M,93.10M,0.40,,AOR,Restated
2012-12,1.846B,1.846B,752.00M,1.094B,768.00M,,7.00M,-14.00M,5.00M,1.00M,-4.00M,,775.00M,319.00M,1.00M,5.00M,-4.00M,-20.00M,-4.00M,295.00M,79.00M,216.00M,,,216.00M,229.18M,361.00M,61.00M,300.00M,,2.37,,,2.515,2.37,,2.31,,,2.451,2.31,,91.10M,93.30M,0.40,,AOR,Restated
2012-09,1.862B,1.862B,767.00M,1.095B,741.00M,,6.00M,0.00,6.00M,2.00M,-4.00M,,747.00M,348.00M,2.00M,6.00M,-4.00M,-2.00M,-4.00M,342.00M,128.00M,214.00M,,,214.00M,214.00M,405.00M,57.00M,348.00M,,2.34,,,2.34,2.34,,2.29,,,2.29,2.29,,91.30M,93.40M,0.40,,AOR,Restated
2012-06,1.593B,1.593B,601.00M,992.00M,693.00M,,7.00M,0.00,5.00M,1.00M,-4.00M,,700.00M,292.00M,1.00M,5.00M,-4.00M,-4.00M,-4.00M,284.00M,91.00M,193.00M,,,193.00M,195.04M,345.00M,56.00M,289.00M,,2.10,,,2.122,2.10,,2.03,,,2.051,2.03,,92.20M,95.10M,0.40,,AOR,Restated
2012-03,1.623B,1.623B,697.10M,926.30M,773.60M,,7.20M,-9.50M,5.20M,1.70M,-3.50M,,780.80M,145.50M,1.70M,5.20M,-3.50M,-11.10M,-3.50M,130.90M,36.50M,94.40M,,,94.40M,99.66M,192.90M,56.80M,136.10M,,1.03,,,1.087,1.03,,0.99,,,1.045,0.99,,92.40M,95.20M,0.20,,AOR,Restated
2011-12,1.806B,1.806B,774.00M,1.032B,750.70M,,7.20M,-3.60M,6.30M,2.70M,-3.60M,,757.90M,273.70M,2.70M,6.30M,-3.60M,-8.00M,-3.60M,262.10M,93.10M,169.00M,,,169.00M,172.74M,325.20M,56.80M,268.40M,,1.83,0.00,,1.871,1.83,,1.78,0.00,,1.819,1.78,,92.20M,94.90M,0.20,,AOR,Restated
2011-09,1.905B,1.905B,826.00M,1.079B,671.80M,48.50M,7.50M,,6.40M,2.40M,-4.00M,,727.80M,350.80M,2.40M,6.40M,-4.00M,0.70M,-4.00M,347.50M,114.00M,233.50M,,,233.50M,232.29M,409.90M,56.00M,353.90M,,2.53,0.00,,2.517,2.53,,2.46,0.00,,2.447,2.46,,92.20M,94.90M,0.20,,AOR,Restated
2011-06,1.526B,1.526B,564.90M,961.50M,672.30M,,7.10M,,6.10M,4.20M,-1.90M,,679.40M,282.10M,4.20M,6.10M,-1.90M,-5.70M,-1.90M,274.50M,90.40M,184.10M,,,184.10M,186.65M,336.00M,55.40M,280.60M,,1.96,0.00,,1.987,1.96,,1.90,0.00,,1.926,1.90,,93.90M,96.80M,0.20,,AOR,Restated
2011-03,1.427B,1.427B,616.60M,810.30M,681.10M,,6.90M,-3.90M,5.10M,2.50M,-2.60M,,688.00M,122.30M,2.50M,5.10M,-2.60M,-8.20M,-2.60M,111.50M,38.30M,73.20M,,,73.20M,75.76M,167.90M,51.30M,116.60M,,0.76,0.00,,0.7867,0.76,,0.74,0.00,,0.7659,0.74,,96.00M,98.70M,0.20,,AOR,Restated
2010-12,1.548B,1.548B,640.10M,907.90M,655.30M,,6.30M,-2.60M,4.30M,1.80M,-2.50M,,661.60M,246.30M,1.80M,4.30M,-2.50M,-5.40M,-2.50M,238.40M,70.00M,168.40M,,,168.40M,170.24M,293.10M,50.40M,242.70M,,1.76,0.00,,1.779,1.76,,1.72,0.00,,1.739,1.72,,95.50M,98.10M,0.10,,AOR,Restated
2010-09,1.532B,1.532B,644.20M,887.90M,574.30M,,6.20M,,4.40M,1.60M,-2.80M,,580.50M,307.40M,1.60M,4.40M,-2.80M,1.40M,-2.80M,306.00M,100.80M,205.20M,,,205.20M,203.72M,356.80M,46.40M,310.40M,,2.15,0.00,,2.135,2.15,,2.09,0.00,,2.075,2.09,,95.50M,98.00M,0.10,,AOR,Restated
2010-06,1.153B,1.153B,441.10M,712.20M,532.00M,,6.00M,,4.50M,1.80M,-2.70M,,538.00M,174.20M,1.80M,4.50M,-2.70M,-2.00M,-2.70M,169.50M,48.70M,120.80M,,,120.80M,121.37M,220.00M,46.00M,174.00M,,1.24,0.00,,1.246,1.24,,1.21,0.00,,1.216,1.21,,97.20M,99.90M,0.10,,AOR,Restated
2010-03,1.337B,1.337B,547.70M,789.40M,612.00M,,6.00M,3.30M,5.40M,2.00M,-3.40M,,618.00M,171.40M,2.00M,5.40M,-3.40M,-0.60M,-3.40M,167.40M,53.30M,114.10M,,,114.10M,111.85M,220.50M,47.70M,172.80M,,1.16,0.00,,1.137,1.16,,1.13,0.00,,1.108,1.13,,98.30M,100.70M,0.10,,AOR,Restated
2009-12,1.244B,1.244B,520.20M,723.70M,540.40M,,5.30M,-6.70M,4.60M,1.20M,-3.40M,,545.70M,178.00M,1.20M,4.60M,-3.40M,-9.10M,-3.40M,165.50M,54.40M,111.10M,,,111.10M,115.60M,214.20M,44.10M,170.10M,,1.12,0.00,,1.166,1.12,,1.10,0.00,,1.144,1.10,,98.80M,101.40M,0.10,,AOR,Restated
2009-09,1.374B,1.374B,589.40M,784.80M,525.70M,,5.20M,-10.60M,5.60M,6.40M,0.80M,,530.90M,253.90M,6.40M,5.60M,0.80M,-12.40M,0.80M,242.30M,64.80M,177.50M,,,177.50M,185.27M,293.00M,45.10M,247.90M,,1.79,0.00,,1.868,1.79,,1.75,0.00,,1.826,1.75,,99.40M,101.60M,0.05,,AOR,Restated
2009-06,1.024B,1.024B,422.50M,601.20M,478.90M,,5.20M,0.50M,6.60M,2.80M,-3.80M,,484.10M,117.10M,2.80M,6.60M,-3.80M,0.80M,-3.80M,114.10M,37.30M,76.80M,,,76.80M,76.46M,165.00M,44.30M,120.70M,,0.77,0.00,,0.7666,0.77,,0.76,0.00,,0.7567,0.76,,99.20M,101.50M,0.05,,AOR,Restated
2009-03,1.224B,1.224B,590.00M,634.40M,520.70M,,5.20M,-65.00M,6.10M,3.50M,-2.60M,,525.90M,108.50M,3.50M,6.10M,-2.60M,-67.30M,-2.60M,38.60M,-5.90M,44.50M,,,44.50M,86.75M,91.10M,46.40M,44.70M,,0.45,0.00,,0.8759,0.45,,0.45,0.00,,0.8708,0.45,,99.20M,100.40M,0.05,,AOR,Restated
2008-12,1.252B,1.252B,582.30M,669.70M,496.50M,,5.10M,-6.90M,7.40M,5.40M,-2.00M,,501.60M,168.10M,5.40M,7.40M,-2.00M,-8.00M,-2.00M,158.10M,52.80M,105.30M,,,105.30M,109.90M,210.40M,44.90M,165.50M,,1.07,0.00,,1.117,1.07,,1.05,0.00,,1.096,1.05,,98.80M,100.70M,0.05,,,Restated
2008-09,1.429B,1.429B,640.70M,788.20M,532.30M,,5.00M,-5.30M,6.10M,5.90M,-0.20M,,537.30M,250.90M,5.90M,6.10M,-0.20M,-6.10M,-0.20M,244.60M,83.60M,161.00M,,,161.00M,164.49M,297.70M,47.00M,250.70M,,1.62,0.00,,1.655,1.62,,1.58,0.00,,1.614,1.58,,99.30M,101.80M,0.05,,,Restated
2008-06,1.114B,1.114B,475.20M,638.40M,486.50M,,4.90M,-0.30M,7.00M,7.20M,0.20M,,491.40M,147.00M,7.20M,7.00M,0.20M,-1.00M,0.20M,146.20M,51.00M,95.20M,,,95.20M,95.40M,199.30M,46.10M,153.20M,,0.96,0.00,,0.9620,0.96,,0.93,0.00,,0.9319,0.93,,99.50M,102.10M,0.05,,,Restated
2008-03,1.241B,1.241B,566.60M,674.30M,513.60M,,11.50M,-7.10M,,,,,530.10M,144.20M,,,,-7.70M,,143.20M,39.70M,103.50M,,0.00,103.50M,108.63M,197.90M,53.70M,144.20M,,1.02,0.00,,1.071,1.02,,1.00,0.00,,1.049,1.00,,101.10M,103.70M,0.05,,,
2007-12,1.270B,1.270B,593.30M,676.50M,492.20M,,13.60M,-2.20M,,,,,505.80M,170.70M,,,,-2.80M,,163.50M,50.80M,112.70M,,-0.10M,112.70M,114.22M,223.70M,53.00M,170.70M,,1.11,0.00,,1.125,1.11,,1.08,0.00,,1.095,1.08,,101.60M,104.30M,0.05,,,
2007-09,1.299B,1.299B,603.90M,695.20M,488.20M,,14.40M,-0.90M,,,,,502.60M,192.60M,,,,-1.50M,,190.30M,75.00M,115.30M,,-0.10M,115.30M,115.85M,244.10M,51.50M,192.60M,,1.12,0.00,,1.125,1.12,,1.09,0.00,,1.095,1.09,,102.60M,105.40M,0.05,,,
2007-06,1.070B,1.070B,478.30M,592.00M,438.50M,,7.70M,-1.30M,,,,,446.20M,145.80M,,,,-1.30M,,145.10M,56.80M,88.30M,,-1.80M,88.30M,89.09M,188.90M,43.10M,145.80M,,0.85,0.00,,0.8576,0.85,,0.82,0.00,,0.8274,0.82,,103.90M,107.30M,0.05,,,
2007-03,1.031B,1.031B,473.20M,558.10M,434.20M,,3.20M,-0.90M,,,,,437.40M,120.70M,,,,-1.00M,,120.40M,47.20M,73.20M,,-4.40M,73.20M,73.75M,161.20M,40.50M,120.70M,,0.71,0.00,,0.7153,0.71,,0.69,0.00,,0.6951,0.69,,103.80M,107.30M,0.05,,,
2006-12,1.144B,1.144B,529.70M,614.00M,426.80M,,3.00M,-1.30M,,,,,429.80M,184.20M,,,,0.10M,,180.80M,70.30M,110.50M,,-3.30M,110.50M,111.29M,217.00M,32.80M,184.20M,,1.06,0.00,,1.068,1.06,,1.03,0.00,,1.037,1.03,,104.20M,107.60M,0.05,,,
2006-09,1.167B,1.167B,534.20M,632.60M,412.10M,,3.80M,-0.60M,,,,,415.90M,216.70M,,,,0.30M,,213.60M,76.60M,137.00M,,-3.60M,137.00M,137.38M,250.30M,33.60M,216.70M,,1.31,0.00,,1.314,1.31,,1.28,0.00,,1.284,1.28,,104.50M,107.30M,0.05,,,
2006-06,953.60M,953.60M,422.10M,531.50M,390.30M,,5.60M,-3.30M,,,,,395.90M,135.60M,,,,-2.50M,,128.50M,48.30M,80.20M,,-4.00M,80.20M,82.26M,173.40M,37.80M,135.60M,,0.76,0.00,,0.7796,0.76,,0.74,0.00,,0.7591,0.74,,105.10M,108.10M,0.05,,,
2006-03,971.50M,971.50M,446.50M,525.00M,394.00M,,4.80M,-9.50M,,,,1.40M,400.20M,124.80M,,,,-9.80M,,110.40M,48.00M,62.40M,,-6.20M,62.40M,68.10M,157.30M,32.50M,124.80M,,0.60,0.00,,0.6544,0.60,,0.57,0.00,,0.6227,0.57,,104.80M,108.10M,0.05,,,
2005-12,995.50M,995.50M,464.00M,531.50M,381.70M,,1.80M,-5.00M,,,,4.40M,387.90M,143.60M,,,,-3.40M,,143.10M,52.40M,90.70M,,-2.00M,90.70M,93.87M,179.80M,36.20M,143.60M,,0.87,0.00,,0.9003,0.87,,0.84,0.00,,0.8694,0.84,,104.70M,107.80M,0.05,,,
2005-09,1.027B,1.027B,475.90M,551.50M,368.00M,,1.60M,-10.90M,,,,4.90M,374.50M,177.00M,,,,-9.60M,,168.50M,64.30M,104.20M,,-3.90M,104.20M,110.94M,206.60M,29.60M,177.00M,,1.00,0.00,,1.065,1.00,,0.97,0.00,,1.033,0.97,,104.20M,107.40M,0.05,,,
2005-06,751.90M,751.90M,337.50M,414.40M,333.20M,,1.00M,,,,,,334.20M,80.20M,,,,1.80M,,81.00M,30.30M,50.70M,,-1.40M,50.70M,50.70M,108.90M,28.70M,80.20M,,0.49,0.00,,0.49,0.49,,0.48,0.00,,0.48,0.48,,103.00M,105.50M,0.05,,,
2005-03,902.21M,902.21M,425.34M,476.86M,432.48M,,1.537M,0.284M,,,,0.901M,434.92M,41.94M,,,,6.684M,,41.91M,17.41M,23.37M,,,23.37M,23.20M,70.12M,28.18M,41.94M,,0.23,0.00,,0.2283,0.23,,0.22,0.00,,0.2184,0.22,,102.43M,105.70M,0.05,,,
2004-12,901.57M,901.57M,455.50M,446.08M,329.05M,,0.621M,0.897M,,,,,329.67M,116.41M,,,,0.897M,,114.60M,40.28M,75.04M,,,75.04M,74.45M,143.41M,27.00M,116.41M,,0.74,0.00,,0.7343,0.74,,0.72,0.00,,0.7144,0.72,,101.90M,104.32M,0.05,,,
2004-09,895.61M,895.61M,449.58M,446.03M,321.59M,,0.682M,0.936M,,,,0.599M,322.87M,123.17M,,,,0.936M,,123.37M,43.39M,79.27M,,,79.27M,78.66M,146.93M,23.77M,123.17M,,0.78,0.00,,0.7740,0.78,,0.77,0.00,,0.7641,0.77,,101.19M,103.57M,0.05,,,
2004-06,606.01M,606.01M,290.48M,315.53M,295.04M,,,0.183M,,,,,295.04M,20.48M,,,,0.183M,,17.92M,6.316M,12.72M,,,12.72M,12.61M,43.64M,23.15M,20.48M,,0.13,0.00,,0.1288,0.13,,0.12,0.00,,0.1188,0.12,,100.48M,102.80M,0.05,,,
2004-03,818.83M,818.83M,427.85M,390.98M,264.05M,,,-10.45M,,,,,265.35M,125.63M,,,,-4.953M,,116.90M,42.13M,74.78M,,,74.78M,81.46M,152.13M,26.50M,125.63M,,0.77,0.00,,0.8370,0.77,,0.75,0.00,,0.8150,0.75,,99.85M,102.79M,0.05,,,
2003-12,645.36M,645.36M,312.36M,333.00M,256.61M,,,-18.67M,,,,,256.61M,76.39M,,,,-18.67M,,55.21M,19.85M,35.36M,,,35.36M,47.31M,94.99M,18.60M,76.39M,,0.36,0.00,,0.4807,0.36,,0.35,0.00,,0.4680,0.35,,99.07M,101.29M,0.05,,,
