,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2014-11,1.559B,1.559B,1.270B,289.30M,61.90M,128.90M,190.80M,39.30M,-39.30M,-33.70M,270.90M,18.40M,-33.70M,-39.30M,-33.70M,-54.60M,-23.80M,-30.80M,-2.00M,-32.80M,-5.255M,98.50M,80.10M,18.40M,,-0.24,-0.02,-0.0400,-0.26,,-0.24,-0.02,-0.0400,-0.26,,127.70M,127.70M,0.55,,AOR,Restated
2014-08,1.596B,1.596B,1.283B,313.20M,64.50M,95.40M,159.90M,7.00M,-7.00M,-111.30M,238.60M,74.60M,-111.30M,-7.00M,-111.30M,-43.70M,-24.40M,-19.30M,522.50M,503.20M,-14.75M,153.30M,78.70M,74.60M,,-0.14,3.95,-0.1056,3.81,,-0.14,3.95,-0.1056,3.81,,132.20M,132.20M,0.55,,AOR,Restated
2014-05,1.650B,1.650B,1.316B,334.00M,,-81.20M,171.10M,17.10M,-15.20M,-35.50M,249.50M,84.50M,-35.50M,-15.20M,-35.50M,33.80M,-14.50M,48.30M,38.20M,86.50M,58.18M,147.10M,78.40M,68.70M,,0.37,0.29,0.4449,0.66,,0.36,0.29,0.4337,0.65,,131.90M,134.10M,0.55,,AOR,Restated
2014-02,1.618B,1.618B,1.266B,352.70M,,154.20M,154.20M,0.00,0.00,-33.10M,230.50M,122.20M,-33.10M,,-33.10M,89.10M,2.50M,86.60M,23.10M,109.70M,86.60M,198.50M,76.30M,122.20M,,0.66,0.18,0.66,0.84,,0.65,0.17,0.65,0.82,,131.30M,133.40M,0.55,,AOR,Restated
2013-11,1.486B,1.486B,1.200B,285.10M,,174.70M,174.70M,0.20M,-0.20M,-32.90M,250.20M,34.90M,-32.90M,-0.20M,-32.90M,1.80M,-4.20M,6.00M,13.80M,19.80M,6.13M,110.40M,75.50M,34.90M,,0.05,0.10,0.0510,0.15,,0.05,0.10,0.0510,0.15,,130.60M,132.80M,0.55,,AOR,Restated
2013-08,1.532B,1.532B,1.208B,323.40M,,165.60M,165.60M,1.00M,-1.00M,-32.80M,239.80M,83.60M,-32.80M,-1.00M,-32.80M,49.80M,7.60M,42.20M,28.00M,70.20M,43.05M,157.80M,74.20M,83.60M,,0.32,0.22,0.3265,0.54,,0.32,0.21,0.3264,0.53,,130.20M,132.60M,0.55,,AOR,Restated
2013-05,-332.00M,-332.00M,-254.20M,-77.80M,,-250.00M,-8.90M,,,-33.30M,-23.40M,-54.40M,-33.30M,,-33.30M,-88.60M,-46.60M,-42.00M,175.10M,133.10M,-42.00M,-68.90M,-14.50M,-54.40M,,1.03,0.00,1.03,1.03,,1.01,0.00,1.01,1.01,,129.90M,132.20M,0.50,,AOR,Restated
2013-02,2.258B,2.258B,1.752B,505.90M,,199.80M,199.80M,,,-31.90M,300.80M,205.10M,-31.90M,,-31.90M,173.20M,38.70M,134.50M,-0.10M,134.40M,134.50M,306.10M,101.00M,205.10M,,1.04,0.00,1.04,1.04,,1.02,0.00,1.02,1.02,,129.30M,131.50M,0.50,,AOR,Restated
2012-11,1.96B,1.96B,1.569B,391.30M,,216.10M,216.10M,,,-32.90M,315.30M,76.00M,-32.90M,,-32.90M,43.10M,9.40M,33.70M,-0.10M,33.60M,33.70M,175.20M,99.20M,76.00M,,0.26,0.00,0.26,0.26,,0.26,0.00,0.26,0.26,,128.80M,131.70M,0.50,,AOR,Restated
2012-08,2.035B,2.035B,1.550B,485.00M,,218.20M,218.20M,,,-27.90M,310.80M,174.20M,-27.90M,,-27.90M,146.30M,35.30M,111.00M,-0.20M,110.80M,111.00M,266.80M,92.60M,174.20M,,0.87,-0.01,0.87,0.86,,0.85,-0.01,0.85,0.85,,128.10M,131.00M,0.50,,AOR,Restated
2012-05,-606.10M,-606.10M,-506.00M,-100.10M,,-28.20M,-28.20M,,,-27.60M,-45.70M,-54.40M,-27.60M,,-27.60M,-82.20M,-36.40M,-45.80M,197.00M,151.20M,-45.80M,-71.20M,-17.50M,-53.70M,,1.18,0.00,1.18,1.18,,1.15,0.00,1.15,1.15,,128.30M,131.40M,0.43,,AOR,Restated
2012-02,2.160B,2.160B,1.627B,532.40M,,198.00M,198.00M,,,-27.70M,286.90M,245.50M,-27.70M,,-27.70M,217.80M,53.70M,164.10M,0.00,164.10M,164.10M,334.50M,89.00M,245.50M,,1.28,0.00,1.28,1.28,,1.25,0.00,1.25,1.25,,128.00M,130.90M,0.43,,AOR,Restated
2011-11,1.832B,1.832B,1.461B,370.90M,,187.40M,187.40M,,,-25.20M,273.20M,97.70M,-25.20M,,-25.20M,72.50M,18.40M,54.10M,-0.40M,53.70M,54.10M,183.50M,85.70M,97.70M,,0.42,-0.01,0.42,0.41,,0.41,-0.01,0.41,0.40,,130.30M,133.20M,0.43,,AOR,Restated
2011-08,1.942B,1.942B,1.506B,435.60M,,182.80M,182.80M,,,-21.70M,266.90M,168.70M,-21.70M,,-21.70M,147.00M,40.20M,106.80M,-0.20M,106.60M,106.80M,252.80M,84.10M,168.70M,,0.80,0.00,0.80,0.80,,0.78,0.00,0.78,0.78,,133.80M,137.20M,0.43,,AOR,Restated
2011-05,1.990B,1.990B,1.514B,476.20M,,186.80M,186.80M,,,-21.50M,268.40M,207.80M,-21.50M,,-21.50M,186.30M,48.40M,137.90M,-0.40M,137.50M,137.90M,290.30M,81.60M,208.70M,,1.02,0.00,1.02,1.02,,0.99,0.00,0.99,0.99,,134.70M,138.20M,0.32,,AOR,Restated
