,NetIncome,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2015-11,30.10M,,,35.50M,,,75.30M,75.30M,-34.80M,,7.70M,7.10M,,1.80M,-2.50M,-7.60M,-2.20M,-10.90M,,-20.40M,-26.50M,-70.10M,-3.20M,49.40M,,-64.10M,181.20M,123.90M,,0.80M,,124.20M,,-255.80M,,-255.80M,5.20M,-0.40M,4.80M,-70.60M,-70.60M,315.50M,-6.10M,,690.10M,167.50M,857.60M,,5.20M,,-255.80M,-0.40M,,,,AOR,Restated
2015-08,81.00M,,,,,,81.10M,81.10M,-24.00M,,-1.70M,10.20M,,4.80M,18.40M,1.30M,-5.40M,-22.00M,,-22.00M,16.30M,-13.40M,-28.40M,109.60M,,-68.60M,130.20M,65.30M,,,,61.60M,,-15.80M,,-15.80M,56.90M,,56.90M,-70.00M,-70.00M,11.90M,-17.00M,,535.90M,154.20M,690.10M,,56.90M,,-15.80M,,,,,AOR,Restated
2015-05,118.10M,,,0.00,,,80.90M,80.90M,42.40M,,15.00M,12.40M,,5.60M,-10.90M,8.90M,7.90M,42.50M,,-7.90M,3.40M,43.90M,-186.70M,131.60M,,-82.60M,43.10M,-23.30M,,0.00,13.20M,-24.10M,,-0.50M,0.00,-0.50M,52.60M,0.00,52.60M,-69.60M,-69.60M,9.70M,-7.80M,,436.20M,99.70M,535.90M,,52.60M,0.00,-0.50M,0.00,,,,AOR,Restated
2015-02,128.40M,,,0.80M,,,79.60M,79.60M,33.50M,,0.80M,11.40M,,2.00M,2.50M,20.70M,-18.80M,4.30M,,19.00M,73.90M,101.60M,7.00M,365.10M,,-62.70M,14.10M,-48.60M,,2.00M,-5.80M,-52.50M,,-7.00M,-20.00M,-27.00M,56.20M,-0.30M,55.90M,-68.40M,-68.40M,5.60M,-33.90M,,157.50M,278.70M,436.20M,,56.20M,0.00,-27.00M,-0.30M,,,,AOR,Restated
2014-11,-30.80M,,,10.50M,,,80.10M,80.10M,-11.30M,,39.30M,23.70M,,-0.30M,3.70M,8.10M,3.70M,11.00M,,-20.80M,4.00M,9.70M,-191.20M,-70.30M,,-85.70M,10.70M,-75.00M,,2.60M,-3.50M,-70.80M,,-110.20M,20.00M,-90.20M,41.60M,-1.40M,40.20M,-68.10M,-68.10M,3.00M,-115.10M,,413.70M,-256.20M,157.50M,,41.60M,20.00M,-110.20M,-1.40M,,,,AOR,Restated
2014-08,-19.30M,,,80.00M,,,78.70M,78.70M,-22.60M,,7.00M,6.20M,,6.60M,12.50M,26.80M,10.10M,-53.10M,,-15.00M,-40.90M,-59.60M,-32.40M,44.60M,,-81.70M,0.00,-81.70M,,5.10M,-3.90M,1.898B,,-857.30M,-207.60M,-1.065B,9.30M,-500.60M,-491.30M,-72.80M,-72.80M,1.30M,-1.628B,,98.30M,315.40M,413.70M,,9.30M,470.50M,-1.535B,-500.60M,,,,AOR,Restated
2014-05,48.30M,-5.30M,,-5.30M,,,78.40M,78.40M,-23.20M,,15.20M,5.50M,-0.10M,8.00M,-18.20M,8.60M,-1.00M,10.40M,,-38.50M,-39.10M,-77.80M,54.40M,103.40M,,-108.90M,2.80M,-74.50M,,0.00,19.70M,-101.00M,,-0.50M,26.10M,25.60M,14.30M,0.00,14.30M,-72.60M,-72.60M,1.60M,-31.10M,,127.00M,-28.70M,98.30M,,14.30M,783.50M,-757.90M,0.00,,,,AOR,Restated
2014-02,86.60M,4.10M,,4.10M,,,76.30M,76.30M,-6.60M,,0.00,6.30M,0.00,2.10M,15.90M,-39.60M,4.10M,34.40M,,32.90M,72.00M,119.70M,75.10M,363.60M,,-102.50M,0.00,-102.50M,,2.40M,-5.60M,-126.40M,,-0.50M,-142.70M,-143.20M,16.60M,0.00,16.60M,-72.40M,-72.40M,4.20M,-194.80M,,84.60M,42.40M,127.00M,,16.60M,659.50M,-802.70M,0.00,,,,AOR,Restated
2013-11,6.10M,1.10M,,1.10M,,,75.50M,75.50M,-9.40M,,0.20M,18.20M,0.10M,4.80M,-3.10M,-0.20M,5.20M,-12.20M,,-1.10M,10.30M,-1.10M,-9.40M,86.10M,,-114.60M,0.00,-114.60M,,3.30M,-5.50M,-172.10M,,-0.50M,112.20M,111.70M,19.00M,-0.10M,18.90M,-71.60M,-71.60M,2.70M,61.70M,,108.90M,-24.30M,84.60M,,19.00M,664.60M,-552.90M,-0.10M,,,,AOR,Restated
2013-08,42.20M,0.10M,,0.10M,,,74.20M,74.20M,-5.70M,,1.00M,8.70M,,5.90M,3.90M,5.60M,-7.80M,2.10M,,-8.60M,0.80M,-4.00M,94.60M,217.00M,,-120.40M,1.60M,-118.80M,,0.00,-8.60M,-181.30M,,-0.50M,47.50M,47.00M,8.20M,-0.40M,7.80M,-71.70M,-71.70M,1.90M,-15.00M,,88.20M,20.70M,108.90M,,8.20M,508.70M,-461.70M,-0.40M,,,,AOR,Restated
2013-05,-42.00M,-6.10M,,-6.10M,,,-14.50M,-14.50M,-14.70M,,0.10M,4.00M,0.00,10.70M,-15.00M,23.30M,-2.50M,-13.60M,,-19.20M,-6.10M,-33.10M,355.20M,259.60M,,8.40M,0.30M,8.70M,0.00,4.30M,-8.70M,-170.80M,,-5.50M,-52.40M,-57.90M,15.00M,0.00,15.00M,-65.00M,-65.00M,3.40M,-104.50M,,103.90M,-15.70M,88.20M,,15.00M,485.40M,-543.30M,0.00,,,,AOR,Restated
2013-02,134.50M,2.20M,,2.20M,,,101.00M,101.00M,25.80M,,0.00,7.30M,0.00,6.80M,-1.90M,-7.30M,-3.60M,40.70M,,22.80M,94.10M,144.80M,-0.10M,422.30M,,-163.30M,0.00,-163.30M,1.00M,4.90M,-12.10M,-169.50M,,-0.40M,-159.10M,-159.50M,12.00M,-0.10M,11.90M,-64.70M,-64.70M,2.00M,-210.30M,,61.40M,42.50M,103.90M,,12.00M,432.30M,-591.80M,-0.10M,,,,AOR,Restated
2012-11,33.80M,2.20M,,2.20M,,,99.20M,99.20M,4.90M,,0.10M,14.30M,0.10M,5.00M,-6.60M,-17.90M,0.80M,-42.00M,,-70.30M,-9.20M,-145.20M,-0.20M,14.20M,,-205.90M,0.00,-205.90M,-578.40M,-0.10M,-6.20M,-790.60M,,699.30M,130.30M,829.60M,22.70M,-0.10M,22.60M,-64.50M,-64.50M,-1.40M,786.30M,,51.50M,9.90M,61.40M,,22.70M,2.24B,-1.410B,-0.10M,,,,AOR,Restated
2012-08,111.00M,1.70M,,1.70M,,,92.60M,92.60M,-16.40M,,0.70M,14.40M,,0.90M,12.40M,0.10M,-5.80M,21.10M,,10.10M,10.40M,48.30M,0.00,253.20M,,-149.30M,0.00,-149.30M,,4.00M,-13.50M,-156.10M,,-1.00M,-16.90M,-17.90M,14.70M,-52.20M,-37.50M,-64.00M,-64.00M,3.30M,-116.10M,,70.50M,-19.00M,51.50M,,14.70M,562.60M,-580.50M,-52.20M,,,,AOR,Restated
2012-05,-45.80M,-1.40M,,-1.40M,,,-17.50M,-17.50M,14.40M,,-0.10M,5.40M,0.30M,4.20M,-20.60M,99.10M,0.70M,-29.20M,,-29.60M,-16.90M,3.50M,-181.80M,-218.80M,,25.80M,-0.20M,25.60M,0.10M,0.00,-5.00M,268.60M,,-1.00M,-25.00M,-26.00M,25.10M,-18.10M,7.00M,-55.30M,-55.30M,6.50M,-67.80M,,88.50M,-18.00M,70.50M,,25.10M,529.30M,-555.30M,-18.10M,,,,AOR,Restated
2012-02,164.20M,1.80M,,1.80M,,,89.00M,89.00M,9.70M,,0.00,16.60M,0.00,-5.50M,20.30M,-57.00M,1.50M,80.50M,,51.00M,98.10M,194.40M,-0.10M,470.10M,,-145.00M,1.20M,-143.80M,0.60M,-4.10M,-4.40M,-151.40M,,-0.70M,-167.30M,-168.00M,16.80M,-77.90M,-61.10M,-55.00M,-55.00M,3.70M,-280.40M,,50.20M,38.30M,88.50M,,16.80M,529.90M,-697.90M,-77.90M,,,,AOR,Restated
2011-11,54.00M,3.10M,,3.10M,,,85.70M,85.70M,13.50M,,0.30M,13.20M,0.00,2.00M,-11.40M,-52.60M,-2.20M,-38.70M,,-71.00M,-33.90M,-209.80M,-0.10M,-38.10M,,-200.20M,0.50M,-199.70M,-59.20M,-3.60M,-5.50M,-268.00M,,399.20M,124.50M,523.70M,5.60M,-187.80M,-182.20M,-55.90M,-55.90M,-3.50M,282.10M,,74.20M,-24.00M,50.20M,,5.60M,1.112B,-587.80M,-187.80M,,,,AOR,Restated
2011-08,106.80M,0.00,,0.00,,,84.10M,84.10M,0.50M,,0.00,11.50M,0.30M,-11.50M,1.00M,-42.90M,-2.60M,-14.20M,,-13.90M,-0.80M,-73.40M,-0.20M,118.10M,,-138.20M,1.60M,-136.60M,,-3.10M,-0.40M,-140.10M,,-1.20M,145.00M,143.80M,22.70M,-91.30M,-68.60M,-57.70M,-57.70M,8.20M,25.70M,,70.50M,3.70M,74.20M,,22.70M,550.30M,-406.50M,-91.30M,,,,AOR,Restated
2011-05,137.90M,2.10M,,2.10M,,,81.60M,81.60M,0.60M,,0.40M,17.90M,0.00,-1.10M,13.60M,26.80M,5.90M,-15.10M,,-20.10M,-18.50M,-7.40M,0.00,232.00M,,-157.60M,1.20M,-156.40M,0.00,-3.70M,-2.10M,-162.50M,,-75.50M,121.50M,46.00M,13.10M,-109.60M,-96.50M,-43.50M,-43.50M,5.30M,-88.70M,,89.70M,-19.20M,70.50M,,13.10M,534.50M,-488.50M,-109.60M,,,,AOR,Restated
2011-02,151.80M,2.40M,6.00M,8.40M,,,80.50M,80.50M,35.00M,-1.50M,1.40M,17.60M,0.10M,-5.00M,-18.80M,-52.90M,-9.10M,67.80M,,58.10M,47.20M,92.30M,-0.80M,379.80M,,-113.90M,1.50M,-112.40M,0.00,0.20M,-2.40M,-114.30M,,-1.00M,-104.00M,-105.00M,19.20M,-105.20M,-86.00M,-132.00M,-43.70M,6.00M,-228.70M,,52.90M,36.80M,89.70M,,19.20M,420.40M,-525.40M,-105.20M,,,,AOR,
2010-11,188.80M,2.40M,-5.80M,-3.40M,-76.70M,-0.80M,77.20M,77.20M,6.70M,1.50M,0.10M,17.90M,0.10M,-112.60M,-5.70M,-64.00M,0.80M,-52.70M,,21.20M,-8.70M,-109.10M,-1.20M,66.00M,,-160.10M,0.00,-160.10M,0.00,0.00,-6.10M,-164.90M,,-6.80M,168.00M,161.20M,25.00M,-75.10M,-50.10M,,-43.90M,7.10M,74.30M,,77.50M,-24.60M,52.90M,,25.00M,494.00M,-332.80M,-75.10M,,,,AOR,
2010-08,0.20M,,-0.20M,-0.20M,76.70M,0.80M,77.50M,77.50M,-13.50M,,2.80M,13.20M,0.00,110.50M,5.00M,10.80M,-2.60M,13.10M,,-1.90M,,24.40M,-0.10M,214.80M,,-116.10M,4.30M,-111.80M,,2.10M,,-108.20M,,-144.70M,,-144.70M,5.70M,-95.60M,-89.90M,,-44.40M,1.10M,-277.90M,,248.80M,-171.30M,77.50M,,5.70M,6.00M,-150.70M,-95.60M,,,,AOR,Restated
2010-05,-288.50M,1.40M,0.50M,1.90M,,,76.10M,76.10M,4.50M,0.80M,2.30M,15.80M,0.90M,423.80M,3.10M,-2.70M,3.20M,-43.10M,,-47.30M,,-86.80M,-0.40M,150.40M,,-102.80M,1.20M,-101.60M,,0.00,,-106.90M,,-2.20M,0.00,-2.20M,37.70M,-68.60M,-30.90M,,-35.30M,13.40M,-55.00M,,260.30M,-11.50M,248.80M,,37.70M,-1.20M,149.00M,-68.60M,,,,AOR,Restated
2010-02,134.90M,-0.70M,-0.30M,-1.00M,-146.70M,-1.60M,76.50M,76.50M,-19.20M,2.50M,1.10M,14.70M,0.50M,-31.20M,-8.40M,33.30M,5.60M,123.20M,,93.50M,16.10M,263.30M,-0.40M,441.70M,,-112.20M,2.50M,-109.70M,,-4.40M,,-113.20M,,-0.30M,-102.30M,-102.60M,20.00M,-14.30M,5.70M,,-34.80M,6.60M,-125.10M,,56.90M,203.40M,260.30M,,20.00M,0.30M,-102.90M,-14.30M,,,,AOR,Restated
2009-11,61.10M,-0.40M,-0.80M,-1.20M,73.80M,0.90M,74.70M,74.70M,3.70M,,1.70M,13.20M,,19.60M,-5.10M,-20.90M,-4.30M,0.90M,,9.30M,-20.10M,-40.20M,-0.20M,132.40M,,-119.50M,3.40M,-116.10M,,1.70M,,-113.80M,,0.00,-10.90M,-10.90M,4.60M,-0.20M,4.40M,,-35.20M,0.60M,-41.10M,,79.40M,-22.50M,56.90M,,4.60M,0.90M,-11.80M,-0.20M,,,,AOR,Restated
2009-08,95.00M,,,,72.90M,0.70M,73.60M,73.60M,0.80M,,1.10M,9.80M,,-10.40M,-5.40M,16.50M,-9.50M,24.70M,,-22.30M,4.00M,8.00M,-0.40M,177.50M,,-97.60M,5.40M,-92.20M,,0.00,,-92.20M,,-0.60M,-36.80M,-37.40M,4.00M,-2.00M,2.00M,,-34.70M,1.30M,-68.80M,,62.90M,16.50M,79.40M,,4.00M,,-37.40M,-2.00M,,,,AOR,Restated
2009-05,122.70M,-3.20M,-0.30M,-3.50M,,,72.60M,72.60M,73.10M,0.60M,10.90M,11.30M,0.90M,72.70M,13.30M,62.90M,6.80M,-89.10M,,-46.20M,,-121.70M,0.50M,240.10M,,-115.90M,0.60M,-115.30M,,-14.30M,1.90M,-127.70M,,-4.20M,-169.20M,-173.40M,38.70M,-12.20M,26.50M,,-27.60M,17.70M,-156.80M,,107.30M,-44.40M,62.90M,,38.70M,-144.60M,-28.80M,-12.20M,,,,AOR,Restated
2009-02,108.20M,3.40M,-0.40M,3.00M,,,71.20M,71.20M,10.90M,0.80M,0.00,13.10M,0.00,17.60M,-11.30M,14.30M,5.60M,7.80M,,93.10M,,109.50M,0.10M,334.40M,,-125.10M,1.00M,-124.10M,,11.30M,-1.90M,-114.70M,,-0.10M,-139.10M,-139.20M,7.40M,-6.00M,1.40M,,-27.20M,1.30M,-163.70M,,51.30M,56.00M,107.30M,,7.40M,-138.30M,-0.90M,-6.00M,,,,,Restated
2008-11,58.50M,0.90M,-0.30M,0.60M,,,70.50M,70.50M,5.40M,0.80M,0.40M,6.10M,,21.20M,-1.60M,-48.30M,-12.40M,1.50M,,-54.50M,,-115.30M,-1.60M,46.60M,,-162.50M,2.40M,-160.10M,,-25.10M,-1.50M,-182.60M,,-0.30M,224.90M,224.60M,2.70M,-58.30M,-55.60M,,-27.50M,0.30M,141.80M,,45.50M,5.80M,51.30M,,2.70M,226.00M,-1.40M,-58.30M,,,,,Restated
2008-08,82.40M,,-0.20M,-0.20M,,,68.80M,68.80M,0.10M,1.10M,0.70M,11.00M,,8.80M,32.00M,-59.10M,0.50M,24.00M,,-8.70M,,-11.30M,-0.10M,161.30M,,-135.40M,0.60M,-134.80M,,,1.50M,-132.90M,,-0.30M,58.90M,58.60M,8.70M,-68.40M,-59.70M,,-27.90M,2.90M,-26.10M,,43.20M,2.30M,45.50M,,8.70M,60.80M,-2.20M,-68.40M,,,,,Restated
2008-05,94.10M,,,-7.20M,-177.60M,-2.10M,66.00M,66.00M,27.00M,,,,,-28.80M,-6.30M,68.60M,-6.40M,-40.40M,,-44.10M,0.10M,-28.50M,7.00M,188.80M,,-106.20M,2.90M,-103.30M,0.20M,1.90M,4.00M,-96.00M,,,,-67.90M,7.70M,-6.10M,1.60M,,-25.00M,-5.30M,-96.60M,,47.00M,-3.80M,43.20M,,7.70M,,,-6.10M,,,,,Restated
2008-02,126.00M,,,7.40M,66.70M,1.50M,68.20M,68.20M,28.00M,,,,,3.50M,7.90M,9.00M,2.70M,-18.30M,,121.90M,-5.90M,117.30M,-35.00M,315.40M,,-121.60M,2.40M,-119.20M,1.70M,6.30M,-3.80M,-29.20M,,,,-131.90M,9.60M,-108.90M,-99.30M,,-25.10M,-12.20M,-268.50M,,29.30M,17.70M,47.00M,,9.60M,,,-108.90M,,,,,
