,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-05,146.90M,,146.90M,40.40M,43.60M,83.70M,205.30M,105.80M,,,553.60M,0.00,141.50M,2.751B,1.581B,102.10M,85.60M,4.662B,-2.232B,2.430B,1.184B,950.80M,2.134B,,,351.70M,4.916B,5.470B,,277.00M,129.30M,406.30M,185.00M,591.30M,,,,,,415.80M,415.80M,109.60M,1.384B,926.50M,,926.50M,114.00M,432.00M,531.80M,1.890B,3.275B,,1.632B,657.60M,,7.80M,,,-85.20M,2.195B,,AOR,Restated
2018-02,146.80M,,146.80M,50.60M,,50.60M,208.00M,153.10M,,,569.60M,,,,,4.572B,,4.572B,-2.167B,2.405B,1.182B,950.20M,2.132B,,,348.10M,4.885B,5.455B,,291.50M,53.10M,344.60M,157.30M,501.90M,,,50.60M,,50.60M,456.60M,456.60M,458.40M,1.468B,926.40M,,926.40M,106.40M,417.00M,518.90M,1.862B,3.330B,,1.628B,586.40M,,7.80M,,,-80.40M,2.125B,,AOR,Restated
2017-11,114.70M,,114.70M,66.70M,,66.70M,199.10M,93.60M,,,485.20M,,,,,4.497B,,4.497B,-2.111B,2.386B,1.173B,950.20M,2.123B,,,322.90M,4.832B,5.318B,,262.00M,57.30M,319.30M,129.00M,448.30M,,,153.50M,,153.50M,366.90M,366.90M,449.30M,1.418B,935.60M,,935.60M,143.60M,445.00M,542.90M,1.924B,3.342B,,1.607B,447.30M,,7.80M,,,-68.20M,1.976B,,AOR,Restated
2017-08,146.80M,,146.80M,57.60M,,57.60M,176.30M,91.20M,,,483.00M,,,,,4.380B,,4.380B,-2.062B,2.319B,1.172B,950.20M,2.122B,,,299.30M,4.740B,5.224B,,256.80M,73.40M,330.20M,123.90M,454.10M,,,,,,353.10M,353.10M,451.10M,1.258B,936.60M,,936.60M,151.90M,444.00M,525.90M,1.906B,3.165B,,1.620B,515.00M,,7.80M,,,-66.10M,2.059B,,AOR,Restated
2017-05,233.10M,,233.10M,43.00M,33.20M,75.90M,178.90M,86.80M,,,587.90M,0.00,136.70M,2.547B,1.444B,78.30M,62.90M,4.269B,-1.997B,2.272B,1.202B,950.20M,2.152B,,,280.20M,4.704B,5.292B,,249.50M,123.00M,372.50M,156.40M,528.90M,,,,,,388.60M,388.60M,119.60M,1.289B,936.60M,,936.60M,145.60M,428.40M,536.40M,1.901B,3.191B,,1.615B,560.10M,,7.80M,,,-62.90M,2.102B,,AOR,Restated
2017-02,391.40M,,391.40M,43.60M,,43.60M,168.00M,85.90M,182.70M,,884.90M,,,,,4.019B,,4.019B,-1.950B,2.069B,872.30M,575.20M,1.448B,,,278.30M,3.795B,4.680B,,205.50M,62.10M,267.60M,127.40M,395.00M,,,,,,426.20M,426.20M,410.90M,1.232B,440.70M,,440.70M,263.80M,538.70M,495.50M,1.475B,2.707B,,1.547B,520.00M,,7.80M,,,-84.00M,1.973B,,AOR,Restated
2016-11,116.80M,,116.80M,69.80M,,69.80M,183.60M,126.80M,173.10M,,683.40M,,,,,3.967B,,3.967B,-1.910B,2.057B,872.30M,575.20M,1.448B,,,274.10M,3.778B,4.462B,,249.60M,48.90M,298.50M,109.00M,407.50M,,,,,,336.20M,336.20M,407.60M,1.151B,440.50M,,440.50M,260.80M,526.90M,489.80M,1.457B,2.608B,,1.523B,424.40M,,7.80M,,,-83.30M,1.853B,,AOR,Restated
2016-08,114.70M,,114.70M,56.30M,,56.30M,161.80M,92.50M,168.60M,,610.80M,,,,,3.907B,,3.907B,-1.871B,2.036B,872.30M,574.60M,1.447B,,,276.70M,3.760B,4.370B,,214.10M,60.80M,274.90M,111.00M,385.90M,,,,,,327.60M,327.60M,418.60M,1.132B,440.20M,,440.20M,257.60M,514.70M,482.00M,1.437B,2.569B,,1.472B,429.30M,,7.80M,,,-89.40M,1.801B,,AOR,Restated
2016-05,274.80M,,274.80M,43.90M,20.60M,64.00M,175.40M,122.50M,163.30M,,820.30M,0.00,133.10M,2.297B,1.318B,71.90M,40.00M,3.861B,-1.819B,2.042B,872.30M,574.60M,1.447B,,,273.80M,3.762B,4.583B,,241.90M,107.80M,349.70M,140.20M,489.90M,,,,,,360.40M,360.40M,107.00M,1.187B,440.00M,,440.00M,255.20M,504.90M,498.60M,1.444B,2.631B,,1.503B,547.50M,,7.80M,,,-87.00M,1.952B,,AOR,Restated
2016-02,215.80M,,215.80M,53.80M,,53.80M,178.90M,97.70M,164.70M,,729.90M,,,,,3.857B,,3.857B,-1.799B,2.058B,872.30M,574.60M,1.447B,,,267.00M,3.772B,4.502B,,190.60M,71.10M,261.70M,139.20M,400.90M,,,8.00M,,8.00M,401.30M,401.30M,390.90M,1.201B,439.70M,,439.70M,220.80M,463.90M,479.00M,1.383B,2.584B,,1.485B,507.50M,,7.80M,,,-63.30M,1.918B,,AOR,Restated
2015-11,857.60M,,857.60M,63.30M,,63.30M,170.00M,113.10M,161.10M,,1.384B,,,,,3.825B,,3.825B,-1.750B,2.075B,872.40M,574.60M,1.447B,,,277.20M,3.799B,5.182B,,191.40M,49.90M,241.30M,110.00M,351.30M,,,759.40M,,759.40M,307.80M,307.80M,396.90M,1.815B,439.50M,,439.50M,226.20M,462.30M,475.30M,1.377B,3.192B,,1.488B,577.90M,,7.80M,,,-65.00M,1.990B,,AOR,Restated
2015-08,690.10M,,690.10M,60.80M,,60.80M,162.60M,100.70M,166.60M,,1.205B,,,,,5.423B,,5.423B,-2.319B,3.104B,872.40M,574.60M,1.447B,,,270.70M,4.822B,6.026B,,210.20M,85.90M,296.10M,106.50M,402.60M,,,15.00M,,15.00M,298.80M,298.80M,426.20M,1.143B,1.438B,,1.438B,331.60M,562.40M,459.80M,2.460B,3.602B,,1.478B,1.042B,,7.80M,,,-85.20M,2.424B,,AOR,Restated
2015-05,535.90M,,535.90M,47.10M,31.80M,78.00M,163.90M,88.30M,157.40M,,1.056B,0.00,633.50M,3.339B,1.439B,72.00M,36.90M,5.520B,-2.305B,3.216B,872.40M,574.60M,1.447B,,,275.50M,4.938B,5.995B,,198.80M,128.00M,326.80M,152.50M,479.30M,,,15.00M,,15.00M,328.60M,328.60M,129.90M,1.197B,1.452B,,1.452B,341.80M,567.70M,444.50M,2.464B,3.661B,,1.406B,1.026B,,7.80M,,,-86.60M,2.334B,,AOR,Restated
2015-02,436.20M,,436.20M,64.00M,,64.00M,172.80M,89.00M,174.50M,,981.90M,,,,,5.547B,,5.547B,-2.258B,3.288B,872.40M,574.60M,1.447B,,,285.50M,5.021B,6.003B,,186.00M,165.40M,351.40M,125.70M,477.10M,,,15.00M,,15.00M,379.80M,379.80M,478.90M,1.351B,1.462B,50.10M,1.512B,321.00M,542.00M,360.50M,2.414B,3.765B,,1.339B,989.00M,,7.80M,,,-77.80M,2.238B,,AOR,Restated
2014-11,157.50M,,157.50M,66.70M,,66.70M,193.50M,84.10M,172.70M,,719.40M,,,,,5.548B,,5.548B,-2.210B,3.338B,872.50M,574.60M,1.447B,,,283.10M,5.068B,5.788B,,201.80M,201.40M,403.20M,104.60M,507.80M,,,35.00M,,35.00M,265.70M,265.70M,497.50M,1.306B,1.468B,50.80M,1.519B,279.80M,498.60M,358.60M,2.376B,3.682B,,1.201B,997.30M,,7.80M,,,-79.80M,2.106B,,AOR,Restated
2014-08,413.70M,,413.70M,86.20M,,86.20M,201.60M,75.10M,173.00M,,1.004B,,,,,5.464B,,5.464B,-2.084B,3.38B,872.50M,574.60M,1.447B,,,293.10M,5.120B,6.124B,,212.50M,402.90M,615.40M,101.00M,716.40M,,,115.00M,,115.00M,266.40M,266.40M,504.00M,1.602B,1.468B,51.40M,1.520B,285.40M,498.00M,376.50M,2.394B,3.996B,,817.00M,1.426B,,7.80M,,,-102.50M,2.128B,,AOR,Restated
2014-05,98.30M,,98.30M,39.60M,44.50M,83.80M,196.80M,82.60M,124.00M,,1.976B,0.00,659.70M,3.234B,1.378B,69.50M,89.10M,5.431B,-2.050B,3.381B,872.50M,574.60M,1.447B,,,278.80M,5.107B,7.083B,,233.10M,134.90M,368.00M,145.60M,513.60M,,222.60M,222.60M,,222.60M,299.70M,299.70M,306.40M,1.618B,2.463B,,2.463B,286.10M,492.30M,351.60M,3.307B,4.926B,,1.302B,995.80M,,7.80M,,,-128.10M,2.157B,,AOR,Restated
2014-02,127.00M,,127.00M,69.00M,,69.00M,461.00M,87.10M,165.10M,,909.20M,,,,,7.770B,,7.770B,-3.258B,4.512B,907.60M,574.60M,1.482B,,,321.20M,6.316B,7.225B,,358.30M,78.30M,436.60M,149.90M,586.50M,,,196.50M,,196.50M,347.40M,347.40M,511.10M,1.642B,2.481B,52.60M,2.534B,344.20M,597.50M,330.50M,3.462B,5.103B,,1.281B,982.00M,,7.80M,,,-128.00M,2.122B,,AOR,Restated
2013-11,84.60M,,84.60M,83.00M,,83.00M,418.00M,93.00M,155.70M,,834.30M,,,,,7.706B,,7.706B,-3.184B,4.522B,907.70M,574.60M,1.482B,,,318.90M,6.323B,7.157B,,365.10M,81.40M,446.50M,145.60M,592.10M,,,339.20M,,339.20M,248.40M,248.40M,466.80M,1.646B,2.480B,53.20M,2.533B,345.60M,591.90M,326.40M,3.452B,5.098B,,1.256B,944.70M,,7.80M,,,-127.90M,2.059B,,AOR,Restated
2013-08,108.90M,,108.90M,80.30M,,80.30M,373.30M,97.00M,150.20M,,809.70M,,,,,7.597B,,7.597B,-3.128B,4.470B,907.70M,574.60M,1.482B,,,302.40M,6.254B,7.064B,,384.70M,95.80M,480.50M,141.00M,621.50M,,,227.00M,,227.00M,242.30M,242.30M,472.30M,1.563B,2.476B,53.70M,2.530B,353.20M,591.40M,307.90M,3.429B,4.992B,,1.223B,996.80M,,7.90M,,,-134.40M,2.072B,,AOR,Restated
2013-05,88.20M,,88.20M,37.50M,48.20M,85.40M,356.90M,89.80M,144.60M,,764.90M,0.00,888.10M,4.474B,1.861B,67.70M,149.70M,7.441B,-3.050B,4.391B,908.30M,573.80M,1.482B,,,298.80M,6.172B,6.937B,,296.50M,158.40M,454.90M,168.20M,623.10M,,164.50M,164.50M,,164.50M,270.50M,270.50M,89.30M,1.416B,2.496B,52.50M,2.549B,356.40M,586.90M,325.40M,3.461B,4.877B,,1.208B,998.90M,,8.10M,,,-132.80M,2.060B,,AOR,Restated
2013-02,103.90M,,103.90M,68.10M,,68.10M,432.60M,95.20M,153.60M,,853.40M,,,,,7.317B,,7.317B,-2.982B,4.335B,904.50M,574.20M,1.479B,,,290.70M,6.104B,6.958B,,324.80M,82.60M,407.40M,135.50M,542.90M,,,216.90M,,216.90M,315.40M,315.40M,460.20M,1.535B,2.502B,53.00M,2.555B,369.90M,593.30M,323.40M,3.472B,5.008B,,1.184B,930.90M,,8.50M,,,-150.30M,1.950B,,AOR,Restated
2012-11,61.40M,,61.40M,66.70M,,66.70M,425.30M,94.90M,152.30M,,800.60M,,,,,7.188B,,7.188B,-2.902B,4.286B,904.90M,574.20M,1.479B,,,267.30M,6.032B,6.833B,,315.60M,60.50M,376.10M,134.80M,510.90M,,,376.00M,,376.00M,220.70M,220.70M,436.00M,1.544B,2.504B,53.50M,2.557B,343.30M,559.80M,308.90M,3.426B,4.969B,,1.164B,861.80M,,8.70M,,,-147.70M,1.863B,,AOR,Restated
2012-08,51.50M,,51.50M,59.00M,,59.00M,404.00M,81.80M,130.50M,,726.80M,,,,,6.881B,,6.881B,-2.845B,4.036B,538.60M,464.90M,1.004B,,,253.70M,5.294B,6.020B,,331.30M,103.90M,435.20M,132.60M,567.80M,,,595.70M,,595.70M,204.10M,204.10M,493.30M,1.861B,1.454B,53.90M,1.508B,304.10M,513.70M,278.00M,2.300B,4.160B,,2.542B,3.219B,,3.747B,,,-147.80M,1.86B,,AOR,Restated
2012-05,70.50M,,70.50M,71.40M,,71.40M,404.10M,87.10M,124.50M,,757.60M,0.00,854.10M,3.960B,1.701B,68.10M,142.50M,6.726B,-2.774B,3.951B,538.60M,550.00M,1.089B,33.00M,15.30M,98.40M,5.187B,5.944B,,260.70M,121.00M,381.70M,169.90M,551.60M,,612.60M,612.60M,,612.60M,231.70M,231.70M,117.10M,1.774B,1.454B,54.40M,1.508B,312.90M,517.30M,302.70M,2.328B,4.102B,,2.519B,3.173B,,3.696B,,,-146.60M,1.842B,,AOR,Restated
2012-02,88.50M,,88.50M,55.50M,,55.50M,453.60M,82.20M,125.50M,,805.30M,,,,,6.600B,,6.600B,-2.717B,3.883B,539.20M,464.80M,1.004B,,,235.20M,5.122B,5.927B,,294.10M,73.40M,367.50M,158.60M,526.10M,,,637.60M,,637.60M,267.30M,267.30M,467.30M,1.898B,1.453B,54.80M,1.508B,329.10M,528.70M,216.50M,2.253B,4.151B,,2.484B,3.077B,,3.679B,,,-97.50M,1.776B,,AOR,Restated
2011-11,50.20M,,50.20M,,,75.80M,396.60M,105.70M,169.70M,,798.00M,,,,,,,6.491B,-2.653B,3.838B,533.60M,471.00M,1.005B,,,223.50M,5.067B,5.865B,,271.60M,57.10M,328.70M,127.50M,456.20M,,,804.90M,,804.90M,190.50M,190.50M,413.20M,1.865B,1.453B,55.20M,1.508B,363.90M,558.80M,218.60M,2.286B,4.151B,,0.00,2.968B,2.458B,3.602B,,,-101.90M,1.714B,,AOR,Restated
2011-08,74.20M,,74.20M,64.40M,,64.40M,343.00M,86.90M,163.50M,,732.00M,,,,,,,6.301B,-2.611B,3.690B,516.90M,454.00M,970.90M,,,201.10M,4.862B,5.594B,,289.00M,85.80M,374.80M,,374.80M,,,330.50M,,330.50M,177.80M,177.80M,439.40M,1.452B,1.406B,55.60M,1.462B,352.70M,543.00M,234.20M,2.239B,3.691B,,0.00,2.971B,2.444B,3.415B,,,-88.10M,1.903B,,AOR,Restated
2011-05,70.50M,,70.50M,65.40M,,65.40M,300.10M,82.20M,145.60M,,663.80M,0.00,799.60M,3.633B,1.511B,67.70M,155.70M,6.167B,-2.545B,3.622B,517.10M,538.20M,1.055B,18.40M,12.20M,94.90M,4.803B,5.467B,,251.30M,135.10M,386.40M,181.10M,567.50M,,185.50M,185.50M,,185.50M,200.00M,200.00M,91.10M,1.287B,1.407B,56.00M,1.463B,345.40M,531.60M,248.70M,2.244B,3.530B,,2.409B,2.922B,,3.325B,,,-59.80M,1.936B,,AOR,Restated
2010-08,77.50M,,77.50M,,,47.00M,210.00M,57.90M,111.30M,,503.70M,,,,,,,5.838B,-2.393B,3.444B,517.30M,454.00M,971.30M,,,190.70M,4.606B,5.110B,,261.20M,42.20M,303.40M,190.00M,493.40M,,,81.00M,,81.00M,146.50M,146.50M,427.20M,1.148B,1.410B,57.30M,1.467B,257.00M,431.00M,193.30M,2.091B,3.240B,,0.00,2.691B,2.312B,3.038B,,,-82.30M,1.870B,,AOR,Restated
2010-05,248.80M,,248.80M,59.40M,,59.40M,220.80M,59.40M,101.80M,,690.20M,0.00,775.20M,3.372B,1.386B,68.60M,135.60M,5.736B,-2.333B,3.404B,517.30M,454.00M,971.30M,,,210.90M,4.586B,5.276B,,246.40M,114.50M,360.90M,48.10M,409.00M,,,225.00M,,225.00M,172.70M,342.90M,38.20M,1.210B,1.409B,57.60M,1.466B,268.60M,438.70M,267.30M,2.172B,3.382B,,0.00,2.622B,2.298B,2.944B,,,-71.10M,1.894B,,AOR,Restated
2010-02,260.30M,,260.30M,,,56.00M,218.10M,58.20M,106.20M,,698.80M,,,,,,,5.660B,-2.285B,3.375B,518.30M,454.00M,972.30M,,,196.70M,4.544B,5.242B,,253.70M,100.40M,354.10M,157.60M,511.70M,,,149.90M,,149.90M,190.00M,190.00M,398.80M,1.250B,1.485B,58.00M,1.543B,278.10M,444.10M,161.20M,2.148B,3.399B,,0.00,2.542B,2.242B,2.878B,,,-50.90M,1.844B,,AOR,Restated
2009-11,56.90M,,56.90M,,,47.60M,251.30M,62.00M,107.60M,,525.40M,,,,,,,5.582B,-2.229B,3.352B,518.50M,454.00M,972.50M,,,192.30M,4.517B,5.043B,,222.10M,54.90M,277.00M,124.40M,401.40M,,,252.20M,,252.20M,125.00M,125.00M,370.30M,1.149B,1.485B,58.30M,1.544B,298.70M,461.00M,173.20M,2.178B,3.327B,,0.00,2.442B,2.209B,2.865B,,,-58.10M,1.716B,,AOR,Restated
2009-08,79.40M,,79.40M,,,42.50M,230.50M,75.80M,108.30M,,536.50M,,,,,,,,,3.319B,518.50M,454.00M,972.50M,,,194.80M,4.486B,5.023B,,232.20M,63.10M,295.30M,116.70M,412.00M,,,263.00M,,263.00M,115.70M,115.70M,383.40M,1.174B,1.484B,58.60M,1.542B,295.60M,453.80M,175.60M,2.172B,3.346B,,0.00,2.417B,2.195B,2.866B,,,-56.80M,1.677B,,AOR,Restated
2009-05,62.90M,,62.90M,,,37.10M,247.00M,97.40M,110.40M,,554.80M,0.00,769.10M,3.079B,1.303B,68.60M,209.80M,5.429B,-2.122B,3.307B,518.70M,454.40M,973.10M,,,190.60M,4.470B,5.025B,,237.00M,121.20M,358.20M,317.50M,675.70M,,,150.00M,,150.00M,138.30M,132.10M,138.30M,1.096B,1.632B,58.90M,1.691B,297.00M,451.60M,180.30M,2.323B,3.419B,,0.00,2.357B,2.183B,2.864B,,,-57.20M,1.606B,,AOR,Restated
2009-02,107.30M,,107.30M,50.20M,,50.20M,310.00M,52.70M,88.90M,,609.10M,,,,,,,5.202B,-1.926B,3.277B,519.70M,454.70M,974.40M,,,196.10M,4.447B,5.056B,,297.10M,,297.10M,190.20M,487.30M,,,323.10M,,323.10M,180.30M,180.30M,384.50M,1.375B,1.632B,59.20M,1.692B,214.20M,214.20M,296.60M,2.202B,3.578B,,0.00,2.263B,2.121B,2.854B,,,-51.10M,1.479B,,,Restated
2008-11,51.30M,,51.30M,39.10M,,39.10M,324.10M,56.10M,94.00M,,564.60M,,,,,,,5.142B,-1.926B,3.216B,519.70M,454.70M,974.40M,,,211.40M,4.402B,4.966B,,291.50M,,291.50M,164.70M,456.20M,,,462.20M,,462.20M,128.00M,128.00M,333.30M,1.380B,1.633B,59.40M,1.693B,214.10M,214.10M,292.70M,2.200B,3.579B,,0.00,2.182B,2.104B,2.849B,,,-49.80M,1.387B,,,Restated
2008-08,45.50M,,45.50M,37.50M,,37.50M,275.80M,46.50M,92.00M,,497.30M,,,,,,,5.061B,-1.926B,3.135B,519.70M,454.70M,974.40M,,,211.00M,4.321B,4.818B,,290.50M,,290.50M,170.70M,461.20M,,,237.30M,,237.30M,130.50M,130.50M,378.40M,1.207B,1.633B,59.60M,1.693B,204.10M,204.10M,299.80M,2.197B,3.404B,,0.00,2.150B,2.094B,2.791B,,,-38.70M,1.414B,,,Restated
2008-05,43.20M,,43.20M,,,69.50M,216.70M,46.70M,91.80M,,467.90M,0.00,751.80M,2.846B,1.187B,68.60M,137.70M,4.992B,-1.926B,3.066B,519.90M,455.00M,974.90M,,,221.80M,4.263B,4.731B,,245.10M,57.80M,302.90M,129.30M,432.20M,,,178.40M,,178.40M,160.50M,160.50M,365.10M,1.136B,1.634B,59.90M,1.694B,197.60M,336.60M,154.50M,2.185B,3.322B,,0.00,2.096B,2.075B,2.724B,,,-20.70M,1.409B,,,Restated
2008-02,47.00M,,47.00M,43.50M,,43.50M,285.90M,38.40M,95.40M,29.80M,540.00M,,,,,,,4.772B,-1.777B,2.995B,519.90M,455.00M,974.90M,,,215.80M,4.186B,4.726B,,238.60M,,238.60M,182.70M,421.30M,,,248.50M,,248.50M,195.40M,195.40M,377.30M,1.242B,1.636B,59.80M,1.695B,166.70M,166.70M,307.90M,2.170B,3.412B,,0.00,2.019B,2.062B,2.722B,,,-45.50M,1.313B,,,
2007-11,29.30M,6.30M,35.60M,50.50M,12.10M,62.60M,294.90M,36.50M,99.10M,102.60M,631.30M,0.00,4.702B,,,,,4.702B,-1.777B,2.925B,520.30M,455.00M,975.30M,,,222.50M,4.123B,4.754B,,255.90M,,255.90M,142.70M,398.60M,,,392.00M,,392.00M,125.80M,125.80M,386.40M,1.303B,1.635B,50.70M,1.686B,145.40M,145.40M,318.30M,2.150B,3.453B,,0.00,1.918B,2.043B,2.615B,,,-44.70M,1.302B,,,
