,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2002-03,786.11M,786.11M,395.94M,390.16M,304.94M,,-12.30M,,,,12.30M,317.24M,72.92M,,,,-12.30M,,62.41M,25.37M,37.04M,1.882M,,,,127.29M,54.37M,72.92M,,2002-03,,,0.1737,0.15,,0.005,,,,2002-03,256.81M,260.36M,0.0675,,2002-03,,
2001-12,527.76M,527.76M,299.46M,228.30M,160.80M,,-1.069M,,,,,161.62M,66.68M,,,,2.488M,,58.50M,23.75M,38.30M,,,,,107.54M,40.86M,66.68M,,2001-12,,,0.1525,0.15,,0.00,,,,2001-12,255.39M,258.84M,0.0675,,2001-12,,
2001-09,616.23M,616.23M,280.75M,335.48M,241.42M,,0.053M,,,,,241.42M,94.06M,,,,5.487M,,87.11M,35.28M,57.26M,,,,,135.14M,41.07M,94.06M,,2001-09,,,0.2249,0.225,,0.00,,,,2001-09,255.35M,259.62M,0.065,,2001-09,,
2001-06,586.98M,586.98M,282.60M,304.38M,224.33M,,0.192M,,,,-0.192M,224.14M,80.24M,,,,4.694M,,73.43M,29.74M,48.19M,,,,,121.20M,40.96M,80.24M,,2001-06,,,0.1895,0.19,,0.00,,,,2001-06,254.67M,260.14M,0.065,,2001-06,,
2001-03,580.91M,580.91M,265.23M,315.68M,238.30M,,,,,,,238.30M,77.38M,,,,2.34M,,70.71M,28.64M,44.41M,,,,,117.48M,40.10M,77.38M,,2001-03,,,0.175,0.175,,0.00,,,,2001-03,253.92M,261.26M,0.065,,2001-03,,
2000-12,533.02M,533.02M,293.45M,239.58M,166.22M,,,,,,,245.49M,-5.91M,,,,26.88M,,86.62M,35.57M,57.20M,,,,,32.62M,38.53M,-5.91M,,2000-12,,,0.23,0.22,,-0.01,,,,2000-12,253.22M,260.36M,0.065,,2000-12,,
2000-09,600.67M,600.67M,266.95M,333.72M,235.99M,,,,,,,235.99M,97.73M,,,,5.37M,,91.20M,36.23M,60.34M,,,,,135.17M,37.44M,97.73M,,2000-09,,,0.235,0.235,,0.00,,,,2000-09,254.22M,262.33M,0.06,,2000-09,,
2000-06,570.71M,570.71M,223.31M,347.40M,232.69M,,5.106M,,,,,268.76M,78.64M,,,,5.106M,,78.50M,30.09M,48.41M,,,,,114.71M,36.07M,78.64M,,2000-06,,,0.1777,0.19,,0.00,,,,2000-06,256.69M,265.98M,0.06,,2000-06,,
2000-03,526.26M,526.26M,200.08M,326.18M,217.10M,,2.891M,,,,,253.49M,72.68M,,,,2.891M,,70.22M,27.60M,42.61M,,,,,109.08M,36.40M,72.68M,,2000-03,,,0.1582,0.165,,0.00,,,,2000-03,257.89M,266.66M,0.06,,2000-03,,
1999-12,515.80M,515.80M,201.20M,314.60M,212.80M,,5.80M,,,,,246.40M,68.20M,,,,5.80M,,68.10M,25.70M,42.40M,,,,,101.80M,33.60M,68.20M,,1999-12,,,0.1511,0.165,,0.00,,,,1999-12,259.31M,266.86M,0.06,,1999-12,,
1999-09,554.50M,554.50M,212.30M,342.20M,219.00M,,5.60M,,,,,254.30M,87.90M,,,,5.60M,,88.60M,33.60M,55.00M,,,,,123.20M,35.30M,87.90M,,1999-09,,,0.1967,0.21,,0.00,,,,1999-09,261.90M,268.29M,0.0525,,1999-09,,
1999-06,520.42M,520.42M,201.80M,318.62M,213.90M,,4.80M,,,,,246.80M,71.82M,,,,4.80M,,70.30M,26.90M,43.40M,,,,,104.72M,32.90M,71.82M,,1999-06,,,0.1537,0.165,,0.00,,,,1999-06,263.03M,271.25M,0.0525,,1999-06,,
1999-03,489.30M,489.30M,187.70M,301.60M,206.60M,,2.10M,,,,,239.30M,62.30M,,,,2.10M,,58.60M,23.60M,35.00M,,,,,95.00M,32.70M,62.30M,,1999-03,,,0.1301,0.135,,0.00,,,,1999-03,259.26M,269.23M,0.0525,,1999-03,,
1998-12,483.30M,483.30M,188.20M,295.10M,197.30M,,5.00M,,,,,229.90M,65.20M,,,,5.00M,,64.40M,25.20M,39.20M,,,,,97.80M,32.60M,65.20M,,1998-12,,0.0009,0.1430,0.155,,0.00,,0.0004,,1998-12,253.76M,265.53M,0.0525,,1998-12,,
1998-09,500.00M,500.00M,193.50M,306.50M,196.50M,,4.70M,,,,,227.40M,79.10M,,,,4.70M,,78.80M,31.80M,47.00M,,,,,110.00M,30.90M,79.10M,,1998-09,,0.1453,0.1692,0.325,,0.14,,0.1431,,1998-09,261.54M,265.62M,0.0475,,1998-09,,
1998-06,468.50M,468.50M,180.40M,288.10M,194.60M,,3.80M,,,,,224.30M,63.80M,,,,3.80M,,62.20M,24.50M,37.70M,,,,,93.50M,29.70M,63.80M,,1998-06,,,0.1361,0.145,,0.00,,,,1998-06,260.00M,269.29M,0.0475,,1998-06,,
