,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,248.20M,,,,8.60M,8.60M,150.90M,80.20M,231.10M,231.10M,13.30M,,,33.70M,,-25.80M,33.90M,-77.20M,,40.40M,,-19.00M,-21.90M,,487.20M,,2018-03,-203.30M,0.50M,0.50M,14.10M,,-255.80M,,2018-03,-300.60M,354.30M,53.70M,,-215.10M,-215.10M,-123.40M,28.40M,-8.60M,-265.00M,,211.40M,-33.60M,-2.30M,175.50M,,2018-03,,-300.60M,-215.10M,,2018-03,AOR,Restated
2017-12,568.40M,,,,10.40M,-40.20M,148.70M,79.10M,227.80M,227.80M,-363.30M,,,18.70M,,-3.70M,-68.30M,31.40M,,64.10M,,196.40M,223.60M,,646.40M,,2017-12,-274.60M,6.60M,6.60M,2.10M,0.00,-305.10M,,2017-12,35.50M,-231.50M,-196.00M,,-12.60M,-12.60M,-118.40M,20.80M,-16.00M,-322.20M,,209.10M,19.10M,-16.80M,211.40M,,2017-12,,-778.90M,-12.60M,,2017-12,AOR,Restated
2017-09,396.60M,,,,9.20M,9.20M,150.70M,77.60M,228.30M,228.30M,24.70M,,,14.30M,,-93.70M,-39.30M,-21.10M,,-27.00M,,93.20M,5.80M,,585.20M,,2017-09,-215.80M,1.60M,1.60M,0.00,0.90M,-218.00M,,2017-09,480.20M,-722.00M,-241.80M,,-86.60M,-86.60M,-107.40M,8.40M,0.90M,-426.50M,,260.70M,-59.30M,7.70M,209.10M,,2017-09,,-14.80M,-86.60M,,2017-09,AOR,Restated
2017-06,296.30M,,,,8.50M,8.50M,144.10M,77.10M,221.20M,221.20M,-18.20M,,,26.60M,,20.40M,-60.30M,-28.30M,,71.10M,,-103.30M,-120.80M,,434.00M,,2017-06,-210.70M,2.00M,2.00M,0.00,0.00,-208.60M,,2017-06,-4.90M,51.00M,46.10M,,-126.60M,-126.60M,-109.70M,28.90M,-8.20M,-169.50M,,212.10M,55.90M,-7.30M,260.70M,,2017-06,,-4.90M,-126.60M,,2017-06,AOR,Restated
2017-03,257.30M,,,,8.80M,8.80M,142.20M,73.80M,216.00M,216.00M,3.30M,,,30.90M,,-24.50M,76.40M,-67.50M,,12.90M,,-87.90M,-66.10M,,425.70M,,2017-03,-167.50M,0.50M,0.50M,0.00,-1.70M,-995.30M,,2017-03,-0.40M,858.80M,858.40M,,-374.50M,-374.50M,-113.20M,25.70M,-0.90M,395.50M,,380.40M,-174.10M,5.80M,212.10M,,2017-03,,-0.40M,-374.50M,,2017-03,AOR,Restated
2016-12,371.40M,,,,11.00M,10.50M,140.10M,72.50M,212.60M,212.60M,-35.30M,,15.00M,18.00M,-4.10M,-14.90M,-36.90M,-15.80M,,-17.50M,,-55.00M,-125.20M,,448.00M,,2016-12,-246.00M,0.90M,0.90M,,55.90M,-191.80M,,2016-12,157.10M,-84.00M,73.10M,,-1.80M,-1.80M,-103.00M,14.50M,-27.60M,-44.80M,,180.60M,211.40M,-11.60M,380.40M,,2016-12,,-1.439B,-1.80M,,2016-12,AOR,Restated
2016-09,379.50M,,,,14.50M,14.50M,144.90M,71.90M,216.80M,216.80M,-26.50M,,0.00,14.10M,-19.90M,-36.80M,-24.70M,-6.00M,,41.60M,,64.30M,75.20M,,616.90M,,2016-09,-184.90M,18.20M,18.20M,,-55.90M,-257.90M,,2016-09,-0.50M,-180.00M,-180.50M,,-99.90M,-99.90M,-106.90M,21.60M,19.50M,-346.20M,,167.40M,12.80M,0.40M,180.60M,,2016-09,,-0.50M,-99.90M,,2016-09,AOR,Restated
2016-06,263.60M,,,,14.40M,14.40M,136.40M,72.70M,209.10M,209.10M,-69.90M,,50.90M,24.50M,-12.90M,-176.20M,-50.80M,41.80M,,-21.00M,,128.80M,98.80M,,402.30M,,2016-06,-177.20M,4.10M,4.10M,,,-173.00M,,2016-06,-4.60M,-12.80M,-17.40M,,-248.00M,-248.00M,-109.60M,31.40M,11.80M,-331.80M,,268.50M,-102.50M,1.40M,167.40M,,2016-06,,-4.30M,-248.00M,,2016-06,AOR,Restated
2016-03,232.00M,,,,14.20M,14.20M,139.60M,72.60M,212.20M,212.20M,41.10M,,,29.10M,-6.70M,-30.20M,113.30M,-1.20M,,-58.20M,,-73.10M,-19.20M,,472.50M,,2016-03,-148.70M,7.30M,7.30M,,,-150.90M,,2016-03,668.40M,-329.60M,338.80M,,-389.90M,-389.90M,-108.00M,9.30M,4.40M,-145.40M,,92.80M,176.20M,-0.50M,268.50M,,2016-03,,-125.70M,-389.90M,,2016-03,AOR,Restated
2015-12,222.90M,0.00,,123.40M,26.80M,150.20M,136.80M,75.60M,212.40M,212.40M,-68.30M,,24.70M,18.10M,-21.60M,46.80M,-12.40M,28.80M,,17.80M,,-14.80M,19.40M,,604.60M,,2015-12,-238.90M,4.80M,4.80M,6.60M,1.20M,-366.70M,,2015-12,-151.80M,-84.70M,-236.50M,,-27.30M,-27.30M,-99.10M,25.30M,9.50M,-328.10M,,184.80M,-90.20M,-1.80M,92.80M,,2015-12,,-150.50M,-27.30M,,2015-12,AOR,Restated
2015-09,250.10M,0.00,,135.70M,28.90M,164.60M,136.90M,74.50M,211.40M,211.40M,-141.30M,,0.00,13.00M,-4.80M,-26.10M,-33.80M,-11.40M,,81.80M,,255.10M,291.70M,,758.60M,,2015-09,-234.50M,3.40M,3.40M,101.80M,35.00M,-209.10M,,2015-09,125.20M,-677.00M,-551.80M,,-1.50M,-1.50M,-99.10M,8.80M,4.80M,-638.80M,,310.60M,-89.30M,-36.50M,184.80M,,2015-09,,-504.20M,-1.50M,,2015-09,AOR,Restated
2015-06,308.80M,13.70M,,30.20M,28.80M,72.70M,143.70M,74.80M,218.50M,218.50M,-38.10M,,0.00,21.80M,-11.70M,-9.90M,34.60M,17.60M,,24.30M,,-114.50M,-38.00M,,524.10M,,2015-06,-168.20M,0.80M,0.80M,,0.00,-171.00M,,2015-06,-4.20M,113.90M,109.70M,,-313.70M,-313.70M,-102.70M,26.00M,10.80M,-269.90M,,237.90M,83.20M,-10.50M,310.60M,,2015-06,,-4.30M,-313.70M,,2015-06,AOR,Restated
2015-03,235.40M,,,,29.30M,29.30M,142.10M,75.10M,217.20M,217.20M,3.20M,,,25.30M,-19.70M,-25.70M,-12.40M,-83.60M,,-170.00M,,-86.50M,-352.50M,,112.50M,,2015-03,-173.60M,6.00M,6.00M,,9.40M,-169.00M,,2015-03,219.80M,335.70M,555.50M,,-412.60M,-412.60M,-99.80M,23.00M,19.80M,85.90M,,209.60M,29.40M,-1.10M,237.90M,,2015-03,,-375.70M,-412.60M,,2015-03,AOR,Restated
2014-12,343.30M,-3.40M,,0.00,18.50M,15.10M,140.70M,77.30M,218.00M,218.00M,-42.40M,,,16.00M,-14.20M,6.40M,-11.90M,-42.10M,,145.20M,,37.20M,128.40M,,670.60M,,2014-12,-273.30M,2.30M,2.30M,7.60M,-9.40M,-283.40M,,2014-12,-500.50M,289.40M,-211.10M,,-87.60M,-87.60M,-85.50M,13.90M,13.00M,-357.30M,,197.80M,29.90M,-18.10M,209.60M,,2014-12,,-500.50M,-87.60M,,2014-12,AOR,Restated
2014-09,369.40M,0.20M,,0.00,21.90M,22.10M,141.30M,77.30M,218.60M,218.60M,-28.50M,,,12.40M,-10.80M,-29.40M,-84.10M,-61.50M,,49.50M,,155.40M,59.30M,,613.10M,,2014-09,-183.40M,3.30M,3.30M,0.00,7.30M,-205.60M,,2014-09,-150.80M,-167.40M,-318.20M,,-4.40M,-4.40M,-86.60M,20.60M,-5.20M,-393.80M,,187.00M,13.70M,-2.90M,197.80M,,2014-09,,-150.80M,-4.40M,,2014-09,AOR,Restated
2014-06,315.00M,-1.60M,,0.00,21.60M,20.00M,139.60M,79.00M,218.60M,218.60M,-42.30M,,,19.90M,-8.00M,-24.00M,-117.70M,-52.40M,,49.60M,,-61.20M,-181.70M,,317.50M,,2014-06,-186.30M,4.60M,4.60M,,0.30M,-184.90M,,2014-06,-155.10M,80.10M,-75.00M,,-94.00M,-94.00M,-86.40M,6.90M,1.70M,-246.80M,,300.30M,-114.20M,0.90M,187.00M,,2014-06,,-155.10M,-94.00M,,2014-06,AOR,Restated
2014-03,194.50M,,,,21.90M,21.90M,136.50M,80.30M,216.80M,216.80M,-8.30M,,,22.80M,-22.90M,-21.60M,38.30M,-54.80M,,-69.60M,,-102.70M,-188.80M,,214.40M,,2014-03,-150.90M,0.70M,0.70M,,1.10M,-174.40M,,2014-03,-101.40M,397.50M,296.10M,,-242.60M,-242.60M,-85.90M,24.00M,-64.70M,-73.10M,,339.20M,-33.10M,-5.80M,300.30M,,2014-03,,-101.40M,-242.60M,,2014-03,AOR,Restated
2013-12,289.60M,1.90M,,-0.10M,35.50M,37.30M,132.90M,81.50M,214.40M,214.40M,-27.80M,,,16.00M,-10.40M,-33.80M,-77.10M,61.80M,,91.30M,,69.30M,145.30M,,630.60M,,2013-12,-213.20M,8.50M,8.50M,,0.10M,-200.40M,,2013-12,-173.40M,-187.70M,-361.10M,,-79.10M,-79.10M,-74.50M,19.30M,8.50M,-486.90M,,394.40M,-56.70M,1.50M,339.20M,,2013-12,,-173.40M,-79.10M,,2013-12,AOR,Restated
2013-09,307.20M,0.00,,-0.10M,35.60M,35.50M,130.90M,81.00M,211.90M,211.90M,-23.40M,,,13.90M,-8.30M,-33.70M,-75.30M,-19.70M,,17.80M,,110.30M,33.10M,,536.20M,,2013-09,-167.80M,7.30M,7.30M,,0.00,-158.60M,,2013-09,-101.80M,-158.20M,-260.00M,,-52.80M,-52.80M,-71.20M,21.50M,-1.00M,-363.50M,,375.20M,14.10M,5.10M,394.40M,,2013-09,,-101.80M,-52.80M,,2013-09,AOR,Restated
2013-06,215.80M,0.00,,0.00,35.60M,35.60M,127.80M,76.80M,204.60M,204.60M,-52.40M,,,18.60M,-5.60M,-12.30M,-25.10M,-18.40M,,-20.50M,,-133.30M,-197.30M,,207.00M,,2013-06,-145.80M,1.40M,1.40M,,-2.60M,-1.508B,,2013-06,665.60M,377.60M,1.043B,,-153.50M,-153.50M,-67.90M,24.20M,5.30M,851.30M,,824.30M,-449.60M,0.50M,375.20M,,2013-06,,-234.30M,-153.50M,,2013-06,AOR,Restated
2013-03,161.00M,,,23.40M,35.70M,59.10M,122.60M,62.70M,185.30M,185.30M,-26.90M,,,21.10M,-12.30M,-23.60M,30.10M,-54.20M,,-38.00M,,-115.60M,-177.70M,,186.00M,,2013-03,-135.50M,0.90M,0.90M,,5.00M,-220.80M,,2013-03,-1.50M,-310.00M,-311.50M,,-22.20M,-22.20M,-4.50M,32.00M,12.70M,-293.50M,,1.158B,-328.30M,-5.20M,824.30M,,2013-03,,-1.70M,-22.20M,,2013-03,AOR,Restated
2012-12,234.50M,,,0.00,32.40M,-56.90M,119.70M,61.20M,180.90M,180.90M,-17.80M,,,15.10M,-22.00M,19.10M,-15.00M,25.40M,,32.30M,,86.60M,129.30M,,482.20M,,2012-12,-195.90M,6.00M,6.00M,,0.00,-73.00M,,2012-12,497.60M,2.30M,499.90M,,-16.80M,-16.80M,-126.30M,50.00M,15.40M,422.20M,,324.00M,831.40M,2.40M,1.158B,,2012-12,,-2.00M,-16.80M,,2012-12,AOR,Restated
2012-09,239.30M,,,0.00,26.80M,26.80M,116.70M,61.30M,178.00M,178.00M,40.70M,,,12.40M,-3.70M,-34.90M,-101.70M,-23.10M,,67.20M,,108.70M,51.10M,,509.70M,,2012-09,-149.10M,1.90M,1.90M,,15.20M,-134.60M,,2012-09,499.80M,-816.00M,-316.20M,,-2.20M,-2.20M,-59.60M,15.70M,0.60M,-361.70M,,304.90M,13.40M,5.70M,324.00M,,2012-09,,-1.80M,-2.20M,,2012-09,AOR,Restated
2012-06,183.40M,,,0.00,28.10M,28.10M,116.30M,62.10M,178.40M,178.40M,-7.20M,,,17.40M,-17.30M,-160.70M,-103.50M,-22.90M,,3.40M,,1.50M,-121.50M,,100.60M,,2012-06,-134.00M,5.80M,5.80M,,0.00,-143.00M,,2012-06,-1.60M,106.80M,105.20M,,-105.60M,-105.60M,-59.70M,58.50M,17.30M,15.70M,,354.00M,-26.70M,-22.40M,304.90M,,2012-06,,-1.60M,-105.60M,,2012-06,AOR,Restated
2012-03,44.10M,,,0.00,27.30M,27.30M,115.50M,61.70M,177.20M,177.20M,-18.90M,,,20.90M,-7.10M,-6.20M,30.50M,18.60M,,-23.90M,,-152.00M,-126.80M,,110.50M,,2012-03,-128.50M,2.20M,2.20M,,0.80M,-137.30M,,2012-03,-1.690B,319.60M,-1.370B,,-85.30M,-85.30M,-61.20M,39.50M,7.10M,-1.470B,,1.844B,-1.497B,7.00M,354.00M,,2012-03,,-1.690B,-85.30M,,2012-03,AOR,Restated
2011-12,88.80M,,,,154.50M,109.80M,86.10M,,150.40M,150.40M,38.40M,-39.70M,,11.90M,-4.80M,-103.80M,-31.90M,-8.10M,,13.80M,,-80.00M,-106.20M,,144.80M,,2011-12,-121.20M,-0.10M,-0.10M,,0.00,-1.473B,,2011-12,2.974B,610.10M,3.584B,,-567.50M,-567.50M,-40.60M,28.80M,-28.30M,2.976B,,207.30M,1.649B,-12.40M,1.844B,,2011-12,,-1.562B,-567.50M,,2011-12,AOR,Restated
2011-09,154.50M,,,,11.50M,19.90M,82.90M,,82.90M,82.90M,-4.00M,14.20M,,7.00M,-1.10M,1.60M,-39.80M,-11.20M,,12.70M,,1.90M,-36.40M,,238.60M,,2011-09,-87.10M,0.60M,0.60M,0.00,0.00,-87.30M,,2011-09,-1.90M,-65.30M,-67.20M,,-0.30M,-0.30M,-41.10M,9.50M,-7.10M,-106.20M,,163.20M,45.10M,-1.00M,207.30M,,2011-09,,-67.20M,-0.30M,,2011-09,AOR,Restated
2011-06,126.20M,,,,6.30M,32.30M,82.80M,,82.80M,82.80M,7.20M,13.90M,,9.80M,-5.50M,2.10M,-44.50M,-7.20M,,33.80M,,-4.90M,-22.80M,,246.00M,,2011-06,-85.10M,2.10M,2.10M,0.00,0.00,-86.60M,,2011-06,-2.00M,-103.40M,-105.40M,,-52.00M,-52.00M,-40.60M,36.90M,5.50M,-155.60M,,151.40M,3.80M,8.00M,163.20M,,2011-06,,-105.40M,-52.00M,,2011-06,AOR,Restated
2011-03,93.80M,,,,-89.20M,-78.90M,79.60M,,79.60M,79.60M,0.10M,11.60M,,11.20M,-2.30M,1.90M,10.20M,-9.60M,,0.60M,,-62.10M,-60.90M,,56.10M,,2011-03,-72.60M,0.40M,0.40M,0.00,-28.10M,-377.80M,,2011-03,-151.80M,465.70M,313.90M,,-70.20M,-70.20M,-40.60M,13.80M,2.20M,219.10M,,242.30M,-102.60M,11.70M,151.40M,,2011-03,,313.90M,-70.20M,,2011-03,AOR,Restated
2010-12,131.60M,,,,42.70M,42.70M,,,88.40M,88.40M,-34.00M,,,8.20M,-3.60M,-47.90M,35.20M,16.90M,,-2.20M,,76.90M,126.80M,,312.20M,,2010-12,-81.20M,1.10M,1.10M,,20.10M,-63.80M,,2010-12,-1.50M,-156.50M,-158.00M,,-3.70M,-3.70M,-35.90M,17.30M,3.60M,-176.70M,,168.40M,71.70M,2.20M,242.30M,,2010-12,,-91.40M,-3.70M,,2010-12,AOR,Restated
2010-09,174.30M,,,,16.10M,16.10M,,,81.50M,81.50M,3.70M,,,6.80M,-6.40M,-4.40M,-47.70M,-10.60M,,18.40M,,41.50M,1.60M,,273.20M,,2010-09,-70.00M,0.10M,0.10M,,-2.10M,-104.90M,,2010-09,-2.60M,16.70M,14.10M,,-143.10M,-143.10M,-36.20M,37.10M,6.40M,-121.70M,,121.30M,46.60M,0.50M,168.40M,,2010-09,,14.10M,-143.10M,,2010-09,AOR,
2010-06,225.20M,,,,15.80M,15.80M,,,91.80M,91.80M,-3.00M,,,9.80M,-4.30M,-92.20M,-46.00M,7.30M,,21.90M,,3.30M,-13.50M,,229.60M,,2010-06,-86.90M,0.60M,9.20M,,0.90M,-77.40M,,2010-06,-1.90M,-39.50M,-41.40M,,-57.30M,-57.30M,-36.60M,21.10M,4.30M,-109.90M,,85.30M,42.30M,-6.30M,121.30M,,2010-06,,-41.40M,-57.30M,,2010-06,AOR,Restated
2010-03,,,,,16.20M,16.20M,,,86.20M,86.20M,2.20M,,,4.40M,-2.60M,99.70M,19.20M,5.00M,,-31.30M,,-63.60M,-70.70M,,135.40M,,2010-03,-59.60M,0.80M,-7.80M,,,-57.50M,,2010-03,-1.40M,112.70M,111.30M,,-144.70M,-144.70M,-36.80M,13.70M,2.60M,-53.90M,,73.60M,24.00M,-12.30M,85.30M,,2010-03,,111.30M,-144.70M,,2010-03,AOR,Restated
2009-12,116.30M,,,,-98.40M,-98.40M,,,85.70M,85.70M,67.90M,,,14.40M,-1.80M,1.40M,22.00M,-8.70M,,-12.40M,14.60M,,-22.00M,,163.50M,,2009-12,-98.60M,8.50M,-6.60M,,,-97.40M,,2009-12,-1.40M,-24.20M,-25.60M,,-57.30M,-57.30M,-33.20M,9.30M,1.80M,-105.00M,,107.50M,-38.90M,5.00M,73.60M,,2009-12,,-245.40M,-57.30M,,2009-12,AOR,Restated
2009-09,145.20M,,,,-61.20M,-61.20M,,,83.60M,83.60M,16.40M,,,8.00M,-4.70M,-3.30M,-30.50M,5.40M,,19.80M,-6.30M,,48.10M,,232.10M,,2009-09,-73.70M,2.20M,-10.20M,,,-73.00M,,2009-09,-1.50M,-120.30M,-121.80M,,-11.10M,-11.10M,-33.10M,25.00M,4.70M,-136.30M,,82.70M,22.80M,2.00M,107.50M,,2009-09,,-1.50M,-11.10M,,2009-09,AOR,Restated
2009-06,99.50M,,,,13.80M,13.80M,,,84.60M,84.60M,-2.00M,,,7.00M,-1.00M,12.60M,8.60M,22.10M,,15.70M,12.60M,,57.50M,,272.00M,,2009-06,-65.80M,0.30M,-9.00M,,,-65.90M,,2009-06,-83.30M,-99.50M,-182.80M,,-0.30M,-0.30M,-33.40M,10.30M,1.00M,-205.20M,,79.50M,0.90M,2.30M,82.70M,,2009-06,,-1.50M,-0.30M,,2009-06,AOR,Restated
2009-03,57.70M,,,,-35.90M,-35.90M,,,80.40M,80.40M,5.80M,,,7.90M,-0.20M,27.00M,45.00M,-5.80M,,-48.20M,-20.90M,,-115.30M,,27.40M,,2009-03,-59.20M,0.70M,-7.30M,,,-63.00M,,2009-03,79.80M,,79.80M,,-0.10M,-0.10M,-33.00M,1.80M,0.20M,48.70M,,66.70M,13.10M,-0.30M,79.50M,,2009-03,,-2.00M,-0.10M,,2009-03,AOR,Restated
2008-12,80.40M,,0.00,,0.60M,-1.10M,,,79.50M,79.50M,10.20M,,,11.20M,-0.10M,28.50M,39.40M,-9.00M,,-10.90M,6.90M,,48.40M,,257.00M,,2008-12,-94.70M,0.70M,-15.80M,0.00,,-94.10M,,2008-12,161.00M,,161.00M,,-316.30M,-316.30M,-32.20M,0.80M,0.20M,-186.50M,,102.10M,-23.60M,-11.80M,66.70M,,2008-12,,161.00M,-316.30M,,2008-12,,Restated
2008-09,125.90M,,0.00,,-62.80M,-62.80M,,,85.20M,85.20M,75.20M,,,7.00M,-3.20M,-9.20M,-56.00M,-17.70M,,5.70M,38.40M,,-32.60M,,185.50M,,2008-09,-99.60M,1.20M,-14.40M,0.00,,-99.60M,,2008-09,-187.90M,,-187.90M,,-0.70M,-0.70M,-32.10M,13.80M,3.40M,-203.50M,,222.00M,-117.60M,-2.30M,102.10M,,2008-09,,-197.60M,-0.70M,,2008-09,,Restated
2008-06,139.00M,,-24.50M,,11.60M,-12.90M,,,85.10M,85.10M,0.70M,,,7.70M,-1.30M,5.20M,-43.40M,-15.40M,,8.10M,1.30M,,-49.80M,,173.70M,,2008-06,-108.00M,33.80M,14.80M,0.00,,-77.40M,,2008-06,-71.20M,,-71.20M,,-1.60M,-1.60M,-32.20M,6.00M,0.90M,-98.10M,,219.50M,-1.80M,4.30M,222.00M,,2008-06,,-34.40M,-1.60M,,2008-06,,Restated
