,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2015-06,1.343B,,1.343B,55.18M,,732.02M,785.98M,117.99M,252.56M,,2.499B,,,,,,,,,,230.93M,,771.42M,,16.61B,19.11B,,231.90M,112.89M,344.79M,178.55M,523.34M,0.00,0.00,0.00,,523.34M,10.05B,,10.05B,2.205B,106.23M,448.48M,10.60B,11.13B,,201.54M,-711.24M,6.294B,2.722M,200.00M,1.848M,5.783B,,AOR,Restated
2015-03,1.064B,,1.064B,47.77M,,715.00M,761.64M,165.98M,588.22M,,2.580B,,,,,,,,,,216.92M,,806.47M,,16.60B,19.18B,,224.09M,112.80M,336.88M,186.63M,523.51M,0.00,0.00,0.00,,523.51M,10.07B,,10.07B,2.217B,106.15M,483.76M,10.66B,11.18B,,201.53M,-690.99M,6.286B,2.722M,200.00M,-11.91M,5.782B,,AOR,Restated
2014-12,1.763B,,1.763B,46.60M,,693.50M,738.59M,164.43M,487.32M,,3.153B,,,,,,,,,,212.85M,,831.74M,,16.73B,19.89B,,243.26M,882.47M,1.126B,163.53M,1.289B,0.00,0.00,0.00,,1.289B,10.09B,,10.09B,2.206B,105.32M,502.26M,10.69B,11.98B,,201.53M,-762.46M,6.270B,2.722M,200.00M,-9.304M,5.697B,,AOR,Restated
2014-09,846.66M,,846.66M,43.21M,,697.28M,733.10M,219.07M,153.16M,,1.952B,,,,,,,,,,198.98M,,837.91M,,16.92B,18.88B,,253.60M,112.71M,366.31M,181.95M,548.26M,0.00,0.00,0.00,,548.26M,10.66B,,10.66B,1.323B,106.13M,517.43M,11.28B,11.83B,,201.53M,-148.57M,5.685B,2.722M,200.00M,-9.866M,5.725B,,AOR,Restated
2014-06,1.037B,,1.037B,51.35M,,680.34M,724.94M,133.04M,59.25M,,1.954B,,,,,,,,,,195.87M,,853.92M,,16.94B,18.90B,,216.08M,112.42M,328.50M,156.02M,484.52M,0.00,0.00,0.00,,484.52M,10.74B,,10.74B,1.323B,121.78M,539.72M,11.40B,11.88B,,201.53M,-176.93M,5.680B,2.722M,200.00M,-10.43M,5.691B,,AOR,Restated
2014-03,1.180B,,1.180B,37.81M,,665.18M,699.54M,178.49M,54.24M,,2.112B,,,,,,,,,,145.38M,,861.57M,,16.87B,18.98B,,218.03M,114.80M,332.83M,178.65M,511.48M,0.00,0.00,0.00,,511.48M,10.76B,,10.76B,1.300B,151.64M,556.77M,11.47B,11.98B,,201.53M,-153.98M,5.668B,2.722M,200.00M,-10.99M,5.702B,,AOR,Restated
2013-12,2.365B,,2.365B,59.46M,,655.24M,711.07M,184.48M,57.20M,,3.318B,,,,,,,,,,156.74M,,884.45M,,16.86B,20.18B,,202.47M,497.24M,699.71M,167.52M,867.24M,0.00,0.00,0.00,,867.24M,11.52B,,11.52B,1.302B,150.92M,592.98M,12.27B,13.13B,,201.53M,-108.55M,5.662B,2.722M,200.00M,-11.56M,5.741B,,AOR,Restated
2013-09,1.641B,,1.641B,55.39M,0.00,644.42M,696.43M,238.69M,53.50M,,2.630B,,,,,,,,,,144.42M,,918.80M,,16.89B,19.52B,,215.78M,112.47M,328.25M,181.31M,509.56M,0.00,0.00,0.00,,509.56M,11.53B,,11.53B,1.059B,166.46M,567.46M,12.27B,12.78B,,201.52M,246.21M,5.250B,2.722M,200.00M,-12.12M,5.683B,,AOR,Restated
2013-06,1.609B,,1.609B,66.04M,0.00,629.30M,691.69M,179.74M,54.83M,,2.535B,,,,,,,,,,152.20M,,939.68M,,16.93B,19.46B,,213.00M,112.42M,325.42M,141.68M,467.10M,0.00,0.00,0.00,,467.10M,11.55B,,11.55B,1.060B,209.04M,556.73M,12.31B,12.78B,,201.52M,192.49M,5.246B,2.722M,200.00M,-12.69M,5.625B,,AOR,Restated
2013-03,909.38M,,909.38M,75.85M,282.31M,613.63M,1.077B,71.76M,55.41M,,2.113B,,,,,,,,,,666.63M,,572.89M,,13.51B,15.62B,,210.36M,110.89M,321.24M,99.49M,420.74M,0.00,0.00,0.00,,420.74M,8.872B,,8.872B,548.38M,209.09M,316.68M,9.397B,9.818B,,201.52M,-160.70M,5.232B,2.722M,200.00M,-13.25M,5.257B,,AOR,Restated
2012-12,1.042B,,1.042B,69.56M,282.49M,599.77M,1.055B,90.61M,55.18M,,2.243B,,,,,,,,,,672.09M,,588.24M,,13.22B,15.46B,,199.10M,110.49M,309.59M,72.46M,382.05M,0.00,0.00,0.00,,382.05M,8.912B,,8.912B,537.79M,208.43M,324.61M,9.445B,9.827B,,1.516M,-109.98M,5.222B,2.722M,,-13.82M,5.097B,,AOR,Restated
