,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2014-06,878.20M,878.20M,443.00M,435.20M,,,,12.70M,0.10M,-12.60M,262.30M,262.30M,172.90M,0.10M,12.70M,-12.60M,0.20M,-12.60M,160.50M,51.90M,108.80M,,,-2.70M,106.10M,106.03M,192.90M,19.70M,173.20M,1.83,,,1.829,1.83,1.8,,,1.7990000000000002,1.8,58.10M,59.00M,0.44
2014-03,837.70M,837.70M,424.60M,413.10M,,,,13.70M,0.10M,-13.60M,257.00M,257.00M,156.10M,0.10M,13.70M,-13.60M,-0.20M,-13.60M,142.30M,44.30M,98.20M,,,-2.30M,95.90M,96.04M,175.60M,19.60M,156.00M,1.65,,,1.652,1.65,1.62,,,1.6219999999999999,1.62,58.20M,59.10M,0.44
2013-12,844.90M,844.90M,433.40M,411.50M,,,,14.30M,0.20M,-14.10M,254.90M,254.90M,156.60M,0.20M,14.30M,-14.10M,-1.00M,-14.10M,141.50M,44.60M,96.90M,,,-2.40M,94.50M,95.18M,174.80M,19.00M,155.80M,1.63,,,1.642,1.63,1.6,,,1.6119999999999999,1.6,58.20M,59.10M,0.44
2013-09,798.30M,798.30M,402.40M,395.90M,,,,14.40M,0.10M,-14.30M,253.00M,253.00M,142.90M,0.10M,14.40M,-14.30M,-0.90M,-14.30M,127.70M,40.80M,87.00M,,,-2.40M,84.60M,85.21M,161.50M,19.40M,142.10M,1.45,,,1.46,1.45,1.43,,,1.44,1.43,58.20M,59.00M,0.38
2013-06,808.60M,808.60M,404.80M,403.80M,,,,13.80M,0.10M,-13.70M,255.40M,255.40M,148.40M,0.10M,13.80M,-13.70M,-1.80M,-13.70M,132.90M,42.50M,90.70M,,,-2.30M,88.40M,89.62M,166.20M,19.50M,146.70M,1.52,,,1.541,1.52,1.5,,,1.521,1.5,58.20M,59.00M,0.38
2013-03,785.70M,785.70M,398.30M,387.40M,,,,13.60M,0.10M,-13.50M,249.10M,249.10M,138.30M,0.10M,13.60M,-13.50M,-0.70M,-13.50M,124.10M,38.80M,85.10M,,,-2.30M,82.80M,83.28M,156.50M,18.80M,137.70M,1.42,,,1.4280000000000002,1.42,1.4,,,1.4080000000000001,1.4,58.30M,59.20M,0.38
2012-12,796.10M,796.10M,414.80M,381.30M,,,,14.40M,0.10M,-14.30M,240.60M,240.60M,140.70M,0.10M,14.40M,-14.30M,0.00,-14.30M,126.40M,39.80M,86.70M,,,-2.10M,84.60M,84.46M,160.30M,19.50M,140.80M,1.45,,,1.4480000000000002,1.45,1.43,,,1.4280000000000002,1.43,58.20M,59.20M,0.38
2012-09,752.10M,752.10M,383.80M,368.30M,,,,13.60M,0.00,-13.60M,244.20M,244.20M,124.10M,0.00,13.60M,-13.60M,-0.20M,-13.60M,110.30M,34.90M,76.40M,,,-2.30M,74.10M,74.24M,142.90M,19.00M,123.90M,1.27,,,1.272,1.27,1.26,,,1.262,1.26,58.30M,58.90M,0.34
2012-06,777.80M,777.80M,402.30M,375.50M,,,,13.90M,0.30M,-13.60M,245.30M,245.30M,130.20M,0.30M,13.90M,-13.60M,-0.20M,-13.60M,116.40M,38.30M,78.50M,,,-2.10M,76.40M,76.47M,149.50M,19.20M,130.30M,1.31,,,1.311,1.31,1.3,,,1.301,1.3,58.20M,58.80M,0.34
2012-03,773.20M,773.20M,401.60M,371.60M,,,,13.90M,0.20M,-13.70M,250.20M,250.20M,121.40M,0.20M,13.90M,-13.70M,-0.60M,-13.70M,107.10M,35.20M,73.00M,,,-2.00M,71.00M,71.40M,140.00M,19.00M,121.00M,1.22,,,1.227,1.22,1.21,,,1.217,1.21,58.20M,58.80M,0.34
2011-12,860.90M,860.90M,452.20M,408.70M,,-50.80M,,13.50M,0.30M,-13.20M,,232.00M,176.70M,0.30M,13.50M,-13.20M,-52.10M,-13.20M,111.40M,36.20M,76.10M,,,-1.80M,74.30M,109.60M,144.10M,19.20M,124.90M,1.28,,,1.8869999999999998,1.28,1.27,,,1.871,1.27,58.20M,58.70M,0.34
2011-09,697.20M,697.20M,367.90M,329.30M,235.00M,20.80M,,15.10M,0.30M,-14.80M,,235.00M,94.30M,0.30M,15.10M,-14.80M,18.80M,-14.80M,98.30M,30.50M,69.80M,,,-2.00M,67.80M,54.83M,132.20M,18.80M,113.40M,1.16,0.0,,0.9372,1.16,1.16,0.0,,0.9391,1.16,58.20M,58.70M,0.32
2011-06,726.70M,726.70M,384.50M,342.20M,243.40M,35.50M,,16.30M,0.40M,-15.90M,,243.40M,98.80M,0.40M,16.30M,-15.90M,36.00M,-15.90M,118.90M,39.80M,79.90M,,,-1.90M,78.00M,54.05M,153.50M,18.30M,135.20M,1.34,0.0,,0.9285,1.34,1.33,0.0,,0.9227,1.33,58.20M,58.80M,0.32
2011-03,693.70M,693.70M,363.10M,330.60M,243.30M,12.50M,,16.30M,0.40M,-15.90M,,243.30M,87.30M,0.40M,16.30M,-15.90M,12.50M,-15.90M,84.30M,27.20M,58.00M,,,-1.80M,56.20M,47.73M,118.90M,18.30M,100.60M,0.97,0.0,,0.8245,0.97,0.96,0.0,,0.8158,0.96,58.20M,58.70M,0.32
2010-12,759.20M,759.20M,426.30M,332.90M,,0.00,,14.10M,0.30M,-13.80M,899.10M,236.00M,96.90M,0.30M,14.10M,-13.80M,0.30M,-13.80M,83.40M,24.50M,59.80M,,,-1.90M,57.90M,57.83M,115.70M,18.20M,97.50M,1.0,,,0.9988,1.0,0.99,,,0.9888,0.99,58.00M,58.70M,0.32
2010-09,653.10M,653.10M,351.90M,301.20M,222.40M,-0.20M,,13.50M,0.50M,-13.00M,-5.00M,217.40M,83.80M,0.50M,13.50M,-13.00M,0.20M,-13.00M,71.00M,23.80M,48.30M,,,-1.80M,46.50M,46.37M,102.50M,18.00M,84.50M,0.8,0.0,,0.7977,0.8,0.8,0.0,,0.7977,0.8,58.10M,58.40M,0.3
2010-06,647.60M,647.60M,343.80M,303.80M,224.80M,2.00M,,13.20M,0.30M,-12.90M,,224.80M,79.00M,0.30M,13.20M,-12.90M,0.60M,-12.90M,66.70M,20.30M,46.90M,,,-1.60M,45.30M,44.88M,98.20M,18.30M,79.90M,0.78,0.0,,0.7728,0.78,0.78,0.0,,0.7728,0.78,58.00M,58.30M,0.3
2010-03,621.60M,621.60M,334.00M,287.60M,215.90M,-1.80M,,14.00M,0.20M,-13.80M,,215.90M,71.70M,0.20M,14.00M,-13.80M,-1.60M,-13.80M,56.30M,19.00M,38.00M,,,-1.20M,36.80M,37.86M,88.50M,18.20M,70.30M,0.64,0.0,,0.6583,0.64,0.63,0.0,,0.6482,0.63,57.80M,58.30M,0.3
2009-12,566.50M,566.50M,303.40M,263.10M,,17.90M,,14.70M,0.30M,-14.40M,,213.20M,49.90M,0.30M,14.70M,-14.40M,18.50M,-14.40M,54.00M,16.50M,38.10M,,,-1.50M,36.60M,24.17M,87.90M,19.20M,68.70M,0.64,0.0,,0.4257,0.64,0.63,0.0,,0.4164,0.63,58.00M,58.20M,0.3
2009-09,587.80M,587.80M,332.60M,255.20M,,-0.40M,,12.80M,0.60M,-12.20M,,206.50M,48.70M,0.60M,12.80M,-12.20M,-0.40M,-12.20M,36.10M,10.30M,26.40M,,,-1.00M,25.40M,25.69M,67.20M,18.30M,48.90M,0.44,0.0,,0.445,0.44,0.44,0.0,,0.4449,0.44,57.70M,57.80M,0.3
2009-06,590.00M,590.00M,336.00M,254.00M,200.30M,17.70M,,11.60M,,-11.60M,,200.30M,53.70M,,11.60M,-11.60M,17.70M,-11.60M,59.80M,17.60M,42.00M,,,-4.60M,37.40M,24.91M,90.40M,19.00M,71.40M,0.65,0.0,,0.4335,0.65,0.65,0.0,,0.4343,0.65,57.70M,57.90M,0.3
2009-03,572.60M,572.60M,313.90M,258.70M,204.40M,9.70M,,8.60M,,-8.60M,,204.40M,54.30M,,8.60M,-8.60M,9.70M,-8.60M,55.40M,18.30M,37.20M,,,-2.40M,34.80M,28.30M,82.10M,18.10M,64.00M,0.61,0.0,,0.497,0.61,0.6,0.0,,0.4876,0.6,57.50M,57.80M,0.3
2008-12,606.10M,606.10M,334.50M,271.60M,,36.80M,,8.70M,,-2.10M,,211.40M,60.20M,,8.70M,-2.10M,36.80M,-2.10M,88.30M,28.20M,60.50M,,,-1.90M,58.60M,33.55M,114.00M,17.00M,97.00M,1.02,0.0,,0.5844,1.02,1.01,0.0,,0.5767,1.01,57.50M,57.80M,0.3
2008-09,715.80M,715.80M,398.80M,317.00M,,1.00M,,6.80M,,-6.80M,,230.60M,86.40M,,6.80M,-6.80M,1.00M,-6.80M,80.60M,26.80M,55.00M,,,-0.40M,54.60M,53.93M,105.90M,18.50M,87.40M,0.95,0.0,,0.9384,0.95,0.94,0.0,,0.9285,0.94,57.50M,58.20M,0.3
2008-06,766.10M,766.10M,419.60M,346.50M,245.60M,12.10M,,8.80M,,-8.80M,,245.60M,100.90M,,8.80M,-8.80M,12.10M,-8.80M,104.20M,34.50M,70.40M,,,-3.50M,66.90M,58.81M,131.80M,18.80M,113.00M,1.16,0.0,,1.0190000000000001,1.16,1.15,0.0,,1.011,1.15,57.60M,58.10M,0.3
2008-03,721.60M,721.60M,395.70M,325.90M,245.50M,13.80M,,9.50M,,-9.50M,,245.50M,80.40M,,9.50M,-9.50M,13.80M,-9.50M,84.70M,28.30M,57.70M,,,-1.10M,56.60M,47.41M,111.90M,17.70M,94.20M,0.98,0.0,,0.8202,0.98,0.97,0.0,,0.8121,0.97,57.50M,58.20M,0.3
2007-12,742.90M,742.90M,409.50M,333.40M,245.10M,4.70M,,,,,,259.50M,73.90M,,,,2.30M,,85.70M,25.90M,57.30M,0.00,,,57.30M,54.02M,127.20M,25.40M,101.80M,0.99,0.0,,0.9331,0.99,0.98,0.0,,0.9237,0.98,57.60M,58.30M,0.3
2007-09,680.70M,680.70M,379.80M,300.90M,234.10M,6.20M,,,,,-5.60M,228.50M,72.40M,,,,6.80M,,62.70M,21.60M,41.10M,,,-1.30M,41.10M,37.04M,88.90M,16.50M,72.40M,0.71,0.0,,0.6396,0.71,0.7,0.0,,0.6304,0.7,57.70M,58.40M,0.27
2007-06,711.90M,711.90M,389.50M,322.40M,240.10M,5.30M,,,,,-5.10M,235.00M,87.40M,,,,5.90M,,78.20M,25.40M,52.80M,-9.00M,,-1.20M,43.80M,49.22M,104.70M,17.30M,87.40M,0.91,-0.16,,0.8484,0.75,0.9,-0.16,,0.8391,0.74,58.10M,58.80M,0.27
2007-03,705.70M,705.70M,395.80M,309.90M,244.90M,0.10M,,,,,133.70M,378.60M,-68.70M,,,,0.10M,,58.60M,19.50M,38.00M,,,,38.00M,37.93M,-52.20M,16.50M,-68.70M,0.65,0.02,,0.6489,0.67,0.64,0.02,,0.6389,0.66,58.20M,59.00M,0.27
2006-12,651.40M,651.40M,368.70M,282.70M,267.10M,87.80M,,,,,-5.00M,262.10M,20.60M,,,,87.80M,,56.50M,15.50M,37.30M,0.70M,,-1.10M,38.00M,-26.41M,35.50M,14.90M,20.60M,0.64,0.01,,-0.4473,0.65,0.63,0.01,,-0.4408,0.64,58.60M,59.50M,0.27
2006-09,594.70M,594.70M,336.10M,258.60M,216.00M,3.40M,,,,,-3.00M,213.00M,45.60M,,,,3.40M,,42.40M,14.80M,27.60M,0.60M,,-0.90M,28.20M,25.39M,57.40M,11.80M,45.60M,0.47,0.01,,0.432,0.48,0.47,0.01,,0.4324,0.48,58.20M,58.80M,0.27
2006-06,621.70M,621.70M,341.80M,279.90M,224.90M,-73.40M,,,,,-3.00M,221.90M,58.00M,,,,-73.40M,,15.60M,3.90M,11.70M,,,-0.90M,11.70M,66.75M,70.70M,12.70M,58.00M,0.2,0.0,,1.146,0.2,0.2,0.0,,1.135,0.2,58.20M,58.90M,0.27
2006-03,593.50M,593.50M,333.20M,260.30M,222.90M,0.80M,,,,,-2.00M,220.90M,39.40M,,,,0.80M,,33.80M,11.70M,22.10M,,,,22.10M,21.58M,51.90M,12.50M,39.40M,0.38,0.0,,0.371,0.38,0.37,0.0,,0.3611,0.37,58.20M,59.10M,0.27
2005-12,492.40M,492.40M,297.30M,195.10M,171.80M,21.00M,,,,,,156.10M,39.00M,,,,21.00M,,39.70M,15.60M,22.70M,,,,27.40M,9.952M,51.60M,12.60M,39.00M,0.4,0.08,,0.1794,0.48,0.39,0.08,,0.1717,0.47,57.80M,58.40M,0.25
2005-09,567.20M,567.20M,306.90M,260.30M,217.50M,-0.50M,,,,,,217.50M,42.80M,,,,-0.50M,,36.70M,15.70M,21.00M,,,,21.00M,21.30M,55.00M,12.20M,42.80M,0.36,0.0,,0.3652,0.36,0.36,0.0,,0.3651,0.36,57.90M,58.60M,0.25
2005-06,608.60M,608.60M,323.80M,284.80M,237.50M,-0.80M,,,,,,237.50M,47.30M,,,,-0.80M,,40.90M,14.30M,26.60M,,,,26.60M,27.12M,60.10M,12.80M,47.30M,0.46,0.0,,0.469,0.46,0.46,0.0,,0.4689,0.46,57.70M,58.30M,0.25
2005-03,598.70M,598.70M,341.80M,256.90M,226.90M,3.40M,,,,,-4.30M,222.60M,34.30M,,,,3.40M,,27.50M,9.60M,17.90M,,,,17.90M,15.69M,48.90M,14.60M,34.30M,0.31,0.0,,0.2717,0.31,0.31,0.0,,0.272,0.31,57.80M,58.30M,0.25
2004-12,610.00M,610.00M,371.10M,238.90M,200.90M,4.70M,,,,,,200.90M,38.00M,,,,4.70M,,37.10M,13.10M,24.00M,,,,24.00M,20.96M,50.90M,12.90M,38.00M,0.41,0.0,,0.3575,0.41,0.41,0.0,,0.3575,0.41,57.90M,57.90M,0.25
2004-09,568.80M,568.80M,311.50M,257.30M,220.80M,-0.80M,,,,,,220.80M,36.50M,,,,-0.80M,,29.60M,6.80M,22.80M,,,,22.80M,23.42M,50.50M,14.00M,36.50M,0.39,0.0,,0.4007,0.39,0.39,0.0,,0.4006,0.39,57.70M,58.20M,0.25
2004-06,612.10M,612.10M,335.40M,276.70M,235.90M,-0.90M,,,,,,235.90M,40.80M,,,,-0.90M,,34.20M,12.00M,22.20M,,,,22.20M,22.78M,56.00M,15.20M,40.80M,0.38,0.0,,0.3901,0.38,0.38,0.0,,0.39,0.38,57.90M,58.50M,0.25
2004-03,616.30M,616.30M,345.80M,270.50M,243.50M,-1.90M,,,,,,243.50M,27.00M,,,,-1.90M,,19.50M,6.80M,12.70M,,,,12.70M,13.94M,45.90M,18.90M,27.00M,0.22,0.0,,0.2413,0.22,0.22,0.0,,0.2411,0.22,58.20M,58.70M,0.25
2003-12,599.30M,599.30M,347.90M,251.40M,228.20M,-34.20M,,,,,-12.10M,216.10M,35.30M,,,,-34.20M,,26.60M,9.30M,17.30M,,,,17.30M,39.54M,52.10M,16.80M,35.30M,0.3,0.0,,0.6822,0.3,0.3,0.0,,0.6809,0.3,58.20M,58.40M,0.25
2003-09,525.60M,525.60M,303.80M,221.80M,200.70M,7.60M,,,,,-10.00M,190.70M,31.10M,,,,7.60M,,22.90M,5.20M,17.70M,,,,17.70M,11.83M,44.70M,13.60M,31.10M,0.3,0.0,,0.1992,0.3,0.3,0.0,,0.1994,0.3,58.30M,58.40M,0.25
2003-06,565.20M,565.20M,319.10M,246.10M,216.60M,10.80M,,,,,-11.20M,205.40M,40.70M,,,,10.80M,,34.30M,12.00M,22.30M,,,,22.30M,15.28M,55.90M,15.20M,40.70M,0.38,0.0,,0.2594,0.38,0.38,0.0,,0.2598,0.38,58.20M,58.40M,0.25
2003-03,543.10M,543.10M,297.70M,245.40M,212.90M,6.80M,,,,,-10.50M,202.40M,43.00M,,,,6.80M,,32.90M,11.50M,21.40M,,,,21.40M,16.98M,57.70M,14.70M,43.00M,0.37,0.0,,0.294,0.37,0.37,0.0,,0.2941,0.37,58.20M,58.30M,0.25
2002-12,549.50M,549.50M,299.50M,250.00M,201.30M,-28.20M,,,,,,163.60M,86.40M,,,,-28.20M,,51.70M,18.60M,33.10M,,0.00,,33.10M,51.15M,99.00M,12.60M,86.40M,0.57,0.0,0.0,0.8802,0.57,0.5617,0.0,0.0,0.8703,0.5638,58.20M,58.50M,0.25
2002-09,502.40M,502.40M,274.60M,227.80M,197.20M,6.40M,,,,,,197.20M,30.60M,,,,6.40M,,30.10M,10.90M,19.20M,,,,19.20M,15.12M,43.20M,12.60M,30.60M,0.33,0.0,,0.2601,0.33,0.3271,0.0,,0.2575,0.3271,58.40M,58.70M,0.24
2002-06,547.20M,547.20M,295.80M,251.40M,202.80M,4.50M,,,,,,202.80M,48.60M,,,,4.50M,,45.60M,16.40M,29.20M,,,,29.20M,26.32M,61.20M,12.60M,48.60M,0.5,0.0,,0.4505,0.5,0.5,0.0,,0.4509,0.5,58.20M,58.70M,0.24
