,NetIncome,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,OtherNoncashItems,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2015-12,6.201B,-105.00M,-308.00M,-163.00M,-576.00M,1.579B,1.579B,1.579B,-2.54B,-761.00M,-762.00M,,2.30B,,-5.549B,433.00M,-5.116B,1.00M,-172.00M,-742.00M,-7.531B,,5.585B,-548.00M,5.037B,,-632.00M,-632.00M,,,-564.00M,,-564.00M,-89.00M,5.264B,,15.43B,33.00M,-369.00M,17.33B,,,6.731B,-1.146B,-632.00M,,AOR,Restated
2015-09,1.341B,123.00M,-187.00M,57.00M,-7.00M,1.981B,1.981B,1.981B,-99.00M,-459.00M,551.00M,,3.308B,,-6.367B,194.00M,-6.173B,0.00,-894.00M,-1.789B,-8.856B,,4.412B,689.00M,5.101B,,-889.00M,-889.00M,,,-592.00M,,-592.00M,-30.00M,3.59B,,17.63B,-1.958B,-236.00M,15.43B,,,8.318B,-3.906B,-889.00M,,AOR,Restated
2015-06,1.14B,600.00M,889.00M,146.00M,1.635B,2.17B,2.17B,2.17B,250.00M,-380.00M,971.00M,,5.786B,,-6.057B,283.00M,-5.774B,123.00M,1.227B,-1.431B,-5.855B,,5.035B,-300.00M,4.735B,,-1.699B,-1.699B,,,-598.00M,,-598.00M,-43.00M,2.395B,,15.78B,2.326B,-475.00M,17.63B,,,10.34B,-5.308B,-1.699B,,AOR,Restated
2015-03,908.00M,188.00M,-539.00M,43.00M,-308.00M,1.757B,1.757B,1.757B,343.00M,-357.00M,-1.968B,,375.00M,,-3.936B,185.00M,-3.751B,-1.051B,697.00M,-1.363B,-5.468B,,3.046B,98.00M,3.144B,,-300.00M,-300.00M,,,-488.00M,,-488.00M,3.00M,2.359B,,18.95B,-2.734B,-444.00M,15.78B,,,6.155B,-3.109B,-300.00M,,AOR,Restated
2014-12,,,,,,,,,,,,,3.167B,,-3.609B,138.00M,-3.471B,-2.00M,292.00M,-753.00M,-3.934B,,5.527B,1.327B,6.854B,,-3.109B,-3.109B,,,-1.384B,,-1.384B,-46.00M,2.315B,,18.06B,1.548B,-440.00M,21.19B,,,9.525B,-3.998B,-3.109B,,AOR,Restated
2014-09,,,,,,,,,,,,,1.088B,,-3.031B,131.00M,-2.90B,-1.00M,270.00M,-1.194B,-3.825B,,3.349B,-1.195B,2.154B,,-168.00M,-168.00M,,,-588.00M,,-588.00M,-56.00M,1.342B,,19.86B,-1.395B,-409.00M,18.06B,,,9.151B,-5.802B,-168.00M,,AOR,Restated
2014-06,,,,,,,,,,,,,3.83B,,-2.848B,141.00M,-2.707B,-50.00M,-1.155B,-851.00M,-4.763B,,2.054B,-125.00M,1.929B,,0.00,0.00,,,-622.00M,,-622.00M,-7.00M,1.30B,,19.43B,367.00M,71.00M,19.86B,,,7.014B,-4.96B,0.00,,AOR,Restated
2014-03,,,,,,,,,,,,,1.976B,,-2.379B,123.00M,-2.256B,0.00,194.00M,-775.00M,-2.837B,,919.00M,384.00M,1.303B,,0.00,0.00,,,-571.00M,,-571.00M,-14.00M,718.00M,,20.02B,-143.00M,-452.00M,19.43B,,,5.683B,-4.764B,0.00,,AOR,Restated
2013-12,,,,,,,,,,,,,3.058B,,-2.306B,75.00M,-2.231B,449.00M,-491.00M,-1.50B,-3.773B,,496.00M,87.00M,583.00M,,0.00,0.00,,,,,-168.00M,-3.00M,412.00M,,20.36B,-303.00M,-31.00M,20.02B,,,6.973B,-6.477B,0.00,,AOR,Restated
2013-09,,,,,,,,,,,,,3.86B,,-2.554B,58.00M,-2.496B,16.00M,-1.873B,-435.00M,-4.788B,,5.012B,-29.00M,4.983B,,-2.438B,-2.438B,,,,,-1.045B,-34.00M,1.466B,,19.70B,538.00M,120.00M,20.36B,,,9.651B,-4.639B,-2.438B,,AOR,Restated
2013-06,,,,,,,,,,,,,4.893B,,-2.541B,47.00M,-2.494B,-2.11B,125.00M,-812.00M,-5.291B,,484.00M,-452.00M,32.00M,,,,,,,,-256.00M,-90.00M,-314.00M,,20.64B,-712.00M,-234.00M,19.70B,,,8.375B,-7.891B,,,AOR,Restated
2013-03,,,,,,,,,,,,,819.00M,,-2.418B,37.00M,-2.381B,-82.00M,2.375B,-422.00M,-510.00M,,1.858B,550.00M,2.408B,,,,,,,,-218.00M,-23.00M,2.167B,,18.42B,2.476B,-255.00M,20.64B,,,3.042B,-1.184B,,,AOR,Restated
2012-12,,,,,,,,,,,,,781.00M,,-2.277B,23.00M,-2.254B,-10.00M,1.351B,1.689B,776.00M,,-1.004B,-26.00M,-1.03B,,-5.098B,-5.098B,,,,,-260.00M,-76.00M,-6.464B,,23.32B,-4.907B,9.00M,18.42B,,,1.106B,-2.11B,-5.098B,,AOR,Restated
2012-09,,,,,,,,,,,,,3.383B,,-2.172B,16.00M,-2.156B,-73.00M,1.259B,-2.486B,-3.456B,,1.462B,-65.00M,1.397B,,0.00,0.00,,,,,-220.00M,-20.00M,1.157B,,22.18B,1.084B,52.00M,23.32B,,,2.652B,-1.19B,0.00,,AOR,Restated
