,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-03,36.10B,36.10B,33.20B,2.901B,2.372B,,150.00M,549.00M,399.00M,,2.372B,529.00M,549.00M,150.00M,399.00M,648.00M,399.00M,1.576B,466.00M,1.11B,-70.00M,6.00M,14.00M,1.046B,1.116B,5.307B,3.581B,1.726B,,0.78,-0.05,0.78,0.73,,0.77,-0.05,0.77,0.72,,1.408B,1.43B,0.38,,AOR,Restated
2017-12,37.72B,37.72B,33.08B,4.639B,2.434B,,145.00M,-993.00M,-1.138B,,2.434B,2.205B,-993.00M,145.00M,-1.138B,1.926B,-1.138B,2.993B,7.896B,-4.903B,-277.00M,29.00M,14.00M,-5.151B,-4.874B,6.315B,3.177B,3.138B,,-3.29,-0.23,-3.29,-3.52,,-3.29,-0.23,-3.29,-3.52,,1.411B,1.447B,0.38,,AOR,Restated
2017-09,33.62B,33.62B,29.74B,3.879B,2.303B,,151.00M,505.00M,354.00M,,2.303B,1.576B,505.00M,151.00M,354.00M,500.00M,354.00M,2.43B,2.316B,114.00M,-3.096B,1.00M,2.00M,-2.981B,115.00M,5.728B,3.147B,2.581B,,0.08,-2.14,0.08,-2.06,,0.08,-2.14,0.08,-2.06,,1.445B,1.472B,0.38,,AOR,Restated
2017-06,36.98B,36.98B,32.21B,4.774B,2.477B,,132.00M,272.00M,140.00M,,2.477B,2.297B,272.00M,132.00M,140.00M,530.00M,140.00M,2.967B,534.00M,2.433B,-770.00M,-3.00M,,1.66B,2.43B,6.293B,3.194B,3.099B,,1.62,-0.51,1.62,1.11,,1.60,-0.51,1.60,1.09,,1.497B,1.519B,0.38,,AOR,Restated
2017-03,37.27B,37.27B,32.33B,4.939B,2.356B,,147.00M,482.00M,335.00M,,2.356B,2.583B,482.00M,147.00M,335.00M,555.00M,335.00M,3.473B,787.00M,2.686B,-69.00M,-9.00M,,2.608B,2.677B,6.363B,2.743B,3.62B,,1.78,0.05,1.78,1.73,,1.75,0.05,1.75,1.70,,1.505B,1.532B,0.38,,AOR,Restated
2016-12,39.90B,39.90B,36.45B,3.442B,2.967B,,150.00M,-113.00M,-263.00M,,2.967B,475.00M,-113.00M,150.00M,-263.00M,1.986B,-263.00M,2.198B,303.00M,1.895B,-120.00M,60.00M,,1.835B,1.955B,5.042B,2.694B,2.348B,,1.29,-0.07,1.29,1.22,,1.27,-0.07,1.27,1.19,,1.516B,1.546B,0.38,,AOR,Restated
2016-09,38.89B,38.89B,33.34B,5.548B,2.40B,,145.00M,109.00M,-36.00M,,2.40B,3.148B,109.00M,145.00M,-36.00M,497.00M,-36.00M,3.609B,902.00M,2.707B,5.00M,61.00M,,2.773B,2.768B,6.288B,2.534B,3.754B,,1.79,0.00,1.79,1.79,,1.76,0.00,1.76,1.76,,1.55B,1.574B,0.38,,AOR,Restated
2016-06,37.38B,37.38B,31.90B,5.48B,2.508B,,144.00M,133.00M,-11.00M,,2.508B,2.972B,133.00M,144.00M,-11.00M,660.00M,-11.00M,3.621B,877.00M,2.744B,106.00M,16.00M,,2.866B,2.76B,6.064B,2.299B,3.765B,,1.78,0.07,1.78,1.85,,1.74,0.07,1.74,1.81,,1.548B,1.581B,0.38,,AOR,Restated
2016-03,37.26B,37.26B,32.48B,4.79B,2.818B,,127.00M,85.00M,-42.00M,,2.818B,1.972B,85.00M,127.00M,-42.00M,560.00M,-42.00M,2.49B,559.00M,1.931B,,22.00M,,1.953B,1.953B,4.909B,2.292B,2.617B,,1.26,,1.26,1.26,,1.24,,1.24,1.24,,1.546B,1.58B,0.38,,AOR,Restated
2015-12,22.99B,22.99B,18.98B,4.012B,1.512B,,93.00M,241.00M,148.00M,,1.512B,2.50B,241.00M,93.00M,148.00M,1.063B,148.00M,3.711B,-2.49B,6.201B,,40.00M,,6.266B,6.241B,5.383B,1.579B,3.804B,,3.95,,3.95,3.97,,3.82,,3.82,3.84,,1.553B,1.595B,0.36,,AOR,Restated
2015-09,38.84B,38.84B,33.56B,5.279B,4.282B,,112.00M,119.00M,7.00M,,4.282B,997.00M,119.00M,112.00M,7.00M,502.00M,7.00M,1.506B,165.00M,1.341B,,18.00M,,1.359B,1.359B,3.599B,1.981B,1.618B,,0.86,,0.86,0.86,,0.84,,0.84,0.84,,1.577B,1.618B,0.36,,AOR,Restated
2015-06,38.18B,38.18B,33.92B,4.265B,2.977B,,108.00M,13.00M,-95.00M,,2.977B,1.288B,13.00M,108.00M,-95.00M,524.00M,-95.00M,1.717B,577.00M,1.14B,,-23.00M,,1.117B,1.117B,3.995B,2.17B,1.825B,,0.70,,0.70,0.70,,0.67,,0.67,0.67,,1.596B,1.66B,0.36,,AOR,Restated
2015-03,35.71B,35.71B,31.84B,3.87B,3.117B,,110.00M,241.00M,131.00M,,3.117B,753.00M,241.00M,110.00M,131.00M,553.00M,131.00M,1.437B,529.00M,908.00M,,37.00M,,945.00M,945.00M,3.304B,1.757B,1.547B,,0.58,,0.58,0.58,,0.56,,0.56,0.56,,1.617B,1.686B,0.30,,AOR,Restated
2014-12,39.62B,39.62B,35.24B,4.382B,2.953B,80.00M,104.00M,-198.00M,-302.00M,,2.953B,1.429B,-198.00M,104.00M,-302.00M,1.161B,-302.00M,2.288B,279.00M,2.009B,,-22.00M,882.00M,1.987B,1.917B,2.392B,,2.392B,,0.69,,0.6464,0.69,,0.66,,0.6181,0.66,,1.611B,1.678B,0.30,,AOR,Restated
2014-09,39.26B,39.26B,35.11B,4.148B,2.921B,2.00M,96.00M,239.00M,143.00M,,2.921B,1.227B,239.00M,96.00M,143.00M,499.00M,143.00M,1.869B,427.00M,1.442B,,29.00M,87.00M,1.471B,1.469B,1.965B,,1.965B,,0.86,,0.8590,0.86,,0.81,,0.8091,0.81,,1.612B,1.691B,0.30,,AOR,Restated
2014-06,39.65B,39.65B,36.78B,2.872B,3.343B,,100.00M,81.00M,-19.00M,,3.343B,-471.00M,81.00M,100.00M,-19.00M,523.00M,-19.00M,33.00M,-254.00M,287.00M,,-9.00M,88.00M,278.00M,278.00M,133.00M,,133.00M,,0.12,,0.12,0.12,,0.11,,0.11,0.11,,1.608B,1.688B,0.30,,AOR,Restated
2014-03,37.41B,37.41B,35.00B,2.406B,2.941B,,103.00M,89.00M,-14.00M,,2.941B,-535.00M,89.00M,103.00M,-14.00M,605.00M,-14.00M,56.00M,-224.00M,280.00M,,-67.00M,88.00M,213.00M,213.00M,159.00M,,159.00M,,0.08,,0.08,0.08,,0.06,,0.06,0.06,,1.587B,1.691B,0.30,,AOR,Restated
2013-12,40.48B,40.48B,36.21B,4.275B,3.629B,-455.00M,117.00M,-94.00M,-211.00M,,3.629B,646.00M,-94.00M,117.00M,-211.00M,752.00M,-211.00M,1.187B,134.00M,1.053B,,-13.00M,127.00M,1.04B,1.444B,1.304B,,1.304B,,0.64,,0.9207,0.64,,0.56,,0.7991,0.56,,1.438B,1.688B,,,AOR,Restated
2013-09,38.98B,38.98B,33.79B,5.192B,2.876B,-58.00M,147.00M,,-147.00M,,2.876B,2.316B,,147.00M,-147.00M,378.00M,-147.00M,2.547B,842.00M,1.705B,,12.00M,1.019B,1.717B,1.756B,2.694B,,2.694B,,0.50,,0.5280,0.50,,0.45,,0.4731,0.45,,1.386B,1.681B,,,AOR,Restated
2013-06,39.08B,39.08B,34.40B,4.676B,2.925B,-240.00M,61.00M,251.00M,190.00M,,2.925B,1.751B,251.00M,61.00M,190.00M,189.00M,190.00M,2.13B,742.00M,1.388B,,26.00M,214.00M,1.414B,1.570B,2.191B,,2.191B,,0.87,,0.9837,0.87,,0.75,,0.8433,0.75,,1.376B,1.677B,,,AOR,Restated
2013-03,36.88B,36.88B,32.97B,3.911B,2.952B,,91.00M,171.00M,80.00M,,2.952B,959.00M,171.00M,91.00M,80.00M,555.00M,80.00M,1.594B,409.00M,1.185B,,-10.00M,215.00M,1.175B,1.175B,1.685B,,1.685B,,0.63,,0.63,0.63,,0.58,,0.58,0.58,,1.372B,1.507B,,,AOR,Restated
2012-12,39.31B,39.31B,42.29B,-2.986B,5.347B,-26.68B,133.00M,-389.00M,-522.00M,,5.347B,-8.333B,-389.00M,133.00M,-522.00M,-24.62B,-522.00M,-33.47B,-35.64B,1.031B,,163.00M,215.00M,1.194B,18.54B,-33.34B,,-33.34B,,0.57,,11.73,0.57,,0.54,,10.89,0.54,,1.554B,1.675B,,,AOR,Restated
2012-09,37.58B,37.58B,33.05B,4.53B,2.849B,-78.00M,128.00M,318.00M,190.00M,,2.849B,1.681B,318.00M,128.00M,190.00M,-78.00M,190.00M,1.793B,357.00M,1.854B,,-21.00M,215.00M,1.833B,1.895B,1.921B,,1.921B,,0.94,,0.9798,0.94,,0.89,,0.9276,0.89,,1.57B,1.663B,,,AOR,Restated
2012-06,37.61B,37.61B,32.95B,4.668B,2.847B,0.00,118.00M,139.00M,21.00M,,2.847B,1.821B,139.00M,118.00M,21.00M,,21.00M,1.842B,241.00M,1.901B,,-55.00M,214.00M,1.846B,1.846B,1.96B,,1.96B,,0.95,,0.95,0.95,,0.90,,0.90,0.90,,1.569B,1.671B,,,AOR,Restated
2012-03,37.76B,37.76B,33.16B,4.601B,2.973B,-635.00M,110.00M,275.00M,165.00M,15.00M,2.988B,1.613B,275.00M,110.00M,165.00M,-635.00M,165.00M,1.143B,216.00M,1.35B,,-35.00M,311.00M,1.315B,1.83B,1.253B,,1.253B,,0.64,,0.9676,0.64,,0.60,,0.9044,0.60,,1.572B,1.692B,,,AOR,Restated
2011-12,37.99B,37.99B,33.40B,4.594B,3.253B,-828.00M,135.00M,-609.00M,-744.00M,,3.253B,1.341B,-609.00M,135.00M,-744.00M,2.76B,-744.00M,3.357B,-293.00M,747.00M,,-22.00M,-493.00M,725.00M,1.263B,3.492B,,3.492B,,0.27,,0.6124,0.27,,0.27,,0.5927,0.27,,1.572B,1.668B,,,AOR,Restated
2011-09,36.72B,36.72B,31.95B,4.773B,2.967B,-35.00M,101.00M,152.00M,51.00M,,2.967B,1.806B,152.00M,101.00M,51.00M,-35.00M,51.00M,1.822B,107.00M,2.092B,,15.00M,381.00M,2.107B,2.140B,1.923B,,1.923B,,1.10,0.00,1.121,1.10,,1.03,0.00,1.050,1.03,,1.562B,1.682B,,,AOR,Restated
2011-06,39.37B,39.37B,33.98B,5.394B,2.943B,-10.00M,155.00M,308.00M,153.00M,,2.943B,2.451B,308.00M,155.00M,153.00M,-10.00M,153.00M,2.594B,-61.00M,3.037B,,-45.00M,468.00M,2.992B,2.998B,2.749B,,2.749B,,1.68,0.00,1.684,1.68,,1.54,0.00,1.544,1.54,,1.505B,1.654B,,,AOR,Restated
2011-03,36.19B,36.19B,31.85B,4.344B,3.00B,-395.00M,149.00M,604.00M,455.00M,,3.00B,1.344B,604.00M,149.00M,455.00M,-395.00M,455.00M,1.404B,137.00M,3.411B,,-45.00M,215.00M,3.366B,3.722B,1.553B,,1.553B,,2.09,0.00,2.327,2.09,,1.77,0.00,1.966,1.77,,1.504B,1.817B,,,AOR,Restated
2010-12,36.88B,36.88B,33.17B,3.712B,3.314B,197.00M,248.00M,-269.00M,-517.00M,,3.432B,280.00M,-269.00M,248.00M,-517.00M,1.263B,-517.00M,1.026B,-173.00M,1.472B,,-66.00M,896.00M,1.406B,1.278B,1.274B,,1.274B,,0.3400,,0.2546,0.3400,,0.3400,,0.2546,0.3400,,1.500B,1.500B,,,AOR,Restated
2010-09,34.06B,34.06B,29.59B,4.473B,2.74B,0.00,263.00M,377.00M,114.00M,,2.74B,1.733B,377.00M,263.00M,114.00M,,114.00M,1.847B,-25.00M,2.223B,,-61.00M,203.00M,2.162B,2.162B,2.11B,,2.11B,,,,1.441,1.306,,,,1.441,1.306,,1.50B,1.50B,,,AOR,Restated
2010-06,33.17B,33.17B,28.61B,4.565B,2.662B,-91.00M,250.00M,0.00,-250.00M,,2.662B,1.903B,0.00,250.00M,-250.00M,-91.00M,-250.00M,1.562B,361.00M,1.612B,,-76.00M,202.00M,1.536B,1.606B,1.812B,,1.812B,,,,3.212,2.668,,,,3.077,2.556,,500.00M,522.00M,,,AOR,Restated
2010-03,31.48B,31.48B,27.55B,3.923B,2.73B,-1.00M,337.00M,447.00M,110.00M,,2.73B,1.193B,447.00M,337.00M,110.00M,-1.00M,110.00M,1.302B,509.00M,1.196B,,-128.00M,203.00M,1.068B,1.069B,1.639B,,1.639B,,,,0.6903,0.5588,,,,0.6759,0.5471,,1.548B,1.581B,,,AOR,Restated
2009-12,32.33B,32.33B,32.83B,-500.00M,4.62B,1.088B,329.00M,-14.00M,-343.00M,,3.425B,-3.925B,-14.00M,329.00M,-343.00M,1.088B,-343.00M,-4.369B,-861.00M,-3.215B,,-224.00M,81.00M,-3.439B,-4.313B,-4.04B,,-4.04B,,,,-2.786,-2.274,,,,-2.728,-2.274,,1.548B,1.581B,,,AOR,Restated
2009-09,26.78B,26.78B,25.37B,1.411B,3.364B,129.31B,1.188B,473.00M,-715.00M,41.00M,3.405B,-1.994B,473.00M,1.188B,-715.00M,129.31B,-715.00M,126.60B,-746.00M,127.57B,,-428.00M,,127.14B,43.09B,127.79B,,127.79B,,,,70.52,208.00,,,,70.52,208.00,,611.00M,611.00M,,,,
2009-06,23.05B,23.05B,29.38B,-6.337B,2.936B,-2.166B,3.375B,408.00M,-2.967B,,4.09B,-10.43B,408.00M,3.375B,-2.967B,-286.00M,-2.967B,-13.68B,-445.00M,-13.24B,,332.00M,,-12.90B,-10.81B,-10.30B,,-10.30B,,,,-17.69,-21.12,,,,-17.69,-21.12,,611.00M,611.00M,,,,
2009-03,22.43B,22.43B,24.61B,-2.18B,2.497B,-79.00M,1.23B,425.00M,-805.00M,,2.497B,-4.677B,425.00M,1.23B,-805.00M,-579.00M,-805.00M,-6.061B,-114.00M,-5.899B,,-76.00M,,-5.975B,-5.897B,-4.831B,,-4.831B,,-9.78,0.00,-9.653,-9.78,,-9.78,0.00,-9.653,-9.78,,611.00M,611.00M,,,AOR,
