,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2015-12,,15.24B,8.163B,23.40B,26.39B,26.39B,5.147B,,8.617B,13.76B,,,5.855B,69.41B,0.00,1.636B,5.562B,42.34B,9.576B,4.633B,63.75B,-12.35B,51.40B,1.371B,4.576B,5.947B,9.201B,18.50B,36.86B,3.021B,124.93B,194.34B,,24.06B,24.06B,25.37B,49.43B,19.56B,19.56B,,19.56B,2.227B,2.227B,,71.22B,43.55B,,43.55B,,2.007B,2.007B,8.917B,28.32B,452.00M,,,82.80B,154.02B,,15.00M,20.28B,27.61B,,-8.036B,39.87B,,AOR,Restated
2015-09,,15.43B,8.029B,23.46B,27.70B,27.70B,5.807B,,8.561B,14.37B,1.519B,9.208B,6.081B,82.34B,29.38B,,,16.92B,,,46.30B,,46.30B,,,6.083B,8.872B,17.67B,24.80B,2.938B,106.66B,189.00B,,25.19B,25.19B,30.55B,55.74B,17.00B,17.00B,,17.00B,,,,72.74B,40.40B,,40.40B,,,,,27.58B,497.00M,,13.15B,81.13B,153.86B,,16.00M,14.91B,27.74B,,-8.034B,34.64B,,AOR,Restated
2015-06,,17.63B,7.20B,24.83B,27.54B,27.54B,5.563B,,8.655B,14.22B,1.442B,9.289B,7.242B,84.55B,28.43B,,,12.90B,,,41.34B,,41.34B,,,6.181B,8.403B,17.28B,25.00B,3.064B,101.26B,185.81B,,24.25B,24.25B,30.88B,55.12B,14.40B,14.40B,,14.40B,,,,69.53B,39.11B,,39.11B,,,,,28.25B,524.00M,,13.25B,80.61B,150.14B,,16.00M,14.51B,28.16B,,-7.543B,35.15B,,AOR,Restated
2015-03,,15.78B,8.409B,24.18B,27.70B,27.70B,5.879B,,8.172B,14.05B,1.414B,9.704B,6.181B,83.23B,27.76B,,,8.939B,,,36.69B,,36.69B,,,6.297B,9.756B,16.18B,24.78B,2.978B,96.69B,179.92B,,25.19B,25.19B,27.80B,52.99B,14.35B,14.35B,,14.35B,,,,67.34B,33.91B,,33.91B,,,,,28.30B,494.00M,,13.55B,75.75B,143.10B,,16.00M,14.82B,28.82B,,-7.331B,36.33B,,AOR,Restated
2014-12,,18.95B,9.222B,28.18B,25.61B,25.61B,5.38B,,8.262B,13.64B,1.338B,9.76B,5.104B,83.63B,0.00,1.695B,5.236B,25.06B,7.977B,4.114B,44.08B,-9.275B,34.80B,1.427B,4.983B,6.41B,8.35B,16.01B,25.41B,2.892B,93.88B,177.50B,,22.53B,22.53B,26.56B,49.09B,14.94B,14.94B,,14.94B,1.622B,1.622B,,65.66B,31.72B,,31.72B,,1.556B,1.556B,10.22B,32.32B,567.00M,,,75.82B,141.48B,,16.00M,14.58B,28.94B,,-8.073B,35.46B,,AOR,Restated
2014-09,,18.06B,9.57B,27.63B,26.55B,26.55B,6.172B,,9.038B,15.21B,1.375B,9.978B,5.895B,86.64B,27.38B,,,5.796B,,,33.17B,,33.17B,1.559B,5.085B,6.644B,7.983B,15.60B,23.57B,3.292B,90.27B,176.91B,,24.77B,24.77B,29.17B,53.94B,13.39B,13.39B,,13.39B,,,,67.33B,27.72B,,27.72B,,,,,23.93B,561.00M,,14.37B,66.02B,133.34B,,3.125B,13.98B,28.83B,3.109B,-2.93B,43.00B,,AOR,Restated
2014-06,,19.86B,9.935B,29.80B,27.28B,27.28B,6.165B,,9.035B,15.20B,1.325B,11.50B,6.543B,91.64B,27.02B,,,4.748B,,,31.77B,,31.77B,1.573B,5.22B,6.793B,7.485B,15.43B,22.58B,3.394B,87.46B,179.10B,,26.99B,26.99B,29.55B,56.54B,15.80B,15.80B,,15.80B,,,,72.35B,24.27B,,24.27B,,,,,24.89B,591.00M,,15.00B,64.17B,136.51B,,3.125B,13.16B,28.84B,3.109B,-3.133B,41.99B,,AOR,Restated
2014-03,,19.43B,8.716B,28.14B,26.79B,26.79B,6.442B,,8.395B,14.84B,1.288B,10.59B,5.179B,86.82B,26.37B,,,3.726B,,,30.09B,,30.09B,1.563B,5.442B,7.005B,8.747B,14.87B,22.84B,3.23B,86.78B,173.61B,,27.72B,27.72B,26.66B,54.37B,14.85B,14.85B,,14.85B,,,,69.22B,22.92B,,22.92B,,,,,24.98B,618.00M,,13.64B,61.54B,130.77B,,3.125B,13.46B,28.78B,3.109B,-3.138B,42.22B,,AOR,Restated
2013-12,,20.02B,8.972B,28.99B,22.81B,22.81B,5.872B,,8.167B,14.04B,1.247B,10.35B,4.06B,81.50B,0.00,1.868B,4.971B,19.25B,7.949B,2.644B,36.68B,-7.429B,29.25B,1.56B,5.668B,7.228B,8.094B,14.35B,22.74B,3.181B,84.84B,166.34B,,23.62B,23.62B,23.36B,46.98B,14.16B,14.16B,,14.16B,1.276B,1.276B,,62.41B,22.02B,,22.02B,,1.249B,1.249B,9.696B,27.79B,567.00M,,,60.76B,123.17B,,3.124B,13.82B,28.78B,3.109B,-3.113B,42.61B,,AOR,Restated
2013-09,,20.36B,8.215B,28.57B,22.08B,22.08B,6.718B,,8.639B,15.36B,959.00M,9.868B,4.333B,81.16B,26.25B,,,3.10B,,,29.35B,,29.35B,1.953B,6.364B,8.317B,7.897B,12.22B,26.02B,3.572B,87.38B,168.54B,,27.24B,27.24B,23.88B,51.12B,11.44B,11.44B,,11.44B,,,,62.56B,20.68B,,20.68B,,,,,33.88B,583.00M,,14.05B,68.62B,131.18B,,7.978B,12.90B,23.88B,7.964B,-7.981B,36.78B,,AOR,Restated
