,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,8.39B,8.39B,4.227B,4.163B,1.80B,468.00M,506.00M,88.00M,16.00M,-72.00M,,2.268B,1.895B,16.00M,88.00M,-72.00M,527.00M,-72.00M,2.35B,488.00M,1.862B,,-5.00M,1.857B,1.456B,2.818B,380.00M,2.438B,,3.14,,2.462,3.14,,3.07,,2.407,3.07,,591.40M,604.20M,1.36,,AOR,Restated
2018-03,8.278B,8.278B,4.236B,4.042B,2.573B,486.00M,24.00M,82.00M,21.00M,-61.00M,,3.059B,983.00M,21.00M,82.00M,-61.00M,43.00M,-61.00M,965.00M,359.00M,606.00M,,-4.00M,602.00M,586.93M,1.429B,382.00M,1.047B,,1.01,,0.9847,1.01,,0.98,,0.9554,0.98,,596.20M,612.70M,1.36,,AOR,Restated
2017-12,7.99B,7.99B,4.094B,3.896B,1.755B,448.00M,96.00M,166.00M,17.00M,-149.00M,,2.203B,1.693B,17.00M,166.00M,-149.00M,128.00M,-149.00M,1.672B,1.147B,525.00M,,-2.00M,523.00M,465.40M,2.187B,349.00M,1.838B,,0.88,,0.7834,0.88,,0.85,,0.7561,0.85,,596.30M,613.30M,1.175,,AOR,Restated
2017-09,8.172B,8.172B,4.059B,4.113B,1.637B,468.00M,0.00,57.00M,13.00M,-44.00M,,2.105B,2.008B,13.00M,57.00M,-44.00M,33.00M,-44.00M,1.997B,564.00M,1.433B,,-4.00M,1.429B,1.429B,2.431B,377.00M,2.054B,,2.39,,2.39,2.39,,2.33,,2.33,2.33,,597.60M,612.70M,1.175,,AOR,Restated
2017-06,7.81B,7.81B,4.02B,3.79B,1.62B,478.00M,461.00M,54.00M,12.00M,-42.00M,,2.098B,1.692B,12.00M,54.00M,-42.00M,492.00M,-42.00M,2.142B,557.00M,1.585B,,-2.00M,1.583B,1.242B,2.576B,380.00M,2.196B,,2.65,,2.080,2.65,,2.58,,2.023,2.58,,598.10M,612.80M,1.175,,AOR,Restated
2017-03,7.685B,7.685B,3.882B,3.803B,1.614B,476.00M,29.00M,45.00M,8.00M,-37.00M,,2.09B,1.713B,8.00M,45.00M,-37.00M,61.00M,-37.00M,1.737B,411.00M,1.326B,,-3.00M,1.323B,1.301B,2.22B,438.00M,1.782B,,2.21,,2.173,2.21,,2.16,,2.124,2.16,,598.10M,612.00M,1.175,,AOR,Restated
2016-12,7.329B,7.329B,3.794B,3.535B,1.687B,450.00M,71.00M,64.00M,9.00M,-55.00M,,2.137B,1.398B,9.00M,64.00M,-55.00M,267.00M,-55.00M,1.61B,454.00M,1.156B,,-1.00M,1.155B,1.104B,2.058B,384.00M,1.674B,,1.93,,1.845,1.93,,1.88,,1.797,1.88,,600.20M,613.90M,1.11,,AOR,Restated
2016-09,7.709B,7.709B,3.847B,3.862B,1.531B,427.00M,0.00,50.00M,8.00M,-42.00M,,1.958B,1.904B,8.00M,50.00M,-42.00M,0.00,-42.00M,1.862B,531.00M,1.331B,,-2.00M,1.329B,1.329B,2.28B,368.00M,1.912B,,2.20,,2.20,2.20,,2.15,,2.15,2.15,,604.40M,618.80M,1.11,,AOR,Restated
2016-06,7.662B,7.662B,3.799B,3.863B,1.56B,437.00M,0.00,38.00M,7.00M,-31.00M,,1.997B,1.866B,7.00M,38.00M,-31.00M,0.00,-31.00M,1.835B,542.00M,1.293B,,-2.00M,1.291B,1.291B,2.239B,366.00M,1.873B,,2.13,,2.13,2.13,,2.08,,2.08,2.08,,606.90M,620.90M,1.11,,AOR,Restated
2016-03,7.409B,7.409B,3.678B,3.731B,1.493B,450.00M,,47.00M,5.00M,-42.00M,,1.943B,1.788B,5.00M,47.00M,-42.00M,,-42.00M,1.746B,468.00M,1.278B,,-3.00M,1.275B,1.275B,2.149B,356.00M,1.793B,,2.10,,2.10,2.10,,2.05,,2.05,2.05,,607.40M,621.30M,1.11,,AOR,Restated
2015-12,7.298B,7.298B,3.827B,3.471B,1.585B,433.00M,,45.00M,8.00M,-37.00M,,2.018B,1.453B,8.00M,45.00M,-37.00M,,-37.00M,1.463B,424.00M,1.039B,,-1.00M,1.038B,1.038B,1.905B,397.00M,1.508B,,1.69,,1.69,1.69,,1.66,,1.66,1.66,,614.20M,625.20M,1.025,,AOR,Restated
2015-09,7.712B,7.712B,3.877B,3.835B,1.53B,429.00M,,38.00M,7.00M,-31.00M,,1.959B,1.876B,7.00M,38.00M,-31.00M,,-31.00M,1.845B,547.00M,1.298B,,-2.00M,1.296B,1.296B,2.238B,355.00M,1.883B,,2.09,,2.09,2.09,,2.05,,2.05,2.05,,620.60M,631.20M,1.025,,AOR,Restated
2015-06,7.686B,7.686B,3.858B,3.828B,1.55B,438.00M,,35.00M,7.00M,-28.00M,,1.988B,1.84B,7.00M,35.00M,-28.00M,,-28.00M,1.812B,509.00M,1.303B,,-3.00M,1.30B,1.30B,2.191B,344.00M,1.847B,,2.06,,2.06,2.06,,2.02,,2.02,2.02,,631.30M,643.00M,1.025,,AOR,Restated
2015-03,7.578B,7.578B,3.821B,3.757B,1.564B,463.00M,,31.00M,4.00M,-27.00M,,2.027B,1.73B,4.00M,31.00M,-27.00M,,-27.00M,1.703B,502.00M,1.201B,,-2.00M,1.199B,1.199B,2.073B,339.00M,1.734B,,1.88,,1.88,1.88,,1.85,,1.85,1.85,,636.20M,649.20M,1.025,,AOR,Restated
2014-12,7.719B,7.719B,4.027B,3.692B,1.594B,436.00M,,32.00M,8.00M,-24.00M,,2.03B,1.662B,8.00M,32.00M,-24.00M,,-24.00M,1.638B,459.00M,1.179B,,0.00,1.179B,1.179B,2.02B,350.00M,1.67B,,1.85,,1.85,1.85,,1.81,,1.81,1.81,,638.10M,650.90M,0.855,,AOR,Restated
2014-09,8.137B,8.137B,4.205B,3.932B,1.597B,434.00M,,28.00M,7.00M,-21.00M,,2.031B,1.901B,7.00M,28.00M,-21.00M,,-21.00M,1.88B,569.00M,1.311B,,-8.00M,1.303B,1.303B,2.258B,350.00M,1.908B,,2.02,,2.02,2.02,,1.98,,1.98,1.98,,645.30M,657.90M,0.855,,AOR,Restated
2014-06,8.134B,8.134B,4.184B,3.95B,1.646B,448.00M,,45.00M,9.00M,-36.00M,,2.094B,1.856B,9.00M,45.00M,-36.00M,,-36.00M,1.82B,537.00M,1.283B,,-16.00M,1.267B,1.267B,2.223B,358.00M,1.865B,,1.94,,1.94,1.94,,1.91,,1.91,1.91,,652.00M,664.60M,0.855,,AOR,Restated
2014-03,7.831B,7.831B,4.031B,3.80B,1.632B,452.00M,,37.00M,9.00M,-28.00M,,2.084B,1.716B,9.00M,37.00M,-28.00M,,-28.00M,1.688B,463.00M,1.225B,,-18.00M,1.207B,1.207B,2.075B,350.00M,1.725B,,1.83,,1.83,1.83,,1.79,,1.79,1.79,,661.50M,674.50M,0.855,,AOR,Restated
2013-12,7.569B,7.569B,3.976B,3.593B,1.576B,438.00M,,32.00M,11.00M,-21.00M,,2.014B,1.579B,11.00M,32.00M,-21.00M,,-21.00M,1.558B,442.00M,1.116B,,-13.00M,1.103B,1.103B,1.947B,357.00M,1.59B,,1.65,,1.65,1.65,,1.62,,1.62,1.62,,668.40M,681.30M,0.635,,AOR,Restated
2013-09,7.916B,7.916B,4.148B,3.768B,1.609B,420.00M,,33.00M,10.00M,-23.00M,,2.029B,1.739B,10.00M,33.00M,-23.00M,,-23.00M,1.716B,471.00M,1.245B,,-15.00M,1.23B,1.23B,2.092B,343.00M,1.749B,,1.81,,1.81,1.81,,1.78,,1.78,1.78,,679.80M,691.80M,0.635,,AOR,Restated
2013-06,7.752B,7.752B,4.013B,3.739B,1.61B,427.00M,,41.00M,10.00M,-31.00M,,2.037B,1.702B,10.00M,41.00M,-31.00M,,-31.00M,1.671B,458.00M,1.213B,,-16.00M,1.197B,1.197B,2.047B,335.00M,1.712B,,1.74,,1.74,1.74,,1.71,,1.71,1.71,,688.20M,699.10M,0.635,,AOR,Restated
2013-03,7.634B,7.634B,3.969B,3.665B,1.589B,430.00M,,39.00M,10.00M,-29.00M,,2.019B,1.646B,10.00M,39.00M,-29.00M,,-29.00M,1.617B,470.00M,1.147B,,-18.00M,1.129B,1.129B,1.992B,336.00M,1.656B,,1.63,,1.63,1.63,,1.61,,1.61,1.61,,691.10M,702.10M,0.635,,AOR,Restated
2012-12,7.387B,7.387B,3.991B,3.396B,1.535B,418.00M,,44.00M,10.00M,-34.00M,,1.953B,1.443B,10.00M,44.00M,-34.00M,,-34.00M,1.409B,405.00M,1.004B,,-13.00M,991.00M,991.00M,1.785B,332.00M,1.453B,,1.43,,1.43,1.43,,1.41,,1.41,1.41,,691.50M,701.50M,0.59,,AOR,Restated
2012-09,7.497B,7.497B,3.935B,3.562B,1.487B,397.00M,,44.00M,10.00M,-34.00M,,1.884B,1.678B,10.00M,44.00M,-34.00M,,-34.00M,1.644B,464.00M,1.18B,,-19.00M,1.161B,1.161B,2.01B,322.00M,1.688B,,1.68,,1.68,1.68,,1.65,,1.65,1.65,,693.00M,703.10M,0.59,,AOR,Restated
2012-06,7.534B,7.534B,3.87B,3.664B,1.528B,408.00M,,43.00M,10.00M,-33.00M,,1.936B,1.728B,10.00M,43.00M,-33.00M,,-33.00M,1.695B,509.00M,1.186B,,-19.00M,1.167B,1.167B,2.059B,321.00M,1.738B,,1.68,,1.68,1.68,,1.66,,1.66,1.66,,694.30M,702.60M,0.59,,AOR,Restated
2012-03,7.486B,7.486B,3.889B,3.597B,1.552B,411.00M,,40.00M,9.00M,-31.00M,,1.963B,1.634B,9.00M,40.00M,-31.00M,,-31.00M,1.603B,462.00M,1.141B,,-16.00M,1.125B,1.125B,1.956B,313.00M,1.643B,,1.61,,1.61,1.61,,1.59,,1.59,1.59,,696.80M,706.10M,0.59,,AOR,Restated
2011-12,7.089B,7.089B,3.824B,3.265B,1.522B,379.00M,,45.00M,10.00M,-35.00M,,1.901B,1.364B,10.00M,45.00M,-35.00M,,-35.00M,1.329B,355.00M,974.00M,,-20.00M,954.00M,954.00M,1.691B,317.00M,1.374B,,1.37,,1.37,1.37,,1.35,,1.35,1.35,,701.30M,707.60M,0.55,,AOR,Restated
2011-09,7.531B,7.531B,4.027B,3.504B,1.534B,389.00M,,48.00M,10.00M,-38.00M,,1.923B,1.581B,10.00M,48.00M,-38.00M,,-38.00M,1.543B,440.00M,1.103B,,-15.00M,1.088B,1.088B,1.902B,311.00M,1.591B,,1.54,0.00,1.54,1.54,,1.52,0.00,1.52,1.52,,707.70M,715.50M,0.55,,AOR,Restated
2011-06,7.68B,7.68B,4.04B,3.64B,1.581B,404.00M,,50.00M,9.00M,-41.00M,,1.985B,1.655B,9.00M,50.00M,-41.00M,,-41.00M,1.614B,437.00M,1.177B,,-17.00M,1.16B,1.16B,1.983B,319.00M,1.664B,,1.63,0.00,1.63,1.63,,1.60,0.00,1.60,1.60,,713.40M,726.50M,0.55,,AOR,Restated
2011-03,7.311B,7.311B,3.802B,3.509B,1.533B,398.00M,,43.00M,10.00M,-33.00M,,1.931B,1.578B,10.00M,43.00M,-33.00M,,-33.00M,1.545B,442.00M,1.103B,,-22.00M,1.081B,1.081B,1.877B,289.00M,1.588B,,1.52,0.00,1.52,1.52,,1.49,0.00,1.49,1.49,,711.50M,726.40M,0.55,,AOR,Restated
2010-12,6.709B,6.709B,3.575B,3.134B,1.445B,388.00M,,50.00M,11.00M,-39.00M,,1.833B,1.301B,11.00M,50.00M,-39.00M,,-39.00M,1.262B,319.00M,943.00M,,-15.00M,928.00M,928.00M,1.595B,283.00M,1.312B,,1.30,,1.30,1.30,,1.27,,1.27,1.27,,714.60M,727.60M,0.525,,AOR,Restated
2010-09,6.874B,6.874B,3.583B,3.291B,1.361B,354.00M,,51.00M,11.00M,-40.00M,,1.715B,1.576B,11.00M,51.00M,-40.00M,,-40.00M,1.536B,411.00M,1.125B,,-19.00M,1.106B,1.106B,1.865B,278.00M,1.587B,,1.55,0.00,1.55,1.55,,1.53,0.00,1.53,1.53,,714.00M,725.20M,0.525,,AOR,
2010-06,6.731B,6.731B,3.435B,3.296B,1.35B,350.00M,,52.00M,10.00M,-42.00M,,1.70B,1.596B,10.00M,52.00M,-42.00M,,-42.00M,1.554B,414.00M,1.14B,,-19.00M,1.121B,1.121B,1.878B,272.00M,1.606B,,1.57,0.00,1.57,1.57,,1.54,0.00,1.54,1.54,,714.50M,725.70M,0.525,,AOR,
2010-03,6.348B,6.348B,3.238B,3.11B,1.323B,342.00M,,48.00M,6.00M,-42.00M,,1.665B,1.445B,6.00M,48.00M,-42.00M,,-42.00M,1.403B,448.00M,955.00M,,-25.00M,930.00M,930.00M,1.738B,287.00M,1.451B,,1.31,0.00,1.31,1.31,,1.29,0.00,1.29,1.29,,711.80M,723.50M,0.525,,AOR,Restated
2009-12,6.122B,6.122B,3.189B,2.933B,1.265B,326.00M,0.00,54.00M,11.00M,-43.00M,,1.591B,1.342B,11.00M,54.00M,-43.00M,,-43.00M,1.299B,348.00M,951.00M,,-16.00M,935.00M,935.00M,1.651B,298.00M,1.353B,,1.32,0.00,1.32,1.32,,1.31,0.00,1.31,1.31,,708.90M,719.90M,0.51,,AOR,Restated
2009-09,6.193B,6.193B,3.171B,3.022B,1.209B,335.00M,0.00,55.00M,8.00M,-47.00M,,1.544B,1.478B,8.00M,55.00M,-47.00M,,-47.00M,1.431B,460.00M,971.00M,,-14.00M,957.00M,957.00M,1.776B,290.00M,1.486B,,1.36,0.00,1.36,1.36,,1.35,0.00,1.35,1.35,,702.80M,710.80M,0.51,,AOR,Restated
2009-06,5.719B,5.719B,2.977B,2.742B,1.242B,309.00M,0.00,55.00M,7.00M,-48.00M,,1.551B,1.191B,7.00M,55.00M,-48.00M,,-48.00M,1.143B,351.00M,792.00M,,-9.00M,783.00M,783.00M,1.496B,298.00M,1.198B,,1.12,0.00,1.12,1.12,,1.12,0.00,1.12,1.12,,696.80M,700.30M,0.51,,AOR,Restated
2009-03,5.089B,5.089B,2.772B,2.317B,1.191B,323.00M,,55.00M,11.00M,-44.00M,,1.514B,803.00M,11.00M,55.00M,-44.00M,,-44.00M,759.00M,229.00M,530.00M,,-12.00M,518.00M,518.00M,1.085B,271.00M,814.00M,,0.75,0.00,0.75,0.75,,0.74,0.00,0.74,0.74,,693.50M,695.90M,0.51,,AOR,Restated
2008-12,5.509B,5.509B,3.101B,2.408B,1.307B,346.00M,0.00,,,,,1.653B,755.00M,,,,0.00,,727.00M,186.00M,596.00M,,-5.00M,536.00M,536.00M,1.144B,307.00M,837.00M,,0.78,0.00,0.78,0.78,,0.78,0.00,0.78,0.78,,692.90M,696.70M,0.50,,AOR,Restated
2008-09,6.558B,6.558B,3.432B,3.126B,1.269B,344.00M,,,,,,1.613B,1.513B,,,,,,1.489B,479.00M,991.00M,,-19.00M,991.00M,991.00M,1.806B,293.00M,1.513B,,1.43,0.00,1.43,1.43,,1.41,0.00,1.41,1.41,,695.50M,703.10M,0.50,,,
2008-06,6.739B,6.739B,3.51B,3.229B,1.394B,363.00M,23.00M,51.00M,18.00M,-33.00M,,1.757B,1.472B,18.00M,51.00M,-33.00M,23.00M,-33.00M,1.416B,453.00M,963.00M,,-18.00M,945.00M,929.36M,1.752B,285.00M,1.467B,,1.35,0.00,1.328,1.35,,1.33,0.00,1.308,1.33,,702.10M,712.00M,0.50,,,Restated
2008-03,6.463B,6.463B,3.336B,3.127B,1.275B,351.00M,,55.00M,30.00M,-25.00M,,1.626B,1.501B,30.00M,55.00M,-25.00M,,-25.00M,1.476B,470.00M,1.006B,,-18.00M,988.00M,988.00M,1.799B,268.00M,1.531B,,1.40,0.00,1.40,1.40,,1.38,0.00,1.38,1.38,,706.50M,717.20M,0.50,,,Restated
2007-12,6.206B,6.206B,3.298B,2.908B,1.274B,359.00M,-5.00M,,,,,1.633B,1.275B,,,,-5.00M,,1.237B,378.00M,906.00M,,-8.00M,851.00M,854.47M,2.532B,276.00M,2.256B,,1.20,0.00,1.205,1.20,,1.18,0.00,1.185,1.18,,711.10M,725.10M,0.48,,AOR,Restated
2007-09,6.177B,6.177B,3.24B,2.937B,1.174B,338.00M,,,,,,1.512B,1.425B,,,,,,1.409B,433.00M,960.00M,,-16.00M,960.00M,960.00M,1.688B,263.00M,1.425B,,1.34,0.00,1.34,1.34,,1.32,0.00,1.32,1.32,,714.50M,729.90M,0.48,,,
2007-06,6.142B,6.142B,3.175B,2.967B,1.286B,352.00M,68.00M,,,,,1.638B,1.329B,,,,68.00M,,1.378B,445.00M,917.00M,,-16.00M,917.00M,870.96M,1.608B,279.00M,1.329B,,1.28,0.00,1.216,1.28,,1.25,0.00,1.187,1.25,,718.40M,731.70M,0.48,,,
2007-03,5.937B,5.937B,3.022B,2.915B,1.281B,319.00M,786.00M,,,,,1.60B,1.315B,,,,786.00M,,2.091B,708.00M,1.368B,,-15.00M,1.368B,848.13M,1.569B,254.00M,1.315B,,1.88,0.00,1.167,1.88,,1.85,0.00,1.149,1.85,,729.30M,741.30M,0.48,,,
2006-12,5.782B,5.782B,3.162B,2.62B,1.375B,509.00M,,,,,,1.884B,736.00M,,,,,,1.788B,596.00M,1.227B,,-16.00M,1.176B,1.176B,2.212B,351.00M,1.861B,,1.59,0.00,1.59,1.59,,1.56,0.00,1.56,1.56,,735.20M,748.70M,0.46,,AOR,Restated
2006-09,5.858B,5.858B,2.99B,2.868B,1.186B,340.00M,,,,,,1.526B,1.342B,,,,,,1.318B,412.00M,894.00M,,-12.00M,894.00M,894.00M,1.591B,249.00M,1.342B,,1.20,0.00,1.20,1.20,,1.18,0.00,1.18,1.18,,745.20M,756.20M,0.46,,,
2006-06,5.688B,5.688B,2.84B,2.848B,1.322B,351.00M,,,,,,1.673B,1.175B,,,,,,1.164B,272.00M,882.00M,,-10.00M,882.00M,882.00M,1.408B,233.00M,1.175B,,1.17,0.00,1.17,1.17,,1.15,0.00,1.15,1.15,,755.10M,770.40M,0.46,,,
2006-03,5.595B,5.595B,2.721B,2.874B,1.183B,322.00M,,,,,,1.505B,1.369B,,,,,,1.355B,443.00M,899.00M,,-13.00M,899.00M,899.00M,1.615B,246.00M,1.369B,,1.19,0.00,1.19,1.19,,1.17,0.00,1.17,1.17,,754.40M,768.60M,0.46,,,
2005-12,5.325B,5.325B,2.622B,2.703B,1.191B,322.00M,,,,,,1.513B,1.19B,,,,,,1.178B,382.00M,836.00M,,-15.00M,746.00M,781.00M,1.498B,252.00M,1.246B,,0.99,0.00,0.99,0.99,,0.97,0.00,0.97,0.97,,757.70M,771.70M,0.42,,AOR,Restated
2005-09,5.382B,5.382B,2.635B,2.747B,1.166B,314.00M,,,,,,1.48B,1.267B,,,,,,1.26B,407.00M,840.00M,,-13.00M,840.00M,840.00M,1.522B,255.00M,1.267B,,1.10,0.00,1.10,1.10,,1.08,0.00,1.08,1.08,,762.20M,777.10M,0.42,,,
2005-06,5.294B,5.294B,2.602B,2.692B,1.13B,318.00M,,,,,,1.448B,1.244B,,,,,,1.241B,475.00M,754.00M,,-12.00M,754.00M,754.00M,1.481B,237.00M,1.244B,,0.98,0.00,0.98,0.98,,0.96,0.00,0.96,0.96,,768.00M,785.00M,0.42,,,
2005-03,5.166B,5.166B,2.549B,2.617B,1.144B,320.00M,,,,,,1.464B,1.153B,,,,,,1.149B,363.00M,771.00M,,-15.00M,771.00M,771.00M,1.395B,242.00M,1.153B,,1.00,0.00,1.00,1.00,,0.97,0.00,0.97,0.97,,771.70M,791.40M,0.42,,,
2004-12,5.091B,5.091B,2.657B,2.434B,1.202B,392.00M,,,,,,1.594B,840.00M,,,,,,837.00M,256.00M,633.00M,,-10.00M,571.00M,571.00M,1.145B,259.00M,886.00M,,0.74,0.00,0.74,0.74,,0.72,0.00,0.72,0.72,,776.00M,793.70M,0.36,,AOR,Restated
2004-09,4.969B,4.969B,2.457B,2.512B,1.047B,282.00M,,,,,,1.329B,1.183B,,,,,,1.178B,389.00M,775.00M,,-14.00M,775.00M,775.00M,1.426B,243.00M,1.183B,,0.99,0.00,0.99,0.99,,0.97,0.00,0.97,0.97,,780.60M,796.20M,0.36,,,
2004-06,5.012B,5.012B,2.452B,2.56B,1.084B,290.00M,,,,,,1.374B,1.186B,,,,,,1.18B,389.00M,773.00M,,-18.00M,773.00M,773.00M,1.431B,245.00M,1.186B,,0.99,0.00,0.99,0.99,,0.97,0.00,0.97,0.97,,782.50M,799.70M,0.36,,,
2004-03,4.939B,4.939B,2.436B,2.503B,1.104B,282.00M,,,,,,1.386B,1.117B,,,,,,1.108B,366.00M,722.00M,,-20.00M,722.00M,722.00M,1.369B,252.00M,1.117B,,0.92,0.00,0.92,0.92,,0.90,0.00,0.90,0.90,,782.90M,799.50M,0.36,,,
2003-12,4.718B,4.718B,2.429B,2.289B,1.016B,331.00M,0.00,,,,,1.254B,1.035B,,,,0.00,,938.00M,305.00M,671.00M,,-14.00M,619.00M,619.00M,1.217B,247.00M,970.00M,,0.79,0.00,0.79,0.79,,0.77,0.00,0.77,0.77,,784.60M,801.00M,0.33,,AOR,Restated
2003-09,4.616B,4.616B,2.322B,2.294B,994.00M,270.00M,,,,,,1.264B,1.03B,,,,,,1.014B,339.00M,663.00M,,-12.00M,663.00M,663.00M,1.272B,242.00M,1.03B,,0.85,0.00,0.85,0.85,,0.83,0.00,0.83,0.83,,784.60M,797.50M,0.33,,,
2003-06,4.58B,4.58B,2.323B,2.257B,1.021B,276.00M,,,,,,1.297B,960.00M,,,,,,941.00M,310.00M,619.00M,,-12.00M,619.00M,619.00M,1.201B,241.00M,960.00M,,0.79,0.00,0.79,0.79,,0.78,0.00,0.78,0.78,,781.80M,792.40M,0.33,,,
2003-03,4.318B,4.318B,2.211B,2.107B,963.00M,270.00M,-93.00M,,,,93.00M,1.326B,781.00M,,,,-93.00M,,764.00M,248.00M,502.00M,,-14.00M,502.00M,564.81M,1.015B,234.00M,781.00M,,0.645,0.00,0.7255,0.645,,0.635,0.00,0.7144,0.635,,780.00M,790.60M,0.33,,,
