,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,SECFilingLinks,AsOriginallyReported,Restated
2018-03,652.00M,0.00,-1.00M,-3.00M,-4.00M,67.00M,48.00M,115.00M,115.00M,-5.00M,9.00M,4.00M,-192.00M,-68.00M,-29.00M,-35.00M,,,90.00M,-234.00M,,,2018-03,-94.00M,2.00M,-92.00M,0.00,5.00M,-2.00M,-89.00M,2018-03,0.00,-840.00M,-840.00M,10.00M,-500.00M,-490.00M,-266.00M,-266.00M,-12.00M,-1.608B,,3.094B,-1.159B,5.00M,1.94B,2018-03,10.00M,,0.00,-500.00M,113.00M,65.00M,2018-03,AOR,Restated
2017-12,-76.00M,-1.00M,-1.00M,-3.00M,-5.00M,68.00M,50.00M,118.00M,118.00M,9.00M,9.00M,4.00M,59.00M,12.00M,-24.00M,12.00M,,,577.00M,636.00M,,,2017-12,-78.00M,6.00M,-72.00M,0.00,18.00M,-3.00M,-57.00M,2017-12,0.00,152.00M,152.00M,26.00M,-250.00M,-224.00M,-267.00M,-267.00M,-1.00M,-340.00M,,2.785B,298.00M,11.00M,3.094B,2017-12,26.00M,,0.00,-250.00M,286.00M,32.00M,2017-12,AOR,Restated
2017-09,640.00M,0.00,-1.00M,-2.00M,-3.00M,65.00M,51.00M,116.00M,116.00M,32.00M,8.00M,2.00M,-11.00M,-11.00M,15.00M,53.00M,,,-62.00M,-16.00M,,,2017-09,-78.00M,5.00M,-73.00M,0.00,7.00M,-6.00M,-72.00M,2017-09,0.00,6.00M,6.00M,13.00M,-250.00M,-237.00M,-224.00M,-224.00M,0.00,-455.00M,,2.496B,253.00M,36.00M,2.785B,2017-09,13.00M,,0.00,-250.00M,296.00M,62.00M,2017-09,AOR,Restated
2017-06,587.00M,,1.00M,-9.00M,-8.00M,62.00M,52.00M,114.00M,114.00M,3.00M,10.00M,3.00M,-38.00M,-15.00M,-89.00M,-7.00M,,,-97.00M,-246.00M,,,2017-06,-77.00M,0.00,-77.00M,2.00M,11.00M,-1.00M,-65.00M,2017-06,0.00,20.00M,20.00M,27.00M,-250.00M,-223.00M,-224.00M,-224.00M,-2.00M,-429.00M,,2.493B,-30.00M,33.00M,2.496B,2017-06,27.00M,,0.00,-250.00M,324.00M,81.00M,2017-06,AOR,Restated
2017-03,536.00M,,0.00,-2.00M,-2.00M,61.00M,53.00M,114.00M,114.00M,20.00M,9.00M,1.00M,-148.00M,-67.00M,-23.00M,-61.00M,,,83.00M,-216.00M,,,2017-03,-64.00M,3.00M,-61.00M,-3.00M,7.00M,,-57.00M,2017-03,-652.00M,671.00M,19.00M,18.00M,-250.00M,-232.00M,-226.00M,-226.00M,-11.00M,-450.00M,,2.472B,-44.00M,65.00M,2.493B,2017-03,18.00M,,-652.00M,-250.00M,112.00M,65.00M,2017-03,AOR,Restated
2016-12,507.00M,6.00M,-1.00M,-36.00M,-31.00M,64.00M,54.00M,118.00M,118.00M,-35.00M,8.00M,9.00M,66.00M,56.00M,-33.00M,22.00M,,,-23.00M,88.00M,,,2016-12,-71.00M,5.00M,-66.00M,5.00M,4.00M,-5.00M,105.00M,2016-12,991.00M,-714.00M,277.00M,10.00M,-518.00M,-508.00M,-228.00M,-228.00M,3.00M,-456.00M,,2.299B,313.00M,-140.00M,2.472B,2016-12,10.00M,991.00M,0.00,-518.00M,272.00M,14.00M,2016-12,AOR,Restated
2016-09,535.00M,0.00,1.00M,-2.00M,-1.00M,64.00M,56.00M,120.00M,120.00M,-25.00M,11.00M,-5.00M,12.00M,7.00M,28.00M,-53.00M,,,-6.00M,-12.00M,,,2016-09,-81.00M,7.00M,-74.00M,-455.00M,7.00M,0.00,-522.00M,2016-09,0.00,499.00M,499.00M,17.00M,-482.00M,-465.00M,-195.00M,-195.00M,6.00M,-155.00M,,2.355B,-53.00M,-3.00M,2.299B,2016-09,17.00M,0.00,0.00,-482.00M,254.00M,65.00M,2016-09,AOR,Restated
2016-06,525.00M,6.00M,0.00,-1.00M,5.00M,60.00M,55.00M,115.00M,115.00M,10.00M,11.00M,-3.00M,-55.00M,-25.00M,-37.00M,90.00M,,,-104.00M,-131.00M,,,2016-06,-64.00M,2.00M,-62.00M,1.00M,4.00M,-8.00M,-65.00M,2016-06,0.00,214.00M,214.00M,18.00M,-520.00M,-502.00M,-198.00M,-198.00M,5.00M,-481.00M,,2.448B,-11.00M,-82.00M,2.355B,2016-06,18.00M,1.00M,-1.00M,-520.00M,324.00M,68.00M,2016-06,AOR,Restated
2016-03,468.00M,,1.00M,-2.00M,-1.00M,58.00M,59.00M,117.00M,117.00M,-213.00M,9.00M,4.00M,-155.00M,-29.00M,-21.00M,-22.00M,,,319.00M,92.00M,,,2016-03,-57.00M,2.00M,-55.00M,-1.00M,6.00M,,-50.00M,2016-03,0.00,-525.00M,-525.00M,39.00M,-480.00M,-441.00M,-200.00M,-200.00M,3.00M,-1.163B,,3.09B,-734.00M,92.00M,2.448B,2016-03,39.00M,,0.00,-480.00M,70.00M,65.00M,2016-03,AOR,Restated
2015-12,450.00M,0.00,0.00,-3.00M,-3.00M,64.00M,57.00M,121.00M,121.00M,24.00M,8.00M,5.00M,115.00M,57.00M,2.00M,-11.00M,,,-66.00M,97.00M,,,2015-12,-75.00M,11.00M,-64.00M,0.00,5.00M,2.00M,-57.00M,2015-12,0.00,-284.00M,-284.00M,11.00M,0.00,11.00M,-200.00M,-200.00M,1.00M,-472.00M,,3.001B,174.00M,-85.00M,3.09B,2015-12,11.00M,1.00M,-1.00M,0.00,190.00M,22.00M,2015-12,AOR,Restated
2015-09,511.00M,0.00,2.00M,-4.00M,-2.00M,61.00M,59.00M,120.00M,120.00M,-28.00M,9.00M,0.00,32.00M,16.00M,-2.00M,1.00M,,,47.00M,94.00M,,,2015-09,-62.00M,7.00M,-55.00M,0.00,14.00M,49.00M,8.00M,2015-09,-1.00M,-6.00M,-7.00M,1.00M,-216.00M,-215.00M,-177.00M,-177.00M,4.00M,-395.00M,,2.858B,319.00M,-176.00M,3.001B,2015-09,1.00M,0.00,-1.00M,-216.00M,195.00M,65.00M,2015-09,AOR,Restated
2015-06,480.00M,0.00,-1.00M,2.00M,1.00M,60.00M,58.00M,118.00M,118.00M,-18.00M,10.00M,-8.00M,-16.00M,10.00M,7.00M,-7.00M,,,-131.00M,-137.00M,,,2015-06,-64.00M,4.00M,-60.00M,-3.00M,2.00M,-42.00M,-103.00M,2015-06,1.098B,-889.00M,209.00M,16.00M,-307.00M,-291.00M,-179.00M,-179.00M,-1.00M,-262.00M,,2.672B,83.00M,103.00M,2.858B,2015-06,16.00M,1.098B,0.00,-307.00M,348.00M,48.00M,2015-06,AOR,Restated
2015-03,458.00M,-16.00M,0.00,1.00M,-15.00M,59.00M,59.00M,118.00M,118.00M,11.00M,14.00M,15.00M,-173.00M,-58.00M,17.00M,-69.00M,,,122.00M,-161.00M,,,2015-03,-83.00M,8.00M,-75.00M,26.00M,1.00M,-10.00M,-58.00M,2015-03,,233.00M,233.00M,31.00M,-1.479B,-1.448B,-186.00M,-186.00M,4.00M,-1.397B,,3.99B,-1.013B,-305.00M,2.672B,2015-03,31.00M,,,-1.479B,42.00M,65.00M,2015-03,AOR,Restated
2014-12,451.00M,-1.00M,0.00,-1.00M,-2.00M,60.00M,60.00M,120.00M,120.00M,46.00M,9.00M,3.00M,169.00M,52.00M,-55.00M,-105.00M,,,-230.00M,-169.00M,,,2014-12,-89.00M,7.00M,-82.00M,3.00M,5.00M,-32.00M,-106.00M,2014-12,-950.00M,933.00M,-17.00M,55.00M,-830.00M,-775.00M,-190.00M,-190.00M,10.00M,-972.00M,,4.82B,-620.00M,-210.00M,3.99B,2014-12,55.00M,0.00,-950.00M,-830.00M,409.00M,70.00M,2014-12,AOR,Restated
2014-09,521.00M,2.00M,2.00M,-1.00M,3.00M,65.00M,63.00M,128.00M,128.00M,-42.00M,9.00M,4.00M,-7.00M,-7.00M,28.00M,113.00M,,,-481.00M,-354.00M,,,2014-09,-126.00M,6.00M,-120.00M,-33.00M,12.00M,1.00M,-126.00M,2014-09,0.00,508.00M,508.00M,12.00M,-611.00M,-599.00M,-166.00M,-166.00M,2.00M,-255.00M,,5.297B,-110.00M,-367.00M,4.82B,2014-09,12.00M,0.00,0.00,-611.00M,750.00M,73.00M,2014-09,AOR,Restated
2014-06,-217.00M,4.00M,0.00,-6.00M,-2.00M,69.00M,60.00M,129.00M,129.00M,39.00M,12.00M,-4.00M,-35.00M,-6.00M,-32.00M,20.00M,,,666.00M,613.00M,,,2014-06,-78.00M,8.00M,-70.00M,5.00M,10.00M,18.00M,3.14B,2014-06,540.00M,-958.00M,-418.00M,54.00M,-1.465B,-1.411B,-174.00M,-174.00M,8.00M,-1.995B,,3.547B,1.718B,32.00M,5.297B,2014-06,54.00M,1.341B,-801.00M,-1.465B,229.00M,47.00M,2014-06,AOR,Restated
2014-03,473.00M,1.00M,,,1.00M,68.00M,62.00M,130.00M,130.00M,12.00M,9.00M,8.00M,-197.00M,-49.00M,-39.00M,-43.00M,,,7.00M,-321.00M,,,2014-03,-68.00M,7.00M,-61.00M,-2.00M,1.00M,-4.00M,-66.00M,2014-03,1.988B,-722.00M,1.266B,27.00M,-1.44B,-1.413B,-181.00M,-181.00M,-1.00M,-329.00M,,3.618B,-81.00M,10.00M,3.547B,2014-03,27.00M,1.988B,,-1.44B,114.00M,46.00M,2014-03,AOR,Restated
2013-12,407.00M,0.00,1.00M,-2.00M,-1.00M,70.00M,64.00M,134.00M,134.00M,-96.00M,11.00M,12.00M,132.00M,60.00M,158.00M,48.00M,,,-155.00M,243.00M,,,2013-12,-111.00M,15.00M,-96.00M,-2.00M,22.00M,-1.00M,-59.00M,2013-12,-3.00M,1.199B,1.196B,20.00M,-1.072B,-1.052B,-186.00M,-186.00M,4.00M,-38.00M,,3.018B,611.00M,-11.00M,3.618B,2013-12,20.00M,2.00M,-5.00M,-1.072B,206.00M,100.00M,2013-12,AOR,Restated
2013-09,468.00M,-1.00M,-1.00M,-5.00M,-7.00M,75.00M,72.00M,147.00M,147.00M,53.00M,8.00M,4.00M,100.00M,-3.00M,63.00M,16.00M,,,-38.00M,138.00M,,,2013-09,-79.00M,12.00M,-67.00M,-289.00M,4.00M,2.00M,-221.00M,2013-09,0.00,26.00M,26.00M,58.00M,-357.00M,-299.00M,-171.00M,-171.00M,6.00M,-438.00M,,2.768B,152.00M,98.00M,3.018B,2013-09,58.00M,0.00,0.00,-357.00M,164.00M,45.00M,2013-09,AOR,Restated
2013-06,476.00M,2.00M,1.00M,0.00,3.00M,78.00M,66.00M,144.00M,144.00M,45.00M,9.00M,1.00M,-140.00M,5.00M,36.00M,143.00M,,,-80.00M,-36.00M,,,2013-06,-89.00M,7.00M,-82.00M,-20.00M,1.00M,-3.00M,-42.00M,2013-06,0.00,46.00M,46.00M,92.00M,-333.00M,-241.00M,-171.00M,-171.00M,7.00M,-359.00M,,2.662B,242.00M,-136.00M,2.768B,2013-06,92.00M,1.00M,-1.00M,-333.00M,125.00M,46.00M,2013-06,AOR,Restated
2013-03,419.00M,4.00M,-2.00M,-5.00M,-3.00M,76.00M,112.00M,188.00M,188.00M,4.00M,9.00M,-27.00M,-175.00M,-38.00M,-31.00M,-38.00M,,,54.00M,-228.00M,,,2013-03,-89.00M,4.00M,-85.00M,-56.00M,13.00M,-3.00M,-134.00M,2013-03,0.00,-4.00M,-4.00M,36.00M,-344.00M,-308.00M,0.00,0.00,7.00M,-305.00M,,2.779B,-73.00M,-44.00M,2.662B,2013-03,36.00M,0.00,,-344.00M,107.00M,49.00M,2013-03,AOR,Restated
2012-12,976.00M,-933.00M,-2.00M,0.00,-935.00M,81.00M,71.00M,152.00M,152.00M,284.00M,18.00M,27.00M,196.00M,89.00M,5.00M,-96.00M,,,-110.00M,84.00M,,,2012-12,-108.00M,10.00M,-98.00M,947.00M,80.00M,2.00M,956.00M,2012-12,-7.00M,38.00M,31.00M,68.00M,-624.00M,-556.00M,-350.00M,-350.00M,3.00M,-872.00M,,2.054B,689.00M,36.00M,2.779B,2012-12,68.00M,0.00,-7.00M,-624.00M,311.00M,99.00M,2012-12,AOR,Restated
2012-09,482.00M,3.00M,-1.00M,-2.00M,0.00,80.00M,72.00M,152.00M,152.00M,-29.00M,12.00M,-1.00M,130.00M,39.00M,-38.00M,-51.00M,,,-63.00M,17.00M,,,2012-09,-90.00M,10.00M,-80.00M,-58.00M,55.00M,-1.00M,80.00M,2012-09,1.074B,-1.016B,58.00M,102.00M,-396.00M,-294.00M,-169.00M,-169.00M,11.00M,-394.00M,,1.692B,321.00M,41.00M,2.054B,2012-09,102.00M,1.079B,-5.00M,-396.00M,341.00M,26.00M,2012-09,AOR,Restated
2012-06,427.00M,0.00,-1.00M,-6.00M,-7.00M,81.00M,75.00M,156.00M,156.00M,-32.00M,12.00M,-17.00M,-96.00M,-3.00M,2.00M,59.00M,,,1.00M,-37.00M,,,2012-06,-100.00M,5.00M,-95.00M,-106.00M,23.00M,0.00,448.00M,2012-06,-1.00M,192.00M,191.00M,42.00M,-557.00M,-515.00M,-172.00M,-172.00M,1.00M,-495.00M,,1.304B,462.00M,-74.00M,1.692B,2012-06,42.00M,0.00,-1.00M,-557.00M,330.00M,49.00M,2012-06,AOR,Restated
2012-03,486.00M,-1.00M,0.00,-3.00M,-4.00M,81.00M,72.00M,153.00M,153.00M,20.00M,12.00M,14.00M,-243.00M,-43.00M,-44.00M,-20.00M,,,-11.00M,-361.00M,,,2012-03,-84.00M,5.00M,-79.00M,-478.00M,123.00M,-3.00M,-437.00M,2012-03,-259.00M,994.00M,735.00M,71.00M,-443.00M,-372.00M,-174.00M,-174.00M,1.00M,190.00M,,1.178B,76.00M,50.00M,1.304B,2012-03,71.00M,,-259.00M,-443.00M,152.00M,37.00M,2012-03,AOR,Restated
2011-12,,0.00,1.00M,1.00M,2.00M,83.00M,70.00M,153.00M,153.00M,-132.00M,14.00M,-1.63B,164.00M,78.00M,-39.00M,206.00M,,,-179.00M,230.00M,,,2011-12,-94.00M,3.00M,-91.00M,-89.00M,16.00M,-6.00M,-170.00M,2011-12,-1.00M,-542.00M,-543.00M,13.00M,0.00,13.00M,,-174.00M,0.00,-704.00M,,1.319B,-162.00M,21.00M,1.178B,2011-12,13.00M,1.00M,-2.00M,0.00,203.00M,100.00M,2011-12,AOR,Restated
2011-09,,0.00,-3.00M,-4.00M,-7.00M,86.00M,68.00M,154.00M,154.00M,8.00M,14.00M,505.00M,59.00M,65.00M,9.00M,-33.00M,,,13.00M,113.00M,,,2011-09,-83.00M,9.00M,-74.00M,-450.00M,9.00M,3.00M,-512.00M,2011-09,984.00M,-406.00M,578.00M,9.00M,-400.00M,-391.00M,,-167.00M,1.00M,21.00M,,1.231B,296.00M,-208.00M,1.319B,2011-09,9.00M,989.00M,-5.00M,-400.00M,209.00M,9.00M,2011-09,AOR,Restated
2011-06,,-2.00M,0.00,-11.00M,-13.00M,84.00M,64.00M,148.00M,148.00M,24.00M,14.00M,497.00M,-205.00M,-112.00M,70.00M,-114.00M,,,0.00,-361.00M,,,2011-06,-87.00M,3.00M,-84.00M,-204.00M,3.00M,1.00M,-284.00M,2011-06,-1.00M,696.00M,695.00M,50.00M,-550.00M,-500.00M,,-170.00M,2.00M,27.00M,,1.084B,55.00M,92.00M,1.231B,2011-06,50.00M,,-1.00M,-550.00M,348.00M,56.00M,2011-06,AOR,Restated
2011-03,,0.00,,-3.00M,-3.00M,83.00M,56.00M,139.00M,139.00M,-76.00M,14.00M,622.00M,-321.00M,-82.00M,-90.00M,-62.00M,,,2.00M,-553.00M,,,2011-03,-89.00M,2.00M,-87.00M,-543.00M,9.00M,8.00M,-613.00M,2011-03,-1.00M,419.00M,418.00M,81.00M,0.00,81.00M,,-169.00M,5.00M,335.00M,,1.186B,-133.00M,31.00M,1.084B,2011-03,81.00M,,-1.00M,0.00,218.00M,3.00M,2011-03,AOR,Restated
2010-12,1.482B,25.76M,0.283M,-7.594M,18.45M,85.54M,54.24M,139.78M,139.78M,-124.93M,13.68M,-1.168B,189.01M,-9.653M,13.96M,-41.67M,,,-149.02M,2.63M,,,2010-12,-88.38M,4.706M,-83.68M,-194.67M,-4.989M,-1.726M,-285.06M,2010-12,26.24M,-556.04M,-529.80M,56.34M,0.00,56.34M,,-168.42M,4.535M,-637.35M,,1.725B,-566.55M,27.38M,1.186B,2010-12,56.34M,-400.96M,28.16M,0.00,350.74M,110.42M,2010-12,AOR,Restated
2010-09,-745.26M,-16.15M,-1.989M,-3.174M,-21.32M,82.94M,53.52M,136.46M,136.46M,-3.898M,14.92M,1.166B,34.12M,-38.85M,-69.65M,50.92M,,,-0.568M,-24.03M,,,2010-09,-76.33M,4.522M,-71.81M,-23.90M,7.819M,2.111M,-85.79M,2010-09,-36.27M,303.38M,267.11M,15.81M,-350.00M,-334.19M,,-156.09M,1.154M,-222.02M,,1.341B,216.17M,167.86M,1.725B,2010-09,15.81M,304.81M,-37.70M,-350.00M,231.08M,0.121M,2010-09,AOR,Restated
2010-06,411.46M,-0.504M,0.157M,-7.102M,-7.449M,83.13M,53.30M,136.43M,136.43M,-20.74M,14.98M,0.839M,-211.08M,-63.78M,54.65M,12.77M,,,-0.512M,-207.94M,,,2010-06,-64.10M,3.481M,-60.62M,-188.34M,2.744M,13.35M,-232.86M,2010-06,-22.49M,-18.75M,-41.24M,37.71M,0.00,37.71M,,-155.77M,2.123M,-157.17M,,1.502B,-56.69M,-103.54M,1.341B,2010-06,37.71M,-17.79M,-23.44M,0.00,229.31M,58.19M,2010-06,AOR,Restated
2010-03,333.80M,-1.107M,0.549M,-3.13M,-3.688M,83.40M,52.93M,136.33M,136.33M,6.568M,12.42M,-0.175M,-182.06M,-110.71M,-37.96M,114.98M,,,1.098M,-214.66M,,,2010-03,-59.18M,5.291M,-53.89M,-27.09M,5.426M,7.265M,-68.29M,2010-03,-0.483M,114.41M,113.93M,5.141M,,5.141M,,-155.72M,0.188M,-36.47M,,1.346B,170.07M,-14.70M,1.502B,2010-03,5.141M,114.94M,-1.014M,,148.87M,6.261M,2010-03,AOR,Restated
2009-12,507.40M,0.144M,1.412M,-7.138M,-5.582M,93.79M,54.74M,148.53M,148.53M,-390.53M,16.20M,-1.763M,12.78M,47.18M,27.45M,-98.90M,,,243.54M,232.05M,,,2009-12,-72.75M,5.907M,-66.84M,-162.39M,-6.448M,12.26M,-223.42M,2009-12,873.79M,-735.82M,137.97M,46.40M,0.00,46.40M,,-155.28M,3.442M,32.53M,,942.86M,315.42M,60.50M,1.319B,2009-12,46.40M,1.021M,1.747B,0.00,96.60M,113.36M,2009-12,AOR,Restated
2009-09,302.42M,4.398M,-1.878M,-11.76M,-9.242M,89.70M,61.54M,151.24M,151.24M,-75.75M,11.69M,9.595M,1.663M,96.84M,4.602M,-52.54M,,,128.67M,179.24M,,,2009-09,-53.02M,7.778M,-45.24M,-4.071M,5.524M,-4.914M,-48.70M,2009-09,-899.38M,794.54M,-104.83M,39.37M,0.00,39.37M,,-154.89M,0.581M,-219.77M,,616.40M,300.73M,25.72M,942.86M,2009-09,39.37M,0.124M,-104.96M,0.00,84.94M,14.04M,2009-09,AOR,Restated
2009-06,176.56M,-0.078M,1.346M,8.219M,9.487M,101.09M,51.95M,153.04M,153.04M,29.70M,12.33M,-0.018M,-18.57M,234.30M,-7.394M,89.49M,,,-54.85M,242.97M,,,2009-06,-57.40M,9.788M,-47.61M,-31.90M,14.47M,-30.68M,-95.72M,2009-06,-638.66M,-327.07M,-965.73M,10.57M,,10.57M,,-154.78M,0.025M,-1.110B,,1.121B,-581.55M,76.85M,616.40M,2009-06,10.57M,0.056M,-965.78M,,108.65M,2.381M,2009-06,AOR,Restated
