,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,199.80M,,199.80M,290.40M,,290.40M,92.00M,40.10M,83.60M,215.70M,,37.60M,743.50M,,,,,1.775B,,1.775B,-917.50M,857.80M,108.80M,22.80M,131.60M,89.90M,24.90M,21.90M,1.126B,1.870B,127.60M,,13.30M,140.90M,50.60M,191.50M,,,,,,,,,69.60M,263.40M,198.00M,,198.00M,12.30M,12.30M,55.00M,,35.60M,300.90M,564.30M,18.80M,1.223B,308.50M,149.00M,,,-95.80M,1.305B
2017-12,235.90M,,235.90M,253.20M,,253.20M,88.60M,31.80M,94.80M,215.20M,,39.20M,743.50M,0.0,21.40M,539.20M,1.052B,,132.70M,1.746B,-890.80M,855.00M,107.70M,21.70M,129.40M,85.80M,25.70M,23.40M,1.119B,1.863B,138.10M,10.40M,6.00M,154.50M,83.90M,238.40M,,,,,,18.40M,18.40M,,20.50M,279.50M,197.00M,,197.00M,10.40M,10.40M,53.40M,,42.60M,303.40M,582.90M,18.80M,1.178B,309.30M,109.10M,,,-117.30M,1.280B
2017-09,269.30M,,269.30M,251.80M,,251.80M,89.20M,33.70M,92.90M,215.80M,,40.00M,776.90M,,,,,1.701B,,1.701B,-865.80M,835.40M,107.10M,22.50M,129.60M,84.60M,87.20M,16.70M,1.154B,1.930B,121.90M,,7.40M,129.30M,62.90M,192.20M,,33.20M,33.20M,,33.20M,,,,72.30M,300.00M,196.60M,,196.60M,8.90M,8.90M,62.00M,,46.00M,313.50M,613.50M,18.70M,1.189B,302.90M,62.70M,,,-130.60M,1.317B
2017-06,226.60M,,226.60M,242.40M,,242.40M,85.50M,33.30M,92.50M,211.30M,,37.50M,717.80M,,,,,1.647B,,1.647B,-834.90M,811.80M,105.80M,22.90M,128.70M,83.60M,85.10M,16.00M,1.125B,1.843B,130.90M,,2.40M,133.30M,48.10M,181.40M,,33.80M,33.80M,,33.80M,,,,71.50M,289.00M,195.70M,,195.70M,9.20M,9.20M,60.10M,,46.60M,311.60M,600.60M,18.70M,1.148B,292.30M,64.80M,,,-151.80M,1.242B
2017-03,169.40M,,169.40M,224.80M,,224.80M,81.70M,33.00M,97.60M,212.30M,,46.10M,652.60M,,,,,1.584B,,1.584B,-800.80M,782.80M,103.50M,23.10M,126.60M,81.30M,68.70M,21.50M,1.081B,1.734B,106.10M,,6.20M,112.30M,43.90M,156.20M,,34.40M,34.40M,,34.40M,,,,63.60M,256.50M,194.20M,,194.20M,9.80M,9.80M,57.10M,,47.30M,308.40M,564.90M,18.60M,1.119B,276.00M,65.80M,,,-179.00M,1.169B
2016-12,203.00M,,203.00M,200.50M,,200.50M,78.00M,28.90M,92.40M,199.30M,,39.10M,641.90M,0.0,18.60M,443.30M,918.70M,,174.10M,1.555B,-776.40M,778.30M,103.00M,23.30M,126.30M,82.70M,66.20M,21.30M,1.075B,1.717B,122.00M,9.50M,4.50M,136.00M,71.90M,207.90M,,2.40M,2.40M,,2.40M,13.20M,13.20M,,15.30M,241.00M,226.20M,,226.20M,9.20M,9.20M,75.60M,,47.20M,358.20M,599.20M,18.40M,1.072B,260.40M,46.10M,,,-186.80M,1.118B
2016-09,205.90M,,205.90M,209.50M,,209.50M,82.50M,32.20M,86.40M,201.10M,,41.60M,658.10M,,,,,1.551B,,1.551B,-778.40M,772.70M,105.20M,24.40M,129.60M,81.40M,70.70M,22.80M,1.077B,1.735B,99.00M,,3.20M,102.20M,58.90M,161.10M,,2.60M,2.60M,,2.60M,,,,67.40M,236.80M,228.60M,,228.60M,15.20M,15.20M,62.50M,,49.90M,356.20M,593.00M,18.40M,1.042B,247.60M,21.80M,,,-143.80M,1.142B
2016-06,202.70M,,202.70M,219.00M,,219.00M,80.10M,32.20M,85.40M,197.70M,,39.80M,659.20M,,,,,1.499B,,1.499B,-757.60M,741.20M,104.90M,24.90M,129.80M,77.70M,74.70M,22.50M,1.046B,1.705B,107.30M,,9.30M,116.60M,55.10M,171.70M,,2.50M,2.50M,,2.50M,,,,59.60M,239.40M,228.90M,,228.90M,14.50M,14.50M,61.20M,,51.70M,356.30M,595.70M,18.40M,1.014B,240.60M,13.10M,,,-150.30M,1.109B
2016-03,178.10M,,178.10M,209.60M,,209.60M,76.10M,33.60M,84.40M,194.10M,,48.90M,630.70M,,,,,1.483B,,1.483B,-750.20M,732.50M,105.70M,25.80M,131.50M,61.60M,87.90M,24.00M,1.038B,1.668B,97.50M,,17.90M,115.40M,43.10M,158.50M,,2.50M,2.50M,,2.50M,,,,74.40M,241.10M,229.50M,,229.50M,13.50M,13.50M,60.50M,,49.60M,353.10M,594.20M,18.30M,978.00M,238.50M,12.80M,,,-148.00M,1.074B
2015-12,274.60M,,274.60M,181.40M,,181.40M,74.40M,30.10M,76.60M,181.10M,,36.60M,673.70M,0.0,17.60M,412.80M,887.50M,,122.40M,1.440B,-719.30M,721.00M,104.60M,37.60M,142.20M,61.30M,70.50M,26.40M,1.021B,1.695B,119.80M,8.60M,12.80M,141.20M,76.10M,217.30M,,69.30M,69.30M,,69.30M,14.40M,14.40M,,7.70M,314.30M,228.90M,,228.90M,12.40M,12.40M,62.00M,,53.60M,356.90M,671.20M,18.10M,964.60M,207.80M,4.00M,,,-162.60M,1.024B
2015-09,256.80M,,256.80M,194.60M,,194.60M,78.00M,31.10M,78.60M,187.70M,8.30M,33.50M,680.90M,,,,,1.398B,,1.398B,-708.80M,689.50M,105.70M,38.60M,144.30M,59.20M,66.90M,25.70M,985.60M,1.666B,93.60M,,19.00M,112.60M,56.20M,168.80M,,71.00M,71.00M,,71.00M,,,,57.60M,299.90M,231.50M,,231.50M,9.40M,9.40M,81.50M,,48.90M,371.30M,671.20M,18.00M,939.90M,195.80M,4.00M,,,-154.40M,995.30M
2015-06,252.00M,,252.00M,198.80M,,198.80M,78.00M,30.00M,79.20M,187.20M,8.20M,33.70M,679.90M,,,,,1.380B,,1.380B,-694.90M,685.40M,105.30M,39.40M,144.70M,59.80M,66.50M,27.40M,983.80M,1.664B,91.40M,,18.50M,109.90M,52.40M,162.30M,,95.00M,95.00M,,95.00M,,,,53.90M,313.70M,231.70M,,231.70M,16.10M,16.10M,63.00M,,49.80M,360.60M,674.30M,18.00M,947.00M,188.60M,4.00M,,,-160.20M,989.40M
2015-03,207.10M,,207.10M,189.50M,,189.50M,75.70M,27.60M,80.10M,183.40M,8.70M,36.40M,625.10M,,,,,1.349B,,1.349B,-673.30M,675.80M,104.40M,40.20M,144.60M,59.30M,64.10M,27.10M,970.90M,1.596B,88.50M,,15.00M,103.50M,38.80M,142.30M,,98.80M,98.80M,,98.80M,,,,53.00M,296.60M,231.90M,,231.90M,15.40M,15.40M,61.40M,,49.60M,358.30M,654.90M,18.00M,927.20M,170.40M,4.20M,,,-170.30M,941.10M
2014-12,255.30M,,255.30M,179.00M,,179.00M,79.90M,25.60M,76.00M,181.50M,7.80M,35.50M,659.10M,0.0,15.10M,410.60M,860.20M,,104.90M,1.391B,-685.00M,705.80M,108.60M,42.00M,150.60M,60.60M,66.10M,27.50M,1.011B,1.670B,103.10M,7.80M,14.90M,125.80M,75.30M,201.10M,,27.20M,27.20M,,27.20M,13.30M,13.30M,,8.30M,252.50M,308.30M,,308.30M,15.70M,15.70M,83.70M,,52.60M,460.30M,712.80M,17.80M,902.20M,160.20M,4.10M,,,-119.20M,956.90M
2014-09,246.80M,,246.80M,195.90M,,195.90M,77.20M,26.50M,82.00M,185.70M,18.40M,32.70M,679.50M,,,,,1.382B,,1.382B,-686.90M,694.80M,110.40M,43.40M,153.80M,61.80M,60.50M,22.90M,993.80M,1.673B,91.40M,,18.10M,109.50M,51.60M,161.10M,,27.20M,27.20M,,27.20M,,,,52.10M,242.50M,315.50M,,315.50M,18.30M,18.30M,75.00M,,51.90M,460.70M,703.20M,17.80M,878.70M,149.10M,4.20M,,,-71.30M,970.10M
2014-06,226.70M,,226.70M,209.60M,,209.60M,76.40M,31.00M,80.50M,187.90M,16.80M,44.40M,685.40M,,,,,1.402B,,1.402B,-693.10M,709.20M,114.00M,46.10M,160.10M,60.40M,65.50M,24.10M,1.019B,1.705B,94.50M,,15.00M,109.50M,51.70M,161.20M,,2.20M,2.20M,,2.20M,,,,55.60M,221.20M,359.30M,,359.30M,19.60M,19.60M,79.10M,,52.90M,510.90M,732.10M,17.80M,855.50M,138.20M,4.20M,,,-34.70M,972.60M
2014-03,230.00M,,230.00M,208.70M,,208.70M,75.60M,29.00M,82.90M,187.50M,16.30M,44.10M,686.60M,,,,,1.385B,,1.385B,-673.00M,712.00M,114.20M,47.10M,161.30M,59.40M,65.20M,23.70M,1.022B,1.708B,98.40M,,12.40M,110.80M,41.80M,152.60M,,14.20M,14.20M,,14.20M,,,,58.60M,227.60M,390.70M,,390.70M,19.70M,19.70M,82.80M,,52.80M,546.00M,773.60M,17.70M,825.00M,129.90M,4.20M,,,-33.80M,934.60M
2013-12,230.00M,,230.00M,185.70M,,185.70M,72.10M,24.80M,80.00M,176.90M,15.90M,42.20M,650.70M,0.0,15.70M,397.50M,858.00M,,97.80M,1.369B,-657.30M,711.70M,114.20M,48.30M,162.50M,60.90M,61.80M,24.00M,1.021B,1.672B,108.00M,,14.60M,122.60M,82.80M,205.40M,,2.20M,2.20M,,2.20M,10.80M,10.80M,,16.30M,236.90M,371.30M,,371.30M,18.90M,18.90M,83.10M,,55.00M,528.30M,765.20M,17.60M,805.00M,120.00M,3.80M,,,-32.40M,906.40M
2013-09,221.70M,7.50M,229.20M,198.20M,,198.20M,71.90M,28.10M,76.70M,176.70M,9.30M,30.10M,643.50M,,,,,1.328B,,1.328B,-646.40M,682.00M,113.40M,48.50M,161.90M,59.10M,92.40M,25.60M,1.021B,1.664B,86.30M,,34.40M,120.70M,55.80M,176.50M,,18.90M,18.90M,,18.90M,,,,48.40M,246.80M,381.10M,,381.10M,19.60M,19.60M,126.10M,,54.20M,581.00M,827.80M,17.50M,788.60M,103.90M,3.80M,,,-69.50M,836.70M
2013-06,190.60M,7.50M,198.10M,195.30M,,195.30M,72.20M,28.80M,75.50M,176.50M,9.60M,33.80M,613.30M,,,,,1.289B,,1.289B,-625.70M,663.40M,111.70M,49.10M,160.80M,58.00M,92.00M,25.20M,999.40M,1.613B,88.40M,,32.20M,120.60M,50.00M,170.60M,,0.10M,0.10M,,0.10M,,,,45.10M,218.70M,394.70M,,394.70M,19.30M,19.30M,138.00M,,57.80M,609.80M,828.50M,,,,,,,,784.20M
2013-03,175.00M,8.20M,183.20M,189.00M,,189.00M,71.80M,27.10M,74.60M,173.50M,8.90M,35.10M,589.70M,,,,,1.271B,,1.271B,-612.90M,658.50M,111.00M,49.90M,160.90M,55.60M,88.30M,24.10M,987.40M,1.577B,91.60M,,28.00M,119.60M,38.20M,157.80M,,1.70M,1.70M,,1.70M,,,,45.70M,208.10M,428.40M,,428.40M,19.20M,19.20M,135.80M,,39.70M,623.10M,831.20M,8.70M,745.00M,88.40M,3.70M,,,-92.50M,745.90M
2012-12,161.90M,12.40M,174.30M,175.00M,,175.00M,67.70M,23.60M,70.90M,162.20M,7.70M,38.10M,557.30M,0.0,9.00M,310.90M,799.70M,,155.20M,1.275B,-605.80M,669.00M,112.50M,50.60M,163.10M,59.80M,90.30M,24.50M,1.007B,1.564B,102.90M,,23.40M,126.30M,56.50M,182.80M,,32.70M,32.70M,,32.70M,,,,43.50M,261.80M,378.80M,,378.80M,20.80M,20.80M,135.40M,,38.30M,573.30M,835.10M,17.20M,719.90M,70.70M,3.00M,,,-75.90M,728.90M
2012-09,143.20M,21.90M,165.10M,182.90M,,182.90M,70.20M,24.20M,71.50M,165.90M,7.40M,36.00M,557.30M,,,,,,,1.227B,-589.80M,637.00M,111.50M,50.90M,162.40M,60.70M,85.50M,24.50M,970.10M,1.527B,81.30M,,28.90M,110.20M,2.50M,112.70M,39.30M,,39.30M,,39.30M,,,,70.70M,275.60M,362.10M,,362.10M,20.20M,20.20M,114.80M,,37.60M,534.70M,810.30M,8.60M,711.90M,78.40M,10.00M,,,-71.80M,717.10M
2012-06,107.00M,25.50M,132.50M,185.00M,,185.00M,68.60M,25.30M,65.30M,159.20M,7.40M,32.90M,517.00M,,,,,,,1.185B,-565.10M,620.30M,110.00M,49.50M,159.50M,57.50M,84.00M,24.50M,945.80M,1.463B,85.60M,,23.30M,108.90M,2.30M,111.20M,89.10M,,89.10M,,89.10M,,,,71.60M,320.20M,296.40M,,296.40M,19.30M,19.30M,112.30M,,35.10M,463.10M,783.30M,8.60M,697.10M,75.60M,13.00M,,,-88.80M,679.50M
2012-03,100.20M,26.40M,126.60M,176.00M,,176.00M,66.50M,22.50M,69.20M,158.20M,7.50M,34.50M,502.80M,,,,,,,1.185B,-565.70M,619.20M,112.70M,51.20M,163.90M,58.30M,84.40M,28.70M,954.50M,1.457B,82.70M,,24.60M,107.30M,2.30M,109.60M,86.50M,,86.50M,,86.50M,,,,69.20M,302.40M,294.90M,,294.90M,20.60M,20.60M,111.30M,,33.40M,460.20M,762.60M,8.60M,687.60M,75.30M,18.30M,,,-58.50M,694.70M
2011-12,91.80M,26.50M,118.30M,147.20M,,147.20M,65.10M,19.60M,67.10M,151.80M,7.90M,46.80M,472.00M,0.0,8.90M,284.10M,727.70M,,116.10M,1.137B,-543.20M,593.60M,111.50M,52.00M,163.50M,56.20M,85.10M,28.70M,927.10M,1.399B,89.80M,,17.30M,107.10M,45.00M,152.10M,,50.10M,50.10M,,50.10M,,,,38.70M,243.20M,299.30M,,299.30M,21.60M,21.60M,126.00M,,54.10M,501.00M,744.20M,8.60M,664.50M,76.30M,23.00M,,,-71.50M,654.90M
2011-09,119.20M,,119.20M,153.10M,,153.10M,64.90M,21.70M,68.90M,155.50M,10.70M,65.00M,503.50M,,,,,,,1.135B,-559.00M,576.10M,113.60M,52.60M,166.20M,55.00M,68.40M,29.10M,894.80M,1.398B,71.70M,,19.70M,91.40M,,91.40M,54.70M,,54.70M,,54.70M,,,,32.50M,229.30M,323.30M,,323.30M,19.80M,19.80M,84.10M,,50.50M,477.70M,707.00M,8.60M,657.80M,76.00M,26.60M,,,-24.50M,691.30M
2011-06,110.40M,,110.40M,165.70M,,165.70M,65.70M,23.60M,71.90M,161.20M,11.50M,61.60M,510.40M,,,,,,,1.144B,-562.40M,581.50M,116.10M,54.20M,170.30M,51.20M,71.90M,30.00M,904.90M,1.415B,73.40M,,19.40M,92.80M,,92.80M,6.30M,,6.30M,,6.30M,,,,45.40M,192.70M,367.20M,,367.20M,21.10M,21.10M,92.00M,,46.30M,526.60M,719.30M,8.60M,641.20M,74.60M,28.50M,,,-0.60M,696.00M
2011-03,94.60M,,94.60M,161.20M,,161.20M,63.20M,24.50M,69.40M,157.10M,11.30M,56.90M,481.10M,,,,,,,1.127B,-552.90M,574.50M,115.20M,55.10M,170.30M,48.90M,68.40M,22.90M,885.00M,1.366B,66.20M,,18.70M,84.90M,2.10M,87.00M,6.30M,,6.30M,,6.30M,,,,40.90M,182.80M,364.70M,,364.70M,21.00M,21.00M,91.20M,,43.30M,520.20M,703.00M,0.00,626.70M,82.70M,35.50M,,,-10.80M,663.10M
2010-12,110.20M,,110.20M,126.40M,,126.40M,60.50M,21.40M,65.10M,147.00M,10.50M,42.50M,436.60M,0.0,9.00M,276.40M,721.70M,,70.10M,1.077B,-522.40M,554.80M,112.50M,55.10M,167.60M,48.20M,64.50M,22.60M,857.70M,1.294B,63.20M,,15.00M,78.20M,48.30M,126.50M,0.30M,,0.30M,,0.30M,,,,42.90M,169.70M,358.10M,,358.10M,20.00M,20.00M,87.20M,,33.60M,498.90M,668.60M,8.60M,612.60M,77.30M,41.50M,,,-31.30M,625.70M
2010-09,97.10M,,97.10M,142.80M,,142.80M,66.50M,21.90M,60.00M,148.40M,8.30M,44.60M,441.20M,,,,,,,1.071B,-514.00M,556.70M,113.80M,55.90M,169.70M,43.80M,67.90M,20.30M,858.40M,1.300B,56.30M,,21.00M,77.30M,51.10M,128.40M,1.40M,,1.40M,,1.40M,,,,28.40M,158.20M,369.30M,,369.30M,23.10M,23.10M,83.10M,,33.80M,509.30M,667.50M,8.60M,618.00M,75.70M,42.40M,,,-27.80M,632.10M
2010-06,67.50M,,67.50M,145.70M,,145.70M,65.90M,22.20M,55.20M,143.30M,7.40M,40.00M,403.90M,,,,,,,1.012B,-480.00M,532.50M,107.90M,52.50M,160.40M,40.10M,63.20M,22.00M,818.20M,1.222B,61.40M,,18.20M,79.60M,42.00M,121.60M,0.40M,,0.40M,,0.40M,,,,36.60M,158.60M,356.80M,,356.80M,20.20M,20.20M,79.30M,,36.20M,492.50M,651.10M,8.60M,600.30M,70.50M,43.40M,,,-65.00M,571.00M
2010-03,65.90M,,65.90M,146.60M,,146.60M,65.90M,22.80M,56.10M,144.80M,7.30M,40.30M,404.90M,,,,,,,1.043B,-486.90M,556.20M,111.80M,54.50M,166.30M,40.20M,67.10M,18.90M,848.70M,1.254B,66.40M,,17.70M,84.10M,42.90M,127.00M,21.10M,,21.10M,,21.10M,,,,35.70M,183.80M,348.30M,,348.30M,21.60M,21.60M,86.00M,,34.20M,490.10M,673.90M,8.60M,583.80M,68.50M,43.80M,,,-37.40M,579.70M
2009-12,83.10M,,83.10M,138.70M,,138.70M,55.90M,19.70M,53.60M,129.20M,7.80M,38.40M,397.20M,0.0,9.60M,267.10M,685.70M,,99.70M,1.062B,-485.00M,577.10M,114.20M,55.60M,169.80M,38.20M,69.40M,19.30M,873.80M,1.271B,68.40M,,13.80M,82.20M,46.80M,129.00M,0.50M,,0.50M,,0.50M,,,,41.60M,171.10M,379.10M,,379.10M,22.90M,22.90M,85.10M,,33.70M,520.80M,691.90M,8.60M,569.40M,72.90M,52.10M,,,-19.70M,579.10M
2009-09,79.50M,,79.50M,142.50M,,142.50M,58.50M,20.60M,56.80M,135.90M,4.40M,36.80M,399.10M,,,,,,,1.054B,-483.30M,570.40M,114.90M,56.80M,171.70M,35.80M,66.80M,20.10M,864.80M,1.264B,55.30M,,16.90M,72.20M,53.20M,125.40M,4.00M,,4.00M,,4.00M,,,,33.40M,162.80M,393.00M,,393.00M,22.20M,22.20M,85.20M,,35.00M,535.40M,698.20M,8.60M,559.60M,70.90M,54.30M,,,-19.10M,565.70M
2009-06,84.30M,2.60M,86.90M,143.40M,,143.40M,57.40M,20.70M,51.90M,130.00M,4.30M,31.60M,396.20M,,,,,,,1.011B,-462.80M,548.00M,105.60M,48.60M,154.20M,34.40M,63.80M,20.90M,821.30M,1.218B,60.70M,,15.20M,75.90M,44.80M,120.70M,3.90M,,3.90M,,3.90M,,,,36.90M,161.50M,386.30M,,386.30M,23.20M,23.20M,82.20M,,31.30M,523.00M,684.50M,8.60M,542.40M,72.30M,58.90M,,,-31.40M,533.00M
2009-03,62.70M,2.90M,65.60M,137.20M,,137.20M,52.00M,19.60M,48.40M,120.00M,3.90M,29.50M,356.20M,,,,,,,949.70M,-432.00M,517.70M,103.00M,49.00M,152.00M,36.40M,59.50M,19.70M,785.30M,1.142B,52.00M,,13.20M,65.20M,39.60M,104.80M,3.90M,,3.90M,,3.90M,,,,30.00M,138.70M,384.00M,,384.00M,19.80M,19.80M,77.90M,,32.50M,514.20M,652.90M,8.60M,527.70M,71.30M,62.90M,,,-56.10M,488.60M
