,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,,510.97M,374.60M,885.56M,1.143B,9.012M,1.152B,15.34M,326.62M,,,2.379B,,,,,,,,,1.666B,849.46M,1.307B,2.157B,118.29M,208.27M,4.150B,6.529B,,284.20M,284.20M,270.66M,554.86M,,,2.155M,2.155M,278.67M,278.67M,,,835.69M,438.76M,,438.76M,371.38M,4.317M,375.70M,,,814.46M,1.650B,,3.605M,5.276B,1.444B,1.752B,,,-92.66M,4.879B,,AOR,Restated
2018-03,,413.40M,507.96M,921.36M,1.029B,11.32M,1.041B,14.30M,388.81M,,,2.365B,,,,,,,,,1.601B,853.83M,1.309B,2.162B,172.01M,211.16M,4.146B,6.512B,,210.05M,210.05M,275.08M,485.12M,,,6.804M,6.804M,311.02M,311.02M,,,802.94M,438.77M,,438.77M,362.54M,6.891M,369.43M,,,808.20M,1.611B,,3.599M,5.106B,1.414B,1.552B,,,-71.49M,4.900B,,AOR,Restated
2017-12,210.38M,370.92M,434.84M,805.77M,1.030B,12.68M,1.043B,15.75M,515.93M,,,2.380B,0.00,1.052B,,1.640B,,216.59M,2.908B,-1.305B,1.603B,853.00M,1.302B,2.155B,196.84M,134.01M,4.089B,6.469B,,219.00M,219.00M,247.68M,466.67M,,,11.58M,11.58M,311.34M,311.34M,,,789.60M,515.13M,,515.13M,336.45M,,336.45M,,42.79M,894.37M,1.684B,,3.592M,4.939B,1.380B,1.464B,,,-73.38M,4.785B,,AOR,Restated
2017-09,,573.05M,279.00M,852.05M,1.006B,14.48M,1.021B,15.69M,343.06M,,,2.232B,,,,,,,,,1.587B,851.96M,1.304B,2.156B,112.40M,145.18M,4.001B,6.232B,,204.32M,204.32M,260.93M,465.26M,,,13.99M,13.99M,327.62M,327.62M,,,806.86M,521.02M,,521.02M,327.34M,13.03M,340.37M,,,861.39M,1.668B,,3.568M,4.602B,1.345B,1.314B,,,-72.74M,4.564B,,AOR,Restated
2017-06,,460.43M,176.56M,636.99M,1.019B,18.01M,1.037B,14.55M,323.70M,,,2.012B,,,,,,,,,1.594B,849.88M,1.307B,2.157B,110.88M,184.73M,4.046B,6.059B,,259.09M,259.09M,238.33M,497.42M,,,18.49M,18.49M,325.79M,325.79M,,,841.71M,524.92M,,524.92M,323.06M,13.45M,336.51M,,,861.43M,1.703B,,3.556M,4.425B,1.301B,1.291B,,,-83.54M,4.356B,,AOR,Restated
2017-03,,378.45M,153.46M,531.91M,966.48M,19.88M,986.35M,19.01M,288.83M,,,1.826B,,,,,,,,,1.569B,845.84M,1.294B,2.140B,77.21M,190.61M,3.977B,5.803B,,207.00M,207.00M,271.07M,478.07M,,,17.40M,17.40M,338.07M,338.07M,,,833.54M,532.75M,,532.75M,311.54M,12.51M,324.05M,,,856.79M,1.690B,,3.545M,4.245B,1.255B,1.291B,,,-99.65M,4.113B,,AOR,Restated
2016-12,,170.86M,185.59M,356.45M,915.82M,29.13M,944.94M,14.74M,303.23M,,,1.619B,0.00,961.55M,,1.471B,,226.47M,2.659B,-1.106B,1.553B,844.20M,1.285B,2.129B,109.37M,219.25M,4.011B,5.630B,,238.13M,238.13M,269.23M,507.36M,,,26.20M,26.20M,311.84M,311.84M,,,845.40M,537.55M,,537.55M,306.26M,12.80M,319.06M,,,856.62M,1.702B,,3.537M,4.094B,1.231B,1.291B,,,-110.16M,3.928B,,AOR,Restated
2016-09,,431.50M,261.18M,692.68M,950.55M,34.62M,985.16M,19.70M,300.76M,,,1.998B,,,,,,,,,1.476B,848.45M,1.282B,2.131B,143.86M,199.36M,3.950B,5.949B,,219.53M,219.53M,263.20M,482.73M,,,36.62M,36.62M,308.71M,308.71M,,,828.06M,535.92M,,535.92M,292.77M,13.74M,306.51M,,,842.43M,1.670B,,3.536M,3.945B,1.205B,790.46M,,,-84.75M,4.278B,,AOR,Restated
2016-06,,377.58M,252.31M,629.89M,944.88M,38.44M,983.31M,16.69M,303.81M,,,1.934B,,,,,,,,,1.438B,847.94M,1.266B,2.114B,89.93M,204.21M,3.846B,5.780B,,242.12M,242.12M,234.81M,476.94M,,,38.41M,38.41M,299.75M,299.75M,,,815.09M,546.17M,,546.17M,352.26M,12.05M,364.31M,,,910.48M,1.726B,,3.516M,3.775B,1.149B,790.46M,,,-82.35M,4.054B,,AOR,Restated
2016-03,,295.59M,207.86M,503.45M,901.89M,39.90M,941.79M,22.58M,260.82M,,,1.729B,,,,,,,,,1.366B,849.49M,1.246B,2.096B,203.27M,200.45M,3.866B,5.594B,,209.39M,209.39M,244.88M,454.26M,,,41.76M,41.76M,279.91M,279.91M,,,775.93M,553.68M,,553.68M,336.49M,12.06M,348.55M,,,902.23M,1.678B,,3.511M,3.608B,1.113B,740.45M,,,-67.68M,3.916B,,AOR,Restated
2015-12,,402.12M,111.06M,513.18M,994.95M,39.13M,1.034B,15.79M,264.78M,,,1.828B,0.00,742.76M,,1.368B,,201.16M,2.312B,-1.003B,1.309B,799.18M,1.251B,2.050B,173.07M,202.06M,3.734B,5.562B,,215.51M,215.51M,242.12M,457.63M,,,41.80M,41.80M,278.44M,278.44M,,,777.87M,563.35M,,563.35M,324.52M,25.86M,350.38M,,,913.73M,1.692B,,3.503M,3.458B,1.076B,590.39M,,,-76.35M,3.870B,,AOR,Restated
2015-09,,261.76M,202.78M,464.54M,1.012B,40.99M,1.053B,23.70M,245.12M,17.27M,,1.804B,,,,,,,,,1.187B,788.94M,1.249B,2.038B,301.02M,193.31M,3.719B,5.523B,,207.89M,207.89M,307.96M,515.85M,,,57.84M,57.84M,265.64M,265.64M,,,839.34M,572.83M,,572.83M,246.71M,26.73M,273.44M,,,846.26M,1.686B,,3.499M,3.292B,1.052B,445.40M,,,-64.64M,3.837B,,AOR,Restated
2015-06,,293.98M,264.07M,558.05M,958.37M,44.77M,1.003B,28.63M,272.37M,21.51M,,1.884B,,,,,,,,,1.155B,766.05M,1.212B,1.978B,298.50M,169.00M,3.601B,5.485B,,208.73M,208.73M,239.45M,448.18M,,,55.45M,55.45M,274.22M,274.22M,,,777.85M,567.31M,,567.31M,250.82M,24.85M,275.68M,,,842.99M,1.621B,,3.495M,3.144B,1.018B,245.33M,,,-56.82M,3.864B,,AOR,Restated
2015-03,,390.34M,293.83M,684.16M,894.12M,46.45M,940.57M,22.55M,242.46M,21.53M,,1.911B,,,,,,,,,1.103B,767.22M,1.198B,1.965B,204.52M,168.55M,3.441B,5.353B,,195.71M,195.71M,232.85M,428.56M,,,61.83M,61.83M,301.91M,301.91M,,,792.30M,564.34M,,564.34M,258.75M,26.80M,285.55M,,,849.88M,1.642B,,3.486M,3.029B,985.07M,245.33M,,,-62.22M,3.710B,,AOR,Restated
2014-12,,635.20M,785.66M,1.421B,615.63M,57.15M,672.78M,23.79M,209.28M,22.08M,,2.349B,0.00,439.57M,,1.238B,,187.35M,1.865B,-940.51M,924.26M,320.54M,546.84M,867.37M,231.15M,159.00M,2.182B,4.531B,,160.28M,160.28M,196.92M,357.20M,,,67.46M,67.46M,209.66M,209.66M,,,634.32M,62.87M,,62.87M,256.60M,10.81M,267.41M,,,330.28M,964.60M,,3.47M,2.918B,933.45M,245.33M,,,-44.10M,3.566B,,AOR,Restated
2014-09,,496.49M,835.27M,1.332B,579.70M,37.51M,617.20M,28.60M,181.10M,76.80M,,2.235B,,,,,,,,,889.49M,322.14M,534.56M,856.70M,226.37M,184.61M,2.157B,4.393B,,169.23M,169.23M,226.32M,395.55M,,,60.04M,60.04M,215.53M,215.53M,,,671.12M,86.76M,,86.76M,229.45M,9.102M,238.55M,,,325.31M,996.43M,,3.461M,2.771B,890.90M,245.33M,,,-23.43M,3.396B,,AOR,Restated
2014-06,,315.26M,673.53M,988.79M,576.69M,38.24M,614.93M,31.71M,175.07M,92.76M,,1.903B,,,,,,,,,863.68M,324.11M,521.88M,845.99M,478.96M,173.37M,2.362B,4.265B,,148.85M,148.85M,236.22M,385.07M,,,59.29M,59.29M,228.17M,228.17M,,,672.52M,96.08M,,96.08M,229.08M,7.817M,236.90M,,,332.98M,1.006B,,3.457M,2.642B,865.39M,245.33M,,,-5.348M,3.260B,,AOR,Restated
2014-03,,219.93M,811.33M,1.031B,525.80M,38.29M,564.09M,28.26M,198.96M,92.62M,,1.915B,,,,,,,,,845.10M,307.08M,505.37M,812.45M,437.00M,181.62M,2.276B,4.191B,,125.74M,125.74M,198.76M,324.50M,,,55.66M,55.66M,231.51M,231.51M,,,611.67M,104.83M,,104.83M,219.86M,8.60M,228.46M,,,333.28M,944.95M,,3.452M,2.513B,843.95M,103.28M,,,-10.30M,3.246B,,AOR,Restated
2013-12,,202.38M,677.00M,879.38M,547.03M,35.90M,582.93M,32.30M,175.49M,91.61M,,1.762B,0.00,411.38M,,1.040B,,160.03M,1.611B,-818.45M,792.78M,307.42M,491.21M,798.63M,554.87M,190.37M,2.337B,4.098B,,145.02M,145.02M,231.56M,376.58M,,,54.11M,54.11M,209.75M,209.75M,,,640.43M,111.72M,,111.72M,170.39M,8.159M,178.55M,,,290.27M,930.70M,,3.443M,2.393B,812.85M,28.25M,,,-13.43M,3.168B,,AOR,Restated
2013-09,,287.52M,634.31M,921.83M,494.72M,34.59M,529.30M,28.23M,181.21M,40.52M,,1.701B,,,,,,,,,724.89M,307.52M,464.09M,771.61M,577.49M,191.29M,2.265B,3.966B,,147.02M,147.02M,190.35M,337.37M,,,51.87M,51.87M,195.20M,195.20M,,,584.44M,131.03M,,131.03M,162.99M,10.52M,173.51M,,,304.54M,888.98M,,3.437M,2.333B,782.14M,28.25M,,,-12.92M,3.077B,,AOR,Restated
2013-06,,270.76M,698.75M,969.52M,494.82M,33.08M,527.90M,23.84M,152.74M,39.30M,,1.713B,,,,,,,,,674.63M,306.95M,443.98M,750.93M,513.76M,191.33M,2.131B,3.844B,,169.74M,169.74M,207.60M,377.33M,,,48.93M,48.93M,179.18M,179.18M,,,605.44M,132.97M,,132.97M,145.98M,8.539M,154.52M,,,287.49M,892.93M,,3.43M,2.218B,754.26M,,,,-24.32M,2.951B,,AOR,Restated
2013-03,,281.46M,723.69M,1.005B,481.02M,31.05M,512.08M,22.11M,149.41M,38.82M,,1.728B,,,,,,,,,606.45M,306.16M,430.71M,736.86M,515.86M,178.42M,2.038B,3.765B,,148.88M,148.88M,182.67M,331.55M,,,46.90M,46.90M,193.97M,193.97M,,,572.42M,135.47M,,135.47M,148.69M,9.33M,158.02M,,,293.49M,865.91M,,1.726M,2.105B,870.31M,63.24M,,,-14.29M,2.899B,,AOR,Restated
2012-12,,317.12M,719.66M,1.037B,548.16M,29.69M,577.85M,23.68M,113.57M,38.62M,,1.791B,0.00,281.80M,,884.80M,,146.00M,1.313B,-742.90M,569.71M,247.62M,399.35M,646.97M,509.47M,187.82M,1.914B,3.704B,,141.21M,141.21M,189.67M,330.88M,,,59.58M,59.58M,189.65M,189.65M,,,580.11M,136.56M,,136.56M,143.21M,10.94M,154.15M,,,290.71M,870.82M,,3.442M,1.995B,840.77M,0.00,,,-5.255M,2.834B,,AOR,Restated
2012-09,,288.10M,750.90M,1.039B,456.48M,85.93M,542.42M,24.31M,128.54M,11.52M,,1.746B,,,,,,,,,551.66M,211.79M,327.35M,539.15M,463.00M,170.87M,1.725B,3.470B,,134.78M,134.78M,17.63M,152.40M,,,54.98M,54.98M,179.78M,179.78M,,,496.01M,141.68M,,141.68M,,13.94M,136.09M,0.12M,,277.77M,773.78M,,1.715M,1.883B,818.13M,,,,-6.174M,2.697B,,AOR,Restated
2012-06,,302.79M,677.21M,980.00M,447.36M,45.17M,492.53M,22.52M,118.30M,47.42M,,1.661B,,,,,,,,,534.61M,211.50M,325.63M,537.13M,412.24M,154.28M,1.638B,3.299B,,123.87M,123.87M,25.24M,149.11M,,,50.13M,50.13M,163.49M,163.49M,,,465.13M,125.95M,,125.95M,,11.57M,139.45M,0.12M,,265.40M,730.52M,,1.712M,1.784B,795.62M,,,,-12.93M,2.568B,,AOR,Restated
2012-03,,281.20M,612.64M,893.84M,450.10M,85.40M,535.50M,14.14M,100.56M,47.42M,,1.591B,,,,,,,,,495.92M,213.01M,324.55M,537.55M,375.04M,139.58M,1.548B,3.140B,,113.57M,113.57M,27.96M,141.53M,,,44.78M,44.78M,164.85M,164.85M,,,443.52M,107.86M,,107.86M,,12.14M,144.33M,0.12M,,252.19M,695.71M,,1.704M,1.686B,759.86M,,,,-3.999M,2.444B,,AOR,Restated
2011-12,,243.15M,531.64M,774.78M,554.21M,8.997M,563.21M,23.30M,94.23M,46.80M,,1.502B,0.00,207.07M,,809.34M,,163.79M,1.180B,-691.21M,489.00M,211.83M,324.12M,535.94M,359.32M,113.78M,1.498B,3.000B,,85.54M,85.54M,160.31M,245.86M,,,39.72M,39.72M,153.14M,153.14M,,,438.72M,86.82M,,86.82M,150.23M,13.79M,164.02M,0.12M,,250.84M,689.56M,,1.696M,1.597B,723.49M,,,,-11.97M,2.311B,,AOR,Restated
2011-09,,231.19M,524.01M,755.20M,444.76M,103.29M,548.05M,12.29M,97.03M,10.56M,,1.423B,,,,,,,,,493.59M,187.86M,302.36M,490.22M,334.76M,101.86M,1.420B,2.844B,,79.34M,79.34M,32.26M,111.61M,,,34.56M,34.56M,137.92M,137.92M,,,377.50M,99.28M,,99.28M,,11.91M,159.43M,0.12M,,258.71M,636.21M,,1.694M,1.506B,710.93M,,,,-11.66M,2.207B,,AOR,Restated
2011-06,,214.06M,467.97M,682.02M,,,504.29M,13.08M,105.20M,8.737M,,1.313B,,,,,,,,,497.77M,189.19M,303.86M,493.05M,329.99M,86.68M,1.407B,2.721B,,72.57M,72.57M,24.93M,97.50M,,,29.82M,29.82M,132.72M,132.72M,,,350.95M,84.87M,,84.87M,,13.95M,154.85M,0.12M,,239.72M,590.67M,,1.689M,1.427B,689.19M,,,,11.70M,2.130B,,AOR,Restated
2011-03,,184.57M,426.31M,610.88M,336.41M,132.77M,469.18M,13.66M,101.52M,8.573M,,1.204B,,,,,,,,,495.60M,162.63M,286.26M,448.89M,337.85M,75.39M,1.358B,2.562B,,68.16M,68.16M,19.56M,87.71M,,,27.12M,27.12M,123.20M,123.20M,,,314.83M,74.31M,,74.31M,,15.04M,149.72M,0.12M,,224.03M,538.86M,,0.847M,1.355B,686.83M,28.00M,,,7.50M,2.023B,,AOR,Restated
2010-12,,214.51M,356.50M,571.01M,,,476.90M,11.04M,83.27M,3.836M,,1.146B,0.00,195.19M,,724.98M,,164.50M,1.085B,-585.84M,498.83M,161.37M,283.32M,444.69M,264.47M,68.74M,1.277B,2.423B,,65.04M,65.04M,106.71M,171.74M,,,24.84M,24.84M,109.35M,109.35M,,,305.93M,67.92M,,67.92M,126.22M,17.30M,143.52M,0.12M,,211.44M,517.37M,,0.84M,1.291B,645.82M,28.00M,,,-4.191M,1.905B,,AOR,Restated
2010-09,,211.75M,353.52M,565.26M,,,463.37M,8.058M,98.74M,2.285M,,1.138B,,,,,,,,,500.67M,161.97M,283.19M,445.17M,205.32M,69.51M,1.221B,2.358B,,56.67M,56.67M,124.66M,181.34M,,,25.75M,25.75M,117.85M,117.85M,,,324.93M,93.28M,,93.28M,112.23M,18.58M,130.81M,0.12M,,224.09M,549.02M,,0.836M,1.220B,618.32M,28.00M,,,-2.109M,1.809B,,AOR,Restated
2010-06,,255.80M,376.71M,632.51M,,,441.57M,9.176M,94.76M,7.985M,,1.186B,,,,,,,,,507.04M,160.40M,279.67M,440.07M,45.13M,67.44M,1.060B,2.246B,,47.48M,47.48M,138.93M,186.41M,,,25.64M,25.64M,111.42M,111.42M,,,323.47M,90.66M,,90.66M,104.84M,18.97M,123.81M,0.12M,,214.48M,537.95M,,0.833M,1.159B,597.38M,28.00M,,,-21.94M,1.708B,,AOR,Restated
2010-03,,240.21M,368.71M,608.91M,,,423.04M,10.11M,89.98M,7.903M,,1.140B,,,,,,,,,515.61M,161.55M,276.62M,438.17M,,69.98M,1.024B,2.164B,,41.08M,41.08M,108.37M,149.45M,,,27.00M,27.00M,128.15M,128.15M,,,304.59M,90.81M,,90.81M,102.70M,19.83M,122.52M,0.12M,,213.33M,517.92M,,0.829M,1.104B,578.90M,28.00M,,,-9.916M,1.646B,,AOR,Restated
2009-12,,241.72M,317.11M,558.84M,,,461.41M,11.24M,106.79M,8.055M,,1.146B,0.00,204.08M,,660.43M,,139.33M,1.004B,-494.66M,509.18M,151.48M,266.98M,418.46M,0.00,74.59M,1.002B,2.149B,,36.89M,36.89M,159.10M,195.99M,,,25.01M,25.01M,137.10M,137.10M,,,358.10M,95.51M,,95.51M,98.37M,15.79M,114.16M,0.12M,,209.67M,567.77M,,0.826M,1.054B,557.54M,28.00M,,,-3.254M,1.581B,,AOR,Restated
2009-09,,367.97M,66.68M,434.65M,,,470.07M,12.53M,90.19M,5.162M,,1.013B,,,,,,,,,506.33M,150.82M,272.20M,423.02M,95.25M,14.49M,1.039B,2.052B,,53.84M,53.84M,127.27M,181.11M,,,24.90M,24.90M,100.85M,100.85M,,,306.85M,118.93M,,118.93M,105.14M,14.97M,120.11M,0.12M,,239.04M,545.89M,,0.823M,993.07M,543.72M,28.00M,,,-3.915M,1.506B,,AOR,Restated
2009-06,,353.92M,30.18M,384.10M,,,444.70M,12.59M,90.46M,5.65M,,937.50M,,,,,,,,,501.07M,149.25M,272.74M,421.99M,99.15M,15.18M,1.037B,1.975B,,59.04M,59.04M,107.33M,166.37M,,,25.48M,25.48M,111.94M,111.94M,,,303.78M,122.94M,,122.94M,105.90M,14.01M,119.91M,0.12M,,242.86M,546.64M,,0.818M,944.67M,518.95M,28.00M,,,-8.305M,1.428B,,AOR,Restated
2009-03,,325.18M,21.82M,347.00M,,,436.91M,12.60M,74.30M,5.617M,,876.41M,,,,,,,,,498.26M,148.64M,270.55M,419.18M,99.60M,15.50M,1.033B,1.909B,,85.95M,85.95M,93.64M,179.59M,,,30.29M,30.29M,110.24M,110.24M,,,320.12M,114.36M,,114.36M,105.59M,13.15M,118.74M,1.286M,,233.10M,553.23M,,0.812M,900.93M,498.95M,28.00M,,,-18.25M,1.354B,,AOR,Restated
2008-12,,270.49M,38.40M,308.89M,,,468.93M,10.10M,69.55M,1.402M,,858.87M,0.00,177.60M,,591.77M,,135.79M,905.15M,-421.76M,483.40M,146.67M,270.74M,417.40M,105.30M,16.01M,1.022B,1.881B,,93.67M,93.67M,109.89M,203.55M,,,30.12M,30.12M,107.55M,107.55M,,,341.22M,111.37M,,111.37M,100.55M,15.55M,116.10M,1.286M,,227.47M,568.69M,,0.81M,860.10M,491.08M,28.00M,,,-12.98M,1.311B,,,Restated
2008-09,,182.26M,115.01M,297.27M,431.39M,,431.39M,11.37M,71.99M,8.542M,,820.56M,,,,,,,805.96M,-333.31M,472.66M,146.53M,269.00M,415.54M,,118.17M,1.006B,1.827B,,73.04M,73.04M,88.02M,161.06M,,,13.81M,13.81M,118.85M,118.85M,,,293.73M,159.98M,,159.98M,90.70M,,90.70M,1.286M,14.73M,265.41M,559.14M,,0.81M,788.56M,485.61M,4.44M,,,-4.04M,1.266B,,,Restated
2008-06,,291.40M,,291.40M,398.37M,,398.37M,12.74M,65.98M,10.22M,,778.70M,,,,,,,804.01M,-333.31M,470.70M,148.44M,266.13M,414.57M,,118.80M,1.004B,1.783B,,75.46M,75.46M,98.23M,173.70M,,,13.85M,13.85M,103.68M,103.68M,,,291.22M,170.82M,,170.82M,78.25M,,78.25M,1.286M,17.97M,267.05M,558.27M,,0.808M,743.54M,475.58M,,,,3.29M,1.223B,,,Restated
2008-03,,250.51M,,250.51M,388.26M,,388.26M,12.25M,69.80M,10.32M,,731.13M,,,,,,,813.18M,-333.31M,479.87M,145.35M,250.48M,395.83M,,118.43M,994.14M,1.725B,,76.73M,76.73M,87.73M,164.45M,,,14.10M,14.10M,102.96M,102.96M,,,281.52M,177.45M,,177.45M,70.18M,,70.18M,1.286M,17.79M,265.42M,546.95M,,0.805M,708.26M,465.47M,,,,2.501M,1.177B,,,Restated
2007-12,,182.91M,161.60M,344.51M,391.06M,,391.06M,10.74M,61.88M,10.37M,,818.56M,0.00,176.22M,123.80M,496.13M,,,796.15M,-333.31M,462.84M,143.92M,247.23M,391.16M,,17.40M,871.39M,1.690B,,79.81M,79.81M,95.25M,175.06M,,,14.26M,14.26M,98.80M,98.80M,,,288.12M,177.61M,,177.61M,68.74M,,68.74M,1.286M,21.78M,268.12M,556.24M,,0.801M,671.44M,451.88M,,8.311M,,8.311M,1.132B,,,
