,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2011-09,571.64M,571.64M,120.46M,451.18M,220.18M,38.06M,258.24M,72.54M,,0.075M,1.40M,4.10M,2.70M,330.78M,120.39M,4.10M,1.40M,2.70M,0.075M,2.70M,123.17M,44.33M,78.84M,,78.84M,78.79M,178.74M,54.17M,124.57M,,0.235,0.00,,,0.2349,0.235,,0.225,0.00,,,0.2249,0.225,,338.28M,348.57M,,,AOR,Restated
2011-06,524.22M,524.22M,98.48M,425.74M,210.21M,37.76M,247.98M,69.79M,,2.88M,,,,317.77M,107.97M,,,,2.88M,,110.85M,38.81M,72.04M,,72.04M,70.17M,160.50M,52.53M,107.97M,,0.215,0.00,,,0.2094,0.215,,0.21,0.00,,,0.2046,0.21,,336.60M,347.18M,,,AOR,Restated
2011-03,491.66M,491.66M,90.68M,400.98M,201.35M,34.79M,236.14M,71.14M,,0.035M,1.50M,3.476M,1.976M,307.28M,93.70M,3.476M,1.50M,1.976M,0.035M,1.976M,95.71M,31.15M,64.56M,,64.56M,64.53M,147.35M,50.14M,97.21M,,0.19,0.00,,,0.1899,0.19,,0.185,0.00,,,0.1849,0.185,,334.22M,345.31M,,,AOR,Restated
2010-12,500.20M,500.20M,94.91M,405.29M,200.21M,30.92M,231.13M,70.83M,,,1.608M,2.747M,1.139M,301.96M,103.33M,2.747M,1.608M,1.139M,0.006M,1.139M,104.49M,33.85M,70.64M,,70.64M,70.64M,158.56M,52.47M,106.10M,,0.215,,,,0.215,0.215,,0.205,,,,0.205,0.205,,331.97M,343.50M,,,AOR,Restated
2010-09,462.68M,462.68M,79.15M,383.54M,189.32M,32.97M,222.29M,67.26M,,0.005M,1.70M,1.80M,0.10M,289.54M,93.99M,1.80M,1.70M,0.10M,0.005M,0.10M,94.08M,33.21M,60.87M,,60.87M,60.87M,145.20M,49.42M,95.78M,,0.185,0.00,,,0.1850,0.185,,0.18,0.00,,,0.1800,0.18,,330.19M,341.44M,,,AOR,Restated
2010-06,456.00M,456.00M,78.21M,377.79M,190.03M,33.42M,223.45M,67.99M,,-0.495M,,,0.421M,291.44M,86.35M,,,0.421M,-0.495M,0.421M,86.28M,30.80M,55.48M,,55.48M,55.80M,133.00M,46.65M,86.35M,,0.17,0.00,,,0.1710,0.17,,0.165,0.00,,,0.1659,0.165,,329.34M,341.35M,,,AOR,Restated
2010-03,431.34M,431.34M,68.08M,363.25M,187.59M,33.22M,220.82M,66.78M,,-0.076M,,,1.783M,287.60M,75.66M,,,1.783M,-0.076M,1.783M,77.36M,27.08M,50.29M,,50.29M,50.34M,120.46M,44.80M,75.66M,,0.1525,0.00,,,0.1527,0.1525,,0.1475,0.00,,,0.1476,0.1475,,327.83M,340.42M,,,AOR,Restated
2009-12,466.32M,466.32M,79.30M,387.02M,184.24M,35.15M,219.39M,74.47M,,-0.047M,,,0.595M,293.86M,93.16M,,,0.595M,-0.047M,0.595M,93.71M,33.21M,60.50M,,60.50M,60.53M,154.31M,51.98M,102.33M,,0.185,0.00,,,0.1851,0.185,,0.18,0.00,,,0.1801,0.18,,326.70M,339.20M,,,AOR,Restated
2009-09,409.42M,409.42M,69.48M,339.94M,171.42M,31.06M,202.47M,66.75M,,-0.003M,,,0.18M,269.23M,70.71M,,,0.18M,-0.003M,0.18M,70.89M,22.49M,48.39M,,48.39M,48.40M,119.25M,48.54M,70.71M,,0.15,0.00,,,0.1500,0.15,,0.1425,0.00,,,0.1425,0.1425,,324.90M,336.69M,,,AOR,Restated
2009-06,403.81M,403.81M,66.89M,336.92M,171.63M,34.04M,205.67M,65.09M,,0.213M,,,-0.146M,270.76M,66.16M,,,-0.146M,0.213M,-0.146M,66.22M,22.48M,43.74M,,43.74M,43.60M,112.51M,46.36M,66.16M,,0.135,0.00,,,0.1346,0.135,,0.13,0.00,,,0.1296,0.13,,322.76M,334.36M,,,AOR,Restated
2009-03,392.32M,392.32M,65.53M,326.79M,173.35M,26.72M,200.08M,64.74M,,0.204M,,,-0.321M,264.81M,61.98M,,,-0.321M,0.204M,-0.321M,61.86M,21.03M,40.83M,,40.83M,40.70M,104.71M,42.73M,61.98M,,0.1275,0.00,,,0.1271,0.1275,,0.1225,0.00,,,0.1221,0.1225,,321.33M,331.43M,,,AOR,Restated
2008-12,465.74M,465.74M,87.58M,378.15M,182.76M,24.56M,207.33M,69.37M,,-0.118M,,,1.137M,276.70M,101.45M,,,1.137M,-0.118M,1.137M,102.47M,30.93M,71.54M,,71.54M,71.62M,161.28M,46.74M,114.54M,,0.2225,0.00,,,0.2228,0.2225,,0.215,0.00,,,0.2152,0.215,,321.66M,331.83M,,,,Restated
2008-09,422.73M,422.73M,72.32M,350.41M,178.75M,35.82M,214.57M,68.09M,,-0.221M,,,0.428M,282.66M,67.75M,,,0.428M,-0.221M,0.428M,67.96M,22.94M,45.01M,,45.01M,45.16M,111.03M,43.28M,67.75M,,0.14,0.00,,,0.1405,0.14,,0.135,0.00,,,0.1354,0.135,,323.13M,334.72M,,,,Restated
2008-06,402.80M,402.80M,71.79M,331.01M,182.92M,28.99M,211.90M,65.89M,,0.042M,,,0.46M,277.79M,53.22M,,,0.46M,0.042M,0.46M,53.72M,18.44M,35.29M,,35.29M,35.26M,95.04M,41.82M,53.22M,,0.11,0.00,,,0.1099,0.11,,0.105,0.00,,,0.1049,0.105,,322.47M,334.32M,,,,Restated
2008-03,384.76M,384.76M,64.37M,320.39M,171.08M,23.68M,194.76M,69.16M,,-0.213M,,,1.03M,263.92M,56.47M,,,1.03M,-0.213M,1.03M,57.28M,20.47M,36.82M,,36.82M,36.95M,95.09M,38.63M,56.47M,,0.115,0.00,,,0.1154,0.115,,0.11,0.00,,,0.1104,0.11,,321.53M,334.12M,,,,Restated
2007-12,394.50M,394.50M,68.88M,325.62M,,,194.85M,72.22M,,-0.245M,,,,267.07M,58.56M,,,,-0.245M,,59.23M,17.90M,41.33M,,41.33M,41.50M,100.44M,41.88M,58.56M,,0.13,0.00,,,0.1305,0.13,,0.125,0.00,,,0.1255,0.125,,320.97M,332.90M,,,,
2007-09,372.94M,372.94M,57.81M,315.13M,,,192.92M,68.04M,,-0.402M,,,,260.96M,54.17M,,,,-0.402M,,53.58M,22.34M,31.23M,,31.23M,31.50M,93.13M,38.96M,54.17M,,0.0975,0.00,,,0.0983,0.0975,,0.0925,0.00,,,0.0933,0.0925,,318.54M,333.53M,,,,
2007-06,386.59M,386.59M,80.96M,305.63M,,,193.73M,63.72M,,-0.415M,,,,257.45M,48.18M,,,,-0.415M,,48.19M,21.34M,26.85M,,26.85M,27.12M,85.48M,37.30M,48.18M,,0.085,0.00,,,0.0859,0.085,,0.08,0.00,,,0.0808,0.08,,316.89M,332.37M,,,,
2007-03,365.85M,365.85M,72.46M,293.39M,,,183.61M,65.82M,,-0.322M,,,,249.44M,43.95M,,,,-0.322M,,43.75M,16.17M,27.58M,,27.58M,27.78M,78.62M,34.67M,43.95M,,0.0875,0.00,,,0.0881,0.0875,,0.0825,0.00,,,0.0831,0.0825,,314.84M,330.59M,,,,
2006-12,380.79M,380.79M,88.96M,291.83M,,,176.54M,64.91M,,0.048M,,,,241.45M,50.38M,,,,0.048M,,50.92M,11.77M,39.15M,,39.15M,39.11M,86.55M,36.17M,50.38M,,0.125,0.00,,,0.1249,0.125,,0.1175,0.00,,,0.1174,0.1175,,316.89M,333.70M,,,,
2006-09,345.45M,345.45M,69.80M,275.65M,,,169.61M,62.16M,,-0.033M,,,,231.77M,43.88M,,,,-0.033M,,43.83M,17.10M,26.73M,,26.73M,26.75M,73.57M,29.70M,43.88M,,0.085,0.00,,,0.0851,0.085,,0.0825,0.00,,,0.0826,0.0825,,311.38M,327.18M,,,,
2006-06,330.57M,330.57M,64.19M,266.38M,,,165.58M,60.89M,,-0.067M,,,,226.47M,39.91M,,,,-0.067M,,39.37M,15.50M,23.87M,,23.87M,23.91M,69.40M,29.48M,39.91M,,0.0775,0.00,,,0.0776,0.0775,,0.0725,0.00,,,0.0726,0.0725,,310.10M,325.65M,,,,
2006-03,321.22M,321.22M,68.02M,253.21M,,,162.20M,59.02M,,2.125M,,,,221.21M,31.99M,,,,2.125M,,33.43M,13.28M,20.14M,,20.14M,18.86M,61.90M,29.91M,31.99M,,0.065,0.00,,,0.0609,0.065,,0.0625,0.00,,,0.0586,0.0625,,308.62M,325.62M,,,,
2005-12,325.81M,325.81M,74.37M,251.44M,,,145.61M,59.46M,,0.279M,,,,205.06M,46.38M,,,,0.279M,,45.26M,17.89M,27.37M,,27.37M,27.20M,64.12M,17.74M,46.38M,,0.0456,0.00,,,0.0453,0.0456,,0.0431,0.00,,,0.0429,0.0431,,592.86M,623.04M,,,,
2005-09,294.62M,294.62M,65.30M,229.32M,,,138.15M,53.97M,,0.31M,,,,192.12M,37.20M,,,,0.31M,,36.15M,9.593M,26.56M,,26.56M,26.33M,70.93M,33.74M,37.20M,,0.0438,0.00,,,0.0434,0.0438,,0.0419,0.00,,,0.0415,0.0419,,606.22M,638.35M,,,,
2005-06,277.82M,277.82M,59.60M,218.21M,,,135.30M,48.70M,,0.047M,,,,184.01M,34.21M,,,,0.047M,,32.89M,13.09M,19.80M,,19.80M,19.77M,65.92M,31.71M,34.21M,,0.0338,0.00,,,0.0337,0.0338,,0.0319,0.00,,,0.0318,0.0319,,594.51M,623.78M,,,,
2005-03,262.53M,262.53M,55.41M,207.13M,,,128.76M,49.33M,,-6.352M,,,,178.09M,29.04M,,,,-6.352M,,20.94M,8.421M,12.52M,,12.52M,16.33M,59.90M,30.87M,29.04M,,0.0212,0.00,,,0.0277,0.0212,,0.0206,0.00,,,0.0268,0.0206,,587.84M,612.70M,,,,
2004-12,248.17M,248.17M,54.10M,194.07M,,,113.96M,43.43M,,-0.284M,,,,157.38M,36.69M,,,,-0.284M,,35.74M,14.32M,21.43M,,21.43M,21.60M,61.62M,24.93M,36.69M,,0.0375,0.00,,,0.0378,0.0375,,0.0356,0.00,,,0.0359,0.0356,,575.20M,598.75M,,,,
2004-09,231.07M,231.07M,45.01M,186.05M,,,116.86M,42.84M,,0.052M,,,,159.70M,26.36M,,,,0.052M,,24.82M,10.04M,14.78M,,14.78M,14.75M,49.26M,22.91M,26.36M,,0.0256,0.00,,,0.0256,0.0256,,0.0244,0.00,,,0.0243,0.0244,,580.05M,602.45M,,,,
2004-06,228.39M,228.39M,50.56M,177.83M,,,109.15M,42.77M,,-0.174M,,,,151.92M,25.91M,,,,-0.174M,,23.94M,9.626M,14.31M,,14.31M,14.42M,47.58M,21.68M,25.91M,,0.025,0.00,,,0.0252,0.025,,0.0238,0.00,,,0.0239,0.0238,,576.70M,600.16M,,,,
2004-03,218.73M,218.73M,46.67M,172.05M,,,106.99M,42.55M,,3.014M,,,,149.54M,22.51M,,,,3.014M,,23.41M,9.283M,14.13M,,14.13M,12.31M,43.80M,21.29M,22.51M,,0.025,0.00,,,0.0218,0.025,,0.0238,0.00,,,0.0207,0.0238,,570.58M,595.55M,,,,
2003-12,227.41M,227.41M,47.51M,179.90M,,,110.06M,41.07M,,-0.025M,,,,151.12M,28.78M,,,,-0.025M,,26.89M,10.68M,16.21M,,16.21M,16.22M,47.94M,19.16M,28.78M,,0.0570,,,,0.0570,0.0570,,0.0570,,,,0.0570,0.0570,,284.43M,284.43M,,,,
2003-09,206.29M,206.29M,45.44M,160.86M,,,99.88M,39.26M,,0.024M,,,,139.13M,21.72M,,,,0.024M,,20.05M,7.999M,12.05M,,12.05M,12.03M,38.93M,17.21M,21.72M,,0.0212,0.00,,,0.0212,0.0212,,0.0206,0.00,,,0.0206,0.0206,,565.74M,581.84M,,,,
2003-06,207.70M,207.70M,53.10M,154.60M,,,99.80M,38.46M,,0.127M,,,,138.25M,16.35M,,,,0.127M,,14.87M,5.928M,8.943M,,8.943M,8.867M,32.92M,16.58M,16.35M,,0.0156,0.00,,,0.0155,0.0156,,0.0156,0.00,,,0.0155,0.0156,,566.32M,571.70M,,,,
2003-03,198.19M,198.19M,48.25M,149.94M,,,101.23M,37.46M,,0.016M,,,,138.69M,11.25M,,,,0.016M,,9.418M,3.825M,5.593M,,5.593M,5.583M,27.64M,16.39M,11.25M,,0.01,0.00,,,0.0100,0.01,,0.0094,0.00,,,0.0094,0.0094,,568.94M,587.36M,,,,
2002-12,205.67M,205.67M,131.38M,74.29M,,,12.45M,34.51M,,-9.012M,,,,46.96M,27.34M,,,,-9.012M,,16.91M,6.966M,9.944M,0.00,9.944M,15.35M,43.16M,15.82M,27.34M,,0.0175,0.00,0.00,,0.0270,0.0175,,0.0169,0.00,0.0000,,0.0261,0.0169,,568.29M,586.13M,,,,
2002-09,190.33M,190.33M,119.34M,70.99M,,,13.22M,33.85M,,0.033M,,,,47.07M,23.93M,,,,0.033M,,22.72M,8.948M,13.77M,,13.77M,13.75M,38.28M,14.35M,23.93M,,0.0244,0.00,,,0.0243,0.0244,,0.0231,0.00,,,0.0231,0.0231,,567.94M,590.61M,,,,
