,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermNotesReceivable,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,5.005B,,5.005B,2.197B,2.197B,1.048B,878.00M,1.018B,2.944B,,492.00M,10.64B,0.00,306.00M,1.949B,7.697B,,234.00M,,10.19B,-7.091B,3.095B,10.08B,2.68B,12.76B,2.105B,642.00M,18.60B,29.24B,,2.524B,2.524B,1.274B,3.798B,,,,179.00M,179.00M,,4.456B,10.99B,10.99B,,,,432.00M,13.25B,17.70B,,3.00M,8.757B,4.254B,1.444B,-39.00M,11.53B,,AOR,Restated
2018-03,4.963B,20.00M,4.983B,2.011B,2.011B,855.00M,764.00M,1.051B,2.67B,,500.00M,10.16B,0.00,1.927B,,7.583B,,196.00M,250.00M,9.956B,-6.945B,3.011B,10.08B,2.956B,13.04B,2.16B,634.00M,18.84B,29.00B,,2.416B,2.416B,1.015B,3.431B,195.00M,,,124.00M,124.00M,,4.259B,11.08B,11.08B,,,,944.00M,13.44B,17.70B,,3.00M,8.155B,4.277B,1.181B,46.00M,11.30B,,AOR,Restated
2017-12,6.272B,23.00M,6.295B,2.052B,2.052B,634.00M,667.00M,980.00M,2.281B,,485.00M,11.11B,0.00,1.913B,,7.494B,,175.00M,253.00M,9.835B,-6.781B,3.054B,10.08B,3.23B,13.31B,1.845B,522.00M,18.73B,29.84B,,2.171B,2.171B,1.191B,3.362B,194.00M,,,274.00M,274.00M,,4.353B,11.78B,11.78B,,,,2.438B,14.22B,18.57B,,3.00M,8.25B,4.41B,1.345B,-46.00M,11.27B,,AOR,Restated
2017-09,6.886B,35.00M,6.921B,2.101B,2.101B,650.00M,682.00M,970.00M,2.302B,,496.00M,11.82B,0.00,1.891B,,7.42B,,152.00M,262.00M,9.725B,-6.677B,3.048B,10.07B,3.545B,13.62B,1.462B,557.00M,18.68B,30.50B,,2.292B,2.292B,1.271B,3.563B,180.00M,,,258.00M,258.00M,,4.469B,12.87B,12.87B,,,,1.104B,13.98B,18.45B,,3.00M,9.229B,4.396B,1.51B,-59.00M,12.06B,,AOR,Restated
2017-06,6.354B,,6.354B,1.948B,1.948B,646.00M,632.00M,1.063B,2.341B,,413.00M,11.06B,0.00,1.855B,,7.268B,,144.00M,259.00M,9.526B,-6.493B,3.033B,10.01B,3.823B,13.84B,1.34B,594.00M,18.80B,29.86B,,2.35B,2.35B,1.255B,3.605B,,,,233.00M,233.00M,,4.344B,12.92B,12.92B,,,,1.18B,14.10B,18.44B,,3.00M,8.633B,4.506B,1.666B,-58.00M,11.42B,,AOR,Restated
2017-03,5.652B,25.00M,5.677B,1.948B,1.948B,581.00M,627.00M,1.046B,2.254B,,434.00M,10.31B,0.00,1.883B,,7.241B,,115.00M,305.00M,9.544B,-6.445B,3.099B,10.01B,4.144B,14.16B,1.291B,589.00M,19.14B,29.45B,,2.379B,2.379B,1.073B,3.452B,196.00M,,181.00M,181.00M,181.00M,,4.309B,12.91B,12.91B,,,,1.201B,14.11B,18.42B,,3.00M,8.507B,4.477B,1.86B,-96.00M,11.03B,,AOR,Restated
2016-12,4.94B,161.00M,5.101B,2.004B,2.004B,586.00M,617.00M,882.00M,2.085B,,416.00M,9.606B,0.00,1.871B,,7.29B,,119.00M,314.00M,9.594B,-6.356B,3.238B,10.00B,4.469B,14.47B,1.082B,575.00M,19.37B,28.98B,,2.187B,2.187B,1.001B,3.188B,190.00M,,129.00M,129.00M,129.00M,,4.088B,12.94B,12.94B,,,,1.211B,14.16B,18.24B,,3.00M,8.411B,4.574B,2.059B,-197.00M,10.73B,,AOR,Restated
2016-09,4.077B,248.00M,4.325B,2.023B,2.023B,610.00M,680.00M,819.00M,2.109B,,666.00M,9.123B,0.00,1.92B,,7.205B,,149.00M,313.00M,9.587B,-6.228B,3.359B,9.967B,4.791B,14.76B,1.217B,553.00M,19.89B,29.01B,,2.136B,2.136B,983.00M,3.119B,170.00M,,78.00M,78.00M,78.00M,,3.919B,13.06B,13.06B,,,,1.261B,14.32B,18.24B,,3.00M,8.329B,4.492B,2.164B,115.00M,10.78B,,AOR,Restated
2016-06,8.151B,227.00M,8.378B,1.461B,1.461B,569.00M,589.00M,971.00M,2.129B,,616.00M,12.58B,0.00,1.90B,,7.18B,,245.00M,307.00M,9.632B,-6.129B,3.503B,9.951B,5.034B,14.98B,1.171B,619.00M,20.28B,32.86B,,2.056B,2.056B,995.00M,3.051B,172.00M,,3.334B,3.334B,3.334B,,6.949B,13.66B,13.66B,,,,1.108B,14.77B,21.72B,,3.00M,8.848B,4.429B,2.238B,103.00M,11.14B,,AOR,Restated
2016-03,5.887B,146.00M,6.033B,1.254B,1.254B,132.00M,440.00M,655.00M,1.227B,,226.00M,8.74B,,,,,,,,8.778B,-6.091B,2.687B,2.766B,268.00M,3.034B,,486.00M,6.207B,14.95B,,1.571B,1.571B,579.00M,2.15B,146.00M,0.00,203.00M,203.00M,203.00M,,2.781B,2.00B,2.00B,,,,557.00M,2.557B,5.338B,,3.00M,9.363B,2.454B,2.243B,32.00M,9.609B,,AOR,Restated
2015-12,5.363B,497.00M,5.86B,1.65B,1.65B,130.00M,474.00M,634.00M,1.238B,,200.00M,8.948B,,,,,,,,8.716B,-5.915B,2.801B,2.766B,292.00M,3.058B,,659.00M,6.518B,15.47B,,1.806B,1.806B,537.00M,2.343B,144.00M,255.00M,188.00M,443.00M,443.00M,,3.245B,2.062B,2.062B,,,,602.00M,2.664B,5.909B,,3.00M,9.407B,2.421B,2.266B,-8.00M,9.557B,,AOR,Restated
2015-09,5.081B,347.00M,5.428B,1.616B,1.616B,135.00M,507.00M,618.00M,1.26B,,351.00M,8.655B,,,,,,,,8.635B,-5.745B,2.89B,2.766B,319.00M,3.085B,,631.00M,6.606B,15.26B,,1.799B,1.799B,528.00M,2.327B,141.00M,255.00M,172.00M,427.00M,427.00M,,3.231B,2.109B,2.109B,,,,585.00M,2.694B,5.925B,,3.00M,9.273B,2.407B,2.303B,-44.00M,9.336B,,AOR,Restated
2015-06,5.024B,262.00M,5.286B,1.532B,1.532B,168.00M,500.00M,700.00M,1.368B,,327.00M,8.513B,0.00,1.441B,,6.591B,,296.00M,276.00M,8.604B,-5.639B,2.965B,2.766B,332.00M,3.098B,0.00,594.00M,6.657B,15.17B,,1.881B,1.881B,470.00M,2.351B,150.00M,255.00M,152.00M,407.00M,407.00M,,3.238B,2.149B,2.149B,,,,564.00M,2.713B,5.951B,,3.00M,9.107B,2.428B,2.299B,-20.00M,9.219B,,AOR,Restated
2015-03,4.812B,228.00M,5.04B,1.696B,1.696B,173.00M,498.00M,651.00M,1.322B,,371.00M,8.429B,,,,,,,,8.52B,-5.469B,3.051B,2.745B,400.00M,3.145B,,551.00M,6.747B,15.18B,,2.02B,2.02B,503.00M,2.523B,156.00M,,,141.00M,141.00M,,3.218B,2.203B,2.203B,,,,529.00M,2.732B,5.95B,,3.00M,9.004B,2.369B,2.147B,-3.00M,9.226B,,AOR,Restated
2014-12,4.902B,241.00M,5.143B,1.88B,1.88B,154.00M,510.00M,618.00M,1.282B,,355.00M,8.66B,,,,,,,,8.353B,-5.254B,3.099B,2.566B,359.00M,2.925B,,455.00M,6.479B,15.14B,,2.071B,2.071B,496.00M,2.567B,146.00M,,,125.00M,125.00M,,3.289B,2.25B,2.25B,,,,518.00M,2.768B,6.057B,,3.00M,8.738B,2.318B,1.945B,-32.00M,9.082B,,AOR,Restated
2014-09,5.159B,222.00M,5.381B,1.915B,1.915B,178.00M,509.00M,585.00M,1.272B,,422.00M,8.99B,,,,,,,,8.244B,-5.042B,3.202B,2.559B,406.00M,2.965B,,495.00M,6.662B,15.65B,,2.016B,2.016B,1.205B,3.221B,134.00M,,,125.00M,125.00M,,3.918B,2.281B,2.281B,,,,490.00M,2.771B,6.689B,,3.00M,8.394B,2.285B,1.705B,-14.00M,8.963B,,AOR,Restated
2014-06,4.804B,284.00M,5.088B,1.989B,1.989B,168.00M,493.00M,565.00M,1.226B,,417.00M,8.72B,0.00,1.364B,,6.163B,,342.00M,254.00M,8.123B,-4.83B,3.293B,2.559B,454.00M,3.013B,,473.00M,6.779B,15.50B,,1.971B,1.971B,1.17B,3.141B,119.00M,0.00,125.00M,125.00M,125.00M,,3.845B,2.313B,2.313B,,,,499.00M,2.812B,6.657B,,3.00M,8.066B,2.331B,1.57B,12.00M,8.842B,,AOR,Restated
2014-03,4.569B,296.00M,4.865B,1.802B,1.802B,204.00M,519.00M,554.00M,1.277B,,362.00M,8.306B,,,,,,,,7.991B,-4.585B,3.406B,2.558B,539.00M,3.097B,,523.00M,7.026B,15.33B,,1.902B,1.902B,1.20B,3.102B,111.00M,,,125.00M,125.00M,,3.747B,2.344B,2.344B,,,,473.00M,2.817B,6.564B,,3.00M,7.845B,2.314B,1.39B,-4.00M,8.768B,,AOR,Restated
2013-12,4.655B,,4.655B,1.959B,1.959B,201.00M,581.00M,511.00M,1.293B,,381.00M,8.288B,,,,,,,,7.879B,-4.37B,3.509B,2.555B,607.00M,3.162B,,323.00M,6.994B,15.28B,,2.106B,2.106B,1.211B,3.317B,117.00M,,,730.00M,730.00M,,4.62B,1.61B,1.61B,,,,473.00M,2.083B,6.703B,,3.00M,7.541B,2.262B,1.178B,-49.00M,8.579B,,AOR,Restated
2013-09,4.869B,,4.869B,1.791B,1.791B,208.00M,579.00M,457.00M,1.244B,,357.00M,8.261B,,,,,,,,7.764B,-4.126B,3.638B,2.051B,616.00M,2.667B,,240.00M,6.545B,14.81B,,2.061B,2.061B,1.125B,3.186B,123.00M,,,730.00M,730.00M,,4.427B,1.668B,1.668B,,,,458.00M,2.126B,6.553B,,3.00M,7.183B,2.205B,1.119B,-19.00M,8.253B,,AOR,Restated
2013-06,4.309B,0.00,4.309B,1.793B,1.793B,167.00M,575.00M,446.00M,1.188B,,308.00M,7.598B,0.00,1.231B,,5.777B,,375.00M,233.00M,7.616B,-3.916B,3.70B,1.954B,605.00M,2.559B,,179.00M,6.438B,14.04B,,1.99B,1.99B,1.186B,3.176B,114.00M,,,230.00M,230.00M,,3.973B,1.725B,1.725B,,,,445.00M,2.17B,6.143B,,3.00M,6.749B,2.188B,1.012B,-35.00M,7.893B,,AOR,Restated
2013-03,4.06B,,4.06B,1.70B,1.70B,191.00M,583.00M,423.00M,1.197B,,383.00M,7.34B,,,,,,,,7.561B,-3.758B,3.803B,1.954B,656.00M,2.61B,,174.00M,6.587B,13.93B,,2.037B,2.037B,837.00M,2.874B,122.00M,,,230.00M,230.00M,,3.226B,1.783B,1.783B,,,,495.00M,2.278B,5.504B,,3.00M,7.073B,2.232B,905.00M,20.00M,8.423B,,AOR,Restated
2012-12,3.816B,,3.816B,1.732B,1.732B,193.00M,581.00M,430.00M,1.204B,,423.00M,7.175B,,,,,,,,7.49B,-3.552B,3.938B,1.907B,709.00M,2.616B,,200.00M,6.754B,13.93B,,2.185B,2.185B,722.00M,2.907B,131.00M,,,288.00M,288.00M,,3.326B,1.84B,1.84B,,,,516.00M,2.356B,5.682B,,3.00M,6.744B,2.224B,732.00M,8.00M,8.247B,,AOR,Restated
2012-09,3.537B,,3.537B,1.951B,1.951B,237.00M,559.00M,508.00M,1.304B,,394.00M,7.186B,,,,,,,,7.324B,-3.297B,4.027B,1.944B,746.00M,2.69B,,269.00M,6.986B,14.17B,,2.545B,2.545B,920.00M,3.465B,,,,230.00M,230.00M,,3.695B,1.898B,1.898B,,,,542.00M,2.44B,6.135B,,3.00M,6.47B,2.224B,674.00M,14.00M,8.037B,,AOR,Restated
2012-06,3.208B,,3.208B,2.364B,2.364B,245.00M,552.00M,413.00M,1.21B,,359.00M,7.141B,0.00,1.222B,,5.226B,,597.00M,128.00M,7.173B,-3.106B,4.067B,1.975B,799.00M,2.774B,,224.00M,7.065B,14.21B,,2.773B,2.773B,482.00M,3.255B,171.00M,,,230.00M,230.00M,,4.032B,1.955B,1.955B,,,,550.00M,2.505B,6.537B,,3.00M,6.012B,2.223B,554.00M,-15.00M,7.669B,,AOR,Restated
2012-03,3.377B,,3.377B,2.377B,2.377B,329.00M,667.00M,286.00M,1.282B,,409.00M,7.445B,,,,,,,,,,4.171B,1.851B,840.00M,2.691B,,203.00M,7.065B,14.51B,,2.774B,2.774B,1.031B,3.805B,,,,730.00M,730.00M,,4.535B,2.013B,2.013B,,,,546.00M,2.559B,7.094B,,3.00M,5.267B,2.15B,,-4.00M,7.416B,,AOR,Restated
2011-12,3.924B,,3.924B,747.00M,747.00M,191.00M,185.00M,90.00M,466.00M,,261.00M,5.398B,,,,,,,,,,2.091B,151.00M,63.00M,214.00M,,104.00M,2.409B,7.807B,,883.00M,883.00M,488.00M,1.371B,,,,181.00M,181.00M,,1.552B,50.00M,50.00M,,,,282.00M,332.00M,1.884B,,2.00M,4.784B,1.151B,,-14.00M,5.923B,,AOR,Restated
2011-09,3.675B,,3.675B,1.356B,1.356B,170.00M,275.00M,200.00M,645.00M,,250.00M,5.926B,,,,,,,,,,2.209B,151.00M,67.00M,218.00M,,114.00M,2.541B,8.467B,,1.708B,1.708B,483.00M,2.191B,,,,163.00M,163.00M,,2.354B,100.00M,100.00M,,,,290.00M,390.00M,2.744B,,2.00M,4.639B,1.106B,,-24.00M,5.723B,,AOR,Restated
2011-06,3.49B,,3.49B,1.206B,1.206B,172.00M,263.00M,142.00M,577.00M,,214.00M,5.487B,0.00,750.00M,,3.972B,,,115.00M,4.837B,-2.613B,2.224B,151.00M,71.00M,222.00M,,185.00M,2.631B,8.118B,,1.545B,1.545B,481.00M,2.026B,,,,144.00M,144.00M,,2.17B,150.00M,150.00M,,,,310.00M,460.00M,2.63B,,2.00M,4.40B,1.091B,,-5.00M,5.488B,,AOR,Restated
2011-03,3.23B,,3.23B,1.171B,1.171B,151.00M,260.00M,163.00M,574.00M,,178.00M,5.153B,,,,,,,,,,2.249B,151.00M,75.00M,226.00M,,211.00M,2.686B,7.839B,,1.486B,1.486B,384.00M,1.87B,,,,125.00M,125.00M,,1.995B,200.00M,200.00M,,,,328.00M,528.00M,2.523B,,2.00M,4.242B,1.064B,,8.00M,5.316B,,AOR,Restated
2010-12,3.11B,,3.11B,1.25B,1.25B,141.00M,274.00M,153.00M,568.00M,,192.00M,5.12B,,,,,,,,,,2.277B,151.00M,79.00M,230.00M,,216.00M,2.723B,7.843B,,1.628B,1.628B,397.00M,2.025B,,,,119.00M,119.00M,,2.144B,231.00M,231.00M,,,,309.00M,540.00M,2.684B,,2.00M,4.096B,1.04B,,21.00M,5.159B,,AOR,Restated
2010-09,2.858B,,2.858B,1.325B,1.325B,155.00M,266.00M,140.00M,561.00M,,217.00M,4.961B,,,,,,,,,,2.245B,150.00M,83.00M,233.00M,,216.00M,2.694B,7.655B,,1.703B,1.703B,358.00M,2.061B,,,,113.00M,113.00M,,2.174B,262.00M,262.00M,,,,308.00M,570.00M,2.744B,,2.00M,3.871B,1.038B,39.00M,39.00M,4.911B,,AOR,Restated
2010-06,2.734B,,2.734B,1.256B,1.256B,159.00M,255.00M,146.00M,560.00M,,170.00M,4.72B,0.00,675.00M,,3.479B,,,69.00M,4.223B,-2.064B,2.159B,146.00M,88.00M,234.00M,,215.00M,2.608B,7.328B,,1.507B,1.507B,410.00M,1.917B,,,,106.00M,106.00M,,2.023B,294.00M,294.00M,,,,302.00M,596.00M,2.619B,,2.00M,3.674B,1.022B,,11.00M,4.709B,,AOR,Restated
2010-03,2.826B,,2.826B,1.257B,1.257B,115.00M,254.00M,138.00M,507.00M,,188.00M,4.778B,,,,,,,,,,1.756B,139.00M,80.00M,219.00M,,247.00M,2.222B,7.00B,,1.508B,1.508B,349.00M,1.857B,,,,100.00M,100.00M,,1.957B,325.00M,325.00M,,,,287.00M,612.00M,2.569B,,2.00M,3.41B,997.00M,,22.00M,4.431B,,AOR,Restated
2009-12,2.435B,,2.435B,1.365B,1.365B,102.00M,212.00M,139.00M,453.00M,,163.00M,4.416B,,,,,,,,,,1.696B,139.00M,83.00M,222.00M,,251.00M,2.169B,6.585B,,1.507B,1.507B,406.00M,1.913B,,,,94.00M,94.00M,,2.007B,350.00M,350.00M,,,,237.00M,587.00M,2.594B,,2.00M,3.009B,976.00M,,4.00M,3.991B,,AOR,Restated
2009-09,2.056B,,2.056B,1.131B,1.131B,96.00M,173.00M,126.00M,395.00M,,168.00M,3.75B,,,,,,,,,,1.625B,139.00M,86.00M,225.00M,,249.00M,2.099B,5.849B,,1.342B,1.342B,319.00M,1.661B,,,,88.00M,88.00M,,1.749B,375.00M,375.00M,,,,202.00M,577.00M,2.326B,,2.00M,2.58B,932.00M,,9.00M,3.523B,,AOR,Restated
2009-06,1.794B,,1.794B,926.00M,926.00M,97.00M,154.00M,125.00M,376.00M,,134.00M,3.23B,0.00,522.00M,,2.60B,,,53.00M,3.175B,-1.591B,1.584B,139.00M,89.00M,228.00M,,249.00M,2.061B,5.291B,,1.101B,1.101B,342.00M,1.443B,,,,82.00M,82.00M,,1.525B,400.00M,400.00M,,,,174.00M,574.00M,2.099B,,2.00M,2.292B,896.00M,,2.00M,3.192B,,AOR,Restated
2009-03,1.579B,,1.579B,824.00M,824.00M,104.00M,152.00M,129.00M,385.00M,,134.00M,2.922B,,,,,,,,,,1.57B,138.00M,93.00M,231.00M,,269.00M,2.07B,4.992B,,1.001B,1.001B,345.00M,1.346B,,,,77.00M,77.00M,,1.423B,425.00M,425.00M,,,,152.00M,577.00M,2.00B,,2.00M,2.096B,913.00M,16.00M,-3.00M,2.992B,,AOR,Restated
2008-12,1.376B,,1.376B,926.00M,926.00M,124.00M,159.00M,163.00M,446.00M,,147.00M,2.895B,,,,,,,,2.766B,-1.146B,1.62B,116.00M,70.00M,186.00M,,270.00M,2.076B,4.971B,,1.075B,1.075B,337.00M,1.412B,,,,60.00M,60.00M,,1.472B,444.00M,444.00M,,,,134.00M,578.00M,2.05B,,2.00M,2.047B,909.00M,26.00M,-11.00M,2.921B,,,Restated
2008-09,1.213B,2.00M,1.215B,1.082B,1.082B,129.00M,168.00M,180.00M,477.00M,,174.00M,2.948B,,,,,,,,2.82B,-1.146B,1.674B,116.00M,78.00M,194.00M,,276.00M,2.144B,5.092B,,1.215B,1.215B,336.00M,1.551B,,,,45.00M,45.00M,,1.596B,462.00M,462.00M,,,,147.00M,609.00M,2.205B,,2.00M,2.033B,920.00M,54.00M,-14.00M,2.887B,,,
2008-06,1.104B,,1.104B,1.01B,1.01B,144.00M,145.00M,167.00M,456.00M,,161.00M,2.731B,0.00,534.00M,,2.234B,46.00M,,,2.814B,-1.146B,1.668B,116.00M,81.00M,197.00M,,279.00M,2.144B,4.875B,,1.181B,1.181B,356.00M,1.537B,,,,27.00M,27.00M,,1.564B,482.00M,482.00M,,,,133.00M,615.00M,2.179B,,2.00M,1.822B,906.00M,22.00M,,2.696B,,,Restated
2008-03,917.00M,32.00M,949.00M,1.014B,1.014B,153.00M,131.00M,171.00M,455.00M,,211.00M,2.629B,,,,,,,,2.305B,-776.00M,1.529B,187.00M,,187.00M,,198.00M,1.914B,4.543B,,1.144B,1.144B,311.00M,1.455B,,,,11.00M,11.00M,28.00M,1.494B,503.00M,503.00M,,,,129.00M,632.00M,2.126B,,2.00M,1.609B,821.00M,58.00M,43.00M,2.417B,,,
2007-12,917.00M,50.00M,967.00M,1.086B,1.086B,171.00M,131.00M,157.00M,459.00M,,141.00M,2.653B,,,,,,,,2.336B,-776.00M,1.56B,174.00M,,174.00M,,213.00M,1.947B,4.60B,,1.216B,1.216B,314.00M,1.53B,,,,771.00M,771.00M,51.00M,2.352B,4.00M,4.00M,,,,117.00M,121.00M,2.473B,,2.00M,1.329B,818.00M,27.00M,5.00M,2.127B,,,
2007-09,651.00M,200.00M,851.00M,985.00M,985.00M,165.00M,145.00M,151.00M,461.00M,,150.00M,2.447B,,,,,,,,2.292B,-776.00M,1.516B,187.00M,,187.00M,,224.00M,1.927B,4.374B,,1.106B,1.106B,287.00M,1.393B,,,,1.011B,1.011B,59.00M,2.463B,7.00M,7.00M,,,,117.00M,124.00M,2.587B,,2.00M,1.023B,811.00M,51.00M,2.00M,1.787B,,,
2007-06,700.00M,207.00M,907.00M,697.00M,697.00M,12.00M,94.00M,153.00M,259.00M,,166.00M,2.029B,0.00,189.00M,53.00M,1.275B,,,,1.517B,-776.00M,741.00M,,,,,131.00M,872.00M,2.901B,,882.00M,882.00M,236.00M,1.118B,,,,12.00M,12.00M,,1.13B,10.00M,10.00M,,,,45.00M,55.00M,1.185B,,2.00M,955.00M,811.00M,51.00M,-1.00M,1.716B,,,
