,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2014-06,3.651B,3.651B,2.622B,1.029B,,254.00M,426.00M,36.00M,3.00M,12.00M,5.00M,-7.00M,680.00M,349.00M,5.00M,12.00M,-7.00M,5.00M,-7.00M,347.00M,30.00M,317.00M,,,,317.00M,314.26M,667.00M,308.00M,359.00M,,1.35,,,,1.338,1.35,,1.32,,,,1.309,1.32,,232.00M,242.00M,0.40,,AOR,Restated
2014-03,3.703B,3.703B,2.627B,1.076B,,201.00M,418.00M,17.00M,-38.00M,17.00M,4.00M,-13.00M,619.00M,457.00M,4.00M,17.00M,-13.00M,-38.00M,-13.00M,406.00M,31.00M,375.00M,,,,375.00M,410.10M,730.00M,307.00M,423.00M,,1.60,,,,1.749,1.60,,1.55,,,,1.695,1.55,,235.00M,242.00M,0.30,,AOR,Restated
2013-12,3.972B,3.972B,2.816B,1.156B,,226.00M,416.00M,,-36.00M,14.00M,3.00M,-11.00M,642.00M,514.00M,3.00M,14.00M,-11.00M,-36.00M,-11.00M,467.00M,37.00M,430.00M,,,,430.00M,463.15M,798.00M,317.00M,481.00M,,1.82,,,,1.960,1.82,,1.77,,,,1.906,1.77,,236.00M,243.00M,0.30,,AOR,Restated
2013-09,3.804B,3.804B,2.705B,1.099B,,132.00M,401.00M,,-24.00M,13.00M,3.00M,-10.00M,533.00M,566.00M,3.00M,13.00M,-10.00M,-24.00M,-10.00M,532.00M,37.00M,495.00M,,,,495.00M,517.33M,857.00M,312.00M,545.00M,,2.10,,,,2.195,2.10,,2.05,,,,2.142,2.05,,236.00M,242.00M,0.25,,AOR,Restated
2013-06,3.728B,3.728B,2.678B,1.05B,,180.00M,402.00M,,-689.00M,12.00M,3.00M,-9.00M,582.00M,468.00M,3.00M,12.00M,-9.00M,-689.00M,-9.00M,-230.00M,35.00M,-265.00M,,,,-265.00M,182.85M,84.00M,302.00M,-218.00M,,-1.12,,,,0.7617,-1.12,,-1.12,,,,0.7460,-1.12,,238.00M,240.00M,0.25,,AOR,Restated
2013-03,3.764B,3.764B,2.703B,1.061B,,185.00M,396.00M,9.00M,-63.00M,14.00M,3.00M,-11.00M,581.00M,480.00M,3.00M,14.00M,-11.00M,-63.00M,-11.00M,406.00M,15.00M,391.00M,,,,391.00M,451.67M,729.00M,309.00M,420.00M,,1.64,,,,1.894,1.64,,1.60,,,,1.848,1.60,,239.00M,245.00M,0.25,,AOR,Restated
2012-12,3.824B,3.824B,2.765B,1.059B,,162.00M,378.00M,12.00M,-41.00M,13.00M,3.00M,-10.00M,540.00M,519.00M,3.00M,13.00M,-10.00M,-41.00M,-10.00M,468.00M,133.00M,335.00M,,,,335.00M,364.35M,790.00M,309.00M,481.00M,,1.38,,,,1.501,1.38,,1.36,,,,1.479,1.36,,242.00M,246.00M,0.25,,AOR,Restated
2012-09,4.035B,4.035B,2.842B,1.193B,,179.00M,396.00M,,-26.00M,16.00M,2.00M,-14.00M,575.00M,618.00M,2.00M,16.00M,-14.00M,-26.00M,-14.00M,578.00M,59.00M,519.00M,,,,519.00M,542.35M,907.00M,313.00M,594.00M,,2.11,,,,2.205,2.11,,2.06,,,,2.153,2.06,,246.00M,252.00M,0.25,,AOR,Restated
2012-06,4.754B,4.754B,3.282B,1.472B,,178.00M,406.00M,,-80.00M,9.00M,3.00M,-6.00M,584.00M,888.00M,3.00M,9.00M,-6.00M,-80.00M,-6.00M,802.00M,57.00M,745.00M,,,,745.00M,819.31M,1.15B,339.00M,811.00M,,3.02,,,,3.310,3.02,,2.97,,,,3.256,2.97,,256.00M,260.00M,,,AOR,Restated
2012-03,3.035B,3.035B,2.058B,977.00M,,155.00M,265.00M,,-15.00M,7.00M,3.00M,-4.00M,420.00M,557.00M,3.00M,7.00M,-4.00M,-15.00M,-4.00M,538.00M,55.00M,483.00M,,,,483.00M,496.47M,733.00M,188.00M,545.00M,,2.00,,,,2.056,2.00,,1.96,,,,2.015,1.96,,241.00M,246.00M,,,AOR,Restated
