,NetIncome,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-06,756.00M,,5.00M,489.00M,489.00M,-12.00M,78.00M,9.00M,-186.00M,-274.00M,,75.00M,,,-77.00M,-462.00M,,863.00M,,-192.00M,2.00M,-190.00M,-1.00M,-23.00M,-35.00M,-249.00M,,463.00M,-500.00M,-37.00M,,-436.00M,-436.00M,-150.00M,-150.00M,74.00M,-14.00M,-563.00M,,4.963B,51.00M,-9.00M,5.005B,,,2.456B,-2.493B,-436.00M,43.00M,75.00M,,AOR,Restated
2018-03,61.00M,,724.00M,499.00M,499.00M,-207.00M,103.00M,170.00M,41.00M,-389.00M,,83.00M,,,-58.00M,-323.00M,,1.027B,,-227.00M,14.00M,-213.00M,0.00,12.00M,-198.00M,-399.00M,,-2.046B,500.00M,-1.546B,,-155.00M,-155.00M,-148.00M,-148.00M,47.00M,-144.00M,-1.946B,,6.272B,-1.318B,9.00M,4.963B,,,8.921B,-10.47B,-155.00M,37.00M,325.00M,,AOR,Restated
2017-12,-823.00M,,11.00M,535.00M,535.00M,-165.00M,99.00M,18.00M,49.00M,21.00M,,-175.00M,,,1.612B,1.507B,,1.182B,,-256.00M,5.00M,-251.00M,-6.00M,6.00M,-378.00M,-629.00M,,-1.089B,0.00,-1.089B,,0.00,0.00,-148.00M,-148.00M,79.00M,-9.00M,-1.167B,,6.886B,-614.00M,0.00,6.272B,,,2.963B,-4.052B,0.00,67.00M,237.00M,,AOR,Restated
2017-09,681.00M,,1.00M,533.00M,533.00M,36.00M,97.00M,21.00M,-148.00M,44.00M,,38.00M,,,-170.00M,-236.00M,,1.133B,,-160.00M,5.00M,-155.00M,-93.00M,1.00M,-131.00M,-378.00M,,-62.00M,,-62.00M,,0.00,0.00,-147.00M,-147.00M,20.00M,-35.00M,-224.00M,,6.354B,531.00M,1.00M,6.886B,,,,-62.00M,0.00,73.00M,71.00M,,AOR,Restated
2017-06,280.00M,,5.00M,546.00M,546.00M,-49.00M,91.00M,46.00M,2.00M,-87.00M,,-12.00M,,,117.00M,20.00M,,939.00M,,-125.00M,0.00,-125.00M,0.00,-12.00M,-53.00M,-190.00M,,-10.00M,0.00,-10.00M,,0.00,0.00,-146.00M,-146.00M,112.00M,-5.00M,-49.00M,,5.652B,700.00M,2.00M,6.354B,,,0.00,-10.00M,0.00,67.00M,323.00M,,AOR,Restated
2017-03,248.00M,,3.00M,560.00M,560.00M,-56.00M,102.00M,33.00M,51.00M,-169.00M,,259.00M,,,-33.00M,108.00M,,998.00M,,-123.00M,20.00M,-103.00M,0.00,127.00M,-154.00M,-130.00M,,-9.00M,0.00,-9.00M,,0.00,0.00,-144.00M,-144.00M,33.00M,-40.00M,-160.00M,,4.94B,708.00M,4.00M,5.652B,,,3.916B,-3.925B,0.00,74.00M,155.00M,,AOR,Restated
2016-12,235.00M,,6.00M,514.00M,514.00M,-30.00M,102.00M,65.00M,22.00M,24.00M,,-3.00M,,,125.00M,168.00M,,1.06B,,-146.00M,0.00,-146.00M,0.00,75.00M,-43.00M,-114.00M,,-12.00M,,-12.00M,,,,-142.00M,-142.00M,66.00M,14.00M,-74.00M,,4.077B,872.00M,-9.00M,4.94B,,,0.00,-12.00M,,25.00M,206.00M,,AOR,Restated
2016-09,-366.00M,,9.00M,508.00M,508.00M,147.00M,99.00M,248.00M,-562.00M,28.00M,,248.00M,,,81.00M,-205.00M,,440.00M,,-184.00M,1.00M,-183.00M,-20.00M,8.00M,-7.00M,-202.00M,,-4.25B,,-4.25B,,,,-142.00M,-142.00M,24.00M,56.00M,-4.312B,,8.151B,-4.074B,0.00,4.077B,,,3.992B,-8.242B,,18.00M,93.00M,,AOR,Restated
2016-06,-366.00M,,67.00M,420.00M,420.00M,-132.00M,70.00M,52.00M,188.00M,168.00M,,-148.00M,,,36.00M,244.00M,,355.00M,,-151.00M,,-151.00M,-9.835B,479.00M,,-9.597B,,12.55B,,12.29B,,0.00,0.00,-117.00M,-117.00M,53.00M,-724.00M,11.50B,,5.887B,2.263B,1.00M,8.151B,,,17.11B,-4.815B,0.00,-12.00M,80.00M,,AOR,Restated
2016-03,74.00M,,7.00M,246.00M,246.00M,-32.00M,42.00M,19.00M,396.00M,11.00M,,-141.00M,,,-137.00M,129.00M,,485.00M,,-133.00M,0.00,-133.00M,0.00,576.00M,,443.00M,,-301.00M,,-301.00M,,0.00,0.00,-116.00M,-116.00M,10.00M,3.00M,-404.00M,,5.363B,524.00M,0.00,5.887B,,,0.00,-301.00M,0.00,17.00M,11.00M,,AOR,Restated
2015-12,251.00M,,6.00M,252.00M,252.00M,22.00M,37.00M,1.00M,-34.00M,22.00M,,30.00M,,,11.00M,29.00M,,598.00M,,-149.00M,0.00,-149.00M,0.00,-32.00M,,-181.00M,,-32.00M,,-32.00M,,0.00,0.00,-116.00M,-116.00M,39.00M,-26.00M,-135.00M,,5.081B,282.00M,0.00,5.363B,,,0.00,-32.00M,0.00,13.00M,11.00M,,AOR,Restated
2015-09,283.00M,,,236.00M,236.00M,-7.00M,42.00M,19.00M,-84.00M,105.00M,,-53.00M,,,4.00M,-28.00M,,545.00M,,-151.00M,0.00,-151.00M,0.00,-122.00M,,-273.00M,,-31.00M,,-31.00M,,-60.00M,-60.00M,-115.00M,-115.00M,15.00M,-24.00M,-215.00M,,5.024B,57.00M,,5.081B,,,0.00,-31.00M,-60.00M,8.00M,11.00M,,AOR,Restated
2015-06,220.00M,,3.00M,250.00M,250.00M,19.00M,45.00M,74.00M,164.00M,-47.00M,,-204.00M,,,-36.00M,-123.00M,,488.00M,,-156.00M,-7.00M,-163.00M,-10.00M,-62.00M,-6.00M,-241.00M,,224.00M,0.00,224.00M,,-198.00M,-198.00M,-116.00M,-116.00M,66.00M,-11.00M,-35.00M,,4.812B,212.00M,,5.024B,,,,-31.00M,-198.00M,8.00M,12.00M,,AOR,Restated
2015-03,384.00M,,2.00M,285.00M,285.00M,-22.00M,37.00M,-7.00M,185.00M,-40.00M,,-73.00M,,,-67.00M,5.00M,,684.00M,,-150.00M,0.00,-150.00M,-241.00M,-57.00M,-10.00M,-458.00M,,-31.00M,0.00,-31.00M,,-240.00M,-240.00M,-93.00M,-93.00M,34.00M,14.00M,-316.00M,,4.902B,-90.00M,,4.812B,,,,-31.00M,-240.00M,39.00M,10.00M,,AOR,Restated
2014-12,438.00M,,8.00M,290.00M,290.00M,21.00M,41.00M,-19.00M,35.00M,-10.00M,,-673.00M,,,112.00M,-536.00M,,243.00M,,-146.00M,7.00M,-139.00M,-6.00M,-11.00M,28.00M,-128.00M,,-32.00M,,-32.00M,,-309.00M,-309.00M,-93.00M,-93.00M,73.00M,-11.00M,-372.00M,,5.159B,-257.00M,,4.902B,,,,-32.00M,-309.00M,-10.00M,11.00M,,AOR,Restated
2014-09,423.00M,,4.00M,289.00M,289.00M,10.00M,39.00M,1.00M,74.00M,-46.00M,,79.00M,,,-46.00M,61.00M,,827.00M,,-160.00M,,-160.00M,,46.00M,-12.00M,-126.00M,,-31.00M,,-31.00M,,-223.00M,-223.00M,-94.00M,-94.00M,39.00M,-37.00M,-346.00M,,4.804B,355.00M,,5.159B,,,,-31.00M,-223.00M,10.00M,12.00M,,AOR,Restated
2014-06,317.00M,,7.00M,308.00M,308.00M,53.00M,31.00M,41.00M,-187.00M,51.00M,,57.00M,,,34.00M,-45.00M,,712.00M,,-161.00M,,-161.00M,0.00,-15.00M,-4.00M,-180.00M,,-31.00M,,-31.00M,,-272.00M,-272.00M,-70.00M,-70.00M,62.00M,14.00M,-297.00M,,4.569B,235.00M,,4.804B,,,0.00,-31.00M,-272.00M,3.00M,11.00M,,AOR,Restated
2014-03,375.00M,,4.00M,307.00M,307.00M,-27.00M,41.00M,21.00M,157.00M,15.00M,,-169.00M,,,-26.00M,-23.00M,,698.00M,,-161.00M,0.00,-161.00M,0.00,-470.00M,0.00,-631.00M,,121.00M,,121.00M,,-244.00M,-244.00M,-71.00M,-71.00M,28.00M,13.00M,-153.00M,,4.655B,-86.00M,,4.569B,,,2.492B,-2.371B,-244.00M,16.00M,11.00M,,AOR,Restated
2013-12,430.00M,,29.00M,317.00M,317.00M,-29.00M,42.00M,2.00M,-170.00M,-45.00M,,93.00M,,,57.00M,-65.00M,,726.00M,,-170.00M,0.00,-170.00M,-560.00M,0.00,-35.00M,-765.00M,,-57.00M,,-57.00M,,-150.00M,-150.00M,-59.00M,-59.00M,75.00M,16.00M,-175.00M,,4.869B,-214.00M,,4.655B,,,0.00,-57.00M,-150.00M,59.00M,13.00M,,AOR,Restated
2013-09,495.00M,,,312.00M,312.00M,-10.00M,42.00M,-58.00M,25.00M,-21.00M,,-17.00M,,,-88.00M,-101.00M,,680.00M,,-136.00M,,-136.00M,-263.00M,0.00,39.00M,-360.00M,,442.00M,,442.00M,,-150.00M,-150.00M,-59.00M,-59.00M,22.00M,-15.00M,240.00M,,4.309B,560.00M,,4.869B,,,500.00M,-58.00M,-150.00M,63.00M,11.00M,,AOR,Restated
2013-06,-265.00M,,,302.00M,302.00M,-24.00M,30.00M,3.00M,-81.00M,9.00M,,602.00M,,,108.00M,638.00M,,684.00M,,-136.00M,,-136.00M,0.00,-17.00M,17.00M,-136.00M,,-57.00M,,-57.00M,,-235.00M,-235.00M,-60.00M,-60.00M,62.00M,-9.00M,-299.00M,,4.06B,249.00M,,4.309B,,,0.00,-57.00M,-235.00M,24.00M,33.00M,,AOR,Restated
2013-03,391.00M,,,309.00M,309.00M,-9.00M,36.00M,1.00M,32.00M,6.00M,,-17.00M,,,-22.00M,-1.00M,,727.00M,,-188.00M,,-188.00M,26.00M,0.00,-2.00M,-164.00M,,-115.00M,,-115.00M,,-243.00M,-243.00M,0.00,0.00,37.00M,2.00M,-319.00M,,3.816B,244.00M,,4.06B,,,0.00,-115.00M,-243.00M,27.00M,-5.00M,,AOR,Restated
2012-12,335.00M,,,309.00M,309.00M,80.00M,32.00M,-24.00M,220.00M,101.00M,,-398.00M,,,78.00M,1.00M,,772.00M,,-246.00M,,-246.00M,-18.00M,,-15.00M,-279.00M,,0.00,0.00,0.00,,-146.00M,-146.00M,-121.00M,-121.00M,51.00M,2.00M,-214.00M,,3.537B,279.00M,,3.816B,,,0.00,0.00,-146.00M,58.00M,8.00M,,AOR,Restated
2012-09,519.00M,,,313.00M,313.00M,-12.00M,39.00M,39.00M,413.00M,-94.00M,,-139.00M,,,-103.00M,77.00M,,936.00M,,-382.00M,,-382.00M,-9.00M,,,-391.00M,,-58.00M,,-58.00M,,-218.00M,-218.00M,0.00,0.00,35.00M,25.00M,-216.00M,,3.208B,329.00M,,3.537B,,,0.00,-58.00M,-218.00M,37.00M,13.00M,,AOR,Restated
2012-06,745.00M,,,339.00M,339.00M,-8.00M,31.00M,61.00M,40.00M,71.00M,,-378.00M,,,228.00M,-39.00M,,1.129B,,-324.00M,,-248.00M,15.00M,0.00,,-233.00M,,-558.00M,,-558.00M,,-604.00M,-604.00M,0.00,0.00,33.00M,59.00M,-1.07B,,3.377B,-174.00M,5.00M,3.208B,,,0.00,-558.00M,-604.00M,6.00M,15.00M,,AOR,Restated
2012-03,483.00M,,,188.00M,188.00M,24.00M,20.00M,10.00M,-337.00M,-94.00M,,877.00M,,,37.00M,483.00M,,1.208B,,-140.00M,,-140.00M,-3.541B,0.00,,-3.681B,,1.903B,,1.903B,,0.00,0.00,0.00,0.00,18.00M,11.00M,1.932B,,3.924B,-541.00M,-6.00M,3.377B,,,2.775B,-872.00M,0.00,2.00M,6.00M,,AOR,Restated
2011-12,145.00M,,,140.00M,140.00M,9.00M,24.00M,92.00M,609.00M,179.00M,,-817.00M,,,-20.00M,-49.00M,,378.00M,,-119.00M,,-119.00M,0.00,0.00,,-119.00M,,-32.00M,,-32.00M,-2.00M,0.00,-2.00M,0.00,0.00,23.00M,1.00M,-10.00M,,3.675B,249.00M,,3.924B,,-2.00M,,-32.00M,0.00,6.00M,0.00,,AOR,Restated
2011-09,239.00M,,,158.00M,158.00M,9.00M,17.00M,17.00M,-150.00M,-68.00M,,140.00M,,,7.00M,-71.00M,,352.00M,,-134.00M,,-134.00M,0.00,,,-134.00M,,-31.00M,,-31.00M,2.00M,0.00,2.00M,,,,-4.00M,-33.00M,,3.49B,185.00M,,3.675B,,2.00M,,-31.00M,0.00,2.00M,1.00M,,AOR,Restated
2011-06,,,,150.00M,150.00M,16.00M,15.00M,-499.00M,-36.00M,-3.00M,,159.00M,,,-12.00M,108.00M,,447.00M,,-153.00M,,-153.00M,-15.00M,,,-168.00M,,-31.00M,,-31.00M,-35.00M,0.00,-35.00M,,,,-11.00M,-19.00M,,3.23B,260.00M,0.00,3.49B,,-35.00M,0.00,-31.00M,0.00,0.00,2.00M,,AOR,Restated
2011-03,,,,151.00M,151.00M,3.00M,17.00M,146.00M,79.00M,-6.00M,,-99.00M,,,22.00M,-4.00M,,313.00M,,-175.00M,,-175.00M,0.00,,,-175.00M,,-25.00M,,-25.00M,11.00M,0.00,11.00M,,,,-4.00M,-18.00M,,3.11B,120.00M,0.00,3.23B,,11.00M,0.00,-25.00M,0.00,4.00M,1.00M,,AOR,Restated
2010-12,,,,151.00M,151.00M,1.00M,18.00M,225.00M,75.00M,-7.00M,,34.00M,,,8.00M,110.00M,,505.00M,,-250.00M,,-250.00M,,,,-250.00M,,-25.00M,,-25.00M,22.00M,0.00,22.00M,,,,0.00,-3.00M,,2.858B,252.00M,,3.11B,,22.00M,,-25.00M,0.00,4.00M,2.00M,,AOR,Restated
2010-09,,,,150.00M,150.00M,0.00,19.00M,197.00M,-68.00M,-1.00M,,110.00M,,,-17.00M,24.00M,,390.00M,,-200.00M,,-200.00M,,,,-200.00M,,-25.00M,,-25.00M,2.00M,-50.00M,-48.00M,,,,7.00M,-66.00M,,2.734B,124.00M,,2.858B,,2.00M,,-25.00M,-50.00M,2.00M,1.00M,,AOR,Restated
2010-06,-1.118B,,,134.00M,134.00M,29.00M,17.00M,1.339B,1.00M,-17.00M,,-102.00M,,,37.00M,-81.00M,,363.00M,,-185.00M,,-185.00M,,0.00,,-438.00M,,-25.00M,,-25.00M,25.00M,0.00,25.00M,,,,-17.00M,-17.00M,,2.826B,-92.00M,,2.734B,,25.00M,,-25.00M,0.00,1.00M,2.00M,,AOR,Restated
2010-03,401.00M,,,129.00M,129.00M,3.00M,16.00M,16.00M,108.00M,-54.00M,,-46.00M,,,31.00M,39.00M,,588.00M,,-177.00M,,-177.00M,,1.00M,,-176.00M,,-19.00M,,-19.00M,7.00M,0.00,7.00M,,,,-9.00M,-21.00M,,2.435B,391.00M,,2.826B,,7.00M,,-19.00M,0.00,4.00M,4.00M,,AOR,Restated
2009-12,429.00M,,,126.00M,126.00M,-5.00M,14.00M,14.00M,-234.00M,-58.00M,,250.00M,,,35.00M,-7.00M,,557.00M,,-199.00M,,-199.00M,,3.00M,,-196.00M,,-19.00M,,-19.00M,32.00M,0.00,32.00M,,,,5.00M,18.00M,,2.056B,379.00M,,2.435B,,32.00M,,-19.00M,0.00,2.00M,0.00,,AOR,Restated
2009-09,288.00M,,,121.00M,121.00M,,13.00M,13.00M,-205.00M,-19.00M,,235.00M,,,1.00M,12.00M,,434.00M,,-176.00M,,-176.00M,,,,-176.00M,,-19.00M,,-19.00M,15.00M,,15.00M,,,,8.00M,4.00M,,1.794B,262.00M,,2.056B,,15.00M,,-19.00M,,,2.00M,,AOR,Restated
2009-06,196.00M,0.00,14.00M,121.00M,121.00M,31.00M,14.00M,-32.00M,-98.00M,9.00M,,82.00M,,,12.00M,5.00M,,349.00M,,-111.00M,,-82.00M,-19.00M,1.00M,,-100.00M,,-20.00M,,-20.00M,15.00M,0.00,15.00M,,,,-29.00M,-34.00M,,1.579B,215.00M,,1.794B,,15.00M,,-20.00M,0.00,1.00M,2.00M,,AOR,Restated
2009-03,49.00M,1.00M,1.00M,119.00M,119.00M,0.00,12.00M,15.00M,106.00M,69.00M,,-40.00M,,,24.00M,159.00M,,355.00M,,-106.00M,,-106.00M,-44.00M,0.00,,-150.00M,,-2.00M,,-2.00M,1.00M,0.00,1.00M,,,,-1.00M,-2.00M,,1.376B,203.00M,,1.579B,,1.00M,,-2.00M,0.00,3.00M,8.00M,,AOR,Restated
2008-12,14.00M,9.00M,6.00M,122.00M,122.00M,-7.00M,21.00M,70.00M,156.00M,31.00M,,-128.00M,,-16.00M,31.00M,74.00M,,300.00M,,-140.00M,,-140.00M,,0.00,,-140.00M,,-5.00M,,-3.00M,11.00M,0.00,11.00M,,,,-5.00M,3.00M,,1.213B,163.00M,,1.376B,,11.00M,,-5.00M,0.00,7.00M,4.00M,,,Restated
2008-09,211.00M,,3.00M,117.00M,117.00M,,,10.00M,-72.00M,-21.00M,,76.00M,,16.00M,-39.00M,-40.00M,,301.00M,,-162.00M,,-162.00M,,1.00M,,-161.00M,,,,-2.00M,1.00M,-36.00M,-35.00M,,,,6.00M,-31.00M,,1.104B,109.00M,,1.213B,,1.00M,,,-36.00M,,,,,
2008-06,213.00M,,-48.00M,113.00M,113.00M,-78.00M,,22.00M,4.00M,0.00,13.00M,-29.00M,-54.00M,-19.00M,,-29.00M,,230.00M,,-146.00M,,-146.00M,-2.00M,-1.00M,,-149.00M,,,,-5.00M,27.00M,0.00,27.00M,,,,,106.00M,,917.00M,187.00M,,1.104B,,27.00M,,,0.00,,,,,Restated
2008-03,280.00M,,4.00M,111.00M,111.00M,14.00M,,10.00M,72.00M,3.00M,-22.00M,-21.00M,0.00,-20.00M,,12.00M,,431.00M,,-137.00M,,-137.00M,-10.00M,15.00M,,-132.00M,,,,-261.00M,6.00M,-44.00M,-38.00M,,,,,-299.00M,,917.00M,0.00,,917.00M,,6.00M,,,-44.00M,,,,,
2007-12,305.00M,,8.00M,111.00M,111.00M,2.00M,,9.00M,-97.00M,2.00M,-2.00M,130.00M,24.00M,27.00M,,84.00M,,519.00M,,-169.00M,,-169.00M,-4.00M,142.00M,,-31.00M,,,,-244.00M,22.00M,0.00,22.00M,,,,,-222.00M,,651.00M,266.00M,,917.00M,,22.00M,,,0.00,,,,,
2007-09,69.00M,,49.00M,78.00M,78.00M,60.00M,,8.00M,-173.00M,3.00M,11.00M,72.00M,30.00M,12.00M,,-45.00M,,219.00M,,-163.00M,,-163.00M,-911.00M,65.00M,,-1.009B,,,,747.00M,10.00M,-16.00M,-6.00M,,,,,741.00M,,700.00M,-49.00M,,651.00M,,10.00M,,,-16.00M,,,,,
2007-06,212.00M,,,61.00M,61.00M,-129.00M,,14.00M,11.00M,-15.00M,-2.00M,-13.00M,10.00M,5.00M,,-4.00M,,154.00M,,-86.00M,,-86.00M,,-36.00M,,-122.00M,,,,-5.00M,13.00M,-44.00M,-31.00M,,,,,-36.00M,,704.00M,-4.00M,,700.00M,,13.00M,,,-44.00M,,,,,
2007-03,121.00M,,,55.00M,55.00M,3.00M,,13.00M,-41.00M,22.00M,1.00M,16.00M,-12.00M,-14.00M,,-28.00M,,164.00M,,-69.00M,,-69.00M,,-17.00M,,-86.00M,,,,-22.00M,1.00M,-29.00M,-28.00M,,,,,-50.00M,,676.00M,28.00M,,704.00M,,1.00M,,,-29.00M,,,,,
2006-12,128.00M,,,49.00M,49.00M,,,12.00M,-56.00M,-49.00M,-1.00M,75.00M,2.00M,12.00M,,-17.00M,,172.00M,,-97.00M,,-97.00M,,-6.00M,,-103.00M,,,,-10.00M,14.00M,,14.00M,,,,,4.00M,,603.00M,73.00M,,676.00M,,14.00M,,,,,,,,
2006-09,103.00M,,,45.00M,45.00M,,,9.00M,-132.00M,-11.00M,,118.00M,,-4.00M,,-29.00M,,128.00M,,-72.00M,,-72.00M,,0.00,,-72.00M,,,,-6.00M,2.00M,,2.00M,,,,,-4.00M,,551.00M,52.00M,,603.00M,,2.00M,,,,,,,,
2006-06,120.00M,,,44.00M,44.00M,,,12.00M,2.00M,-27.00M,0.00,8.00M,60.00M,-96.00M,,-53.00M,,101.00M,,-70.00M,,-70.00M,,-17.00M,,-87.00M,,,,-6.00M,10.00M,-10.00M,0.00,,,,,-6.00M,,543.00M,8.00M,,551.00M,,10.00M,,,-10.00M,,,,,
2006-03,102.00M,,-23.00M,42.00M,42.00M,,,30.00M,-54.00M,-10.00M,4.00M,2.00M,2.00M,6.00M,,-50.00M,,101.00M,,-86.00M,,-86.00M,,-37.00M,,-123.00M,,,,-6.00M,39.00M,-18.00M,21.00M,,,,,15.00M,,550.00M,-7.00M,,543.00M,,39.00M,,,-18.00M,,,,,
2005-12,104.00M,,23.00M,38.00M,38.00M,,,-7.00M,42.00M,5.00M,-2.00M,-59.00M,-62.00M,44.00M,,-32.00M,,126.00M,,-62.00M,,-62.00M,,-19.00M,,-81.00M,,,,-6.00M,16.00M,-12.00M,4.00M,,,,1.00M,-1.00M,,506.00M,44.00M,,550.00M,,16.00M,,,-12.00M,,,,,
2005-09,69.00M,,,36.00M,36.00M,,,7.00M,-67.00M,-20.00M,-3.00M,79.00M,,-61.00M,,-72.00M,,40.00M,,-50.00M,,-50.00M,,38.00M,,-12.00M,,,,-5.00M,13.00M,-14.00M,-1.00M,,,,-1.00M,-7.00M,,485.00M,21.00M,,506.00M,,13.00M,,,-14.00M,,,,,
