,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,16.53B,17.94B,22.13B,40.07B,67.07B,,,67.07B,4.71B,7.661B,12.37B,,3.756B,123.26B,,,,,,,,,36.12B,,,,31.54B,57.12B,10.64B,8.546B,,2018-03,25.48B,,,25.48B,924.00M,26.40B,,,,52.98B,52.98B,,52.98B,2.336B,2.336B,16.22B,99.88B,,105.35B,,3.895B,4.517B,,16.89B,36.00M,130.92B,230.79B,,2018-03,41.00M,22.53B,21.84B,1.342B,,-6.669B,36.40B,,2018-03,AOR,Restated
2017-12,16.06B,18.49B,20.44B,38.93B,62.81B,,,62.81B,4.397B,6.779B,11.18B,,3.889B,116.80B,0.00,411.00M,11.10B,51.07B,,2.608B,65.19B,-29.86B,35.33B,75.00M,213.00M,288.00M,31.32B,56.18B,10.76B,7.816B,,2017-12,23.28B,,,23.28B,1.057B,24.34B,,,,51.62B,51.62B,,51.62B,2.107B,2.107B,14.30B,94.60B,,102.67B,,3.829B,4.644B,,16.89B,28.00M,128.29B,222.89B,,2017-12,41.00M,21.91B,21.84B,1.253B,,-6.959B,35.58B,,2017-12,AOR,Restated
2017-09,16.27B,17.59B,20.49B,38.08B,59.82B,,,59.82B,4.587B,7.591B,11.26B,,3.57B,112.73B,,,,,,,,,34.76B,,,,32.06B,54.32B,10.36B,7.041B,,2017-09,23.57B,,,23.57B,833.00M,24.40B,,,,51.17B,51.17B,,51.17B,2.409B,2.409B,14.04B,94.35B,,97.94B,,3.806B,4.61B,,16.96B,25.00M,123.66B,218.01B,,2017-09,41.00M,19.40B,21.80B,1.253B,,-6.759B,33.24B,,2017-09,AOR,Restated
2017-06,14.33B,16.22B,22.89B,39.11B,60.05B,,,60.05B,4.09B,7.904B,11.09B,,3.291B,113.54B,,,,,,,,,33.79B,,,,31.84B,51.55B,10.14B,6.602B,,2017-06,23.57B,,,23.57B,1.034B,24.60B,,,,50.77B,50.77B,,50.77B,2.443B,2.443B,14.44B,94.30B,,95.24B,,3.832B,4.567B,,16.85B,18.00M,120.91B,215.21B,,2017-06,41.00M,18.44B,21.74B,1.253B,,-6.716B,32.24B,,2017-06,AOR,Restated
2017-03,15.14B,17.82B,22.17B,39.99B,59.29B,,,59.29B,4.24B,7.19B,10.54B,,3.414B,113.23B,,,,,,,,,32.67B,,,,31.56B,50.69B,10.06B,5.893B,,2017-03,23.26B,,,23.26B,848.00M,24.10B,,,,49.26B,49.26B,,49.26B,1.902B,1.902B,14.16B,91.30B,,96.72B,,3.699B,4.448B,,16.58B,22.00M,122.15B,213.45B,,2017-03,41.00M,16.99B,21.64B,1.122B,,-6.929B,30.62B,,2017-03,AOR,Restated
2016-12,13.65B,15.90B,22.92B,38.83B,57.37B,,,57.37B,3.843B,5.943B,8.898B,,3.368B,108.46B,0.00,391.00M,10.31B,47.01B,,2.17B,59.88B,-27.80B,32.07B,,,,32.13B,49.92B,9.705B,5.656B,,2016-12,21.30B,,,21.30B,974.00M,22.27B,,,,49.67B,49.67B,,49.67B,3.866B,3.866B,12.41B,90.28B,,93.30B,,3.687B,4.378B,,16.73B,17.00M,118.48B,208.76B,,2016-12,41.00M,15.63B,21.63B,1.122B,,-7.013B,29.17B,,2016-12,AOR,Restated
2016-09,11.80B,13.34B,20.82B,34.16B,55.58B,,,55.58B,4.335B,6.823B,10.22B,,3.552B,103.52B,,,,,,,,,32.26B,,,,32.99B,49.61B,9.475B,7.111B,,2016-09,22.38B,,,22.38B,761.00M,23.14B,,,,47.27B,47.27B,,47.27B,4.715B,4.715B,11.92B,89.19B,,89.95B,,3.639B,4.216B,,15.50B,15.00M,114.28B,203.46B,,2016-09,41.00M,17.01B,21.60B,1.122B,,-6.046B,31.48B,,2016-09,AOR,Restated
2016-06,13.47B,17.06B,22.23B,39.30B,58.59B,,,58.59B,4.186B,6.571B,9.829B,,3.053B,110.77B,,,,,,,,,31.94B,,,,32.82B,47.43B,9.822B,6.905B,,2016-06,23.08B,,,23.08B,946.00M,24.03B,,,,44.86B,44.86B,,44.86B,5.639B,5.639B,12.77B,89.41B,,95.05B,,3.499B,4.051B,,15.69B,13.00M,119.12B,208.52B,,2016-06,41.00M,16.65B,21.55B,1.122B,,-5.976B,31.14B,,2016-06,AOR,Restated
2016-03,,15.92B,23.56B,39.47B,,,105.53B,105.53B,4.356B,6.367B,9.77B,,,154.78B,,,,,,,,,31.16B,,,,32.05B,,10.58B,8.716B,,2016-03,22.07B,,,22.07B,233.00M,22.30B,,,,54.34B,54.34B,,54.34B,5.02B,5.02B,11.90B,95.71B,,86.66B,,2.989B,3.545B,,15.94B,16.00M,111.95B,207.67B,,2016-03,41.00M,15.28B,21.45B,1.122B,,-6.046B,29.60B,,2016-03,AOR,Restated
2015-12,13.68B,14.27B,20.90B,35.18B,56.18B,,,56.18B,4.005B,5.254B,8.319B,,2.913B,102.59B,0.00,344.00M,9.983B,45.84B,,1.804B,57.97B,-27.80B,30.16B,,,,30.32B,45.55B,11.51B,4.795B,,2015-12,20.27B,,,20.27B,840.00M,21.11B,,,,42.98B,42.98B,,42.98B,4.675B,4.675B,11.41B,82.34B,,89.88B,,3.285B,3.787B,,15.93B,15.00M,113.93B,196.27B,,2015-12,41.00M,14.41B,21.42B,977.00M,,-6.257B,28.64B,,2015-12,AOR,Restated
2015-09,,14.69B,17.16B,31.85B,,,98.58B,98.58B,4.28B,6.222B,9.496B,,,139.92B,,,,,,,,,30.14B,,,,30.41B,,11.43B,7.524B,,2015-09,22.39B,,,22.39B,195.00M,22.58B,,,,46.03B,46.03B,,46.03B,4.906B,4.906B,10.38B,85.93B,,80.39B,,2.874B,3.403B,,16.03B,19.00M,106.02B,191.95B,,2015-09,41.00M,27.49B,21.35B,977.00M,,-20.44B,27.46B,,2015-09,AOR,Restated
2015-06,,12.90B,18.40B,31.30B,,,95.49B,95.49B,4.282B,6.151B,9.438B,,,136.23B,,,,,,,,,30.75B,,,,29.62B,,12.50B,6.954B,,2015-06,21.84B,,,21.84B,239.00M,22.08B,,,,45.93B,45.93B,,45.93B,5.393B,5.393B,10.66B,86.16B,,77.59B,,2.825B,3.403B,,16.24B,21.00M,103.53B,189.69B,,2015-06,41.00M,26.18B,21.32B,939.00M,,-20.26B,26.33B,,2015-06,AOR,Restated
2015-03,,12.37B,20.73B,33.10B,,,92.17B,92.17B,4.178B,6.331B,9.519B,,,134.79B,,,,,,,,,29.61B,,,,27.54B,,12.94B,7.49B,,2015-03,22.37B,,,22.37B,159.00M,22.52B,,,,45.30B,45.30B,,45.30B,4.301B,4.301B,10.23B,84.41B,,77.48B,,2.747B,3.272B,,16.00B,27.00M,102.99B,187.40B,,2015-03,41.00M,24.89B,21.27B,848.00M,,-20.41B,24.95B,,2015-03,AOR,Restated
2014-12,,10.76B,20.39B,31.15B,,,92.82B,92.82B,3.859B,5.026B,7.87B,,,131.84B,0.00,351.00M,10.60B,46.26B,331.00M,1.719B,59.26B,-29.13B,30.13B,,,,26.57B,,14.02B,6.052B,,2014-12,20.04B,,,20.04B,222.00M,20.26B,,,,39.17B,39.17B,,39.17B,3.911B,3.911B,11.02B,77.12B,,80.00B,,2.686B,3.256B,,17.34B,27.00M,107.03B,184.15B,,2014-12,40.00M,9.422B,21.09B,848.00M,,-5.265B,24.44B,,2014-12,AOR,Restated
2014-09,,13.32B,20.64B,33.96B,,,91.02B,91.02B,4.199B,6.126B,9.296B,,,134.28B,,,,,,,,,30.05B,,,,26.11B,,12.31B,6.078B,,2014-09,21.16B,,,21.16B,182.00M,21.34B,,5.689B,2.137B,39.61B,47.44B,,47.44B,4.272B,4.272B,11.09B,86.84B,,71.76B,,2.622B,3.198B,,14.62B,29.00M,95.83B,182.67B,,2014-09,40.00M,25.05B,21.68B,2.47B,,-18.16B,26.14B,,2014-09,AOR,Restated
2014-06,,11.57B,24.10B,35.67B,,,92.88B,92.88B,4.055B,6.328B,9.365B,,,137.91B,,,,,,,,,29.29B,,,,25.42B,,12.60B,5.717B,,2014-06,22.06B,,,22.06B,240.00M,22.30B,,5.445B,2.289B,38.82B,46.56B,,46.56B,4.281B,4.281B,11.63B,87.50B,,72.15B,,2.641B,3.229B,,15.25B,31.00M,96.63B,184.14B,,2014-06,40.00M,24.70B,21.60B,1.461B,,-18.11B,26.78B,,2014-06,AOR,Restated
2014-03,,12.98B,23.55B,36.53B,,,89.86B,89.86B,4.027B,5.818B,8.874B,,,135.26B,,,,,,,,,28.45B,,,,24.01B,,13.13B,6.231B,,2014-03,22.21B,,,22.21B,194.00M,22.40B,,5.513B,3.795B,35.66B,44.97B,,44.97B,2.592B,2.592B,11.20B,83.62B,,72.03B,,2.516B,3.106B,,15.50B,34.00M,96.66B,180.28B,,2014-03,40.00M,23.88B,21.55B,506.00M,,-18.19B,26.77B,,2014-03,AOR,Restated
2013-12,,14.47B,22.10B,36.57B,,,87.31B,87.31B,3.628B,5.081B,7.708B,,,131.58B,0.00,440.00M,10.32B,46.09B,124.00M,2.11B,59.09B,-31.48B,27.62B,,,,23.66B,,13.47B,5.847B,,2013-12,19.53B,,,19.53B,262.00M,19.79B,,,,38.06B,38.06B,,38.06B,2.817B,2.817B,11.04B,74.13B,,76.62B,,2.534B,3.132B,,16.00B,33.00M,101.90B,176.03B,,2013-12,40.00M,23.39B,21.42B,506.00M,,-18.23B,26.11B,,2013-12,AOR,Restated
2013-09,,14.75B,22.89B,37.64B,,,85.11B,85.11B,4.191B,5.591B,8.799B,,,131.65B,,,,,,,,,26.84B,,86.00M,86.00M,24.42B,,13.02B,5.051B,,2013-09,21.64B,,,21.64B,239.00M,21.88B,,5.352B,6.103B,33.77B,45.23B,,45.23B,3.232B,3.232B,10.48B,83.29B,,65.39B,,2.503B,3.14B,,20.82B,43.00M,97.27B,180.56B,,2013-09,40.00M,21.01B,21.38B,456.00M,,-21.51B,20.47B,,2013-09,AOR,Restated
2013-06,,13.36B,23.34B,36.71B,,,83.36B,83.36B,3.841B,5.322B,8.192B,,,128.52B,,,,,,,,,25.86B,,82.00M,82.00M,23.07B,,13.69B,4.978B,,2013-06,20.96B,,,20.96B,248.00M,21.21B,,5.183B,6.348B,33.18B,44.71B,,44.71B,3.443B,3.443B,9.97B,81.64B,,63.15B,,2.136B,2.812B,,21.55B,43.00M,95.35B,176.99B,,2013-06,40.00M,20.14B,21.22B,379.00M,,-21.84B,19.18B,,2013-06,AOR,Restated
2013-03,,13.82B,20.52B,34.34B,,,83.21B,83.21B,3.889B,5.494B,8.423B,,,126.54B,,,,,,,,,25.80B,,84.00M,84.00M,20.56B,,14.48B,5.554B,,2013-03,20.60B,,,20.60B,234.00M,20.83B,,5.079B,7.421B,27.05B,39.55B,,39.55B,2.432B,2.432B,9.677B,74.68B,,67.81B,,2.073B,2.711B,,23.22B,43.00M,100.70B,175.37B,,2013-03,40.00M,19.30B,21.09B,302.00M,,-22.53B,17.60B,,2013-03,AOR,Restated
2012-12,,15.66B,20.28B,35.94B,,,81.87B,81.87B,3.697B,4.614B,7.362B,,,125.17B,0.00,423.00M,10.25B,45.19B,129.00M,1.783B,57.78B,-32.84B,24.94B,,,,18.55B,,15.18B,5.556B,,2012-12,19.31B,,,19.31B,277.00M,19.58B,,4.89B,7.438B,26.43B,38.76B,,38.76B,2.796B,2.796B,9.985B,73.43B,,66.30B,,2.044B,2.514B,,25.56B,42.00M,99.99B,173.42B,,2012-12,40.00M,18.08B,20.98B,292.00M,,-22.85B,15.95B,,2012-12,AOR,Restated
2012-09,,13.54B,38.11B,51.65B,79.07B,,,79.07B,3.891B,5.271B,8.208B,,,138.93B,,,,,,,,,24.35B,,89.00M,89.00M,2.716B,,13.53B,5.073B,,2012-09,20.79B,,,20.79B,252.00M,21.04B,6.614B,4.962B,7.00B,3.815B,15.78B,,15.78B,3.012B,3.012B,2.832B,51.63B,2.368B,84.83B,,1.942B,2.535B,,19.64B,365.00M,113.84B,165.47B,,2012-09,39.00M,16.67B,20.93B,258.00M,,-18.54B,18.84B,,2012-09,AOR,Restated
2012-06,,15.10B,35.68B,50.78B,,,,78.25B,3.475B,4.759B,7.289B,,,136.32B,,,,,,,,,22.81B,,,95.00M,2.938B,,14.06B,5.011B,,2012-06,19.66B,,,19.66B,44.00B,63.66B,,,,,13.64B,,13.64B,,,,77.30B,,72.07B,,,595.00M,,,43.00M,86.85B,164.16B,,2012-06,39.00M,15.23B,20.92B,225.00M,,-18.93B,17.04B,,2012-06,AOR,Restated
2012-03,,15.24B,34.26B,49.50B,,,,79.80B,3.409B,4.559B,7.031B,,,136.34B,,,,,,,,,23.15B,,97.00M,97.00M,2.964B,,14.54B,4.994B,,2012-03,19.64B,,,19.64B,5.672B,25.31B,6.993B,,,,16.17B,,16.17B,2.494B,2.494B,,50.97B,2.478B,84.32B,,1.832B,2.415B,767.00M,21.04B,44.00M,114.46B,165.42B,,2012-03,39.00M,14.19B,20.88B,193.00M,,-18.31B,16.61B,,2012-03,AOR,Restated
2011-12,,17.15B,18.62B,35.77B,,,78.54B,78.54B,2.847B,3.982B,5.901B,,,120.21B,0.00,384.00M,10.13B,43.28B,142.00M,1.311B,55.24B,-32.87B,22.37B,,100.00M,100.00M,15.77B,,15.12B,4.77B,,2011-12,17.72B,,,17.72B,253.00M,17.98B,,4.713B,6.991B,28.61B,40.31B,,40.31B,2.216B,2.216B,10.16B,73.04B,,59.18B,,1.739B,2.435B,,21.95B,43.00M,90.24B,163.28B,,2011-12,38.00M,12.98B,20.90B,166.00M,,-18.73B,15.03B,,2011-12,AOR,Restated
2011-09,,16.46B,29.06B,45.52B,,,,76.82B,3.307B,4.805B,7.212B,,,129.56B,,,,,,,,,22.30B,,,100.00M,2.608B,,1.694B,6.479B,,2011-09,18.92B,,,19.05B,41.44B,60.50B,,,6.46B,5.039B,11.50B,,11.50B,,,4.931B,76.92B,,78.57B,,,1.109B,,,44.00M,79.79B,156.71B,,2011-09,38.00M,-440.00M,20.82B,166.00M,,-14.27B,5.982B,,2011-09,AOR,Restated
2011-06,,17.47B,28.20B,45.68B,,,,80.50B,3.156B,4.769B,7.036B,,,133.21B,,,,,,,,,23.26B,,103.00M,103.00M,2.593B,,2.103B,6.816B,,2011-06,19.42B,,,19.68B,43.26B,62.95B,,,6.619B,3.527B,10.15B,,10.15B,,,5.067B,78.16B,,83.08B,,,1.371B,,,41.00M,84.58B,162.74B,,2011-06,38.00M,-2.089B,20.76B,166.00M,,-13.24B,5.309B,,2011-06,AOR,Restated
2011-03,,21.32B,24.79B,46.10B,,,,79.70B,3.244B,5.044B,7.414B,,,133.22B,,,,,,,,,23.41B,,,98.00M,2.525B,,1.962B,6.177B,,2011-03,19.98B,,,20.35B,42.09B,62.44B,,,6.751B,4.118B,10.87B,,10.87B,,,4.924B,78.24B,,85.48B,,,1.212B,,,39.00M,86.69B,164.93B,,2011-03,38.00M,-4.487B,20.72B,164.00M,,-13.68B,2.426B,,2011-03,AOR,Restated
2010-12,,14.80B,20.76B,35.57B,78.45B,,,78.45B,2.812B,3.97B,5.917B,,,119.94B,0.00,336.00M,10.35B,45.14B,152.00M,1.102B,57.08B,-33.90B,23.18B,,102.00M,102.00M,14.24B,,2.003B,5.221B,,2010-12,16.36B,,,16.36B,479.00M,16.84B,,26.21B,6.634B,8.822B,41.66B,,41.66B,2.069B,2.069B,11.87B,75.09B,,62.32B,,1.622B,2.757B,3.763B,18.24B,31.00M,90.24B,165.33B,,2010-12,38.00M,-7.038B,20.80B,163.00M,,-14.31B,-673.00M,,2010-12,AOR,Restated
2010-09,,17.99B,39.17B,57.16B,,,,78.85B,3.111B,4.57B,6.855B,,,142.87B,,,,,,,,,22.96B,,123.00M,123.00M,2.676B,,2.201B,6.255B,,2010-09,,,,17.37B,43.73B,61.10B,,,6.689B,9.079B,15.77B,,15.77B,,,,76.87B,,101.15B,,,1.027B,,,33.00M,101.95B,178.82B,,2010-09,35.00M,-7.228B,18.19B,161.00M,,-12.61B,-1.773B,,2010-09,AOR,Restated
2010-06,,18.32B,36.13B,54.45B,,,,78.96B,2.721B,4.166B,6.076B,,,139.48B,,,,,,,,,22.21B,39.00M,144.00M,183.00M,2.523B,,2.08B,13.27B,,2010-06,,,,15.98B,43.70B,59.67B,,,6.647B,8.886B,15.53B,,15.53B,,,,75.21B,,102.17B,,,901.00M,,,33.00M,108.08B,183.29B,,2010-06,35.00M,-8.915B,17.76B,176.00M,,-12.28B,-3.574B,,2010-06,AOR,Restated
2010-03,,24.36B,37.70B,62.06B,,,,80.76B,2.816B,4.276B,6.292B,,,149.11B,,,,,,,,,22.83B,41.00M,151.00M,192.00M,2.544B,,2.861B,14.43B,,2010-03,,,,15.61B,44.44B,60.06B,,,6.468B,12.67B,19.14B,,19.14B,,,,79.19B,,111.40B,,,1.60B,,,38.00M,118.21B,197.40B,,2010-03,34.00M,-11.51B,17.38B,178.00M,,-11.20B,-5.475B,,2010-03,AOR,Restated
2009-12,,20.89B,21.39B,42.28B,83.09B,,,83.09B,2.456B,3.383B,5.041B,,,130.41B,0.00,335.00M,10.36B,37.38B,6.792B,1.176B,56.04B,-33.41B,22.64B,,165.00M,165.00M,19.64B,,3.479B,15.71B,,2009-12,14.30B,,,14.30B,9.105B,23.41B,,,6.369B,10.89B,17.26B,,17.26B,3.129B,3.129B,3.873B,49.70B,,114.38B,,1.656B,4.077B,9.318B,11.59B,38.00M,150.13B,199.82B,,2009-12,34.00M,-13.60B,16.79B,177.00M,,-10.86B,-7.82B,,2009-12,AOR,Restated
2009-09,,25.80B,41.37B,67.17B,,,,82.91B,3.057B,4.336B,6.56B,,,156.64B,,,,,,,,,24.81B,43.00M,182.00M,225.00M,1.544B,,3.664B,16.22B,,2009-09,,,,15.21B,55.15B,70.36B,,,6.571B,10.96B,17.53B,,17.53B,,,,87.89B,,115.13B,,,2.644B,,,1.405B,122.48B,210.38B,,2009-09,33.00M,-14.52B,14.70B,178.00M,,-8.704B,-8.675B,,2009-09,AOR,Restated
2009-06,,24.01B,37.93B,61.94B,,,,86.94B,2.978B,4.469B,6.603B,,,155.48B,,,,,,,,,24.80B,42.00M,193.00M,235.00M,1.742B,,3.015B,14.91B,,2009-06,,,,13.97B,55.80B,69.77B,,,6.568B,9.996B,16.56B,,16.56B,,,,86.33B,,116.86B,,,1.788B,,,1.325B,123.28B,209.61B,,2009-06,33.00M,-15.52B,13.93B,179.00M,,-9.005B,-10.74B,,2009-06,AOR,Restated
2009-03,,21.09B,42.28B,63.37B,,,,89.40B,2.926B,4.493B,6.575B,,,159.34B,,,,,,,,,23.78B,38.00M,189.00M,227.00M,1.736B,,2.818B,15.23B,,2009-03,,,,12.88B,54.43B,67.31B,,,10.01B,7.705B,17.72B,,17.72B,,,,85.03B,,128.23B,,,1.706B,,,1.10B,134.58B,219.61B,,2009-03,24.00M,-17.78B,10.98B,180.00M,,-10.62B,-17.58B,,2009-03,AOR,Restated
2008-12,,22.05B,42.66B,64.71B,99.16B,,,99.16B,2.747B,5.091B,6.988B,,,170.86B,0.00,409.00M,10.80B,45.98B,213.00M,1.295B,58.70B,-34.55B,24.14B,,,246.00M,1.599B,,3.108B,18.35B,,2008-12,13.14B,,,13.14B,419.00M,13.56B,,,11.50B,10.26B,21.76B,,21.76B,2.883B,2.883B,13.07B,64.49B,,131.31B,,1.751B,3.786B,6.184B,16.81B,1.195B,168.34B,232.82B,,2008-12,24.00M,-16.32B,10.88B,181.00M,,-10.12B,-15.72B,,2008-12,AOR,Restated
