,NetIncome,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported
2002-03,6.169B,,,,,,,,,,,,-462.00M,,,,,,,5.707B,,-2.512B,,-2.512B,-37.00M,-131.00M,9.223B,6.543B,,2002-03,,-8.249B,,-57.00M,-57.00M,,-184.00M,5.091B,-3.399B,,2002-03,7.218B,-49.00M,16.02B,,2002-03,,,,-57.00M,,2002-03,
2001-12,-4.962B,,,,,,,,,,,,-21.86B,,,,,,,-954.00M,,-666.00M,,-666.00M,-57.00M,1.555B,-5.682B,-4.85B,,2001-12,,2.651B,,-38.00M,-38.00M,,-275.00M,231.00M,2.569B,,2001-12,10.64B,-144.00M,7.184B,,2001-12,,,,-38.00M,,2001-12,
2001-09,-692.00M,,,,,,,,,,,,9.761B,,,,,,,9.069B,,-3.47B,,-3.47B,-68.00M,-1.474B,11.67B,6.659B,,2001-09,,-13.23B,,2.42B,2.42B,,-547.00M,-422.00M,-11.78B,,2001-09,6.586B,105.00M,10.64B,,2001-09,,,,2.42B,,2001-09,
2001-06,-4.718B,,,,,,,,,,,,13.24B,,,,,,,8.527B,,-1.328B,,-1.328B,23.14B,-14.00M,-34.32B,-12.52B,,2001-06,,9.284B,,-2.966B,-2.966B,,-550.00M,-534.00M,5.234B,,2001-06,5.382B,-39.00M,6.586B,,2001-06,,,,-2.966B,,2001-06,
2001-03,5.025B,,,,,,,,,,,,113.00M,,,,,,,5.138B,,-1.488B,,-1.488B,-25.76B,1.335B,20.10B,-5.808B,,2001-03,,1.931B,,-801.00M,-801.00M,,-557.00M,802.00M,1.375B,,2001-03,4.851B,-174.00M,5.382B,,2001-03,,,,-801.00M,,2001-03,
2000-12,1.077B,,,,,,,15.95B,15.95B,,,,-25.33B,,,,,,,5.592B,,-2.899B,,-2.899B,-200.00M,-116.00M,-5.48B,-8.695B,,2000-12,,5.868B,,-1.636B,-1.044B,,-566.00M,-804.00M,2.889B,,2000-12,5.662B,-597.00M,4.851B,,2000-12,,,,-1.636B,,2000-12,AOR
2000-09,888.00M,,,,,,,-4.606B,-4.606B,,,,12.76B,,,,,,,9.046B,,-2.033B,,-2.033B,-2.574B,-314.00M,356.00M,-4.565B,,2000-09,,-269.00M,,7.00M,7.00M,,-607.00M,-7.008B,-7.312B,,2000-09,8.664B,-171.00M,5.662B,,2000-09,,,,7.00M,,2000-09,
2000-06,-577.00M,,,,,,,2.398B,2.398B,,,,8.425B,,,,,,,10.25B,,-1.61B,,-1.61B,1.29B,18.00M,-13.27B,-13.57B,,2000-06,,5.805B,,-114.00M,-114.00M,,-971.00M,1.627B,6.347B,,2000-06,5.758B,-114.00M,8.664B,,2000-06,,,,-114.00M,,2000-06,
2000-03,2.079B,,,,,,,2.208B,2.208B,,,,4.593B,,,,,,,8.88B,,-1.806B,,-1.806B,-1.29B,-52.00M,-6.17B,-9.318B,,2000-03,,3.078B,,-78.00M,-78.00M,,-607.00M,-546.00M,1.847B,,2000-03,4.381B,-32.00M,5.758B,,2000-03,,,,-78.00M,,2000-03,
1999-12,1.071B,,,,,,,7.661B,7.661B,,,,-3.748B,,,,,,,8.31B,,-2.417B,,5.242B,-99.00M,-990.00M,-8.568B,-12.07B,,1999-12,,8.08B,,-442.00M,-168.00M,,-605.00M,-2.365B,4.942B,,1999-12,3.297B,-94.00M,4.381B,,1999-12,,,,-442.00M,,1999-12,AOR
1999-09,1.114B,,,,,,,2.333B,2.333B,,,,2.312B,,,,,,,5.759B,,-3.988B,,-3.988B,26.00M,66.00M,-2.895B,-6.791B,,1999-09,,706.00M,,-19.00M,-19.00M,,-561.00M,152.00M,278.00M,,1999-09,4.063B,-12.00M,3.297B,,1999-09,,,,-19.00M,,1999-09,
1999-06,2.338B,,,,,,,2.391B,2.391B,,,,3.262B,,,,,,,7.991B,,-1.707B,,-1.707B,-2.10B,-120.00M,-7.922B,-11.85B,,1999-06,,2.626B,,-110.00M,-110.00M,,-562.00M,631.00M,2.585B,,1999-06,5.373B,-37.00M,4.063B,,1999-06,,,,-110.00M,,1999-06,
1999-03,1.979B,,,,,,,2.157B,2.157B,,,,1.195B,,,,,,,5.331B,,-1.286B,,-1.286B,-3.734B,-13.00M,-3.082B,-8.115B,,1999-03,,4.54B,,-136.00M,-136.00M,,-562.00M,214.00M,4.056B,,1999-03,4.294B,-193.00M,5.373B,,1999-03,,,,-136.00M,,1999-03,
1998-12,16.30B,,,,,,,7.488B,7.488B,,,,-11.66B,,,,,,,2.684B,,-3.37B,,4.386B,,10.12B,-18.95B,-12.55B,,1998-12,,8.978B,-53.00M,197.00M,144.00M,,-557.00M,-101.00M,8.044B,,1998-12,0.00,75.00M,4.294B,,1998-12,-53.00M,,,-223.00M,,1998-12,AOR
1998-09,1.001B,,,,,,,2.22B,2.22B,,,,664.00M,,,,,,,3.885B,,-2.055B,,-2.055B,,-9.759B,9.359B,-2.455B,,1998-09,,-1.558B,-3.00M,-57.00M,-60.00M,,-517.00M,417.00M,-1.718B,,1998-09,0.00,-17.00M,0.00,,1998-09,-3.00M,,,-57.00M,,1998-09,
1998-06,2.381B,,,,,,,2.158B,2.158B,,,,3.023B,,,,,,,7.562B,,-1.201B,,-1.201B,,-220.00M,-5.77B,-7.191B,,1998-06,,2.69B,117.00M,-389.00M,-272.00M,,-3.754B,-554.00M,-1.89B,,1998-06,0.00,-22.00M,0.00,,1998-06,117.00M,,,-389.00M,,1998-06,
