,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2011-09,45.86M,,,,0.783M,-6.166M,,30.38M,30.38M,,,2.512M,-0.259M,2.253M,-1.033M,-20.51M,-9.032M,8.472M,,0.927M,-21.18M,,51.16M,-24.97M,0.063M,0.063M,-0.296M,-3.47M,-34.38M,6.949M,-55.81M,-0.247M,-0.529M,-0.776M,2.573M,0.00,2.573M,,0.259M,2.056M,670.30M,-2.599M,3.326M,671.03M,2.573M,,-0.776M,0.00
2011-06,40.02M,,,,0.426M,3.337M,,29.63M,29.63M,,,2.521M,-0.532M,1.989M,1.764M,-9.10M,38.11M,-3.496M,,8.046M,35.32M,,110.30M,-24.79M,0.091M,0.091M,-0.04M,-1.657M,-51.52M,-2.911M,-80.78M,-0.605M,-1.887M,-2.492M,2.82M,0.00,2.82M,,0.532M,0.86M,627.91M,30.38M,12.02M,670.30M,2.82M,,-2.492M,0.00
2011-03,32.94M,,,,0.051M,7.67M,,28.12M,28.12M,,,2.783M,-1.239M,1.544M,10.90M,-20.68M,-36.38M,-8.466M,,4.14M,-50.48M,,19.78M,-17.91M,0.023M,0.023M,-0.103M,-3.571M,-48.21M,-7.619M,-77.29M,-225.76M,2.385M,-223.38M,7.638M,,7.638M,,0.997M,-214.74M,906.55M,-272.25M,-6.389M,627.91M,7.638M,,-223.38M,
2010-12,67.90M,,,,,-1.966M,,28.94M,28.94M,,,2.843M,-0.216M,0.236M,-19.03M,5.745M,-8.913M,-5.739M,,25.91M,-2.02M,,100.39M,-33.55M,0.681M,0.681M,-1.366M,-0.613M,-10.96M,-7.656M,-52.10M,220.54M,0.462M,221.00M,3.713M,,3.713M,,-3.191M,221.52M,630.64M,269.81M,6.103M,906.55M,3.713M,422.63M,-201.63M,
2010-09,45.08M,,,13.15M,,11.92M,,26.33M,26.33M,,,2.533M,-2.152M,0.381M,-8.264M,-8.675M,12.45M,13.05M,,-25.41M,-16.85M,,66.87M,-21.08M,0.19M,0.19M,-0.684M,-21.35M,-7.111M,-11.92M,-61.26M,-2.501M,-0.013M,-2.514M,3.394M,,3.394M,,2.152M,3.032M,614.22M,8.637M,7.78M,630.64M,3.394M,0.00,-2.514M,
2010-06,73.91M,,,-13.15M,,-8.543M,,26.08M,26.08M,,,2.538M,-0.309M,-31.10M,-7.344M,-5.378M,-20.49M,-7.401M,,18.71M,-21.91M,,36.39M,-19.82M,0.035M,0.035M,-0.35M,-0.849M,-14.05M,8.543M,-26.14M,0.655M,-0.158M,0.497M,2.927M,,2.927M,,-0.266M,3.158M,598.13M,13.41M,2.68M,614.22M,2.927M,2.00M,-1.503M,
2010-03,,,,,,-4.606M,,27.55M,27.55M,,,2.286M,-0.223M,35.39M,-2.366M,-7.592M,6.753M,-9.207M,,-25.72M,-38.13M,,22.27M,-18.09M,0.284M,0.284M,-1.681M,-66.50M,2.682M,4.606M,-77.01M,-1.595M,-0.291M,-1.886M,2.696M,,2.696M,,0.223M,1.033M,649.94M,-53.71M,1.908M,598.13M,2.696M,0.00,-1.886M,
2009-12,38.52M,,,,,,,27.70M,27.70M,,,2.43M,-0.32M,-5.381M,0.815M,30.62M,-2.486M,2.565M,,5.167M,36.68M,,115.72M,-20.00M,,,-2.136M,-0.053M,-6.229M,3.691M,-22.59M,-1.57M,0.338M,-1.232M,2.618M,,2.618M,,0.284M,1.67M,554.18M,94.80M,0.958M,649.94M,2.618M,0.00,-1.232M,
2009-09,39.30M,,,,,,,26.24M,26.24M,,,2.553M,-0.292M,2.261M,-3.497M,4.012M,29.92M,0.635M,,-1.383M,29.69M,,97.49M,-17.61M,,,-2.07M,-2.132M,-56.54M,-6.316M,-82.59M,-1.668M,-0.413M,-2.081M,3.272M,,3.272M,,-0.033M,1.158M,533.47M,16.06M,4.649M,554.18M,3.272M,0.00,-2.081M,
2009-06,39.30M,,,,,,,25.44M,25.44M,,,2.07M,-0.061M,2.009M,6.626M,5.762M,19.03M,7.965M,,-0.636M,38.74M,,105.49M,-20.09M,,,-5.36M,-33.36M,0.854M,-5.456M,-58.05M,293.05M,-0.144M,292.90M,2.50M,,2.50M,,-2.255M,293.15M,192.87M,340.59M,0.018M,533.47M,2.50M,294.75M,-1.847M,
2009-03,32.04M,,,,,,,22.33M,22.33M,,,2.047M,-0.027M,2.02M,0.356M,-4.597M,-43.26M,0.635M,,-3.148M,-50.02M,,6.371M,-18.67M,,,0.00,-0.441M,0.831M,5.561M,-12.72M,-1.882M,-2.084M,-3.966M,1.896M,,1.896M,,0.027M,-2.043M,204.52M,-8.388M,-3.266M,192.87M,1.896M,,-3.966M,
2008-12,-6.508M,,,,,,,22.78M,22.78M,,,2.024M,-1.641M,-3.01M,4.983M,8.57M,4.949M,-0.632M,,0.211M,18.08M,,78.34M,-22.68M,,,-0.60M,-34.94M,-1.774M,-4.84M,-64.24M,-0.64M,-1.47M,-2.11M,2.441M,,2.441M,,1.591M,1.922M,193.63M,16.02M,-5.127M,204.52M,2.441M,1.60M,-3.71M,
2008-09,30.89M,,,,,,,25.00M,25.00M,,,2.157M,-0.967M,1.19M,4.167M,-21.75M,11.46M,-0.275M,,-4.559M,-10.96M,,46.12M,-25.87M,,,-2.725M,-0.959M,-7.593M,4.707M,-29.72M,-4.935M,0.601M,-4.334M,4.10M,,4.10M,,0.967M,0.733M,183.64M,17.14M,-7.153M,193.63M,4.10M,0.00,-4.334M,
2008-06,45.32M,,,,,,,25.58M,25.58M,,,1.533M,-0.533M,1.00M,-9.554M,-22.00M,26.12M,4.191M,,-1.576M,-2.819M,,69.09M,-20.54M,,,0.00,-0.004M,2.566M,0.788M,-17.19M,-2.224M,-0.105M,-2.329M,2.683M,,2.683M,,0.533M,0.887M,129.48M,52.79M,1.377M,183.64M,2.683M,0.00,-2.329M,
2008-03,28.56M,,,,,,,23.74M,23.74M,,,1.586M,-1.959M,-0.373M,11.50M,-16.72M,-50.93M,-3.884M,,5.924M,-54.10M,,-2.177M,-19.72M,,,-0.675M,-17.11M,7.907M,-6.045M,-34.96M,-2.19M,-0.668M,-2.858M,3.688M,,3.688M,,1.959M,2.789M,161.76M,-34.35M,2.068M,129.48M,3.688M,,-2.858M,
2007-12,-80.64M,,,,,,,-43.41M,-43.41M,,,,,-1.258M,-5.24M,10.82M,26.10M,2.192M,12.84M,-9.843M,36.87M,,103.15M,-14.66M,,48.01M,,-385.18M,7.332M,-1.985M,-394.49M,,,-22.88M,2.471M,,2.471M,,0.373M,-20.04M,472.79M,-311.38M,0.348M,161.76M,2.471M,,,
2007-09,27.97M,,,,,,,14.57M,14.57M,,,,,1.158M,10.76M,-1.862M,2.641M,1.928M,-13.25M,11.08M,11.30M,,55.00M,-18.67M,,-18.67M,,0.00,198.05M,-3.339M,176.04M,,,-0.059M,2.947M,,2.947M,,0.347M,3.235M,232.40M,234.27M,6.116M,472.79M,2.947M,,,
2007-06,25.67M,,,,,,,14.46M,14.46M,,,,,0.612M,-10.66M,-3.471M,11.94M,4.861M,3.002M,-0.351M,5.324M,,46.07M,-18.03M,,-18.03M,,-1.636M,-29.08M,0.915M,-47.84M,,,-0.419M,2.015M,,2.015M,,0.494M,2.09M,230.31M,0.322M,1.767M,232.40M,2.015M,,,
2007-03,27.00M,,,,,,,14.38M,14.38M,,,,,-0.512M,5.134M,-5.486M,-40.68M,-8.981M,-2.595M,-0.889M,-53.50M,,-12.64M,-11.31M,,-11.31M,,-0.86M,23.73M,0.297M,11.86M,,,1.34M,4.147M,,4.147M,,1.778M,7.265M,223.61M,6.482M,0.225M,230.31M,4.147M,,,
2006-12,16.65M,,,,,2.10M,,15.10M,15.10M,,,,,7.077M,-10.55M,2.846M,31.28M,-2.128M,-1.865M,-9.654M,9.922M,,54.86M,-14.91M,,38.08M,,-47.45M,-23.60M,12.25M,-73.70M,,,-0.906M,1.412M,,1.412M,,0.094M,0.60M,238.42M,-18.24M,3.431M,223.61M,1.412M,,,
2006-09,23.15M,,,,,,,13.86M,13.86M,,,,,-45.35M,-1.607M,-1.73M,3.444M,18.04M,43.69M,-1.623M,60.21M,,51.87M,-13.23M,,-13.23M,,-29.17M,-55.86M,36.98M,-62.29M,,,-0.808M,3.044M,,3.044M,,0.791M,3.027M,245.65M,-7.386M,0.158M,238.42M,3.044M,,,
2006-06,32.27M,,,,,-0.815M,,13.46M,13.46M,,,,,2.024M,-4.69M,-13.14M,17.34M,9.41M,-2.649M,0.352M,6.623M,,53.56M,-13.53M,,-13.53M,,31.14M,-60.31M,-38.29M,-79.99M,,,0.523M,3.144M,,3.144M,,0.50M,3.839M,265.59M,-22.59M,2.65M,245.65M,3.144M,,,
2006-03,31.20M,,,,,0.815M,,12.97M,12.97M,,,,,,-8.65M,-10.78M,-30.96M,-8.418M,-39.18M,10.92M,-87.06M,,-42.07M,-11.32M,,-11.32M,,-0.586M,-15.63M,35.77M,8.237M,,,0.045M,2.323M,,2.323M,,,2.696M,296.72M,-31.14M,0.009M,265.59M,2.323M,,,
2005-12,13.50M,,,,,,,16.42M,16.42M,,,,,32.90M,-5.386M,9.521M,16.91M,-6.75M,6.983M,,21.27M,,49.39M,-9.758M,,-9.758M,,-0.698M,17.91M,0.665M,8.123M,,,-5.209M,1.996M,,1.996M,,0.00,-3.213M,243.98M,54.30M,-1.567M,296.72M,1.996M,,,
2005-09,16.22M,,,,,,,14.49M,14.49M,,,,,-16.12M,-2.29M,-11.90M,19.71M,-1.21M,3.94M,8.23M,16.48M,,31.07M,-8.706M,,-8.706M,,34.59M,-23.26M,-39.92M,-37.29M,,,-2.992M,2.403M,,2.403M,,0.00,-0.589M,252.13M,-6.805M,-1.347M,243.98M,2.403M,,,
2005-06,18.39M,,,,,,,14.92M,14.92M,,,,,,-2.607M,-8.721M,-4.481M,-2.83M,-20.38M,8.647M,-30.37M,,2.935M,-7.817M,,-7.817M,,-38.24M,-27.67M,2.834M,-70.89M,,,0.82M,1.808M,,1.808M,,-0.331M,2.297M,317.90M,-65.66M,-0.107M,252.13M,1.808M,,,
2005-03,33.49M,,,,,,,15.17M,15.17M,,,,,,2.583M,-7.60M,-11.64M,-1.31M,11.06M,-16.88M,-23.78M,,24.88M,-9.774M,,-9.774M,,,101.98M,1.675M,93.88M,,,0.087M,2.708M,,2.708M,,,2.795M,195.73M,121.56M,0.601M,317.90M,2.708M,,,
