,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-04,239.00M,,239.00M,639.00M,,639.00M,90.00M,117.00M,1.172B,,1.379B,196.00M,,102.00M,2.555B,0.00,82.00M,568.00M,725.00M,61.00M,1.436B,-656.00M,780.00M,763.00M,670.00M,1.433B,16.00M,192.00M,2.421B,4.976B,,154.00M,,102.00M,,256.00M,251.00M,507.00M,215.00M,,215.00M,215.00M,,,,821.00M,2.341B,,2.341B,85.00M,85.00M,,191.00M,222.00M,2.839B,3.66B,,72.00M,1.73B,4.00M,112.00M,,,,,,-378.00M,1.316B,,AOR,Restated
2018-01,287.00M,,287.00M,725.00M,,725.00M,94.00M,122.00M,1.127B,,1.343B,,,286.00M,2.641B,,,,,,,,766.00M,768.00M,680.00M,1.448B,17.00M,170.00M,2.401B,5.042B,,584.00M,557.00M,18.00M,,1.159B,,1.159B,,,327.00M,327.00M,,,,1.486B,1.77B,,1.77B,61.00M,61.00M,,282.00M,242.00M,2.355B,3.841B,,72.00M,1.62B,7.00M,116.00M,,,,,,-382.00M,1.201B,,AOR,Restated
2017-10,212.00M,,212.00M,753.00M,,753.00M,105.00M,117.00M,1.137B,,1.359B,,,337.00M,2.661B,,,,,,,,740.00M,756.00M,659.00M,1.415B,15.00M,147.00M,2.317B,4.978B,,556.00M,,11.00M,,567.00M,,567.00M,,485.00M,485.00M,485.00M,,,,1.052B,1.719B,,1.719B,139.00M,139.00M,,287.00M,134.00M,2.279B,3.331B,,58.00M,2.063B,49.00M,132.00M,,,,,,-391.00M,1.647B,,AOR,Restated
2017-07,238.00M,,238.00M,576.00M,,576.00M,108.00M,117.00M,1.112B,,1.337B,,,352.00M,2.503B,,,,,,,,719.00M,755.00M,661.00M,1.416B,17.00M,147.00M,2.299B,4.802B,,454.00M,70.00M,57.00M,,581.00M,,581.00M,,508.00M,508.00M,508.00M,,,,1.089B,1.72B,,1.72B,135.00M,135.00M,,298.00M,140.00M,2.293B,3.382B,,58.00M,1.824B,47.00M,133.00M,,,,,,-376.00M,1.42B,,AOR,Restated
2017-04,182.00M,,182.00M,557.00M,,557.00M,92.00M,119.00M,1.059B,,1.27B,210.00M,,132.00M,2.351B,0.00,81.00M,497.00M,659.00M,96.00M,1.333B,-620.00M,713.00M,753.00M,641.00M,1.394B,16.00M,151.00M,2.274B,4.625B,,137.00M,,70.00M,,207.00M,206.00M,413.00M,,460.00M,460.00M,460.00M,,,,970.00M,1.689B,,1.689B,152.00M,152.00M,,314.00M,130.00M,2.285B,3.255B,,68.00M,4.47B,65.00M,2.843B,,,,,,-390.00M,1.37B,,AOR,Restated
2017-01,197.00M,,197.00M,611.00M,,611.00M,89.00M,116.00M,1.033B,,1.238B,,,331.00M,2.377B,,,,,,,,669.00M,746.00M,636.00M,1.382B,16.00M,156.00M,2.223B,4.60B,,478.00M,70.00M,25.00M,,573.00M,,573.00M,,557.00M,557.00M,557.00M,,,,1.13B,1.669B,,1.669B,150.00M,150.00M,,336.00M,131.00M,2.286B,3.416B,,68.00M,4.326B,74.00M,2.851B,,,,,,-433.00M,1.184B,,AOR,Restated
2016-10,211.00M,,211.00M,660.00M,,660.00M,97.00M,121.00M,1.068B,,1.286B,,,373.00M,2.53B,,,,,,,,651.00M,743.00M,640.00M,1.383B,16.00M,140.00M,2.19B,4.72B,,554.00M,,13.00M,,567.00M,,567.00M,,,337.00M,337.00M,,,,904.00M,1.917B,,1.917B,150.00M,150.00M,,335.00M,131.00M,2.533B,3.437B,,68.00M,4.283B,74.00M,2.735B,,,,,,-407.00M,1.283B,,AOR,Restated
2016-07,459.00M,,459.00M,501.00M,,501.00M,96.00M,119.00M,1.047B,,1.262B,,,339.00M,2.561B,,,,,,,,645.00M,756.00M,649.00M,1.405B,16.00M,128.00M,2.194B,4.755B,,463.00M,67.00M,56.00M,,586.00M,,586.00M,,,288.00M,288.00M,,,,874.00M,1.953B,,1.953B,122.00M,122.00M,,344.00M,132.00M,2.551B,3.425B,,68.00M,4.085B,74.00M,2.495B,,,,,,-402.00M,1.33B,,AOR,Restated
2016-04,263.00M,,263.00M,559.00M,,559.00M,85.00M,116.00M,853.00M,,1.054B,208.00M,,149.00M,2.233B,0.00,76.00M,468.00M,619.00M,54.00M,1.217B,-588.00M,629.00M,590.00M,595.00M,1.185B,17.00M,119.00M,1.95B,4.183B,,121.00M,,77.00M,,198.00M,217.00M,415.00M,,271.00M,271.00M,271.00M,,,,791.00M,1.23B,,1.23B,160.00M,160.00M,,353.00M,87.00M,1.83B,2.621B,,34.00M,4.065B,114.00M,2.301B,,,,,,-350.00M,1.562B,,AOR,Restated
2016-01,317.00M,,317.00M,630.00M,,630.00M,81.00M,113.00M,837.00M,,1.031B,,11.00M,368.00M,2.405B,,,,,,,,621.00M,589.00M,582.00M,1.171B,14.00M,122.00M,1.928B,4.333B,,498.00M,68.00M,17.00M,,583.00M,,583.00M,,509.00M,509.00M,509.00M,8.00M,8.00M,,1.10B,1.229B,,1.229B,138.00M,138.00M,,305.00M,144.00M,1.816B,2.916B,,34.00M,3.561B,114.00M,1.969B,,,,,,-323.00M,1.417B,,AOR,Restated
2015-10,195.00M,,195.00M,727.00M,,727.00M,88.00M,124.00M,855.00M,,1.067B,,18.00M,341.00M,2.348B,,,,,,,,619.00M,606.00M,608.00M,1.214B,17.00M,121.00M,1.971B,4.319B,,549.00M,,16.00M,,565.00M,,565.00M,,553.00M,553.00M,553.00M,12.00M,12.00M,,1.13B,1.229B,,1.229B,116.00M,116.00M,,300.00M,143.00M,1.788B,2.918B,,34.00M,3.508B,115.00M,1.95B,,,,,,-306.00M,1.401B,,AOR,Restated
2015-07,494.00M,,494.00M,505.00M,,505.00M,81.00M,118.00M,836.00M,,1.035B,,9.00M,328.00M,2.371B,,,,,,,,608.00M,605.00M,605.00M,1.21B,18.00M,127.00M,1.963B,4.334B,,438.00M,65.00M,54.00M,,557.00M,,557.00M,,263.00M,263.00M,263.00M,13.00M,13.00M,,833.00M,1.229B,,1.229B,112.00M,112.00M,,304.00M,149.00M,1.794B,2.627B,,34.00M,3.309B,111.00M,1.443B,,,,,,-304.00M,1.707B,,AOR,Restated
2015-04,370.00M,,370.00M,583.00M,,583.00M,61.00M,121.00M,771.00M,,953.00M,181.00M,16.00M,151.00M,2.254B,0.00,72.00M,419.00M,561.00M,88.00M,1.14B,-554.00M,586.00M,607.00M,611.00M,1.218B,18.00M,112.00M,1.934B,4.188B,,123.00M,,71.00M,,194.00M,205.00M,399.00M,,440.00M,440.00M,440.00M,9.00M,9.00M,,958.00M,743.00M,,743.00M,182.00M,182.00M,,311.00M,89.00M,1.325B,2.283B,,34.00M,3.30B,99.00M,1.228B,,,,,,-300.00M,1.905B,,AOR,Restated
2015-01,250.00M,,250.00M,631.00M,,631.00M,52.00M,138.00M,730.00M,,920.00M,,10.00M,398.00M,2.209B,,,,,,,,567.00M,607.00M,619.00M,1.226B,16.00M,143.00M,1.952B,4.161B,,511.00M,66.00M,16.00M,,593.00M,,593.00M,,,258.00M,258.00M,9.00M,9.00M,,860.00M,748.00M,,748.00M,129.00M,129.00M,,229.00M,154.00M,1.26B,2.12B,,34.00M,3.166B,99.00M,1.043B,,,,,,-215.00M,2.041B,,AOR,Restated
2014-10,235.00M,,235.00M,761.00M,,761.00M,59.00M,150.00M,762.00M,,971.00M,,25.00M,307.00M,2.299B,,,,,,,,556.00M,614.00M,651.00M,1.265B,17.00M,106.00M,1.944B,4.243B,,535.00M,,12.00M,,547.00M,,547.00M,,,124.00M,124.00M,7.00M,7.00M,,678.00M,998.00M,,998.00M,113.00M,113.00M,,226.00M,153.00M,1.49B,2.168B,,34.00M,3.114B,99.00M,981.00M,,,,,,-191.00M,2.075B,,AOR,Restated
2014-07,460.00M,,460.00M,547.00M,,547.00M,55.00M,150.00M,744.00M,,949.00M,,23.00M,280.00M,2.259B,,,,,,,,538.00M,618.00M,666.00M,1.284B,18.00M,92.00M,1.932B,4.191B,,427.00M,62.00M,128.00M,,617.00M,,617.00M,,,13.00M,13.00M,7.00M,7.00M,,637.00M,998.00M,,998.00M,107.00M,107.00M,,241.00M,154.00M,1.50B,2.137B,,34.00M,2.908B,97.00M,790.00M,,,,,,-195.00M,2.054B,,AOR,Restated
2014-04,437.00M,,437.00M,569.00M,,569.00M,47.00M,144.00M,691.00M,,882.00M,172.00M,33.00M,84.00M,2.177B,0.00,72.00M,381.00M,534.00M,67.00M,1.054B,-528.00M,526.00M,620.00M,677.00M,1.297B,18.00M,85.00M,1.926B,4.103B,,134.00M,,128.00M,,262.00M,165.00M,427.00M,,8.00M,8.00M,8.00M,8.00M,8.00M,,561.00M,997.00M,,997.00M,192.00M,192.00M,,244.00M,77.00M,1.51B,2.071B,,34.00M,2.894B,81.00M,789.00M,,,,,,-188.00M,2.032B,,AOR,Restated
2014-01,287.00M,,287.00M,679.00M,,679.00M,51.00M,145.00M,677.00M,,873.00M,,56.00M,208.00M,2.103B,,,,,,,,497.00M,619.00M,670.00M,1.289B,16.00M,88.00M,1.89B,3.993B,,452.00M,62.00M,74.00M,,588.00M,,588.00M,,,9.00M,9.00M,7.00M,7.00M,,604.00M,997.00M,,997.00M,97.00M,97.00M,,245.00M,161.00M,1.50B,2.104B,,34.00M,2.777B,80.00M,799.00M,,,,,,-203.00M,1.889B,,AOR,Restated
2013-10,192.00M,,192.00M,729.00M,,729.00M,61.00M,151.00M,689.00M,,901.00M,,44.00M,167.00M,2.033B,,,,,,,,483.00M,620.00M,671.00M,1.291B,13.00M,62.00M,1.849B,3.882B,,513.00M,,15.00M,,528.00M,,528.00M,,,7.00M,7.00M,7.00M,7.00M,,542.00M,997.00M,,997.00M,199.00M,199.00M,,242.00M,64.00M,1.502B,2.044B,,34.00M,2.729B,80.00M,804.00M,,,,,,-201.00M,1.838B,,AOR,Restated
2013-07,217.00M,,217.00M,542.00M,,542.00M,64.00M,142.00M,668.00M,,874.00M,,17.00M,211.00M,1.861B,,,,,,,,459.00M,618.00M,669.00M,1.287B,13.00M,66.00M,1.825B,3.686B,,393.00M,55.00M,54.00M,,502.00M,,502.00M,,,6.00M,6.00M,7.00M,7.00M,,515.00M,997.00M,,997.00M,185.00M,185.00M,,266.00M,57.00M,1.505B,2.02B,,34.00M,2.527B,77.00M,760.00M,,,,,,-212.00M,1.666B,,AOR,Restated
2013-04,204.00M,,204.00M,548.00M,,548.00M,57.00M,137.00M,633.00M,,827.00M,123.00M,29.00M,90.00M,1.821B,0.00,70.00M,351.00M,487.00M,48.00M,956.00M,-506.00M,450.00M,617.00M,668.00M,1.285B,14.00M,56.00M,1.805B,3.626B,,133.00M,,75.00M,,208.00M,141.00M,349.00M,,,5.00M,5.00M,7.00M,7.00M,,473.00M,997.00M,,997.00M,180.00M,180.00M,,280.00M,68.00M,1.525B,1.998B,,34.00M,2.50B,71.00M,766.00M,,,,,,-211.00M,1.628B,,AOR,Restated
2013-01,386.80M,,386.80M,633.80M,,633.80M,54.70M,131.10M,616.10M,,801.90M,,35.80M,188.10M,2.046B,,,,,,,,426.60M,618.90M,669.90M,1.289B,11.70M,58.80M,1.786B,3.832B,,466.40M,54.50M,15.00M,,535.90M,,535.90M,,,264.30M,264.30M,7.10M,7.10M,,807.30M,996.60M,,996.60M,193.20M,193.20M,,246.50M,69.90M,1.506B,2.314B,,34.10M,2.392B,70.90M,771.70M,,,-206.10M,6.30M,-6.60M,-206.40M,1.519B,,AOR,Restated
2012-10,368.50M,,368.50M,681.50M,9.10M,681.50M,454.30M,124.60M,218.60M,,797.50M,,19.20M,188.30M,2.055B,,,,,,,,415.90M,615.80M,667.60M,1.283B,10.90M,38.70M,1.749B,3.804B,,480.70M,,9.00M,,489.70M,,489.70M,,,10.60M,10.60M,5.60M,5.60M,,505.90M,501.40M,,501.40M,185.20M,185.20M,,243.10M,63.50M,993.20M,1.499B,,34.10M,3.208B,67.00M,781.10M,,-4.70M,-210.60M,-7.70M,,-223.00M,2.305B,,AOR,Restated
2012-07,361.50M,,361.50M,524.90M,,524.90M,458.20M,117.60M,188.60M,,764.40M,,21.20M,177.50M,1.850B,,,,,,,,404.60M,612.10M,664.80M,1.277B,10.40M,41.60M,1.734B,3.583B,,375.70M,49.80M,35.50M,,461.00M,,461.00M,,,9.20M,9.20M,6.10M,6.10M,,476.30M,502.10M,,502.10M,172.60M,172.60M,,256.60M,53.40M,984.70M,1.461B,,34.10M,3.057B,59.30M,796.90M,,4.10M,-215.40M,-20.20M,,-231.50M,2.122B,,AOR,Restated
2012-04,338.00M,,338.00M,475.00M,,475.00M,50.00M,115.00M,547.00M,,712.00M,120.00M,36.00M,68.00M,1.749B,0.00,70.00M,330.00M,454.00M,21.00M,875.00M,-476.00M,399.00M,617.00M,668.00M,1.285B,6.00M,38.00M,1.728B,3.477B,,120.00M,,68.00M,,188.00M,115.00M,303.00M,,,7.00M,7.00M,1.00M,1.00M,,404.00M,503.00M,,503.00M,158.00M,158.00M,,278.00M,65.00M,1.004B,1.408B,,24.00M,3.031B,49.00M,805.00M,,,-220.00M,-7.00M,-3.00M,-230.00M,2.069B,,AOR,Restated
2012-01,494.90M,,494.90M,568.70M,,568.70M,417.10M,115.20M,151.90M,,684.20M,,24.20M,181.10M,1.953B,,,,,,,,385.30M,616.60M,667.70M,1.284B,9.90M,43.80M,1.723B,3.676B,,390.80M,49.70M,20.30M,,460.80M,,460.80M,,,258.00M,258.00M,6.80M,6.80M,,725.60M,503.50M,,503.50M,173.40M,173.40M,,173.50M,65.70M,916.10M,1.642B,,23.40M,2.927B,53.00M,807.80M,,,,,,-160.90M,2.035B,,AOR,Restated
2011-10,380.10M,,380.10M,641.90M,,641.90M,401.70M,105.70M,187.10M,,694.50M,,41.90M,187.20M,1.946B,,,,,,,,383.00M,621.80M,672.10M,1.294B,10.40M,40.70M,1.728B,3.674B,,453.30M,,35.70M,,489.00M,,489.00M,,,256.00M,256.00M,7.70M,7.70M,,752.70M,504.20M,,504.20M,162.30M,162.30M,,171.20M,77.00M,914.70M,1.667B,,23.40M,2.893B,58.80M,810.80M,,,,,,-158.40M,2.006B,,AOR,Restated
2011-07,552.50M,,552.50M,523.30M,,523.30M,405.70M,114.50M,165.30M,,685.50M,,48.40M,201.90M,2.012B,,,,,,,,388.00M,623.20M,674.50M,1.298B,11.40M,40.50M,1.738B,3.749B,,404.00M,46.30M,,,450.30M,51.80M,502.10M,,,256.30M,256.30M,8.50M,8.50M,,766.90M,505.10M,,505.10M,153.60M,153.60M,176.20M,,77.20M,912.10M,1.679B,,23.40M,2.735B,57.30M,613.90M,,,,,,-132.00M,2.070B,,AOR,Restated
2011-04,567.00M,,567.00M,496.00M,,496.00M,377.00M,120.00M,150.00M,,647.00M,,48.00M,218.00M,1.976B,0.00,69.00M,317.00M,446.00M,11.00M,843.00M,-450.00M,393.00M,625.00M,670.00M,1.295B,12.00M,36.00M,1.736B,3.712B,,126.00M,,32.00M,-32.00M,126.00M,280.00M,406.00M,,,255.00M,255.00M,8.00M,8.00M,32.00M,707.00M,504.00M,,504.00M,150.00M,150.00M,203.00M,,88.00M,945.00M,1.652B,,24.00M,2.71B,55.00M,598.00M,,-14.00M,-165.00M,48.00M,,-131.00M,2.06B,,AOR,Restated
2011-01,231.60M,,231.60M,418.00M,,418.00M,352.00M,156.50M,142.10M,,650.60M,,42.20M,184.10M,1.526B,,,,,,,,467.80M,666.50M,669.60M,1.336B,11.00M,41.60M,1.856B,3.383B,,342.40M,0.00,3.70M,,346.10M,,346.10M,,,190.40M,190.40M,9.10M,9.10M,,545.60M,507.90M,,507.90M,82.20M,82.20M,,283.40M,68.90M,942.40M,1.488B,,23.40M,2.464B,59.40M,475.90M,,,,,,-176.30M,1.895B,,AOR,Restated
2010-10,155.70M,,155.70M,544.00M,,544.00M,361.40M,151.40M,186.10M,,698.90M,,40.70M,164.40M,1.604B,,,,,,,,449.50M,669.30M,669.40M,1.339B,11.70M,36.50M,1.836B,3.440B,,,,,,381.70M,19.50M,401.20M,,,132.10M,132.10M,9.20M,9.20M,,542.50M,508.50M,,508.50M,96.10M,96.10M,254.00M,,63.60M,922.20M,1.465B,,23.40M,2.642B,60.00M,576.20M,,,,,,-173.70M,1.975B,,AOR,Restated
2010-07,260.80M,,260.80M,411.60M,,411.60M,366.40M,141.90M,163.60M,,671.90M,,36.40M,163.80M,1.544B,,,,,,,,451.80M,664.90M,667.80M,1.333B,11.00M,41.90M,1.837B,3.382B,,313.80M,43.90M,,,357.70M,28.90M,386.60M,,,211.70M,211.70M,9.40M,9.40M,,607.70M,508.80M,,508.80M,81.00M,81.00M,258.60M,,58.90M,907.30M,1.515B,,23.40M,2.488B,60.30M,519.80M,,,,,,-184.90M,1.867B,,AOR,Restated
2010-04,232.00M,,232.00M,418.00M,,418.00M,352.00M,157.00M,142.00M,,651.00M,,42.00M,184.00M,1.527B,0.00,89.00M,349.00M,491.00M,15.00M,944.00M,-476.00M,468.00M,666.00M,669.00M,1.335B,11.00M,42.00M,1.856B,3.383B,,97.00M,,4.00M,-4.00M,97.00M,239.00M,336.00M,,,191.00M,191.00M,9.00M,9.00M,4.00M,546.00M,508.00M,,508.00M,82.00M,82.00M,283.00M,,69.00M,942.00M,1.488B,,24.00M,2.464B,59.00M,476.00M,,3.00M,-190.00M,11.00M,,-176.00M,1.895B,,AOR,Restated
2010-01,241.70M,,241.70M,454.00M,,454.00M,353.00M,151.90M,153.40M,,658.30M,,104.30M,90.10M,1.548B,,,,,,,,464.20M,677.60M,672.90M,1.350B,10.00M,45.20M,1.870B,3.418B,,361.40M,44.10M,,,405.50M,4.80M,410.30M,,,258.40M,258.40M,15.30M,15.30M,,684.00M,508.30M,,508.30M,109.80M,109.80M,171.40M,,63.00M,852.50M,1.536B,,23.40M,2.392B,63.70M,480.00M,,,,,,-117.10M,1.882B,,AOR,Restated
2009-10,289.30M,,289.30M,519.10M,,519.10M,364.50M,138.80M,186.90M,,690.20M,,124.40M,61.40M,1.684B,,,,,,,,473.90M,682.50M,688.60M,1.371B,10.10M,45.50M,1.901B,3.585B,,,,,,392.20M,6.10M,398.30M,,,454.70M,454.70M,16.80M,16.80M,,869.80M,508.50M,,508.50M,105.20M,105.20M,169.20M,,58.10M,841.00M,1.711B,,23.40M,2.372B,67.30M,465.70M,,,,,,-122.80M,1.874B,,AOR,Restated
2009-07,286.50M,,286.50M,392.60M,,392.60M,377.80M,128.40M,179.20M,,685.40M,,126.30M,49.20M,1.54B,,,,,,,,479.70M,678.20M,687.30M,1.366B,11.40M,47.60M,1.904B,3.444B,,323.00M,42.80M,,,365.80M,24.00M,389.80M,,,406.20M,406.20M,15.10M,15.10M,,811.10M,509.10M,,509.10M,95.00M,95.00M,173.50M,,52.50M,830.10M,1.641B,,23.40M,2.225B,69.60M,381.90M,,,,,,-132.70M,1.803B,,AOR,Restated
2009-04,340.00M,,340.00M,367.00M,,367.00M,365.00M,144.00M,143.00M,,652.00M,,,215.00M,1.574B,0.00,89.00M,347.00M,475.00M,14.00M,925.00M,-442.00M,483.00M,675.00M,686.00M,1.361B,11.00M,46.00M,1.901B,3.475B,,326.00M,,,,326.00M,6.00M,332.00M,,,490.00M,490.00M,14.00M,14.00M,,836.00M,509.00M,,509.00M,80.00M,80.00M,175.00M,,59.00M,823.00M,1.659B,,24.00M,2.189B,67.00M,331.00M,,4.00M,,-10.00M,-127.00M,-133.00M,1.816B,,AOR,Restated
