,OperatingRevenue,ExciseTaxes,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-04,950.00M,217.00M,733.00M,221.00M,512.00M,97.00M,269.00M,366.00M,,,19.00M,2.00M,-17.00M,-1.00M,365.00M,147.00M,2.00M,19.00M,-17.00M,-2.00M,-17.00M,128.00M,18.00M,110.00M,,,,110.00M,110.00M,163.00M,16.00M,147.00M,,0.23,,,0.23,0.23,,0.23,,,0.23,0.23,,480.70M,486.46M,0.158,,AOR,Restated
2018-01,1.156B,278.00M,878.00M,291.00M,587.00M,112.00M,173.00M,285.00M,,,17.00M,2.00M,-15.00M,-4.00M,281.00M,306.00M,2.00M,17.00M,-15.00M,-2.00M,-15.00M,289.00M,99.00M,190.00M,,,,190.00M,190.00M,323.00M,17.00M,306.00M,,0.39,,,0.39,0.39,,0.39,,,0.39,0.39,,480.36M,484.24M,0.158,,AOR,Restated
2017-10,1.166B,252.00M,914.00M,304.00M,610.00M,109.00M,162.00M,271.00M,,,16.00M,1.00M,-15.00M,-10.00M,261.00M,349.00M,1.00M,16.00M,-15.00M,-3.00M,-15.00M,331.00M,92.00M,239.00M,,,,239.00M,239.00M,363.00M,16.00M,347.00M,,0.50,,,0.50,0.50,,0.49,,,0.49,0.49,,480.15M,483.28M,0.146,,AOR,Restated
2017-07,929.00M,206.00M,723.00M,230.00M,493.00M,87.00M,161.00M,248.00M,,,16.00M,1.00M,-15.00M,-1.00M,247.00M,246.00M,1.00M,16.00M,-15.00M,-2.00M,-15.00M,229.00M,51.00M,178.00M,,,,178.00M,178.00M,260.00M,15.00M,245.00M,,0.37,,,0.37,0.37,,0.37,,,0.37,0.37,,480.05M,482.98M,0.146,,AOR,Restated
2017-04,888.00M,193.00M,695.00M,215.00M,480.00M,81.00M,169.00M,250.00M,,,15.00M,1.00M,-14.00M,-2.00M,248.00M,232.00M,1.00M,15.00M,-14.00M,,-14.00M,197.00M,52.00M,145.00M,,,,145.00M,145.00M,228.00M,16.00M,212.00M,,0.304,,,0.304,0.304,,0.296,,,0.296,0.296,,480.22M,483.45M,0.146,,AOR,Restated
2017-01,1.059B,251.00M,808.00M,272.00M,536.00M,102.00M,162.00M,264.00M,,,16.00M,1.00M,-15.00M,-1.00M,263.00M,273.00M,1.00M,16.00M,-15.00M,,-15.00M,258.00M,76.00M,182.00M,,,,182.00M,182.00M,288.00M,14.00M,274.00M,,0.38,,,0.38,0.38,,0.38,,,0.38,0.38,,480.65M,483.96M,0.146,,AOR,Restated
2016-10,1.055B,225.00M,830.00M,278.00M,552.00M,107.00M,163.00M,270.00M,,,16.00M,1.00M,-15.00M,-9.00M,261.00M,291.00M,1.00M,16.00M,-15.00M,,-15.00M,276.00M,79.00M,197.00M,,,,197.00M,197.00M,305.00M,13.00M,292.00M,,0.408,,,0.408,0.408,,0.40,,,0.40,0.40,,486.31M,489.81M,0.136,,AOR,Restated
2016-07,856.00M,195.00M,661.00M,208.00M,453.00M,82.00M,163.00M,245.00M,,,13.00M,1.00M,-12.00M,-5.00M,240.00M,213.00M,1.00M,13.00M,-12.00M,,-12.00M,201.00M,57.00M,144.00M,,,,144.00M,144.00M,229.00M,15.00M,214.00M,,0.296,,,0.296,0.296,,0.288,,,0.288,0.288,,491.27M,495.01M,0.136,,AOR,Restated
2016-04,933.00M,204.00M,729.00M,216.00M,513.00M,100.00M,181.00M,281.00M,,,12.00M,1.00M,-11.00M,,272.00M,241.00M,1.00M,12.00M,-11.00M,,-11.00M,715.00M,193.00M,522.00M,,,,522.00M,522.00M,743.00M,16.00M,727.00M,,1.048,,,1.048,1.048,,1.04,,,1.04,1.04,,497.95M,500.98M,0.136,,AOR,Restated
2016-01,1.083B,274.00M,809.00M,254.00M,555.00M,107.00M,167.00M,274.00M,,,12.00M,0.00,-12.00M,3.00M,277.00M,278.00M,0.00,12.00M,-12.00M,,-12.00M,266.00M,76.00M,190.00M,,,,190.00M,190.00M,291.00M,13.00M,278.00M,,0.376,,,0.376,0.376,,0.376,,,0.376,0.376,,502.96M,505.98M,0.136,,AOR,Restated
2015-10,1.096B,242.00M,854.00M,268.00M,586.00M,115.00M,171.00M,286.00M,,,12.00M,0.00,-12.00M,-2.00M,284.00M,302.00M,0.00,12.00M,-12.00M,,-12.00M,290.00M,90.00M,200.00M,,,,200.00M,200.00M,316.00M,14.00M,302.00M,,0.392,,,0.392,0.392,,0.392,,,0.392,0.392,,510.14M,513.58M,0.126,,AOR,Restated
2015-07,900.00M,201.00M,699.00M,208.00M,491.00M,95.00M,169.00M,264.00M,,,9.00M,0.00,-9.00M,,264.00M,227.00M,0.00,9.00M,-9.00M,,-9.00M,218.00M,62.00M,156.00M,,,,156.00M,156.00M,240.00M,13.00M,227.00M,,0.304,,,0.304,0.304,,0.296,,,0.296,0.296,,518.16M,521.60M,0.126,,AOR,Restated
2015-04,947.00M,208.00M,739.00M,213.00M,526.00M,103.00M,185.00M,288.00M,,,6.00M,1.00M,-5.00M,6.00M,294.00M,232.00M,1.00M,6.00M,-5.00M,,-5.00M,227.00M,86.00M,141.00M,,,,141.00M,141.00M,246.00M,13.00M,233.00M,,0.268,,,0.268,0.268,,0.264,,,0.264,0.264,,524.51M,528.07M,0.126,,AOR,Restated
2015-01,1.093B,280.00M,813.00M,260.00M,553.00M,112.00M,163.00M,275.00M,,,6.00M,,-6.00M,6.00M,281.00M,272.00M,,6.00M,-6.00M,,-6.00M,266.00M,80.00M,186.00M,,,,186.00M,186.00M,285.00M,13.00M,272.00M,,0.352,,,0.352,0.352,,0.348,,,0.348,0.348,,527.82M,531.52M,0.126,,AOR,Restated
2014-10,1.135B,258.00M,877.00M,268.00M,609.00M,123.00M,178.00M,301.00M,,,7.00M,0.00,-7.00M,5.00M,306.00M,303.00M,0.00,7.00M,-7.00M,,-7.00M,296.00M,88.00M,208.00M,,,,208.00M,208.00M,315.00M,12.00M,303.00M,,0.392,,,0.392,0.392,,0.388,,,0.388,0.388,,530.22M,533.92M,0.116,,AOR,Restated
2014-07,921.00M,216.00M,705.00M,210.00M,495.00M,99.00M,170.00M,269.00M,,,7.00M,,-7.00M,5.00M,274.00M,221.00M,,7.00M,-7.00M,,-7.00M,214.00M,64.00M,150.00M,,,,150.00M,150.00M,234.00M,13.00M,221.00M,,0.28,,,0.28,0.28,,0.28,,,0.28,0.28,,533.61M,537.55M,0.116,,AOR,Restated
2014-04,893.00M,204.00M,689.00M,196.00M,493.00M,107.00M,207.00M,314.00M,,,6.00M,0.00,-6.00M,-9.00M,305.00M,188.00M,0.00,6.00M,-6.00M,,-6.00M,182.00M,49.00M,133.00M,,,,133.00M,133.00M,202.00M,14.00M,188.00M,,0.248,,,0.248,0.248,,0.248,,,0.248,0.248,,533.34M,537.45M,0.116,,AOR,Restated
2014-01,1.078B,296.00M,782.00M,250.00M,532.00M,116.00M,161.00M,277.00M,,,6.00M,0.00,-6.00M,,277.00M,255.00M,0.00,6.00M,-6.00M,,-6.00M,249.00M,72.00M,177.00M,,,,177.00M,177.00M,267.00M,12.00M,255.00M,,0.332,,,0.332,0.332,,0.328,,,0.328,0.328,,532.88M,536.98M,0.116,,AOR,Restated
2013-10,1.079B,246.00M,833.00M,257.00M,576.00M,111.00M,162.00M,273.00M,,,7.00M,1.00M,-6.00M,-8.00M,265.00M,311.00M,1.00M,7.00M,-6.00M,,-6.00M,305.00M,99.00M,206.00M,,,,206.00M,206.00M,324.00M,12.00M,312.00M,,0.388,,,0.388,0.388,,0.384,,,0.384,0.384,,533.97M,538.01M,0.102,,AOR,Restated
2013-07,896.00M,210.00M,686.00M,209.00M,477.00M,103.00M,156.00M,259.00M,,,7.00M,1.00M,-6.00M,1.00M,260.00M,217.00M,1.00M,7.00M,-6.00M,,-6.00M,211.00M,68.00M,143.00M,,,,143.00M,143.00M,230.00M,12.00M,218.00M,,0.268,,,0.268,0.268,,0.264,,,0.264,0.264,,534.27M,538.30M,0.102,,AOR,Restated
2013-04,865.00M,205.00M,660.00M,200.00M,460.00M,99.00M,180.00M,279.00M,,,17.00M,1.00M,-16.00M,4.00M,283.00M,177.00M,1.00M,17.00M,-16.00M,,-16.00M,161.00M,48.00M,113.00M,,,,113.00M,113.00M,193.00M,15.00M,178.00M,,0.212,,,0.212,0.212,,0.208,,,0.208,0.208,,533.93M,538.01M,0.102,,AOR,Restated
2013-01,1.027B,280.00M,747.00M,240.00M,507.00M,111.00M,162.00M,273.00M,,,9.00M,1.00M,-8.00M,-3.00M,270.00M,237.00M,1.00M,9.00M,-8.00M,,-8.00M,229.00M,72.00M,157.00M,,,,157.00M,157.00M,250.00M,12.00M,238.00M,,0.296,,,0.296,0.296,,0.292,,,0.292,0.292,,533.65M,537.63M,0.102,,AOR,Restated
2012-10,1.014B,237.00M,777.00M,252.00M,525.00M,107.00M,159.00M,266.00M,,,5.00M,1.00M,-4.00M,-3.00M,263.00M,262.00M,1.00M,5.00M,-4.00M,,-4.00M,258.00M,85.00M,173.00M,,,,173.00M,173.00M,275.00M,12.00M,263.00M,,0.324,,,0.324,0.324,,0.32,,,0.32,0.32,,533.19M,537.23M,0.0933,,AOR,Restated
2012-07,878.00M,212.00M,666.00M,202.00M,464.00M,92.00M,148.00M,240.00M,,,5.00M,0.00,-5.00M,2.00M,242.00M,222.00M,0.00,5.00M,-5.00M,,-5.00M,217.00M,70.00M,147.00M,,,,147.00M,147.00M,234.00M,12.00M,222.00M,,0.276,,,0.276,0.276,,0.276,,,0.276,0.276,,532.92M,537.00M,0.0933,,AOR,Restated
2012-04,800.90M,198.50M,602.40M,180.60M,421.80M,98.70M,176.10M,274.80M,-0.40M,,7.40M,0.90M,-6.50M,-2.30M,272.10M,149.70M,0.90M,7.40M,-6.50M,,-6.50M,143.20M,38.90M,104.30M,,,,104.30M,104.30M,161.90M,11.30M,150.60M,,0.196,,,0.196,0.196,,0.192,,,0.192,0.192,,532.97M,536.94M,0.0933,,AOR,Restated
2012-01,959.00M,257.40M,701.60M,250.70M,450.90M,98.80M,148.00M,246.80M,0.80M,,7.90M,0.60M,-7.30M,-2.90M,244.70M,206.20M,0.60M,7.90M,-7.30M,,-7.30M,198.90M,65.80M,133.10M,,,,133.10M,133.10M,218.70M,11.90M,206.80M,,0.252,,,0.252,0.252,,0.248,,,0.248,0.248,,532.23M,536.25M,0.0933,,AOR,Restated
2011-10,1.014B,232.60M,781.10M,279.20M,501.90M,106.70M,146.80M,253.50M,1.30M,,7.80M,0.70M,-7.10M,0.80M,255.60M,246.30M,0.70M,7.80M,-7.10M,,-7.10M,239.20M,81.60M,157.60M,,,,157.60M,157.60M,259.80M,12.80M,247.00M,,0.292,0.00,,0.292,0.292,,0.292,0.00,,0.292,0.292,,537.03M,540.69M,0.0853,,AOR,Restated
2011-07,840.30M,202.50M,637.80M,217.50M,420.30M,90.80M,139.00M,229.80M,1.30M,,7.90M,0.80M,-7.10M,3.30M,234.40M,185.90M,0.80M,7.90M,-7.10M,,-7.10M,178.80M,60.70M,118.10M,,,,118.10M,118.10M,199.70M,13.00M,186.70M,,0.216,0.00,,0.216,0.216,,0.216,0.00,,0.216,0.216,,543.10M,547.00M,0.0853,,AOR,Restated
2011-04,791.00M,180.80M,610.20M,187.30M,422.90M,99.30M,166.80M,266.10M,1.20M,,8.10M,1.30M,-6.80M,,191.30M,231.60M,1.30M,8.10M,-6.80M,,-6.80M,215.10M,49.20M,165.90M,,,,165.90M,165.90M,236.30M,13.10M,223.20M,,0.3027,,,0.3027,0.3027,,0.3013,,,0.3013,0.3013,,543.95M,547.66M,0.0853,,AOR,Restated
2011-01,962.40M,254.40M,708.00M,244.50M,463.50M,96.80M,142.30M,239.10M,1.30M,2.40M,7.50M,0.60M,-6.90M,,240.40M,223.10M,0.60M,7.50M,-6.90M,2.40M,-6.90M,218.60M,77.90M,140.70M,,,,140.70M,139.16M,240.30M,14.20M,226.10M,,0.2587,0.00,,0.2558,0.2587,,0.256,0.00,,0.2532,0.256,,543.98M,547.65M,0.0853,,AOR,Restated
2010-10,905.70M,207.30M,698.40M,239.60M,458.80M,93.50M,132.90M,226.40M,1.30M,3.90M,6.70M,0.60M,-6.10M,,227.70M,231.10M,0.60M,6.70M,-6.10M,3.90M,-6.10M,228.90M,74.90M,154.00M,,,,154.00M,151.38M,249.80M,14.20M,235.60M,,0.2827,0.00,,0.2779,0.2827,,0.28,0.00,,0.2752,0.28,,546.18M,549.39M,0.08,,AOR,Restated
2010-07,744.90M,175.50M,569.40M,190.60M,378.80M,76.30M,131.90M,208.20M,1.30M,,6.70M,0.50M,-6.20M,-3.40M,206.10M,172.70M,0.50M,6.70M,-6.20M,,-6.20M,166.50M,55.10M,111.40M,,,,111.40M,111.40M,187.70M,14.50M,173.20M,,0.2027,0.00,,0.2027,0.2027,,0.2027,0.00,,0.2027,0.2027,,549.64M,552.69M,0.08,,AOR,Restated
2010-04,733.50M,171.50M,562.00M,185.00M,377.00M,89.80M,165.30M,255.10M,1.20M,,7.40M,1.10M,-6.30M,,263.30M,113.70M,1.10M,7.40M,-6.30M,,-6.30M,112.20M,39.70M,72.50M,,,,72.50M,72.50M,134.80M,15.20M,119.60M,,0.1307,0.00,,0.1307,0.1307,,0.1307,0.00,,0.1307,0.1307,,550.69M,553.72M,0.08,,AOR,Restated
2010-01,861.70M,224.30M,637.40M,226.50M,410.90M,92.00M,131.50M,223.50M,1.30M,-12.20M,7.60M,0.50M,-7.10M,,224.80M,186.10M,0.50M,7.60M,-7.10M,-12.20M,-7.10M,166.80M,58.90M,107.90M,,,,107.90M,115.79M,189.60M,15.20M,174.40M,,0.1947,0.00,,0.2090,0.1947,,0.1947,0.00,,0.2089,0.1947,,550.34M,553.28M,0.08,,AOR,Restated
2009-10,1.087B,194.10M,892.90M,255.80M,443.00M,92.10M,125.10M,217.20M,1.30M,,7.80M,0.40M,-7.40M,-1.10M,217.40M,419.70M,0.40M,7.80M,-7.40M,,-7.40M,218.20M,70.90M,147.30M,,,,147.30M,147.30M,240.20M,14.20M,226.00M,,0.264,0.00,,0.264,0.264,,0.264,0.00,,0.264,0.264,,554.97M,557.60M,0.0767,,AOR,Restated
2009-07,737.90M,167.10M,570.80M,190.70M,380.10M,76.00M,117.20M,193.20M,1.30M,,8.10M,1.00M,-7.10M,-6.40M,188.10M,192.00M,1.00M,8.10M,-7.10M,,-7.10M,184.90M,63.50M,121.40M,,,,121.40M,121.40M,207.40M,14.40M,193.00M,,0.216,0.00,,0.216,0.216,,0.216,0.00,,0.216,0.216,,561.02M,563.52M,0.0767,,AOR,Restated
2009-04,683.10M,146.30M,536.80M,177.90M,358.90M,88.90M,150.80M,239.70M,1.20M,,8.80M,1.30M,-7.50M,,257.50M,101.40M,1.30M,8.80M,-7.50M,,-7.50M,113.90M,33.70M,80.20M,,,,80.20M,80.20M,137.60M,14.90M,122.70M,,0.1413,0.00,,0.1413,0.1413,,0.1413,0.00,,0.1413,0.1413,,563.34M,565.50M,0.0767,,AOR,Restated
2009-01,784.10M,191.70M,592.40M,221.80M,370.60M,87.00M,113.10M,200.10M,1.30M,,9.40M,1.30M,-8.10M,-8.00M,193.40M,177.20M,1.30M,9.40M,-8.10M,,-8.10M,169.10M,45.70M,123.40M,,,,123.40M,123.40M,192.00M,13.50M,178.50M,,0.2187,0.00,,0.2187,0.2187,,0.216,0.00,,0.216,0.216,,564.54M,567.52M,0.0767,,,Restated
2008-10,934.70M,196.80M,737.90M,271.20M,466.70M,110.00M,139.90M,249.90M,1.30M,,9.60M,1.70M,-7.90M,-6.20M,245.00M,221.70M,1.70M,9.60M,-7.90M,,-7.90M,213.80M,70.60M,143.20M,,,,143.20M,143.20M,236.70M,13.30M,223.40M,,0.2533,0.00,,0.2533,0.2533,,0.2507,0.00,,0.2507,0.2507,,564.98M,568.84M,0.0725,,,Restated
2008-07,790.00M,176.20M,613.80M,233.00M,380.80M,97.00M,144.30M,241.30M,1.30M,,9.20M,1.70M,-7.50M,-2.40M,240.20M,140.60M,1.70M,9.20M,-7.50M,,-7.50M,133.10M,44.90M,88.20M,,,,88.20M,88.20M,155.60M,13.30M,142.30M,,0.1573,0.00,,0.1573,0.1573,,0.1547,0.00,,0.1547,0.1547,,564.76M,569.26M,0.0725,,,Restated
2008-04,772.10M,165.20M,606.90M,205.50M,401.40M,100.80M,158.90M,259.70M,1.20M,,,,,5.20M,266.10M,135.30M,,,,,,126.80M,27.50M,99.30M,,,,99.30M,99.30M,156.90M,13.60M,143.30M,,0.176,0.00,,0.176,0.176,,0.1733,0.00,,0.1733,0.176,,565.62M,569.84M,0.0725,,,Restated
2008-01,877.40M,205.00M,672.40M,239.80M,432.60M,107.60M,143.30M,250.90M,1.30M,1.20M,,,,-1.20M,251.00M,181.60M,,,,1.20M,,172.50M,56.60M,115.90M,0.10M,,,116.00M,115.09M,194.30M,12.70M,181.60M,,0.2027,0.00,,0.2013,0.2027,,0.20,0.00,,0.1986,0.20,,575.79M,581.13M,0.0725,,,
2007-10,893.40M,177.80M,715.60M,245.60M,470.00M,112.60M,146.70M,259.30M,1.30M,3.20M,,,,-3.20M,257.40M,212.60M,,,,3.20M,,200.40M,70.90M,129.50M,-0.10M,,,129.40M,127.43M,225.50M,12.90M,212.60M,,0.224,0.00,,0.2204,0.224,,0.2219,0.00,,0.2183,0.2219,,578.02M,583.75M,0.0645,,,
2007-07,891.10M,152.00M,739.10M,196.10M,543.00M,94.00M,143.10M,237.10M,1.30M,2.80M,,,,-2.80M,235.60M,307.40M,,,,2.80M,,144.30M,48.90M,247.40M,-0.10M,,,247.30M,245.55M,320.20M,12.80M,307.40M,,0.1643,0.00,,0.1611,0.1643,,0.1643,0.00,,0.1611,0.1643,,577.58M,583.28M,0.0645,,,
2007-04,690.60M,141.90M,548.70M,186.60M,362.10M,93.80M,158.90M,252.70M,,-1.10M,,,,1.10M,253.80M,108.30M,,,,-1.10M,,97.70M,28.60M,69.10M,-2.80M,,,66.30M,69.88M,120.50M,12.20M,108.30M,,0.1207,-0.0051,,0.1221,0.1156,,0.1186,-0.0051,,0.1199,0.1156,,577.36M,582.34M,0.0645,,,
2007-01,754.80M,172.70M,582.10M,194.80M,387.30M,94.20M,129.20M,223.40M,,4.90M,,,,-4.90M,218.50M,168.80M,,,,4.90M,,166.30M,54.70M,111.60M,-6.50M,,,105.10M,108.31M,180.50M,11.70M,168.80M,,0.1935,-0.0111,,0.1878,0.1824,,0.1916,-0.0111,,0.1859,0.1805,,576.39M,582.33M,0.0645,,,
2006-10,727.10M,145.00M,582.10M,199.50M,382.60M,92.20M,120.90M,213.10M,,13.20M,,,,-13.20M,199.90M,182.70M,,,,13.20M,,180.80M,56.10M,124.70M,-0.90M,,,123.80M,115.60M,192.60M,9.90M,182.70M,,0.2176,-0.0021,,0.2018,0.2155,,0.2133,-0.0021,,0.1977,0.2133,,575.97M,582.61M,0.0597,,,
2006-07,639.70M,128.40M,511.30M,159.90M,351.40M,81.20M,131.00M,212.20M,,2.00M,,,,-2.00M,210.20M,141.20M,,,,2.00M,,140.00M,46.20M,93.80M,-0.10M,,,93.70M,92.46M,151.40M,10.20M,141.20M,,0.1621,0.00,,0.1598,0.1621,,0.1621,0.00,,0.1598,0.1621,,574.75M,581.56M,0.0597,,,
2006-04,584.90M,122.10M,462.80M,140.20M,322.60M,79.80M,140.50M,220.30M,,0.30M,,,,-0.30M,220.00M,102.60M,,,,0.30M,,102.30M,27.20M,75.10M,2.80M,,,77.90M,74.88M,112.30M,9.70M,102.60M,,0.1318,0.0047,,0.1315,0.1365,,0.1301,0.0047,,0.1298,0.1350,,573.37M,579.55M,0.0597,,,
2006-01,627.60M,132.80M,494.80M,164.00M,330.80M,84.70M,113.30M,198.00M,,32.50M,,,,-32.50M,165.50M,165.30M,,,,32.50M,,165.60M,45.50M,120.10M,0.40M,,,120.50M,96.53M,171.60M,6.30M,165.30M,,0.2099,0.0006,,0.1687,0.2106,,0.2074,0.0006,,0.1667,0.208,,572.42M,579.18M,0.0597,,,
2005-10,665.80M,115.40M,550.40M,193.00M,357.40M,87.40M,110.20M,197.60M,,0.40M,,,,-0.40M,197.20M,160.20M,,,,0.40M,,158.90M,47.10M,111.80M,-3.00M,,,108.80M,111.52M,175.40M,15.20M,160.20M,,0.1963,-0.0064,,0.1958,0.1899,,0.1941,-0.0064,,0.1936,0.1877,,571.95M,577.70M,0.0523,,,
2005-07,547.50M,97.70M,449.80M,146.80M,303.00M,72.30M,110.30M,182.60M,,13.70M,,,,-13.70M,168.90M,134.10M,,,,13.70M,,131.50M,44.00M,87.50M,-74.70M,,,12.80M,78.38M,144.90M,10.80M,134.10M,,0.1536,-0.1323,,0.1377,0.0213,,0.1515,-0.1323,,0.1357,0.0213,,571.62M,577.32M,0.0523,,,
2005-04,479.40M,97.60M,381.80M,114.70M,267.10M,73.10M,108.80M,181.90M,,1.10M,,,,-1.40M,180.50M,86.60M,,,,1.10M,,84.90M,23.50M,61.40M,-28.00M,,,33.40M,60.60M,96.80M,10.20M,86.60M,,0.1084,-0.0013,,0.1070,0.1071,,0.1071,-0.0013,,0.1057,0.1060,,570.15M,575.18M,0.0523,,,
2005-01,607.10M,127.80M,479.30M,174.30M,305.00M,76.80M,109.30M,186.10M,,72.00M,,,,1.50M,187.60M,117.40M,,,,72.00M,,188.90M,64.50M,124.40M,-29.40M,,,95.00M,76.98M,121.30M,3.90M,117.40M,,0.2176,-0.0512,,0.1345,0.1664,,0.2176,-0.0512,,0.1350,0.1664,,570.73M,574.13M,0.0523,,,
