,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2002-12,5.377B,5.377B,4.095B,1.282B,179.00M,132.00M,56.00M,,,,18.00M,329.00M,953.00M,,,,66.00M,,415.00M,116.00M,305.00M,,305.00M,264.65M,1.332B,310.00M,1.022B,,0.445,0.00,0.3864,0.445,,0.44,0.00,0.3817,0.44,,688.60M,692.00M,0.175,,,Restated
2002-09,5.075B,5.075B,3.798B,1.277B,646.00M,167.00M,20.00M,,,,135.00M,948.00M,329.00M,,,,21.00M,,283.00M,71.00M,213.00M,,213.00M,198.02M,641.00M,312.00M,329.00M,,0.31,0.00,0.2882,0.31,,0.305,0.00,0.2834,0.305,,688.40M,692.40M,0.175,,,
2002-06,5.291B,5.291B,3.957B,1.334B,620.00M,186.00M,-27.00M,,,,135.00M,941.00M,393.00M,,,,-33.00M,,295.00M,89.00M,200.00M,,200.00M,218.85M,695.00M,302.00M,393.00M,,0.29,0.00,0.3174,0.29,,0.29,0.00,0.3171,0.29,,688.00M,696.40M,0.175,,,
2002-03,4.409B,4.409B,3.296B,1.113B,649.00M,171.00M,20.00M,,,,123.00M,943.00M,170.00M,,,,15.00M,,121.00M,36.00M,80.00M,,80.00M,65.95M,466.00M,296.00M,170.00M,,0.115,0.00,0.0946,0.115,,0.115,0.00,0.0948,0.115,,687.20M,695.40M,0.175,,,
2001-12,5.096B,5.096B,3.911B,1.185B,653.00M,190.00M,97.00M,,,,139.00M,982.00M,203.00M,,,,97.00M,,237.00M,70.00M,167.00M,,167.00M,98.65M,500.00M,297.00M,203.00M,,0.245,0.00,0.1455,0.245,,0.24,0.00,0.1415,0.24,,686.60M,693.60M,0.175,,,
2001-09,5.056B,5.056B,3.749B,1.307B,638.00M,167.00M,23.00M,,,,161.00M,966.00M,341.00M,,,,27.00M,,295.00M,94.00M,205.00M,,205.00M,189.33M,631.00M,290.00M,341.00M,,0.30,0.00,0.2772,0.30,,0.295,0.00,0.2725,0.295,,686.60M,695.00M,0.175,,,
2001-06,5.488B,5.488B,4.028B,1.46B,655.00M,172.00M,19.00M,,,,175.00M,1.002B,458.00M,,,,16.00M,,402.00M,128.00M,271.00M,,271.00M,258.05M,751.00M,293.00M,458.00M,,0.395,0.00,0.3761,0.395,,0.39,0.00,0.3714,0.39,,686.60M,695.60M,0.17,,,
2001-03,4.81B,4.81B,3.531B,1.279B,621.00M,167.00M,6.00M,,,,,788.00M,491.00M,,,,6.00M,,237.00M,75.00M,162.00M,,162.00M,157.90M,780.00M,289.00M,491.00M,,0.235,0.00,0.2291,0.235,,0.235,0.00,0.2291,0.235,,689.36M,689.36M,0.17,,,
2000-12,5.114B,5.114B,4.397B,717.00M,670.00M,176.00M,7.00M,,,,,77.00M,640.00M,,,,7.00M,,392.00M,128.00M,264.00M,,264.00M,259.29M,893.00M,253.00M,640.00M,,0.385,0.00,0.3781,0.385,,0.385,0.00,0.3781,0.385,,685.59M,685.59M,0.17,,,
2000-09,4.779B,4.779B,3.216B,1.563B,650.00M,161.00M,21.00M,,,,,1.066B,497.00M,,,,21.00M,,261.00M,45.00M,216.00M,,216.00M,198.62M,752.00M,255.00M,497.00M,,0.315,0.00,0.2897,0.315,,0.31,0.00,0.2851,0.31,,685.71M,696.77M,0.17,,,
2000-06,5.363B,5.363B,3.583B,1.78B,647.00M,157.00M,-9.00M,,,,,1.061B,719.00M,,,,-9.00M,,466.00M,151.00M,315.00M,,315.00M,321.08M,976.00M,257.00M,719.00M,,0.455,0.00,0.4638,0.455,,0.45,0.00,0.4587,0.45,,692.31M,700.00M,0.1625,,,
2000-03,4.919B,4.919B,3.301B,1.618B,637.00M,155.00M,36.00M,,,,,1.049B,569.00M,,,,36.00M,,381.00M,123.00M,258.00M,,258.00M,233.62M,826.00M,257.00M,569.00M,,0.365,0.00,0.3305,0.365,,0.365,0.00,0.3305,0.365,,706.85M,706.85M,0.1625,,,
1999-12,5.019B,5.019B,3.447B,1.572B,640.00M,168.00M,56.00M,,,,,1.051B,521.00M,,,,56.00M,,358.00M,119.00M,239.00M,,239.00M,201.61M,764.00M,243.00M,521.00M,,0.335,0.00,0.2766,0.335,,0.33,0.00,0.2716,0.33,,640.60M,640.60M,0.1625,,,
1999-09,4.715B,4.715B,3.235B,1.48B,616.00M,151.00M,58.00M,,,,,1.002B,478.00M,,,,58.00M,,323.00M,104.00M,219.00M,,219.00M,179.67M,713.00M,235.00M,478.00M,,0.31,0.00,0.2564,0.31,,0.305,0.00,0.2522,0.305,,734.20M,745.00M,0.1625,,,
1999-06,5.101B,5.101B,3.508B,1.593B,632.00M,152.00M,46.00M,,,,,1.019B,574.00M,,,,46.00M,,419.00M,136.00M,283.00M,,283.00M,251.93M,809.00M,235.00M,574.00M,,0.40,0.00,0.3577,0.40,,0.39,0.00,0.3483,0.39,,734.20M,745.00M,0.15,,,
1999-03,4.867B,4.867B,3.346B,1.521B,653.00M,155.00M,16.00M,,,,,1.04B,481.00M,,,,16.00M,,301.00M,96.00M,205.00M,,205.00M,194.10M,713.00M,232.00M,481.00M,,0.29,0.00,0.2752,0.29,,0.285,0.00,0.2704,0.285,,734.20M,745.00M,0.15,,,
1998-12,5.406B,5.406B,3.758B,1.648B,709.00M,160.00M,33.00M,,,,,1.082B,566.00M,,,,33.00M,,401.00M,100.00M,301.00M,,301.00M,276.23M,779.00M,213.00M,566.00M,,0.425,0.00,0.3902,0.425,,0.415,0.00,0.3810,0.415,,712.28M,727.94M,0.15,,,
1998-09,5.173B,5.173B,3.525B,1.648B,631.00M,163.00M,46.00M,,,,,1.017B,631.00M,,,,46.00M,,474.00M,138.00M,336.00M,,336.00M,303.39M,854.00M,223.00M,631.00M,,0.465,0.00,0.4199,0.465,,0.46,0.00,0.4154,0.46,,722.58M,730.43M,0.15,,,
1998-06,5.604B,5.604B,3.753B,1.851B,634.00M,165.00M,29.00M,,,,,1.024B,827.00M,,,,29.00M,,666.00M,220.00M,446.00M,,446.00M,426.58M,1.052B,225.00M,827.00M,,0.61,0.00,0.5834,0.61,,0.60,0.00,0.5739,0.60,,731.15M,743.33M,0.125,,,
1998-03,4.794B,4.794B,3.13B,1.664B,587.00M,155.00M,81.00M,,,,,946.00M,718.00M,,,,81.00M,,637.00M,207.00M,430.00M,,430.00M,375.32M,922.00M,204.00M,718.00M,,0.585,0.00,0.5105,0.585,,0.575,0.00,0.5016,0.575,,734.20M,745.00M,0.125,,,
1997-12,5.193B,5.193B,3.492B,1.701B,626.00M,144.00M,67.00M,,,,,943.00M,758.00M,,,,67.00M,,668.00M,217.00M,451.00M,,451.00M,405.76M,931.00M,173.00M,758.00M,,0.61,0.00,0.5487,0.61,,0.60,0.00,0.5397,0.60,,737.89M,750.26M,0.125,,,
1997-09,4.60B,4.60B,3.089B,1.511B,561.00M,132.00M,71.00M,,,,,882.00M,629.00M,,,,71.00M,,551.00M,166.00M,385.00M,,385.00M,335.39M,818.00M,189.00M,629.00M,,0.515,0.00,0.4486,0.515,,0.505,0.00,0.4399,0.505,,747.57M,762.38M,0.125,,,
1997-06,4.87B,4.87B,3.263B,1.607B,547.00M,135.00M,57.00M,,,,,869.00M,738.00M,,,,57.00M,,652.00M,217.00M,435.00M,,435.00M,396.97M,925.00M,187.00M,738.00M,,0.575,0.00,0.5247,0.575,,0.565,0.00,0.5156,0.565,,756.52M,769.91M,0.10,,,
1997-03,4.262B,4.262B,2.792B,1.47B,498.00M,117.00M,55.00M,,,,,804.00M,666.00M,,,,55.00M,,590.00M,196.00M,394.00M,,394.00M,357.27M,855.00M,189.00M,666.00M,,0.52,0.00,0.4715,0.52,,0.515,0.00,0.4670,0.515,,757.69M,765.05M,0.10,,,
1996-12,4.465B,4.465B,2.998B,1.467B,692.00M,,62.00M,,,,,865.00M,602.00M,,,,62.00M,,532.00M,151.00M,381.00M,,381.00M,336.60M,775.00M,173.00M,602.00M,,0.4975,0.00,0.4395,0.4975,,0.4975,0.00,0.4417,0.4975,,765.10M,796.15M,0.10,,,
1996-09,4.033B,4.033B,2.73B,1.303B,596.00M,,47.00M,,,,,771.00M,532.00M,,,,47.00M,,448.00M,138.00M,310.00M,,310.00M,277.48M,707.00M,175.00M,532.00M,,0.405,0.00,0.3625,0.405,,0.405,0.00,0.3625,0.405,,765.43M,765.43M,0.10,,,
1996-06,4.18B,4.18B,2.802B,1.378B,568.00M,,44.00M,,,,,742.00M,636.00M,,,,44.00M,,555.00M,181.00M,374.00M,,374.00M,344.35M,810.00M,174.00M,636.00M,,0.485,0.00,0.4466,0.485,,0.485,0.00,0.4466,0.485,,771.13M,771.13M,0.0875,,,
1996-03,3.844B,3.844B,2.59B,1.254B,563.00M,,44.00M,,,,,737.00M,517.00M,,,,44.00M,,439.00M,143.00M,296.00M,,296.00M,266.33M,691.00M,174.00M,517.00M,,0.38,0.00,0.3419,0.38,,0.38,0.00,0.3419,0.38,,778.95M,778.95M,0.0875,,,
1995-12,4.213B,4.213B,2.957B,1.256B,564.00M,,28.00M,,,,,729.00M,527.00M,,,,28.00M,,433.00M,133.00M,300.00M,,300.00M,280.60M,692.00M,165.00M,527.00M,,0.38,0.00,0.3554,0.38,,0.37,0.00,0.3461,0.37,,789.05M,811.43M,0.0875,,,
1995-09,3.733B,3.733B,2.709B,1.024B,498.00M,,53.00M,,,,,667.00M,357.00M,,,,53.00M,,282.00M,69.00M,213.00M,,213.00M,172.97M,526.00M,169.00M,357.00M,,0.27,0.00,0.2193,0.27,,0.27,0.00,0.2193,0.27,,788.89M,788.89M,0.0875,,,
1995-06,4.213B,4.213B,2.936B,1.277B,535.00M,,31.00M,,,,,709.00M,568.00M,,,,31.00M,,479.00M,156.00M,323.00M,,323.00M,302.10M,742.00M,174.00M,568.00M,,0.405,0.00,0.3788,0.405,,0.405,0.00,0.3788,0.405,,797.53M,797.53M,0.0625,,,
1995-03,3.913B,3.913B,2.716B,1.197B,501.00M,,35.00M,,,,,675.00M,522.00M,,,,35.00M,,443.00M,143.00M,300.00M,,300.00M,276.30M,696.00M,174.00M,522.00M,,0.375,0.00,0.3454,0.375,,0.375,0.00,0.3454,0.375,,800.00M,800.00M,0.0625,,,
1994-12,3.928B,3.928B,2.264B,1.664B,740.00M,,41.00M,,,,,1.194B,470.00M,,,,41.00M,,402.00M,100.00M,302.00M,,279.00M,248.20M,610.00M,174.00M,436.00M,,0.345,0.00,0.3069,0.345,,0.345,0.00,0.3075,0.345,,809.06M,822.40M,0.0375,,,
1994-09,3.509B,3.509B,2.674B,835.00M,378.00M,69.00M,27.00M,103.00M,0.00,-103.00M,,447.00M,388.00M,0.00,103.00M,-103.00M,27.00M,-103.00M,312.00M,75.00M,237.00M,7.00M,244.00M,223.49M,585.00M,170.00M,415.00M,,0.30,0.00,0.2747,0.30,,0.2975,0.00,0.2725,0.2975,,812.00M,820.80M,0.0375,,,
1994-06,3.605B,3.605B,2.56B,1.045B,460.00M,,26.00M,,,,,630.00M,415.00M,,,,26.00M,,340.00M,100.00M,240.00M,,240.00M,221.65M,585.00M,170.00M,415.00M,,0.295,0.00,0.2724,0.295,,0.295,0.00,0.2724,0.295,,813.56M,813.56M,0.0188,,,
1994-03,3.286B,3.286B,2.314B,972.00M,432.00M,,-3.00M,,,,,601.00M,371.00M,,,,-3.00M,,271.00M,79.00M,192.00M,,192.00M,194.13M,540.00M,169.00M,371.00M,,0.24,0.00,0.2427,0.24,,0.24,0.00,0.2427,0.24,,800.00M,800.00M,0.0188,,,
1993-12,3.168B,3.168B,1.713B,1.455B,723.00M,,276.00M,,,,,1.162B,293.00M,,,,276.00M,,213.00M,64.00M,149.00M,,119.00M,-45.07M,118.00M,165.00M,-47.00M,,0.145,-0.04,-0.0519,0.105,,0.145,-0.04,-0.0515,0.105,,980.35M,982.38M,0.0188,,,
1993-09,2.845B,2.845B,2.224B,621.00M,347.00M,78.00M,39.00M,110.00M,251.00M,141.00M,,425.00M,196.00M,251.00M,110.00M,141.00M,39.00M,141.00M,376.00M,-54.00M,430.00M,2.00M,432.00M,408.60M,655.00M,169.00M,486.00M,,0.5325,0.00,0.5037,0.5325,,0.5275,0.00,0.4989,0.5275,,812.00M,819.20M,0.0188,,,
1993-06,2.905B,2.905B,2.13B,775.00M,427.00M,,23.00M,,,,,595.00M,180.00M,,,,23.00M,,89.00M,22.00M,67.00M,,67.00M,49.69M,348.00M,168.00M,180.00M,,0.085,0.00,0.0630,0.085,,0.085,0.00,0.0630,0.085,,788.24M,788.24M,0.0188,,,
1993-03,2.697B,2.697B,2.006B,691.00M,396.00M,,26.00M,,,,,562.00M,129.00M,,,,26.00M,,44.00M,10.00M,34.00M,,34.00M,13.91M,295.00M,166.00M,129.00M,,0.045,0.00,0.0184,0.045,,0.045,0.00,0.0184,0.045,,755.56M,755.56M,0.0188,,,
1992-12,2.734B,2.734B,2.147B,587.00M,512.00M,,87.00M,,,,,669.00M,-82.00M,,,,87.00M,,-121.00M,-65.00M,-56.00M,,-2.273B,-108.20M,75.00M,157.00M,-82.00M,,-0.07,-2.745,-0.1352,-2.815,,-0.07,-2.745,-0.1352,-2.815,,800.51M,800.51M,0.0188,,,
1992-09,2.677B,2.677B,1.954B,723.00M,406.00M,,9.00M,,,,,571.00M,152.00M,,,,9.00M,,42.00M,19.00M,23.00M,,23.00M,17.60M,317.00M,165.00M,152.00M,,0.03,0.00,0.0230,0.03,,0.03,0.00,0.0230,0.03,,766.67M,766.67M,0.0188,,,
1992-06,2.60B,2.60B,2.037B,563.00M,416.00M,,34.00M,,,,,532.00M,31.00M,,,,34.00M,,-64.00M,-11.00M,-53.00M,,-53.00M,-81.16M,197.00M,166.00M,31.00M,,-0.065,0.00,-0.0995,-0.065,,-0.065,0.00,-0.0995,-0.065,,815.38M,815.38M,0.0188,,,
1992-03,2.183B,2.183B,1.702B,481.00M,385.00M,,4.00M,,,,,551.00M,-70.00M,,,,4.00M,,-189.00M,-57.00M,-132.00M,,-132.00M,-134.79M,96.00M,166.00M,-70.00M,,-0.165,0.00,-0.1685,-0.165,,-0.165,0.00,-0.1685,-0.165,,800.00M,800.00M,0.0188,,,
1991-12,2.458B,2.458B,1.925B,533.00M,735.00M,,50.00M,,,,,887.00M,-354.00M,,,,50.00M,,-423.00M,-105.00M,-318.00M,,-318.00M,-355.59M,-202.00M,152.00M,-354.00M,,-0.39,0.00,-0.4324,-0.39,,-0.39,0.00,-0.4324,-0.39,,886.55M,886.55M,0.0375,,,
1991-09,2.358B,2.358B,1.776B,582.00M,404.00M,,36.00M,,,,,554.00M,28.00M,,,,36.00M,,-58.00M,-21.00M,-37.00M,,-37.00M,-59.97M,178.00M,150.00M,28.00M,,-0.05,0.00,-0.0810,-0.05,,-0.05,0.00,-0.0810,-0.05,,740.00M,740.00M,0.0375,,,
1991-06,2.691B,2.691B,2.088B,603.00M,387.00M,,18.00M,,,,,535.00M,68.00M,,,,18.00M,,-28.00M,-11.00M,-17.00M,,-17.00M,-27.93M,216.00M,148.00M,68.00M,,-0.02,0.00,-0.0329,-0.02,,-0.02,0.00,-0.0329,-0.02,,850.00M,850.00M,0.0375,,,
1991-03,2.675B,2.675B,2.06B,615.00M,385.00M,,-11.00M,,,,,537.00M,78.00M,,,,-11.00M,,-47.00M,-15.00M,-32.00M,,-32.00M,-24.51M,230.00M,152.00M,78.00M,,-0.04,0.00,-0.0306,-0.04,,-0.04,0.00,-0.0306,-0.04,,800.00M,800.00M,0.0375,,,
1990-12,2.757B,2.757B,2.083B,674.00M,465.00M,,32.00M,,,,,593.00M,81.00M,,,,32.00M,,13.00M,2.00M,11.00M,,11.00M,-16.08M,209.00M,128.00M,81.00M,,0.01,0.00,-0.0221,0.01,,0.01,0.00,-0.0221,0.01,,842.77M,842.77M,0.0375,,,
1990-09,2.795B,2.795B,2.105B,690.00M,411.00M,,31.00M,,,,,546.00M,144.00M,,,,31.00M,,74.00M,20.00M,54.00M,,54.00M,31.38M,282.00M,138.00M,144.00M,,0.07,0.00,0.0407,0.07,,0.07,0.00,0.0407,0.07,,771.43M,771.43M,0.0375,,,
1990-06,2.947B,2.947B,2.271B,676.00M,406.00M,,29.00M,,,,,540.00M,136.00M,,,,29.00M,,55.00M,9.00M,46.00M,,46.00M,21.75M,270.00M,131.00M,136.00M,,0.06,0.00,0.0284,0.06,,0.06,0.00,0.0284,0.06,,766.67M,766.67M,0.0375,,,
1990-03,2.937B,2.937B,2.226B,711.00M,394.00M,,60.00M,,,,,530.00M,181.00M,,,,60.00M,,146.00M,47.00M,99.00M,,99.00M,58.32M,317.00M,136.00M,181.00M,,0.125,0.00,0.0736,0.125,,0.125,0.00,0.0736,0.125,,792.00M,792.00M,0.0375,,,
1989-12,2.762B,2.762B,2.071B,691.00M,417.00M,,68.00M,,,,,538.00M,153.00M,,,,68.00M,,131.00M,24.00M,107.00M,,107.00M,51.46M,274.00M,121.00M,153.00M,,0.13,0.00,0.0623,0.13,,0.13,0.00,0.0623,0.13,,820.15M,820.15M,0.0375,,,
1989-09,2.643B,2.643B,1.957B,686.00M,404.00M,,44.00M,,,,,521.00M,165.00M,,,,44.00M,,115.00M,7.00M,108.00M,,108.00M,66.68M,283.00M,118.00M,165.00M,,0.135,0.00,0.0833,0.135,,0.135,0.00,0.0833,0.135,,800.00M,800.00M,0.0375,,,
1989-06,3.041B,3.041B,2.274B,767.00M,387.00M,,40.00M,,,,,503.00M,264.00M,,,,40.00M,,207.00M,66.00M,141.00M,,141.00M,113.75M,380.00M,116.00M,264.00M,,0.175,0.00,0.1412,0.175,,0.175,0.00,0.1412,0.175,,805.71M,805.71M,0.0375,,,
1989-03,2.68B,2.68B,,,,,,,,,,,2.68B,,,,,,,,141.00M,,141.00M,,2.68B,,2.68B,,0.175,0.00,0.175,0.175,,0.175,0.00,0.175,0.175,,811.31M,811.31M,0.0375,,,
1988-12,2.662B,2.662B,,,,,,,,,,,-6.773B,,,,,,,,163.00M,,163.00M,,-6.773B,,-6.773B,,,,,,,,,,,,811.31M,811.31M,0.0235,,,
1988-09,2.789B,2.789B,,,,,,,,,,,2.789B,,,,,,,,190.00M,,190.00M,,2.789B,,2.789B,,0.235,0.00,0.235,0.235,,0.235,0.00,0.235,0.235,,811.30M,811.30M,0.0235,,,
1988-06,2.602B,2.602B,,,,,,,,,,,2.602B,,,,,,,,145.00M,,145.00M,,2.602B,,2.602B,,0.18,0.00,0.18,0.18,,0.18,0.00,0.18,0.18,,811.38M,811.38M,0.0235,,,
1988-03,2.382B,2.382B,,,,,,,,,,,2.382B,,,,,,,,118.00M,,118.00M,,2.382B,,2.382B,,0.145,0.00,0.145,0.145,,0.145,0.00,0.145,0.145,,811.23M,811.23M,0.0235,,,
1987-12,2.241B,2.241B,,,,,,,,,,,-5.457B,,,,,,,,139.00M,,139.00M,,-5.457B,,-5.457B,,,,,,,,,,,,811.38M,811.38M,0.0157,,,
1987-09,2.25B,2.25B,,,,,,,,,,,2.25B,,,,,,,,146.00M,,146.00M,,2.25B,,2.25B,,0.185,0.00,0.185,0.185,,0.185,0.00,0.185,0.185,,811.32M,811.32M,0.0157,,,
1987-06,2.042B,2.042B,,,,,,,,,,,2.042B,,,,,,,,118.00M,,118.00M,,2.042B,,2.042B,,0.15,0.00,0.15,0.15,,0.15,0.00,0.15,0.15,,790.66M,790.66M,0.0157,,,
1987-03,1.647B,1.647B,,,,,,,,,,,1.647B,,,,,,,,-84.00M,,-84.00M,,1.647B,,1.647B,,-0.11,0.00,-0.11,-0.11,,-0.11,0.00,-0.11,-0.11,,790.66M,790.66M,0.0157,,,
1986-12,1.775B,1.775B,,,,,,,,,,,-5.297B,,,,,,,,-148.00M,,-148.00M,,-5.297B,,-5.297B,,,,,,,,,,,,790.66M,790.66M,0.0157,,,
1986-09,1.822B,1.822B,,,,,,,,,,,1.822B,,,,,,,,-26.00M,,-26.00M,,1.822B,,1.822B,,-0.035,0.00,-0.035,-0.035,,-0.035,0.00,-0.035,-0.035,,788.37M,788.37M,0.0157,,,
1986-06,1.989B,1.989B,,,,,,,,,,,1.989B,,,,,,,,139.00M,,139.00M,,1.989B,,1.989B,,0.18,0.00,0.18,0.18,,0.18,0.00,0.18,0.18,,787.72M,787.72M,0.0157,,,
1986-03,1.735B,1.735B,,,,,,,,,,,1.735B,,,,,,,,111.00M,,111.00M,,1.735B,,1.735B,,0.145,0.00,0.145,0.145,,0.145,0.00,0.145,0.145,,787.72M,787.72M,0.0157,,,
1985-12,1.805B,1.805B,,,,,,,,,,,-4.618B,,,,,,,,87.00M,,87.00M,,-4.618B,,-4.618B,,,,,,,,,,,,787.03M,787.03M,,,,
1985-09,1.806B,1.806B,,,,,,,,,,,1.806B,,,,,,,,131.00M,,131.00M,,1.806B,,1.806B,,0.17,0.00,0.17,0.17,,0.17,0.00,0.17,0.17,,782.27M,782.27M,,,,
1985-06,1.639B,1.639B,,,,,,,,,,,1.639B,,,,,,,,50.00M,,50.00M,,1.639B,,1.639B,,0.065,0.00,0.065,0.065,,0.065,0.00,0.065,0.065,,779.73M,779.73M,,,,
1985-03,1.475B,1.475B,,,,,,,,,,,1.475B,,,,,,,,-70.00M,,-70.00M,,1.475B,,1.475B,,-0.09,0.00,-0.09,-0.09,,-0.09,0.00,-0.09,-0.09,,774.37M,774.37M,,,,
1984-12,1.655B,1.655B,,,,,,,,,,,-5.034B,,,,,,,,-251.00M,,-251.00M,,-5.034B,,-5.034B,,,,,,,,,,,,774.37M,774.37M,,,,
1984-09,1.709B,1.709B,,,,,,,,,,,1.709B,,,,,,,,-92.00M,,-92.00M,,1.709B,,1.709B,,-0.12,0.00,-0.12,-0.12,,-0.12,0.00,-0.12,-0.12,,767.58M,767.58M,,,,
1984-06,1.827B,1.827B,,,,,,,,,,,1.827B,,,,,,,,24.00M,,24.00M,,1.827B,,1.827B,,0.035,0.00,0.035,0.035,,0.035,0.00,0.035,0.035,,763.97M,763.97M,,,,
1984-03,1.385B,1.385B,,,,,,,,,,,1.385B,,,,,,,,-109.00M,,-109.00M,,1.385B,,1.385B,,-0.145,0.00,-0.145,-0.145,,-0.145,0.00,-0.145,-0.145,,761.23M,761.23M,,,,
