,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2015-09,580.62M,580.62M,166.82M,413.81M,54.18M,54.18M,,,0.00,,81.04M,6.237M,-74.80M,8.765M,310.41M,103.39M,6.237M,81.04M,-74.80M,292.92M,-74.80M,321.51M,14.33M,307.19M,,,-46.54M,1.671M,260.65M,12.85M,650.02M,247.47M,402.55M,0.49,,,,0.0167,0.49,0.49,,,,0.0243,0.49,523.53M,532.07M,0.4
2015-06,510.40M,510.40M,150.77M,359.64M,51.97M,51.97M,,,-0.236M,,68.90M,1.847M,-67.06M,30.13M,272.29M,87.35M,1.847M,68.90M,-67.06M,124.82M,-67.06M,145.11M,4.851M,140.26M,,,1.658M,1.678M,141.92M,61.66M,404.20M,190.19M,214.01M,0.27,,,,0.1167,0.27,0.27,,,,0.1188,0.27,523.48M,530.64M,0.36
2015-03,462.85M,462.85M,152.28M,310.57M,51.31M,51.31M,,,-16.29M,,66.00M,11.05M,-57.95M,5.575M,226.69M,83.88M,11.05M,66.00M,-57.95M,327.03M,-57.95M,353.20M,1.891M,351.31M,,,-4.436M,1.67M,346.88M,52.47M,589.01M,169.81M,419.20M,0.67,,,,0.0972,0.67,0.65,,,,0.0935,0.65,514.02M,529.02M,0.36
2014-12,450.86M,450.86M,148.86M,302.00M,47.55M,47.55M,,,-1.939M,,70.37M,6.052M,-68.03M,8.096M,227.05M,74.96M,6.052M,70.37M,-68.03M,420.66M,-68.03M,427.37M,-0.354M,427.72M,,,-17.44M,1.678M,410.29M,303.18M,669.14M,171.40M,497.74M,0.82,,,,0.6063,0.82,0.81,,,,0.6012,0.81,501.20M,512.93M,0.33
2014-09,415.15M,415.15M,124.77M,290.38M,58.20M,58.20M,,,-86.08M,,69.09M,0.55M,-68.54M,4.868M,212.27M,78.11M,0.55M,69.09M,-68.54M,114.29M,-68.54M,123.86M,-23.26M,147.13M,,,-9.212M,1.67M,137.92M,82.16M,342.15M,149.20M,192.95M,0.27,,,,0.1583,0.27,0.23,,,,0.122,0.23,499.29M,516.09M,0.33
2014-06,460.09M,460.09M,137.41M,322.68M,60.38M,60.38M,,,-77.56M,,80.18M,5.116M,-75.07M,5.45M,227.40M,95.27M,5.116M,80.18M,-75.07M,123.31M,-75.07M,143.51M,-8.918M,152.43M,,,-71.25M,1.948M,81.18M,14.78M,385.27M,161.58M,223.70M,0.15,,,,0.017,0.15,0.13,,,,0.0015,0.13,499.11M,516.62M,0.33
2014-03,434.68M,434.68M,134.68M,300.00M,63.20M,63.20M,,,0.273M,,82.10M,14.05M,-71.45M,5.053M,228.54M,71.47M,14.05M,82.10M,-71.45M,18.89M,-71.45M,18.88M,6.88M,12.00M,,,-5.202M,2.135M,6.801M,13.70M,261.26M,160.28M,100.98M,0.01,,,,0.0238,0.01,0.01,,,,0.0237,0.01,498.70M,504.37M,0.33
2013-12,436.76M,436.76M,127.28M,309.49M,63.07M,63.07M,,,-112.86M,,83.92M,5.176M,-82.66M,9.488M,238.01M,71.48M,5.176M,83.92M,-82.66M,42.86M,-82.66M,31.68M,22.20M,9.486M,58.78M,,-7.077M,2.135M,61.19M,-0.9678M,283.53M,167.92M,115.61M,0.0,0.12,,,-0.0068,0.12,-0.01,0.12,,,-0.0167,0.11,498.28M,500.96M,0.28
2013-09,423.06M,423.06M,128.83M,294.22M,55.03M,55.03M,,,-114.20M,,84.64M,5.653M,-78.99M,6.37M,216.84M,77.38M,5.653M,84.64M,-78.99M,-34.88M,-78.99M,-36.49M,12.18M,-48.67M,41.50M,,1.768M,2.135M,-5.399M,-7.091M,207.39M,159.24M,48.15M,-0.1,0.08,,,-0.0201,-0.02,-0.1,0.08,,,-0.0204,-0.02,497.99M,499.85M,0.28
2013-06,410.69M,410.69M,134.84M,275.85M,54.91M,54.91M,,,-32.61M,,92.21M,4.492M,-87.72M,6.771M,217.34M,58.51M,4.492M,92.21M,-87.72M,29.10M,-87.72M,-0.104M,20.49M,-20.59M,15.61M,,7.284M,3.816M,2.299M,-26.75M,251.52M,159.41M,92.11M,-0.03,0.03,,,-0.0577,0.0,-0.03,0.03,,,-0.0576,0.0,486.03M,487.92M,0.28
