,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2015-12,395.00M,,,,494.00M,494.00M,88.00M,790.00M,,790.00M,113.00M,-177.00M,-138.00M,-1.15B,,,72.00M,-1.28B,,487.00M,,-432.00M,,,,,-235.00M,-808.00M,,-4.00M,,-4.00M,,-767.00M,-578.00M,-240.00M,-240.00M,34.00M,-30.00M,-818.00M,,5.301B,-1.139B,-48.00M,4.114B,,,0.00,-4.00M,-767.00M,561.00M,115.00M,,AOR,Restated
2015-09,1.373B,,,,482.00M,482.00M,159.00M,,,,1.025B,-26.00M,-18.00M,-1.55B,,,-83.00M,-652.00M,,1.362B,,-358.00M,,,,,-107.00M,-465.00M,,-30.00M,,-30.00M,,-1.079B,-1.079B,-199.00M,-199.00M,-20.00M,33.00M,-1.295B,,5.764B,-398.00M,-65.00M,5.301B,,,0.00,-30.00M,-1.079B,453.00M,99.00M,,AOR,Restated
2015-06,1.365B,,,,425.00M,425.00M,-21.00M,0.00,,0.00,156.00M,-19.00M,7.00M,471.00M,,,-55.00M,560.00M,,2.329B,,-370.00M,,,,,-131.00M,-501.00M,,-76.00M,,-76.00M,,-667.00M,-667.00M,-203.00M,-203.00M,5.00M,-17.00M,-958.00M,,4.87B,870.00M,24.00M,5.764B,,,0.00,-76.00M,-667.00M,781.00M,124.00M,,AOR,Restated
2015-03,968.00M,,,,441.00M,441.00M,-61.00M,0.00,,0.00,,,,,,,85.00M,85.00M,,1.433B,,-458.00M,,,,,-255.00M,-713.00M,,1.043B,,1.043B,,-325.00M,-325.00M,-206.00M,-206.00M,15.00M,-1.00M,526.00M,,3.689B,1.246B,-65.00M,4.87B,,,1.446B,-403.00M,-325.00M,298.00M,78.00M,,AOR,Restated
2014-12,1.22B,,,,425.00M,425.00M,254.00M,,,0.00,,,,,,,908.00M,-902.00M,,997.00M,,-700.00M,,,,,-144.00M,-858.00M,,24.00M,,24.00M,,-497.00M,-497.00M,-143.00M,-143.00M,10.00M,-8.00M,-614.00M,,4.191B,-475.00M,-27.00M,3.689B,,,28.00M,-4.00M,-497.00M,415.00M,121.00M,,AOR,Restated
2014-09,1.062B,,,,430.00M,430.00M,118.00M,,,0.00,,,,,,,256.00M,256.00M,,1.866B,,-499.00M,,,,,-121.00M,-620.00M,,0.00,,0.00,,-344.00M,-344.00M,-145.00M,-145.00M,5.00M,-5.00M,-489.00M,,3.48B,757.00M,-46.00M,4.191B,,,0.00,0.00,-344.00M,155.00M,74.00M,,AOR,Restated
2014-06,593.00M,,,,414.00M,414.00M,-15.00M,,,63.00M,,,,,,,79.00M,79.00M,,1.134B,,-566.00M,,,,,-242.00M,-808.00M,,-200.00M,,-200.00M,,-229.00M,-229.00M,-133.00M,-133.00M,8.00M,39.00M,-515.00M,,3.647B,-189.00M,22.00M,3.48B,,,0.00,-200.00M,-229.00M,595.00M,123.00M,,AOR,Restated
2014-03,836.00M,,,,421.00M,421.00M,88.00M,,,,,,,,,,-1.101B,-1.101B,,244.00M,,-388.00M,,,,,-170.00M,-558.00M,,0.00,,0.00,,-226.00M,-226.00M,-133.00M,-133.00M,24.00M,23.00M,-312.00M,,4.292B,-626.00M,-19.00M,3.647B,,,0.00,0.00,-226.00M,459.00M,74.00M,,AOR,Restated
2013-12,1.287B,,,,437.00M,437.00M,13.00M,,,,,,,,,,195.00M,1.117B,,2.529B,,-431.00M,,,,,-32.00M,-539.00M,,-6.00M,467.00M,461.00M,,-339.00M,30.00M,-120.00M,-120.00M,13.00M,11.00M,395.00M,,1.908B,2.385B,-1.00M,4.292B,,,525.00M,-64.00M,-339.00M,40.00M,124.00M,,AOR,Restated
2013-09,324.00M,,,,448.00M,448.00M,147.00M,,,,,,,,,,-698.00M,-698.00M,,221.00M,,-479.00M,,,,,-111.00M,-590.00M,,0.00,0.00,0.00,,-29.00M,-29.00M,-122.00M,-122.00M,3.00M,3.00M,-145.00M,,2.398B,-514.00M,24.00M,1.908B,,,0.00,0.00,-29.00M,104.00M,77.00M,,AOR,Restated
2013-06,465.00M,,,,405.00M,405.00M,168.00M,,,,,,,,,,227.00M,227.00M,,1.265B,,-634.00M,,,,,-189.00M,-823.00M,,-300.00M,550.00M,250.00M,,-256.00M,-256.00M,-109.00M,-109.00M,5.00M,219.00M,109.00M,,1.857B,551.00M,-10.00M,2.398B,,,550.00M,-300.00M,-256.00M,243.00M,160.00M,,AOR,Restated
2013-03,652.00M,,,,430.00M,430.00M,173.00M,,,,,,,,,,294.00M,294.00M,,1.549B,,-577.00M,,,,,-283.00M,-860.00M,,-180.00M,,-180.00M,,-304.00M,-304.00M,-111.00M,-111.00M,38.00M,35.00M,-522.00M,,1.723B,167.00M,-33.00M,1.857B,,,,-180.00M,-304.00M,,,,AOR,Restated
2012-12,1.009B,,,,402.00M,402.00M,387.00M,58.00M,29.00M,1.054B,,,,,,,-1.242B,-1.544B,,323.00M,,-802.00M,,,77.00M,,-213.00M,-938.00M,,-150.00M,0.00,-150.00M,,-133.00M,-133.00M,-97.00M,-97.00M,23.00M,169.00M,-188.00M,,2.549B,-803.00M,-23.00M,1.723B,,,1.50B,-1.65B,-133.00M,467.00M,96.00M,,AOR,Restated
2012-09,673.00M,,,,402.00M,402.00M,96.00M,345.00M,9.00M,7.00M,,,,,,,581.00M,581.00M,,2.113B,,-709.00M,,,-11.00M,,-112.00M,-832.00M,,0.00,0.00,0.00,,-1.00M,-1.00M,-97.00M,-97.00M,25.00M,19.00M,-54.00M,,1.295B,1.227B,27.00M,2.549B,,,0.00,0.00,-1.00M,34.00M,42.00M,,AOR,Restated
2012-06,830.00M,,,,386.00M,386.00M,419.00M,0.00,10.00M,4.00M,,,,,,,-359.00M,-359.00M,,1.29B,,-694.00M,,,-66.00M,,-107.00M,-867.00M,,-562.00M,0.00,-562.00M,,-41.00M,-41.00M,-83.00M,-83.00M,2.00M,12.00M,-672.00M,,1.559B,-249.00M,-15.00M,1.295B,,,1.40B,-1.962B,-41.00M,62.00M,119.00M,,AOR,Restated
2012-03,-432.00M,,,,384.00M,384.00M,61.00M,611.00M,10.00M,7.00M,,,,,,,903.00M,903.00M,,1.544B,,-726.00M,,,160.00M,,-148.00M,-714.00M,,0.00,,0.00,,-106.00M,-106.00M,-83.00M,-83.00M,9.00M,-139.00M,-319.00M,,1.024B,511.00M,24.00M,1.559B,,,,0.00,-106.00M,142.00M,45.00M,,AOR,Restated
2011-12,45.00M,,,,393.00M,393.00M,68.00M,0.00,24.00M,38.00M,-1.352B,-248.00M,-14.00M,855.00M,,,-53.00M,-812.00M,,-290.00M,,-771.00M,,,-526.00M,,-180.00M,-1.477B,,90.00M,0.00,90.00M,0.00,-79.00M,-79.00M,-84.00M,-84.00M,7.00M,2.00M,-64.00M,,2.829B,-1.831B,26.00M,1.024B,,0.00,150.00M,-60.00M,-79.00M,,,,AOR,Restated
2011-09,1.203B,,,,390.00M,390.00M,227.00M,0.00,11.00M,-1.00M,-383.00M,-87.00M,15.00M,148.00M,,,-149.00M,-456.00M,,1.374B,,-183.00M,,432.00M,-1.638B,,-506.00M,-2.327B,,0.00,,0.00,-30.00M,-270.00M,-300.00M,-28.00M,-28.00M,42.00M,13.00M,-273.00M,,4.107B,-1.226B,-52.00M,2.829B,,-30.00M,0.00,0.00,-270.00M,,,,AOR,Restated
2011-06,743.00M,,,,386.00M,386.00M,210.00M,0.00,11.00M,14.00M,36.00M,356.00M,-13.00M,-835.00M,,,-12.00M,-468.00M,,896.00M,,-664.00M,,-133.00M,-37.00M,,-10.00M,-711.00M,,-208.00M,0.00,-208.00M,9.00M,0.00,9.00M,-29.00M,-29.00M,,11.00M,-217.00M,,4.133B,-32.00M,6.00M,4.107B,,9.00M,0.00,-208.00M,0.00,,,,AOR,Restated
2011-03,98.00M,,,,365.00M,365.00M,-44.00M,0.00,12.00M,7.00M,-1.283B,622.00M,10.00M,2.254B,,,17.00M,1.62B,,2.058B,,-737.00M,,-299.00M,-37.00M,,-9.00M,-783.00M,,-510.00M,0.00,-510.00M,21.00M,0.00,21.00M,-28.00M,-28.00M,,5.00M,-512.00M,,3.334B,763.00M,36.00M,4.133B,,21.00M,,-510.00M,0.00,,,,AOR,Restated
2010-12,-438.00M,925.00M,,,377.00M,377.00M,62.00M,0.00,22.00M,111.00M,-405.00M,-486.00M,-4.00M,371.00M,,,-56.00M,-580.00M,,423.00M,,-504.00M,,,547.00M,,-117.00M,256.00M,,300.00M,,300.00M,-12.00M,-11.00M,-23.00M,-29.00M,-29.00M,,1.00M,269.00M,,2.352B,948.00M,34.00M,3.334B,,-12.00M,300.00M,0.00,-11.00M,,,,AOR,Restated
2010-09,292.00M,0.00,,,372.00M,372.00M,202.00M,0.00,10.00M,-59.00M,-143.00M,-23.00M,-13.00M,158.00M,,,56.00M,35.00M,,852.00M,,-441.00M,,,0.00,,-63.00M,-504.00M,,0.00,,0.00,1.00M,-2.00M,-1.00M,-28.00M,-28.00M,,1.00M,-28.00M,,2.001B,320.00M,31.00M,2.352B,,1.00M,0.00,0.00,-2.00M,,,,AOR,Restated
2010-06,583.00M,-92.00M,,,367.00M,367.00M,66.00M,2.00M,10.00M,5.00M,-227.00M,-66.00M,92.00M,61.00M,,,-13.00M,-153.00M,,788.00M,,-174.00M,,229.00M,0.00,,-127.00M,-301.00M,,-223.00M,,-223.00M,7.00M,1.00M,8.00M,-29.00M,-29.00M,,-97.00M,-341.00M,,1.887B,146.00M,-32.00M,2.001B,,7.00M,0.00,-223.00M,1.00M,,,,AOR,Restated
2010-03,-113.00M,,,,357.00M,357.00M,17.00M,,12.00M,-1.00M,641.00M,168.00M,32.00M,-88.00M,,,-43.00M,710.00M,,982.00M,,-611.00M,,-229.00M,-260.00M,,15.00M,-856.00M,,950.00M,,950.00M,4.00M,-1.00M,3.00M,-28.00M,-28.00M,,-9.00M,916.00M,,825.00M,1.042B,20.00M,1.887B,,4.00M,1.244B,-294.00M,-1.00M,,,,AOR,Restated
2009-12,-1.408B,,,,371.00M,371.00M,-41.00M,32.00M,31.00M,497.00M,-645.00M,-275.00M,-50.00M,71.00M,,,-568.00M,-1.467B,,-117.00M,,-185.00M,0.00,301.00M,-21.00M,,-403.00M,-609.00M,,-76.00M,100.00M,24.00M,4.00M,-4.00M,0.00,-85.00M,-85.00M,,7.00M,-54.00M,,1.605B,-780.00M,0.00,825.00M,,4.00M,989.00M,-965.00M,-4.00M,,,,AOR,Restated
2009-09,-629.00M,,,,389.00M,389.00M,-177.00M,416.00M,12.00M,-514.00M,276.00M,26.00M,95.00M,149.00M,10.00M,41.00M,439.00M,1.036B,,533.00M,,-770.00M,,-301.00M,0.00,,261.00M,-509.00M,,797.00M,,797.00M,3.00M,,3.00M,-84.00M,-84.00M,,-801.00M,-85.00M,,1.623B,-61.00M,43.00M,1.605B,,3.00M,998.00M,-201.00M,,,,,AOR,Restated
2009-06,-254.00M,,,,389.00M,389.00M,-294.00M,122.00M,11.00M,14.00M,-977.00M,222.00M,101.00M,1.264B,-2.00M,45.00M,-15.00M,638.00M,,626.00M,,-603.00M,0.00,13.00M,-585.00M,,-77.00M,-1.265B,,-906.00M,-100.00M,-1.006B,802.00M,,802.00M,-78.00M,-78.00M,,796.00M,514.00M,,1.715B,-125.00M,33.00M,1.623B,,802.00M,-1.098B,92.00M,,,,,AOR,Restated
2009-03,309.00M,,,,378.00M,378.00M,169.00M,37.00M,12.00M,1.00M,-128.00M,-50.00M,-90.00M,266.00M,-8.00M,-86.00M,-29.00M,-125.00M,,781.00M,,-748.00M,,-13.00M,0.00,,-161.00M,-909.00M,,898.00M,100.00M,998.00M,1.00M,0.00,1.00M,-77.00M,-77.00M,,-8.00M,914.00M,,940.00M,786.00M,-11.00M,1.715B,,1.00M,1.098B,-100.00M,0.00,,,,AOR,Restated
2008-12,-3.278B,0.00,,,370.00M,370.00M,415.00M,,,36.00M,3.548B,137.00M,-1.00M,-5.958B,-10.00M,273.00M,,-2.156B,,-382.00M,,-1.042B,,1.876B,-16.00M,13.00M,-136.00M,-1.156B,,,,0.00,2.00M,-181.00M,-179.00M,,-78.00M,,-8.00M,-265.00M,,2.767B,-1.803B,-24.00M,940.00M,,2.00M,,,-181.00M,,,,,Restated
2008-09,1.152B,-305.00M,,,370.00M,370.00M,353.00M,,,-87.00M,1.174B,23.00M,-10.00M,-990.00M,-21.00M,16.00M,,192.00M,,1.675B,,-673.00M,,-673.00M,378.00M,-1.00M,-93.00M,-389.00M,,,,0.00,3.00M,-74.00M,-71.00M,,-78.00M,,2.00M,-147.00M,,1.644B,1.139B,-16.00M,2.767B,,3.00M,,,-74.00M,,,,,
2008-06,734.00M,,,,369.00M,369.00M,-101.00M,,,-28.00M,-1.717B,-396.00M,-43.00M,2.237B,-59.00M,178.00M,,200.00M,,1.174B,,-641.00M,,-641.00M,8.00M,12.00M,-83.00M,-704.00M,,,,0.00,4.00M,-182.00M,-178.00M,,-79.00M,,3.00M,-254.00M,,1.431B,216.00M,-3.00M,1.644B,,4.00M,,,-182.00M,,,,,
2008-03,261.00M,,,,367.00M,367.00M,8.00M,,,3.00M,1.663B,-469.00M,47.00M,-771.00M,-10.00M,-471.00M,,-11.00M,,628.00M,,-537.00M,,-537.00M,-76.00M,,-103.00M,-716.00M,,,,-374.00M,7.00M,-518.00M,-511.00M,,-64.00M,,8.00M,-941.00M,,2.464B,-1.029B,-4.00M,1.431B,,7.00M,,,-518.00M,,,,,
2007-12,567.00M,0.00,,,357.00M,357.00M,-56.00M,,,32.00M,-1.228B,446.00M,30.00M,1.247B,,-84.00M,-59.00M,352.00M,,1.252B,,-707.00M,,-644.00M,-2.439B,2.431B,-198.00M,-850.00M,,,,-50.00M,29.00M,-1.037B,-1.008B,,-66.00M,,79.00M,-1.045B,,3.109B,-643.00M,-2.00M,2.464B,,29.00M,,,-1.037B,,,,,
2007-09,1.274B,-827.00M,,,344.00M,344.00M,-228.00M,,,12.00M,-1.731B,-57.00M,-102.00M,846.00M,,104.00M,20.00M,-920.00M,,-345.00M,,-511.00M,,-511.00M,2.428B,3.00M,-201.00M,1.719B,,,,0.00,19.00M,-570.00M,-551.00M,,-66.00M,,14.00M,-603.00M,,2.336B,771.00M,2.00M,3.109B,,19.00M,,,-570.00M,,,,,
2007-06,2.249B,,,,341.00M,341.00M,109.00M,,,20.00M,-489.00M,-236.00M,-18.00M,349.00M,,116.00M,24.00M,-254.00M,,2.465B,,-491.00M,,-491.00M,-25.00M,-215.00M,3.00M,-728.00M,,,,2.015B,74.00M,-3.277B,-3.203B,,-66.00M,,131.00M,-1.123B,,1.696B,614.00M,26.00M,2.336B,,74.00M,,,-3.277B,,,,,
2007-03,1.144B,,,,334.00M,334.00M,44.00M,,,26.00M,253.00M,-402.00M,32.00M,115.00M,,340.00M,,338.00M,,1.886B,,-551.00M,,-551.00M,-50.00M,,-122.00M,-723.00M,,,,-183.00M,37.00M,-904.00M,-867.00M,,-73.00M,,63.00M,-1.06B,,1.59B,103.00M,3.00M,1.696B,,37.00M,,,-904.00M,,,,,
2006-12,1.114B,-189.00M,,,308.00M,308.00M,115.00M,,,146.00M,-782.00M,219.00M,32.00M,765.00M,0.00,-249.00M,-263.00M,-278.00M,,1.216B,,-856.00M,,-792.00M,880.00M,,-529.00M,-459.00M,,,,-1.00M,19.00M,-202.00M,-183.00M,,-48.00M,,41.00M,-191.00M,,1.029B,566.00M,-5.00M,1.59B,,19.00M,,,-202.00M,,,,,
2006-09,1.603B,-132.00M,,,294.00M,294.00M,59.00M,,,-66.00M,585.00M,-51.00M,-8.00M,-719.00M,-1.00M,-316.00M,25.00M,-485.00M,,1.273B,,-743.00M,,-743.00M,-25.00M,,289.00M,-479.00M,,,,-88.00M,38.00M,-631.00M,-593.00M,,-49.00M,,26.00M,-704.00M,,937.00M,90.00M,2.00M,1.029B,,38.00M,,,-631.00M,,,,,
2006-06,1.897B,-23.00M,,,293.00M,293.00M,-4.00M,,,101.00M,-1.114B,-231.00M,-94.00M,710.00M,,573.00M,-25.00M,-181.00M,,2.083B,,-813.00M,,-813.00M,-26.00M,,-181.00M,-1.02B,,,,60.00M,33.00M,-597.00M,-564.00M,,-49.00M,,-13.00M,-566.00M,,436.00M,497.00M,4.00M,937.00M,,33.00M,,,-597.00M,,,,,
2006-03,849.00M,23.00M,,,260.00M,260.00M,120.00M,,,-49.00M,512.00M,-342.00M,-11.00M,606.00M,,-228.00M,,537.00M,,1.74B,,-775.00M,,-775.00M,-50.00M,,-188.00M,-1.013B,,,,-220.00M,32.00M,-590.00M,-558.00M,,-38.00M,,89.00M,-727.00M,,436.00M,,,436.00M,,32.00M,,,-590.00M,,,,,
2005-12,1.347B,-84.00M,,,287.00M,287.00M,221.00M,,,21.00M,,,,,,,124.00M,124.00M,,1.916B,,-844.00M,75.00M,-769.00M,85.00M,,-247.00M,-931.00M,,,,-998.00M,113.00M,-383.00M,-270.00M,,-31.00M,,10.00M,-1.289B,,737.00M,-304.00M,3.00M,436.00M,,113.00M,,,-383.00M,,,,,
2005-09,862.00M,39.00M,,,205.00M,205.00M,-153.00M,,,38.00M,,,,,,,1.129B,1.129B,,2.12B,,-513.00M,-52.00M,-565.00M,-2.316B,,-69.00M,-2.95B,,,,598.00M,58.00M,-5.00M,53.00M,,-27.00M,,-12.00M,612.00M,,949.00M,-218.00M,6.00M,737.00M,,58.00M,,,-5.00M,,,,,
