,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,4.451B,4.451B,7.535B,,,7.535B,2.472B,,3.948B,,6.42B,542.00M,,,,18.95B,,,,,,,41.27B,-13.09B,28.18B,,,,,,3.55B,,31.73B,50.68B,,8.963B,1.554B,10.52B,641.00M,11.16B,,,183.00M,,183.00M,,,,,11.34B,,8.876B,,8.876B,4.76B,,4.76B,,,,1.035B,,2.897B,16.53B,27.87B,,7.00M,29.92B,7.032B,13.92B,,,,-1.262B,21.77B,,AOR,Restated
2018-03,4.658B,4.658B,6.814B,,,6.814B,2.728B,,3.827B,,6.555B,233.00M,,,,18.26B,,,,,,,40.54B,-12.81B,27.73B,,,,,,3.385B,,31.12B,49.38B,,7.966B,1.325B,9.291B,590.00M,9.881B,,,871.00M,,871.00M,,,,,10.75B,,8.086B,,8.086B,4.711B,,4.711B,,,,1.048B,,2.902B,15.70B,26.45B,,7.00M,29.42B,7.026B,13.59B,,,,-983.00M,21.88B,,AOR,Restated
2017-12,5.85B,5.85B,6.784B,,171.00M,6.922B,2.683B,,3.701B,,6.384B,156.00M,,,,19.31B,0.00,411.00M,910.00M,35.35B,2.068B,1.274B,40.01B,-12.53B,27.48B,,142.00M,142.00M,530.00M,673.00M,1.52B,501.00M,30.85B,50.16B,,8.348B,1.889B,10.24B,497.00M,10.73B,182.00M,,122.00M,,122.00M,,,,,11.07B,232.00M,8.75B,,8.75B,4.708B,,4.708B,401.00M,776.00M,,909.00M,,723.00M,16.19B,27.26B,,7.00M,29.20B,7.039B,13.32B,,,,-940.00M,21.99B,,AOR,Restated
2017-09,5.176B,5.176B,5.959B,,,5.959B,2.61B,,3.527B,,6.137B,170.00M,,,,17.44B,,,,,,,39.53B,-12.25B,27.27B,,,,,,3.272B,,30.55B,47.99B,,6.677B,1.515B,8.192B,817.00M,9.009B,,,121.00M,,121.00M,,,,,9.13B,,8.364B,,8.364B,7.362B,,7.362B,,,,854.00M,,1.908B,17.63B,26.76B,,7.00M,27.14B,7.06B,12.94B,,,,-893.00M,20.37B,,AOR,Restated
2017-06,5.207B,5.207B,4.573B,,,4.573B,2.506B,,3.168B,,5.674B,277.00M,,,,15.73B,,,,,,,38.98B,-11.92B,27.05B,,,,,,3.189B,,30.24B,45.97B,,5.456B,1.151B,6.607B,955.00M,7.562B,,,121.00M,,121.00M,,,,,7.683B,,8.366B,,8.366B,7.254B,,7.254B,,,,842.00M,,1.906B,17.53B,25.21B,,7.00M,26.60B,7.096B,12.66B,,,,-1.123B,19.92B,,AOR,Restated
2017-03,4.463B,4.463B,5.104B,,,5.104B,2.568B,,3.457B,,6.025B,316.00M,,,,15.91B,,,,,,,38.57B,-11.58B,26.99B,,,,,,3.148B,,30.14B,46.05B,,6.037B,1.035B,7.072B,707.00M,7.779B,,,120.00M,,120.00M,,,,,7.899B,,8.369B,,8.369B,7.196B,,7.196B,,,,826.00M,,1.932B,17.50B,25.40B,,7.00M,26.37B,7.096B,12.31B,,,,-1.334B,19.82B,,AOR,Restated
2016-12,4.816B,4.816B,5.687B,,246.00M,5.901B,2.318B,,3.391B,,5.709B,374.00M,,,,16.80B,0.00,400.00M,838.00M,34.30B,1.464B,730.00M,37.73B,-11.26B,26.47B,,,148.00M,201.00M,447.00M,1.614B,491.00M,29.37B,46.17B,,6.357B,1.162B,7.519B,419.00M,7.938B,243.00M,,115.00M,,115.00M,,,,,8.328B,223.00M,7.886B,,7.886B,7.361B,,7.361B,314.00M,742.00M,,830.00M,,465.00M,16.99B,25.32B,,7.00M,26.37B,7.088B,12.03B,,,,-1.41B,20.02B,,AOR,Restated
2016-09,5.949B,5.949B,4.672B,,,4.722B,2.494B,,3.485B,,5.979B,228.00M,,,,16.88B,,,,,,,37.56B,-11.04B,26.52B,,,,,,2.869B,,29.39B,46.26B,,5.368B,1.164B,6.532B,628.00M,7.16B,,,1.064B,,1.064B,,,,,8.224B,,7.888B,,7.888B,7.369B,,7.369B,,,,791.00M,,1.654B,16.91B,25.14B,,7.00M,26.27B,7.108B,11.93B,,,,-1.12B,20.34B,,AOR,Restated
2016-06,4.925B,4.925B,4.88B,,,4.928B,2.64B,,3.497B,,6.137B,190.00M,,,,16.18B,,,,,,,37.36B,-10.77B,26.59B,,,,,,2.683B,,29.27B,45.45B,,5.943B,1.406B,7.349B,439.00M,7.788B,,,864.00M,,864.00M,,,,,8.652B,,6.646B,,6.646B,7.279B,,7.279B,,,,828.00M,,1.471B,15.40B,24.05B,,7.00M,25.93B,7.055B,11.42B,,,,-1.002B,20.58B,,AOR,Restated
2016-03,3.778B,3.778B,4.518B,,,4.692B,2.823B,,3.688B,,6.056B,335.00M,,,,14.86B,,,,,,,37.28B,-10.53B,26.74B,,,,,,2.653B,,29.40B,44.26B,,4.98B,1.251B,6.231B,416.00M,6.647B,,,128.00M,,128.00M,,,,,6.775B,,7.207B,,7.207B,7.192B,,7.192B,,,,839.00M,,1.59B,15.99B,22.76B,,7.00M,25.40B,7.057B,11.01B,,,,-802.00M,20.66B,,AOR,Restated
2015-12,4.114B,4.114B,4.105B,,394.00M,4.682B,2.648B,,4.016B,,5.898B,204.00M,,,,14.90B,0.00,400.00M,789.00M,33.12B,1.423B,1.173B,36.91B,-10.20B,26.70B,,,156.00M,201.00M,266.00M,1.484B,519.00M,29.33B,44.23B,,4.907B,1.406B,6.313B,479.00M,6.792B,35.00M,,127.00M,,127.00M,,,,,6.994B,231.00M,7.208B,,7.208B,7.06B,,7.06B,513.00M,719.00M,,827.00M,,148.00M,15.88B,22.87B,,7.00M,25.19B,7.064B,10.80B,,,,-933.00M,20.53B,,AOR,Restated
2015-09,5.301B,5.301B,4.691B,,,4.698B,2.971B,,3.586B,,6.557B,173.00M,,98.00M,,16.83B,,,,,,,36.64B,-9.957B,26.69B,,,,,,2.31B,,29.00B,45.82B,,5.679B,1.499B,7.178B,595.00M,7.773B,,,129.00M,,129.00M,,387.00M,387.00M,,8.289B,,7.252B,,7.252B,6.656B,,6.656B,,,,547.00M,,1.76B,15.67B,23.96B,,7.00M,25.13B,7.074B,10.10B,,,,-795.00M,21.32B,,AOR,Restated
2015-06,5.764B,5.764B,5.799B,,,5.812B,2.841B,,3.777B,,6.618B,157.00M,,141.00M,,18.49B,,,,,,,36.44B,-9.71B,26.73B,,,,,,2.373B,,29.11B,47.60B,,7.315B,1.556B,8.871B,529.00M,9.40B,,,150.00M,,150.00M,,315.00M,315.00M,,9.865B,,7.199B,,7.199B,6.64B,,6.64B,,,,553.00M,,1.889B,15.73B,25.59B,,7.00M,23.95B,7.076B,9.054B,,,,-529.00M,21.45B,,AOR,Restated
2015-03,4.87B,4.87B,4.924B,,,4.977B,2.881B,,3.785B,,6.666B,154.00M,,121.00M,,16.79B,,,,,,,36.02B,-9.425B,26.60B,,,,,,2.357B,,28.95B,45.74B,,6.01B,1.598B,7.608B,512.00M,8.12B,,,200.00M,,200.00M,,314.00M,314.00M,,8.634B,,7.224B,,7.224B,6.624B,,6.624B,,,,568.00M,,1.917B,15.76B,24.40B,,7.00M,22.80B,7.083B,8.39B,,,,-730.00M,20.77B,,AOR,Restated
2014-12,3.689B,3.689B,5.509B,,407.00M,5.976B,2.502B,,4.121B,,6.623B,164.00M,,162.00M,,16.61B,0.00,396.00M,789.00M,30.79B,2.607B,1.353B,35.93B,-9.198B,26.74B,,,154.00M,78.00M,182.00M,1.359B,428.00M,28.94B,45.55B,,6.76B,1.642B,8.402B,502.00M,8.904B,46.00M,,606.00M,,606.00M,,376.00M,376.00M,,9.98B,340.00M,5.78B,,5.78B,6.607B,,6.607B,491.00M,792.00M,,567.00M,,316.00M,14.33B,24.31B,,7.00M,22.05B,7.116B,8.125B,,,,-367.00M,20.68B,,AOR,Restated
2014-09,4.191B,4.191B,8.175B,,,8.254B,3.33B,,3.53B,,6.86B,132.00M,,229.00M,,19.67B,,,,,,,35.43B,-8.983B,26.45B,,,,,,2.34B,,28.79B,48.46B,,9.939B,1.923B,11.86B,630.00M,12.49B,,,600.00M,,600.00M,,368.00M,368.00M,,13.46B,,5.783B,,5.783B,6.601B,,6.601B,,,,508.00M,,1.549B,13.93B,27.39B,,7.00M,21.03B,7.137B,7.773B,,,,149.00M,20.55B,,AOR,Restated
2014-06,3.48B,3.48B,7.952B,,,8.045B,3.612B,,2.914B,,6.526B,124.00M,,275.00M,,18.45B,,,,,,,34.87B,-8.748B,26.12B,,,,,,2.441B,,28.56B,47.01B,,9.355B,1.707B,11.06B,584.00M,11.65B,,,601.00M,,601.00M,,276.00M,276.00M,,12.52B,,5.784B,,5.784B,6.659B,,6.659B,,,,509.00M,,1.327B,13.77B,26.29B,,7.00M,20.12B,7.132B,7.474B,,,,426.00M,20.21B,,AOR,Restated
2014-03,3.647B,3.647B,7.783B,,,7.887B,3.73B,,3.376B,,7.106B,134.00M,,256.00M,,19.03B,,,,,,,34.24B,-8.469B,25.77B,,,,,,2.303B,,28.07B,47.10B,,9.617B,1.806B,11.42B,488.00M,11.91B,,,704.00M,,704.00M,,311.00M,311.00M,,12.93B,,5.86B,,5.86B,6.615B,,6.615B,,,,493.00M,,1.29B,13.76B,26.69B,,7.00M,19.66B,7.134B,7.168B,,,,277.00M,19.92B,,AOR,Restated
2013-12,4.292B,4.292B,8.582B,,215.00M,8.823B,2.361B,,3.397B,,5.758B,138.00M,,266.00M,,19.28B,0.00,404.00M,800.00M,29.49B,2.109B,1.128B,33.93B,-8.226B,25.71B,,,,,,2.276B,,27.98B,47.26B,,9.931B,2.118B,12.05B,450.00M,12.50B,29.00M,303.00M,303.00M,,303.00M,,249.00M,249.00M,13.00M,13.12B,303.00M,6.261B,,6.261B,6.601B,,6.601B,314.00M,507.00M,0.00,486.00M,,205.00M,14.19B,27.31B,,7.00M,18.97B,7.187B,7.054B,,,,350.00M,19.46B,,AOR,Restated
2013-09,1.908B,1.908B,9.126B,,,9.234B,3.333B,,3.73B,,7.063B,131.00M,,257.00M,,18.59B,,,,,,,33.65B,-8.01B,25.64B,,,160.00M,,,1.898B,,27.70B,46.29B,,11.00B,1.383B,12.38B,598.00M,12.98B,,,303.00M,,303.00M,,386.00M,386.00M,,13.67B,,6.261B,,6.261B,6.312B,,6.312B,,,,117.00M,,1.665B,14.24B,27.91B,,7.00M,17.80B,7.232B,6.856B,,,,83.00M,18.27B,,AOR,Restated
2013-06,2.398B,2.398B,7.486B,,,7.542B,2.861B,,3.585B,,6.446B,136.00M,,246.00M,,16.77B,,,,,,,33.09B,-7.701B,25.39B,,,159.00M,,,1.864B,,27.41B,44.18B,,9.507B,1.324B,10.83B,504.00M,11.34B,,,303.00M,,303.00M,,397.00M,397.00M,,12.04B,,6.261B,,6.261B,6.159B,,6.159B,,,,105.00M,,1.697B,14.12B,26.15B,,7.00M,17.59B,7.237B,6.818B,,,,-99.00M,17.92B,,AOR,Restated
2013-03,1.857B,1.857B,7.658B,,,7.748B,2.804B,,4.133B,,6.937B,384.00M,,280.00M,,17.21B,,,,,,,34.47B,-8.072B,26.40B,,,203.00M,,,1.694B,,28.30B,45.50B,,9.821B,1.329B,11.15B,761.00M,11.91B,,,406.00M,,406.00M,,388.00M,388.00M,,12.70B,,6.463B,,6.463B,6.131B,,6.131B,,,,75.00M,,1.784B,14.38B,27.08B,,7.00M,17.58B,7.245B,6.605B,,,,121.00M,18.34B,,AOR,Restated
2012-12,1.723B,1.723B,8.061B,26.00M,136.00M,8.336B,2.675B,,3.298B,,5.973B,154.00M,,274.00M,,16.46B,0.00,802.00M,734.00M,28.51B,1.457B,2.629B,34.13B,-7.832B,26.30B,,,213.00M,,,1.504B,,28.02B,44.48B,,9.348B,1.027B,10.38B,512.00M,10.89B,32.00M,586.00M,586.00M,,586.00M,,378.00M,378.00M,14.00M,11.93B,345.00M,6.463B,,6.463B,5.86B,,5.86B,412.00M,982.00M,0.00,63.00M,,391.00M,14.45B,26.38B,,7.00M,17.03B,7.322B,6.437B,,,,108.00M,18.03B,,AOR,Restated
2012-09,2.549B,2.549B,7.451B,,,7.491B,206.00M,2.423B,3.158B,,5.787B,148.00M,,292.00M,,16.27B,,,,,,,33.45B,-7.581B,25.87B,,216.00M,216.00M,,,1.436B,,27.52B,43.79B,,9.286B,1.583B,10.87B,612.00M,11.48B,,,585.00M,,585.00M,,185.00M,185.00M,,12.25B,,,6.463B,6.463B,5.758B,,5.758B,,,,54.00M,,1.934B,14.16B,26.41B,,7.00M,16.12B,7.409B,6.455B,,,,252.00M,17.33B,,AOR,Restated
2012-06,1.295B,1.295B,6.624B,,,6.911B,223.00M,2.14B,3.08B,,5.443B,138.00M,,246.00M,,14.03B,,,,,,,32.83B,-7.311B,25.52B,,218.00M,218.00M,,,1.416B,,27.16B,41.19B,,7.998B,1.395B,9.393B,527.00M,9.92B,,,582.00M,,582.00M,,296.00M,296.00M,,10.80B,,,6.46B,6.46B,5.411B,,5.411B,,,,46.00M,,1.896B,13.77B,24.56B,,7.00M,15.54B,7.477B,6.568B,,,,119.00M,16.58B,,AOR,Restated
2012-03,1.559B,1.559B,7.418B,,,7.644B,219.00M,2.73B,3.196B,,6.145B,118.00M,,358.00M,,15.82B,,,,,,,32.25B,-7.098B,25.16B,,227.00M,227.00M,,,1.428B,,26.81B,42.63B,,9.941B,1.32B,11.26B,483.00M,11.74B,,,1.143B,,1.143B,,189.00M,189.00M,,13.08B,,,6.46B,6.46B,5.21B,,5.21B,,,,33.00M,,1.896B,13.57B,26.64B,,7.00M,14.79B,7.479B,6.542B,,,,221.00M,15.96B,,AOR,Restated
2011-12,1.024B,1.024B,8.366B,214.00M,174.00M,8.918B,2.692B,,2.931B,,5.623B,124.00M,,283.00M,,15.97B,0.00,722.00M,712.00M,26.20B,1.29B,3.332B,32.25B,-7.076B,25.18B,,,227.00M,,,1.407B,,26.81B,42.78B,,9.472B,1.383B,10.86B,488.00M,11.34B,45.00M,1.009B,1.009B,,1.009B,,249.00M,249.00M,25.00M,12.71B,316.00M,6.732B,,6.732B,5.017B,,5.017B,433.00M,795.00M,0.00,22.00M,,337.00M,13.63B,26.34B,,7.00M,15.31B,7.486B,6.475B,,,,96.00M,16.42B,,AOR,Restated
2011-09,2.829B,2.829B,7.509B,,,7.514B,213.00M,2.502B,2.449B,,5.164B,109.00M,,254.00M,,15.87B,,,,,,,31.07B,-6.847B,24.22B,,251.00M,251.00M,,,1.343B,,25.81B,41.68B,,8.52B,1.189B,9.709B,785.00M,10.49B,,,867.00M,,867.00M,,322.00M,322.00M,,11.68B,,,6.781B,6.781B,4.942B,,4.942B,,,,16.00M,,1.607B,13.33B,25.01B,,7.00M,15.35B,7.559B,6.491B,,,,232.00M,16.65B,,AOR,Restated
2011-06,4.107B,4.107B,6.027B,,,6.145B,195.00M,2.188B,1.605B,,3.988B,162.00M,,285.00M,,14.69B,,,,,,,29.87B,-6.66B,23.21B,,222.00M,222.00M,,,1.411B,,24.84B,39.53B,,7.642B,709.00M,8.351B,765.00M,9.116B,,,861.00M,,861.00M,,254.00M,254.00M,,10.23B,,6.762B,,6.762B,4.801B,,4.801B,,,,10.00M,,1.74B,13.30B,23.53B,,7.00M,14.17B,7.616B,6.312B,,,,498.00M,15.98B,,AOR,Restated
2011-03,4.133B,4.133B,5.858B,,,6.174B,,,,,4.338B,149.00M,,262.00M,,15.06B,,,,,,,29.40B,-6.509B,22.90B,,225.00M,225.00M,,,1.416B,,24.54B,39.59B,,8.653B,572.00M,9.225B,729.00M,9.954B,,,312.00M,,312.00M,,140.00M,140.00M,,10.41B,,,7.517B,7.517B,4.693B,,4.693B,,,,,,1.752B,13.96B,24.37B,,7.00M,13.46B,7.641B,6.361B,,,,479.00M,15.22B,,AOR,Restated
2010-12,3.334B,3.334B,4.583B,,,4.926B,187.00M,2.225B,2.535B,,4.947B,121.00M,,190.00M,,13.52B,0.00,624.00M,1.067B,23.70B,1.224B,2.303B,28.92B,-6.252B,22.67B,,224.00M,224.00M,,,1.21B,,24.10B,37.62B,,6.441B,674.00M,7.115B,590.00M,7.705B,,,822.00M,,822.00M,,257.00M,257.00M,,8.784B,,,7.515B,7.515B,4.53B,,4.53B,,,,,,1.767B,13.81B,22.60B,,7.00M,13.39B,7.704B,6.462B,,,,388.00M,15.02B,,AOR,Restated
2010-09,2.352B,2.352B,4.24B,,,4.34B,198.00M,2.65B,1.956B,,4.804B,172.00M,,184.00M,25.00M,11.88B,,,,,,,29.93B,-6.34B,23.59B,,224.00M,224.00M,,,1.585B,,25.40B,37.28B,,6.096B,635.00M,6.731B,548.00M,7.279B,,,523.00M,,523.00M,,322.00M,322.00M,89.00M,8.213B,,,7.513B,7.513B,4.43B,,4.43B,,,,,,1.72B,13.66B,21.88B,,7.00M,13.86B,7.839B,6.615B,,,,314.00M,15.40B,,AOR,Restated
2010-06,2.001B,2.001B,4.122B,,,4.201B,193.00M,2.572B,2.002B,,4.767B,170.00M,13.00M,171.00M,25.00M,11.35B,,,,,,,29.44B,-6.076B,23.36B,,223.00M,223.00M,,,1.543B,,25.13B,36.48B,,5.856B,809.00M,6.665B,440.00M,7.105B,,,523.00M,,523.00M,,184.00M,184.00M,102.00M,7.914B,,,7.511B,7.511B,4.27B,,4.27B,,,,,,1.731B,13.51B,21.43B,,7.00M,13.59B,7.833B,6.62B,,,,240.00M,15.05B,,AOR,Restated
2010-03,1.887B,1.887B,3.947B,,,4.005B,189.00M,2.549B,1.986B,,4.724B,181.00M,129.00M,175.00M,219.00M,11.32B,,,,,,,29.19B,-5.851B,23.34B,,226.00M,226.00M,,,1.584B,,25.14B,36.46B,,5.986B,626.00M,6.612B,502.00M,7.114B,,,635.00M,,635.00M,,186.00M,186.00M,160.00M,8.095B,,,7.718B,7.718B,4.131B,,4.131B,,,,,,1.855B,13.70B,21.80B,,7.00M,13.04B,7.879B,6.688B,,,,432.00M,14.67B,,AOR,Restated
2009-12,825.00M,825.00M,3.779B,,,4.666B,176.00M,2.004B,2.398B,,4.578B,384.00M,,180.00M,289.00M,10.92B,0.00,604.00M,1.01B,21.42B,1.155B,2.694B,26.88B,-5.27B,21.62B,,227.00M,227.00M,,,1.347B,1.461B,24.65B,35.57B,,5.825B,820.00M,6.645B,641.00M,7.286B,,,237.00M,,237.00M,,253.00M,253.00M,33.00M,7.809B,,,7.163B,7.163B,4.006B,,4.006B,,,,,,1.869B,13.04B,20.85B,,7.00M,13.18B,7.896B,6.721B,,,,365.00M,14.72B,,AOR,Restated
2009-09,1.605B,1.605B,3.923B,,,4.004B,205.00M,1.936B,2.334B,101.00M,4.576B,386.00M,144.00M,150.00M,,10.86B,,,,,,,29.86B,-5.632B,24.23B,,229.00M,229.00M,,,1.48B,,25.94B,36.80B,,5.756B,731.00M,6.487B,633.00M,7.12B,,,213.00M,,213.00M,,424.00M,424.00M,,7.757B,,,7.162B,7.162B,3.872B,,3.872B,,,,,,2.124B,13.16B,20.92B,,7.00M,14.67B,7.975B,6.83B,,,,68.00M,15.89B,,AOR,Restated
2009-06,1.623B,1.623B,4.217B,,,4.244B,198.00M,2.065B,2.198B,100.00M,4.561B,472.00M,141.00M,132.00M,,11.17B,,,,,,,29.69B,-5.404B,24.28B,,221.00M,221.00M,,,1.543B,,26.05B,37.22B,,5.84B,593.00M,6.433B,350.00M,6.783B,,,137.00M,,137.00M,,404.00M,404.00M,,7.324B,,,7.231B,7.231B,4.105B,,4.105B,,,,,,2.154B,13.49B,20.81B,,7.00M,15.38B,7.987B,6.856B,,,,-115.00M,16.41B,,AOR,Restated
