,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-06,2.329B,,,,,,,152.00M,152.00M,-188.00M,,,89.00M,,1.341B,831.00M,432.00M,56.00M,,-1.306B,13.00M,3.736B,,-169.00M,14.00M,-509.00M,,0.00,-13.00M,,-168.00M,,0.00,,0.00,,-1.754B,-1.754B,,-487.00M,32.00M,-2.00M,-2.211B,,10.28B,1.357B,-295.00M,11.34B,,,,0.00,-1.754B,452.00M,234.00M,,AOR,Restated
2018-03,2.605B,,,,,,,153.00M,153.00M,-26.00M,,,85.00M,,1.299B,-826.00M,917.00M,-100.00M,,-1.191B,-1.20B,2.916B,,-213.00M,,,,-196.00M,-21.00M,,-430.00M,,0.00,,0.00,,-2.072B,-2.072B,,-490.00M,50.00M,0.00,-2.512B,,10.18B,-26.00M,126.00M,10.28B,,,,0.00,-2.072B,1.014B,35.00M,,AOR,Restated
2017-12,2.522B,,,,,,,145.00M,145.00M,-919.00M,,,68.00M,,1.302B,-326.00M,866.00M,141.00M,,-986.00M,-305.00M,2.813B,,-141.00M,,,,,-566.00M,,-707.00M,,-1.75B,,-1.75B,,-1.778B,-1.778B,,-458.00M,53.00M,-88.00M,-4.021B,,12.01B,-1.915B,80.00M,10.18B,,,,-1.75B,-1.778B,183.00M,241.00M,,AOR,Restated
2017-09,2.14B,,,,,,,147.00M,147.00M,-15.00M,,,52.00M,,1.326B,32.00M,401.00M,45.00M,,-1.252B,-774.00M,2.876B,,-195.00M,,,,0.00,-669.00M,,-852.00M,,2.488B,,2.488B,,-1.721B,-1.721B,,-390.00M,21.00M,-18.00M,380.00M,,7.437B,2.404B,142.00M,12.01B,,,2.488B,0.00,-1.721B,799.00M,0.00,,AOR,Restated
2017-06,2.059B,,,,,,,132.00M,132.00M,15.00M,,,67.00M,,1.152B,1.994B,-921.00M,109.00M,,-1.07B,112.00M,3.537B,,-195.00M,,,,0.00,-486.00M,,-681.00M,,,,,,-1.701B,-1.701B,,-394.00M,41.00M,-7.00M,-2.061B,,6.427B,795.00M,215.00M,7.437B,,,,,-1.701B,628.00M,245.00M,,AOR,Restated
2017-03,430.00M,,,,,,,131.00M,131.00M,1.623B,,,71.00M,,1.164B,-1.953B,474.00M,-367.00M,,-1.177B,-3.023B,396.00M,,-146.00M,,,,-302.00M,3.133B,,2.685B,,,-566.00M,-566.00M,,-1.576B,-1.576B,,-396.00M,31.00M,-6.00M,-2.513B,,5.824B,568.00M,35.00M,6.427B,,,-566.00M,,-1.576B,1.515B,0.00,,AOR,Restated
2016-12,2.07B,,,,,,,146.00M,146.00M,77.00M,,,45.00M,,960.00M,-33.00M,306.00M,66.00M,,-1.129B,-790.00M,2.508B,,-171.00M,,,,,-246.00M,,-417.00M,,0.00,566.00M,566.00M,,-1.893B,-1.893B,,-399.00M,56.00M,-60.00M,-1.73B,,5.619B,361.00M,-156.00M,5.824B,,,566.00M,0.00,-1.893B,96.00M,244.00M,,AOR,Restated
2016-09,1.931B,,0.00,,0.00,,,141.00M,141.00M,-161.00M,,,69.00M,-12.00M,1.005B,86.00M,26.00M,237.00M,,-870.00M,-521.00M,2.452B,,-141.00M,,,,0.00,-616.00M,,-757.00M,,0.00,,0.00,,-1.687B,-1.687B,,-339.00M,26.00M,9.00M,-1.991B,,5.887B,-296.00M,28.00M,5.619B,,,0.00,,-1.687B,799.00M,0.00,,AOR,Restated
2016-06,412.00M,,0.00,,0.00,,,120.00M,120.00M,-574.00M,,,55.00M,-8.00M,865.00M,343.00M,-29.00M,-155.00M,,-726.00M,-567.00M,303.00M,,-132.00M,,,,-9.068B,887.00M,,-8.313B,,0.00,,0.00,,-1.705B,-1.705B,,-335.00M,20.00M,36.00M,-1.984B,,15.94B,-9.994B,-62.00M,5.887B,,,0.00,,-1.705B,542.00M,244.00M,,AOR,Restated
2016-03,1.707B,,0.00,,0.00,,,121.00M,121.00M,-74.00M,,,58.00M,-7.00M,801.00M,7.00M,-291.00M,-420.00M,,-1.062B,-1.766B,840.00M,,-124.00M,,,,-14.00M,4.486B,,4.348B,,0.00,,0.00,,-1.75B,-1.75B,,-336.00M,20.00M,-16.00M,-2.082B,,12.84B,3.106B,0.00,15.94B,,,0.00,,-1.75B,1.422B,0.00,,AOR,Restated
2015-12,1.941B,,-255.00M,,-255.00M,,,120.00M,120.00M,45.00M,,,39.00M,-36.00M,793.00M,-110.00M,269.00M,23.00M,,-850.00M,-668.00M,1.979B,,-126.00M,,,,,-6.068B,,-6.194B,,15.97B,0.00,15.97B,,-2.015B,-2.015B,,-340.00M,29.00M,-111.00M,13.53B,,3.518B,9.319B,0.00,12.84B,,,15.97B,,-2.015B,79.00M,0.00,,AOR,Restated
2015-09,1.512B,,0.00,,0.00,,,119.00M,119.00M,-1.00M,,,48.00M,-6.00M,811.00M,341.00M,-511.00M,301.00M,,-877.00M,-746.00M,1.734B,,-138.00M,0.00,0.00,,0.00,-21.00M,,-159.00M,,0.00,,0.00,,0.00,0.00,,-292.00M,14.00M,74.00M,-204.00M,,2.147B,1.371B,0.00,3.518B,,,0.00,,0.00,594.00M,0.00,,AOR,Restated
2015-06,1.697B,,110.00M,,110.00M,,,130.00M,130.00M,23.00M,,,46.00M,-8.00M,670.00M,-15.00M,-56.00M,125.00M,,-614.00M,-560.00M,2.111B,,-74.00M,0.00,0.00,,-93.00M,-552.00M,,-719.00M,,0.00,,0.00,,-1.055B,-1.055B,591.00M,-294.00M,22.00M,43.00M,-1.284B,,2.039B,108.00M,0.00,2.147B,,,0.00,,-1.055B,516.00M,0.00,,AOR,Restated
2015-03,1.55B,,,,,,,125.00M,125.00M,76.00M,,,48.00M,-12.00M,710.00M,-175.00M,-226.00M,-326.00M,,-792.00M,-1.519B,978.00M,,-98.00M,10.00M,10.00M,,0.00,167.00M,,79.00M,,0.00,,0.00,,-1.052B,-1.052B,-294.00M,-294.00M,16.00M,227.00M,-1.103B,,2.085B,-46.00M,0.00,2.039B,,,0.00,,-1.052B,1.319B,,,AOR,Restated
2014-12,1.569B,,,,,,,120.00M,120.00M,97.00M,,,45.00M,-58.00M,694.00M,208.00M,-86.00M,-141.00M,,-687.00M,-706.00M,1.761B,,-104.00M,,,,,-532.00M,,-636.00M,,0.00,,0.00,,-803.00M,-803.00M,-297.00M,-297.00M,30.00M,58.00M,-1.012B,,1.971B,113.00M,1.00M,2.085B,,,0.00,,-803.00M,57.00M,,,AOR,Restated
2014-09,1.073B,,,,,,,112.00M,112.00M,-222.00M,,,42.00M,-8.00M,795.00M,-9.00M,238.00M,-61.00M,,-620.00M,-452.00M,1.793B,,-227.00M,0.00,0.00,,-15.00M,-257.00M,,-499.00M,,,,,,-756.00M,-756.00M,758.00M,-248.00M,10.00M,-386.00M,-1.38B,,2.058B,-86.00M,-1.00M,1.971B,,,,,-756.00M,713.00M,,,AOR,Restated
2014-06,1.36B,,,,,,,109.00M,109.00M,17.00M,,,41.00M,-14.00M,636.00M,-7.00M,292.00M,32.00M,,-524.00M,-207.00M,1.942B,,-109.00M,0.00,0.00,,-134.00M,-93.00M,,-336.00M,,,,,,-1.152B,-1.152B,-251.00M,-251.00M,23.00M,12.00M,-1.368B,,1.82B,238.00M,0.00,2.058B,,,,,-1.152B,551.00M,,,AOR,Restated
2014-03,1.598B,,,,,,,107.00M,107.00M,-394.00M,,,44.00M,-14.00M,594.00M,144.00M,758.00M,-273.00M,,-635.00M,-6.00M,1.929B,,-97.00M,0.00,0.00,,,267.00M,,170.00M,,,,,,-1.119B,-1.119B,-253.00M,-253.00M,20.00M,-1.048B,-2.40B,,2.121B,-301.00M,0.00,1.82B,,,,,-1.119B,1.296B,,,AOR,Restated
2013-12,1.407B,,,,,,,107.00M,107.00M,19.00M,,,45.00M,-54.00M,604.00M,-168.00M,274.00M,-77.00M,,-616.00M,-587.00M,1.541B,,-120.00M,,,,,-156.00M,,-276.00M,,,,,,-1.091B,-1.091B,-254.00M,-254.00M,38.00M,-23.00M,-1.33B,,2.186B,-65.00M,0.00,2.121B,,,,,-1.091B,96.00M,,,AOR,Restated
2013-09,1.192B,,,,,,,106.00M,106.00M,-35.00M,,,40.00M,-10.00M,688.00M,99.00M,794.00M,-196.00M,,-636.00M,61.00M,2.045B,,-138.00M,,,,0.00,328.00M,,190.00M,,0.00,,0.00,,-1.311B,-1.311B,-211.00M,-211.00M,10.00M,10.00M,-1.502B,,1.453B,733.00M,,2.186B,,,,0.00,-1.311B,117.00M,,,AOR,Restated
2013-06,1.225B,,,,,,,101.00M,101.00M,-18.00M,,,41.00M,-8.00M,528.00M,615.00M,248.00M,17.00M,,-592.00M,288.00M,2.157B,,-122.00M,,,,0.00,-783.00M,,-905.00M,,-1.00M,,-1.00M,,-981.00M,-981.00M,-216.00M,-216.00M,14.00M,8.00M,-1.176B,,1.377B,76.00M,,1.453B,,,,-1.00M,-981.00M,57.00M,,,AOR,Restated
2013-03,1.27B,,,,,,,98.00M,98.00M,-42.00M,,,50.00M,-6.00M,590.00M,548.00M,-110.00M,-99.00M,,-655.00M,-316.00M,1.644B,,-111.00M,,,,,527.00M,,416.00M,,0.00,,0.00,,-1.82B,-1.82B,-217.00M,-217.00M,14.00M,6.00M,-2.017B,,1.334B,43.00M,,1.377B,,,,0.00,-1.82B,376.00M,,,AOR,Restated
2012-12,1.293B,,,,,,,92.00M,92.00M,1.622B,,,48.00M,-50.00M,565.00M,-1.645B,-4.068B,-228.00M,,-453.00M,-6.394B,-2.824B,,-100.00M,,,,,-765.00M,,-865.00M,,-5.00M,,-5.00M,,-1.253B,-1.253B,-220.00M,-220.00M,70.00M,4.357B,2.949B,,2.074B,-740.00M,,1.334B,,,,-5.00M,-1.253B,45.00M,,,AOR,Restated
2012-09,1.662B,,,,,,,89.00M,89.00M,-263.00M,,,35.00M,-29.00M,589.00M,33.00M,-348.00M,41.00M,,-442.00M,-716.00M,1.369B,,-106.00M,0.00,0.00,,0.00,-351.00M,,-471.00M,,0.00,,0.00,,-174.00M,-174.00M,-147.00M,-147.00M,63.00M,-135.00M,-393.00M,,1.558B,505.00M,11.00M,2.074B,,,,0.00,-174.00M,482.00M,,,AOR,Restated
2012-06,-1.839B,,,,,,,84.00M,84.00M,-1.227B,,,36.00M,-15.00M,616.00M,-82.00M,174.00M,2.00M,,-591.00M,-497.00M,1.257B,,-108.00M,0.00,0.00,,-3.00M,-1.076B,,-1.173B,,0.00,,0.00,,-461.00M,-461.00M,-148.00M,-148.00M,34.00M,15.00M,-560.00M,,2.042B,-476.00M,-8.00M,1.558B,,,,0.00,-461.00M,504.00M,,,AOR,Restated
2012-03,1.292B,,,,,,,80.00M,80.00M,-234.00M,,,38.00M,-9.00M,498.00M,-167.00M,-16.00M,-4.00M,,-381.00M,-568.00M,1.097B,,-61.00M,0.00,0.00,,,-901.00M,,-964.00M,,-1.00M,,-1.00M,,0.00,0.00,-148.00M,-148.00M,33.00M,79.00M,-37.00M,,1.942B,96.00M,4.00M,2.042B,,,,-1.00M,0.00,1.014B,,,AOR,Restated
2011-12,1.027B,,,,,,,80.00M,80.00M,34.00M,,,38.00M,-18.00M,444.00M,-54.00M,76.00M,2.00M,,-343.00M,-319.00M,1.286B,,-101.00M,2.00M,2.00M,,,291.00M,,194.00M,,-5.00M,,-5.00M,,-75.00M,-75.00M,-152.00M,-152.00M,44.00M,-1.477B,-1.665B,,2.127B,-185.00M,,1.942B,,,,-5.00M,-75.00M,57.00M,,,AOR,Restated
2011-09,878.00M,,,,,,,77.00M,77.00M,-5.00M,-1.304B,,32.00M,-6.00M,2.005B,12.00M,62.00M,-21.00M,,-743.00M,-690.00M,868.00M,,-117.00M,0.00,236.00M,,0.00,-1.757B,,-1.874B,,-35.00M,,-35.00M,,-424.00M,-424.00M,,-103.00M,36.00M,76.00M,-450.00M,,3.60B,-1.456B,-17.00M,2.127B,,,,-35.00M,-424.00M,480.00M,1.00M,,AOR,Restated
2011-06,1.004B,,,,,,,74.00M,74.00M,40.00M,448.00M,,32.00M,-4.00M,-218.00M,-16.00M,211.00M,189.00M,,-380.00M,4.00M,1.395B,,-89.00M,0.00,-89.00M,0.00,-106.00M,-34.00M,,-229.00M,,-4.00M,,-4.00M,,-1.064B,-1.064B,,-105.00M,24.00M,74.00M,-1.075B,,3.512B,91.00M,-3.00M,3.60B,,,,-4.00M,-1.064B,236.00M,0.00,,AOR,Restated
2011-03,880.00M,,,,,,,70.00M,70.00M,47.00M,451.00M,,42.00M,-1.00M,7.00M,104.00M,-378.00M,-242.00M,,-377.00M,-893.00M,603.00M,,-72.00M,0.00,-72.00M,0.00,-162.00M,111.00M,,-123.00M,,-5.00M,,-5.00M,,-230.00M,-230.00M,,-107.00M,13.00M,-329.00M,-658.00M,,3.684B,-178.00M,6.00M,3.512B,,,,-5.00M,-230.00M,1.015B,2.00M,,AOR,Restated
2010-12,884.00M,,,,,,,67.00M,67.00M,82.00M,405.00M,,48.00M,-7.00M,-18.00M,-155.00M,9.00M,48.00M,,-357.00M,-455.00M,1.006B,,-75.00M,0.00,-75.00M,0.00,,2.00M,,-73.00M,,-10.00M,,-10.00M,,-306.00M,-306.00M,,-108.00M,26.00M,-723.00M,-1.121B,,3.867B,-188.00M,5.00M,3.684B,,,,-10.00M,-306.00M,,,,AOR,Restated
2010-09,773.00M,,-62.00M,,-62.00M,,,78.00M,78.00M,59.00M,-1.139B,,36.00M,-1.00M,1.534B,64.00M,-44.00M,-18.00M,,-387.00M,-385.00M,893.00M,,-97.00M,2.00M,146.00M,,-1.805B,-83.00M,,-1.894B,,-5.00M,,-5.00M,,-336.00M,-336.00M,,-90.00M,20.00M,71.00M,-340.00M,,5.205B,-1.341B,3.00M,3.867B,,,,-5.00M,-336.00M,314.00M,1.00M,,AOR,Restated
2010-06,716.00M,,-3.00M,,-3.00M,,,63.00M,63.00M,5.00M,393.00M,,34.00M,-5.00M,4.00M,251.00M,-81.00M,121.00M,,-287.00M,4.00M,1.218B,,-65.00M,0.00,-65.00M,,0.00,3.00M,,-62.00M,,-4.00M,,-4.00M,,0.00,0.00,,-93.00M,15.00M,-425.00M,-507.00M,,4.56B,649.00M,-4.00M,5.205B,,,,-4.00M,0.00,218.00M,1.00M,,AOR,Restated
2010-03,712.00M,,-13.00M,,-13.00M,,,62.00M,62.00M,83.00M,372.00M,,29.00M,-3.00M,1.00M,104.00M,-139.00M,-136.00M,,-471.00M,-642.00M,609.00M,,-42.00M,1.00M,-41.00M,,0.00,71.00M,,30.00M,,-5.00M,,-5.00M,,-232.00M,-232.00M,,-92.00M,13.00M,73.00M,-243.00M,,4.16B,396.00M,4.00M,4.56B,,,,-5.00M,-232.00M,734.00M,1.00M,,AOR,Restated
2009-12,763.00M,,-1.00M,,-1.00M,,,62.00M,62.00M,102.00M,374.00M,,32.00M,-5.00M,-11.00M,-223.00M,-839.00M,-9.00M,,-241.00M,-1.312B,-29.00M,,-37.00M,,-37.00M,,,59.00M,,22.00M,,-10.00M,,-10.00M,,-432.00M,-432.00M,,-93.00M,8.00M,75.00M,-452.00M,,4.617B,-459.00M,2.00M,4.16B,,,,-10.00M,-432.00M,25.00M,1.00M,,AOR,Restated
2009-09,514.00M,2.00M,-476.00M,,-474.00M,,,61.00M,61.00M,-19.00M,326.00M,4.00M,31.00M,-1.00M,472.00M,368.00M,-994.00M,-60.00M,,-460.00M,-1.146B,-209.00M,,-101.00M,,-101.00M,,,90.00M,,875.00M,,-42.00M,,-42.00M,,0.00,0.00,,-78.00M,12.00M,-152.00M,-260.00M,,4.20B,406.00M,11.00M,4.617B,,,,-42.00M,0.00,644.00M,4.00M,,AOR,Restated
2009-06,729.00M,,0.00,,0.00,,,57.00M,57.00M,-22.00M,344.00M,4.00M,20.00M,0.00,-523.00M,-166.00M,69.00M,86.00M,,-321.00M,-332.00M,349.00M,,-69.00M,,-69.00M,,,68.00M,,-1.00M,,-4.00M,,-4.00M,,0.00,0.00,,-79.00M,18.00M,542.00M,477.00M,,3.363B,825.00M,12.00M,4.20B,,,,-4.00M,0.00,204.00M,1.00M,,AOR,Restated
2009-03,535.00M,0.00,1.00M,-1.00M,0.00,,,56.00M,56.00M,159.00M,295.00M,2.00M,32.00M,-6.00M,-4.00M,-128.00M,-404.00M,-94.00M,,-210.00M,-836.00M,233.00M,,-68.00M,0.00,-68.00M,,,123.00M,,55.00M,,-6.00M,,-6.00M,,0.00,0.00,,-80.00M,2.00M,548.00M,464.00M,,2.613B,752.00M,-2.00M,3.363B,,,,-6.00M,0.00,320.00M,1.00M,,AOR,Restated
2008-12,574.00M,,7.00M,1.00M,8.00M,,,52.00M,52.00M,179.00M,269.00M,1.00M,32.00M,0.00,18.00M,350.00M,-1.146B,102.00M,,-254.00M,-948.00M,185.00M,,-68.00M,,-68.00M,,,969.00M,,901.00M,,-2.00M,,-2.00M,,-2.646B,-2.646B,,-81.00M,0.00,-703.00M,-3.432B,,4.979B,-2.346B,-20.00M,2.613B,,,,-2.00M,-2.646B,4.00M,1.00M,,AOR,Restated
2008-09,-356.00M,1.00M,22.00M,0.00,23.00M,,,59.00M,59.00M,-163.00M,299.00M,34.00M,27.00M,0.00,1.147B,99.00M,-415.00M,76.00M,3.00M,-559.00M,-796.00M,274.00M,,-92.00M,0.00,-92.00M,,-1.002B,-955.00M,,-1.025B,,-4.00M,0.00,-4.00M,0.00,-13.45B,-13.45B,,-93.00M,0.00,13.52B,-27.00M,,5.762B,-778.00M,-5.00M,4.979B,,0.00,0.00,-4.00M,-13.45B,115.00M,8.00M,,AOR,Restated
2008-06,422.00M,-1.00M,4.00M,0.00,3.00M,,,57.00M,57.00M,12.00M,274.00M,,28.00M,,72.00M,-94.00M,170.00M,-76.00M,-3.00M,-240.00M,-243.00M,625.00M,,-86.00M,0.00,-86.00M,,0.00,116.00M,,30.00M,,-4.00M,0.00,-4.00M,0.00,13.33B,13.33B,,0.00,0.00,-13.26B,66.00M,,5.041B,721.00M,0.00,5.762B,,0.00,0.00,-4.00M,13.33B,313.00M,-4.00M,,,Restated
2008-03,314.00M,1.00M,6.00M,0.00,7.00M,,,59.00M,59.00M,133.00M,337.00M,0.00,19.00M,0.00,295.00M,24.00M,-1.297B,27.00M,3.00M,-471.00M,-1.714B,-550.00M,,-166.00M,0.00,-166.00M,,0.00,464.00M,,298.00M,,-4.00M,0.00,-4.00M,19.10B,-13.33B,5.77B,,0.00,0.00,-2.171B,3.595B,,1.698B,3.343B,0.00,5.041B,,19.10B,0.00,-4.00M,-13.33B,245.00M,3.00M,,,Restated
2007-12,424.00M,-1.00M,2.00M,-1.00M,0.00,,,62.00M,62.00M,-9.00M,251.00M,0.00,0.00,,39.00M,-596.00M,310.00M,-27.00M,-3.00M,-269.00M,-585.00M,182.00M,,-71.00M,4.00M,-67.00M,,1.002B,316.00M,,1.251B,,-10.00M,0.00,-10.00M,,0.00,0.00,,0.00,,,-10.00M,,275.00M,1.423B,0.00,1.698B,,,2.00M,-12.00M,0.00,5.00M,1.00M,,,Restated
2007-09,-1.684B,1.00M,,-2.00M,-5.00M,,,41.00M,41.00M,-872.00M,,,0.00,,2.492B,13.00M,-178.00M,,,-345.00M,-510.00M,-38.00M,,-84.00M,0.00,-84.00M,,,-185.00M,1.00M,-267.00M,,-10.00M,0.00,-10.00M,0.00,,0.00,,,,,-10.00M,,590.00M,-315.00M,,275.00M,,0.00,0.00,-10.00M,,112.00M,,,AOR,Restated
2007-06,223.00M,1.00M,,-38.00M,-37.00M,,-240.00M,-155.00M,-155.00M,-2.00M,,,0.00,,343.00M,-14.00M,-17.00M,,,-184.00M,-215.00M,157.00M,,-31.00M,0.00,-76.00M,,,87.00M,-1.00M,55.00M,,-8.00M,0.00,-8.00M,0.00,,0.00,,,,,-8.00M,,386.00M,204.00M,,590.00M,,0.00,0.00,-8.00M,,301.00M,,,AOR,Restated
2007-03,179.00M,,,,,-29.00M,140.00M,111.00M,111.00M,-19.00M,,,,,76.00M,16.00M,-18.00M,,,-136.00M,-138.00M,209.00M,,-29.00M,0.00,0.00,,,-150.00M,,-179.00M,,-10.00M,0.00,-10.00M,0.00,,0.00,,,,,-10.00M,,366.00M,20.00M,,386.00M,,0.00,0.00,-10.00M,,,,,AOR,Restated
2006-12,206.00M,,,,,29.00M,100.00M,129.00M,129.00M,19.00M,,,,,7.00M,-12.00M,-15.00M,,,-157.00M,-184.00M,177.00M,,-16.00M,0.00,0.00,,,-56.00M,,-72.00M,,-9.00M,0.00,-9.00M,,,,,,,,-9.00M,,270.00M,96.00M,,366.00M,,,0.00,-9.00M,,,,,AOR,
