,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,8.505B,3.396B,11.90B,1.22B,1.615B,2.835B,545.00M,2.833B,,377.00M,18.49B,,,,,,,,,,2.387B,15.20B,27.63B,42.83B,2.835B,,,1.63B,49.68B,68.18B,,145.00M,,2.31B,2.455B,2.527B,4.982B,,,,,,1.30B,3.923B,10.93B,16.63B,16.63B,4.802B,,4.802B,,,,,2.494B,23.92B,34.86B,,5.47B,10.43B,16.69B,,5.47B,110.00M,-74.00M,651.00M,54.00M,741.00M,33.32B,,AOR,Restated
2018-03,8.142B,3.577B,11.72B,1.259B,2.501B,3.76B,592.00M,2.134B,,331.00M,18.54B,,,,,,,,,,2.366B,15.37B,28.54B,43.91B,2.602B,,,1.629B,50.51B,69.04B,,136.00M,,3.052B,3.188B,2.071B,5.259B,,,,,,,3.762B,9.551B,16.62B,16.62B,5.11B,,6.477B,,,,,2.287B,25.39B,34.94B,,5.476B,10.19B,16.71B,,5.476B,93.00M,-77.00M,1.763B,-51.00M,1.728B,34.10B,,AOR,Restated
2017-12,8.138B,3.413B,11.55B,1.281B,1.618B,2.899B,504.00M,2.038B,,295.00M,17.29B,,,,,,,,,,2.238B,15.16B,28.11B,43.27B,2.674B,,,1.684B,49.87B,67.15B,,108.00M,,2.302B,2.41B,2.054B,4.464B,,,,,,,3.51B,8.363B,16.62B,16.62B,5.107B,,6.437B,,,,,2.332B,25.39B,33.75B,,5.476B,9.966B,16.76B,,5.476B,61.00M,-76.00M,1.251B,-33.00M,1.203B,33.40B,,AOR,Restated
2017-09,9.874B,3.564B,13.44B,1.132B,1.422B,2.554B,550.00M,2.137B,,344.00M,19.02B,0.00,72.00M,865.00M,4.067B,,139.00M,,5.143B,-2.89B,2.253B,15.11B,27.85B,42.96B,1.926B,,,1.817B,48.95B,67.98B,,179.00M,,2.003B,2.182B,2.111B,4.293B,,,1.749B,1.749B,,0.00,3.195B,9.994B,16.62B,16.62B,5.98B,,7.284B,,,,,1.321B,25.22B,35.22B,,5.526B,9.508B,16.90B,,5.526B,73.00M,-76.00M,917.00M,-36.00M,878.00M,32.76B,,AOR,Restated
2017-06,7.437B,2.754B,10.19B,1.105B,1.419B,2.524B,590.00M,2.105B,,308.00M,15.72B,,,,,,,,,,2.202B,15.01B,27.32B,42.33B,2.117B,,,1.632B,48.28B,64.00B,,130.00M,,2.075B,2.205B,1.935B,4.14B,,1.749B,1.749B,1.749B,,,2.984B,9.511B,14.14B,14.14B,5.888B,,7.146B,,,,,1.257B,22.54B,32.06B,,5.526B,9.299B,17.01B,0.00,5.526B,58.00M,-207.00M,282.00M,-15.00M,118.00M,31.94B,,AOR,Restated
2017-03,6.427B,1.495B,7.922B,1.081B,3.35B,4.431B,788.00M,2.072B,,292.00M,15.50B,,,,,,,,,,2.133B,14.82B,26.42B,41.24B,2.882B,,,1.466B,47.72B,63.23B,,120.00M,,2.879B,2.999B,2.163B,5.162B,,1.748B,1.748B,1.748B,,,2.796B,10.21B,14.14B,14.14B,5.731B,,6.911B,,,,,1.187B,22.24B,32.44B,,5.597B,9.14B,17.10B,0.00,5.597B,45.00M,-216.00M,-803.00M,-6.00M,-980.00M,30.78B,,AOR,Restated
2016-12,5.824B,3.697B,9.521B,1.12B,1.333B,2.453B,416.00M,2.034B,,265.00M,14.69B,,,,,,,,,,2.201B,14.89B,26.38B,41.27B,3.802B,,,1.405B,48.68B,63.37B,,118.00M,,2.059B,2.177B,2.54B,4.717B,566.00M,1.747B,2.313B,2.313B,,,2.878B,10.34B,14.14B,14.14B,4.822B,,5.986B,,,,,1.179B,21.30B,31.64B,,5.717B,10.49B,17.18B,170.00M,5.717B,32.00M,-221.00M,-1.207B,27.00M,-1.369B,31.73B,,AOR,Restated
2016-09,5.619B,3.319B,8.938B,1.041B,1.467B,2.508B,555.00M,2.028B,,284.00M,14.31B,0.00,74.00M,839.00M,3.76B,,125.00M,,4.798B,-2.648B,2.15B,15.07B,27.23B,42.30B,3.931B,,,1.341B,49.72B,64.04B,,203.00M,153.00M,2.084B,2.44B,1.473B,3.913B,,,,,,,3.46B,8.046B,15.88B,15.88B,4.808B,,6.033B,,137.00M,,,114.00M,23.08B,31.12B,,5.717B,10.46B,17.40B,170.00M,5.717B,36.00M,-225.00M,-219.00M,-50.00M,-458.00M,32.91B,,AOR,Restated
2016-06,5.887B,2.865B,8.752B,1.066B,1.499B,2.565B,707.00M,2.059B,,291.00M,14.37B,,,,,,,,,,2.136B,15.04B,27.08B,42.12B,3.762B,,,1.473B,49.49B,63.87B,,115.00M,,1.999B,2.114B,2.173B,4.287B,,,,,,,2.985B,7.783B,15.88B,15.88B,4.977B,,6.186B,,,,,1.192B,23.26B,31.04B,,5.717B,10.33B,17.51B,170.00M,5.717B,30.00M,-126.00M,-405.00M,-42.00M,-543.00M,32.83B,,AOR,Restated
2016-03,15.94B,3.954B,19.90B,944.00M,414.00M,1.358B,646.00M,2.111B,,291.00M,24.30B,,,,,,,,,,1.883B,11.84B,11.34B,23.17B,3.577B,,,1.392B,30.02B,54.33B,,90.00M,,723.00M,813.00M,1.754B,2.567B,,,,,,,2.182B,5.125B,15.88B,15.88B,3.256B,,3.256B,,,,,938.00M,20.07B,25.20B,,0.00,11.58B,17.64B,,,40.00M,-126.00M,-1.00M,-9.00M,-96.00M,29.13B,,AOR,Restated
2015-12,12.84B,8.508B,21.34B,922.00M,443.00M,1.365B,247.00M,2.102B,,414.00M,25.47B,,,,,,,,,,1.884B,11.82B,11.35B,23.17B,3.487B,,,960.00M,29.50B,54.98B,,118.00M,522.00M,744.00M,1.384B,1.255B,2.639B,,,,,80.00M,80.00M,2.321B,5.357B,15.88B,15.88B,3.344B,,3.344B,,82.00M,,,70.00M,20.14B,25.50B,,0.00,11.70B,17.82B,,,23.00M,-131.00M,-1.00M,60.00M,-49.00M,29.48B,,AOR,Restated
2015-09,3.518B,2.497B,6.015B,847.00M,408.00M,1.332B,137.00M,2.095B,,366.00M,10.02B,0.00,71.00M,803.00M,3.289B,,120.00M,,4.283B,-2.395B,1.888B,11.82B,11.36B,23.19B,3.429B,627.00M,13.00M,110.00M,29.35B,39.37B,,127.00M,75.00M,780.00M,982.00M,1.281B,2.263B,,,,,,,2.589B,5.355B,,,3.273B,,3.273B,,77.00M,,,68.00M,4.17B,9.525B,,0.00,11.84B,18.07B,0.00,,5.00M,-161.00M,-1.00M,83.00M,-74.00M,29.84B,,AOR,Restated
2015-06,2.147B,2.575B,4.722B,892.00M,704.00M,1.596B,457.00M,2.211B,834.00M,248.00M,10.07B,,,,,,,,,,1.847B,11.82B,11.38B,23.20B,3.30B,,,1.014B,29.36B,39.43B,,89.00M,,1.237B,1.326B,1.903B,3.229B,,,,,,,2.121B,5.789B,,,4.134B,,4.134B,,86.00M,,,77.00M,5.013B,10.80B,,0.00,10.62B,18.01B,,,5.00M,-86.00M,-1.00M,78.00M,-4.00M,28.63B,,AOR,Restated
2015-03,2.039B,2.567B,4.606B,896.00M,679.00M,1.575B,586.00M,2.257B,838.00M,243.00M,10.10B,,,,,,,,,,1.843B,11.75B,11.38B,23.13B,2.779B,,,976.00M,28.73B,38.84B,,81.00M,,1.126B,1.207B,1.836B,3.043B,,,,,,,2.066B,5.443B,,,4.131B,,4.131B,,83.00M,,,81.00M,5.155B,10.60B,,0.00,10.11B,18.10B,,,6.00M,-84.00M,-1.00M,110.00M,31.00M,28.24B,,AOR,Restated
2014-12,2.085B,2.495B,4.58B,900.00M,500.00M,1.40B,318.00M,2.439B,927.00M,200.00M,9.864B,,,,,,,,,,1.861B,11.75B,11.40B,23.15B,3.028B,,,983.00M,29.02B,38.88B,,135.00M,470.00M,855.00M,1.46B,1.517B,2.977B,,,,,79.00M,79.00M,2.435B,5.798B,,,4.139B,,4.139B,,83.00M,,,61.00M,5.144B,10.94B,,0.00,9.732B,18.20B,,,11.00M,-80.00M,-1.00M,80.00M,10.00M,27.94B,,AOR,Restated
2014-09,1.971B,1.979B,3.95B,822.00M,786.00M,1.699B,103.00M,2.459B,1.028B,283.00M,9.562B,0.00,71.00M,787.00M,2.981B,,76.00M,,3.915B,-2.023B,1.892B,11.75B,11.41B,23.16B,3.05B,597.00M,8.00M,81.00M,29.01B,38.57B,,147.00M,73.00M,1.332B,1.552B,1.666B,3.218B,,,,,82.00M,82.00M,2.256B,6.006B,,,4.145B,,4.145B,,92.00M,,,58.00M,5.15B,11.16B,,0.00,9.131B,18.30B,,,31.00M,-84.00M,-2.00M,38.00M,-17.00M,27.41B,,AOR,Restated
2014-06,2.058B,2.006B,4.064B,824.00M,775.00M,1.625B,244.00M,2.041B,830.00M,221.00M,9.025B,,,,,,,,,,1.772B,11.74B,11.43B,23.17B,2.798B,,,912.00M,28.65B,37.68B,,101.00M,,1.307B,1.408B,1.67B,3.078B,,,,,,,1.838B,5.314B,,,4.17B,,4.17B,,86.00M,,,61.00M,5.075B,10.39B,,0.00,8.909B,18.39B,,,58.00M,-68.00M,-1.00M,-5.00M,-16.00M,27.29B,,AOR,Restated
2014-03,1.82B,1.674B,3.494B,832.00M,752.00M,1.617B,263.00M,2.028B,850.00M,255.00M,8.507B,,,,,,,,,,1.76B,11.68B,11.32B,23.00B,3.066B,,,932.00M,28.76B,37.26B,,114.00M,,1.099B,1.213B,1.642B,2.855B,,,,,,,1.75B,4.961B,,,4.146B,,4.146B,,87.00M,,,33.00M,5.007B,9.968B,,0.00,8.714B,18.56B,,,77.00M,-68.00M,-1.00M,18.00M,26.00M,27.30B,,AOR,Restated
2013-12,2.121B,1.969B,4.09B,840.00M,888.00M,1.748B,291.00M,935.00M,466.00M,235.00M,7.765B,,,,,,,,,,1.746B,11.68B,11.33B,23.02B,3.04B,,,682.00M,28.48B,36.25B,,101.00M,412.00M,1.246B,1.759B,179.00M,1.938B,,,,,72.00M,72.00M,2.038B,4.385B,,,4.16B,,4.16B,,86.00M,,,64.00M,4.849B,9.234B,,0.00,8.269B,18.70B,,,70.00M,-60.00M,-1.00M,34.00M,43.00M,27.01B,,AOR,Restated
2013-09,2.186B,2.069B,4.255B,761.00M,799.00M,1.702B,111.00M,915.00M,481.00M,335.00M,7.822B,0.00,71.00M,766.00M,2.528B,,74.00M,,3.439B,-1.707B,1.732B,11.68B,11.35B,23.03B,2.79B,253.00M,0.00,89.00M,28.13B,35.96B,,184.00M,64.00M,1.225B,1.473B,214.00M,1.687B,,,,,60.00M,60.00M,2.065B,4.335B,,,4.149B,,4.149B,,86.00M,,,63.00M,4.751B,9.086B,,0.00,7.974B,18.88B,,,59.00M,-60.00M,-1.00M,23.00M,21.00M,26.87B,,AOR,Restated
2013-06,1.453B,1.895B,3.348B,779.00M,459.00M,1.838B,220.00M,866.00M,429.00M,240.00M,6.941B,,,,,,,,,,1.689B,11.68B,11.37B,23.05B,3.189B,,,417.00M,28.34B,35.28B,,131.00M,,817.00M,948.00M,633.00M,1.581B,,,,,,,1.646B,3.671B,,,4.043B,,4.043B,,,,,568.00M,4.611B,8.282B,,0.00,7.989B,19.13B,,,26.00M,-181.00M,-1.00M,40.00M,-116.00M,27.00B,,AOR,Restated
2013-03,1.377B,1.342B,2.719B,802.00M,488.00M,2.453B,211.00M,895.00M,421.00M,215.00M,6.914B,,,,,,,,,,1.674B,11.68B,11.38B,23.07B,2.974B,,,431.00M,28.14B,35.06B,,118.00M,,722.00M,840.00M,605.00M,1.445B,,,,,,,1.736B,3.539B,,,4.046B,,4.046B,,,,,579.00M,4.625B,8.164B,,0.00,7.723B,19.30B,,,35.00M,-183.00M,-1.00M,16.00M,-133.00M,26.90B,,AOR,Restated
2012-12,1.334B,1.451B,2.785B,801.00M,859.00M,3.001B,176.00M,868.00M,389.00M,168.00M,7.387B,,,,,,,,,,1.641B,11.68B,11.40B,23.08B,3.401B,,,346.00M,28.47B,35.86B,,114.00M,,1.072B,1.186B,583.00M,1.769B,,,,,,,1.69B,3.747B,,,4.057B,,4.057B,,,,,467.00M,4.524B,8.271B,,0.00,7.997B,19.73B,,,34.00M,-184.00M,-1.00M,14.00M,-137.00M,27.59B,,AOR,Restated
2012-09,2.074B,743.00M,2.817B,723.00M,454.00M,1.356B,69.00M,5.255B,2.027B,249.00M,11.79B,0.00,71.00M,751.00M,2.19B,,69.00M,,3.081B,-1.447B,1.634B,11.68B,11.42B,23.10B,3.369B,,,58.00M,28.23B,40.01B,,152.00M,58.00M,719.00M,929.00M,4.602B,5.531B,,,,,59.00M,59.00M,1.904B,7.954B,,,4.058B,,4.058B,,93.00M,,,107.00M,4.429B,12.38B,,0.00,7.809B,19.99B,,,3.00M,-186.00M,-1.00M,13.00M,-171.00M,27.63B,,AOR,Restated
2012-06,1.558B,745.00M,2.303B,793.00M,443.00M,1.236B,323.00M,4.282B,1.645B,1.11B,10.90B,,,,,,,,,,1.581B,11.68B,11.44B,23.12B,2.923B,,,220.00M,27.84B,38.74B,,111.00M,,747.00M,858.00M,4.958B,5.816B,,,,,,,1.649B,7.854B,,,3.944B,,3.944B,,,,,785.00M,4.729B,12.58B,,0.00,6.411B,19.92B,,,1.00M,-189.00M,-12.00M,25.00M,-175.00M,26.16B,,AOR,Restated
2012-03,2.042B,915.00M,2.957B,655.00M,508.00M,1.163B,332.00M,4.282B,430.00M,1.131B,10.30B,,,,,,,,,,1.54B,11.67B,11.44B,23.10B,1.696B,,,210.00M,26.55B,36.85B,,75.00M,,702.00M,777.00M,830.00M,1.607B,,,,,,,1.648B,3.587B,,,3.941B,,3.941B,,,,,797.00M,4.738B,8.325B,,0.00,8.688B,20.01B,,,5.00M,-194.00M,-4.00M,17.00M,-176.00M,28.52B,,AOR,Restated
2011-12,1.942B,799.00M,2.741B,629.00M,509.00M,1.138B,172.00M,4.352B,461.00M,1.114B,9.978B,,,,,,,,,,1.542B,11.67B,11.45B,23.12B,899.00M,,,227.00M,25.79B,35.77B,,87.00M,,426.00M,513.00M,1.242B,1.755B,,,,,,,1.523B,3.537B,,,4.212B,,4.212B,,,,,718.00M,4.93B,8.467B,,0.00,7.544B,19.93B,,,1.00M,-183.00M,-8.00M,18.00M,-172.00M,27.30B,,AOR,Restated
2011-09,2.127B,1.271B,3.398B,560.00M,412.00M,1.084B,96.00M,3.788B,489.00M,305.00M,9.19B,0.00,71.00M,719.00M,1.87B,,89.00M,,2.749B,-1.208B,1.541B,11.67B,11.44B,23.10B,811.00M,,,85.00M,25.57B,34.76B,,169.00M,63.00M,449.00M,681.00M,636.00M,1.317B,,,,,63.00M,63.00M,1.684B,3.451B,,,4.205B,,4.205B,,106.00M,,,93.00M,4.872B,8.323B,,0.00,6.706B,19.91B,,,0.00,-186.00M,-8.00M,18.00M,-176.00M,26.44B,,AOR,Restated
2011-06,3.60B,220.00M,3.82B,551.00M,405.00M,956.00M,214.00M,2.927B,507.00M,1.092B,9.516B,,,,,,,,,,1.51B,11.67B,11.45B,23.12B,7.00M,,,293.00M,24.93B,34.45B,,93.00M,,465.00M,558.00M,1.123B,1.681B,,,13.00M,13.00M,,,1.503B,3.531B,22.00M,22.00M,4.254B,,4.254B,0.00,,2.00M,,588.00M,4.864B,8.395B,,0.00,6.13B,20.06B,,,0.00,-112.00M,9.00M,-33.00M,-136.00M,26.05B,,AOR,Restated
2011-03,3.512B,197.00M,3.709B,538.00M,397.00M,935.00M,446.00M,2.997B,497.00M,1.022B,9.606B,,,,,,,,,,1.453B,11.59B,11.46B,23.05B,7.00M,,,304.00M,24.82B,34.42B,,86.00M,,325.00M,411.00M,1.36B,1.771B,,,12.00M,12.00M,,,1.401B,3.465B,25.00M,25.00M,4.205B,,4.205B,0.00,,3.00M,,573.00M,4.803B,8.268B,,0.00,5.707B,20.58B,,,1.00M,-114.00M,12.00M,-38.00M,-139.00M,26.15B,,AOR,Restated
2010-12,3.684B,201.00M,3.885B,527.00M,506.00M,1.033B,179.00M,2.666B,545.00M,1.047B,9.355B,,,,,,,,,,1.38B,11.45B,11.46B,22.91B,13.00M,,,331.00M,24.63B,33.99B,,95.00M,,430.00M,525.00M,1.55B,2.075B,,,12.00M,12.00M,,,1.351B,3.679B,29.00M,29.00M,4.186B,,4.186B,0.00,,3.00M,,551.00M,4.766B,8.445B,,0.00,5.023B,20.67B,,,2.00M,-114.00M,6.00M,-44.00M,-150.00M,25.54B,,AOR,Restated
2010-09,3.867B,184.00M,4.051B,476.00M,402.00M,878.00M,242.00M,1.866B,,1.074B,8.734B,0.00,71.00M,648.00M,1.595B,,75.00M,,2.389B,-1.032B,1.357B,11.45B,11.48B,22.92B,138.00M,,,224.00M,24.67B,33.41B,,137.00M,40.00M,406.00M,583.00M,789.00M,1.372B,,,12.00M,12.00M,42.00M,42.00M,1.702B,3.498B,32.00M,32.00M,4.181B,,4.181B,66.00M,76.00M,3.00M,,118.00M,4.896B,8.394B,,0.00,4.368B,20.79B,,,3.00M,-115.00M,1.00M,-40.00M,-151.00M,25.01B,,AOR,Restated
2010-06,5.205B,85.00M,5.29B,501.00M,416.00M,917.00M,284.00M,1.865B,448.00M,1.046B,9.85B,,,,,,,,,,1.185B,10.21B,10.88B,21.09B,128.00M,,,442.00M,22.85B,32.70B,,94.00M,,446.00M,540.00M,1.377B,1.917B,,,12.00M,12.00M,,,1.264B,3.482B,35.00M,35.00M,3.798B,,3.798B,132.00M,,4.00M,,569.00M,4.534B,8.016B,,0.00,3.822B,20.94B,,,4.00M,-71.00M,-2.00M,-13.00M,-82.00M,24.68B,,AOR,Restated
2010-03,4.56B,85.00M,4.645B,502.00M,666.00M,1.168B,413.00M,1.365B,470.00M,1.054B,9.115B,,,,,,,,,,1.183B,10.21B,10.88B,21.09B,154.00M,,,525.00M,22.95B,32.07B,,78.00M,,618.00M,696.00M,1.368B,2.064B,,,12.00M,12.00M,,,1.185B,3.537B,38.00M,38.00M,3.808B,,3.808B,196.00M,,4.00M,,502.00M,4.544B,8.081B,,0.00,3.199B,20.88B,0.00,,9.00M,-71.00M,2.00M,-39.00M,-99.00M,23.98B,,AOR,Restated
2009-12,4.16B,93.00M,4.253B,536.00M,736.00M,1.272B,212.00M,1.365B,595.00M,1.056B,8.753B,,,,,,,,,,1.203B,10.21B,10.88B,21.09B,159.00M,,,509.00M,22.96B,31.72B,,87.00M,,629.00M,716.00M,1.552B,2.268B,,,12.00M,12.00M,,,1.129B,3.637B,41.00M,41.00M,3.806B,,3.806B,260.00M,,5.00M,,494.00M,4.601B,8.238B,,0.00,2.691B,20.96B,1.00M,,10.00M,-133.00M,-2.00M,-50.00M,-175.00M,23.47B,,AOR,Restated
2009-09,4.617B,115.00M,4.732B,444.00M,605.00M,1.049B,366.00M,1.365B,703.00M,1.026B,9.241B,0.00,71.00M,629.00M,1.286B,,43.00M,,2.029B,-825.00M,1.204B,10.21B,10.88B,21.09B,270.00M,,,475.00M,23.04B,32.28B,,156.00M,23.00M,634.00M,813.00M,2.086B,2.899B,,,12.00M,12.00M,39.00M,39.00M,1.096B,4.442B,44.00M,44.00M,3.807B,,3.807B,323.00M,119.00M,4.00M,,49.00M,4.646B,9.088B,,0.00,2.219B,21.16B,2.00M,,10.00M,-136.00M,-4.00M,-58.00M,-188.00M,23.19B,,AOR,Restated
