,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,6.385B,5.24B,1.021B,4.219B,240.00M,342.00M,582.00M,-600.00M,,155.00M,,-155.00M,,734.00M,3.485B,,155.00M,-155.00M,-518.00M,-155.00M,2.812B,483.00M,2.329B,,2.329B,2.758B,3.119B,152.00M,2.967B,,1.00,,1.192,1.00,,1.00,,1.185,1.00,,2.231B,2.321B,0.21,,AOR,Restated
2018-03,6.132B,5.073B,993.00M,4.08B,261.00M,330.00M,591.00M,0.00,,,,-153.00M,,744.00M,3.336B,,,-153.00M,34.00M,-153.00M,3.217B,612.00M,2.605B,,2.605B,2.577B,3.489B,153.00M,3.336B,,1.12,,1.108,1.12,,1.11,,1.098,1.11,,2.245B,2.337B,0.21,,AOR,Restated
2017-12,5.959B,4.862B,839.00M,4.023B,223.00M,328.00M,551.00M,0.00,,154.00M,,-154.00M,,696.00M,3.327B,,154.00M,-154.00M,66.00M,-154.00M,3.239B,717.00M,2.522B,,2.522B,2.522B,3.538B,145.00M,3.393B,,1.07,,1.07,1.07,,1.07,,1.07,1.07,,2.267B,2.353B,0.195,,AOR,Restated
2017-09,5.975B,4.855B,822.00M,4.033B,290.00M,382.00M,672.00M,-2.00M,,,,-148.00M,,819.00M,3.214B,,,-148.00M,33.00M,-148.00M,3.099B,959.00M,2.14B,,2.14B,2.141B,3.30B,147.00M,3.153B,,0.91,,0.9106,0.91,,0.90,,0.9006,0.90,,2.265B,2.368B,0.165,,AOR,Restated
2017-06,5.503B,4.565B,856.00M,3.709B,221.00M,332.00M,553.00M,,,140.00M,,-140.00M,,685.00M,3.024B,,140.00M,-140.00M,30.00M,-140.00M,2.914B,855.00M,2.059B,,2.059B,2.059B,3.186B,132.00M,3.054B,,0.87,,0.87,0.87,,0.86,,0.86,0.86,,2.296B,2.385B,0.165,,AOR,Restated
2017-03,5.305B,4.477B,854.00M,3.623B,193.00M,489.00M,682.00M,-2.00M,,135.00M,,-135.00M,,813.00M,2.81B,,135.00M,-135.00M,27.00M,-135.00M,2.702B,2.272B,430.00M,,430.00M,431.20M,2.968B,131.00M,2.837B,,0.18,,0.1805,0.18,,0.18,,0.1805,0.18,,2.317B,2.406B,0.165,,AOR,Restated
2016-12,5.299B,4.461B,716.00M,3.745B,218.00M,266.00M,484.00M,-15.00M,,140.00M,,-140.00M,,630.00M,3.115B,,140.00M,-140.00M,4.00M,-140.00M,2.979B,909.00M,2.07B,,2.07B,2.080B,3.265B,146.00M,3.119B,,0.86,,0.8644,0.86,,0.86,,0.8643,0.86,,2.332B,2.421B,0.165,,AOR,Restated
2016-09,5.036B,4.261B,851.00M,3.41B,300.00M,343.00M,643.00M,-1.00M,,135.00M,,-135.00M,,784.00M,2.626B,,135.00M,-135.00M,19.00M,-135.00M,2.51B,579.00M,1.931B,,1.931B,1.932B,2.786B,141.00M,2.645B,,0.79,,0.7903,0.79,,0.79,,0.7903,0.79,,2.383B,2.438B,0.14,,AOR,Restated
2016-06,4.26B,3.63B,632.00M,2.998B,189.00M,384.00M,573.00M,-1.877B,,131.00M,,-131.00M,,693.00M,2.305B,,131.00M,-131.00M,-1.752B,-131.00M,422.00M,10.00M,412.00M,,412.00M,2.246B,673.00M,120.00M,553.00M,,0.17,,0.9421,0.17,,0.17,,0.9386,0.17,,2.375B,2.386B,0.14,,AOR,Restated
2016-03,4.217B,3.626B,654.00M,2.972B,186.00M,230.00M,416.00M,-1.00M,,132.00M,,-132.00M,,537.00M,2.435B,,132.00M,-132.00M,138.00M,-132.00M,2.441B,734.00M,1.707B,,1.707B,1.708B,2.694B,121.00M,2.573B,,0.71,,0.7103,0.71,,0.71,,0.7103,0.71,,2.389B,2.401B,0.14,,AOR,Restated
2015-12,4.155B,3.565B,627.00M,2.938B,194.00M,228.00M,422.00M,0.00,,29.00M,,-29.00M,,542.00M,2.396B,,29.00M,-29.00M,272.00M,-29.00M,2.639B,698.00M,1.941B,,1.941B,1.941B,2.788B,120.00M,2.668B,,0.80,,0.80,0.80,,0.80,,0.80,0.80,,2.421B,2.43B,0.14,,AOR,Restated
2015-09,4.157B,3.571B,655.00M,2.916B,253.00M,250.00M,503.00M,-11.00M,,1.00M,,-1.00M,,622.00M,2.294B,,1.00M,-1.00M,-10.00M,-1.00M,2.283B,771.00M,1.512B,,1.512B,1.519B,2.403B,119.00M,2.284B,,0.62,,0.623,0.62,,0.62,,0.6230,0.62,,2.428B,2.442B,0.12,,AOR,Restated
2015-06,3.989B,3.518B,683.00M,2.835B,224.00M,219.00M,443.00M,0.00,,,8.00M,8.00M,,573.00M,2.262B,8.00M,,8.00M,-102.00M,8.00M,2.168B,471.00M,1.697B,,1.697B,1.697B,2.392B,130.00M,2.262B,,0.69,,0.69,0.69,,0.69,,0.69,0.69,,2.439B,2.448B,0.12,,AOR,Restated
2015-03,3.881B,3.409B,592.00M,2.817B,190.00M,218.00M,408.00M,-3.00M,,7.00M,,-7.00M,,533.00M,2.284B,,7.00M,-7.00M,5.00M,-7.00M,2.282B,732.00M,1.55B,,1.55B,1.552B,2.414B,125.00M,2.289B,,0.63,,0.6308,0.63,,0.63,,0.6308,0.63,,2.447B,2.46B,0.12,,AOR,Restated
2014-12,3.891B,3.382B,623.00M,2.759B,205.00M,196.00M,401.00M,,,3.00M,,-3.00M,,521.00M,2.238B,,3.00M,-3.00M,27.00M,-3.00M,2.262B,693.00M,1.569B,,1.569B,1.569B,2.385B,120.00M,2.265B,,0.63,,0.63,0.63,,0.63,,0.63,0.63,,2.466B,2.478B,0.12,,AOR,Restated
2014-09,3.785B,3.229B,624.00M,2.605B,241.00M,247.00M,488.00M,-453.00M,,,,,,600.00M,2.005B,,,,-447.00M,,1.55B,477.00M,1.073B,,1.073B,1.387B,1.699B,112.00M,1.587B,,0.4325,,0.5591,0.4325,,0.43,,0.5558,0.43,,2.477B,2.493B,0.10,,AOR,Restated
2014-06,3.598B,3.155B,590.00M,2.565B,228.00M,208.00M,436.00M,0.00,,,,,,545.00M,2.02B,,,,10.00M,,2.03B,670.00M,1.36B,,1.36B,1.36B,2.129B,109.00M,2.02B,,0.54,,0.54,0.54,,0.54,,0.54,0.54,,2.49B,2.511B,0.10,,AOR,Restated
2014-03,3.567B,3.163B,566.00M,2.597B,245.00M,197.00M,442.00M,0.00,,,,,,549.00M,2.048B,,,,13.00M,,2.061B,463.00M,1.598B,,1.598B,1.598B,2.155B,107.00M,2.048B,,0.63,,0.63,0.63,,0.63,,0.63,0.63,,2.511B,2.534B,0.10,,AOR,Restated
2013-12,3.574B,3.155B,602.00M,2.553B,186.00M,183.00M,369.00M,,,,,,,476.00M,2.077B,,,,6.00M,,2.083B,676.00M,1.407B,,1.407B,1.407B,2.184B,107.00M,2.077B,,0.5525,,0.5525,0.5525,,0.55,,0.55,0.55,,2.532B,2.556B,0.10,,AOR,Restated
2013-09,3.47B,2.973B,621.00M,2.352B,236.00M,259.00M,495.00M,0.00,,,,,,601.00M,1.751B,,,,,,1.766B,574.00M,1.192B,,1.192B,1.192B,1.857B,106.00M,1.751B,,0.465,,0.465,0.465,,0.4625,,0.4625,0.4625,,2.512B,2.576B,0.0825,,AOR,Restated
2013-06,3.343B,3.001B,610.00M,2.391B,252.00M,211.00M,463.00M,1.00M,,,,,,564.00M,1.827B,,,,6.00M,,1.833B,608.00M,1.225B,,1.225B,1.224B,1.928B,101.00M,1.827B,,0.4725,,0.4722,0.4725,,0.47,,0.4697,0.47,,2.584B,2.604B,0.0825,,AOR,Restated
2013-03,3.35B,2.958B,605.00M,2.353B,195.00M,199.00M,394.00M,-1.00M,,,,,,492.00M,1.861B,,,,-4.00M,,1.857B,587.00M,1.27B,,1.27B,1.271B,1.959B,98.00M,1.861B,,0.4825,,0.4828,0.4825,,0.48,,0.4803,0.48,,2.62B,2.64B,0.0825,,AOR,Restated
2012-12,3.22B,2.846B,564.00M,2.282B,193.00M,194.00M,387.00M,-3.00M,,,,,,479.00M,1.803B,,,,-2.00M,,1.801B,508.00M,1.293B,,1.293B,1.295B,1.895B,92.00M,1.803B,,0.485,,0.4858,0.485,,0.4825,,0.4833,0.4825,,2.656B,2.676B,0.0825,,AOR,Restated
2012-09,3.122B,2.731B,582.00M,2.149B,271.00M,265.00M,536.00M,-2.00M,,,,,,625.00M,1.524B,,,,64.00M,,1.588B,-74.00M,1.662B,0.00,1.662B,1.663B,1.613B,89.00M,1.524B,,0.515,0.00,0.5155,0.515,,0.4375,0.00,0.4380,0.4375,,2.628B,2.676B,0.055,,AOR,Restated
2012-06,3.004B,2.565B,537.00M,2.028B,242.00M,211.00M,453.00M,-4.098B,,,,,,537.00M,1.491B,,,,-4.098B,,-2.607B,-768.00M,-1.839B,0.00,-1.839B,1.071B,1.575B,84.00M,1.491B,,-0.685,,0.4039,-0.685,,-0.685,,0.3974,-0.685,,2.672B,2.688B,0.055,,AOR,Restated
2012-03,2.896B,2.578B,534.00M,2.044B,170.00M,188.00M,358.00M,0.00,,,,,,438.00M,1.606B,,,,3.00M,,1.609B,317.00M,1.292B,0.00,1.292B,1.292B,1.686B,80.00M,1.606B,,0.4809,,0.4809,0.4809,,0.4775,,0.4775,0.4775,,2.676B,2.704B,0.055,,AOR,Restated
2011-12,2.85B,2.547B,487.00M,2.06B,190.00M,172.00M,362.00M,0.00,,,,,,442.00M,1.618B,,,,-1.00M,,1.617B,590.00M,1.027B,2.00M,1.029B,1.029B,1.698B,80.00M,1.618B,,0.375,,0.375,0.375,,0.3725,,0.3725,0.3725,,2.676B,2.76B,0.055,,AOR,Restated
2011-09,3.608B,2.383B,494.00M,1.889B,239.00M,210.00M,449.00M,-121.00M,,,,,,526.00M,1.363B,,,,-28.00M,,1.354B,476.00M,878.00M,2.00M,880.00M,958.46M,1.44B,77.00M,1.363B,,0.27,0.00,0.2995,0.27,,0.2225,0.00,0.2508,0.2225,,2.656B,2.768B,0.0375,,AOR,Restated
2011-06,2.322B,2.322B,454.00M,1.868B,251.00M,198.00M,449.00M,121.00M,,,,-11.00M,,523.00M,1.345B,,,-11.00M,209.00M,-11.00M,1.543B,539.00M,1.004B,1.00M,1.005B,869.01M,1.419B,74.00M,1.345B,,0.3575,0.00,0.3078,0.3575,,0.3575,0.00,0.3092,0.3575,,2.736B,2.816B,0.0375,,AOR,Restated
2011-03,2.245B,2.245B,431.00M,1.814B,183.00M,172.00M,355.00M,-3.00M,6.00M,12.00M,,-12.00M,,431.00M,1.383B,,12.00M,-12.00M,6.00M,-12.00M,1.377B,497.00M,880.00M,1.00M,881.00M,877.17M,1.459B,70.00M,1.389B,,0.31,0.00,0.3086,0.31,,0.3075,0.00,0.3062,0.3075,,2.756B,2.856B,0.0375,,AOR,Restated
2010-12,2.238B,2.238B,437.00M,1.801B,197.00M,171.00M,368.00M,2.00M,,0.00,4.00M,4.00M,,435.00M,1.366B,4.00M,0.00,4.00M,12.00M,4.00M,1.382B,498.00M,884.00M,0.00,884.00M,876.32M,1.449B,67.00M,1.382B,,0.3075,0.00,0.3047,0.3075,,0.3075,0.00,0.3048,0.3075,,2.768B,2.876B,0.0375,,AOR,Restated
2010-09,2.964B,2.117B,472.00M,1.645B,233.00M,225.00M,458.00M,47.00M,,,,-15.00M,,577.00M,1.068B,,,-15.00M,142.00M,-15.00M,1.195B,422.00M,773.00M,1.00M,774.00M,728.72M,1.122B,78.00M,1.044B,,0.265,,0.2474,0.265,,0.2625,,0.2470,0.2625,,2.572B,2.92B,0.0312,,AOR,Restated
2010-06,2.029B,2.029B,388.00M,1.641B,277.00M,164.00M,441.00M,-3.00M,0.00,13.00M,,-13.00M,,504.00M,1.137B,,13.00M,-13.00M,-2.00M,-13.00M,1.122B,406.00M,716.00M,0.00,716.00M,717.28M,1.198B,63.00M,1.135B,,0.2425,0.00,0.2429,0.2425,,0.2425,0.00,0.2429,0.2425,,2.852B,2.952B,0.0312,,AOR,Restated
2010-03,1.959B,1.959B,408.00M,1.551B,238.00M,127.00M,365.00M,-4.00M,2.00M,28.00M,,-28.00M,,429.00M,1.122B,,28.00M,-28.00M,19.00M,-28.00M,1.113B,401.00M,712.00M,1.00M,713.00M,700.85M,1.203B,62.00M,1.141B,,0.2425,0.00,0.2382,0.2425,,0.24,0.00,0.2359,0.24,,2.856B,2.968B,0.0312,,AOR,Restated
2009-12,1.96B,1.96B,379.00M,1.581B,216.00M,129.00M,345.00M,2.00M,-43.00M,,,-16.00M,,364.00M,1.217B,,,-16.00M,7.00M,-16.00M,1.208B,445.00M,763.00M,,763.00M,758.58M,1.279B,62.00M,1.217B,,0.2575,0.00,0.2560,0.2575,,0.255,0.00,0.2535,0.255,,2.888B,2.98B,0.0312,,AOR,Restated
2009-09,1.879B,1.879B,466.00M,1.413B,283.00M,199.00M,482.00M,-1.00M,,25.00M,,-25.00M,,542.00M,871.00M,,25.00M,-25.00M,17.00M,-25.00M,863.00M,349.00M,514.00M,0.00,514.00M,503.80M,949.00M,61.00M,888.00M,,0.1725,0.00,0.1690,0.1725,,0.1725,0.00,0.1691,0.1725,,2.94B,3.00B,0.0262,,AOR,Restated
2009-06,1.646B,1.646B,379.00M,1.267B,229.00M,158.00M,387.00M,1.00M,1.00M,30.00M,,-30.00M,,445.00M,822.00M,,30.00M,-30.00M,505.00M,-30.00M,1.297B,568.00M,729.00M,,729.00M,400.75M,1.384B,57.00M,1.327B,,0.2425,0.00,0.1310,0.2425,,0.24,0.00,0.1316,0.24,,2.944B,3.028B,0.0262,,AOR,Restated
2009-03,1.647B,1.647B,384.00M,1.263B,196.00M,130.00M,326.00M,1.00M,,30.00M,,-30.00M,,382.00M,881.00M,,30.00M,-30.00M,36.00M,-30.00M,887.00M,352.00M,535.00M,1.00M,536.00M,514.89M,973.00M,56.00M,917.00M,,0.1775,0.00,0.1704,0.1775,,0.1775,0.00,0.1705,0.1775,,2.968B,3.024B,0.0262,,AOR,Restated
2008-12,1.739B,1.739B,392.00M,1.347B,210.00M,119.00M,329.00M,-1.00M,,30.00M,,-30.00M,,381.00M,966.00M,,30.00M,-30.00M,17.00M,-30.00M,953.00M,379.00M,574.00M,0.00,574.00M,563.16M,1.035B,52.00M,983.00M,,0.185,0.00,0.1813,0.185,,0.185,0.00,0.1815,0.185,,2.964B,3.092B,0.0262,,AOR,Restated
2008-09,1.709B,1.709B,411.00M,1.298B,320.00M,234.00M,554.00M,-1.128B,,27.00M,,-27.00M,,613.00M,685.00M,,27.00M,-27.00M,-1.089B,-27.00M,-431.00M,-75.00M,-356.00M,0.00,-356.00M,543.50M,-345.00M,59.00M,-404.00M,,-0.12,0.00,0.1827,-0.12,,-0.12,0.00,0.1702,-0.12,,2.972B,3.10B,0.0262,,AOR,Restated
2008-06,1.613B,1.613B,394.00M,1.219B,271.00M,193.00M,464.00M,-51.00M,,30.00M,,-30.00M,,521.00M,698.00M,,30.00M,-30.00M,46.00M,-30.00M,714.00M,292.00M,422.00M,0.00,422.00M,392.10M,801.00M,57.00M,744.00M,,0.1275,0.00,0.1174,0.1275,,0.1275,0.00,0.1179,0.1275,,2.968B,3.104B,,,,Restated
2008-03,1.453B,1.453B,367.00M,1.086B,215.00M,171.00M,386.00M,-264.00M,,41.00M,,-41.00M,,445.00M,641.00M,,41.00M,-41.00M,-230.00M,-41.00M,370.00M,56.00M,314.00M,0.00,314.00M,509.19M,470.00M,59.00M,411.00M,,0.0975,0.00,0.1740,0.0975,,0.0975,0.00,0.1602,0.0975,,2.552B,3.112B,,,,Restated
2007-12,1.488B,1.488B,366.00M,1.122B,210.00M,172.00M,382.00M,49.00M,,45.00M,,-45.00M,,444.00M,678.00M,,45.00M,-45.00M,50.00M,-45.00M,683.00M,259.00M,424.00M,0.00,424.00M,393.58M,790.00M,62.00M,728.00M,,0.1375,0.00,0.1277,0.1375,,0.1375,0.00,0.1277,0.1375,,3.10B,3.10B,,,,Restated
2007-09,1.216B,990.80M,,,,570.97M,1.152B,-2.763B,,20.66M,,-20.66M,,-386.15M,289.34M,,20.66M,-20.66M,-2.620B,-20.66M,-2.351B,-666.99M,-1.684B,0.33M,-1.684B,295.04M,-2.290B,41.00M,-2.331B,,,,0.0952,-0.5433,,,,0.0952,-0.5433,,3.10B,3.10B,,,AOR,Restated
2007-06,941.00M,941.00M,,,,50.00M,50.00M,39.00M,,20.00M,,-20.00M,529.00M,607.00M,334.00M,,20.00M,-20.00M,39.00M,-20.00M,353.00M,126.00M,227.00M,-4.00M,223.00M,197.92M,401.00M,-155.00M,373.00M,,,,0.0638,0.0719,,,,0.0638,0.0719,,3.10B,3.10B,,,AOR,Restated
2007-03,460.00M,813.00M,,,105.00M,46.00M,151.00M,17.00M,,,,,363.00M,542.00M,271.00M,,,,17.00M,,288.00M,106.00M,182.00M,-2.00M,180.00M,169.26M,382.00M,111.00M,271.00M,,,,0.0546,0.0581,,,,0.0546,0.0581,,3.10B,3.10B,,,AOR,Restated
2006-12,451.00M,845.00M,,,114.00M,54.00M,168.00M,14.00M,,,,,368.00M,536.00M,309.00M,,,,14.00M,,323.00M,119.00M,204.00M,1.00M,205.00M,196.16M,438.00M,129.00M,309.00M,,,,0.0633,0.0661,,,,0.0633,0.0661,,3.10B,3.10B,,,AOR,
2006-09,1.052B,744.71M,,,81.51M,622.51M,704.02M,-19.08M,,,,,,-454.44M,200.46M,,,,62.61M,,173.54M,54.01M,119.53M,-5.13M,114.40M,127.54M,259.27M,-260.73M,259.27M,,,,0.0411,0.0369,,,,0.0411,0.0369,,3.10B,3.10B,,,AOR,Restated
2006-06,735.99M,735.99M,,,132.28M,28.93M,161.22M,1.003M,,,,,371.45M,532.66M,203.33M,,,,1.003M,,204.33M,71.96M,132.37M,-5.027M,127.34M,126.69M,291.25M,87.92M,203.33M,,,,0.0409,0.0411,,,,0.0409,0.0411,,3.10B,3.10B,,,,
