,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,629.00M,,629.00M,760.00M,89.00M,1.338B,279.00M,139.00M,,,49.00M,2.49B,387.00M,1.575B,40.85B,-7.117B,33.74B,3.302B,703.00M,4.005B,,120.00M,,140.00M,39.90B,42.39B,836.00M,285.00M,128.00M,,1.249B,323.00M,1.572B,,1.707B,1.707B,286.00M,286.00M,,673.00M,4.238B,292.00M,20.21B,,20.21B,2.685B,3.126B,,653.00M,,,,,26.97B,31.21B,7.00M,4.037B,10.41B,,,,,-3.279B,11.18B
2017-12,485.00M,,485.00M,681.00M,100.00M,1.324B,320.00M,66.00M,,,50.00M,2.294B,384.00M,1.375B,39.99B,-6.895B,33.09B,3.258B,697.00M,3.955B,,215.00M,,135.00M,39.18B,41.48B,924.00M,273.00M,105.00M,,1.302B,282.00M,1.584B,,1.428B,1.428B,292.00M,292.00M,,719.00M,4.023B,312.00M,19.85B,,19.85B,2.591B,3.032B,,800.00M,,,,,26.70B,30.72B,7.00M,3.871B,10.30B,,,,,-3.422B,10.76B
2017-09,676.00M,,676.00M,617.00M,96.00M,1.118B,323.00M,101.00M,,,56.00M,2.331B,422.00M,1.494B,38.59B,-6.778B,31.82B,3.134B,666.00M,3.80B,,267.00M,,143.00M,38.43B,40.76B,838.00M,272.00M,110.00M,,1.22B,322.00M,1.542B,,1.659B,1.659B,291.00M,291.00M,,657.00M,4.149B,312.00M,19.11B,,19.11B,4.354B,4.826B,,796.00M,,,,,25.92B,30.07B,7.00M,4.066B,10.12B,,,,,-3.503B,10.69B
2017-06,467.00M,,467.00M,628.00M,85.00M,1.129B,316.00M,131.00M,,,54.00M,2.166B,424.00M,1.229B,37.83B,-6.593B,31.23B,3.139B,656.00M,3.795B,,245.00M,,152.00M,37.80B,39.96B,752.00M,271.00M,77.00M,,1.10B,196.00M,1.296B,,2.168B,2.168B,289.00M,289.00M,,597.00M,4.35B,343.00M,18.40B,,18.40B,4.261B,4.695B,,787.00M,,,,,25.12B,29.47B,7.00M,3.983B,10.02B,,,,,-3.523B,10.49B
2017-03,409.00M,,409.00M,702.00M,58.00M,1.187B,312.00M,173.00M,,,51.00M,2.227B,413.00M,1.099B,36.74B,-6.334B,30.41B,3.05B,644.00M,3.694B,,284.00M,,151.00M,36.81B,39.03B,700.00M,270.00M,80.00M,,1.05B,299.00M,1.349B,,2.083B,2.083B,277.00M,277.00M,,547.00M,4.256B,429.00M,17.96B,,17.96B,4.187B,4.609B,,776.00M,,,,,24.67B,28.92B,7.00M,3.962B,9.917B,,,,,-3.777B,10.11B
2016-12,341.00M,,341.00M,666.00M,46.00M,1.192B,356.00M,63.00M,,,52.00M,2.067B,413.00M,1.134B,36.22B,-6.147B,30.07B,3.06B,700.00M,3.76B,,336.00M,,151.00M,36.25B,38.32B,820.00M,259.00M,101.00M,,1.18B,270.00M,1.45B,,1.441B,1.441B,276.00M,276.00M,,670.00M,3.837B,428.00M,17.81B,,17.81B,4.021B,4.443B,,1.001B,,,,,24.58B,28.42B,7.00M,3.829B,9.841B,,,,,-3.778B,9.899B
2016-09,416.00M,,416.00M,687.00M,45.00M,1.125B,346.00M,97.00M,,,37.00M,2.099B,451.00M,1.184B,36.06B,-6.093B,29.97B,3.175B,693.00M,3.868B,,185.00M,,152.00M,35.94B,38.04B,741.00M,259.00M,117.00M,,1.117B,315.00M,1.432B,,1.079B,1.079B,302.00M,302.00M,,599.00M,3.412B,413.00M,18.07B,,18.07B,3.943B,4.38B,,878.00M,,,,,24.65B,28.06B,7.00M,3.624B,9.824B,,,,,-3.48B,9.975B
2016-06,492.00M,,492.00M,667.00M,44.00M,1.158B,336.00M,131.00M,,,43.00M,2.36B,491.00M,1.20B,36.92B,-6.123B,30.79B,3.455B,708.00M,4.163B,,285.00M,,164.00M,37.17B,39.53B,726.00M,258.00M,106.00M,,1.09B,211.00M,1.301B,,1.075B,1.075B,326.00M,326.00M,,706.00M,3.408B,513.00M,18.95B,,18.95B,3.883B,4.324B,,1.074B,,,,,25.80B,29.20B,7.00M,3.409B,9.766B,,,,,-2.857B,10.32B
2016-03,814.00M,,814.00M,727.00M,50.00M,1.196B,332.00M,150.00M,,,38.00M,2.713B,476.00M,1.382B,35.71B,-5.875B,29.83B,3.336B,667.00M,4.003B,,254.00M,,160.00M,36.00B,38.71B,707.00M,257.00M,96.00M,,1.06B,315.00M,1.375B,,1.75B,1.75B,306.00M,306.00M,,635.00M,4.066B,517.00M,18.07B,,18.07B,3.687B,4.165B,,1.183B,,,,,24.88B,28.95B,7.00M,3.185B,9.729B,,,,,-3.159B,9.762B
2015-12,836.00M,,836.00M,673.00M,59.00M,1.185B,357.00M,66.00M,,,63.00M,2.646B,516.00M,1.315B,36.23B,-5.848B,30.38B,3.55B,679.00M,4.229B,,156.00M,,155.00M,36.66B,39.30B,812.00M,255.00M,85.00M,,1.152B,303.00M,1.455B,,1.401B,1.401B,326.00M,326.00M,,694.00M,3.876B,536.00M,18.56B,,18.56B,3.568B,4.057B,,1.405B,,,,,25.51B,29.38B,7.00M,2.953B,9.687B,,,,,-2.728B,9.919B
2015-09,981.00M,,981.00M,713.00M,64.00M,1.198B,321.00M,86.00M,,223.00M,181.00M,2.99B,534.00M,1.478B,35.76B,-5.802B,29.96B,3.613B,672.00M,4.285B,,,,382.00M,36.26B,39.25B,808.00M,254.00M,118.00M,,1.18B,300.00M,1.48B,,2.017B,2.017B,312.00M,312.00M,,659.00M,4.468B,539.00M,17.74B,,17.74B,3.865B,4.347B,,963.00M,,,,,24.56B,29.02B,7.00M,2.791B,9.63B,,,,,-2.206B,10.22B
2015-06,846.00M,,846.00M,737.00M,106.00M,1.274B,315.00M,136.00M,,159.00M,140.00M,2.87B,537.00M,1.339B,34.87B,-5.648B,29.22B,3.59B,658.00M,4.248B,,,,339.00M,35.37B,38.24B,902.00M,250.00M,130.00M,,1.282B,191.00M,1.473B,,2.10B,2.10B,309.00M,309.00M,,627.00M,4.509B,487.00M,17.10B,,17.10B,3.668B,4.149B,,1.078B,,,,,23.79B,28.30B,7.00M,2.654B,9.564B,,,,,-2.284B,9.941B
2015-03,1.335B,135.00M,1.47B,1.104B,127.00M,1.852B,687.00M,168.00M,190.00M,155.00M,58.00M,5.699B,1.642B,3.085B,46.89B,-11.93B,34.96B,3.964B,920.00M,4.884B,999.00M,437.00M,,333.00M,43.22B,48.92B,1.128B,249.00M,274.00M,,1.651B,345.00M,1.996B,3.13B,3.13B,3.13B,,,,2.091B,7.217B,739.00M,18.77B,,18.77B,4.784B,5.38B,,1.457B,333.00M,,,,27.67B,34.88B,7.00M,6.86B,9.48B,,,,,-2.311B,14.04B
2014-12,1.399B,120.00M,1.519B,737.00M,71.00M,1.325B,381.00M,75.00M,,,55.00M,6.026B,592.00M,2.532B,33.69B,-5.523B,28.17B,3.667B,668.00M,4.335B,,,,8.514B,42.58B,48.61B,995.00M,249.00M,263.00M,,1.507B,298.00M,1.805B,,1.836B,1.836B,304.00M,304.00M,,3.494B,7.439B,324.00M,17.05B,,17.05B,3.234B,3.759B,,1.457B,,,,,27.54B,34.98B,7.00M,6.462B,9.433B,,,,,-2.274B,13.63B
2014-09,1.188B,,1.188B,911.00M,139.00M,1.726B,763.00M,117.00M,274.00M,242.00M,71.00M,5.76B,1.493B,3.194B,46.04B,-11.64B,34.40B,4.187B,936.00M,5.123B,947.00M,366.00M,,343.00M,42.43B,48.19B,1.208B,248.00M,281.00M,,1.737B,354.00M,2.091B,1.334B,1.334B,1.334B,,,,1.987B,5.412B,739.00M,20.52B,,20.52B,4.584B,5.185B,,952.00M,377.00M,,,,28.80B,34.22B,7.00M,6.017B,9.388B,,,,,-1.438B,13.97B
2014-06,1.269B,,1.269B,981.00M,115.00M,1.776B,651.00M,160.00M,332.00M,317.00M,78.00M,5.537B,1.488B,3.197B,46.02B,-11.58B,34.43B,4.301B,952.00M,5.253B,950.00M,423.00M,,357.00M,42.66B,48.19B,1.178B,248.00M,124.00M,,1.55B,223.00M,1.773B,1.112B,1.112B,1.112B,,,,2.271B,5.156B,712.00M,20.82B,,20.82B,4.539B,5.167B,,1.08B,498.00M,,,,29.30B,34.46B,7.00M,5.768B,9.358B,,,,,-1.398B,13.74B
2014-03,1.256B,,1.256B,1.108B,103.00M,2.085B,607.00M,224.00M,416.00M,342.00M,77.00M,6.094B,1.566B,3.165B,45.16B,-11.39B,33.77B,4.298B,943.00M,5.241B,918.00M,344.00M,,357.00M,41.88B,47.97B,1.345B,236.00M,240.00M,,1.821B,358.00M,2.179B,1.883B,1.883B,1.883B,,,,2.314B,6.376B,701.00M,20.51B,,20.51B,4.377B,5.019B,,1.159B,450.00M,,,,28.88B,35.26B,6.00M,5.788B,8.352B,,,,,-1.429B,12.72B
2013-12,1.102B,,1.102B,923.00M,97.00M,1.855B,702.00M,153.00M,83.00M,246.00M,70.00M,5.153B,1.425B,3.071B,44.13B,-11.04B,33.09B,4.225B,951.00M,5.176B,907.00M,337.00M,,357.00M,41.11B,46.26B,1.308B,232.00M,114.00M,,1.654B,325.00M,1.979B,1.016B,1.016B,1.016B,,,,1.917B,4.912B,687.00M,20.59B,,20.59B,4.27B,4.853B,,1.286B,415.00M,,,,28.88B,33.79B,6.00M,5.709B,8.316B,,,,,-1.565B,12.47B
2013-09,1.291B,,1.291B,857.00M,117.00M,1.626B,686.00M,173.00M,52.00M,,98.00M,4.971B,1.424B,2.822B,42.40B,-10.81B,31.59B,4.05B,932.00M,4.982B,851.00M,550.00M,,623.00M,40.02B,44.99B,1.079B,232.00M,170.00M,,1.481B,325.00M,1.806B,1.25B,1.25B,1.25B,,,,1.892B,4.948B,678.00M,19.09B,,19.09B,4.122B,4.787B,,1.529B,538.00M,18.00M,,,27.68B,32.63B,6.00M,6.04B,8.305B,,,,,-2.007B,12.34B
2013-06,711.00M,,711.00M,879.00M,129.00M,1.709B,642.00M,198.00M,84.00M,,97.00M,4.775B,1.348B,2.525B,41.09B,-10.49B,30.60B,3.991B,907.00M,4.898B,818.00M,599.00M,,613.00M,38.97B,43.75B,1.114B,218.00M,144.00M,,1.476B,197.00M,1.673B,1.957B,1.957B,1.957B,,,,1.912B,5.542B,545.00M,18.88B,,18.88B,4.054B,4.713B,,1.551B,514.00M,18.00M,,,27.25B,32.79B,6.00M,5.863B,7.195B,,,,,-2.128B,10.94B
2013-03,853.00M,,853.00M,936.00M,60.00M,1.704B,616.00M,281.00M,119.00M,,132.00M,4.989B,1.403B,2.27B,40.27B,-10.30B,29.98B,3.995B,910.00M,4.905B,812.00M,598.00M,,598.00M,38.35B,43.34B,1.071B,215.00M,138.00M,,1.424B,352.00M,1.776B,1.812B,1.812B,1.812B,,,,2.062B,5.65B,540.00M,18.88B,,18.88B,3.917B,4.583B,,1.596B,533.00M,18.00M,,,27.15B,32.80B,6.00M,5.676B,6.988B,,,,,-2.146B,10.52B
2012-12,901.00M,,901.00M,745.00M,79.00M,1.681B,673.00M,166.00M,54.00M,30.00M,38.00M,5.068B,1.25B,2.397B,40.14B,-10.11B,30.03B,4.158B,932.00M,5.09B,759.00M,572.00M,,637.00M,38.57B,43.63B,1.252B,210.00M,90.00M,,1.552B,325.00M,1.877B,1.403B,1.403B,1.403B,,,,2.345B,5.625B,536.00M,18.72B,,18.72B,3.715B,4.535B,,2.076B,629.00M,18.00M,,,27.51B,33.14B,6.00M,5.478B,6.936B,,,,,-1.94B,10.48B
2012-09,946.00M,0.00,946.00M,814.00M,,1.525B,663.00M,167.00M,88.00M,,70.00M,5.227B,524.00M,2.106B,38.93B,-9.886B,29.05B,4.13B,913.00M,5.043B,778.00M,860.00M,,962.00M,38.01B,43.24B,1.071B,210.00M,95.00M,,1.376B,335.00M,1.711B,839.00M,839.00M,839.00M,,,,2.337B,4.887B,500.00M,18.71B,,18.71B,4.02B,4.941B,,1.086B,884.00M,18.00M,,,27.12B,32.01B,6.00M,5.335B,6.912B,,,,,-1.039B,11.21B
2012-06,981.00M,0.00,981.00M,813.00M,,1.567B,719.00M,252.00M,101.00M,,48.00M,6.151B,524.00M,1.88B,37.84B,-9.575B,28.27B,4.036B,909.00M,4.945B,749.00M,1.112B,,947.00M,37.36B,43.51B,1.037B,210.00M,94.00M,,1.341B,201.00M,1.542B,901.00M,901.00M,901.00M,,,,2.875B,5.318B,497.00M,18.70B,,18.70B,3.943B,4.903B,,1.093B,1.016B,18.00M,,,27.21B,32.53B,6.00M,5.19B,6.886B,,,,,-1.12B,10.96B
2012-03,1.103B,0.00,1.103B,807.00M,,1.581B,669.00M,261.00M,172.00M,,46.00M,7.062B,718.00M,1.706B,37.16B,-9.459B,27.71B,4.161B,1.064B,5.225B,768.00M,1.186B,,801.00M,37.02B,44.08B,1.027B,214.00M,132.00M,,1.373B,326.00M,1.699B,674.00M,674.00M,674.00M,,,,3.515B,5.888B,491.00M,18.08B,,18.08B,3.884B,4.904B,,1.105B,1.074B,268.00M,,,26.66B,32.55B,6.00M,5.129B,6.862B,,,,,-730.00M,11.27B
2011-12,1.202B,16.00M,1.218B,732.00M,91.00M,1.657B,654.00M,160.00M,152.00M,,37.00M,6.426B,1.094B,1.874B,36.48B,-9.21B,27.27B,4.114B,1.074B,5.188B,718.00M,920.00M,,790.00M,36.23B,42.65B,1.15B,207.00M,65.00M,,1.422B,287.00M,1.709B,578.00M,578.00M,578.00M,,,,2.968B,5.255B,484.00M,17.99B,,17.99B,3.611B,4.657B,,1.313B,840.00M,268.00M,,,26.30B,31.55B,6.00M,4.797B,6.813B,,,,,-788.00M,10.83B
2011-09,1.511B,16.00M,1.527B,875.00M,,1.539B,633.00M,166.00M,62.00M,,92.00M,5.412B,1.141B,1.549B,35.95B,-9.028B,26.92B,4.196B,1.074B,5.27B,671.00M,726.00M,,678.00M,35.54B,40.96B,1.12B,207.00M,109.00M,,1.436B,294.00M,1.73B,930.00M,930.00M,930.00M,,,,1.88B,4.54B,479.00M,17.68B,,17.68B,3.724B,4.591B,,1.027B,508.00M,268.00M,,,25.30B,29.84B,6.00M,4.547B,6.795B,,,,,-500.00M,10.85B
2011-06,1.269B,0.00,1.269B,784.00M,,1.492B,647.00M,344.00M,43.00M,,102.00M,5.364B,1.08B,1.415B,35.43B,-8.825B,26.61B,4.19B,1.078B,5.268B,726.00M,665.00M,,706.00M,35.17B,40.54B,1.246B,207.00M,110.00M,,1.563B,175.00M,1.738B,933.00M,933.00M,933.00M,,,,1.922B,4.593B,491.00M,17.53B,,17.53B,3.696B,4.521B,,1.015B,443.00M,268.00M,,,25.02B,29.62B,6.00M,4.306B,6.774B,,,,,-435.00M,10.65B
2011-03,1.245B,0.00,1.245B,802.00M,,1.395B,621.00M,523.00M,33.00M,,145.00M,5.747B,595.00M,1.331B,29.84B,-8.655B,21.18B,1.792B,963.00M,2.755B,720.00M,600.00M,,583.00M,26.99B,32.74B,941.00M,174.00M,140.00M,,1.255B,224.00M,1.479B,1.383B,1.383B,1.383B,,,,2.04B,4.902B,442.00M,12.25B,,12.25B,3.09B,3.829B,,1.094B,397.00M,268.00M,,,19.04B,23.94B,5.00M,4.312B,4.637B,,,,,-424.00M,8.53B
2010-12,925.00M,163.00M,1.088B,742.00M,,1.531B,643.00M,435.00M,28.00M,,171.00M,6.188B,981.00M,2.16B,29.30B,-8.477B,20.82B,1.761B,966.00M,2.727B,693.00M,655.00M,,571.00M,26.65B,32.84B,1.028B,174.00M,134.00M,,1.336B,166.00M,1.502B,1.196B,1.196B,1.196B,,,,2.516B,5.214B,435.00M,12.16B,,12.16B,2.80B,3.552B,,1.496B,470.00M,268.00M,,,19.14B,24.36B,5.00M,4.082B,4.602B,,,,,-479.00M,8.21B
2010-06,4.505B,,4.505B,500.00M,,1.206B,378.00M,256.00M,30.00M,,2.224B,8.599B,20.73B,564.00M,21.29B,-8.245B,13.05B,721.00M,602.00M,1.323B,597.00M,1.357B,,989.00M,17.31B,25.91B,730.00M,137.00M,,76.00M,943.00M,108.00M,1.051B,,466.00M,466.00M,,,,2.678B,4.195B,,8.711B,,8.711B,2.32B,2.978B,,781.00M,616.00M,268.00M,,427.00M,13.51B,17.71B,5.00M,3.818B,4.553B,,,,,-439.00M,7.937B
2010-03,1.724B,,1.724B,559.00M,,1.335B,339.00M,195.00M,236.00M,,3.392B,7.221B,20.75B,568.00M,21.31B,-8.256B,13.06B,754.00M,608.00M,1.362B,638.00M,1.713B,,943.00M,17.71B,24.94B,796.00M,137.00M,,,933.00M,129.00M,1.062B,,589.00M,589.00M,,172.00M,172.00M,3.969B,5.792B,,7.652B,,7.652B,2.313B,2.901B,1.104B,,853.00M,319.00M,,422.00M,12.93B,18.72B,4.00M,3.866B,2.31B,,,,,-288.00M,5.892B
2009-12,801.00M,,801.00M,468.00M,,1.062B,357.00M,102.00M,105.00M,,2.325B,4.752B,20.82B,567.00M,21.38B,-8.211B,13.17B,806.00M,615.00M,1.421B,613.00M,,,2.205B,17.41B,22.16B,619.00M,135.00M,92.00M,,846.00M,112.00M,958.00M,,639.00M,639.00M,,,,2.585B,4.182B,,7.143B,,7.143B,2.153B,2.734B,,1.283B,,319.00M,,1.008B,12.17B,16.35B,4.00M,3.749B,2.28B,,,,,-537.00M,5.496B
2009-09,696.00M,0.00,696.00M,597.00M,,1.101B,361.00M,97.00M,151.00M,,1.893B,4.299B,20.27B,721.00M,20.99B,-8.111B,12.88B,805.00M,622.00M,1.427B,582.00M,1.839B,,920.00M,17.64B,21.94B,567.00M,135.00M,,,702.00M,140.00M,842.00M,,620.00M,620.00M,,89.00M,89.00M,2.242B,3.793B,,7.25B,,7.25B,2.203B,2.203B,839.00M,,927.00M,319.00M,,995.00M,12.21B,16.01B,4.00M,3.726B,2.264B,,,,,-376.00M,5.618B
2009-06,973.00M,0.00,973.00M,450.00M,,957.00M,382.00M,169.00M,131.00M,,2.183B,4.795B,20.03B,647.00M,20.67B,-7.991B,12.68B,796.00M,617.00M,1.413B,522.00M,1.986B,,1.012B,17.62B,22.41B,585.00M,135.00M,,,720.00M,116.00M,836.00M,,1.097B,1.097B,,62.00M,62.00M,2.521B,4.516B,,7.224B,,7.224B,1.94B,1.94B,873.00M,,1.072B,319.00M,,947.00M,12.06B,16.57B,4.00M,3.837B,2.246B,,,,,-568.00M,5.519B
2009-03,631.00M,150.00M,781.00M,538.00M,,1.102B,349.00M,189.00M,164.00M,,1.866B,4.451B,,,20.22B,-7.938B,12.28B,715.00M,606.00M,1.321B,498.00M,1.986B,,1.252B,17.34B,21.79B,663.00M,134.00M,127.00M,,924.00M,129.00M,1.053B,,1.076B,1.076B,,,,2.481B,4.61B,,6.781B,,6.781B,1.744B,1.744B,,860.00M,1.19B,319.00M,,1.049B,11.62B,16.23B,4.00M,3.973B,2.228B,,,,,-968.00M,5.237B
2008-12,1.10B,150.00M,1.25B,533.00M,,1.132B,337.00M,84.00M,320.00M,,1.26B,4.383B,19.13B,1.131B,20.26B,-7.882B,12.38B,763.00M,637.00M,1.40B,522.00M,1.392B,,1.333B,17.02B,21.40B,766.00M,131.00M,,,897.00M,130.00M,1.027B,,1.375B,1.375B,,77.00M,77.00M,1.845B,4.324B,,7.142B,,7.142B,1.761B,1.761B,899.00M,,836.00M,319.00M,,,10.64B,16.01B,4.00M,3.862B,2.196B,,,,,-985.00M,5.077B
2008-09,349.00M,,349.00M,535.00M,,1.088B,321.00M,,,,1.592B,3.35B,19.57B,999.00M,20.57B,-7.871B,12.70B,,,3.015B,,,,1.439B,17.16B,20.51B,656.00M,130.00M,,,786.00M,2.519B,3.305B,,200.00M,200.00M,,,,,3.505B,,6.714B,,6.714B,2.006B,2.006B,,,,19.00M,301.00M,,9.021B,14.90B,4.00M,3.725B,2.185B,,,,,-330.00M,5.584B
