,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2016-01,3.251B,3.251B,2.387B,864.14M,450.88M,,4.825M,0.295M,-4.53M,450.88M,413.26M,0.295M,4.825M,-4.53M,,-4.53M,408.73M,144.57M,264.16M,264.16M,264.16M,486.21M,72.65M,413.55M,0.66,,0.66,0.66,0.66,,0.66,0.66,398.23M,401.96M,0.1175
2015-10,2.783B,2.783B,2.003B,779.51M,443.35M,,4.539M,0.112M,-4.427M,443.35M,336.15M,0.112M,4.539M,-4.427M,,-4.427M,331.73M,116.07M,215.66M,215.66M,215.66M,409.71M,73.44M,336.27M,0.54,,0.54,0.54,0.53,,0.53,0.53,401.49M,404.50M,0.1175
2015-07,2.968B,2.968B,2.119B,848.79M,435.23M,,1.752M,0.10M,-1.652M,435.23M,413.56M,0.10M,1.752M,-1.652M,,-1.652M,411.91M,153.27M,258.64M,258.64M,258.64M,479.08M,65.41M,413.66M,0.64,,0.64,0.64,0.63,,0.63,0.63,404.76M,407.69M,0.1175
2015-04,2.938B,2.938B,2.067B,870.69M,409.30M,,2.173M,0.17M,-2.003M,409.30M,461.40M,0.17M,2.173M,-2.003M,,-2.003M,459.39M,177.19M,282.20M,282.20M,282.20M,524.88M,63.32M,461.56M,0.69,,0.69,0.69,0.69,,0.69,0.69,407.65M,411.39M,0.1175
2015-01,3.033B,3.033B,2.204B,829.13M,430.34M,,2.495M,0.088M,-2.407M,430.34M,398.79M,0.088M,2.495M,-2.407M,,-2.407M,396.38M,147.85M,248.53M,248.53M,248.53M,461.51M,62.64M,398.88M,0.605,,0.605,0.605,0.6,,0.6,0.6,409.45M,413.86M,0.1
2014-10,2.599B,2.599B,1.882B,716.64M,410.00M,,0.898M,0.121M,-0.777M,410.00M,306.63M,0.121M,0.898M,-0.777M,,-0.777M,305.86M,113.14M,192.72M,192.72M,192.72M,366.40M,59.65M,306.75M,0.47,,0.47,0.47,0.46,,0.46,0.46,411.73M,415.93M,0.1
2014-07,2.730B,2.730B,1.944B,785.55M,395.22M,,0.002M,0.097M,0.095M,395.22M,390.32M,0.097M,0.002M,0.095M,,0.095M,390.42M,150.86M,239.56M,239.56M,239.56M,444.63M,54.20M,390.42M,0.58,,0.58,0.58,0.57,,0.57,0.57,415.13M,419.30M,0.1
2014-04,2.681B,2.681B,1.908B,772.41M,379.80M,,0.00,0.104M,0.104M,379.80M,392.61M,0.104M,0.00,0.104M,,0.104M,392.71M,148.80M,243.91M,243.91M,243.91M,449.18M,56.46M,392.71M,0.585,,0.585,0.585,0.575,,0.575,0.575,417.90M,423.03M,0.1
2014-01,2.741B,2.741B,1.992B,748.94M,401.34M,,,,0.129M,401.34M,347.59M,,,0.129M,,0.129M,347.72M,129.77M,217.95M,217.95M,217.95M,404.81M,56.70M,348.11M,0.52,,0.52,0.52,0.51,,0.51,0.51,420.59M,426.47M,0.085
2013-10,2.398B,2.398B,1.746B,651.89M,381.86M,,,,0.152M,381.86M,270.03M,,,0.152M,,0.152M,270.18M,98.56M,171.62M,171.62M,171.62M,320.58M,50.56M,270.03M,0.405,,0.405,0.405,0.4,,0.4,0.4,423.97M,429.61M,0.085
2013-07,2.551B,2.551B,1.824B,727.50M,381.19M,,,,0.175M,381.19M,346.31M,,,0.175M,,0.175M,346.48M,133.36M,213.12M,213.12M,213.12M,396.43M,50.13M,346.31M,0.5,,0.5,0.5,0.49,,0.49,0.49,427.67M,433.23M,0.085
2013-04,2.540B,2.540B,1.799B,741.10M,361.97M,,,,-0.209M,361.97M,379.14M,,,-0.209M,,-0.209M,378.93M,144.31M,234.61M,234.61M,234.61M,427.86M,48.73M,379.14M,0.545,,0.545,0.545,0.535,,0.535,0.535,430.82M,436.99M,0.085
2013-01,2.761B,2.761B,1.994B,766.98M,390.00M,,,,-0.946M,390.00M,376.98M,,,-0.946M,,-0.946M,376.04M,139.43M,236.60M,236.60M,236.60M,429.28M,51.67M,377.61M,0.545,,0.545,0.545,0.535,,0.535,0.535,433.54M,440.70M,0.07
2012-10,2.263B,2.263B,1.649B,613.73M,357.98M,,,,-1.643M,357.98M,255.74M,,,-1.643M,,-1.643M,254.10M,94.58M,159.52M,159.52M,159.52M,301.88M,46.14M,255.74M,0.365,,0.365,0.365,0.36,,0.36,0.36,437.17M,444.37M,0.07
2012-07,2.341B,2.341B,1.690B,651.21M,352.09M,,,,-2.086M,352.09M,299.12M,,,-2.086M,,-2.086M,297.04M,115.01M,182.02M,182.02M,182.02M,343.67M,44.55M,299.12M,0.415,,0.415,0.415,0.405,,0.405,0.405,440.13M,447.21M,0.07
2012-04,2.357B,2.357B,1.679B,677.71M,337.81M,,,,-2.232M,337.81M,339.90M,,,-2.232M,,-2.232M,337.67M,129.06M,208.61M,208.61M,208.61M,383.04M,43.14M,339.90M,0.47,,0.47,0.47,0.465,,0.465,0.465,442.21M,449.86M,0.07
2012-01,2.398B,2.398B,1.745B,652.84M,341.79M,,3.371M,,-2.671M,341.79M,311.05M,,3.371M,-2.671M,,-2.671M,308.36M,116.40M,191.95M,191.95M,191.95M,354.28M,42.56M,311.73M,0.43,,0.43,0.43,0.425,,0.425,0.425,444.57M,453.23M,0.055
2011-10,2.046B,2.046B,1.490B,556.21M,332.23M,,2.565M,,-2.565M,332.23M,223.99M,,2.565M,-2.565M,,-2.565M,221.42M,77.45M,143.97M,143.97M,143.97M,263.91M,39.92M,223.99M,0.32,0.0,0.32,0.32,0.315,0.0,0.315,0.315,449.08M,456.92M,0.055
2011-07,2.089B,2.089B,1.524B,565.10M,320.88M,,,,-2.569M,320.88M,244.22M,,,-2.569M,,-2.569M,241.65M,93.37M,148.28M,148.28M,148.28M,281.70M,37.48M,244.22M,0.325,0.0,0.325,0.325,0.32,0.0,0.32,0.32,454.61M,462.35M,0.055
2011-04,2.075B,2.075B,1.481B,593.37M,309.16M,,,,-2.495M,309.16M,284.21M,,,-2.495M,,-2.495M,281.72M,108.74M,172.97M,172.97M,172.97M,324.14M,39.93M,284.21M,0.375,0.0,0.375,0.375,0.37,0.0,0.37,0.37,459.06M,467.09M,0.055
2011-01,2.145B,2.145B,1.562B,582.89M,319.62M,,3.644M,,-2.544M,319.62M,263.26M,,3.644M,-2.544M,,-2.544M,260.75M,98.95M,161.80M,161.80M,161.80M,304.96M,40.57M,264.39M,0.345,,0.345,0.345,0.34,,0.34,0.34,463.20M,472.18M,0.04
2010-10,1.874B,1.874B,1.366B,508.81M,312.28M,,2.232M,,-2.232M,312.28M,196.53M,,2.232M,-2.232M,,-2.232M,194.30M,72.92M,121.38M,121.38M,121.38M,236.49M,39.96M,196.53M,0.26,0.0,0.26,0.26,0.255,0.0,0.255,0.255,468.16M,476.07M,0.04
2010-07,1.912B,1.912B,1.396B,515.98M,303.40M,,2.436M,,-2.436M,303.40M,212.57M,,2.436M,-2.436M,,-2.436M,210.14M,80.86M,129.28M,129.28M,129.28M,252.89M,40.32M,212.57M,0.2725,0.0,0.2725,0.2725,0.2675,0.0,0.2675,0.2675,474.46M,482.25M,0.04
2010-04,1.935B,1.935B,1.406B,528.70M,294.47M,,,,-2.388M,294.47M,234.22M,,,-2.388M,,-2.388M,231.84M,89.49M,142.35M,142.35M,142.35M,274.07M,39.84M,234.22M,0.2975,0.0,0.2975,0.2975,0.29,0.0,0.29,0.29,479.32M,489.33M,0.04
2010-01,1.980B,1.980B,1.463B,517.26M,286.11M,,,,-2.604M,286.11M,231.14M,,,-2.604M,,-2.604M,228.54M,85.66M,142.88M,142.88M,142.88M,276.81M,43.86M,232.95M,0.2925,0.0,0.2925,0.2925,0.2875,0.0,0.2875,0.2875,484.05M,493.12M,0.0275
2009-10,1.744B,1.744B,1.285B,459.29M,286.51M,,,,-1.943M,286.51M,172.78M,,,-1.943M,,-1.943M,170.83M,65.75M,105.08M,105.08M,105.08M,212.46M,39.69M,172.78M,0.215,0.0,0.215,0.215,0.21,0.0,0.21,0.21,489.51M,498.59M,0.0275
2009-07,1.769B,1.769B,1.311B,457.50M,286.16M,,,,-1.39M,286.16M,171.34M,,,-1.39M,,-1.39M,169.95M,66.54M,103.41M,103.41M,103.41M,209.29M,37.95M,171.34M,0.21,0.0,0.21,0.21,0.205,0.0,0.205,0.205,493.87M,502.63M,0.0275
2009-04,1.692B,1.692B,1.269B,422.89M,272.03M,,,,-1.656M,272.03M,150.86M,,,-1.656M,,-1.656M,149.20M,57.82M,91.39M,91.39M,91.39M,188.42M,37.56M,150.86M,0.1825,0.0,0.1825,0.1825,0.18,0.0,0.18,0.18,498.77M,506.26M,0.0275
2009-01,1.734B,1.734B,1.321B,412.77M,255.31M,,,,-2.531M,255.31M,157.45M,,,-2.531M,,-2.531M,154.92M,57.54M,97.39M,97.39M,97.39M,206.79M,40.88M,165.91M,0.19,0.0,0.19,0.19,0.19,0.0,0.19,0.19,506.33M,513.15M,0.0238
2008-10,1.555B,1.555B,1.198B,356.84M,262.53M,,,,0.015M,262.53M,94.30M,,,0.015M,,0.015M,94.32M,37.05M,57.27M,57.27M,57.27M,129.36M,35.05M,94.30M,0.11,0.0,0.11,0.11,0.11,0.0,0.11,0.11,515.72M,524.40M,0.0238
2008-07,1.640B,1.640B,1.255B,385.19M,268.84M,,,,1.052M,268.84M,116.35M,,,1.052M,,1.052M,117.40M,46.10M,71.30M,71.30M,71.30M,149.17M,32.82M,116.35M,0.1375,0.0,0.1375,0.1375,0.135,0.0,0.135,0.135,520.44M,529.73M,0.0238
2008-04,1.556B,1.556B,1.182B,374.77M,247.67M,,,,1.621M,247.67M,127.10M,,,1.621M,,1.621M,128.72M,49.24M,79.48M,79.48M,79.48M,160.15M,33.05M,127.10M,0.1525,0.0,0.1525,0.1525,0.15,0.0,0.15,0.15,525.28M,533.26M,0.0238
2008-01,1.652B,1.652B,1.265B,386.80M,237.52M,,,,,237.52M,149.28M,,,,,,151.97M,57.50M,94.46M,94.46M,94.46M,197.43M,34.33M,163.10M,0.175,0.0,0.175,0.175,0.1725,0.0,0.1725,0.1725,531.22M,536.21M,0.0188
2007-10,1.468B,1.468B,1.151B,317.58M,238.85M,,,,,238.85M,78.74M,,,,,,78.75M,30.07M,48.68M,48.68M,48.68M,109.20M,30.46M,78.74M,0.09,0.0,0.09,0.09,0.09,0.0,0.09,0.09,537.72M,544.86M,0.0188
2007-07,1.445B,1.445B,1.131B,313.35M,229.33M,,,,,229.33M,84.02M,,,,,,83.96M,33.09M,50.86M,50.86M,50.86M,113.50M,29.48M,84.02M,0.0925,0.0,0.0925,0.0925,0.0925,0.0,0.0925,0.0925,544.21M,553.12M,0.0188
2007-04,1.411B,1.411B,1.071B,339.26M,230.20M,,,,,230.20M,109.06M,,,,,,110.45M,43.41M,67.04M,67.04M,67.04M,137.58M,28.52M,109.06M,0.1225,0.0,0.1225,0.1225,0.12,0.0,0.12,0.12,548.35M,558.30M,0.0188
2007-01,1.608B,1.608B,1.231B,377.70M,227.64M,,,,,227.64M,150.05M,,,,,,153.46M,60.36M,93.11M,93.11M,93.11M,179.51M,29.46M,150.05M,0.1675,0.0,0.1675,0.1675,0.165,0.0,0.165,0.165,549.60M,558.06M,0.015
2006-10,1.362B,1.362B,1.074B,288.22M,217.59M,,,,,217.59M,70.64M,,,,,,72.41M,28.48M,43.93M,43.93M,43.93M,98.40M,27.76M,70.64M,0.08,0.0,0.08,0.08,0.0775,0.0,0.0775,0.0775,554.28M,563.55M,0.015
2006-07,1.308B,1.308B,1.024B,283.92M,210.64M,,,,,210.64M,73.29M,,,,,,74.84M,29.46M,45.38M,45.38M,45.38M,99.94M,26.65M,73.29M,0.08,0.0,0.08,0.08,0.08,0.0,0.08,0.08,561.39M,570.79M,0.015
2006-04,1.292B,1.292B,988.84M,302.84M,207.17M,,,,,207.17M,95.67M,,,,,,97.56M,38.34M,59.22M,59.22M,59.22M,119.93M,24.26M,95.67M,0.105,0.0,0.105,0.105,0.1025,0.0,0.1025,0.1025,566.84M,576.77M,0.015
2006-01,1.411B,1.411B,1.068B,343.24M,227.99M,,,,,227.99M,115.25M,,,,,,116.81M,45.83M,70.98M,70.98M,70.98M,144.64M,29.39M,115.25M,0.1225,0.0,0.1225,0.1225,0.1225,0.0,0.1225,0.1225,569.75M,578.71M,0.015
2005-10,1.237B,1.237B,979.89M,257.00M,197.74M,,,,,197.74M,59.26M,,,,,,59.73M,23.40M,36.32M,36.32M,36.32M,95.83M,36.57M,59.26M,0.0625,0.0,0.0625,0.0625,0.0625,0.0,0.0625,0.0625,575.01M,582.64M,0.0125
2005-07,1.172B,1.172B,919.17M,252.70M,183.65M,,,,,183.65M,69.04M,,,,,,69.62M,27.34M,42.28M,42.28M,42.28M,87.88M,18.84M,69.04M,0.0725,0.0,0.0725,0.0725,0.0725,0.0,0.0725,0.0725,580.41M,589.28M,0.0125
2005-04,1.124B,1.124B,865.00M,258.94M,177.05M,,,,,177.05M,81.88M,,,,,,82.18M,32.13M,50.05M,50.05M,50.05M,107.94M,26.05M,81.88M,0.085,0.0,0.085,0.085,0.085,0.0,0.085,0.085,584.03M,593.86M,0.0125
2005-01,1.212B,1.212B,949.87M,261.88M,176.77M,0.00,,,,176.77M,85.12M,,,,0.00,,85.10M,33.27M,51.83M,51.83M,51.83M,109.58M,24.46M,85.12M,0.0875,0.0,0.0875,0.0875,0.085,0.0,0.085,0.085,587.00M,593.90M,0.0106
2004-10,1.028B,1.028B,805.13M,222.62M,162.48M,2.182M,,,,162.48M,60.14M,,,,2.182M,,61.93M,24.21M,37.72M,37.72M,36.39M,84.65M,24.51M,60.14M,0.065,0.0,0.0627,0.065,0.065,0.0,0.0628,0.065,584.80M,594.42M,0.0106
2004-07,1.009B,1.009B,773.72M,234.88M,163.65M,-18.00M,,,,163.65M,71.23M,,,,-18.00M,,52.90M,20.68M,32.21M,32.21M,43.18M,95.62M,24.39M,71.23M,0.055,0.0,0.0735,0.055,0.0525,0.0,0.0707,0.0525,592.42M,603.61M,0.0106
2004-04,991.89M,991.89M,751.17M,240.73M,161.50M,,,,,161.50M,79.23M,,,,,,79.06M,30.91M,48.15M,48.15M,48.15M,100.46M,21.23M,79.23M,0.08,0.0,0.08,0.08,0.0775,0.0,0.0775,0.0775,599.56M,613.48M,0.0106
2004-01,1.099B,1.099B,811.10M,287.65M,167.43M,,,,,167.43M,120.22M,,,,,,120.21M,47.00M,73.21M,73.21M,73.21M,147.27M,27.04M,120.22M,0.1225,0.0,0.1225,0.1225,0.1188,0.0,0.1188,0.1188,602.89M,616.66M,0.0072
2003-10,976.94M,976.94M,730.24M,246.70M,163.96M,,,,,163.96M,82.73M,,,,,,82.88M,32.40M,50.47M,50.47M,50.47M,101.74M,19.01M,82.73M,0.0838,0.0,0.0838,0.0838,0.0812,0.0,0.0812,0.0812,605.16M,617.90M,0.0072
2003-07,965.61M,965.61M,724.21M,241.40M,151.83M,,,,,151.83M,89.57M,,,,,,89.63M,35.05M,54.59M,54.59M,54.59M,107.69M,18.12M,89.57M,0.09,0.0,0.09,0.09,0.0875,0.0,0.0875,0.0875,610.16M,621.54M,0.0072
2003-04,879.28M,879.28M,653.25M,226.04M,145.14M,,,,,145.14M,80.90M,,,,,,80.97M,31.66M,49.31M,49.31M,49.31M,98.51M,17.61M,80.90M,0.08,0.0,0.08,0.08,0.0788,0.0,0.0788,0.0788,616.42M,626.03M,0.0072
2003-01,964.61M,964.61M,722.09M,242.52M,148.08M,,,,,148.08M,94.44M,,,,,,94.65M,37.01M,57.64M,57.64M,57.64M,115.32M,20.89M,94.44M,0.0925,0.0,0.0925,0.0925,0.09,0.0,0.09,0.09,620.84M,641.60M,0.006
2002-10,870.20M,870.20M,649.69M,220.50M,146.40M,,,,,146.40M,74.10M,,,,,,74.02M,28.94M,45.08M,45.08M,45.08M,91.03M,16.93M,74.10M,0.0725,0.0,0.0725,0.0725,0.0712,0.0,0.0712,0.0712,621.71M,633.62M,0.006
2002-07,876.93M,876.93M,607.66M,269.27M,174.73M,,,,,187.50M,81.77M,,,,,,81.59M,31.90M,49.69M,49.69M,49.69M,97.78M,16.01M,81.77M,0.0788,0.0,0.0788,0.0788,0.0775,0.0,0.0775,0.0775,627.47M,641.03M,0.006
2002-04,819.61M,819.61M,556.03M,263.58M,172.22M,,,,,185.08M,78.50M,,,,,,78.28M,30.61M,47.67M,47.67M,47.67M,94.44M,15.94M,78.50M,0.075,0.0,0.075,0.075,0.0738,0.0,0.0738,0.0738,630.92M,644.68M,0.006
2002-01,848.37M,848.37M,591.79M,256.58M,161.50M,,,,,174.53M,82.05M,,,,,,82.05M,32.08M,49.97M,49.97M,49.97M,98.25M,16.20M,82.05M,0.0788,0.0,0.0788,0.0788,0.0775,0.0,0.0775,0.0775,634.94M,649.06M,0.0053
2001-10,739.27M,739.27M,508.75M,230.53M,159.76M,,,,,172.55M,57.98M,,,,,,57.52M,22.49M,35.03M,35.03M,35.03M,74.23M,16.25M,57.98M,0.055,0.0,0.055,0.055,0.0538,0.0,0.0538,0.0538,639.40M,651.83M,0.0053
2001-07,724.59M,724.59M,505.39M,219.20M,147.99M,,,,,160.07M,59.13M,,,,,,58.08M,22.71M,35.37M,35.37M,35.37M,74.48M,15.34M,59.13M,0.055,0.0,0.055,0.055,0.055,0.0,0.055,0.055,639.74M,647.91M,0.0053
2001-04,674.36M,674.36M,464.53M,209.83M,139.24M,,,,,151.24M,58.59M,,,,,,56.94M,22.26M,34.68M,34.68M,34.68M,73.42M,14.82M,58.59M,0.0538,0.0,0.0538,0.0538,0.0538,0.0,0.0538,0.0538,642.21M,648.41M,0.0053
2001-01,779.11M,779.11M,540.49M,238.62M,148.18M,,,,,163.22M,75.39M,,,,,,74.30M,29.05M,45.25M,45.25M,45.25M,90.43M,15.04M,75.39M,0.07,0.0,0.07,0.07,0.0688,0.0,0.0688,0.0688,644.80M,650.18M,0.0047
2000-10,639.47M,639.47M,436.90M,202.57M,138.45M,,,,,152.21M,50.36M,,,,,,48.83M,19.09M,29.74M,29.74M,29.74M,64.12M,13.76M,50.36M,0.045,0.0,0.045,0.045,0.045,0.0,0.045,0.045,654.70M,659.11M,0.0047
2000-07,657.04M,657.04M,453.42M,203.61M,130.65M,,,,,143.79M,59.82M,,,,,,58.98M,23.06M,35.92M,35.92M,35.92M,72.97M,13.15M,59.82M,0.0538,0.0,0.0538,0.0538,0.0538,0.0,0.0538,0.0538,662.02M,668.24M,0.0047
2000-04,633.43M,633.43M,431.78M,201.64M,121.45M,,,,,134.56M,67.08M,,,,,,67.07M,26.23M,40.85M,40.85M,40.85M,80.20M,13.12M,67.08M,0.06,0.0,0.06,0.06,0.0588,0.0,0.0588,0.0588,682.30M,689.42M,0.0047
2000-01,694.52M,694.52M,479.97M,214.54M,123.12M,,,,,135.91M,78.64M,,,,,,70.08M,27.37M,42.71M,42.71M,42.71M,91.42M,12.79M,78.64M,0.06,0.0,0.06,0.06,0.06,0.0,0.06,0.06,708.91M,711.40M,0.0041
1999-10,608.70M,608.70M,414.20M,194.50M,125.80M,,,,,137.50M,57.00M,,,,,,56.80M,22.20M,34.60M,34.60M,34.60M,68.90M,11.90M,57.00M,0.0475,0.0,0.0475,0.0475,0.0475,0.0,0.0475,0.0475,728.42M,728.42M,0.0041
1999-07,614.60M,614.60M,421.50M,193.10M,117.70M,,,,,129.40M,63.70M,,,,,,63.40M,24.80M,38.60M,38.60M,38.60M,75.40M,11.68M,63.70M,0.0538,0.0,0.0538,0.0538,0.0525,0.0,0.0525,0.0525,718.14M,735.24M,0.0041
1999-04,550.82M,550.82M,376.88M,173.94M,106.19M,,,,,118.01M,55.94M,,,,,,56.10M,21.93M,34.16M,34.16M,34.16M,67.75M,11.82M,55.94M,0.0462,0.0,0.0462,0.0462,0.0462,0.0,0.0462,0.0462,735.42M,747.84M,0.0041
1999-01,629.96M,629.96M,436.76M,193.21M,107.28M,,,,,118.63M,74.57M,,,,,,74.72M,29.17M,45.54M,45.54M,45.54M,85.92M,11.35M,74.57M,0.0612,0.0,0.0612,0.0612,0.06,0.0,0.06,0.06,731.56M,758.92M,0.0034
