,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2018-04,1.303B,,1.303B,109.42M,109.42M,1.895B,1.895B,146.36M,,,,3.454B,0.0,1.110B,,2.621B,,116.50M,1.104B,4.952B,-2.582B,2.369B,,,,0.709M,,196.83M,2.567B,6.021B,1.299B,77.32M,1.376B,645.18M,2.022B,,,84.98M,,84.98M,,,,2.107B,,312.10M,,312.10M,109.37M,109.37M,362.44M,783.92M,2.891B,3.771M,2.177B,1.313B,363.08M,0.007M,3.130B
2018-01,1.290B,0.512M,1.291B,87.87M,87.87M,1.642B,1.642B,130.75M,,,,3.151B,0.0,1.109B,,2.603B,,102.05M,1.094B,4.908B,-2.526B,2.382B,,,,0.712M,120.61M,67.10M,2.571B,5.722B,1.060B,0.00,1.060B,781.58M,1.841B,,84.97M,84.97M,,84.97M,,,,1.926B,21.67M,311.99M,,311.99M,85.81M,279.48M,12.54M,746.34M,2.673B,3.796M,2.071B,1.292B,318.28M,0.027M,3.049B
2017-10,1.144B,0.518M,1.145B,103.07M,103.07M,1.840B,1.840B,147.96M,,,,3.236B,0.0,1.112B,,2.538B,,92.26M,1.066B,4.809B,-2.461B,2.348B,,,,0.715M,,182.13M,2.531B,5.767B,1.290B,0.00,1.290B,766.62M,2.056B,,,,,,,,,2.056B,,396.85M,,396.85M,129.78M,129.78M,325.59M,852.22M,2.908B,3.824M,1.901B,1.272B,318.28M,0.04M,2.859B
2017-07,1.151B,0.00,1.151B,103.36M,103.36M,1.608B,1.608B,141.79M,,,,3.004B,0.0,1.107B,,2.484B,,95.32M,1.029B,4.715B,-2.388B,2.327B,,,,1.259M,,181.69M,2.510B,5.514B,1.173B,0.00,1.173B,656.11M,1.829B,,,,,,,,,1.829B,,396.73M,,396.73M,129.14M,129.14M,319.77M,845.63M,2.675B,3.859M,1.898B,1.254B,316.00M,0.059M,2.840B
2017-04,1.244B,0.00,1.244B,100.84M,100.84M,1.595B,1.595B,124.92M,,,,3.065B,0.0,1.103B,,2.461B,,63.76M,1.012B,4.639B,-2.331B,2.309B,,,,1.267M,,178.28M,2.488B,5.553B,1.178B,131.71M,1.310B,627.98M,1.938B,,,,,,,,,1.938B,,396.61M,,396.61M,131.56M,131.56M,309.34M,837.51M,2.775B,3.894M,1.851B,1.235B,311.59M,0.075M,2.778B
2017-01,1.112B,,1.112B,75.15M,75.15M,1.513B,1.513B,113.41M,,,,2.813B,0.0,1.101B,,2.422B,,69.77M,998.51M,4.591B,-2.263B,2.328B,,,,1.288M,100.42M,66.54M,2.496B,5.309B,1.022B,16.15M,1.038B,714.62M,1.753B,,,,,,,,,1.753B,20.55M,396.49M,,396.49M,121.38M,289.75M,4.53M,808.83M,2.561B,3.919M,1.801B,1.216B,272.85M,0.091M,2.748B
2016-10,878.81M,0.803M,879.61M,91.36M,91.36M,1.764B,1.764B,140.66M,,,,2.875B,0.0,1.095B,,2.358B,,69.81M,979.91M,4.503B,-2.192B,2.311B,,,,1.316M,,162.52M,2.475B,5.350B,1.149B,,1.149B,738.81M,1.888B,,,,,,,,,1.888B,,396.38M,,396.38M,122.05M,122.05M,294.00M,812.42M,2.700B,3.944M,1.718B,1.200B,272.39M,0.124M,2.650B
2016-07,927.72M,1.213M,928.93M,97.14M,97.14M,1.560B,1.560B,127.40M,,,,2.714B,0.0,1.091B,,2.317B,,70.20M,953.70M,4.432B,-2.122B,2.310B,,,,1.325M,,168.75M,2.481B,5.194B,1.126B,,1.126B,625.34M,1.751B,,,,,,,,,1.751B,,396.26M,,396.26M,135.60M,135.60M,296.87M,828.72M,2.580B,3.971M,1.700B,1.179B,268.85M,0.159M,2.614B
2016-04,910.02M,1.727M,911.75M,96.24M,96.24M,1.498B,1.498B,122.68M,,,,2.629B,0.0,1.090B,,2.277B,,64.16M,938.49M,4.370B,-2.051B,2.318B,,,,1.333M,,165.26M,2.485B,5.114B,1.056B,110.70M,1.167B,583.94M,1.751B,,,,,,,,,1.751B,,396.14M,,396.14M,140.80M,140.80M,286.90M,823.84M,2.575B,4.001M,1.642B,1.160B,266.45M,0.17M,2.539B
2016-01,761.60M,1.737M,763.34M,73.63M,73.63M,1.419B,1.419B,116.12M,,,,2.372B,0.0,1.084B,,2.245B,,90.40M,920.39M,4.340B,-1.997B,2.343B,,,,1.331M,86.07M,66.61M,2.497B,4.869B,945.56M,0.00,945.56M,657.29M,1.603B,,,,,,,,,1.603B,20.30M,396.02M,,396.02M,130.09M,279.40M,4.36M,794.28M,2.397B,4.023M,1.575B,1.122B,229.52M,0.182M,2.472B
2015-10,485.70M,1.413M,487.12M,81.32M,81.32M,1.701B,1.701B,156.13M,,9.186M,,2.435B,0.0,1.085B,,2.180B,,66.14M,908.75M,4.240B,-1.932B,2.308B,,,,2.19M,,159.33M,2.469B,4.904B,1.053B,0.00,1.053B,696.47M,1.749B,,,,,,,,,1.749B,,395.91M,,395.91M,79.50M,79.50M,284.80M,760.21M,2.510B,4.053M,1.522B,1.096B,227.68M,0.213M,2.394B
2015-07,630.29M,0.999M,631.29M,88.44M,88.44M,1.510B,1.510B,129.82M,,10.73M,,2.370B,0.0,1.083B,,2.091B,,95.18M,889.89M,4.160B,-1.870B,2.289B,,,,2.613M,,162.18M,2.454B,4.824B,1.045B,0.00,1.045B,630.78M,1.676B,,,,,,,,,1.676B,,395.79M,,395.79M,78.93M,78.93M,287.41M,762.13M,2.438B,4.087M,1.526B,1.080B,224.19M,0.223M,2.387B
2015-04,761.36M,0.50M,761.86M,88.26M,88.26M,1.504B,1.504B,119.38M,,12.59M,,2.486B,0.0,948.55M,,1.962B,,302.46M,876.00M,4.089B,-1.812B,2.277B,,,,3.141M,,169.80M,2.450B,4.936B,1.129B,108.31M,1.237B,587.88M,1.825B,,,,,,,,,1.825B,,395.68M,,395.68M,85.38M,85.38M,296.49M,777.54M,2.603B,2.06M,1.485B,1.069B,222.57M,0.248M,2.333B
2015-01,696.61M,0.50M,697.11M,73.28M,73.28M,1.373B,1.373B,106.78M,,,,2.250B,0.0,952.43M,,1.933B,,293.72M,854.57M,4.034B,-1.760B,2.274B,,,,3.11M,94.05M,66.62M,2.438B,4.687B,1.001B,17.20M,1.018B,641.47M,1.659B,,,,,,,,,1.659B,19.56M,395.56M,,395.56M,73.73M,227.25M,4.723M,748.79M,2.408B,4.149M,1.422B,1.014B,160.60M,0.33M,2.279B
2014-10,571.58M,0.00,571.58M,75.90M,75.90M,1.495B,1.495B,143.66M,,16.34M,,2.302B,0.0,951.77M,,1.893B,,228.48M,834.32M,3.907B,-1.706B,2.202B,,,,3.634M,,161.50M,2.367B,4.669B,1.132B,0.00,1.132B,635.21M,1.767B,,,,,,,,,1.767B,,398.34M,,398.34M,38.43M,38.43M,278.25M,715.02M,2.482B,2.088M,1.341B,1.004B,160.24M,0.324M,2.187B
2014-07,549.78M,0.00,549.78M,85.22M,85.22M,1.259B,1.259B,115.95M,,14.09M,,2.024B,0.0,626.71M,,1.760B,,416.81M,827.07M,3.631B,-1.652B,1.979B,,,,3.66M,,161.02M,2.144B,4.168B,967.92M,7.17M,975.08M,557.04M,1.532B,,,,,,,,,1.532B,,150.00M,,150.00M,52.80M,52.80M,283.58M,486.38M,2.019B,2.102M,1.325B,980.85M,159.16M,0.342M,2.149B
2014-04,595.95M,0.00,595.95M,84.49M,84.49M,1.251B,1.251B,118.75M,,13.07M,,2.063B,0.0,625.37M,,1.723B,,362.08M,819.52M,3.530B,-1.606B,1.924B,,,,3.67M,,160.86M,2.089B,4.152B,930.58M,121.68M,1.052B,524.09M,1.576B,,,,,,,,,1.576B,,150.00M,,150.00M,63.29M,63.29M,286.67M,499.96M,2.076B,2.119M,1.260B,970.19M,157.03M,0.356M,2.075B
2014-01,423.17M,12.01M,435.17M,62.61M,62.61M,1.257B,1.257B,81.26M,20.73M,10.23M,,1.867B,0.0,478.97M,,1.678B,,510.22M,813.97M,3.482B,-1.606B,1.875B,2.889M,,2.889M,3.71M,88.27M,56.19M,2.030B,3.897B,779.46M,18.35M,797.80M,595.25M,1.393B,,,,,,,,,1.393B,19.74M,150.00M,,150.00M,58.87M,211.81M,9.939M,496.44M,1.889B,2.134M,1.191B,935.59M,121.56M,0.389M,2.007B
2013-10,372.27M,12.02M,384.29M,72.82M,72.82M,1.430B,1.430B,145.65M,,16.87M,,2.050B,0.0,478.33M,,1.645B,,376.50M,798.63M,3.298B,-1.557B,1.741B,,,,4.212M,,151.54M,1.897B,3.947B,908.80M,0.00,908.80M,587.90M,1.497B,,,,,,,,,1.497B,,150.00M,,150.00M,79.24M,79.24M,279.65M,508.90M,2.006B,2.152M,1.133B,926.82M,120.82M,0.436M,1.941B
2013-07,550.56M,0.013M,550.58M,79.20M,79.20M,1.331B,1.331B,115.02M,,23.14M,,2.098B,0.0,449.60M,,1.593B,,339.71M,773.02M,3.155B,-1.509B,1.646B,,,,4.215M,,159.34M,1.810B,3.908B,938.06M,0.00,938.06M,533.76M,1.472B,,,,,,,,,1.472B,,150.00M,,150.00M,84.92M,84.92M,270.78M,505.70M,1.978B,2.17M,1.136B,910.52M,118.46M,0.439M,1.931B
2013-04,714.17M,1.038M,715.21M,77.28M,77.28M,1.226B,1.226B,111.40M,,22.85M,,2.153B,0.0,373.07M,,1.576B,,280.06M,759.23M,2.988B,-1.462B,1.527B,,,,4.302M,,158.70M,1.690B,3.843B,859.60M,110.83M,970.42M,496.78M,1.467B,,,,,,,,,1.467B,,150.00M,,150.00M,89.00M,89.00M,261.30M,500.30M,1.968B,2.189M,1.092B,897.79M,117.56M,0.586M,1.875B
2013-01,646.76M,1.087M,647.85M,59.62M,59.62M,1.209B,1.209B,74.38M,19.94M,20.41M,,2.031B,0.0,372.66M,,1.552B,,258.69M,732.67M,2.916B,-1.422B,1.493B,2.889M,,2.889M,4.374M,76.91M,58.49M,1.639B,3.671B,807.53M,53.50M,861.04M,561.54M,1.423B,,,,,,,,,1.423B,23.94M,150.00M,,150.00M,84.30M,223.46M,1.227M,481.12M,1.904B,2.207M,989.26M,866.52M,91.71M,0.585M,1.767B
2012-10,623.82M,1.533M,625.36M,68.49M,68.49M,,1.343B,102.61M,,11.51M,,2.151B,0.0,345.89M,,1.543B,,156.19M,712.67M,2.758B,-1.406B,1.352B,,,,4.397M,,140.50M,1.497B,3.648B,886.63M,0.00,886.63M,352.48M,1.239B,,,,,,,,,1.467B,,150.00M,,150.00M,110.14M,110.14M,223.48M,483.61M,1.950B,2.226M,931.15M,854.70M,90.99M,0.644M,1.698B
2012-07,721.05M,1.456M,722.50M,65.73M,65.73M,,1.219B,98.72M,,11.95M,,2.118B,0.0,343.64M,,1.496B,,126.75M,690.61M,2.657B,-1.362B,1.295B,,,,4.54M,,142.53M,1.442B,3.560B,885.89M,13.56M,899.45M,315.75M,1.215B,,,,,,,,,1.415B,,150.00M,,150.00M,114.96M,114.96M,215.91M,480.87M,1.896B,2.241M,908.87M,839.26M,86.86M,0.652M,1.664B
2012-04,741.12M,0.463M,741.58M,66.63M,66.63M,,1.135B,104.22M,,11.85M,,2.059B,0.0,342.36M,,1.471B,,83.29M,675.80M,2.573B,-1.326B,1.247B,,,,5.614M,,146.29M,1.399B,3.457B,830.04M,107.72M,937.76M,284.11M,1.222B,,,,,,,,,1.371B,,150.00M,,150.00M,114.44M,114.44M,211.78M,476.21M,1.847B,2.258M,866.75M,826.39M,85.38M,0.626M,1.611B
2012-01,649.84M,0.658M,650.49M,50.85M,50.85M,1.130B,1.130B,68.67M,18.69M,5.598M,,1.924B,0.0,338.03M,,1.409B,,131.88M,657.31M,2.536B,-1.294B,1.242B,2.889M,,2.889M,5.602M,67.46M,55.05M,1.377B,3.301B,761.72M,31.13M,792.85M,553.21M,1.346B,,,,,,,,,1.346B,21.29M,150.00M,,150.00M,108.52M,235.42M,1.901M,462.14M,1.808B,2.269M,763.48M,788.90M,62.26M,0.635M,1.493B
2011-10,552.92M,0.298M,553.22M,62.38M,62.38M,,1.234B,88.96M,,19.91M,,1.958B,0.0,265.83M,,1.376B,,79.19M,628.20M,2.349B,-1.261B,1.088B,,,,5.984M,,129.62M,1.224B,3.182B,759.71M,1.628M,761.34M,290.50M,1.052B,,,,,,,,,1.269B,,150.00M,,150.00M,111.52M,111.52M,204.10M,465.62M,1.735B,1.145M,730.06M,777.42M,61.91M,0.535M,1.447B
2011-07,512.72M,0.959M,513.68M,57.94M,57.94M,,1.190B,93.36M,,15.36M,,1.870B,0.0,261.94M,,1.300B,,102.05M,608.90M,2.273B,-1.230B,1.043B,,,,6.243M,,136.49M,1.185B,3.055B,709.14M,0.00,709.14M,270.64M,979.78M,,,,,,,,,1.165B,,150.00M,,150.00M,116.38M,116.38M,198.23M,464.62M,1.629B,1.158M,716.86M,767.91M,60.56M,0.571M,1.426B
2011-04,671.00M,3.275M,674.28M,61.68M,61.68M,,1.173B,72.90M,,15.66M,,1.997B,0.0,241.18M,,1.282B,,85.61M,595.05M,2.204B,-1.198B,1.006B,,,,12.19M,,86.89M,1.105B,3.102B,742.60M,89.34M,831.94M,265.59M,1.098B,,,,,,,,,1.239B,,150.00M,,150.00M,106.52M,106.52M,200.58M,457.09M,1.696B,1.171M,704.65M,759.05M,59.24M,0.485M,1.406B
2011-01,833.92M,3.204M,837.13M,45.38M,45.38M,,1.087B,63.81M,,10.00M,,2.043B,0.0,241.14M,,1.259B,,69.24M,584.31M,2.153B,-1.170B,983.78M,2.889M,,2.889M,14.08M,63.57M,8.649M,1.073B,3.116B,767.46M,57.66M,825.12M,527.20M,1.352B,,,,,,0.00,0.00,,1.352B,,150.00M,,150.00M,91.20M,91.20M,189.99M,431.19M,1.784B,1.181M,636.70M,740.73M,46.41M,0.488M,1.333B
2010-10,732.80M,1.798M,734.60M,53.93M,53.93M,,1.048B,66.76M,,1.426M,,1.905B,0.0,241.11M,,1.245B,,43.84M,574.20M,2.104B,-1.138B,966.19M,,,,17.00M,,74.56M,1.058B,2.963B,767.74M,4.769M,772.51M,475.12M,1.248B,,,,,,0.00,0.00,,1.248B,,150.00M,,150.00M,92.18M,92.18M,187.77M,429.95M,1.678B,1.192M,601.28M,727.84M,46.00M,0.699M,1.285B
2010-07,772.67M,2.491M,775.16M,53.08M,53.08M,,915.70M,66.65M,,4.249M,,1.815B,0.0,240.71M,,1.222B,,41.14M,548.81M,2.053B,-1.107B,945.34M,,,,18.54M,,72.15M,1.036B,2.851B,745.46M,8.07M,753.53M,426.07M,1.180B,,,,,,0.00,0.00,,1.180B,,150.00M,,150.00M,80.09M,80.09M,184.32M,414.41M,1.594B,1.207M,585.64M,713.75M,44.31M,0.562M,1.257B
2010-04,823.65M,1.941M,825.59M,54.27M,54.27M,,908.06M,67.90M,,3.923M,,1.860B,0.0,240.38M,,1.205B,,21.34M,541.91M,2.009B,-1.075B,933.65M,,,,15.86M,,73.35M,1.023B,2.883B,748.78M,99.93M,848.71M,380.84M,1.230B,,,,,,0.00,0.00,,1.230B,,150.00M,,150.00M,88.33M,88.33M,185.38M,423.70M,1.653B,1.223M,566.59M,704.98M,43.64M,0.198M,1.229B
2010-01,768.34M,1.754M,770.10M,44.23M,44.23M,,872.50M,58.62M,,0.00,,1.745B,0.0,239.69M,,1.190B,,21.81M,536.98M,1.988B,-1.045B,943.00M,2.889M,,2.889M,16.85M,50.71M,9.744M,1.023B,2.769B,658.30M,51.50M,709.80M,477.82M,1.188B,,,,,,2.894M,2.894M,,1.191B,,150.00M,,150.00M,96.28M,96.28M,174.54M,420.83M,1.611B,1.229M,510.85M,681.91M,36.86M,0.17M,1.157B
2009-10,576.16M,0.979M,577.14M,47.50M,47.50M,,1.015B,63.05M,,11.74M,,1.714B,0.0,238.90M,,1.168B,,19.14M,528.07M,1.955B,-1.009B,945.73M,,,,18.97M,,62.70M,1.027B,2.741B,767.77M,11.28M,779.05M,428.83M,1.208B,,,,,,,,,1.208B,,150.00M,,150.00M,104.74M,104.74M,171.67M,426.40M,1.634B,1.24M,465.08M,676.94M,36.25M,0.187M,1.107B
2009-07,520.42M,1.135M,521.56M,49.38M,49.38M,,926.24M,63.93M,,13.67M,,1.575B,0.0,238.14M,,1.141B,,20.60M,518.98M,1.918B,-975.47M,942.74M,,,,21.75M,,61.38M,1.026B,2.601B,702.98M,11.27M,714.24M,392.39M,1.107B,,,,,,,,,1.107B,,150.00M,,150.00M,106.03M,106.03M,168.56M,424.59M,1.531B,1.251M,442.83M,660.90M,35.37M,-0.188M,1.069B
2009-04,459.30M,1.033M,460.34M,50.10M,50.10M,,917.66M,65.56M,,13.49M,,1.507B,0.0,202.00M,,1.093B,,73.43M,513.32M,1.881B,-938.98M,942.43M,,,,33.41M,,59.14M,1.035B,2.542B,682.25M,46.33M,728.58M,360.14M,1.089B,,,,,,,,,1.089B,,150.00M,,150.00M,103.96M,103.96M,163.69M,417.64M,1.506B,1.265M,423.21M,647.14M,34.89M,-0.965M,1.036B
2009-01,321.36M,0.798M,322.15M,41.17M,41.17M,,881.06M,55.24M,,14.09M,,1.314B,0.0,201.38M,,1.074B,,72.84M,509.97M,1.858B,-906.53M,951.66M,2.889M,,2.889M,38.01M,,49.24M,1.042B,2.356B,536.74M,9.12M,545.86M,409.39M,955.26M,,,,,,0.00,0.00,,955.26M,,150.00M,,150.00M,97.16M,97.16M,156.73M,403.88M,1.359B,1.273M,400.97M,626.12M,30.82M,-1.174M,996.37M
2008-10,231.24M,2.833M,234.07M,47.10M,47.10M,,1.093B,62.59M,,19.80M,,1.457B,0.0,169.94M,503.21M,1.043B,,87.18M,,1.804B,-871.81M,931.89M,,,,,,94.09M,1.026B,2.483B,686.40M,,686.40M,412.35M,1.099B,,,,,,,,,1.099B,,150.00M,,150.00M,85.86M,85.86M,162.13M,397.99M,1.497B,1.296M,390.72M,626.08M,29.47M,-2.729M,985.89M
2008-07,309.55M,2.821M,312.38M,49.42M,49.42M,,1.019B,63.22M,,20.88M,,1.465B,0.0,162.97M,493.77M,985.39M,,105.49M,,1.748B,-841.09M,906.53M,,,,,,107.25M,1.014B,2.478B,682.56M,,682.56M,387.50M,1.070B,,,,,,,,,1.070B,,150.00M,,150.00M,83.42M,83.42M,168.81M,402.23M,1.472B,1.316M,416.36M,617.74M,28.82M,-0.477M,1.006B
2008-04,305.80M,2.237M,308.04M,48.89M,48.89M,,1.029B,61.26M,,20.15M,,1.467B,0.0,143.86M,489.48M,956.91M,,89.73M,,1.680B,-809.43M,870.56M,,,,,,106.92M,977.47M,2.444B,661.85M,,661.85M,343.66M,1.006B,,,,,,,,42.67M,1.048B,,150.00M,,150.00M,82.51M,82.51M,169.49M,401.99M,1.450B,1.328M,426.28M,595.09M,28.45M,-0.019M,994.22M
2008-01,257.58M,6.098M,263.68M,37.47M,37.47M,,1.025B,51.92M,,19.64M,,1.398B,0.0,140.72M,,941.80M,,88.90M,482.90M,1.654B,-786.01M,868.32M,2.889M,9.907M,12.80M,40.77M,48.17M,3.27M,973.32M,2.371B,637.16M,21.82M,658.98M,351.63M,1.011B,,,,,,,,,1.011B,,150.00M,,150.00M,78.90M,78.90M,161.17M,390.07M,1.401B,1.341M,416.09M,577.79M,25.91M,1.34M,970.65M
2007-10,151.55M,6.177M,157.72M,47.52M,47.52M,,1.119B,57.39M,,32.65M,,1.414B,0.0,155.76M,459.96M,921.03M,,45.22M,,1.582B,-753.49M,828.49M,,,,,,100.81M,929.29M,2.344B,654.34M,,654.34M,358.56M,1.013B,,,,,,,,,1.013B,,150.00M,,150.00M,79.62M,79.62M,170.21M,399.84M,1.413B,1.354M,386.04M,568.77M,25.66M,0.408M,930.90M
2007-07,132.81M,31.26M,164.07M,42.07M,42.07M,,1.070B,70.40M,,30.94M,,1.378B,0.0,143.51M,435.73M,900.92M,,35.04M,,1.515B,-724.91M,790.30M,,,,,,100.72M,891.02M,2.269B,598.95M,,598.95M,331.84M,930.79M,,,,,,,,,930.79M,,150.00M,,150.00M,82.00M,82.00M,169.04M,401.04M,1.332B,1.373M,393.67M,567.05M,24.94M,-0.108M,937.05M
2007-04,199.12M,6.821M,205.94M,36.94M,36.94M,,1.102B,51.03M,,29.52M,,1.425B,0.0,137.68M,420.66M,882.44M,,17.98M,,1.459B,-696.41M,762.34M,,,,,,102.85M,865.19M,2.290B,608.79M,,608.79M,310.62M,919.41M,,,,,,,,33.58M,952.98M,,150.00M,,150.00M,84.99M,84.99M,166.16M,401.15M,1.354B,1.387M,398.00M,561.17M,24.61M,0.064M,936.01M
