,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2016-07,281.91M,,,,74.75M,74.75M,-5.204M,18.49M,,18.49M,,-61.76M,68.72M,-5.623M,-67.52M,6.712M,-59.47M,310.47M,-67.70M,,-67.70M,0.514M,-0.099M,-67.29M,,,,,-178.15M,-178.15M,-53.85M,-53.85M,4.362M,2.144M,-225.49M,910.02M,17.69M,927.72M,,,,-178.15M,286.38M,4.834M
2016-04,290.63M,,,,73.88M,73.88M,10.71M,17.72M,,17.72M,,-79.34M,123.89M,-29.15M,54.42M,6.333M,76.14M,469.08M,-79.72M,,-79.72M,,-0.044M,-79.77M,,,,,-212.69M,-212.69M,-54.24M,-54.24M,5.50M,20.54M,-240.89M,761.60M,148.42M,910.02M,,,,-212.69M,26.76M,4.219M
2016-01,264.16M,,,,72.65M,72.65M,20.29M,25.36M,39.41M,64.77M,,281.73M,-115.18M,43.78M,-58.01M,-9.966M,142.35M,564.22M,-81.40M,,-81.40M,0.501M,4.156M,-76.74M,,,,,-171.54M,-171.54M,-47.48M,-47.48M,4.539M,2.896M,-211.58M,485.70M,275.90M,761.60M,,,,-171.54M,58.05M,4.834M
2015-10,215.66M,,,,73.44M,73.44M,4.169M,15.69M,-2.054M,13.64M,,-191.08M,8.913M,-19.17M,65.69M,0.40M,-135.25M,171.66M,-92.45M,,-92.45M,0.001M,-0.018M,-92.47M,,,,,-182.27M,-182.27M,-47.89M,-47.89M,4.335M,2.054M,-223.77M,630.29M,-144.58M,485.70M,,,,-182.27M,143.25M,4.219M
2015-07,258.64M,,,,65.41M,65.41M,-4.473M,15.59M,-0.097M,15.50M,,-5.471M,-78.24M,-10.56M,-63.11M,-1.321M,-158.69M,176.38M,-86.18M,,-86.18M,0.001M,-0.064M,-86.24M,,,,,-177.38M,-177.38M,-48.20M,-48.20M,4.276M,0.097M,-221.21M,761.36M,-131.07M,630.29M,,,,-177.38M,278.99M,4.834M
2015-04,282.20M,,,,63.32M,63.32M,36.38M,14.29M,-37.26M,-22.97M,,-131.61M,143.04M,-27.54M,63.22M,7.948M,55.06M,413.99M,-106.93M,,-106.93M,-0.117M,-0.009M,-107.05M,,,,,-237.73M,-237.73M,-48.74M,-48.74M,7.036M,37.26M,-242.19M,696.61M,64.75M,761.36M,,,,-237.73M,43.30M,4.148M
2015-01,248.53M,,,,62.64M,62.64M,50.75M,14.22M,0.658M,14.88M,,122.34M,-149.03M,37.15M,1.799M,1.816M,14.08M,390.88M,-95.15M,,-95.15M,-0.001M,0.435M,-94.71M,-0.524M,,-0.524M,,-131.88M,-131.88M,-41.65M,-41.65M,3.573M,-0.658M,-171.14M,571.58M,125.03M,696.61M,,-0.524M,,-131.88M,49.04M,4.834M
2014-10,192.72M,,,,59.65M,59.65M,-10.04M,13.68M,-6.318M,7.363M,,-236.19M,163.29M,-19.02M,79.87M,2.553M,-9.507M,240.19M,-298.20M,,-298.20M,0.00,2.279M,-295.92M,246.20M,,246.20M,,-142.16M,-142.16M,-41.93M,-41.93M,9.087M,6.318M,77.52M,549.78M,21.79M,571.58M,,246.20M,,-142.16M,161.35M,0.00
2014-07,239.56M,,,,54.20M,54.20M,-10.59M,13.06M,-0.812M,12.25M,,-8.061M,32.64M,2.087M,-83.55M,-1.33M,-58.21M,237.21M,-104.65M,,-104.65M,0.00,-0.063M,-104.71M,,,,,-140.83M,-140.83M,-42.30M,-42.30M,3.65M,0.812M,-178.67M,595.95M,-46.17M,549.78M,,,,-140.83M,270.83M,4.834M
2014-04,243.91M,,,,56.46M,56.46M,24.72M,12.04M,-22.94M,-10.91M,,6.396M,157.25M,-36.62M,71.45M,-8.084M,190.39M,504.58M,-148.70M,,-148.70M,12.02M,-6.98M,-143.66M,,,,,-174.17M,-174.17M,-42.58M,-42.58M,5.668M,22.94M,-188.14M,423.17M,172.78M,595.95M,,,,-174.17M,28.94M,0.00
2014-01,217.95M,,,,56.70M,56.70M,-13.75M,11.18M,0.092M,11.27M,,173.31M,-142.92M,53.87M,-17.69M,2.034M,68.61M,340.78M,-127.30M,,-127.30M,0.464M,-0.063M,-126.90M,,,,,-129.39M,-129.39M,-36.50M,-36.50M,3.005M,-0.092M,-162.98M,372.27M,50.90M,423.17M,,,,-129.39M,81.92M,4.834M
2013-10,171.62M,,,,50.56M,50.56M,5.719M,11.46M,-4.875M,6.586M,,-99.93M,-29.26M,-27.00M,60.69M,9.91M,-85.59M,148.89M,-151.52M,,-151.52M,-12.00M,9.513M,-154.01M,0.00,,0.00,,-147.10M,-147.10M,-36.81M,-36.81M,5.856M,4.875M,-173.18M,550.56M,-178.30M,372.27M,,0.00,,-147.10M,119.22M,0.00
2013-07,213.12M,,,,50.13M,50.13M,-2.159M,12.42M,-2.009M,10.41M,,-104.09M,78.46M,-5.554M,-69.65M,8.79M,-92.03M,179.47M,-174.14M,,-174.14M,1.032M,-0.091M,-173.20M,,,,,-139.21M,-139.21M,-37.13M,-37.13M,4.447M,2.009M,-169.88M,714.17M,-163.61M,550.56M,,,,-139.21M,245.81M,4.834M
2013-04,234.61M,,,,48.73M,48.73M,22.60M,11.79M,-20.11M,-8.326M,,-17.21M,89.62M,-31.20M,8.077M,5.961M,55.25M,352.86M,-97.55M,,-97.55M,0.107M,-12.25M,-109.70M,,,,,-164.15M,-164.15M,-37.48M,-37.48M,5.766M,20.11M,-175.75M,646.76M,67.41M,714.17M,,,,-164.15M,59.23M,0.00
2013-01,236.60M,,,,51.67M,51.67M,-32.46M,11.57M,-2.106M,9.466M,,133.67M,-116.65M,17.87M,11.52M,21.70M,68.10M,333.37M,-169.10M,,-169.10M,0.432M,-0.095M,-168.76M,,,,,-116.36M,-116.36M,-31.14M,-31.14M,3.726M,2.106M,-141.67M,623.82M,22.94M,646.76M,,,,-116.36M,91.12M,4.834M
2012-10,159.52M,,,,46.14M,46.14M,-1.25M,13.14M,-3.013M,10.13M,,-123.81M,0.737M,-7.495M,50.71M,7.428M,-72.43M,142.11M,-103.23M,,-103.23M,0.105M,2.958M,-100.16M,,,,,-114.74M,-114.74M,-31.29M,-31.29M,3.85M,3.013M,-139.17M,721.05M,-97.22M,623.82M,,,,-114.74M,109.43M,0.00
2012-07,182.02M,,,,44.55M,44.55M,1.886M,12.65M,-1.322M,11.33M,,-84.39M,55.85M,4.045M,-10.29M,1.827M,-32.96M,206.83M,-94.11M,,-94.11M,0.086M,8.44M,-85.59M,,,,,-114.61M,-114.61M,-31.54M,-31.54M,3.512M,1.322M,-141.32M,741.12M,-20.07M,721.05M,,,,-114.61M,205.00M,4.834M
2012-04,208.61M,,,,43.14M,43.14M,22.78M,11.59M,-22.66M,-11.08M,,-4.633M,100.18M,-28.89M,-33.79M,1.01M,33.87M,297.33M,-57.99M,,-57.99M,0.194M,-13.41M,-71.21M,,,,,-133.74M,-133.74M,-31.72M,-31.72M,7.955M,22.66M,-134.84M,649.84M,91.28M,741.12M,,,,-133.74M,30.26M,0.00
2012-01,191.95M,,,,42.56M,42.56M,30.36M,9.993M,-4.818M,8.151M,,103.55M,-29.84M,13.82M,63.85M,-0.928M,150.44M,406.41M,-184.92M,,-184.92M,-6.376M,6.419M,-184.88M,,,,-14.06M,-107.62M,-121.68M,,-25.05M,,4.818M,-124.62M,552.92M,96.91M,649.84M,-14.06M,,,-107.62M,69.25M,4.834M
2011-10,465.22M,,,,39.92M,39.92M,-9.416M,11.13M,-1.533M,-319.51M,,-44.09M,50.56M,-1.881M,53.94M,7.681M,66.22M,252.03M,-85.63M,,-85.63M,0.797M,6.96M,-77.87M,,,,3.738M,-113.85M,-110.11M,,-25.37M,,1.533M,-133.95M,512.72M,40.21M,552.92M,3.738M,,,-113.85M,75.56M,0.00
2011-07,,,,,37.48M,37.48M,10.16M,9.386M,-2.102M,150.59M,,-16.81M,-33.46M,3.128M,-39.48M,1.71M,-84.90M,120.61M,-75.62M,,-75.62M,8.354M,-73.46M,-140.74M,,,,4.495M,-119.05M,-114.55M,,-25.72M,,2.102M,-138.17M,671.00M,-158.29M,512.72M,4.495M,,,-119.05M,170.56M,4.834M
2011-04,,,,,39.93M,39.93M,9.657M,9.894M,-9.727M,182.99M,,-85.80M,1.12M,-25.39M,-80.43M,-1.201M,-191.70M,41.05M,-70.10M,,-70.10M,1.814M,,-68.28M,,,,5.827M,-125.34M,-119.51M,,-25.90M,,9.727M,-135.69M,833.92M,-162.92M,671.00M,5.827M,,,-125.34M,54.70M,0.00
2011-01,,,,,40.57M,40.57M,-5.885M,9.028M,-3.28M,-371.20M,,-38.79M,-26.26M,11.50M,95.96M,1.66M,44.08M,246.30M,-48.99M,,-48.99M,1.187M,,-47.80M,,,,-29.99M,-88.14M,-118.13M,,-19.01M,,3.28M,-97.37M,732.80M,101.13M,833.92M,-29.99M,,,-88.14M,48.17M,4.834M
2010-10,,,,,39.96M,39.96M,17.86M,9.27M,-2.869M,121.38M,,-132.43M,22.28M,-0.96M,46.40M,1.03M,-63.67M,121.92M,-61.54M,,-61.54M,2.441M,,-59.10M,,,,9.623M,-95.98M,-86.36M,,-19.21M,,2.869M,-102.70M,772.67M,-39.87M,732.80M,9.623M,,,-95.98M,56.79M,0.00
2010-07,,,,,40.32M,40.32M,-6.574M,9.343M,-2.115M,129.28M,,-7.639M,-3.318M,2.431M,-46.21M,0.149M,-54.59M,115.66M,-52.60M,,-52.60M,-2.67M,,-55.27M,,,,5.362M,-99.35M,-93.99M,,-19.49M,,2.115M,-111.36M,823.65M,-50.98M,772.67M,5.362M,,,-99.35M,178.38M,4.834M
2010-04,,,,,39.84M,39.84M,-7.962M,8.91M,-6.482M,142.35M,,-35.57M,110.15M,-19.31M,-43.56M,0.81M,12.52M,189.18M,-35.52M,,-35.52M,0.848M,,-34.67M,,,,15.00M,-101.07M,-86.07M,,-19.61M,,6.482M,-99.20M,768.34M,55.31M,823.65M,15.00M,,,-101.07M,47.25M,0.00
2010-01,142.88M,,,,43.86M,43.86M,6.275M,6.514M,-1.107M,0.809M,,142.14M,-129.14M,7.692M,82.42M,2.166M,105.27M,304.50M,-34.31M,0.00,-34.31M,1.325M,,-32.99M,,,,4.001M,-70.80M,-66.80M,,-13.64M,,1.107M,-79.33M,576.16M,192.18M,768.34M,4.001M,,,-70.80M,34.85M,4.834M
2009-10,105.08M,,,,39.69M,39.69M,0.438M,6.215M,-2.176M,2.517M,,-88.39M,64.79M,2.757M,37.24M,1.755M,18.15M,169.91M,-43.44M,0.00,-43.44M,3.508M,,-39.94M,,,,13.65M,-76.33M,-62.68M,,-13.74M,,2.176M,-74.24M,520.42M,55.74M,576.16M,13.65M,,,-76.33M,61.37M,0.00
2009-07,103.41M,,,,37.95M,37.95M,1.995M,6.52M,-1.944M,2.435M,,-8.583M,20.73M,2.354M,5.777M,2.603M,22.88M,173.24M,-46.82M,0.00,-46.82M,12.23M,,-34.58M,,,,12.06M,-77.67M,-65.62M,,-13.86M,,1.944M,-77.53M,459.30M,61.12M,520.42M,12.06M,,,-77.67M,95.15M,4.834M
2009-04,91.39M,,,,37.56M,37.56M,7.405M,6.497M,-2.064M,2.821M,,-36.60M,159.51M,-19.24M,-6.455M,-0.082M,97.13M,240.73M,-33.91M,0.01M,-33.90M,4.577M,,-29.33M,,,,19.69M,-81.24M,-61.56M,,-13.97M,,2.064M,-73.46M,321.36M,137.95M,459.30M,19.69M,,,-81.24M,9.866M,0.00
2009-01,97.39M,,,,40.88M,40.88M,17.01M,5.419M,-0.123M,0.427M,,212.02M,-163.66M,13.18M,-5.397M,-2.542M,53.60M,214.61M,-48.95M,0.00,-48.95M,4.647M,,-44.30M,,,,2.274M,-69.94M,-67.67M,,-12.64M,,0.123M,-80.19M,231.24M,90.11M,321.36M,2.274M,,,-69.94M,28.26M,4.842M
2008-10,57.27M,,,,35.05M,35.05M,3.52M,5.826M,-1.136M,1.497M,,-74.36M,3.837M,3.985M,25.45M,1.335M,-39.75M,62.28M,-62.00M,0.00,-62.00M,2.841M,,-59.16M,,,,9.129M,-79.43M,-70.30M,,-12.27M,,1.136M,-81.44M,309.55M,-78.31M,231.24M,9.129M,,,-79.43M,30.12M,0.00
2008-07,71.30M,,,,32.82M,32.82M,0.178M,6.134M,-2.547M,3.459M,,9.85M,20.72M,-23.26M,3.58M,23.49M,34.38M,145.72M,-71.19M,0.009M,-71.18M,-4.788M,,-75.97M,,,,19.65M,-75.80M,-56.15M,,-12.39M,,2.547M,-66.00M,305.80M,3.75M,309.55M,19.65M,,,-75.80M,87.14M,4.834M
2008-04,79.48M,,,,33.05M,33.05M,3.097M,5.196M,-2.167M,3.149M,,-3.281M,37.43M,,19.62M,-14.74M,39.03M,160.84M,-42.28M,0.108M,-42.17M,2.838M,,-39.33M,,,,16.82M,-79.73M,-62.91M,,-12.53M,,2.167M,-73.28M,257.58M,48.22M,305.80M,16.82M,,,-79.73M,21.96M,
2008-01,94.46M,,,,34.33M,34.33M,12.29M,,,-13.90M,,93.78M,-29.92M,30.56M,1.217M,-21.67M,73.95M,221.15M,-59.33M,,-58.98M,-6.927M,,-65.90M,,,,7.964M,-47.64M,-39.68M,,-9.984M,,0.443M,-49.22M,151.55M,106.03M,257.58M,7.964M,,,-47.64M,,
2007-10,48.68M,,,,30.46M,30.46M,-4.082M,,,6.418M,,-48.69M,55.39M,7.56M,26.98M,2.036M,43.27M,124.76M,-69.50M,,-69.50M,25.25M,,-44.26M,,,,0.928M,-52.74M,-51.81M,,-10.11M,,0.164M,-61.76M,132.81M,18.74M,151.55M,0.928M,,,-52.74M,,
2007-07,50.86M,,,,29.48M,29.48M,-4.416M,,,6.912M,,31.15M,-9.836M,-24.50M,-10.03M,4.063M,-9.15M,73.69M,-59.90M,,-59.90M,-23.54M,,-83.44M,,,,2.998M,-50.04M,-47.04M,,-10.23M,,0.707M,-56.56M,199.12M,-66.32M,132.81M,2.998M,,,-50.04M,,
2007-04,67.04M,,,,28.52M,28.52M,-14.49M,,,7.109M,,-49.80M,-78.83M,-13.62M,-36.89M,24.90M,-154.23M,-66.04M,-47.38M,,-47.38M,-3.759M,,-51.14M,,,,8.863M,-53.46M,-44.60M,,-10.31M,,3.826M,-51.08M,367.39M,-168.26M,199.12M,8.863M,,,-53.46M,,
2007-01,93.11M,,,,29.46M,29.46M,-10.19M,,,1.616M,,13.82M,17.04M,13.80M,19.27M,-1.303M,62.63M,176.62M,-43.26M,,-42.65M,-0.875M,,-43.52M,,,150.00M,18.53M,-53.13M,-34.60M,,-8.268M,,5.09M,112.22M,122.07M,245.32M,367.39M,18.53M,,,-53.13M,,
2006-10,43.93M,,,,27.76M,27.76M,2.596M,,,8.897M,,-105.76M,132.65M,-3.678M,51.89M,2.859M,77.96M,161.15M,-34.57M,,-34.57M,-14.94M,,-49.51M,,,0.00,5.441M,-49.44M,-44.00M,,-8.188M,,3.266M,-48.92M,59.35M,62.72M,122.07M,5.441M,,,-49.44M,,
2006-07,45.38M,-9.446M,,,26.65M,26.65M,-1.822M,,,18.66M,,20.20M,-8.401M,-5.372M,-23.99M,1.769M,-15.79M,63.63M,-128.10M,,-128.10M,36.62M,,-91.48M,,,0.00,1.973M,-50.15M,-48.17M,,-8.556M,,-1.304M,-58.03M,145.23M,-85.88M,59.35M,1.973M,,,-50.15M,,
2006-04,59.22M,9.446M,,,24.26M,24.26M,-1.27M,,,,,-41.90M,80.36M,-12.89M,-12.75M,1.001M,13.81M,105.46M,-18.02M,,-18.02M,-33.41M,,-51.43M,,,-50.00M,6.577M,-51.07M,-44.50M,,-8.622M,,2.547M,-100.57M,191.77M,-46.54M,145.23M,6.577M,,,-51.07M,,
2006-01,70.98M,3.845M,,,29.39M,29.39M,-7.364M,,,2.517M,,126.88M,-187.96M,13.74M,62.89M,-3.926M,11.62M,110.99M,-36.52M,,-36.52M,-23.94M,,-60.46M,,,,8.118M,-35.96M,-27.84M,,-8.67M,,,-36.51M,177.75M,14.01M,191.77M,8.118M,,,-35.96M,,
2005-10,36.32M,18.10M,,,36.57M,36.57M,0.208M,,,-25.30M,,-89.13M,119.68M,6.48M,18.50M,2.779M,58.31M,124.21M,-43.13M,,-43.13M,25.80M,,-17.33M,,,,2.847M,-44.07M,-41.22M,,-7.298M,,,-48.52M,119.40M,58.36M,177.75M,2.847M,,,-44.07M,,
2005-07,42.28M,-13.71M,,,18.84M,18.84M,2.257M,,,25.30M,,-11.15M,-20.68M,-13.06M,13.78M,0.884M,-30.22M,44.74M,-80.18M,,-80.18M,58.55M,,-21.62M,,,,5.761M,-46.50M,-40.74M,,-7.366M,,,-48.10M,144.38M,-24.98M,119.40M,5.761M,,,-46.50M,,
2005-04,50.05M,13.71M,,,26.05M,26.05M,2.309M,,,,,-111.58M,110.41M,4.535M,-0.498M,0.263M,3.126M,95.25M,-16.02M,,-16.02M,-16.95M,,-32.98M,,,,22.63M,-48.47M,-25.84M,,-7.381M,,,-33.22M,115.33M,29.05M,144.38M,22.63M,,,-48.47M,,
2005-01,51.83M,22.50M,,,24.46M,24.46M,20.58M,,,,,146.49M,-68.15M,2.958M,-6.836M,-22.46M,52.01M,183.30M,-37.36M,0.00,-37.36M,,,-104.76M,,,,10.53M,-17.33M,-6.798M,,-6.231M,,,-20.99M,57.79M,57.54M,115.33M,10.53M,,,-17.33M,,
2004-10,37.72M,-17.35M,,,24.51M,24.51M,12.70M,,,,,-102.06M,41.02M,0.718M,13.35M,3.492M,-43.48M,14.09M,-8.058M,17.40M,9.342M,,,9.342M,,,,1.644M,-25.38M,-23.74M,,-6.261M,,,-30.00M,64.35M,-6.566M,57.79M,1.644M,,,-25.38M,,
2004-07,32.21M,18.84M,,,24.39M,24.39M,-7.345M,,,,,-38.16M,8.066M,-13.87M,-12.97M,17.59M,-39.34M,28.75M,-78.62M,,-78.62M,,,-78.62M,,,,5.167M,-69.56M,-64.39M,,-6.347M,,,-70.74M,184.95M,-120.60M,64.35M,5.167M,,,-69.56M,,
2004-04,48.15M,6.638M,,,21.23M,21.23M,2.172M,,,,,-17.89M,21.97M,-12.96M,1.34M,1.373M,-6.168M,72.02M,-25.50M,,-25.50M,,,-25.50M,,,,6.051M,-62.74M,-56.69M,,-6.421M,,,-63.11M,201.55M,-16.60M,184.95M,6.051M,,,-62.74M,,
2004-01,73.21M,,,,27.04M,27.04M,,,,,,25.37M,-6.411M,2.585M,-24.19M,-1.222M,-3.862M,148.77M,-43.43M,,-43.43M,,,-43.43M,,,0.00,7.632M,-24.79M,-17.16M,,-4.351M,,,-21.51M,117.72M,83.83M,201.55M,7.632M,,,-24.79M,,
2003-10,50.47M,,,,19.01M,19.01M,,,,,,-51.37M,-19.10M,1.117M,16.52M,1.222M,-51.61M,17.87M,-38.90M,,-38.90M,,,-38.90M,,,0.00,7.87M,-41.62M,-33.75M,,-4.369M,,,-38.12M,176.86M,-59.14M,117.72M,7.87M,,,-41.62M,,
2003-07,54.59M,,,,18.12M,18.12M,,,,,,-59.49M,70.90M,13.36M,45.92M,-0.12M,70.56M,143.27M,-42.95M,,-42.95M,,,-42.95M,,,0.00,7.314M,-42.92M,-35.60M,,-4.403M,,,-40.00M,116.54M,60.32M,176.86M,7.314M,,,-42.92M,,
2003-04,49.31M,,,,17.61M,17.61M,,,,,,-39.48M,3.493M,-16.57M,-2.921M,0.12M,-55.36M,11.56M,-27.42M,,-27.42M,,,-27.42M,,,25.00M,1.879M,-40.68M,-38.80M,,-4.449M,,,-18.25M,150.65M,-34.10M,116.54M,1.879M,,,-40.68M,,
