,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2003-12,17.20B,17.20B,5.852B,11.35B,10.07B,-151.00M,,,,,13.66B,-2.311B,,,,774.00M,,-977.00M,-1.023B,112.00M,13.00M,0.00,-451.00M,,-1.458B,-1.380B,2.921B,3.445B,-524.00M,,-0.53,-0.18,0.00,,-0.4972,-0.53,,-0.53,-0.18,-0.0029,,-0.4995,-0.53,,2.765B,2.97B,0.385,,AOR,Restated
2003-09,17.06B,17.06B,5.706B,11.36B,4.891B,220.00M,,,,-141.00M,8.166B,3.191B,,,,578.00M,,2.544B,758.00M,1.786B,5.00M,,-410.00M,,1.791B,1.632B,6.607B,3.411B,3.191B,,0.65,0.00,,,0.5940,0.65,,0.64,0.00,,,0.5847,0.64,,2.759B,2.791B,0.385,,,
2003-06,16.83B,16.83B,5.042B,11.79B,5.673B,5.00M,,,,,9.057B,2.73B,,,,172.00M,,1.839B,573.00M,1.266B,-928.00M,,-380.00M,,338.00M,1.263B,6.114B,3.384B,2.73B,,0.46,-0.34,,,0.4588,0.12,,0.46,-0.34,,,0.4588,0.12,,2.754B,2.786B,0.385,,,
2003-03,16.49B,16.49B,5.124B,11.37B,4.292B,18.00M,,,,,7.659B,3.707B,,,,166.00M,,2.834B,924.00M,1.91B,-7.00M,503.00M,-342.00M,,2.406B,1.898B,7.074B,3.367B,3.707B,,0.70,0.18,0.00,,0.6956,0.88,,0.69,0.18,0.1809,,0.6856,0.87,,2.748B,2.78B,0.385,,,
2002-12,16.91B,16.91B,4.971B,11.94B,5.883B,2.784B,,,,,12.02B,-82.00M,,,,58.00M,,2.983B,-668.00M,3.651B,43.00M,0.00,-382.00M,,2.29B,576.60M,1.839B,3.387B,-1.548B,,0.82,0.01,0.00,,0.2099,0.83,,0.81,0.01,0.0002,,0.2428,0.83,,2.738B,2.945B,0.385,,,Restated
2002-09,17.11B,17.11B,5.135B,11.98B,5.204B,2.787B,,,,-2.527B,5.964B,6.014B,,,,2.974B,,5.34B,925.00M,4.415B,-10.00M,,-389.00M,,4.405B,2.111B,9.301B,3.287B,6.014B,,1.62,-0.01,,,0.7766,1.61,,1.61,-0.01,,,0.7718,1.60,,2.732B,2.749B,0.385,,,
2002-06,16.75B,16.75B,4.951B,11.80B,5.793B,-2.80B,,,,,9.115B,2.686B,,,,-3.352B,,-1.754B,323.00M,-2.077B,-38.00M,,-372.00M,,-2.115B,-397.00M,6.008B,3.288B,2.686B,,-0.76,-0.01,,,-0.1437,-0.77,,-0.76,-0.01,,,-0.1437,-0.77,,2.726B,2.726B,0.385,,,
2002-03,16.43B,16.43B,4.874B,11.56B,4.945B,-1.276B,,,,-220.00M,8.045B,3.511B,,,,-1.276B,,958.00M,963.00M,-5.00M,,-496.00M,-243.00M,,-501.00M,760.60M,6.831B,3.32B,3.511B,,-0.18,0.00,0.00,,0.1016,-0.18,,-0.18,0.00,-0.1824,,0.1016,-0.18,,2.719B,2.719B,0.385,,,
2001-12,16.53B,16.53B,-8.399B,24.93B,,-412.00M,,,,,24.20B,738.00M,,,,-2.155B,,-1.365B,42.00M,-1.407B,,0.00,-92.00M,,-2.037B,-1.785B,-1.092B,3.361B,-4.453B,,-0.75,0.07,0.00,,-0.6590,-0.76,,-0.75,0.07,0.0000,,-0.6596,-0.76,,2.716B,2.733B,0.385,,,Restated
2001-09,17.00B,17.00B,9.925B,7.079B,,-44.00M,,,,,3.402B,3.677B,,,,98.00M,,2.867B,984.00M,1.883B,,,-226.00M,,1.875B,1.912B,7.079B,3.402B,3.677B,,0.69,0.00,,-0.0030,0.7007,0.69,,0.69,0.00,,-0.0030,0.7006,0.69,,2.712B,2.735B,0.385,,,
2001-06,16.91B,16.91B,9.713B,7.196B,,20.00M,,,,-5.00M,3.395B,3.801B,,,,-3.644B,,-904.00M,117.00M,-1.021B,,,-209.00M,,-1.021B,-1.033B,7.201B,3.40B,3.801B,,-0.38,0.00,,,-0.3844,-0.38,,-0.38,0.00,,,-0.3844,-0.38,,2.707B,2.707B,0.385,,,
2001-03,16.27B,16.27B,9.299B,6.967B,,-99.00M,,,,,3.36B,3.607B,,,,117.00M,,2.758B,1.004B,1.754B,,-182.00M,-98.00M,,1.572B,1.817B,6.967B,3.36B,3.607B,,0.65,-0.07,0.00,,0.6733,0.58,,0.65,-0.07,-0.0673,,0.6731,0.58,,2.704B,2.725B,0.385,,,
2000-12,16.87B,16.87B,10.28B,6.597B,,3.817B,,,,,7.011B,-414.00M,,,,33.00M,,2.554B,852.00M,1.702B,,0.00,-39.00M,2.00M,1.912B,-841.67M,2.817B,3.231B,-414.00M,,0.65,0.05,0.00,0.0774,-0.2877,0.70,,0.64,0.05,-0.0000,0.0774,-0.2975,0.70,,2.713B,2.713B,0.385,,,
2000-09,16.53B,16.53B,9.605B,6.928B,,1.658B,,,,-1.227B,1.986B,4.942B,,,,1.929B,,4.662B,2.022B,2.64B,,,-142.00M,,3.466B,1.645B,8.161B,3.219B,4.942B,,0.97,0.31,,0.3050,0.6026,1.28,,0.97,0.30,,0.3035,0.6045,1.27,,2.708B,2.722B,0.385,,,
2000-06,16.77B,16.77B,11.39B,5.377B,,3.522B,,,,-2.456B,768.00M,4.609B,,,,6.805B,,8.092B,3.188B,4.904B,,,-9.00M,,4.904B,2.770B,7.833B,3.22B,4.609B,,1.80,0.00,,,1.015,1.80,,1.79,0.00,,,1.013,1.79,,2.718B,2.747B,0.3849,,,
2000-03,14.53B,14.53B,8.21B,6.322B,,-488.00M,,,,-97.00M,2.494B,3.828B,,,,-488.00M,,2.511B,947.00M,1.564B,,-40.00M,-26.00M,8.00M,1.515B,1.868B,6.419B,2.591B,3.828B,,0.56,-0.01,0.00,-0.0033,0.6715,0.55,,0.56,-0.01,-0.0147,-0.0033,0.6703,0.55,,2.725B,2.756B,0.385,,,
1999-12,15.26B,15.26B,8.776B,6.489B,,-434.00M,,,,,2.607B,3.882B,,,,-434.00M,,2.764B,1.026B,1.738B,,,-8.00M,,1.738B,2.011B,6.489B,2.607B,3.882B,,0.64,0.00,,-0.0000,0.7397,0.64,,0.62,0.00,,-0.0000,0.7184,0.62,,2.736B,2.774B,0.385,,,
1999-09,14.66B,14.66B,6.551B,8.104B,,903.00M,,,,,4.31B,3.794B,,,,903.00M,,4.034B,1.496B,2.538B,,,-50.00M,,2.538B,1.970B,8.104B,2.455B,3.794B,,0.92,0.00,,,0.7131,0.92,,0.91,0.00,,,0.7061,0.91,,2.746B,2.786B,0.385,,,
1999-06,14.51B,14.51B,8.464B,6.049B,,127.00M,,,,,2.425B,3.624B,,,,127.00M,,3.085B,1.137B,1.948B,,,-53.00M,,1.942B,1.868B,6.985B,3.361B,3.624B,,0.71,0.00,,-0.0022,0.6807,0.71,,0.70,0.00,,-0.0022,0.6711,0.70,,2.739B,2.775B,0.385,,,
1999-03,7.967B,7.967B,2.367B,5.60B,2.018B,63.00M,,,,,3.522B,2.078B,,,,63.00M,,1.816B,674.00M,1.142B,,,-22.00M,,1.142B,1.102B,3.582B,1.467B,2.078B,,0.74,0.00,,,0.7145,0.74,,0.72,0.00,,,0.6950,0.72,,1.553B,1.582B,0.385,,,
1998-12,8.077B,8.077B,2.647B,5.43B,2.054B,64.00M,,,,,3.598B,1.832B,,,,64.00M,,1.599B,538.00M,1.061B,,,,,1.059B,1.019B,7.151B,5.319B,1.832B,,0.66,0.00,,-0.0013,0.6328,0.66,,0.65,0.00,,-0.0013,0.6232,0.65,,1.563B,1.586B,0.385,,,
1998-09,7.91B,7.91B,2.518B,5.392B,2.792B,-416.00M,,,,,4.262B,1.13B,,,,-416.00M,,355.00M,362.00M,-7.00M,,,,,-8.00M,242.60M,2.60B,1.47B,1.13B,,-0.01,0.00,,-0.0006,0.1504,-0.01,,-0.01,0.00,,-0.0006,0.1478,-0.01,,1.556B,1.582B,0.385,,,
1998-06,7.928B,7.928B,2.116B,5.812B,2.414B,16.00M,,,,,3.859B,1.953B,,,,16.00M,,1.606B,579.00M,1.027B,,,,,1.021B,1.017B,3.428B,1.475B,1.953B,,0.66,0.00,,-0.0039,0.6534,0.66,,0.65,0.00,,-0.0039,0.6435,0.65,,1.547B,1.571B,0.385,,,
1998-03,7.651B,7.651B,1.882B,5.769B,2.304B,36.60M,,,,371.90M,4.057B,1.712B,,,,36.60M,,1.439B,529.00M,909.60M,,,,,893.40M,886.46M,3.093B,1.381B,1.712B,,0.59,-0.01,,-0.0105,0.5750,0.58,,0.58,-0.01,,-0.0105,0.5652,0.57,,1.540B,1.567B,0.385,,,
1997-12,7.696B,7.696B,2.342B,5.354B,2.090B,129.00M,,,,354.50M,3.740B,1.614B,,,,129.00M,,1.432B,491.80M,940.00M,,,,,940.00M,855.31M,2.909B,1.295B,1.614B,,0.60,0.00,,,0.5463,0.60,,0.60,0.00,,,0.5463,0.60,,1.577B,1.577B,0.385,,,
1997-09,7.374B,7.374B,2.416B,4.958B,2.338B,-134.50M,,,,475.20M,4.537B,421.00M,,,,-134.50M,,-11.60M,68.50M,-80.10M,,,,,-80.10M,0.60M,2.198B,1.776B,421.00M,,-0.05,0.00,,,0.0004,-0.05,,-0.05,0.00,,,0.0004,-0.05,,1.602B,1.602B,0.385,,,
1997-06,7.708B,7.708B,1.992B,5.716B,2.149B,-96.80M,,,,382.20M,3.868B,1.848B,,,,-96.80M,,1.46B,563.20M,896.80M,,,,,896.80M,956.26M,3.185B,1.337B,1.848B,,0.58,0.00,,,0.6480,0.58,,0.57,0.00,,,0.6380,0.57,,874.95M,874.95M,0.385,,,
1997-03,7.416B,7.416B,1.747B,5.669B,2.470B,-25.10M,,,,395.00M,4.211B,1.458B,,,,-25.10M,,1.104B,405.70M,698.20M,,,,,698.20M,714.08M,2.804B,1.346B,1.458B,,0.45,0.00,,,0.4681,0.45,,0.45,0.00,,,0.4681,0.45,,875.52M,875.52M,0.37,,,
1996-12,7.405B,7.405B,2.209B,5.196B,2.112B,-71.90M,,,,367.60M,3.730B,1.466B,,,,-71.90M,,1.125B,387.80M,737.30M,,0.00,,,737.30M,784.42M,2.717B,1.251B,1.466B,,0.48,0.00,0.00,,0.5379,0.48,,0.46,0.00,-0.0002,,0.5179,0.46,,813.40M,813.40M,0.36,,,
1996-09,7.377B,7.377B,1.806B,5.571B,2.182B,-20.10M,,,,390.60M,3.904B,1.667B,,,,-20.10M,,1.381B,508.90M,871.80M,,,,,871.80M,884.49M,4.427B,2.760B,1.667B,,0.57,0.00,,,0.5830,0.57,,0.57,0.00,,,0.5828,0.57,,974.55M,994.64M,0.36,,,
1996-06,3.224B,3.224B,850.60M,2.373B,981.80M,92.20M,,,,,1.621B,752.40M,,,,92.20M,,724.80M,261.10M,463.70M,,,,,463.70M,404.71M,1.391B,638.80M,752.40M,,0.53,0.00,,,0.4626,0.53,,0.53,0.00,,,0.4626,0.53,,874.91M,874.91M,0.36,,,
1996-03,3.208B,3.208B,982.40M,2.225B,788.00M,69.30M,,,,,1.417B,808.30M,,,,69.30M,,756.80M,286.30M,470.50M,,,,,470.50M,427.42M,1.437B,628.90M,808.30M,,0.45,0.00,,,0.4088,0.45,,0.44,0.00,,,0.3997,0.44,,1.046B,1.069B,0.36,,,
1995-12,17.65B,17.65B,4.115B,13.54B,5.682B,-32.10M,,,,,10.51B,3.024B,,,,-32.10M,,2.147B,787.60M,1.360B,,,,,-1.563B,1.380B,6.266B,3.242B,3.024B,,0.17,-1.92,,,0.1933,-1.75,,0.16,-1.92,,,0.1833,-1.75,,872.86M,872.86M,0.35,,,
1995-09,3.261B,3.261B,864.60M,2.396B,1.035B,391.60M,,,,,1.677B,719.40M,,,,391.60M,,977.10M,372.30M,604.80M,,,,,604.80M,362.41M,1.362B,642.50M,719.40M,,0.69,0.00,,,0.4135,0.69,,0.69,0.00,,,0.4135,0.69,,876.52M,876.52M,0.35,,,
1995-06,3.564B,3.564B,979.10M,2.585B,1.061B,28.30M,,,,,1.742B,843.00M,,,,28.30M,,723.60M,276.50M,447.10M,,,,,447.10M,429.61M,1.525B,681.70M,843.00M,,0.51,0.00,,,0.4901,0.51,,0.51,0.00,,,0.4901,0.51,,876.67M,876.67M,0.35,,,
1995-03,3.450B,3.450B,916.30M,2.533B,1.034B,-5.60M,,,,,1.702B,831.50M,,,,-5.60M,,687.00M,272.50M,414.50M,,,,,414.50M,417.88M,1.499B,667.70M,831.50M,,0.48,0.00,,,0.4839,0.48,,0.48,0.00,,,0.4839,0.48,,863.54M,863.54M,0.35,,,
1994-12,3.609B,3.609B,688.70M,2.920B,1.573B,-4.80M,,,,,2.253B,667.30M,,,,-4.80M,,517.80M,202.90M,314.90M,,0.00,,,314.90M,317.82M,1.347B,679.70M,667.30M,,0.22,1.03,0.00,-0.0000,0.2233,1.25,,0.22,1.03,-0.0125,-0.0000,0.2233,1.25,,876.80M,876.80M,0.345,,,
1994-09,3.415B,3.415B,1.236B,2.179B,913.40M,2.50M,,,,,1.588B,591.00M,,,,2.50M,,439.90M,164.20M,275.70M,,-2.15B,,,-1.874B,274.13M,1.266B,674.70M,591.00M,,0.32,-2.46,-0.0000,,0.3182,-2.14,,0.32,-2.46,-2.455,,0.3182,-2.14,,875.84M,875.84M,0.345,,,
1994-06,3.394B,3.394B,1.029B,2.365B,918.70M,52.80M,,,,,1.568B,797.50M,,,,52.80M,,710.00M,294.60M,415.40M,,,,,415.40M,383.72M,1.447B,649.10M,797.50M,,0.48,0.00,,,0.4434,0.48,,0.48,0.00,,,0.4434,0.48,,865.42M,865.42M,0.345,,,
1994-03,3.373B,3.373B,1.048B,2.325B,927.90M,13.80M,,,,,1.576B,748.80M,,,,13.80M,,619.10M,223.20M,395.90M,,,,,389.20M,387.08M,1.397B,648.60M,748.80M,,0.46,-0.01,,-0.0077,0.4498,0.45,,0.46,-0.01,,-0.0077,0.4498,0.45,,864.89M,864.89M,0.345,,,
1993-12,3.317B,3.317B,1.019B,2.298B,1.041B,29.10M,,,,,1.691B,607.20M,,,,29.10M,,495.00M,157.80M,337.20M,,-85.00M,,,248.10M,317.38M,1.257B,649.80M,607.20M,,-0.43,-1.32,0.00,-0.0044,-0.4528,-1.75,,-0.43,-1.32,-0.0978,-0.0044,-0.4528,-1.75,,868.65M,868.65M,0.335,,,
1993-09,3.290B,3.290B,1.037B,2.253B,875.20M,25.20M,,,,,1.532B,720.70M,,,,25.20M,,594.50M,207.80M,386.70M,,,,,378.50M,370.31M,1.378B,657.10M,720.70M,,0.45,-0.01,,-0.0095,0.4309,0.44,,0.45,-0.01,,-0.0095,0.4309,0.44,,860.23M,860.23M,0.335,,,
1993-06,3.220B,3.220B,998.00M,2.222B,831.80M,0.70M,,,,,1.470B,752.20M,,,,0.70M,,592.70M,207.20M,385.50M,,,,,362.60M,385.04M,1.390B,638.10M,752.20M,,0.44,-0.03,,-0.0259,0.4395,0.41,,0.44,-0.03,,-0.0259,0.4395,0.41,,884.39M,884.39M,0.335,,,
1993-03,3.163B,3.163B,974.00M,2.189B,871.70M,33.10M,,,,,1.472B,717.50M,,,,33.10M,,591.40M,219.20M,372.20M,,65.20M,,,414.20M,351.37M,1.318B,600.10M,717.50M,,0.43,0.05,0.00,-0.0269,0.4059,0.48,,0.43,0.05,0.0756,-0.0269,0.4059,0.48,,862.92M,862.92M,0.335,,,
1992-12,3.254B,3.254B,1.004B,2.250B,1.135B,42.30M,,,,,1.732B,518.10M,,,,42.30M,,398.10M,70.60M,327.50M,,,,,317.30M,292.70M,1.115B,597.20M,518.10M,,0.39,-0.01,,-0.0122,0.3484,0.38,,0.39,-0.01,,-0.0122,0.3484,0.38,,835.79M,835.79M,0.325,,,
1992-09,3.167B,3.167B,1.009B,2.158B,876.50M,103.80M,,,,,1.490B,668.20M,,,,103.80M,,602.20M,209.30M,392.90M,,,,,386.60M,325.18M,1.282B,613.30M,668.20M,,0.46,-0.01,,-0.0073,0.3812,0.45,,0.46,-0.01,,-0.0073,0.3812,0.45,,859.11M,859.11M,0.325,,,
1992-06,3.149B,3.149B,973.70M,2.175B,921.30M,22.90M,,,,,1.525B,650.00M,,,,22.90M,,495.10M,180.20M,314.90M,,,,,298.10M,300.33M,1.265B,615.30M,650.00M,,0.37,-0.02,,-0.0197,0.3529,0.35,,0.37,-0.02,,-0.0197,0.3529,0.35,,851.71M,851.71M,0.325,,,
1992-03,3.019B,3.019B,939.90M,2.079B,818.60M,45.20M,,,,,1.410B,669.10M,,,,45.20M,,550.20M,183.40M,366.80M,,,,,358.50M,336.67M,1.261B,591.60M,669.10M,,0.47,-0.01,,-0.0106,0.4313,0.46,,0.47,-0.01,,-0.0106,0.4313,0.46,,779.35M,779.35M,0.325,,,
1991-12,3.099B,3.099B,1.012B,2.087B,989.30M,47.20M,,,,,1.594B,493.10M,,,,47.20M,,360.10M,119.90M,240.20M,,,,,240.20M,208.72M,1.097B,604.20M,493.10M,,0.31,0.00,,,0.2694,0.31,,0.31,0.00,,,0.2694,0.31,,776.14M,776.14M,0.315,,,
1991-09,3.104B,3.104B,986.00M,2.118B,899.80M,87.20M,,,,,1.470B,647.60M,,,,87.20M,,560.60M,177.90M,382.70M,,,,,382.70M,323.17M,1.218B,570.60M,647.60M,,0.49,0.00,,,0.4138,0.49,,0.49,0.00,,,0.4138,0.49,,781.02M,781.02M,0.315,,,
1991-06,3.081B,3.081B,975.80M,2.106B,842.10M,11.20M,,,,,1.406B,700.10M,,,,11.20M,,535.30M,180.20M,355.10M,,,,,355.10M,347.67M,1.264B,563.40M,700.10M,,0.46,0.00,,,0.4504,0.46,,0.46,0.00,,,0.4504,0.46,,771.96M,771.96M,0.315,,,
1991-03,2.996B,2.996B,962.80M,2.033B,787.80M,30.40M,,,,,1.348B,684.60M,,,,30.40M,,540.40M,186.80M,353.60M,,,,,353.60M,333.71M,1.245B,560.50M,684.60M,,0.46,0.00,,,0.4341,0.46,,0.46,0.00,,,0.4341,0.46,,768.70M,768.70M,0.315,,,
1990-12,3.105B,3.105B,971.50M,2.134B,964.00M,-36.30M,,,,,1.556B,577.90M,,,,-36.30M,,353.30M,117.30M,236.00M,,,,,236.00M,260.25M,1.170B,591.80M,577.90M,,0.32,0.00,,,0.3524,0.32,,0.32,0.00,,,0.3524,0.32,,749.21M,749.21M,0.295,,,
1990-09,3.099B,3.099B,934.60M,2.164B,891.30M,19.20M,,,,,1.481B,682.90M,,,,19.20M,,534.60M,176.20M,358.40M,,,,,358.40M,345.53M,1.273B,589.90M,682.90M,,0.46,0.00,,,0.4435,0.46,,0.46,0.00,,,0.4435,0.46,,779.13M,779.13M,0.295,,,
1990-06,3.076B,3.076B,941.30M,2.134B,849.10M,21.90M,,,,,1.448B,686.20M,,,,21.90M,,551.10M,188.30M,362.80M,,,,,362.80M,348.38M,1.285B,598.90M,686.20M,,0.46,0.00,,,0.4417,0.46,,0.46,0.00,,,0.4417,0.46,,788.70M,788.70M,0.295,,,
1990-03,3.019B,3.019B,913.70M,2.105B,845.70M,27.40M,,,,,1.442B,662.60M,,,,27.40M,,543.10M,187.80M,355.30M,,,,,355.30M,337.37M,1.259B,596.60M,662.60M,,0.45,0.00,,,0.4273,0.45,,0.45,0.00,,,0.4273,0.45,,789.56M,789.56M,0.295,,,
1989-12,2.889B,2.889B,,,,,,,,,,-6.547B,,,,,,,,57.90M,,,,,57.90M,,-6.547B,,-6.547B,,,,,,,,,,,,,,,,788.91M,788.91M,0.275,,,
1989-09,2.909B,2.909B,,,,,,,,,,2.909B,,,,,,,,344.10M,,,,,344.10M,,2.909B,,2.909B,,0.43,0.00,,,0.43,0.43,,0.43,0.00,,,0.43,0.43,,790.80M,790.80M,0.275,,,
1989-06,2.882B,2.882B,,,,,,,,,,2.882B,,,,,,,,341.70M,,,,,341.70M,,2.882B,,2.882B,,0.44,0.00,,,0.44,0.44,,0.44,0.00,,,0.44,0.44,,785.37M,785.37M,0.275,,,
1989-03,2.768B,2.768B,,,,,,,,,,2.768B,,,,,,,,330.80M,,,,,330.80M,,2.768B,,2.768B,,0.42,0.00,,,0.42,0.42,,0.42,0.00,,,0.42,0.42,,787.20M,787.20M,0.275,,,
1988-12,2.772B,2.772B,,,,,,,,,,-5.864B,,,,,,,,302.60M,,,,,302.60M,,-5.864B,,-5.864B,,,,,,,,,,,,,,,,788.06M,788.06M,0.255,,,
1988-09,2.755B,2.755B,,,,,,,,,,2.755B,,,,,,,,341.00M,,,,,341.00M,,2.755B,,2.755B,,0.43,0.00,,,0.43,0.43,,0.43,0.00,,,0.43,0.43,,791.64M,791.64M,0.255,,,
1988-06,2.720B,2.720B,,,,,,,,,,2.720B,,,,,,,,344.10M,,,,,344.10M,,2.720B,,2.720B,,0.44,0.00,,,0.44,0.44,,0.44,0.00,,,0.44,0.44,,792.37M,792.37M,0.255,,,
1988-03,2.634B,2.634B,,,,,,,,,,2.634B,,,,,,,,329.10M,,,,,329.10M,,2.634B,,2.634B,,0.42,0.00,,,0.42,0.42,,0.42,0.00,,,0.42,0.42,,792.70M,792.70M,0.255,,,
1987-12,2.603B,2.603B,,,,,,,,,,-5.349B,,,,,,,,285.00M,,,,,285.00M,,-5.349B,,-5.349B,,,,,,,,,,,,,,,,792.37M,792.37M,0.24,,,
1987-09,2.59B,2.59B,,,,,,,,,,2.59B,,,,,,,,321.80M,,,,,321.80M,,2.59B,,2.59B,,0.41,0.00,,,0.41,0.41,,0.41,0.00,,,0.41,0.41,,794.12M,794.12M,0.24,,,
1987-06,2.640B,2.640B,,,,,,,,,,2.640B,,,,,,,,326.10M,,,,,326.10M,,2.640B,,2.640B,,0.41,0.00,,,0.41,0.41,,0.41,0.00,,,0.41,0.41,,795.27M,795.27M,0.24,,,
1987-03,2.465B,2.465B,,,,,,,,,,2.465B,,,,,,,,307.50M,,,,,307.50M,,2.465B,,2.465B,,0.39,0.00,,,0.39,0.39,,0.39,0.00,,,0.39,0.39,,795.88M,795.88M,0.24,,,
1986-12,2.603B,2.603B,,,,,,,,,,-4.854B,,,,,,,,271.90M,,,,,271.90M,,-4.854B,,-4.854B,,,,,,,,,,,,,,,,798.98M,798.98M,0.225,,,
1986-09,2.486B,2.486B,,,,,,,,,,2.486B,,,,,,,,297.90M,,,,,297.90M,,2.486B,,2.486B,,0.38,0.00,,,0.38,0.38,,0.38,0.00,,,0.38,0.38,,797.35M,797.35M,0.225,,,
1986-06,2.473B,2.473B,,,,,,,,,,2.473B,,,,,,,,307.40M,,,,,307.40M,,2.473B,,2.473B,,0.39,0.00,,,0.39,0.39,,0.39,0.00,,,0.39,0.39,,798.98M,798.98M,0.225,,,
1986-03,2.359B,2.359B,,,,,,,,,,2.359B,,,,,,,,289.90M,,,,,289.90M,,2.359B,,2.359B,,0.37,0.00,,,0.37,0.37,,0.37,0.00,,,0.37,0.37,,799.20M,799.20M,0.225,,,
1985-12,2.327B,2.327B,,,,,,,,,,-4.433B,,,,,,,,269.70M,,,,,269.70M,,-4.433B,,-4.433B,,,,,,,,,,,,,,,,798.98M,798.98M,0.2125,,,
1985-09,2.330B,2.330B,,,,,,,,,,2.330B,,,,,,,,284.90M,,,,,284.90M,,2.330B,,2.330B,,0.36,0.00,,,0.36,0.36,,0.36,0.00,,,0.36,0.36,,796.93M,796.93M,,,,
1985-06,2.31B,2.31B,,,,,,,,,,2.31B,,,,,,,,283.00M,,,,,283.00M,,2.31B,,2.31B,,0.36,0.00,,,0.36,0.36,,0.36,0.00,,,0.36,0.36,,796.93M,796.93M,,,,
1985-03,2.12B,2.12B,,,,,,,,,,2.12B,,,,,,,,255.30M,,,,,255.30M,,2.12B,,2.12B,,0.32,0.00,,,0.32,0.32,,0.32,0.00,,,0.32,0.32,,796.93M,796.93M,,,,
1984-12,2.102B,2.102B,,,,,,,,,,-3.880B,,,,,,,,241.50M,,,,,241.50M,,-3.880B,,-3.880B,,,,,,,,,,,,,,,,796.93M,796.93M,,,,
1984-09,2.007B,2.007B,,,,,,,,,,2.007B,,,,,,,,249.50M,,,,,249.50M,,2.007B,,2.007B,,0.32,0.00,,,0.32,0.32,,0.32,0.00,,,0.32,0.32,,792.25M,792.25M,,,,
1984-06,2.022B,2.022B,,,,,,,,,,2.022B,,,,,,,,246.70M,,,,,246.70M,,2.022B,,2.022B,,0.32,0.00,,,0.32,0.32,,0.32,0.00,,,0.32,0.32,,792.25M,792.25M,,,,
1984-03,1.959B,1.959B,,,,,,,,,,1.959B,,,,,,,,235.40M,,,,,235.40M,,1.959B,,1.959B,,0.31,0.00,,,0.31,0.31,,0.31,0.00,,,0.31,0.31,,792.25M,792.25M,,,,
