,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,1.75B,,1.75B,23.10B,23.10B,1.102B,4.925B,,,30.88B,,,,,,,,249.29B,-161.51B,87.78B,29.20B,103.72B,132.92B,787.00M,10.94B,232.43B,263.30B,,,,,,,,18.56B,,,,5.466B,,5.466B,,,8.303B,32.33B,109.17B,,109.17B,35.07B,35.07B,19.96B,1.551B,13.20B,177.40B,209.73B,,429.00M,41.66B,13.44B,6.99B,,,,3.205B,52.02B,,AOR,Restated
2018-03,1.923B,,1.923B,22.60B,22.60B,1.285B,5.222B,,,31.02B,,,,,,,,246.88B,-158.96B,87.92B,29.12B,103.69B,132.81B,994.00M,11.76B,233.49B,264.52B,,,,,,,,17.05B,,,,6.323B,,6.323B,,,8.24B,31.62B,112.73B,,112.73B,34.41B,34.41B,20.69B,1.564B,12.72B,180.56B,212.17B,,429.00M,39.97B,13.44B,6.992B,,,,3.705B,50.78B,,AOR,Restated
2017-12,2.079B,,2.079B,23.49B,23.49B,1.034B,3.307B,,,29.91B,0.00,806.00M,28.91B,202.24B,,6.139B,8.394B,246.50B,-157.93B,88.57B,29.17B,98.66B,127.84B,1.039B,9.787B,227.23B,257.14B,,7.063B,2.429B,1.483B,,10.98B,12.69B,23.66B,,,,3.453B,,3.453B,4.05B,4.05B,1.873B,33.04B,113.64B,,113.64B,31.23B,31.23B,22.11B,1.591B,12.43B,179.42B,212.46B,,424.00M,35.64B,11.10B,7.139B,,,,2.659B,43.10B,,AOR,Restated
2017-09,4.487B,,4.487B,21.55B,21.55B,1.276B,3.28B,,,30.87B,,,,,,,,242.61B,-155.99B,86.62B,28.72B,98.88B,127.60B,1.054B,8.538B,223.82B,254.68B,,,,,,,,18.43B,,,,2.18B,,2.18B,,,8.316B,28.93B,115.32B,,115.32B,48.34B,48.34B,21.13B,1.603B,12.51B,197.30B,226.23B,,424.00M,19.37B,11.10B,7.141B,,,,2.683B,26.85B,,AOR,Restated
2017-06,4.583B,,4.583B,19.77B,19.77B,1.116B,3.353B,,,28.82B,,,,,,,,239.23B,-152.70B,86.52B,28.53B,99.15B,127.67B,1.075B,8.885B,224.16B,252.98B,,,,,,,,17.82B,,,,1.153B,,1.153B,,,8.78B,27.76B,116.39B,,116.39B,47.51B,47.51B,21.78B,1.572B,12.79B,198.46B,226.22B,,424.00M,18.16B,11.10B,7.142B,,,,2.284B,25.19B,,AOR,Restated
2017-03,4.307B,,4.307B,16.86B,16.86B,1.194B,4.645B,,,27.16B,,,,,,,,235.55B,-150.34B,85.21B,27.63B,96.67B,124.30B,1.08B,8.984B,219.57B,246.73B,,,,,,,,14.83B,,,,3.707B,,3.707B,,,8.131B,26.66B,112.84B,,112.84B,47.85B,47.85B,22.08B,1.544B,12.26B,195.03B,221.69B,,424.00M,16.15B,11.16B,7.144B,,,,2.609B,23.49B,,AOR,Restated
2016-12,2.88B,,2.88B,17.51B,17.51B,1.202B,3.918B,,,26.40B,0.00,667.00M,27.12B,191.09B,,5.71B,7.627B,232.22B,-147.46B,84.75B,27.20B,95.57B,122.78B,1.11B,9.149B,217.78B,244.18B,,7.084B,2.375B,1.516B,,10.98B,10.99B,21.97B,168.00M,,2.477B,2.645B,,2.645B,2.914B,2.914B,2.813B,30.34B,105.43B,,105.43B,45.96B,45.96B,26.17B,1.508B,12.24B,189.81B,220.15B,,424.00M,15.06B,11.18B,7.263B,,,,2.673B,22.52B,,AOR,Restated
2016-09,6.441B,0.00,6.441B,14.83B,14.83B,1.318B,3.03B,,,25.62B,,,,,,,,228.91B,-145.50B,83.41B,25.97B,95.10B,121.07B,1.119B,8.275B,213.88B,239.50B,,,,,,,,18.00B,,,,3.852B,,3.852B,,,8.444B,30.30B,102.74B,,102.74B,44.62B,44.62B,28.28B,1.523B,11.58B,187.22B,217.52B,,424.00M,12.92B,11.18B,7.264B,,,,2.758B,20.46B,,AOR,Restated
2016-06,2.857B,0.00,2.857B,13.29B,13.29B,931.00M,3.445B,,,20.84B,,,,,,,,225.76B,-142.58B,83.17B,25.42B,94.38B,119.80B,822.00M,7.235B,211.03B,231.87B,,,,,,,,19.09B,,,,6.803B,,6.803B,,,8.515B,34.41B,92.92B,,92.92B,43.82B,43.82B,28.06B,1.50B,11.91B,176.72B,211.13B,,424.00M,11.65B,11.19B,7.279B,,,,2.847B,19.24B,,AOR,Restated
2016-03,5.846B,0.00,5.846B,12.48B,12.48B,1.142B,3.422B,,,23.62B,,,,,,,,222.67B,-139.66B,83.01B,25.36B,95.05B,120.41B,821.00M,16.73B,220.97B,244.59B,,,,,,,,18.12B,,,,6.265B,,6.265B,,,8.929B,33.31B,103.62B,,103.62B,45.57B,45.57B,29.66B,1.462B,11.35B,191.17B,224.48B,,424.00M,13.25B,11.19B,7.279B,,,,459.00M,18.64B,,AOR,Restated
2015-12,4.47B,350.00M,4.82B,13.46B,13.46B,1.252B,2.034B,,,22.36B,0.00,709.00M,25.59B,181.86B,,4.907B,7.104B,220.16B,-136.62B,83.54B,25.33B,94.17B,119.50B,796.00M,17.98B,221.82B,244.18B,,5.70B,2.323B,2.054B,,10.08B,11.61B,21.68B,158.00M,6.00M,6.325B,6.489B,,6.489B,2.969B,2.969B,3.909B,35.05B,103.24B,,103.24B,45.48B,45.48B,29.96B,1.414B,11.64B,191.28B,226.33B,,424.00M,11.25B,11.20B,7.416B,,,,550.00M,16.43B,,AOR,Restated
2015-09,3.875B,306.00M,4.181B,13.10B,13.10B,1.319B,2.268B,,,21.77B,,,,,,,,216.67B,-134.11B,82.56B,25.12B,94.65B,119.78B,779.00M,17.19B,220.30B,242.07B,,,,,,,,17.72B,,,,7.264B,,7.264B,,,9.507B,34.49B,105.06B,,105.06B,42.90B,42.90B,32.96B,1.404B,11.18B,193.04B,227.53B,,424.00M,8.156B,11.18B,7.604B,,,,600.00M,13.14B,,AOR,Restated
2015-06,3.008B,309.00M,3.317B,13.44B,13.44B,1.149B,2.818B,,,21.50B,,,,,,,,213.66B,-131.13B,82.53B,25.43B,94.30B,119.73B,794.00M,16.19B,219.25B,240.75B,,,,,,,,16.95B,,,,4.206B,,4.206B,,,9.486B,30.64B,109.46B,,109.46B,42.94B,42.94B,32.71B,1.459B,11.17B,197.23B,227.88B,,424.00M,6.418B,11.17B,7.741B,,,,821.00M,11.42B,,AOR,Restated
2015-03,4.386B,547.00M,4.933B,12.70B,12.70B,1.076B,3.236B,,,22.84B,,,,,,,,210.39B,-128.75B,81.64B,23.30B,81.47B,104.78B,762.00M,15.34B,212.95B,235.79B,,,,,,,,15.19B,,,,4.439B,,4.439B,,,9.085B,28.71B,108.95B,,108.95B,42.33B,42.33B,33.01B,1.42B,11.09B,196.32B,225.03B,,424.00M,4.422B,10.39B,7.093B,,,,916.00M,9.339B,,AOR,Restated
2014-12,10.60B,555.00M,11.15B,13.99B,13.99B,1.153B,2.648B,,,29.50B,0.00,763.00M,25.21B,193.58B,,4.58B,6.374B,230.51B,-140.56B,89.95B,24.64B,81.07B,105.71B,802.00M,5.739B,203.12B,232.62B,,5.598B,2.307B,1.457B,,9.362B,9.625B,18.99B,319.00M,19.00M,2.397B,2.735B,,2.735B,3.125B,3.125B,3.14B,27.99B,110.54B,,110.54B,41.56B,41.56B,33.28B,1.378B,5.574B,190.95B,218.94B,,424.00M,2.447B,11.16B,3.263B,,,,1.111B,12.30B,,AOR,Restated
2014-09,7.218B,635.00M,7.853B,13.28B,13.28B,1.206B,2.431B,,,24.77B,,,,,,,,230.45B,-140.52B,89.93B,24.62B,81.04B,105.66B,818.00M,5.112B,201.52B,226.29B,,,,,,,,17.06B,,,,1.603B,,1.603B,,,8.231B,26.89B,107.63B,,107.63B,42.29B,42.29B,25.77B,1.391B,5.75B,181.44B,208.32B,,424.00M,6.964B,11.09B,3.465B,,,,1.175B,16.58B,,AOR,Restated
2014-06,5.776B,648.00M,6.424B,12.97B,12.97B,1.073B,2.424B,,,22.89B,,,,,,,,227.48B,-137.76B,89.71B,24.66B,81.05B,105.71B,852.00M,5.262B,201.54B,224.43B,,,,,,,,16.52B,,,,2.283B,,2.283B,,,7.689B,26.49B,107.70B,,107.70B,42.03B,42.03B,26.34B,1.111B,5.857B,181.92B,208.42B,,424.00M,5.551B,11.04B,3.638B,,,,1.188B,14.90B,,AOR,Restated
2014-03,2.907B,637.00M,3.544B,12.13B,12.13B,881.00M,6.716B,,,23.27B,,,,,,,,223.84B,-134.78B,89.06B,24.65B,78.55B,103.20B,889.00M,5.146B,198.29B,221.56B,,,,,,,,14.98B,,,,2.152B,,2.152B,,,8.217B,25.35B,107.62B,,107.62B,41.60B,41.60B,26.98B,1.14B,6.167B,182.36B,207.71B,,424.00M,3.534B,10.98B,3.794B,,,,1.29B,12.71B,,AOR,Restated
2013-12,53.53B,601.00M,54.13B,12.44B,12.44B,1.02B,3.406B,,,70.99B,0.00,819.00M,23.86B,186.14B,,4.176B,5.877B,220.86B,-131.91B,88.96B,24.63B,81.55B,106.18B,3.432B,4.535B,203.10B,274.10B,,4.954B,1.539B,1.556B,,8.049B,9.943B,17.99B,0.00,447.00M,3.486B,3.933B,,3.933B,2.829B,2.829B,2.296B,27.05B,89.66B,,89.66B,28.64B,28.64B,27.68B,56.58B,5.653B,151.63B,178.68B,,297.00M,1.782B,37.94B,3.961B,,,,2.358B,38.84B,,,Restated
2013-09,56.71B,631.00M,57.34B,12.11B,12.11B,1.193B,3.06B,,,73.70B,,,,,,,,218.34B,-129.81B,88.53B,24.34B,82.24B,106.57B,3.423B,4.446B,202.97B,276.68B,,,,,,,,15.62B,,,,8.202B,,8.202B,,,6.467B,30.29B,90.94B,,90.94B,25.82B,25.82B,33.74B,55.28B,5.622B,156.12B,186.41B,,297.00M,-1.768B,37.92B,3.97B,,,,2.118B,34.98B,,,Restated
2013-06,1.788B,618.00M,2.406B,12.22B,12.22B,1.04B,6.295B,,,21.96B,,,,,,,,215.22B,-126.89B,88.33B,24.34B,81.60B,105.94B,3.319B,3.801B,201.39B,223.35B,,,,,,,,14.67B,,,,7.961B,,7.961B,,,6.559B,29.19B,41.79B,,41.79B,25.70B,25.70B,33.84B,53.10B,5.677B,107.00B,136.19B,,297.00M,-2.483B,37.90B,3.974B,,,,1.994B,34.06B,,,Restated
2013-03,5.475B,660.00M,6.135B,11.81B,11.81B,798.00M,6.511B,,,25.26B,,,,,,,,212.08B,-123.90B,88.18B,24.13B,81.47B,105.60B,3.321B,3.822B,200.93B,226.19B,,,,,,,,14.03B,,,,10.89B,,10.89B,,,6.571B,31.49B,41.99B,,41.99B,24.99B,24.99B,34.05B,54.28B,6.075B,107.11B,138.60B,,297.00M,-3.255B,37.89B,3.994B,,,,2.056B,33.31B,,,Restated
2012-12,3.093B,470.00M,3.563B,12.58B,12.58B,1.075B,4.021B,,,21.24B,0.00,859.00M,22.91B,176.28B,,4.126B,5.404B,209.58B,-120.93B,88.64B,24.14B,83.68B,107.82B,3.401B,4.128B,203.99B,225.22B,,4.454B,1.494B,1.561B,,7.509B,10.17B,17.68B,,500.00M,3.869B,4.369B,,4.369B,3.554B,3.554B,1.357B,26.96B,47.62B,,47.62B,24.68B,24.68B,34.35B,52.38B,6.092B,112.73B,139.69B,,297.00M,-3.734B,37.99B,4.071B,,,,2.235B,33.16B,,,Restated
2012-09,9.714B,593.00M,10.31B,12.03B,12.03B,1.223B,4.103B,,,27.66B,,,,,,,,217.00B,-129.18B,87.81B,24.05B,83.42B,107.47B,3.625B,4.515B,203.42B,231.08B,,,,,,,,16.00B,,,,6.335B,,6.335B,,,6.432B,28.77B,46.47B,,46.47B,26.47B,26.47B,30.90B,54.98B,5.839B,109.68B,138.45B,,297.00M,1.968B,37.96B,4.247B,,,,1.257B,37.64B,,AOR,
2012-06,10.00B,777.00M,10.78B,11.60B,11.60B,856.00M,3.901B,,,27.13B,,,,,,,,217.74B,-129.84B,87.90B,23.48B,79.03B,102.51B,3.539B,5.001B,198.94B,226.07B,,,,,,,,13.97B,,,,5.912B,,5.912B,,,6.468B,26.35B,46.48B,,46.48B,25.65B,25.65B,31.91B,53.28B,5.254B,109.29B,135.64B,,297.00M,1.845B,37.93B,4.438B,,,,1.147B,37.15B,,AOR,
2012-03,5.909B,623.00M,6.532B,11.23B,11.23B,1.063B,4.683B,,,23.51B,,,,,,,,218.25B,-130.06B,88.19B,23.46B,79.04B,102.50B,3.566B,5.154B,199.41B,222.92B,,,,,,13.23B,6.561B,19.79B,,,,3.121B,,3.121B,,,,22.91B,48.48B,,48.48B,25.61B,25.61B,32.16B,51.75B,5.337B,111.59B,134.50B,,297.00M,1.444B,37.93B,4.735B,,,,1.398B,36.67B,,AOR,
2011-12,13.36B,592.00M,13.95B,11.78B,11.78B,940.00M,4.269B,,,30.94B,0.00,862.00M,21.97B,184.35B,,3.417B,5.03B,215.63B,-127.19B,88.43B,23.36B,79.13B,102.48B,3.448B,5.155B,199.52B,230.46B,,4.194B,5.94B,1.078B,,11.21B,9.417B,20.63B,,1.934B,2.915B,4.849B,,4.849B,3.411B,3.411B,1.872B,30.76B,50.30B,,50.30B,25.06B,25.06B,32.96B,49.94B,5.472B,113.79B,144.55B,,297.00M,1.179B,37.92B,5.002B,,,,1.269B,35.97B,,,Restated
2011-09,10.32B,534.00M,10.86B,11.65B,11.65B,1.153B,4.111B,,,27.77B,,,,,,,,214.80B,-125.96B,88.84B,23.54B,79.12B,102.66B,3.461B,5.299B,200.26B,228.03B,,,,,,,,14.49B,,,,8.63B,,8.63B,,,11.52B,34.64B,46.28B,,46.28B,26.41B,26.41B,27.70B,48.46B,5.479B,105.88B,140.52B,,297.00M,4.619B,37.91B,5.112B,,,,1.037B,39.05B,,AOR,Restated
2011-06,6.24B,588.00M,6.828B,11.48B,11.48B,1.27B,2.891B,,,22.47B,,,,,,,,212.95B,-123.55B,89.40B,23.48B,79.10B,102.58B,3.908B,5.403B,201.28B,223.76B,,,,,,,,14.24B,,,,6.055B,,6.055B,,,7.081B,27.37B,47.93B,,47.93B,24.60B,24.60B,27.59B,51.36B,5.551B,105.67B,133.04B,,297.00M,4.656B,37.91B,5.132B,,,,1.354B,39.35B,,AOR,Restated
2011-03,14.01B,723.00M,14.73B,11.03B,11.03B,1.245B,2.92B,,,29.92B,,,,,,,,211.70B,-123.46B,88.24B,21.99B,78.70B,100.70B,3.732B,5.511B,198.18B,228.11B,,,,,,,,13.81B,,,,11.82B,,11.82B,,,7.114B,32.75B,49.37B,,49.37B,23.58B,23.58B,27.54B,49.88B,6.002B,106.50B,139.24B,,297.00M,4.427B,37.91B,5.189B,,,,1.293B,38.99B,,AOR,Restated
2010-12,6.668B,545.00M,7.213B,11.78B,11.78B,1.131B,2.223B,,,22.35B,0.00,865.00M,21.06B,180.54B,,4.375B,4.816B,211.66B,-123.94B,87.71B,21.99B,78.83B,100.81B,3.497B,5.635B,197.66B,220.00B,,3.936B,1.402B,1.157B,5.951B,12.45B,10.61B,23.06B,,0.00,7.542B,7.542B,,7.542B,,,,30.60B,45.25B,,45.25B,22.82B,22.82B,28.16B,48.34B,6.262B,102.50B,133.09B,,297.00M,4.368B,,5.267B,,,,1.049B,38.57B,,,Restated
2010-09,5.394B,581.00M,5.975B,11.97B,11.97B,1.01B,2.383B,,,21.34B,,,,,,,,217.86B,-130.43B,87.43B,,,100.57B,3.832B,7.682B,199.51B,220.85B,,22.96B,,,,22.96B,,22.96B,,,,5.81B,,5.81B,,,,28.77B,47.36B,,47.36B,21.77B,21.77B,31.92B,46.71B,6.414B,107.46B,136.23B,,297.00M,14.62B,,5.276B,,,,,37.92B,,,Restated
2010-06,4.761B,464.00M,5.225B,12.06B,12.06B,985.00M,2.793B,,,21.06B,,,,,,,,234.73B,-142.63B,92.10B,22.47B,78.76B,101.23B,3.797B,8.066B,205.19B,226.25B,,,,,,,,16.90B,,,,7.874B,,7.874B,,,7.055B,31.83B,49.59B,,49.59B,21.32B,21.32B,32.44B,45.22B,6.591B,109.94B,141.78B,,297.00M,15.12B,40.11B,5.277B,,,,-11.14B,39.25B,,AOR,Restated
2010-03,3.037B,520.00M,3.557B,11.97B,11.97B,1.113B,5.766B,,,22.40B,,,,,,,,231.77B,-139.94B,91.83B,22.47B,78.77B,101.24B,3.685B,8.185B,204.94B,227.35B,,,,,,,,14.57B,,,,7.129B,,7.129B,,,6.365B,28.06B,54.42B,,54.42B,21.66B,21.66B,31.77B,44.19B,6.773B,114.63B,142.70B,,297.00M,16.66B,40.11B,5.277B,,,,-11.44B,40.46B,,AOR,Restated
2009-12,2.009B,490.00M,2.499B,12.57B,12.57B,1.426B,5.247B,,,21.74B,0.00,925.00M,21.49B,198.44B,,4.194B,4.694B,229.74B,-137.76B,91.98B,22.47B,78.83B,101.30B,3.118B,8.756B,205.16B,226.91B,,4.337B,1.372B,1.444B,5.336B,12.49B,9.442B,21.93B,,1.10B,6.105B,7.205B,,7.205B,,,,29.14B,55.05B,,55.05B,19.19B,19.19B,32.62B,42.76B,6.765B,113.63B,142.76B,,297.00M,7.26B,,5.00B,,,,-1.372B,41.38B,,AOR,Restated
2009-09,1.216B,474.00M,1.69B,12.49B,12.49B,2.554B,5.29B,,,22.02B,,,,,,,,226.47B,-135.64B,90.83B,22.19B,78.85B,101.04B,3.808B,8.702B,204.38B,226.40B,,,,,,,,14.64B,,,,5.443B,,5.443B,,,7.219B,27.30B,57.37B,,57.37B,18.65B,18.65B,31.88B,41.40B,6.61B,114.52B,141.82B,,297.00M,19.59B,40.10B,4.834B,,,,-12.06B,43.19B,,AOR,Restated
2009-06,820.00M,360.00M,1.18B,12.17B,12.17B,2.775B,5.339B,,,21.46B,,,,,,,,224.15B,-133.85B,90.30B,,,101.13B,3.513B,8.591B,203.54B,225.00B,,20.93B,,,,20.93B,,20.93B,,,,5.44B,,5.44B,,,,26.37B,59.47B,,59.47B,17.74B,17.74B,32.16B,40.15B,6.442B,115.81B,142.18B,,297.00M,19.76B,,4.836B,,,,,42.67B,,,Restated
2009-03,3.979B,372.00M,4.351B,11.99B,11.99B,2.195B,3.343B,,,21.88B,,,,,,,,221.50B,-131.64B,89.86B,22.53B,78.17B,100.70B,3.574B,10.84B,204.97B,226.85B,,,,,,,,14.40B,,,,13.46B,,13.46B,,,7.207B,35.07B,55.67B,,55.67B,17.00B,17.00B,32.15B,38.70B,6.407B,111.23B,146.30B,,297.00M,19.59B,40.11B,4.837B,,,,-13.39B,41.85B,,AOR,Restated
2008-12,9.782B,509.00M,10.29B,11.70B,11.70B,2.092B,1.989B,,,26.08B,0.00,813.00M,20.08B,187.77B,,3.038B,3.903B,215.60B,-129.06B,86.55B,6.035B,67.17B,73.21B,8.174B,8.349B,176.28B,202.35B,,3.856B,1.334B,2.136B,,7.326B,2.951B,10.28B,,1.487B,3.506B,4.993B,,4.993B,2.651B,2.651B,3.114B,25.91B,46.96B,,46.96B,11.77B,11.77B,32.51B,37.20B,6.301B,97.54B,123.45B,,297.00M,19.25B,40.29B,4.839B,,,,-13.37B,41.71B,,AOR,Restated
2008-09,696.00M,978.00M,1.674B,11.72B,11.72B,2.485B,3.248B,,,19.13B,,,,,,,,214.38B,-128.69B,85.69B,6.124B,66.69B,72.81B,,27.23B,185.73B,204.86B,,13.72B,,,,13.72B,,13.72B,,,,7.297B,,7.297B,,,7.263B,28.28B,37.48B,,37.48B,17.41B,17.41B,,35.89B,34.85B,89.74B,118.02B,,297.00M,19.32B,40.29B,4.841B,,1.039B,-5.153B,-4.114B,50.95B,,,Restated
2008-06,582.00M,1.492B,2.074B,11.58B,11.58B,2.216B,2.122B,,,18.00B,,,,,,,,212.60B,-127.45B,85.16B,5.218B,65.40B,70.62B,,26.88B,182.65B,200.65B,,13.30B,,,,13.30B,,13.30B,,,,9.331B,,9.331B,,,7.27B,29.90B,33.78B,,33.78B,16.35B,16.35B,,34.63B,35.10B,85.23B,115.13B,,297.00M,18.96B,40.29B,4.591B,,,,-4.068B,50.89B,,,
