,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2011-09,2.889B,2.889B,998.00M,1.891B,736.00M,736.00M,217.00M,,60.00M,114.00M,-114.00M,,953.00M,938.00M,114.00M,-114.00M,60.00M,-114.00M,884.00M,330.00M,554.00M,,,,554.00M,516.40M,1.216B,218.00M,998.00M,1.61,0.0,,,1.5,1.61,1.59,0.0,,,1.482,1.59,343.20M,349.00M,0.43
2011-06,2.866B,2.866B,1.039B,1.827B,739.00M,739.00M,213.00M,,34.00M,113.00M,-113.00M,,952.00M,875.00M,113.00M,-113.00M,34.00M,-113.00M,796.00M,239.00M,557.00M,,,,557.00M,533.21M,1.124B,215.00M,909.00M,1.58,0.0,,,1.5119999999999998,1.58,1.56,0.0,,,1.493,1.56,351.00M,357.30M,0.4
2011-03,2.62B,2.62B,1.044B,1.576B,765.00M,765.00M,211.00M,,27.00M,112.00M,-112.00M,,976.00M,600.00M,112.00M,-112.00M,27.00M,-112.00M,515.00M,190.00M,325.00M,,,,325.00M,307.96M,840.00M,213.00M,627.00M,0.91,0.0,,,0.862,0.91,0.9,0.0,,,0.8527,0.9,355.20M,360.50M,0.4
2010-12,2.392B,2.392B,4.00B,-1.608B,,,-605.00M,,-218.00M,131.00M,-119.00M,,-2.375B,767.00M,131.00M,-119.00M,-86.00M,-119.00M,562.00M,160.00M,402.00M,,,,402.00M,557.94M,902.00M,209.00M,693.00M,1.11,,,,1.5430000000000001,1.11,1.09,,,,1.516,1.09,360.50M,365.80M,0.36
2010-09,2.456B,2.456B,826.00M,1.63B,680.00M,680.00M,204.00M,,81.00M,113.00M,-113.00M,,884.00M,746.00M,113.00M,-113.00M,81.00M,-113.00M,714.00M,269.00M,445.00M,,,,445.00M,394.52M,1.033B,206.00M,827.00M,1.21,0.0,,,1.072,1.21,1.19,0.0,,,1.054,1.19,366.30M,371.60M,0.36
2010-06,2.43B,2.43B,823.00M,1.607B,670.00M,670.00M,204.00M,,17.00M,115.00M,-115.00M,,874.00M,733.00M,115.00M,-115.00M,17.00M,-115.00M,635.00M,243.00M,392.00M,,,,392.00M,381.51M,955.00M,205.00M,750.00M,1.06,0.0,,,1.032,1.06,1.04,0.0,,,1.012,1.04,369.70M,375.10M,0.34
2010-03,2.238B,2.238B,780.00M,1.458B,699.00M,699.00M,204.00M,,20.00M,119.00M,-119.00M,,903.00M,555.00M,119.00M,-119.00M,20.00M,-119.00M,456.00M,199.00M,257.00M,,,,257.00M,244.00M,781.00M,206.00M,575.00M,0.69,0.0,,,0.6548,0.69,0.68,0.0,,,0.6453,0.68,369.50M,374.90M,0.34
2009-12,2.106B,2.106B,731.00M,1.375B,613.00M,613.00M,213.00M,,37.00M,119.00M,-119.00M,,826.00M,549.00M,119.00M,-119.00M,37.00M,-119.00M,467.00M,160.00M,307.00M,,,,307.00M,282.68M,801.00M,215.00M,586.00M,0.82,0.0,,,0.7539,0.82,0.82,0.0,,,0.7566,0.82,368.00M,383.45M,0.34
2009-09,2.063B,2.063B,693.00M,1.37B,598.00M,598.00M,210.00M,,37.00M,118.00M,-118.00M,,808.00M,562.00M,118.00M,-118.00M,37.00M,-118.00M,481.00M,178.00M,303.00M,,,2.00M,303.00M,279.69M,811.00M,212.00M,599.00M,0.82,0.0,,,0.7565,0.82,0.81,0.0,,,0.7474,0.81,367.30M,372.50M,0.34
2009-06,1.857B,1.857B,631.00M,1.226B,551.00M,551.00M,207.00M,,36.00M,113.00M,-113.00M,,758.00M,468.00M,113.00M,-113.00M,36.00M,-113.00M,391.00M,144.00M,247.00M,,,,247.00M,224.26M,713.00M,209.00M,504.00M,0.67,0.0,,,0.608,0.67,0.66,0.0,,,0.5988,0.66,366.80M,371.40M,0.34
2009-03,1.943B,1.943B,714.00M,1.229B,639.00M,639.00M,207.00M,,17.00M,117.00M,-117.00M,,846.00M,383.00M,117.00M,-117.00M,17.00M,-117.00M,283.00M,106.00M,177.00M,,,,177.00M,166.37M,609.00M,209.00M,400.00M,0.48,0.0,,,0.451,0.48,0.47,0.0,,,0.4413,0.47,366.20M,371.10M,0.34
2008-12,2.502B,2.502B,874.00M,1.628B,609.00M,609.00M,206.00M,,18.00M,112.00M,-112.00M,,815.00M,813.00M,112.00M,-112.00M,18.00M,-112.00M,719.00M,267.00M,452.00M,,,,452.00M,440.68M,1.04B,209.00M,831.00M,1.22,0.0,,,1.189,1.22,1.22,0.0,,,1.189,1.22,366.00M,370.78M,0.32
2008-09,2.894B,2.894B,1.091B,1.803B,708.00M,708.00M,201.00M,,39.00M,111.00M,-111.00M,,909.00M,894.00M,111.00M,-111.00M,39.00M,-111.00M,822.00M,302.00M,520.00M,,,,520.00M,495.33M,1.137B,204.00M,933.00M,1.39,0.0,,,1.324,1.39,1.37,0.0,,,1.305,1.37,372.50M,380.50M,0.32
2008-06,2.765B,2.765B,1.105B,1.66B,662.00M,662.00M,199.00M,,46.00M,112.00M,-112.00M,,861.00M,799.00M,112.00M,-112.00M,46.00M,-112.00M,733.00M,280.00M,453.00M,,,,453.00M,424.57M,1.047B,202.00M,845.00M,1.2,0.0,,,1.124,1.2,1.18,0.0,,,1.1059999999999999,1.18,375.40M,383.50M,0.29
2008-03,2.50B,2.50B,1.019B,1.481B,705.00M,705.00M,198.00M,,7.00M,109.00M,-109.00M,,903.00M,578.00M,109.00M,-109.00M,7.00M,-109.00M,476.00M,185.00M,291.00M,,,,291.00M,286.72M,785.00M,200.00M,585.00M,0.77,0.0,,,0.7586,0.77,0.76,0.0,,,0.7486,0.76,375.70M,375.70M,0.29
2007-12,2.454B,2.454B,948.00M,1.506B,623.00M,623.00M,197.00M,,-11.00M,108.00M,-63.00M,,820.00M,686.00M,108.00M,-63.00M,-11.00M,-63.00M,612.00M,213.00M,399.00M,,,,399.00M,406.17M,919.00M,199.00M,720.00M,1.03,0.0,,,1.0490000000000002,1.03,1.02,0.0,,,1.038,1.02,381.50M,389.70M,0.26
2007-09,2.353B,2.353B,859.00M,1.494B,619.00M,619.00M,194.00M,,31.00M,107.00M,-107.00M,,813.00M,681.00M,107.00M,-107.00M,31.00M,-107.00M,605.00M,219.00M,386.00M,,,,386.00M,366.22M,909.00M,197.00M,712.00M,0.99,0.0,,,0.9392,0.99,0.97,0.0,,,0.9202,0.97,389.00M,397.40M,0.26
2007-06,2.378B,2.378B,867.00M,1.511B,629.00M,629.00M,192.00M,,21.00M,111.00M,-111.00M,,821.00M,690.00M,111.00M,-111.00M,21.00M,-111.00M,600.00M,206.00M,394.00M,,,,394.00M,380.21M,907.00M,196.00M,711.00M,1.0,0.0,,,0.965,1.0,0.98,0.0,,,0.9457,0.98,393.70M,402.04M,0.22
2007-03,2.247B,2.247B,846.00M,1.401B,,,192.00M,,,,,681.00M,873.00M,528.00M,,,,,420.00M,135.00M,285.00M,,,,285.00M,285.00M,722.00M,194.00M,528.00M,0.72,0.0,,,0.72,0.72,0.71,0.0,,,0.71,0.71,395.83M,401.41M,0.22
2006-12,2.319B,2.319B,1.22B,1.099B,,,187.00M,,,,,298.00M,485.00M,614.00M,,,,,539.00M,154.00M,385.00M,,,,385.00M,385.00M,804.00M,190.00M,614.00M,0.95,0.0,,,0.95,0.95,0.95,0.0,,,0.95,0.95,405.09M,405.09M,0.18
2006-09,2.393B,2.393B,759.00M,1.634B,,,186.00M,,,,,733.00M,919.00M,715.00M,,,,,636.00M,220.00M,416.00M,,,,416.00M,416.00M,903.00M,188.00M,715.00M,1.04,0.0,,,1.04,1.04,1.02,0.0,,,1.02,1.02,400.00M,407.84M,0.18
2006-06,2.392B,2.392B,762.00M,1.63B,,,182.00M,,33.00M,,,771.00M,953.00M,677.00M,,,33.00M,,589.00M,214.00M,375.00M,,,,375.00M,353.99M,864.00M,187.00M,677.00M,0.91,0.0,,,0.859,0.91,0.89,0.0,,,0.8401,0.89,412.09M,421.35M,0.16
2006-03,2.303B,2.303B,734.00M,1.569B,,,183.00M,,35.00M,,,835.00M,1.018B,551.00M,,,35.00M,,466.00M,161.00M,305.00M,,,,305.00M,282.09M,736.00M,185.00M,551.00M,0.74,0.0,,,0.6844,0.74,0.72,0.0,,,0.6659,0.72,412.16M,423.61M,0.16
2005-12,2.257B,2.257B,802.00M,1.455B,762.00M,762.00M,192.00M,-32.00M,31.00M,,,65.00M,1.019B,436.00M,,,31.00M,,504.00M,142.00M,362.00M,,,,362.00M,339.73M,632.00M,196.00M,436.00M,0.89,0.0,,,0.8353,0.89,0.87,0.0,,,0.8166,0.87,407.19M,416.78M,0.13
2005-09,2.155B,2.155B,682.00M,1.473B,,,195.00M,,32.00M,,,750.00M,945.00M,528.00M,,,32.00M,,441.00M,140.00M,301.00M,,,,301.00M,279.16M,726.00M,198.00M,528.00M,0.74,0.0,,,0.6863,0.74,0.73,0.0,,,0.677,0.73,406.76M,412.33M,0.13
2005-06,2.154B,2.154B,710.00M,1.444B,735.00M,735.00M,194.00M,-31.00M,9.00M,,,65.00M,994.00M,450.00M,,,9.00M,,475.00M,51.00M,424.00M,,,,424.00M,415.97M,646.00M,196.00M,450.00M,1.05,0.0,,,1.03,1.05,1.04,0.0,,,1.02,1.04,403.81M,407.69M,0.11
2005-03,1.961B,1.961B,734.00M,1.227B,795.00M,795.00M,193.00M,-35.00M,2.00M,,,62.00M,1.05B,177.00M,,,2.00M,,277.00M,83.00M,194.00M,,,,194.00M,192.60M,374.00M,197.00M,177.00M,0.48,0.0,,,0.4765,0.48,0.47,0.0,,,0.4666,0.47,404.17M,412.77M,0.11
2004-12,1.949B,1.949B,690.00M,1.259B,713.00M,713.00M,189.00M,-37.00M,92.00M,,,106.00M,1.008B,251.00M,,,92.00M,,375.00M,111.00M,264.00M,,,,264.00M,199.23M,443.00M,192.00M,251.00M,0.66,0.0,,,0.4985,0.66,0.65,0.0,,,0.491,0.65,400.99M,407.30M,0.1
2004-09,1.857B,1.857B,698.00M,1.159B,711.00M,711.00M,150.00M,-79.00M,40.00M,,,49.00M,910.00M,249.00M,,,40.00M,,388.00M,100.00M,288.00M,,,,288.00M,258.31M,401.00M,152.00M,249.00M,0.73,0.0,,,0.6547,0.73,0.72,0.0,,,0.6458,0.72,394.52M,400.00M,0.1
2004-06,1.813B,1.813B,735.00M,1.078B,742.00M,742.00M,130.00M,-101.00M,0.00,,,59.00M,931.00M,147.00M,,,,,304.00M,91.00M,213.00M,,,,213.00M,213.00M,280.00M,133.00M,147.00M,0.55,0.0,,,0.55,0.55,0.54,0.0,,,0.54,0.54,387.27M,394.44M,0.08
2004-03,1.693B,1.693B,716.00M,977.00M,727.00M,727.00M,129.00M,-102.00M,10.00M,,,59.00M,915.00M,62.00M,,,10.00M,,235.00M,77.00M,158.00M,,,,158.00M,151.28M,194.00M,132.00M,62.00M,0.4,0.0,,,0.383,0.4,0.4,0.0,,,0.383,0.4,395.00M,395.00M,0.08
2003-12,1.676B,1.676B,1.146B,530.00M,,,129.00M,,-122.00M,,,-1.763B,1.422B,-892.00M,,,-122.00M,,62.00M,10.00M,52.00M,0.00,0.00,,52.00M,154.32M,-759.00M,133.00M,-892.00M,0.13,0.0,0.0,,0.39,0.13,0.13,0.0,-0.0007,,0.39,0.13,393.50M,393.50M,0.08
2003-09,1.598B,1.598B,537.00M,1.061B,,,128.00M,,12.00M,,,622.00M,750.00M,311.00M,,,12.00M,,200.00M,63.00M,137.00M,0.00,0.00,,137.00M,128.78M,443.00M,132.00M,311.00M,0.35,0.0,0.0,,0.32899999999999996,0.35,0.35,0.0,0.0,,0.32899999999999996,0.35,391.43M,391.43M,0.08
2003-06,1.633B,1.633B,,,,,129.00M,,24.00M,,,1.206B,1.335B,298.00M,,,24.00M,,199.00M,62.00M,137.00M,0.00,0.00,,137.00M,120.48M,430.00M,132.00M,298.00M,0.35,0.0,0.0,,0.3078,0.35,0.35,0.0,0.0,,0.3078,0.35,391.43M,391.43M,0.07
2003-03,1.561B,1.561B,,,,,127.00M,,21.00M,,,1.203B,1.33B,231.00M,,,21.00M,,125.00M,40.00M,85.00M,10.00M,114.00M,,209.00M,70.72M,362.00M,131.00M,231.00M,0.22,0.03,0.0,,0.1831,0.54,0.22,0.03,0.2945,,0.1831,0.54,387.04M,387.04M,0.07
2002-12,1.581B,1.581B,,,,,130.00M,,45.00M,,,-3.241B,-335.00M,-1.071B,,,45.00M,,186.00M,57.00M,129.00M,0.00,0.00,,129.00M,97.79M,-937.00M,134.00M,-1.071B,0.33,0.0,0.0,,0.2502,0.33,0.33,0.0,0.0,,0.2502,0.33,391.09M,391.09M,0.07
2002-09,1.598B,1.598B,,,,,129.00M,,4.00M,,,1.158B,1.287B,311.00M,,,4.00M,,189.00M,63.00M,126.00M,0.00,0.00,,126.00M,123.33M,444.00M,133.00M,311.00M,0.32,0.0,0.0,,0.3132,0.32,0.32,0.0,0.0,,0.3132,0.32,393.75M,393.75M,0.07
