,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2004-06,5.066B,5.066B,1.794B,3.272B,,,1.32B,813.00M,287.00M,,12.00M,,,,,2.42B,852.00M,,,,-8.00M,,511.00M,234.00M,262.00M,,,-15.00M,,262.00M,254.80M,1.952B,1.10B,852.00M,0.0267,0.0133,,,0.026,0.04,0.0267,0.0133,,,0.026,0.04,10.15B,10.20B,0.0
2004-03,4.908B,4.908B,1.869B,3.039B,,,1.306B,798.00M,276.00M,,-2.00M,,,,,2.38B,659.00M,,,,-19.00M,,140.00M,76.00M,65.00M,,,-1.00M,,65.00M,66.20M,1.733B,1.074B,659.00M,0.01,0.0,,,0.0101,0.01,0.01,0.0,,,0.0101,0.01,10.16B,10.20B,0.0
2003-12,4.742B,4.742B,1.774B,2.968B,,,1.248B,796.00M,182.00M,,168.00M,,,,,2.226B,742.00M,,,,141.00M,,695.00M,215.00M,383.00M,0.00,,-12.00M,,383.00M,266.97M,1.72B,978.00M,742.00M,0.0567,0.0,,,0.0395,0.0567,0.0567,0.0,,,0.0395,0.0567,6.754B,6.754B,0.0
2003-09,4.546B,4.546B,1.703B,2.843B,,,1.211B,774.00M,365.00M,,-154.00M,,,,,2.35B,493.00M,,,,-170.00M,,-256.00M,-103.00M,-153.00M,3.329B,,-14.00M,,3.176B,-60.60M,1.632B,1.075B,493.00M,-0.0233,0.4933,,,-0.0142,0.47,-0.0233,0.4933,,,-0.0142,0.47,10.15B,10.15B,0.0
2003-06,5.685B,5.685B,2.575B,3.11B,,,1.279B,837.00M,383.00M,,33.00M,,,,,2.499B,611.00M,,,,32.00M,,55.00M,77.00M,-22.00M,,,-96.00M,,-22.00M,-41.80M,1.862B,1.251B,611.00M,-0.0022,-0.0011,,,-0.0042,-0.0033,-0.0022,-0.0011,,,-0.0042,-0.0033,10.14B,10.14B,0.0
2003-03,4.466B,4.466B,1.811B,2.655B,,,1.227B,780.00M,354.00M,,-210.00M,,,,,2.361B,294.00M,,,,-227.00M,,-457.00M,-141.00M,-355.00M,58.00M,,-39.00M,,-297.00M,-209.79M,1.428B,1.134B,294.00M,-0.0533,0.01,,,-0.039,-0.0433,-0.0533,0.01,,,-0.039,-0.0433,10.14B,10.14B,0.0
2002-12,3.00B,3.00B,1.181B,1.819B,,,914.00M,737.00M,87.00M,,172.00M,,,,,1.738B,81.00M,,,,164.00M,,-67.00M,-5.00M,-105.00M,133.00M,,-20.00M,,28.00M,-264.16M,905.00M,824.00M,81.00M,0.0333,-0.0122,,,0.0109,0.0211,0.0333,-0.0122,,,0.0109,0.0211,7.122B,7.122B,0.0
2002-09,1.698B,1.698B,597.00M,1.101B,,,459.00M,321.00M,50.00M,,-42.00M,,,,,830.00M,271.00M,,,,-51.00M,,51.00M,27.00M,24.00M,52.00M,,3.00M,,76.00M,49.20M,642.00M,315.70M,271.00M,0.01,0.0167,,,0.0159,0.0267,0.01,0.0167,,,0.0158,0.0267,4.286B,4.314B,0.0
2002-06,2.709B,2.709B,1.352B,1.357B,,,490.10M,342.80M,45.40M,,-460.10M,,,,,878.30M,478.40M,,,,-503.10M,,-242.50M,-32.90M,-209.60M,,,-45.80M,,-209.60M,188.08M,866.70M,388.30M,478.40M,-0.0734,0.0,,,0.0659,-0.0734,-0.0734,0.0,,,0.0659,-0.0734,2.855B,2.855B,0.0
2002-03,2.667B,2.667B,1.372B,1.295B,,,487.00M,334.00M,53.00M,,-272.00M,,,,,874.00M,421.00M,,,,-277.00M,,-43.00M,3.00M,-89.00M,,,-44.00M,,-89.00M,74.20M,808.00M,387.00M,421.00M,-0.03,0.0,,,0.025,-0.03,-0.03,0.0,,,0.025,-0.03,2.967B,2.967B,0.0
2001-12,2.824B,2.824B,1.743B,1.081B,,,427.20M,,,,-953.60M,,,,,1.416B,-335.00M,,,,-927.50M,,-453.50M,-132.90M,-320.60M,,0.50M,-70.20M,,-320.60M,353.54M,653.90M,988.90M,-335.00M,-0.1138,,0.0,-0.0002,0.1255,-0.1138,-0.1138,,0.0002,-0.0002,0.1255,-0.1138,2.817B,2.817B,0.0
2001-09,2.356B,2.356B,1.253B,1.103B,,,396.80M,288.20M,595.80M,,321.30M,,,,,1.281B,-178.20M,,,,301.80M,,-93.30M,13.50M,-106.80M,,,-26.20M,,-106.80M,-299.58M,720.00M,898.20M,-178.20M,-0.0367,0.0,,,-0.1043,-0.0367,-0.0367,0.0,,,-0.1043,-0.0367,2.853B,2.853B,0.0
2001-06,2.339B,2.339B,1.227B,1.112B,,,418.90M,273.90M,552.30M,,479.00M,,,,,1.245B,-133.30M,,,,469.50M,,138.20M,103.00M,35.20M,,,-36.90M,,35.20M,-252.20M,692.90M,819.50M,-133.30M,0.0133,0.0,,,-0.0874,0.0133,0.0133,0.0,,,-0.0859,0.0133,2.852B,2.895B,0.0
2001-03,2.196B,2.196B,1.197B,999.20M,,,358.30M,221.30M,520.10M,,1.409B,,,,,1.100B,-100.50M,,,,1.412B,,1.102B,485.60M,616.70M,,,-26.70M,,1.001B,-228.64M,640.90M,741.40M,-100.50M,0.2168,0.1367,,0.1357,-0.0815,0.3535,0.2134,0.1351,,0.1329,-0.0787,0.3485,2.834B,2.894B,0.0
2000-12,2.408B,2.408B,1.359B,1.049B,,,374.10M,,,,1.646B,,,,,1.163B,-114.20M,,,,1.646B,,1.319B,535.70M,783.60M,,,-28.60M,0.80M,778.50M,-204.30M,674.90M,789.10M,-114.20M,0.2797,,,-0.0018,-0.0733,0.2779,0.2797,,,-0.0018,-0.0733,0.2779,2.799B,2.799B,0.0
2000-09,1.96B,1.96B,1.046B,914.30M,,,308.60M,,,,2.259B,,,,,970.70M,-56.40M,,,,2.259B,,2.001B,752.30M,1.249B,,,-25.80M,7.60M,1.247B,-160.65M,605.70M,662.10M,-56.40M,0.4569,0.0,,-0.0008,-0.0604,0.4569,0.4302,0.0,,-0.0008,-0.0567,0.4302,2.725B,2.895B,0.0
2000-06,1.912B,1.912B,1.017B,894.90M,,,292.10M,,,,290.60M,,,,,926.50M,-31.60M,,,,290.60M,,383.90M,185.10M,198.80M,,,-26.70M,7.60M,187.70M,24.44M,602.80M,634.40M,-31.60M,0.07,-0.0033,,-0.0041,0.0061,0.0667,0.0667,-0.0033,,-0.0041,0.007,0.0634,2.728B,2.923B,0.0
2000-03,1.939B,1.939B,1.076B,862.90M,,,276.00M,,,,-56.60M,,,,,821.70M,41.20M,,,,-56.60M,,-218.20M,-31.80M,-186.40M,,,-34.20M,7.50M,-191.50M,-138.05M,586.90M,545.70M,41.20M,-0.0767,-0.0033,,-0.002,-0.0574,-0.08,-0.0767,-0.0033,,-0.002,-0.0574,-0.08,2.509B,2.509B,0.0
1999-12,1.934B,1.934B,1.123B,811.20M,,,277.40M,,,,-289.30M,,,,,634.50M,176.70M,,,,-289.30M,,-271.80M,-104.20M,-167.60M,0.00,,-13.60M,7.30M,-174.20M,10.79M,533.80M,357.10M,176.70M,-0.08,0.0,,-0.0028,-0.002,-0.0834,-0.08,0.0,,-0.0028,-0.002,-0.0834,2.285B,2.285B,0.0
1999-09,1.599B,1.599B,898.10M,701.20M,,,237.30M,,,,106.30M,,,,,550.00M,151.20M,,,,106.30M,,124.80M,104.20M,20.60M,355.90M,,5.40M,7.30M,335.10M,-43.18M,464.00M,312.80M,151.20M,0.0067,0.1567,,-0.0183,-0.0215,0.1467,0.0067,0.1434,,-0.0183,-0.0191,0.1367,2.264B,2.470B,0.0
1999-06,1.479B,1.479B,794.70M,683.90M,,,226.60M,,,,1.428B,,,,,534.10M,149.80M,,,,1.428B,,1.463B,636.30M,826.30M,,,28.10M,7.60M,824.00M,-30.62M,457.40M,307.60M,149.80M,0.3668,0.0,,-0.001,-0.0182,0.3668,0.3368,0.0,,-0.001,-0.0167,0.3368,2.225B,2.424B,0.0
1999-03,1.374B,1.374B,764.10M,609.90M,,,184.80M,,,,129.10M,,,,,423.30M,186.60M,,,,129.10M,,189.20M,87.40M,101.80M,-20.10M,,-15.30M,7.50M,81.00M,24.34M,425.10M,238.50M,186.60M,0.0434,-0.01,,-0.0003,0.0115,0.0334,0.04,-0.01,,-0.0003,0.0081,0.0334,2.429B,2.429B,0.0039
1998-12,1.721B,1.721B,1.10B,620.70M,,,199.20M,,,,625.50M,,,,,429.90M,190.80M,,,,625.50M,,704.40M,271.40M,433.00M,-10.00M,,-0.10M,7.40M,421.80M,48.50M,421.50M,230.70M,190.80M,0.1968,-0.0067,,-0.0005,0.0245,0.1868,0.1768,-0.0067,,-0.0005,0.025,0.1701,2.232B,2.534B,0.0
1998-09,1.238B,1.238B,652.50M,585.70M,,,212.30M,,,,1.016B,,,,,452.70M,133.00M,,,,1.016B,,1.037B,313.20M,723.60M,-6.60M,,5.20M,7.40M,709.60M,14.31M,373.40M,240.40M,133.00M,0.3235,-0.0033,,-0.0034,0.0001,0.3202,0.2968,-0.0033,,-0.0034,0.0004,0.2935,2.193B,2.393B,0.0
1998-06,1.206B,1.206B,673.80M,531.90M,,,178.60M,,,,-106.20M,,,,,407.90M,124.00M,,,,-106.20M,,-77.00M,3.00M,-80.00M,-4.80M,,22.00M,7.20M,-84.80M,-16.28M,353.30M,229.20M,124.00M,-0.04,-0.0033,,,-0.01,-0.0434,-0.04,-0.0033,,,-0.01,-0.0434,2.122B,2.122B,0.0
