,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-03,418.00M,,3.00M,,-41.00M,103.00M,103.00M,22.00M,,27.00M,-895.00M,,67.00M,67.00M,-211.00M,-19.00M,1.00M,-18.00M,,2.497B,18.00M,749.00M,-504.00M,738.00M,234.00M,10.00M,-156.00M,-146.00M,,,,-127.00M,-43.00M,,-566.00M,671.00M,-28.00M,643.00M,10.00M,501.00M,-1.005B,-156.00M,9.00M,199.00M
2017-12,197.00M,0.00,9.00M,0.00,-59.00M,106.00M,106.00M,169.00M,,26.00M,269.00M,,-53.00M,-53.00M,736.00M,-56.00M,0.00,-56.00M,-70.00M,-1.314B,15.00M,-1.406B,-703.00M,23.00M,-680.00M,-4.00M,-198.00M,-202.00M,0.00,0.00,0.00,-127.00M,-1.00M,,779.00M,562.00M,109.00M,671.00M,-4.00M,2.00M,-705.00M,-198.00M,3.00M,156.00M
2017-09,364.00M,0.00,13.00M,0.00,-23.00M,103.00M,103.00M,-78.00M,,23.00M,892.00M,,298.00M,298.00M,1.668B,-32.00M,0.00,-32.00M,0.00,-2.09B,15.00M,-2.101B,1.874B,-1.716B,158.00M,4.00M,-270.00M,-266.00M,0.00,0.00,0.00,-117.00M,-6.00M,,394.00M,601.00M,-39.00M,562.00M,4.00M,1.90B,-26.00M,-270.00M,-57.00M,161.00M
2017-06,412.00M,0.00,-5.00M,0.00,-43.00M,98.00M,98.00M,75.00M,,24.00M,-746.00M,,-160.00M,-160.00M,-184.00M,-22.00M,,-22.00M,-74.00M,-46.00M,16.00M,-655.00M,943.00M,1.319B,2.262B,3.00M,-89.00M,-86.00M,,0.00,0.00,-118.00M,-6.00M,,891.00M,549.00M,52.00M,601.00M,3.00M,950.00M,-7.00M,-89.00M,49.00M,130.00M
2017-03,325.00M,,10.00M,-1.00M,-25.00M,100.00M,100.00M,137.00M,,27.00M,-1.021B,,-54.00M,-54.00M,-405.00M,-2.00M,0.00,-2.00M,,2.123B,9.00M,1.923B,-10.00M,-925.00M,-935.00M,22.00M,-107.00M,-85.00M,,-350.00M,-350.00M,-118.00M,-53.00M,,-1.646B,677.00M,-128.00M,549.00M,22.00M,0.00,-10.00M,-457.00M,11.00M,151.00M
2016-12,228.00M,,40.00M,10.00M,4.00M,21.00M,21.00M,74.00M,,33.00M,228.00M,,59.00M,59.00M,829.00M,-66.00M,0.00,-66.00M,0.00,-916.00M,5.00M,-2.013B,-26.00M,899.00M,873.00M,27.00M,-67.00M,-40.00M,490.00M,0.00,490.00M,-111.00M,0.00,,1.112B,749.00M,-72.00M,677.00M,517.00M,749.00M,-775.00M,-67.00M,76.00M,121.00M
2016-09,173.00M,,19.00M,1.00M,-40.00M,169.00M,169.00M,-90.00M,,30.00M,-204.00M,,39.00M,39.00M,136.00M,-49.00M,0.00,-49.00M,-481.00M,2.304B,2.00M,1.738B,476.00M,-2.335B,-1.859B,2.00M,-73.00M,-71.00M,519.00M,0.00,519.00M,-78.00M,0.00,,-1.621B,496.00M,253.00M,749.00M,521.00M,500.00M,-24.00M,-73.00M,9.00M,118.00M
2016-06,201.00M,,3.00M,-11.00M,-37.00M,62.00M,62.00M,-23.00M,,17.00M,278.00M,,-200.00M,-200.00M,351.00M,-22.00M,0.00,-22.00M,0.00,-1.106B,13.00M,-2.845B,591.00M,58.00M,649.00M,2.00M,0.00,2.00M,,0.00,0.00,-78.00M,0.00,,2.516B,474.00M,22.00M,496.00M,2.00M,602.00M,-11.00M,0.00,46.00M,82.00M
2016-03,188.00M,,1.00M,0.00,1.00M,62.00M,62.00M,50.00M,,19.00M,-58.00M,,23.00M,23.00M,373.00M,-8.00M,0.00,-8.00M,,-2.718B,9.00M,-3.337B,478.00M,84.00M,562.00M,1.00M,0.00,1.00M,,0.00,0.00,-68.00M,0.00,,2.831B,607.00M,-133.00M,474.00M,1.00M,976.00M,-498.00M,0.00,13.00M,108.00M
2015-12,229.00M,,4.00M,-1.00M,-23.00M,71.00M,71.00M,-6.00M,,11.00M,532.00M,,23.00M,23.00M,882.00M,-35.00M,0.00,-35.00M,0.00,-696.00M,8.00M,-586.00M,112.00M,-179.00M,-67.00M,3.00M,0.00,3.00M,0.00,,0.00,-68.00M,,,-159.00M,470.00M,137.00M,607.00M,3.00M,-298.00M,410.00M,0.00,108.00M,73.00M
2015-09,217.00M,,5.00M,-11.00M,-26.00M,60.00M,60.00M,-43.00M,,14.00M,60.00M,,-137.00M,-137.00M,190.00M,-23.00M,1.00M,-22.00M,0.00,1.313B,12.00M,-602.00M,-137.00M,112.00M,-25.00M,2.00M,-123.00M,-121.00M,0.00,,0.00,-69.00M,,,189.00M,693.00M,-223.00M,470.00M,2.00M,1.304B,-1.441B,-123.00M,83.00M,107.00M
2015-06,239.00M,,-4.00M,-10.00M,-47.00M,66.00M,66.00M,-77.00M,,20.00M,804.00M,,115.00M,115.00M,1.161B,-14.00M,,-14.00M,,-1.037B,11.00M,-1.417B,1.738B,-153.00M,1.585B,8.00M,-128.00M,-120.00M,,,,-69.00M,,,443.00M,506.00M,187.00M,693.00M,8.00M,1.75B,-12.00M,-128.00M,71.00M,51.00M
2015-03,235.00M,,-3.00M,-29.00M,-52.00M,50.00M,50.00M,50.00M,,13.00M,-1.394B,,-39.00M,-39.00M,-1.102B,-3.00M,,-3.00M,,1.244B,15.00M,582.00M,871.00M,127.00M,998.00M,9.00M,-197.00M,-188.00M,,,,-61.00M,,,373.00M,653.00M,-147.00M,506.00M,9.00M,1.00B,-129.00M,-197.00M,19.00M,98.00M
2014-12,254.00M,0.00,2.00M,-18.00M,-54.00M,61.00M,61.00M,34.00M,,13.00M,311.00M,,215.00M,215.00M,855.00M,-44.00M,0.00,-44.00M,-1.00M,-2.95B,11.00M,-4.311B,758.00M,-655.00M,103.00M,4.00M,-129.00M,-125.00M,,,,-62.00M,,,3.458B,651.00M,2.00M,653.00M,4.00M,1.079B,-321.00M,-129.00M,22.00M,48.00M
2014-09,186.00M,-10.00M,3.00M,31.00M,6.00M,76.00M,76.00M,-38.00M,,10.00M,18.00M,,-75.00M,-75.00M,202.00M,-23.00M,0.00,-23.00M,-103.00M,1.173B,6.00M,413.00M,-968.00M,-81.00M,-1.049B,4.00M,-119.00M,-115.00M,,,,-61.00M,,,-568.00M,604.00M,47.00M,651.00M,4.00M,40.00M,-1.008B,-119.00M,27.00M,117.00M
2014-06,225.00M,,-19.00M,-27.00M,-69.00M,57.00M,57.00M,-31.00M,,10.00M,-47.00M,,-50.00M,-50.00M,107.00M,-19.00M,0.00,-19.00M,,-452.00M,12.00M,-648.00M,514.00M,-147.00M,367.00M,4.00M,-106.00M,-102.00M,,,,-62.00M,,,736.00M,409.00M,195.00M,604.00M,4.00M,530.00M,-16.00M,-106.00M,72.00M,30.00M
2014-03,242.00M,,-14.00M,-24.00M,-53.00M,52.00M,52.00M,40.00M,,11.00M,-32.00M,,-102.00M,-102.00M,156.00M,-11.00M,1.00M,-10.00M,,2.737B,6.00M,1.73B,68.00M,4.00M,72.00M,15.00M,-130.00M,-115.00M,,,,-55.00M,,,-2.094B,617.00M,-208.00M,409.00M,15.00M,78.00M,-10.00M,-130.00M,10.00M,103.00M
2013-12,230.00M,0.00,-4.00M,-21.00M,-54.00M,53.00M,53.00M,33.00M,,8.00M,325.00M,,68.00M,68.00M,679.00M,-40.00M,0.00,-40.00M,-216.00M,-1.762B,8.00M,-2.899B,1.555B,-44.00M,1.511B,4.00M,-99.00M,-95.00M,,,,-55.00M,,,2.089B,748.00M,-131.00M,617.00M,4.00M,1.56B,-5.00M,-99.00M,71.00M,33.00M
2013-09,271.00M,-146.00M,-27.00M,-17.00M,-214.00M,75.00M,75.00M,-40.00M,,8.00M,25.00M,,-214.00M,-214.00M,-57.00M,-26.00M,0.00,-26.00M,375.00M,530.00M,2.00M,312.00M,-502.00M,-23.00M,-525.00M,8.00M,-198.00M,-190.00M,,,,-55.00M,,,-203.00M,696.00M,52.00M,748.00M,8.00M,5.00M,-507.00M,-198.00M,52.00M,112.00M
2013-06,204.00M,,4.00M,-7.00M,-33.00M,49.00M,49.00M,4.00M,,9.00M,316.00M,,109.00M,109.00M,694.00M,-22.00M,0.00,-22.00M,573.00M,-1.457B,15.00M,-1.449B,-1.002B,-384.00M,-1.386B,6.00M,-112.00M,-106.00M,,,,-55.00M,,,830.00M,621.00M,75.00M,696.00M,6.00M,1.00M,-1.003B,-112.00M,37.00M,49.00M
2013-03,205.00M,,-4.00M,-8.00M,-38.00M,44.00M,44.00M,32.00M,,10.00M,16.00M,,-96.00M,-96.00M,231.00M,-12.00M,8.00M,-4.00M,,-356.00M,6.00M,-156.00M,977.00M,433.00M,1.41B,8.00M,-65.00M,-57.00M,,,,-52.00M,,,-38.00M,584.00M,37.00M,621.00M,8.00M,1.007B,-30.00M,-65.00M,25.00M,110.00M
2012-12,203.00M,,0.00,-2.00M,-52.00M,73.00M,73.00M,-1.00M,,11.00M,316.00M,,58.00M,58.00M,651.00M,-63.00M,0.00,-63.00M,-90.00M,-1.601B,,-3.232B,765.00M,-238.00M,527.00M,0.00,-88.00M,-88.00M,,,,-52.00M,,,2.192B,973.00M,-389.00M,584.00M,0.00,778.00M,-13.00M,-88.00M,45.00M,162.00M
2012-09,221.00M,,-46.00M,-11.00M,-96.00M,58.00M,58.00M,-2.00M,,11.00M,-35.00M,,17.00M,17.00M,275.00M,-101.00M,-60.00M,-161.00M,866.00M,1.479B,,1.297B,-1.332B,56.00M,-1.276B,1.00M,-81.00M,-80.00M,,,,-52.00M,,,-1.435B,836.00M,137.00M,973.00M,1.00M,30.00M,-1.362B,-81.00M,13.00M,53.00M
2012-06,241.00M,,-36.00M,-24.00M,826.00M,56.00M,56.00M,10.00M,,27.00M,343.00M,,-66.00M,-66.00M,1.464B,26.00M,61.00M,87.00M,0.00,1.442B,,-73.00M,-1.418B,-92.00M,-1.51B,1.00M,-82.00M,-81.00M,,,,-52.00M,,,-970.00M,415.00M,421.00M,836.00M,1.00M,29.00M,-1.447B,-82.00M,23.00M,148.00M
2012-03,200.00M,,-27.00M,-35.00M,-990.00M,48.00M,48.00M,28.00M,,,-428.00M,,9.00M,9.00M,-1.091B,-26.00M,0.00,-26.00M,,377.00M,,1.76B,-572.00M,122.00M,-450.00M,0.00,0.00,0.00,,,,-35.00M,,,-947.00M,693.00M,-278.00M,415.00M,0.00,0.00,-572.00M,0.00,3.00M,101.00M
2011-12,200.00M,,-7.00M,8.00M,-23.00M,-7.00M,-7.00M,578.00M,,,160.00M,-256.00M,-683.00M,-1.005B,-82.00M,-78.00M,0.00,-78.00M,0.00,1.855B,22.00M,360.00M,-1.104B,-199.00M,-1.303B,0.00,,-70.00M,2.50B,-2.50B,0.00,-34.00M,,70.00M,-413.00M,828.00M,-135.00M,693.00M,2.50B,25.00M,-1.129B,-2.57B,-314.00M,160.00M
2011-09,218.00M,,-7.00M,-34.00M,-58.00M,65.00M,65.00M,-418.00M,,,6.00M,40.00M,633.00M,599.00M,421.00M,-28.00M,1.00M,-27.00M,0.00,-191.00M,-94.00M,-701.00M,-401.00M,68.00M,-333.00M,0.00,,0.00,-2.50B,2.50B,0.00,-34.00M,,0.00,255.00M,853.00M,-25.00M,828.00M,-2.50B,1.00M,-402.00M,2.50B,-5.00M,128.00M
2011-06,243.00M,,-5.00M,-19.00M,-40.00M,69.00M,69.00M,61.00M,,,8.00M,272.00M,390.00M,722.00M,1.042B,-44.00M,,-44.00M,,97.00M,94.00M,672.00M,-162.00M,-738.00M,-900.00M,4.00M,,4.00M,2.50B,-2.50B,0.00,-35.00M,,-70.00M,-1.401B,540.00M,313.00M,853.00M,2.504B,20.00M,-182.00M,-2.50B,52.00M,183.00M
2011-03,271.00M,,-4.00M,-34.00M,-47.00M,74.00M,74.00M,96.00M,,,27.00M,-56.00M,22.00M,46.00M,412.00M,-30.00M,,-30.00M,,78.00M,,1.392B,498.00M,-279.00M,219.00M,600.00M,,600.00M,-2.50B,,-2.50B,-61.00M,,,-1.542B,278.00M,262.00M,540.00M,-1.90B,1.00B,-502.00M,,267.00M,134.00M
2010-12,323.00M,,-6.00M,-6.00M,350.00M,76.00M,76.00M,64.00M,,,91.00M,-54.00M,,-6.00M,755.00M,-54.00M,2.00M,-52.00M,,-498.00M,,421.00M,-585.00M,-282.00M,-867.00M,,,0.00,,,0.00,-46.00M,,,-1.721B,823.00M,-545.00M,278.00M,,21.00M,-606.00M,,-159.00M,199.00M
2010-09,226.00M,,-4.00M,-19.00M,-37.00M,81.00M,81.00M,82.00M,,,-104.00M,-141.00M,,83.00M,416.00M,-48.00M,0.00,-48.00M,,-1.124B,-79.00M,255.00M,741.00M,-177.00M,564.00M,,,0.00,,,0.00,-46.00M,,,-439.00M,591.00M,232.00M,823.00M,,758.00M,-17.00M,,2.00M,152.00M
2010-06,74.00M,,-2.00M,-15.00M,-22.00M,85.00M,85.00M,43.00M,,,353.00M,20.00M,,-42.00M,710.00M,-33.00M,0.00,-33.00M,,-496.00M,79.00M,1.498B,-698.00M,1.282B,584.00M,,,0.00,,,0.00,-46.00M,,,-2.236B,619.00M,-28.00M,591.00M,,9.00M,-707.00M,,3.00M,242.00M
2010-03,-39.00M,,-8.00M,-40.00M,-24.00M,88.00M,88.00M,-109.00M,,,301.00M,175.00M,,189.00M,843.00M,-21.00M,1.00M,-20.00M,,-2.407B,,-200.00M,-318.00M,291.00M,-27.00M,,,0.00,,,0.00,-46.00M,,,-495.00M,471.00M,148.00M,619.00M,,9.00M,-327.00M,,154.00M,286.00M
2009-12,-188.00M,32.00M,-15.00M,-81.00M,-5.00M,92.00M,92.00M,-103.00M,0.00,,-670.00M,197.00M,251.00M,697.00M,853.00M,-101.00M,3.00M,-98.00M,-105.00M,60.00M,114.00M,2.545B,-1.865B,-53.00M,-1.918B,-1.00M,,-1.00M,,,,-45.00M,,0.00,-3.652B,725.00M,-254.00M,471.00M,-1.00M,277.00M,-2.142B,,-44.00M,301.00M
2009-09,-402.00M,-32.00M,-22.00M,83.00M,-4.00M,96.00M,96.00M,-362.00M,45.00M,,329.00M,-455.00M,744.00M,335.00M,593.00M,-55.00M,11.00M,-44.00M,105.00M,-2.94B,-12.00M,1.32B,-222.00M,-1.105B,-1.327B,0.00,,0.00,,,,-46.00M,,0.00,-1.894B,706.00M,19.00M,725.00M,0.00,31.00M,6.541B,,56.00M,389.00M
2009-06,-223.00M,,-36.00M,-125.00M,-282.00M,106.00M,106.00M,-237.00M,0.00,,271.00M,457.00M,,457.00M,942.00M,-40.00M,1.00M,-39.00M,,-4.222B,7.00M,-2.068B,-1.021B,-610.00M,-1.631B,987.00M,,987.00M,,,,-47.00M,,-4.00M,1.208B,624.00M,82.00M,706.00M,987.00M,10.00M,-1.641B,,-17.00M,-173.00M
2009-03,-498.00M,,-26.00M,-91.00M,-45.00M,95.00M,95.00M,-176.00M,196.00M,,-359.00M,-128.00M,,-128.00M,-68.00M,-33.00M,1.00M,-32.00M,,2.364B,5.00M,4.812B,145.00M,-6.184B,-6.039B,,,,,,,-75.00M,,-1.00M,-5.365B,1.245B,-621.00M,624.00M,,445.00M,-6.484B,,126.00M,972.00M
2008-12,-527.00M,,-19.00M,59.00M,36.00M,104.00M,104.00M,-1.477B,465.00M,,-135.00M,169.00M,-402.00M,39.00M,-942.00M,-88.00M,0.00,-88.00M,0.00,-4.533B,11.00M,-4.45B,-1.187B,2.884B,1.697B,2.50B,,2.50B,,,,-42.00M,,0.00,4.71B,1.927B,-682.00M,1.245B,2.50B,1.508B,189.00M,,1.823B,442.00M
2008-09,-25.00M,,-6.00M,-1.00M,11.00M,103.00M,103.00M,-94.00M,4.00M,,109.00M,-14.00M,-384.00M,311.00M,583.00M,-27.00M,7.00M,-20.00M,0.00,184.00M,3.00M,-730.00M,778.00M,-922.00M,-144.00M,87.00M,,87.00M,,,,-105.00M,,-1.00M,173.00M,1.912B,26.00M,1.927B,87.00M,1.057B,-1.201B,,7.00M,403.00M
2008-06,-1.126B,,-15.00M,-155.00M,-203.00M,107.00M,107.00M,-64.00M,0.00,,-201.00M,-379.00M,384.00M,186.00M,-490.00M,-41.00M,1.00M,-40.00M,27.00M,-196.00M,882.00M,-684.00M,1.105B,-895.00M,210.00M,1.607B,,1.604B,,,,-150.00M,,-1.00M,1.356B,1.73B,182.00M,1.912B,1.607B,1.659B,-3.059B,,322.00M,1.144B
2008-03,218.00M,,,-12.00M,89.00M,110.00M,110.00M,-87.00M,,,140.00M,,,-181.00M,289.00M,-46.00M,,-46.00M,-184.00M,798.00M,-869.00M,-301.00M,1.885B,-1.61B,275.00M,,,3.00M,,,,-148.00M,,,-72.00M,1.814B,-84.00M,1.73B,,2.241B,-356.00M,,,
2007-12,25.00M,,,-255.00M,61.00M,109.00M,109.00M,-21.00M,,,171.00M,,,59.00M,404.00M,-134.00M,,-134.00M,,-4.00M,-2.039B,-2.257B,168.00M,2.239B,2.407B,,,1.00M,,,,-143.00M,,0.00,1.651B,2.016B,-202.00M,1.814B,,261.00M,-93.00M,,,
2007-09,210.00M,,,-18.00M,-27.00M,107.00M,107.00M,3.00M,,,-151.00M,,,-311.00M,-169.00M,4.00M,,4.00M,,-496.00M,-1.923B,-2.415B,-1.291B,1.148B,-143.00M,,,-51.00M,,,,-141.00M,,2.00M,2.782B,1.818B,198.00M,2.016B,,354.00M,-1.645B,,,
2007-06,334.00M,,,-35.00M,-125.00M,104.00M,104.00M,-2.00M,,,280.00M,,,-694.00M,-103.00M,-35.00M,,-35.00M,,991.00M,-1.421B,-465.00M,-263.00M,115.00M,-148.00M,,,-204.00M,,,,-141.00M,,2.00M,334.00M,2.052B,-234.00M,1.818B,,26.00M,-289.00M,,,
2007-03,350.00M,,,38.00M,-162.00M,105.00M,105.00M,-54.00M,,,-269.00M,,,-297.00M,-327.00M,-22.00M,,-22.00M,,-717.00M,65.00M,-674.00M,-1.543B,2.043B,500.00M,,,-229.00M,,,,-145.00M,,9.00M,789.00M,2.264B,-212.00M,2.052B,,13.00M,-1.556B,,,
2006-12,146.00M,,,-3.00M,12.00M,105.00M,105.00M,257.00M,,,83.00M,,,920.00M,1.523B,-50.00M,,-50.00M,0.00,-91.00M,2.217B,2.076B,766.00M,-2.46B,-1.694B,,,-150.00M,,,,-137.00M,,2.00M,-4.292B,2.957B,-693.00M,2.264B,,1.407B,-641.00M,,,
2006-09,312.00M,,,27.00M,-44.00M,100.00M,100.00M,-35.00M,,,60.00M,,,-501.00M,-108.00M,-34.00M,,-34.00M,0.00,-172.00M,-673.00M,-879.00M,-585.00M,1.281B,696.00M,,,-23.00M,,,,-140.00M,,7.00M,1.13B,2.814B,143.00M,2.957B,,264.00M,-849.00M,,,
2006-06,308.00M,,,-27.00M,-37.00M,98.00M,98.00M,-199.00M,,,-216.00M,,,-427.00M,-473.00M,-25.00M,,-25.00M,-34.00M,168.00M,-512.00M,-403.00M,20.00M,-5.00M,15.00M,,,-118.00M,,,,-140.00M,,6.00M,1.204B,2.486B,328.00M,2.814B,,779.00M,-759.00M,,,
2006-03,289.00M,,,2.00M,-8.00M,94.00M,94.00M,4.00M,,,18.00M,,,-334.00M,63.00M,-5.00M,,-5.00M,,-126.00M,-542.00M,-673.00M,177.00M,-596.00M,-419.00M,,,-109.00M,,,,-140.00M,,13.00M,-12.00M,3.108B,-622.00M,2.486B,,566.00M,-389.00M,,,
2005-12,296.00M,,,-3.00M,-61.00M,93.00M,93.00M,-32.00M,,,902.00M,,,-490.00M,708.00M,-118.00M,,-118.00M,-187.00M,620.00M,-1.228B,-913.00M,-10.00M,170.00M,160.00M,,,-73.00M,,,,-133.00M,,,653.00M,2.66B,448.00M,3.108B,,544.00M,-554.00M,,,
2005-09,278.00M,,,8.00M,-44.00M,91.00M,91.00M,89.00M,,,150.00M,,,-690.00M,-126.00M,-17.00M,,-17.00M,-25.00M,-230.00M,-714.00M,-986.00M,614.00M,306.00M,920.00M,,,0.00,,,,-133.00M,,,804.00M,2.968B,-308.00M,2.66B,,752.00M,-138.00M,,,
2005-06,291.00M,,,0.00,-10.00M,87.00M,87.00M,45.00M,,,-254.00M,,,465.00M,624.00M,-20.00M,,-29.00M,-2.00M,-368.00M,-632.00M,-1.031B,-529.00M,99.00M,-430.00M,,,17.00M,,,,-133.00M,,,384.00M,2.991B,-23.00M,2.968B,,525.00M,-1.054B,,,
2005-03,264.00M,,,-6.00M,-25.00M,87.00M,87.00M,3.00M,,,-95.00M,,,728.00M,962.00M,,,9.00M,-5.00M,33.00M,-749.00M,-712.00M,-214.00M,1.38B,1.166B,,,-44.00M,,,,-132.00M,,,287.00M,2.454B,537.00M,2.991B,,1.227B,-1.441B,,,
2004-12,213.00M,,,3.00M,78.00M,84.00M,84.00M,231.00M,,,325.00M,,,-1.49B,-559.00M,-20.00M,,-20.00M,-1.702B,246.00M,530.00M,-946.00M,1.242B,-1.621B,-379.00M,,,48.00M,,,,-126.00M,,,975.00M,2.984B,-530.00M,2.454B,,1.632B,-390.00M,,,
2004-09,252.00M,,,29.00M,-29.00M,168.00M,168.00M,103.00M,,,-181.00M,,,183.00M,496.00M,-25.00M,,-25.00M,-31.00M,-178.00M,-1.297B,-1.531B,-1.306B,-217.00M,-1.523B,,,-53.00M,,,,-127.00M,,,1.706B,2.313B,671.00M,2.984B,,706.00M,-2.012B,,,
