,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,7.628B,58.00M,7.686B,16.67B,16.67B,1.946B,4.698B,6.644B,3.254B,,34.26B,343.54B,-169.30B,174.24B,4.518B,4.518B,34.24B,,2.573B,6.859B,1.239B,223.67B,257.93B,,15.72B,2.72B,18.44B,4.822B,23.26B,8.598B,8.598B,,,,31.86B,29.78B,140.00M,29.92B,15.15B,20.57B,35.72B,7.051B,1.182B,,72.69B,104.55B,,1.832B,176.90B,17.04B,39.96B,,,-240.00M,,-3.368B,-3.608B,152.20B,,AOR,Restated
2018-03,6.466B,38.00M,6.504B,15.77B,15.77B,1.948B,4.18B,6.128B,3.323B,,31.73B,344.98B,-169.13B,175.85B,4.531B,4.531B,33.47B,,2.723B,6.946B,1.20B,224.72B,256.44B,,14.48B,2.963B,17.44B,4.587B,22.03B,8.601B,8.601B,,,,30.63B,31.05B,90.00M,31.14B,15.08B,20.67B,35.76B,7.346B,1.21B,,74.25B,104.88B,,1.832B,175.62B,16.96B,40.36B,,,-240.00M,,-3.459B,-3.699B,150.36B,,AOR,Restated
2017-12,4.813B,9.00M,4.822B,15.35B,15.35B,1.967B,3.618B,5.585B,2.80B,,28.56B,344.48B,-166.77B,177.71B,4.531B,4.531B,32.50B,,2.849B,7.017B,640.00M,225.25B,253.81B,,14.56B,2.713B,17.28B,5.267B,22.54B,5.192B,5.192B,,,,27.74B,33.57B,,33.57B,14.65B,21.11B,35.76B,7.421B,1.195B,,76.75B,104.49B,,1.832B,174.11B,16.85B,40.83B,,,-240.00M,,-3.589B,-3.829B,148.12B,,AOR,Restated
2017-09,6.641B,13.00M,6.654B,14.12B,14.12B,2.089B,3.672B,5.761B,2.859B,,29.40B,343.07B,-164.63B,178.44B,4.531B,4.531B,32.40B,,3.016B,6.793B,584.00M,225.76B,255.16B,,13.08B,2.157B,15.24B,5.085B,20.33B,7.897B,7.897B,,,,28.22B,33.98B,92.00M,34.08B,17.44B,20.83B,38.27B,6.683B,1.198B,,79.03B,107.25B,,1.832B,173.04B,16.74B,41.24B,,,-240.00M,,-3.422B,-3.662B,146.71B,,AOR,Restated
2017-06,4.762B,13.00M,4.775B,13.17B,13.17B,2.142B,3.933B,6.075B,2.608B,,26.63B,337.55B,-159.38B,178.18B,4.543B,4.543B,31.71B,,2.403B,7.352B,3.793B,227.97B,254.60B,,12.06B,2.422B,14.48B,4.695B,19.17B,8.782B,8.782B,,,,27.96B,33.99B,93.00M,34.08B,17.07B,20.90B,37.96B,7.208B,1.185B,,79.26B,107.21B,,1.832B,173.12B,16.67B,41.57B,,,-240.00M,,-3.604B,-3.844B,146.20B,,AOR,Restated
2017-03,6.983B,11.00M,6.994B,13.75B,13.75B,2.169B,3.752B,5.921B,2.899B,,29.57B,336.15B,-155.85B,180.30B,4.543B,4.543B,30.92B,,2.457B,6.98B,4.352B,229.54B,259.11B,,13.08B,2.394B,15.47B,4.657B,20.13B,8.297B,8.297B,,,,28.43B,36.86B,95.00M,36.96B,17.28B,21.52B,38.79B,7.145B,1.198B,,82.90B,111.32B,,1.832B,173.70B,16.63B,41.60B,,,-240.00M,,-3.726B,-3.966B,146.59B,,AOR,Restated
2016-12,6.988B,13.00M,7.001B,14.09B,14.09B,2.244B,3.175B,5.419B,3.107B,,29.62B,336.08B,-153.89B,182.19B,4.581B,4.581B,30.25B,,2.485B,6.838B,4.119B,230.46B,260.08B,,13.99B,2.077B,16.06B,4.882B,20.94B,10.84B,10.84B,,,,31.78B,35.19B,93.00M,35.29B,17.52B,21.55B,39.07B,7.216B,1.166B,,81.57B,113.36B,,1.832B,173.05B,16.60B,41.83B,,,-240.00M,,-3.843B,-4.083B,145.56B,,AOR,Restated
2016-09,7.351B,321.00M,7.672B,12.52B,12.52B,2.305B,3.671B,5.976B,2.703B,,28.87B,341.07B,-157.63B,183.44B,4.581B,4.581B,30.00B,,2.444B,6.631B,3.893B,230.99B,259.86B,,12.20B,2.041B,14.25B,4.441B,18.69B,6.057B,6.057B,,,,24.74B,39.46B,66.00M,39.53B,17.82B,22.29B,40.10B,7.534B,1.152B,,87.17B,111.91B,,1.832B,174.66B,16.51B,42.12B,,,-240.00M,,-3.843B,-4.083B,146.80B,,AOR,Restated
2016-06,8.764B,320.00M,9.084B,13.49B,13.49B,2.316B,4.111B,6.427B,3.47B,,32.47B,339.08B,-154.40B,184.68B,4.581B,4.581B,27.74B,,2.469B,6.316B,3.216B,229.01B,261.48B,,13.42B,1.523B,14.94B,4.458B,19.40B,5.53B,5.53B,,,,24.93B,39.49B,68.00M,39.56B,18.34B,22.71B,41.05B,7.617B,1.162B,,88.23B,113.15B,,1.832B,175.38B,16.44B,42.21B,,,-240.00M,,-4.032B,-4.272B,147.16B,,AOR,Restated
2016-03,8.562B,317.00M,8.879B,12.46B,12.46B,2.336B,4.172B,6.508B,3.867B,,31.71B,344.90B,-154.96B,189.94B,4.588B,4.588B,27.51B,,2.492B,6.514B,1.085B,232.13B,263.84B,,12.70B,1.932B,14.63B,4.904B,19.53B,9.63B,9.63B,,,,29.16B,32.64B,74.00M,32.71B,19.59B,23.33B,42.92B,7.573B,1.169B,,83.20B,112.37B,,1.832B,178.85B,16.36B,42.35B,,,-240.00M,,-4.15B,-4.39B,150.31B,,AOR,Restated
2015-12,11.02B,310.00M,11.33B,12.86B,12.86B,2.309B,4.025B,6.334B,3.904B,,34.43B,340.28B,-151.88B,188.40B,4.588B,4.588B,27.11B,,2.412B,6.155B,1.449B,230.11B,264.54B,,13.52B,2.191B,15.71B,4.833B,20.54B,4.927B,4.927B,,,,25.47B,33.54B,80.00M,33.62B,20.16B,23.46B,43.63B,7.935B,1.17B,,85.19B,110.65B,,1.832B,181.58B,16.33B,42.49B,,,-240.00M,,-4.291B,-4.531B,152.72B,,AOR,Restated
2015-09,12.93B,306.00M,13.24B,14.24B,14.24B,2.377B,4.487B,6.864B,5.476B,,39.82B,340.56B,-153.15B,187.40B,4.588B,4.588B,26.71B,,2.436B,6.593B,898.00M,228.63B,268.45B,,15.31B,3.195B,18.50B,5.062B,23.56B,6.58B,6.58B,,,,30.14B,29.21B,86.00M,29.30B,21.87B,23.13B,45.00B,8.073B,1.026B,,82.37B,112.51B,,1.832B,184.17B,16.25B,42.55B,,,-240.00M,,-4.549B,-4.789B,154.91B,,AOR,Restated
2015-06,12.16B,365.00M,12.52B,16.15B,16.15B,2.345B,4.771B,7.116B,4.948B,,40.74B,336.62B,-151.35B,185.27B,4.588B,4.588B,26.21B,,2.88B,6.389B,387.00M,225.72B,266.46B,,17.38B,3.243B,20.62B,5.024B,25.65B,2.621B,2.621B,,,,28.27B,29.21B,79.00M,29.29B,21.60B,23.11B,44.71B,8.30B,1.222B,,82.30B,110.56B,,1.832B,184.13B,16.17B,42.58B,,,-240.00M,,-4.651B,-4.891B,154.67B,,AOR,Restated
2015-03,12.68B,432.00M,13.11B,15.24B,15.24B,2.221B,4.616B,6.837B,6.087B,,41.27B,333.82B,-147.70B,186.12B,4.588B,4.588B,28.24B,,2.82B,6.565B,,228.33B,269.60B,,16.64B,4.29B,20.93B,4.607B,25.54B,3.908B,3.908B,,,,29.44B,29.96B,65.00M,30.02B,21.58B,23.10B,44.68B,8.45B,1.198B,,83.16B,112.60B,,1.832B,185.56B,16.10B,42.67B,,,-240.00M,,-4.78B,-5.02B,155.80B,,AOR,Restated
2014-12,12.78B,430.00M,13.22B,16.74B,16.74B,2.184B,4.321B,6.505B,5.776B,,42.23B,327.29B,-144.12B,183.17B,4.593B,4.593B,26.91B,,2.817B,6.299B,,223.79B,266.03B,,19.00B,3.808B,22.81B,5.328B,28.14B,3.79B,3.79B,,,,31.93B,23.96B,68.00M,24.03B,21.92B,23.55B,45.47B,8.412B,1.163B,,77.91B,109.84B,,1.832B,184.99B,16.04B,42.73B,,,-240.00M,,-4.859B,-5.099B,155.03B,,AOR,Restated
2014-09,14.22B,275.00M,14.49B,19.97B,19.97B,2.131B,5.173B,7.304B,5.315B,,47.08B,318.75B,-140.66B,178.10B,4.621B,4.621B,26.68B,,2.903B,5.844B,201.00M,218.35B,265.43B,,21.82B,4.206B,26.03B,5.396B,31.42B,5.665B,5.665B,,,,37.09B,19.96B,84.00M,20.04B,21.92B,23.06B,44.97B,6.018B,1.167B,,71.04B,108.12B,,1.832B,183.52B,15.97B,41.50B,,,-240.00M,,-3.438B,-3.678B,156.14B,,AOR,Restated
2014-06,13.96B,276.00M,14.24B,21.58B,21.58B,2.13B,5.085B,7.215B,5.892B,,48.92B,312.92B,-138.87B,174.05B,4.621B,4.621B,25.92B,,3.034B,5.493B,,213.12B,262.04B,,23.62B,4.166B,27.79B,5.041B,32.83B,3.498B,3.498B,,,,36.33B,19.96B,90.00M,20.05B,22.02B,22.89B,44.90B,6.015B,1.166B,,70.97B,107.30B,,1.832B,179.94B,15.89B,40.34B,,,-240.00M,,-3.497B,-3.737B,153.58B,,AOR,Restated
2014-03,15.61B,571.00M,16.18B,20.28B,20.28B,2.064B,5.408B,7.472B,5.809B,,49.75B,304.56B,-135.34B,169.23B,4.639B,4.639B,25.99B,,2.875B,5.118B,644.00M,208.49B,258.24B,,23.33B,4.312B,27.64B,5.00B,32.64B,3.008B,3.008B,,,,35.65B,19.96B,86.00M,20.05B,21.80B,22.94B,44.74B,5.99B,1.149B,,70.78B,106.43B,,1.832B,176.29B,15.79B,39.48B,,,-240.00M,,-3.534B,-3.774B,150.66B,,AOR,Restated
2013-12,16.24B,271.00M,16.52B,21.62B,21.62B,2.01B,4.37B,6.38B,5.732B,,50.25B,296.43B,-131.60B,164.83B,4.639B,4.639B,25.50B,,2.833B,5.12B,580.00M,203.50B,253.75B,,22.82B,4.427B,27.24B,5.402B,32.64B,374.00M,374.00M,,,,33.02B,19.96B,97.00M,20.06B,21.30B,22.98B,44.28B,5.968B,1.314B,,70.31B,103.33B,,1.832B,173.68B,15.71B,38.29B,,,-240.00M,,-3.579B,-3.819B,149.11B,,AOR,Restated
2013-09,17.01B,1.566B,18.58B,21.64B,21.64B,1.922B,4.971B,6.893B,6.389B,,53.50B,287.55B,-130.62B,156.93B,4.64B,4.64B,25.01B,,3.118B,4.635B,,194.34B,247.84B,,23.15B,4.514B,27.66B,5.28B,32.94B,527.00M,527.00M,,,,33.47B,17.96B,94.00M,18.05B,19.37B,21.80B,41.17B,9.071B,1.294B,,68.30B,101.76B,,1.832B,170.65B,15.63B,37.10B,,,-240.00M,,-5.997B,-6.237B,144.78B,,AOR,Restated
2013-06,20.63B,1.666B,22.30B,20.27B,20.27B,1.893B,5.53B,7.423B,6.112B,,56.10B,279.02B,-128.43B,150.59B,4.64B,4.64B,25.13B,,3.017B,4.562B,,187.94B,244.05B,,21.61B,4.711B,26.32B,5.18B,31.50B,1.913B,1.913B,,,,33.41B,17.96B,91.00M,18.05B,18.04B,21.10B,39.14B,9.282B,1.323B,,66.47B,99.88B,,1.832B,167.62B,15.68B,35.94B,,,-262.00M,,-6.078B,-6.34B,142.84B,,AOR,Restated
2013-03,17.37B,1.674B,19.05B,21.97B,21.97B,1.803B,4.861B,6.664B,7.015B,,54.70B,271.24B,-125.27B,145.97B,4.64B,4.64B,24.50B,,3.121B,4.476B,,182.71B,237.41B,,21.62B,5.93B,27.55B,5.048B,32.60B,2.09B,2.09B,,,,34.68B,11.96B,93.00M,12.05B,18.05B,21.62B,39.67B,9.517B,1.352B,,61.24B,95.92B,,1.832B,164.17B,15.58B,34.92B,,,-262.00M,,-6.269B,-6.531B,140.13B,,AOR,Restated
2012-12,20.94B,974.00M,21.91B,21.00B,21.00B,1.746B,4.398B,6.144B,6.666B,,55.72B,263.48B,-122.13B,141.35B,4.64B,4.64B,23.72B,,3.053B,4.503B,,177.26B,232.98B,,22.78B,5.571B,28.35B,5.738B,34.08B,127.00M,127.00M,,,,34.21B,11.97B,99.00M,12.06B,17.67B,21.50B,39.17B,9.699B,1.308B,,60.94B,95.15B,,1.832B,159.73B,15.50B,33.88B,,,-282.00M,,-6.369B,-6.651B,136.52B,,AOR,Restated
2012-09,21.31B,261.00M,21.57B,,21.46B,2.192B,5.803B,7.995B,7.424B,8.00M,58.46B,252.28B,-119.52B,132.75B,4.64B,4.64B,23.50B,,3.036B,4.466B,,168.40B,226.86B,,22.99B,5.318B,28.31B,5.19B,33.50B,2.172B,2.172B,,,,35.67B,10.06B,99.00M,10.16B,17.54B,,38.36B,8.444B,1.281B,,56.97B,92.64B,,1.832B,154.23B,15.42B,32.70B,,,,,,-5.558B,132.94B,,AOR,Restated
2012-06,21.21B,246.00M,21.46B,,20.71B,2.128B,5.058B,7.186B,6.648B,8.00M,56.01B,246.08B,-117.03B,129.05B,4.641B,4.641B,23.07B,,2.36B,4.25B,,163.37B,219.38B,,21.96B,5.212B,27.17B,5.127B,32.30B,359.00M,359.00M,,,,32.66B,9.765B,107.00M,9.872B,16.68B,,36.88B,8.681B,1.292B,,55.43B,88.09B,,1.832B,150.73B,15.32B,31.87B,,,,,,-5.732B,130.00B,,AOR,Restated
2012-03,18.87B,239.00M,19.11B,,22.00B,2.049B,5.298B,7.347B,6.102B,658.00M,55.22B,238.06B,-113.27B,124.80B,4.641B,4.641B,23.23B,,2.254B,4.749B,,159.67B,214.89B,,22.95B,6.29B,29.24B,4.62B,33.86B,396.00M,396.00M,,,,34.26B,8.765B,114.00M,8.879B,16.38B,,36.56B,8.866B,819.00M,,54.31B,88.56B,,1.832B,145.28B,15.26B,30.70B,,,,,,-5.875B,125.51B,,AOR,Restated
2011-12,15.86B,4.207B,20.07B,21.79B,21.79B,1.621B,3.922B,5.543B,5.827B,,53.23B,233.43B,-110.82B,122.61B,4.642B,4.642B,22.87B,,2.233B,3.889B,,156.24B,209.47B,,22.15B,5.826B,27.97B,5.287B,33.26B,340.00M,340.00M,,,,33.60B,9.684B,128.00M,9.812B,15.54B,19.18B,34.72B,9.156B,799.00M,,53.69B,87.29B,,1.832B,140.40B,15.16B,29.68B,,,-298.00M,,-6.022B,-6.32B,121.38B,,AOR,Restated
2011-09,14.23B,248.00M,14.48B,,20.88B,2.111B,3.961B,6.072B,5.74B,5.858B,53.02B,226.54B,-108.16B,118.38B,4.654B,4.654B,22.41B,,2.125B,3.026B,482.00M,151.07B,204.10B,,20.75B,5.981B,26.73B,5.366B,32.09B,245.00M,245.00M,,,,32.34B,9.384B,114.00M,9.498B,16.13B,,34.95B,,785.00M,5.638B,50.08B,82.42B,,1.832B,136.87B,15.11B,28.56B,,,,,,-4.066B,120.89B,,AOR,Restated
2011-06,13.34B,221.00M,13.56B,,23.61B,2.054B,5.232B,7.286B,5.143B,4.408B,54.01B,220.11B,-105.35B,114.75B,4.654B,4.654B,21.72B,,2.114B,3.109B,1.356B,147.71B,201.72B,,22.76B,5.648B,28.41B,4.906B,33.32B,1.902B,1.902B,,,,35.22B,9.484B,134.00M,9.618B,15.29B,,34.12B,6.334B,777.00M,,50.07B,85.29B,,1.832B,130.59B,15.03B,27.38B,,,,,,-4.117B,115.65B,,AOR,Restated
2011-03,13.15B,145.00M,13.29B,,22.08B,2.019B,4.213B,6.232B,5.667B,3.58B,50.85B,215.56B,-104.48B,111.08B,4.655B,4.655B,22.00B,,2.071B,3.203B,878.00M,143.88B,194.74B,,21.01B,5.569B,26.58B,4.916B,31.50B,1.817B,1.817B,,,,33.31B,9.484B,274.00M,9.758B,14.98B,,34.22B,6.595B,750.00M,,50.57B,83.89B,,1.832B,124.42B,14.93B,26.53B,,,,,,-4.253B,110.10B,,AOR,Restated
2010-12,14.06B,155.00M,14.22B,20.94B,20.76B,1.904B,3.589B,5.493B,5.519B,2.855B,48.84B,207.37B,-102.86B,104.50B,4.617B,4.617B,21.52B,,2.077B,3.21B,,135.93B,184.77B,,19.26B,4.242B,23.50B,5.324B,28.82B,187.00M,187.00M,,,,29.01B,11.00B,286.00M,11.29B,12.70B,,31.96B,6.696B,730.00M,,49.95B,78.96B,,1.832B,119.64B,14.80B,26.41B,,,,,,-4.466B,105.08B,,AOR,Restated
2010-09,11.00B,66.00M,11.06B,,17.99B,1.99B,4.147B,6.137B,5.818B,3.473B,44.48B,202.11B,-100.38B,101.73B,4.618B,4.618B,21.76B,,2.147B,2.455B,,132.72B,177.20B,,17.24B,4.038B,21.28B,5.405B,26.68B,170.00M,170.00M,,,,26.85B,10.14B,306.00M,10.45B,12.20B,,30.61B,6.322B,722.00M,,47.38B,74.23B,,1.832B,115.78B,14.77B,25.89B,,,,,,-3.94B,102.24B,,AOR,Restated
2010-06,9.396B,66.00M,9.462B,,17.89B,1.925B,3.986B,5.911B,5.375B,3.753B,42.39B,196.03B,-97.49B,98.54B,4.618B,4.618B,21.68B,,2.208B,2.305B,,129.35B,171.75B,,16.37B,4.182B,20.55B,5.086B,25.64B,375.00M,375.00M,,,,26.01B,9.793B,305.00M,10.10B,11.41B,,28.62B,6.726B,722.00M,,45.44B,71.46B,,1.832B,113.46B,14.72B,26.00B,,,,,,-4.126B,99.57B,,AOR,Restated
2010-03,7.376B,84.00M,7.46B,,17.92B,1.865B,4.213B,6.078B,5.672B,3.695B,40.83B,191.98B,-94.63B,97.35B,4.618B,4.618B,21.29B,,2.399B,2.452B,,128.11B,168.93B,,16.79B,5.268B,22.06B,5.209B,27.26B,302.00M,302.00M,,,,27.57B,9.793B,290.00M,10.08B,11.33B,,28.60B,6.626B,703.00M,,45.31B,72.88B,,1.832B,109.48B,14.68B,26.12B,,,,,,-4.219B,95.35B,,AOR,Restated
2009-12,8.716B,106.00M,8.822B,17.93B,17.70B,1.849B,3.68B,5.529B,5.162B,,37.22B,188.29B,-91.82B,96.47B,4.618B,4.618B,21.16B,,2.282B,2.879B,,127.40B,164.62B,,16.44B,4.015B,20.45B,5.375B,25.83B,384.00M,384.00M,,,,26.21B,9.829B,301.00M,10.13B,11.52B,,28.91B,,647.00M,6.808B,45.85B,72.06B,,1.832B,106.29B,14.63B,26.17B,,,,,,-4.321B,91.91B,,AOR,Restated
2009-09,7.568B,121.00M,7.689B,,17.07B,1.671B,4.652B,6.323B,4.459B,,35.54B,183.55B,-89.29B,94.26B,4.619B,4.619B,21.56B,,2.394B,3.87B,316.00M,127.02B,162.56B,,15.72B,3.937B,19.65B,5.501B,25.15B,240.00M,240.00M,,,,25.39B,9.973B,329.00M,10.30B,11.74B,,29.24B,,576.00M,6.409B,45.95B,71.34B,,1.832B,104.58B,14.58B,26.26B,,,,,,-3.676B,90.65B,,AOR,Restated
2009-06,7.236B,108.00M,7.344B,16.62B,16.62B,1.656B,4.828B,6.484B,4.271B,,34.72B,180.07B,-86.40B,93.67B,4.619B,4.619B,21.55B,,2.389B,4.156B,100.00M,126.48B,161.20B,,15.58B,3.484B,19.07B,5.428B,24.50B,868.00M,868.00M,,,,25.36B,10.85B,342.00M,11.19B,11.39B,,29.28B,6.885B,522.00M,,47.36B,72.72B,,1.832B,102.10B,14.54B,26.30B,,,,,,-3.795B,87.96B,,AOR,Restated
2009-03,9.15B,154.00M,9.304B,,14.42B,1.625B,4.803B,6.428B,3.926B,,34.07B,176.41B,-83.86B,92.55B,4.619B,4.619B,21.44B,,2.20B,4.451B,92.00M,125.35B,159.43B,,13.64B,4.305B,17.94B,5.935B,23.88B,1.018B,1.018B,,,,24.89B,10.85B,328.00M,11.18B,11.14B,,28.76B,,503.00M,6.779B,46.72B,71.61B,,1.832B,101.65B,14.50B,26.35B,,,,,,-3.902B,87.31B,,AOR,Restated
2008-12,9.347B,213.00M,9.56B,16.10B,15.86B,1.679B,5.175B,6.854B,4.20B,,36.47B,173.30B,-81.52B,91.78B,4.619B,4.619B,20.92B,,2.413B,4.711B,252.00M,124.70B,161.16B,,16.58B,4.548B,21.13B,8.077B,29.20B,2.818B,2.818B,,,,32.02B,5.742B,341.00M,6.083B,11.54B,,29.22B,,469.00M,6.725B,42.02B,74.05B,,1.832B,101.10B,14.45B,26.38B,,,,,,-3.924B,86.65B,,,Restated
