,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,,SharesData(Quarterly),AverageBasicSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2017-06,556.69M,556.69M,232.91M,323.78M,147.94M,36.71M,11.77M,-1.955M,5.905M,2.595M,-3.31M,,196.42M,127.36M,2.595M,5.905M,-3.31M,-2.429M,-3.31M,121.62M,20.01M,101.61M,101.61M,103.25M,155.70M,,2017-06,0.72,,,,2017-06,0.71,,,,2017-06,141.64M,,2017-06,AOR,Restated
2017-03,514.20M,514.20M,214.49M,299.71M,137.86M,35.13M,11.38M,-7.945M,7.336M,4.425M,-2.911M,,184.37M,115.34M,4.425M,7.336M,-2.911M,-4.441M,-2.911M,107.99M,20.17M,87.82M,87.82M,94.28M,143.81M,,2017-03,0.62,,,,2017-03,0.62,,,,2017-03,141.71M,,2017-03,AOR,Restated
2016-12,530.40M,530.40M,221.33M,309.07M,139.31M,38.19M,11.69M,-22.99M,6.628M,4.191M,-2.437M,,189.19M,119.88M,4.191M,6.628M,-2.437M,-21.24M,-2.437M,96.21M,19.46M,76.74M,76.74M,95.09M,130.56M,,2016-12,0.54,,,,2016-12,0.54,,,,2016-12,141.31M,,2016-12,AOR,Restated
2016-09,465.45M,465.45M,196.27M,269.18M,128.85M,34.45M,11.74M,,6.401M,3.908M,-2.493M,,175.04M,94.15M,3.908M,6.401M,-2.493M,1.272M,-2.493M,92.92M,16.82M,76.11M,76.11M,76.11M,127.10M,,2016-09,0.54,,,,2016-09,0.54,,,,2016-09,140.78M,,2016-09,AOR,Restated
2016-06,518.65M,518.65M,217.16M,301.49M,135.84M,34.38M,12.63M,-0.75M,,,-2.374M,,182.85M,118.64M,,,-2.374M,1.169M,-2.374M,117.43M,34.31M,83.13M,83.13M,83.66M,160.56M,,2016-06,0.59,,,,2016-06,0.59,,,,2016-06,140.55M,,2016-06,AOR,Restated
2016-03,453.88M,453.88M,194.00M,259.88M,122.90M,28.11M,4.558M,0.00,,,2.131M,,155.57M,104.31M,,,2.131M,2.553M,2.131M,109.00M,18.20M,90.79M,90.79M,90.79M,124.22M,,2016-03,0.65,,,,2016-03,0.64,,,,2016-03,140.19M,,2016-03,AOR,Restated
2015-12,454.54M,454.54M,188.03M,266.51M,118.22M,28.97M,4.429M,-6.914M,,,2.476M,,151.62M,114.89M,,,2.476M,-3.672M,2.476M,113.70M,18.12M,95.58M,95.58M,101.39M,136.41M,,2015-12,0.68,,,,2015-12,0.68,,,,2015-12,139.93M,,2015-12,AOR,Restated
2015-09,411.65M,411.65M,173.03M,238.62M,111.10M,27.19M,2.307M,,,,3.422M,,140.59M,98.02M,,,3.422M,-2.003M,3.422M,99.44M,16.53M,82.92M,82.92M,82.92M,116.43M,,2015-09,0.59,,,,2015-09,0.58,,,,2015-09,140.31M,,2015-09,AOR,Restated
2015-06,453.06M,453.06M,193.63M,259.43M,129.25M,28.52M,2.11M,0.00,,,4.665M,,159.88M,99.55M,,,4.665M,-0.096M,4.665M,104.12M,16.65M,87.46M,87.46M,87.46M,149.75M,,2015-06,0.62,,,,2015-06,0.61,,,,2015-06,140.85M,,2015-06,AOR,Restated
2015-03,422.50M,422.50M,171.07M,251.43M,116.34M,27.02M,2.203M,0.00,,,4.761M,,145.56M,105.87M,,,4.761M,3.729M,4.761M,114.36M,23.38M,90.98M,90.98M,90.98M,123.73M,,2015-03,0.65,,,,2015-03,0.64,,,,2015-03,140.79M,,2015-03,AOR,Restated
2014-12,422.95M,422.95M,159.73M,263.22M,122.52M,29.29M,2.262M,0.00,,,5.418M,,154.08M,109.15M,,,5.418M,0.947M,5.418M,115.51M,24.33M,91.18M,91.18M,91.18M,128.02M,,2014-12,0.65,,,,2014-12,0.64,,,,2014-12,140.05M,,2014-12,AOR,Restated
2014-09,380.40M,380.40M,143.09M,237.31M,110.52M,30.02M,2.094M,,,,5.584M,,142.64M,94.68M,,,5.584M,1.671M,5.584M,101.93M,18.67M,83.26M,83.26M,83.26M,113.26M,,2014-09,0.59,,,,2014-09,0.58,,,,2014-09,140.13M,,2014-09,AOR,Restated
2014-06,415.21M,415.21M,153.95M,261.26M,122.24M,31.80M,2.408M,,,,5.925M,,156.45M,104.81M,,,5.925M,-4.102M,5.925M,106.64M,18.90M,87.74M,87.74M,87.74M,150.43M,,2014-06,0.62,,,,2014-06,0.61,,,,2014-06,140.57M,,2014-06,AOR,Restated
2014-03,397.76M,397.76M,145.97M,251.79M,115.10M,29.53M,2.459M,,,,6.015M,,147.09M,104.70M,,,6.015M,2.199M,6.015M,112.91M,22.94M,89.97M,89.97M,89.97M,121.88M,,2014-03,0.64,,,,2014-03,0.63,,,,2014-03,140.96M,,2014-03,AOR,Restated
2013-12,384.34M,384.34M,135.58M,248.76M,111.75M,29.54M,2.454M,,,,6.752M,,143.74M,105.02M,,,6.752M,-2.311M,6.752M,109.46M,22.82M,86.64M,86.64M,86.64M,123.60M,,2013-12,0.61,,,,2013-12,0.60,,,,2013-12,142.20M,,2013-12,AOR,Restated
2013-09,357.66M,357.66M,129.68M,227.98M,101.32M,27.36M,2.412M,,,,6.414M,,131.10M,96.88M,,,6.414M,-1.228M,6.414M,102.07M,21.14M,80.93M,80.93M,80.93M,114.75M,,2013-09,0.57,,,,2013-09,0.56,,,,2013-09,142.00M,,2013-09,AOR,Restated
2013-06,414.61M,414.61M,154.76M,259.85M,115.06M,31.39M,2.471M,,,,7.439M,,173.68M,86.17M,,,7.439M,-5.778M,7.439M,87.83M,14.81M,73.01M,73.01M,73.01M,142.51M,,2013-06,0.51,,,,2013-06,0.50,,,,2013-06,142.67M,,2013-06,AOR,Restated
2013-03,383.58M,383.58M,144.13M,239.45M,109.63M,31.19M,2.533M,,,,8.078M,,143.35M,96.10M,,,8.078M,3.815M,8.078M,107.99M,23.08M,84.91M,84.91M,84.91M,116.77M,,2013-03,0.59,,,,2013-03,0.58,,,,2013-03,143.29M,,2013-03,AOR,Restated
2012-12,376.54M,376.54M,143.82M,232.71M,107.82M,30.33M,2.501M,,,,8.498M,,140.64M,92.07M,,,8.498M,-2.168M,8.498M,98.40M,20.46M,77.94M,77.94M,77.94M,111.37M,,2012-12,0.54,,,,2012-12,0.53,,,,2012-12,143.21M,,2012-12,AOR,Restated
2012-09,339.73M,339.73M,131.08M,208.65M,98.30M,27.22M,2.636M,,,,8.471M,,128.16M,80.49M,,,8.471M,1.941M,8.471M,90.90M,19.64M,71.26M,71.26M,71.26M,99.14M,,2012-09,0.50,,,,2012-09,0.49,,,,2012-09,142.65M,,2012-09,AOR,Restated
2012-06,371.93M,371.93M,145.46M,226.47M,105.91M,27.91M,2.919M,,,,7.326M,,136.74M,89.73M,,,7.326M,1.453M,7.326M,98.51M,21.66M,76.85M,76.85M,76.85M,154.48M,,2012-06,0.54,,,,2012-06,0.53,,,,2012-06,142.81M,,2012-06,AOR,Restated
2012-03,349.07M,349.07M,138.58M,210.50M,101.96M,28.40M,3.592M,,,,7.65M,,133.95M,76.55M,,,7.65M,-0.191M,7.65M,84.01M,19.39M,64.61M,64.61M,64.61M,96.57M,,2012-03,0.45,,,,2012-03,0.44,,,,2012-03,144.02M,,2012-03,AOR,Restated
2011-12,332.74M,332.74M,134.02M,198.72M,100.55M,27.22M,3.691M,,,,7.181M,,131.46M,67.25M,,,7.181M,8.496M,7.181M,82.93M,20.06M,62.87M,62.87M,62.87M,90.25M,,2011-12,0.43,,,,2011-12,0.42,,,,2011-12,146.37M,,2011-12,AOR,Restated
2011-09,314.77M,314.77M,129.72M,185.05M,94.20M,26.21M,3.771M,,,,6.924M,,124.18M,60.87M,,,6.924M,-1.301M,6.924M,66.50M,15.98M,50.52M,50.52M,50.52M,81.28M,,2011-09,0.34,,,,2011-09,0.33,,,,2011-09,150.37M,,2011-09,AOR,Restated
2011-06,341.89M,341.89M,143.02M,198.87M,103.33M,26.98M,2.87M,-7.506M,,,8.278M,,133.17M,65.70M,,,8.278M,3.234M,8.278M,77.21M,18.74M,58.47M,58.47M,64.16M,123.75M,,2011-06,0.38,0.00,,,2011-06,0.37,0.00,,,2011-06,152.66M,,2011-06,AOR,Restated
2011-03,313.26M,313.26M,130.76M,182.50M,92.55M,23.32M,2.673M,0.398M,,,6.663M,,118.54M,63.96M,,,6.663M,0.398M,6.663M,71.02M,17.67M,53.35M,53.35M,53.05M,82.08M,,2011-03,0.35,0.00,,,2011-03,0.34,0.00,,,2011-03,153.25M,,2011-03,AOR,Restated
2010-12,305.99M,305.99M,119.99M,186.00M,91.58M,21.97M,2.573M,3.043M,,,6.005M,,116.13M,69.87M,,,6.005M,3.043M,6.005M,78.92M,20.46M,58.46M,58.46M,56.20M,87.22M,,2010-12,0.38,0.00,,,2010-12,0.37,0.00,,,2010-12,152.42M,,2010-12,AOR,Restated
2010-09,282.01M,282.01M,108.06M,173.95M,84.79M,19.74M,2.03M,4.063M,,,5.097M,,106.56M,67.39M,,,5.097M,4.063M,5.097M,76.55M,19.85M,56.71M,56.71M,53.70M,83.04M,,2010-09,0.37,0.00,,,2010-09,0.36,0.00,,,2010-09,151.47M,,2010-09,AOR,Restated
2010-06,291.57M,291.57M,117.06M,174.52M,83.87M,19.95M,2.074M,-7.765M,,,4.646M,,105.90M,68.62M,,,4.646M,-1.337M,4.646M,71.93M,18.76M,53.17M,53.17M,58.91M,103.97M,,2010-06,0.35,,,,2010-06,0.34,,,,2010-06,151.69M,,2010-06,AOR,Restated
2010-03,278.66M,278.66M,112.08M,166.58M,84.13M,18.28M,1.992M,1.387M,,,4.092M,,104.40M,62.18M,,,4.092M,1.387M,4.092M,67.66M,18.82M,48.83M,48.83M,47.83M,78.30M,,2010-03,0.32,0.00,,,2010-03,0.31,0.00,,,2010-03,150.88M,,2010-03,AOR,Restated
2009-12,275.13M,275.13M,110.93M,164.20M,84.09M,19.06M,2.13M,1.009M,,,3.166M,,105.28M,58.92M,,,3.166M,1.009M,3.166M,63.10M,17.11M,45.98M,45.98M,45.25M,74.80M,,2009-12,0.31,0.00,,,2009-12,0.30,0.00,,,2009-12,150.25M,,2009-12,AOR,Restated
2009-09,246.99M,246.99M,96.81M,150.18M,76.76M,17.91M,1.845M,2.118M,,,2.125M,,96.52M,53.66M,,,2.125M,2.118M,2.125M,57.91M,15.80M,42.10M,42.10M,40.56M,67.76M,,2009-09,0.28,0.00,,,2009-09,0.27,0.00,,,2009-09,150.79M,,2009-09,AOR,Restated
2009-06,251.96M,251.96M,95.25M,156.71M,81.09M,16.97M,1.756M,1.004M,,,2.09M,,99.81M,56.90M,,,2.09M,3.392M,2.09M,62.38M,17.01M,45.37M,45.37M,44.64M,71.80M,,2009-06,0.305,0.00,,,2009-06,0.295,0.00,,,2009-06,150.68M,,2009-06,AOR,Restated
2009-03,227.86M,227.86M,88.92M,138.94M,70.87M,13.88M,1.677M,-1.142M,,,2.218M,,86.42M,52.52M,,,2.218M,-1.142M,2.218M,53.59M,14.40M,39.20M,39.20M,40.03M,65.45M,,2009-03,0.26,0.00,,,2009-03,0.255,0.00,,,2009-03,151.64M,,2009-03,AOR,Restated
2008-12,222.98M,222.98M,91.96M,131.02M,70.09M,14.92M,1.694M,-0.015M,,,2.666M,,86.70M,44.33M,,,2.666M,-0.015M,2.666M,46.98M,13.13M,33.85M,33.85M,33.86M,56.10M,,2008-12,0.225,0.00,,,2008-12,0.22,0.00,,,2008-12,151.48M,,2008-12,,Restated
2008-09,217.93M,217.93M,90.80M,127.13M,71.34M,17.29M,1.933M,-1.068M,,,,,90.56M,36.56M,,,,-1.068M,,38.73M,10.70M,28.03M,28.03M,28.80M,50.92M,,2008-09,0.185,0.00,,,2008-09,0.18,0.00,,,2008-09,151.23M,,2008-09,,
2008-06,235.15M,235.15M,101.07M,134.08M,77.44M,17.59M,2.066M,1.526M,,,,,99.10M,34.99M,,,,1.526M,,41.63M,12.00M,29.63M,29.63M,28.55M,51.54M,,2008-06,0.195,0.00,,,2008-06,0.19,0.00,,,2008-06,153.96M,,2008-06,,
2008-03,211.83M,211.83M,85.27M,126.56M,70.12M,15.00M,1.987M,1.845M,,,,,87.11M,39.45M,,,,1.845M,,43.56M,13.88M,29.68M,29.68M,28.43M,54.19M,,2008-03,0.19,0.00,,,2008-03,0.19,0.00,,,2008-03,155.03M,,2008-03,,
2007-12,202.68M,202.68M,81.35M,121.33M,67.64M,14.92M,1.917M,-0.358M,,,,,84.48M,36.85M,,,,-0.358M,,38.85M,11.99M,26.86M,26.86M,27.11M,50.66M,,2007-12,0.175,0.00,,,2007-12,0.17,0.00,,,2007-12,154.89M,,2007-12,,
2007-09,185.74M,185.74M,73.96M,111.78M,62.88M,13.01M,1.821M,-2.563M,,,,,77.72M,34.06M,,,,-2.563M,,33.81M,9.687M,24.12M,24.12M,25.95M,48.45M,,2007-09,0.155,0.00,,,2007-09,0.155,0.00,,,2007-09,155.14M,,2007-09,,
2007-06,191.31M,191.31M,74.10M,117.21M,65.21M,14.16M,1.783M,2.509M,,,,,81.16M,36.05M,,,,2.509M,,40.44M,12.77M,27.67M,27.67M,25.96M,49.18M,,2007-06,0.175,0.00,,,2007-06,0.175,0.00,,,2007-06,155.10M,,2007-06,,
2007-03,182.99M,182.99M,128.76M,54.23M,61.34M,13.06M,1.73M,-0.669M,,,,,76.12M,-21.89M,,,,-0.669M,,-20.95M,-5.588M,-15.36M,-15.36M,-14.87M,-9.634M,,2007-03,-0.10,0.00,,,2007-03,-0.10,0.00,,,2007-03,154.07M,,2007-03,,
2006-12,178.43M,178.43M,66.67M,111.76M,57.34M,12.03M,1.702M,0.067M,,,,,71.07M,40.69M,,,,0.067M,,42.24M,13.25M,29.00M,29.00M,28.95M,52.73M,,2006-12,0.19,0.00,,,2006-12,0.185,0.00,,,2006-12,152.72M,,2006-12,,
2006-09,163.60M,163.60M,62.31M,101.30M,53.44M,10.86M,1.681M,-0.574M,,,,,65.98M,35.32M,,,,-0.574M,,36.24M,11.24M,25.00M,25.00M,25.39M,46.02M,,2006-09,0.165,0.00,,,2006-09,0.16,0.00,,,2006-09,151.79M,,2006-09,,
2006-06,171.17M,171.17M,66.99M,104.18M,52.93M,11.06M,1.666M,-1.457M,,,,,66.42M,37.77M,,,,-1.457M,,38.86M,15.77M,23.09M,23.09M,23.97M,48.86M,,2006-06,0.155,0.00,,,2006-06,0.145,0.00,,,2006-06,151.00M,,2006-06,,
2006-03,162.28M,162.28M,61.41M,100.87M,53.41M,9.143M,1.57M,0.153M,,,,,64.12M,36.74M,,,,0.153M,,38.12M,11.76M,26.36M,26.36M,26.26M,47.56M,,2006-03,0.18,0.00,,,2006-03,0.17,0.00,,,2006-03,145.10M,,2006-03,,
2005-12,146.42M,146.42M,54.69M,91.73M,49.15M,8.588M,1.545M,0.857M,,,,,59.28M,32.44M,,,,0.857M,,32.55M,10.23M,22.31M,22.31M,21.73M,42.32M,,2005-12,0.155,0.00,,,2005-12,0.15,0.00,,,2005-12,141.84M,,2005-12,,
2005-09,127.13M,127.13M,47.01M,80.12M,44.68M,8.425M,1.545M,-0.665M,,,,,54.65M,25.47M,,,,-0.665M,,23.87M,7.425M,16.44M,16.44M,16.90M,35.31M,,2005-09,0.115,0.00,,,2005-09,0.115,0.00,,,2005-09,140.70M,,2005-09,,
2005-06,125.42M,125.42M,45.65M,79.78M,40.62M,8.113M,,-6.704M,,,,,50.10M,29.67M,,,,-6.704M,,23.13M,7.553M,15.58M,15.58M,20.09M,38.66M,,2005-06,0.11,0.00,,,2005-06,0.11,0.00,,,2005-06,139.62M,,2005-06,,
2005-03,108.45M,108.45M,38.16M,70.30M,34.45M,7.24M,,-1.919M,,,,,41.69M,28.61M,,,,-1.919M,,26.70M,8.819M,17.88M,17.88M,19.16M,36.09M,,2005-03,0.13,0.00,,,2005-03,0.125,0.00,,,2005-03,137.93M,,2005-03,,
2004-12,103.89M,103.89M,35.52M,68.38M,33.47M,8.342M,,-0.279M,,,,,41.81M,26.57M,,,,-0.279M,,26.13M,8.725M,17.40M,17.40M,17.59M,33.40M,,2004-12,0.13,0.00,,,2004-12,0.125,0.00,,,2004-12,136.05M,,2004-12,,
2004-09,87.73M,87.73M,31.32M,56.41M,26.66M,6.819M,,-1.937M,,,,,33.48M,22.93M,,,,-1.937M,,20.67M,6.744M,13.93M,13.93M,15.23M,28.75M,,2004-09,0.105,0.00,,,2004-09,0.10,0.00,,,2004-09,135.55M,,2004-09,,
2004-06,92.89M,92.89M,33.29M,59.60M,28.55M,6.028M,,-0.952M,,,,,35.08M,24.52M,,,,-0.952M,,23.59M,7.732M,15.86M,15.86M,16.49M,29.02M,,2004-06,0.1175,0.00,,,2004-06,0.1125,0.00,,,2004-06,135.29M,,2004-06,,
2004-03,91.28M,91.28M,33.73M,57.55M,28.20M,6.858M,,0.211M,,,,,35.06M,22.49M,,,,0.211M,,22.26M,7.236M,15.03M,15.03M,14.89M,27.24M,,2004-03,0.1125,0.00,,,2004-03,0.1075,0.00,,,2004-03,134.56M,,2004-03,,
2003-12,82.29M,82.29M,29.87M,52.42M,25.76M,7.266M,,1.883M,,,,,33.03M,19.39M,,,,1.883M,,20.91M,6.757M,14.15M,14.15M,12.88M,23.90M,,2003-12,0.105,0.00,,,2003-12,0.10,0.00,,,2003-12,134.65M,,2003-12,,
2003-09,72.88M,72.88M,25.72M,47.16M,22.19M,6.017M,,-0.652M,,,,,28.20M,18.95M,,,,-0.652M,,17.91M,5.659M,12.25M,12.25M,12.69M,23.08M,,2003-09,0.09,0.00,,,2003-09,0.0875,0.00,,,2003-09,134.60M,,2003-09,,
2003-06,80.70M,80.70M,30.33M,50.36M,25.58M,6.235M,,1.786M,,,,,31.81M,18.55M,,,,1.786M,,19.92M,6.395M,13.52M,13.52M,12.31M,21.54M,,2003-06,0.10,0.00,,,2003-06,0.0975,0.00,,,2003-06,133.10M,,2003-06,,
2003-03,69.00M,69.00M,25.81M,43.19M,21.01M,5.068M,,1.406M,,,,,26.08M,17.11M,,,,1.406M,,18.01M,5.757M,12.25M,12.25M,11.29M,20.49M,,2003-03,0.0925,0.00,,,2003-03,0.0875,0.00,,,2003-03,132.26M,,2003-03,,
2002-12,65.29M,65.29M,23.45M,41.84M,20.93M,4.836M,,-0.127M,,,,,25.77M,16.07M,,,,-0.127M,,15.20M,4.818M,10.38M,10.38M,10.47M,19.30M,,2002-12,0.0775,0.00,,,2002-12,0.075,0.00,,,2002-12,131.98M,,2002-12,,
2002-09,58.59M,58.59M,20.89M,37.70M,17.69M,4.395M,,-0.729M,,,,0.10M,22.19M,15.51M,,,,-0.729M,,14.00M,4.428M,9.571M,9.571M,10.07M,18.48M,,2002-09,0.0725,0.00,,,2002-09,0.07,0.00,,,2002-09,131.53M,,2002-09,,
2002-06,56.25M,56.25M,19.44M,36.81M,19.01M,4.14M,,4.487M,,,,103.67M,126.82M,-90.01M,,,,4.487M,,17.38M,5.715M,11.66M,9.81M,8.652M,-88.00M,,2002-06,0.09,-0.015,,,2002-06,0.085,-0.015,,,2002-06,130.88M,,2002-06,,
2002-03,52.78M,52.78M,19.00M,33.77M,16.41M,3.792M,,-0.567M,,,,1.00M,21.20M,12.57M,,,,-0.567M,,12.11M,3.585M,8.526M,10.38M,8.925M,15.44M,,2002-03,0.065,0.015,0.0144,,2002-03,0.0625,0.015,0.0137,,2002-03,128.87M,,2002-03,,
2001-12,48.92M,48.92M,17.09M,31.84M,14.77M,3.617M,,-0.079M,,,,,18.39M,13.45M,,,,-0.079M,,12.53M,3.755M,8.779M,8.779M,8.834M,16.00M,,2001-12,0.0675,0.00,,,2001-12,0.065,0.00,,,2001-12,128.17M,,2001-12,,
2001-09,46.13M,46.13M,15.30M,30.83M,14.28M,3.361M,,0.117M,,,,,17.65M,13.19M,,,,0.117M,,12.57M,4.031M,8.538M,8.538M,8.459M,15.72M,,2001-09,0.0675,0.00,,,2001-09,0.0625,0.00,,,2001-09,126.89M,,2001-09,,
2001-06,47.03M,47.03M,20.99M,26.04M,15.87M,3.235M,,0.683M,,,,,19.11M,6.933M,,,,0.683M,,12.72M,4.369M,8.346M,8.346M,7.898M,9.67M,,2001-06,0.065,0.00,,,2001-06,0.0625,0.00,,,2001-06,125.70M,,2001-06,,
2001-03,42.68M,42.68M,11.79M,30.89M,13.73M,3.017M,,-17.78M,,,,-1.965M,16.74M,14.14M,,,,-17.78M,,-5.856M,4.338M,-10.19M,-10.19M,0.4734M,16.11M,,2001-03,-0.0825,0.00,,,2001-03,-0.0825,0.00,,,2001-03,124.98M,,2001-03,,
2000-12,34.37M,34.37M,9.566M,24.80M,10.72M,2.505M,,0.57M,,,,,15.01M,9.792M,,,,0.57M,,10.47M,3.569M,6.898M,6.898M,6.522M,11.57M,,2000-12,0.055,0.00,,,2000-12,0.0525,0.00,,,2000-12,124.15M,,2000-12,,
2000-09,31.08M,31.08M,8.031M,23.05M,9.591M,2.389M,,0.883M,,,,,13.94M,9.107M,,,,0.883M,,9.988M,3.408M,6.58M,6.58M,5.998M,11.07M,,2000-09,0.0525,0.00,,,2000-09,0.05,0.00,,,2000-09,123.24M,,2000-09,,
2000-06,31.56M,31.56M,8.623M,22.94M,10.12M,2.535M,,0.328M,,,,,14.05M,8.895M,,,,0.328M,,9.482M,3.291M,6.191M,6.191M,5.977M,10.28M,,2000-06,0.0525,0.00,,,2000-06,0.0475,0.00,,,2000-06,119.39M,,2000-06,,
