,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentAccruedExpenses,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2015-09,822.05M,,822.05M,327.17M,,327.17M,75.49M,2.215M,180.90M,258.61M,83.48M,41.49M,,1.533B,0.00,51.90M,223.42M,439.24M,,,30.92M,745.48M,-376.50M,368.98M,262.82M,42.60M,305.42M,,,11.99M,2.255B,,2015-09,77.48M,26.55M,104.03M,117.65M,221.68M,,,,,,34.85M,35.62M,0.776M,,257.31M,500.59M,,500.59M,7.968M,,2.804M,536.56M,793.87M,,2.014B,1.248B,1.507B,-295.62M,1.461B,,2015-09,AOR,Restated
2015-06,717.25M,,717.25M,362.57M,,362.57M,74.42M,2.55M,169.89M,246.86M,81.17M,,,1.408B,0.00,54.92M,235.52M,448.26M,,,31.55M,770.25M,-382.49M,387.76M,264.26M,47.14M,311.40M,,,46.38M,2.182B,,2015-06,81.11M,30.14M,111.25M,117.16M,228.41M,,,,,,36.10M,36.10M,,1.954M,266.46M,300.59M,,300.59M,6.372M,,,328.00M,594.47M,,1.976B,1.229B,1.445B,-173.52M,1.587B,,2015-06,AOR,Restated
2015-03,866.32M,,866.32M,345.48M,,354.36M,81.97M,5.898M,137.32M,225.19M,75.04M,31.85M,,1.553B,0.00,54.48M,233.51M,438.41M,,,30.77M,757.17M,-373.01M,384.16M,255.58M,46.76M,302.34M,,,9.945M,2.278B,,2015-03,70.90M,15.80M,86.70M,131.77M,218.47M,,,,,,37.30M,37.93M,0.639M,,256.40M,460.58M,,460.58M,8.831M,,,485.35M,741.75M,,1.928B,1.196B,1.389B,-199.50M,1.536B,,2015-03,AOR,Restated
2014-12,880.70M,,880.70M,340.43M,,348.35M,68.96M,4.438M,144.66M,218.06M,81.70M,29.68M,,1.558B,0.00,56.92M,243.92M,465.22M,,,28.86M,794.91M,-386.69M,408.22M,272.62M,48.35M,320.97M,,,10.74M,2.327B,,2014-12,80.00M,8.027M,88.03M,134.07M,222.10M,,,,,,36.88M,37.51M,0.625M,,259.61M,449.66M,,449.66M,9.615M,,,478.50M,738.11M,,1.876B,1.161B,1.368B,-81.50M,1.588B,,2014-12,AOR,Restated
2014-09,881.69M,,881.69M,328.59M,,331.17M,58.02M,3.761M,135.44M,197.23M,88.39M,36.27M,,1.535B,0.00,59.49M,254.51M,470.52M,,,29.03M,813.56M,-393.77M,419.79M,277.26M,46.48M,323.75M,,,13.54M,2.309B,,2014-09,76.25M,13.62M,89.87M,124.24M,214.10M,,,,,,39.54M,40.19M,0.651M,,254.30M,375.70M,,375.70M,10.00M,,,401.95M,656.24M,,1.824B,1.137B,1.335B,26.45M,1.653B,,2014-09,AOR,Restated
2014-06,905.73M,,905.73M,359.59M,,359.59M,53.68M,3.358M,108.38M,165.42M,93.56M,31.91M,,1.556B,0.00,62.47M,266.77M,482.93M,,,30.36M,842.53M,-408.25M,434.28M,289.31M,45.20M,334.51M,,,18.76M,2.361B,,2014-06,85.40M,28.70M,114.11M,109.13M,223.24M,,0.018M,0.018M,,0.018M,42.37M,43.09M,0.717M,3.215M,269.56M,300.77M,,300.77M,10.72M,,,333.16M,602.71M,,1.780B,1.118B,1.292B,151.56M,1.758B,,2014-06,AOR,Restated
2014-03,938.56M,,938.56M,337.57M,,345.30M,54.56M,2.701M,107.62M,164.89M,79.13M,36.02M,,1.564B,0.00,61.79M,263.40M,469.33M,,,30.73M,825.25M,-396.20M,429.05M,290.78M,46.15M,336.94M,,,23.01M,2.365B,,2014-03,55.48M,6.353M,61.84M,142.08M,203.92M,,,0.018M,,0.018M,42.18M,42.96M,0.774M,,246.89M,395.78M,,395.78M,10.08M,,,426.77M,673.66M,,1.728B,1.085B,1.251B,129.54M,1.691B,,2014-03,AOR,Restated
2013-12,972.68M,,972.68M,301.63M,,305.58M,55.85M,2.255M,119.97M,178.08M,75.08M,32.72M,,1.564B,0.00,60.31M,256.95M,445.71M,,,29.89M,792.85M,-378.51M,414.34M,290.04M,46.70M,336.75M,,,22.65M,2.346B,,2013-12,56.24M,1.223M,57.46M,141.95M,199.40M,,,0.018M,,0.018M,42.65M,43.39M,0.741M,,242.81M,435.79M,,435.79M,10.27M,,,463.82M,706.64M,,1.673B,1.065B,1.179B,78.92M,1.639B,,2013-12,AOR,Restated
2013-09,976.57M,,976.57M,282.42M,,285.41M,52.61M,1.832M,120.92M,175.36M,77.27M,43.32M,,1.558B,0.00,62.00M,263.27M,433.90M,,,29.54M,788.71M,-371.97M,416.74M,283.44M,48.67M,332.12M,,,22.62M,2.335B,,2013-09,57.12M,13.45M,70.58M,135.85M,206.42M,,,360.02M,,360.02M,43.91M,44.64M,0.731M,,611.08M,0.79M,,0.79M,14.54M,,,31.02M,642.10M,,1.622B,1.044B,1.105B,130.29M,1.693B,,2013-09,AOR,Restated
2013-06,876.05M,,876.05M,318.35M,,327.26M,46.84M,1.99M,97.02M,145.85M,61.14M,38.55M,,1.449B,0.00,61.09M,260.86M,421.73M,,,28.47M,772.14M,-360.71M,411.43M,274.83M,49.64M,324.47M,,,20.05M,2.211B,,2013-06,60.69M,43.15M,103.84M,115.61M,219.44M,,300.02M,300.02M,,300.02M,44.95M,45.58M,0.627M,9.007M,574.05M,0.769M,,0.769M,9.895M,,,26.16M,600.20M,,1.577B,1.025B,1.084B,92.09M,1.611B,,2013-06,AOR,Restated
2013-03,1.013B,,1.013B,293.49M,,299.55M,48.68M,2.397M,115.41M,166.48M,75.87M,25.27M,,1.580B,0.00,66.71M,282.68M,441.78M,,,28.18M,819.36M,-374.86M,444.50M,272.80M,54.92M,327.71M,,,17.61M,2.375B,,2013-03,49.38M,18.33M,67.72M,127.85M,195.56M,,,340.05M,,340.05M,44.17M,44.80M,0.632M,,580.42M,0.766M,,0.766M,9.262M,,,26.38M,606.80M,,1.528B,991.74M,1.011B,259.12M,1.768B,,2013-03,AOR,Restated
2012-12,958.28M,,958.28M,281.44M,,284.60M,64.07M,1.78M,128.95M,194.80M,70.29M,21.87M,,1.530B,,,,,439.58M,,,439.58M,,439.58M,279.38M,58.20M,337.58M,,,19.40M,2.330B,,2012-12,52.12M,18.96M,71.07M,135.37M,206.45M,,,0.054M,,0.054M,43.78M,44.57M,0.784M,,251.07M,300.80M,,300.80M,9.373M,,,327.80M,578.86M,,1.467B,960.11M,943.88M,267.48M,1.752B,,2012-12,AOR,Restated
2012-09,890.63M,,890.63M,266.54M,,269.63M,62.31M,2.751M,128.11M,193.17M,72.03M,24.75M,,1.450B,,,,,438.36M,,,438.36M,,438.36M,273.28M,59.67M,332.95M,,,17.54M,2.245B,,2012-09,52.91M,24.33M,77.24M,132.10M,209.34M,,,0.053M,,0.053M,42.98M,43.64M,0.66M,,253.03M,265.78M,,265.78M,9.167M,,,292.70M,545.74M,,1.414B,933.25M,903.92M,255.31M,1.699B,,2012-09,AOR,Restated
2012-06,809.54M,,809.54M,283.16M,,285.44M,65.52M,1.692M,107.14M,174.35M,72.23M,19.59M,,1.361B,0.00,65.93M,277.74M,399.72M,,,25.22M,768.62M,-334.25M,434.36M,256.21M,54.83M,311.04M,,,23.50M,2.138B,,2012-06,55.01M,42.53M,97.54M,112.62M,210.16M,,0.052M,0.052M,,0.052M,41.56M,42.64M,1.073M,,252.85M,250.78M,,250.78M,8.843M,,,277.39M,530.24M,,1.367B,899.72M,895.83M,236.46M,1.608B,,2012-06,AOR,Restated
2012-03,776.07M,,776.07M,267.93M,,271.11M,68.13M,2.247M,113.11M,183.49M,81.50M,13.68M,,1.326B,,,,,,,,,,443.09M,267.82M,59.41M,327.23M,,,20.53M,2.129B,,2012-03,54.73M,34.67M,89.40M,122.77M,212.17M,,,0.982M,,0.982M,43.73M,44.32M,0.597M,,257.48M,235.00M,,235.00M,8.112M,3.538M,,262.41M,519.89M,,1.290B,861.31M,806.83M,264.03M,1.609B,,2012-03,AOR,Restated
2011-12,723.23M,,723.23M,238.76M,,240.86M,74.94M,2.601M,106.88M,184.42M,84.66M,13.60M,,1.247B,,,,,,,,,,441.00M,261.11M,61.64M,322.75M,,,17.40M,2.041B,,2011-12,45.76M,26.44M,72.21M,112.29M,184.49M,,,1.45M,,1.45M,41.84M,42.41M,0.574M,,228.36M,225.00M,,225.00M,7.921M,,,252.05M,480.40M,,1.225B,834.18M,739.81M,240.88M,1.561B,,2011-12,AOR,Restated
2011-09,610.06M,,610.06M,251.10M,,253.54M,62.89M,1.756M,123.31M,187.95M,77.88M,13.36M,,1.143B,0.00,63.48M,266.15M,369.47M,,,24.21M,723.30M,-290.61M,432.69M,267.69M,63.94M,331.63M,,,19.80M,1.935B,,2011-09,46.69M,29.15M,75.83M,103.27M,179.11M,,,4.095M,,4.095M,41.92M,42.51M,0.593M,,225.71M,130.00M,,130.00M,9.465M,,,160.56M,386.27M,,1.162B,815.17M,629.34M,200.21M,1.549B,,2011-09,AOR,Restated
2011-06,735.27M,,735.27M,274.35M,,283.65M,73.84M,4.147M,122.79M,200.78M,58.89M,13.88M,,1.292B,0.00,67.58M,282.16M,387.42M,,,25.53M,762.69M,-300.58M,462.11M,235.49M,47.91M,283.40M,,,18.92M,2.069B,,2011-06,55.19M,13.11M,68.30M,94.61M,162.91M,,,0.163M,,0.163M,45.12M,45.76M,0.64M,,208.84M,100.00M,,100.00M,8.051M,,,129.34M,338.18M,,1.112B,798.46M,504.62M,324.43M,1.731B,,2011-06,AOR,Restated
2011-03,671.70M,,671.70M,251.94M,,259.24M,71.62M,3.333M,130.05M,205.00M,54.49M,12.22M,,1.203B,0.00,65.95M,275.10M,398.70M,,,24.43M,764.18M,-316.51M,447.67M,230.86M,49.24M,280.09M,,,20.00M,1.962B,,2011-03,52.37M,5.783M,58.15M,90.35M,148.51M,,,0.235M,,0.235M,42.13M,42.63M,0.497M,,191.37M,80.00M,,80.00M,9.376M,,,107.40M,298.77M,,1.053B,767.44M,440.64M,282.58M,1.663B,,2011-03,AOR,Restated
2010-12,616.20M,,616.20M,235.08M,,240.66M,79.14M,3.512M,132.24M,214.89M,66.06M,7.447M,,1.145B,0.00,65.41M,272.39M,377.41M,,,23.11M,738.32M,-297.27M,441.05M,219.22M,50.63M,269.85M,,,19.83M,1.884B,,2010-12,44.33M,7.884M,52.21M,92.53M,144.74M,,,64.36M,,64.36M,37.03M,37.49M,0.464M,,246.59M,,,,9.615M,,,26.82M,273.41M,,1.000B,737.30M,381.10M,253.95M,1.611B,,2010-12,AOR,Restated
2010-09,540.00M,,540.00M,225.84M,,238.00M,76.67M,2.816M,134.72M,214.21M,61.77M,14.52M,,1.069B,0.00,62.99M,262.87M,355.74M,,,21.44M,703.03M,-279.09M,423.94M,222.33M,49.98M,272.31M,,,20.17M,1.792B,,2010-09,43.07M,28.78M,71.85M,84.77M,156.62M,,,93.80M,,93.80M,35.46M,35.90M,0.44M,,286.32M,,,,11.34M,,,29.07M,315.38M,,941.58M,684.70M,362.38M,212.34M,1.477B,,2010-09,AOR,Restated
2010-06,488.78M,,488.78M,226.91M,,232.23M,63.12M,2.427M,120.10M,185.64M,64.58M,14.11M,,985.34M,0.00,57.78M,240.48M,308.32M,,,18.74M,625.31M,-238.16M,387.15M,198.62M,30.92M,229.55M,,,19.04M,1.626B,,2010-06,57.54M,30.67M,88.20M,30.20M,118.40M,,,121.69M,,121.69M,29.51M,29.91M,0.402M,,312.67M,,,,10.79M,,,26.19M,338.86M,,884.88M,660.18M,344.50M,86.38M,1.288B,,2010-06,AOR,Restated
2010-03,520.94M,3.691M,524.63M,223.67M,,231.10M,74.46M,2.716M,120.64M,197.81M,32.25M,44.57M,,1.030B,0.00,60.92M,253.28M,319.23M,,,19.61M,653.03M,-247.93M,405.10M,215.44M,36.05M,251.49M,0.00,,21.20M,1.713B,,2010-03,51.86M,40.57M,92.43M,86.82M,179.24M,,,114.23M,,114.23M,0.473M,31.50M,31.03M,,324.98M,29.47M,,29.47M,13.31M,,,56.28M,381.26M,,831.71M,617.19M,285.19M,168.22M,1.332B,,2010-03,AOR,Restated
2009-12,451.43M,3.746M,455.18M,208.95M,,215.71M,69.70M,1.529M,111.64M,182.87M,28.77M,45.11M,,927.63M,0.00,60.04M,249.43M,313.14M,,,20.09M,642.70M,-239.49M,403.21M,225.09M,39.49M,264.58M,0.00,,20.17M,1.621B,,2009-12,46.62M,27.00M,73.62M,81.55M,155.17M,,,50.52M,,50.52M,31.95M,34.92M,2.97M,,240.62M,94.60M,,94.60M,14.02M,,,123.11M,363.73M,,782.88M,580.10M,274.49M,168.73M,1.258B,,2009-12,AOR,Restated
2009-09,477.82M,4.278M,482.10M,208.82M,,213.82M,59.83M,2.495M,112.78M,175.11M,24.92M,43.86M,,939.81M,0.00,59.41M,246.81M,299.84M,,,20.44M,626.50M,-229.12M,397.38M,221.19M,35.43M,256.62M,0.00,,20.46M,1.620B,,2009-09,47.29M,69.81M,117.10M,75.30M,192.39M,,,68.30M,,68.30M,31.19M,31.61M,0.416M,,292.30M,95.09M,,95.09M,3.395M,,11.55M,124.91M,417.21M,,736.89M,545.19M,244.34M,164.89M,1.203B,,2009-09,AOR,Restated
