,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,TotalReceivables,TotalCurrentAssets,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,SecuritySoldNotYetRepurchased,UnpaidLossReserve,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,UnrealizedGainorLoss-Total,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,14.92B,347.22B,362.14B,,,,362.14B,,2.027B,2.027B,70.56B,380.50B,,469.95B,819.86B,,,7.888B,7.888B,7.888B,,535.00M,,1.521B,2.056B,2.056B,9.944B,17.67B,17.67B,,,13.85B,149.36B,360.00M,180.88B,771.27B,,6.00M,28.71B,24.76B,16.90B,,,,11.66B,48.23B,,AOR,Restated
2018-03,15.68B,360.67B,376.35B,,,,376.35B,,1.995B,1.995B,70.13B,365.68B,,476.55B,829.68B,,,9.296B,9.296B,9.296B,,521.00M,,862.00M,1.383B,1.383B,10.68B,19.10B,19.10B,,,12.94B,149.92B,345.00M,181.96B,777.50B,,6.00M,28.90B,24.72B,16.56B,,,,14.76B,51.83B,,AOR,Restated
2017-12,14.49B,353.82B,368.32B,,,,368.32B,,1.591B,1.591B,67.94B,388.56B,,475.34B,832.14B,,,9.648B,9.648B,9.648B,,550.00M,,830.00M,1.38B,1.38B,11.03B,18.69B,18.69B,,,12.75B,232.92B,275.00M,264.36B,777.62B,,6.00M,28.67B,24.77B,16.28B,,,,17.07B,54.24B,,AOR,Restated
2017-09,14.54B,355.35B,369.89B,,,,369.89B,,1.817B,1.817B,67.14B,385.77B,,471.49B,821.13B,,,12.51B,12.51B,12.51B,,666.00M,,1.692B,2.358B,2.358B,14.87B,18.67B,18.67B,,,12.84B,148.34B,192.00M,179.85B,770.57B,,6.00M,25.06B,24.72B,16.01B,,,,16.60B,50.37B,,AOR,Restated
2017-06,16.60B,349.02B,365.63B,,,,365.63B,,1.897B,1.897B,66.63B,379.99B,,464.83B,812.59B,,,11.63B,11.63B,11.63B,,867.00M,,912.00M,1.779B,1.779B,13.41B,19.80B,19.80B,,,12.85B,147.55B,196.00M,180.21B,763.95B,,6.00M,23.15B,24.67B,15.74B,,,,16.36B,48.44B,,AOR,Restated
2017-03,13.31B,344.04B,357.34B,,,,357.34B,,2.266B,2.266B,65.55B,373.88B,,457.37B,797.36B,,,10.60B,10.60B,10.60B,,721.00M,,694.00M,1.415B,1.415B,12.01B,20.07B,20.07B,,,12.71B,147.03B,190.00M,179.81B,750.39B,,6.00M,22.98B,24.63B,15.48B,,,,14.64B,46.78B,,AOR,Restated
2016-12,14.13B,338.68B,352.80B,,,,352.80B,,2.314B,2.314B,64.53B,368.42B,,450.05B,783.96B,,,10.41B,10.41B,10.41B,,590.00M,,543.00M,1.133B,1.133B,11.54B,20.19B,20.19B,,,11.94B,224.71B,225.00M,256.84B,737.87B,,6.00M,21.95B,24.61B,15.32B,,,,14.62B,45.86B,,AOR,Restated
2016-09,24.73B,358.26B,382.99B,,,,382.99B,,2.159B,2.159B,64.30B,390.12B,,471.99B,819.86B,,,15.33B,15.33B,15.33B,,475.00M,,432.00M,907.00M,907.00M,16.23B,21.48B,21.48B,,,11.87B,146.58B,543.00M,179.92B,762.89B,,6.00M,21.97B,24.52B,14.99B,,,,24.92B,56.43B,,AOR,Restated
2016-06,24.14B,346.80B,370.94B,,,,370.94B,,1.951B,1.951B,63.38B,378.26B,,457.91B,796.49B,,,15.14B,15.14B,15.14B,,495.00M,,181.00M,676.00M,676.00M,15.82B,21.08B,21.08B,,,11.98B,142.72B,29.00M,175.77B,741.31B,,6.00M,20.45B,24.46B,14.43B,,,,24.67B,55.15B,,AOR,Restated
2016-03,22.49B,327.63B,350.12B,,,,350.12B,,2.582B,2.582B,62.60B,359.54B,,439.54B,773.00B,,,12.13B,12.13B,12.13B,,469.00M,,500.00M,969.00M,969.00M,13.10B,22.55B,22.55B,,,12.41B,139.74B,23.00M,174.71B,723.73B,,6.00M,19.84B,24.42B,14.09B,,,,19.07B,49.24B,,AOR,Restated
2015-12,17.61B,307.70B,325.31B,,,,325.31B,,2.828B,2.828B,62.22B,344.99B,,424.26B,757.26B,,,8.714B,8.714B,8.714B,,464.00M,,752.00M,1.216B,1.216B,9.93B,28.19B,28.19B,,,11.38B,213.07B,33.00M,252.64B,715.33B,,6.00M,18.93B,24.48B,13.81B,,,,12.28B,41.89B,,AOR,Restated
2015-09,20.21B,307.82B,328.03B,,,,328.03B,,2.847B,2.847B,61.67B,344.69B,,423.75B,754.53B,,,9.644B,9.644B,9.644B,,789.00M,,1.044B,1.833B,1.833B,11.48B,28.70B,28.70B,,,12.35B,136.62B,50.00M,177.67B,711.76B,,6.00M,18.52B,24.35B,13.61B,,,,13.46B,42.72B,,AOR,Restated
2015-06,17.04B,305.63B,322.67B,,,,322.67B,,2.994B,2.994B,60.22B,341.04B,,418.99B,762.73B,,,9.239B,9.239B,9.239B,,872.00M,,2.749B,3.621B,3.621B,12.86B,27.72B,27.72B,,,11.67B,135.63B,569.00M,175.02B,720.44B,,6.00M,17.31B,24.40B,13.40B,,,,13.40B,41.72B,,AOR,Restated
2015-03,19.12B,315.58B,334.69B,,,,334.69B,,2.514B,2.514B,59.17B,350.70B,,427.01B,778.61B,,,11.39B,11.39B,11.39B,,491.00M,,2.522B,3.013B,3.013B,14.40B,26.53B,26.53B,,,12.20B,135.14B,530.00M,173.88B,733.04B,,6.00M,16.17B,24.35B,13.23B,,,,17.75B,45.04B,,AOR,Restated
2014-12,14.92B,317.21B,332.13B,,,,332.13B,,2.836B,2.836B,58.14B,350.92B,,425.28B,766.66B,,,9.881B,9.881B,9.881B,,483.00M,,3.356B,3.839B,3.839B,13.72B,25.89B,25.89B,,,13.65B,210.07B,579.00M,249.61B,724.31B,,6.00M,14.89B,24.56B,13.74B,,,,16.05B,41.77B,,AOR,Restated
2014-09,17.22B,316.48B,333.70B,,,,333.70B,,3.394B,3.394B,56.69B,349.19B,,423.66B,764.15B,,,8.634B,8.634B,8.634B,297.00M,980.00M,,3.152B,4.429B,4.429B,13.06B,27.99B,27.99B,,,13.61B,139.13B,583.00M,180.74B,721.80B,,6.00M,16.62B,24.52B,12.88B,,,,13.50B,41.77B,,AOR,Restated
2014-06,12.16B,320.36B,332.52B,,,,332.52B,,3.499B,3.499B,54.93B,353.47B,,425.82B,765.54B,,,8.504B,8.504B,8.504B,326.00M,978.00M,,2.50B,3.804B,3.804B,12.31B,28.06B,28.06B,,,13.68B,138.54B,612.00M,180.28B,723.73B,,6.00M,16.36B,24.48B,12.72B,,,,13.08B,41.20B,,AOR,Restated
2014-03,12.47B,311.54B,324.01B,,,,324.01B,,3.61B,3.61B,54.22B,343.77B,,415.87B,746.74B,,,6.86B,6.86B,6.86B,316.00M,973.00M,,2.73B,4.019B,4.019B,10.88B,26.67B,26.67B,,,13.63B,137.24B,641.00M,177.54B,707.87B,,6.00M,15.52B,24.44B,12.53B,,,,10.80B,38.22B,,AOR,Restated
2013-12,11.44B,304.48B,315.92B,,,,315.92B,,3.675B,3.675B,52.77B,335.07B,,405.35B,731.78B,,,5.422B,5.422B,5.422B,,650.00M,,2.019B,2.669B,2.669B,8.091B,26.86B,26.86B,,,12.94B,200.56B,603.00M,240.36B,695.90B,,6.00M,14.53B,24.48B,12.42B,,,,8.681B,35.28B,,AOR,Restated
2013-09,12.65B,306.25B,318.90B,,,,318.90B,,3.837B,3.837B,51.36B,337.41B,,406.13B,723.13B,,,4.943B,4.943B,4.943B,100.00M,989.00M,,2.029B,3.118B,3.118B,8.061B,26.06B,26.06B,,,13.11B,137.57B,758.00M,176.75B,688.01B,,6.00M,15.34B,24.41B,12.30B,,,,6.899B,34.36B,,AOR,Restated
2013-06,13.04B,302.94B,315.98B,,,,315.98B,,3.846B,3.846B,49.81B,333.24B,,400.49B,705.62B,,,5.106B,5.106B,5.106B,109.00M,993.00M,,1.518B,2.62B,2.62B,7.726B,25.79B,25.79B,,,12.65B,136.61B,760.00M,175.05B,669.71B,,6.00M,14.49B,24.38B,12.18B,,,,8.449B,35.15B,,AOR,Restated
2013-03,14.48B,315.59B,330.06B,,,,330.06B,,4.167B,4.167B,50.40B,347.22B,,415.93B,724.10B,,,8.039B,8.039B,8.039B,100.00M,964.00M,,1.164B,2.228B,2.228B,10.27B,27.38B,27.38B,,,10.09B,138.32B,703.00M,175.79B,683.43B,,6.00M,15.20B,24.35B,12.02B,,,,12.42B,39.96B,,AOR,Restated
2012-12,18.10B,316.06B,334.16B,,,,334.16B,,3.248B,3.248B,48.31B,347.25B,,410.63B,709.24B,,,8.512B,8.512B,8.512B,100.00M,472.00M,,1.912B,2.484B,2.484B,11.00B,26.31B,26.31B,,,9.759B,204.08B,609.00M,240.15B,670.12B,,6.00M,16.07B,24.38B,12.16B,,,,10.21B,38.50B,,AOR,Restated
2012-09,13.91B,9.295B,23.20B,,,,23.20B,,,,48.52B,321.39B,,385.59B,671.70B,,,8.896B,8.896B,8.896B,,,,3.013B,3.013B,3.013B,11.91B,23.84B,23.84B,,,8.033B,,691.00M,31.88B,632.33B,,6.00M,16.90B,24.35B,12.22B,,,,9.65B,38.68B,,AOR,Restated
2012-06,14.24B,8.969B,23.21B,,,,23.21B,,,,47.90B,310.97B,,374.43B,647.46B,,,8.566B,8.566B,8.566B,,,,3.226B,3.226B,3.226B,11.79B,24.30B,24.30B,,,8.139B,,609.00M,32.44B,608.83B,,6.00M,17.52B,24.32B,12.12B,,,,8.29B,38.02B,,AOR,Restated
2012-03,14.20B,7.925B,22.13B,,,,22.13B,,,,47.04B,300.18B,,363.23B,637.74B,,,7.552B,7.552B,7.552B,,,,3.655B,3.655B,3.655B,11.21B,24.38B,24.38B,,,7.20B,,596.00M,31.58B,602.20B,,6.00M,15.34B,24.29B,11.92B,,,,7.226B,34.94B,,AOR,Restated
2011-12,14.25B,271.30B,285.56B,,,,285.56B,,3.845B,3.845B,46.99B,301.44B,,364.48B,620.24B,,,6.558B,6.558B,6.558B,209.00M,1.166B,,961.00M,2.336B,2.336B,8.894B,25.15B,25.15B,,,9.191B,173.84B,588.00M,208.18B,585.40B,,6.00M,16.63B,24.29B,11.92B,,,,5.245B,34.25B,,AOR,Restated
2011-09,15.53B,7.907B,23.43B,,,,23.43B,,,,45.88B,298.77B,,361.58B,611.47B,,,8.319B,8.319B,8.319B,,,,2.899B,2.899B,2.899B,11.22B,23.92B,23.92B,,,9.423B,,655.00M,33.34B,573.67B,,6.00M,19.33B,24.26B,11.74B,,,,5.292B,37.15B,,AOR,Restated
2011-06,13.91B,7.599B,21.51B,,,,21.51B,,,,44.90B,282.79B,,348.73B,613.38B,,,6.542B,6.542B,6.542B,,,,2.152B,2.152B,2.152B,8.694B,24.58B,24.58B,,,6.379B,,593.00M,30.96B,577.74B,,6.00M,17.81B,24.24B,11.03B,,,,4.014B,35.04B,,AOR,Restated
2011-03,11.00B,7.018B,18.01B,,,,18.01B,,,,44.23B,276.12B,,341.94B,599.01B,,,5.602B,5.602B,5.602B,,,,2.432B,2.432B,2.432B,8.034B,24.03B,24.03B,,,5.75B,,550.00M,29.78B,565.76B,,6.00M,16.98B,24.21B,11.06B,,,,2.564B,32.70B,,AOR,Restated
2010-12,12.92B,5.297B,18.21B,,,,18.21B,,,,42.50B,235.24B,,294.18B,539.85B,,,6.353B,6.353B,6.353B,,,,1.982B,1.982B,1.982B,8.335B,23.65B,23.65B,,,8.056B,,513.00M,31.71B,506.93B,,6.00M,16.38B,24.22B,11.17B,,,,2.978B,32.42B,,AOR,Restated
2010-06,11.35B,6.507B,17.86B,,,,17.86B,,,,41.77B,225.70B,,282.68B,495.99B,,,5.311B,5.311B,5.311B,,,,2.219B,2.219B,2.219B,7.53B,22.40B,22.40B,,,5.92B,,545.00M,28.32B,465.72B,,6.00M,15.56B,23.20B,11.24B,,,,2.20B,29.72B,,AOR,Restated
2010-03,9.626B,6.924B,16.55B,,30.76B,30.76B,47.31B,,,,40.98B,219.53B,,276.57B,491.86B,,,4.059B,4.059B,4.059B,,,,3.066B,3.066B,3.066B,7.125B,21.64B,21.64B,,,6.111B,,506.00M,27.75B,464.36B,,6.00M,14.48B,23.19B,11.29B,,,,620.00M,27.00B,,AOR,Restated
2009-12,13.16B,6.825B,19.99B,,,,19.99B,,,,41.53B,213.12B,,270.16B,480.20B,,,4.014B,4.014B,4.014B,,,,3.122B,3.122B,3.122B,7.136B,21.04B,21.04B,,,9.196B,,534.00M,30.23B,454.47B,,6.00M,13.79B,23.24B,11.39B,,,,-443.00M,25.20B,,AOR,Restated
2009-09,11.97B,7.839B,19.81B,,32.12B,32.12B,51.94B,,,,42.20B,210.24B,0.00,273.02B,475.47B,,,3.407B,3.407B,3.407B,,,,2.182B,2.182B,2.182B,5.589B,22.76B,22.76B,,,7.20B,,549.00M,29.96B,450.62B,,6.00M,12.29B,23.35B,11.44B,,,,99.00M,24.30B,,AOR,Restated
2009-06,13.49B,7.137B,20.63B,,32.69B,32.69B,53.32B,,,,42.55B,195.38B,0.00,257.54B,444.72B,,,777.00M,777.00M,777.00M,,,,3.643B,3.643B,3.643B,4.42B,20.98B,20.98B,,,7.168B,,602.00M,28.15B,426.04B,,6.00M,11.24B,23.32B,11.49B,,,,-5.002B,18.07B,,AOR,Restated
2009-03,14.34B,4.672B,19.01B,,,,19.01B,,,,42.42B,187.98B,1.444B,249.25B,427.53B,,,773.00M,773.00M,773.00M,,,,6.651B,6.651B,6.651B,7.424B,20.66B,20.66B,,,7.983B,,576.00M,28.64B,414.02B,,6.00M,11.12B,21.93B,11.54B,,,,-8.575B,12.93B,,AOR,Restated
2008-12,15.03B,5.576B,20.60B,,,,20.60B,,,,42.82B,191.72B,1.106B,256.90B,445.01B,,,459.00M,459.00M,459.00M,,,,10.54B,10.54B,10.54B,10.99B,20.29B,20.29B,,,7.90B,,351.00M,28.19B,431.22B,,6.00M,10.43B,22.00B,11.66B,,,,-7.343B,13.44B,,AOR,Restated
2008-09,11.36B,7.884B,19.24B,,32.74B,32.74B,51.98B,,,,41.95B,192.12B,,258.87B,460.40B,,1.228B,1.35B,2.578B,2.578B,,,,14.54B,14.54B,14.54B,17.12B,17.87B,17.87B,,,,98.33B,,116.20B,441.70B,,6.00M,12.32B,21.84B,11.64B,,,,-3.828B,18.70B,,AOR,Restated
2008-06,9.943B,6.818B,16.76B,,32.46B,32.46B,49.22B,,,,42.05B,194.48B,,260.73B,474.61B,,1.377B,2.798B,4.175B,4.175B,,,,13.78B,13.78B,13.78B,17.95B,17.00B,17.00B,,,,93.69B,,110.70B,453.04B,,6.00M,12.49B,21.83B,11.32B,,,,-1.445B,21.57B,,AOR,Restated
2008-03,9.76B,5.731B,15.49B,,,,15.49B,,,,41.48B,182.07B,,271.39B,478.32B,,1.396B,3.575B,4.971B,4.971B,,,,16.22B,16.22B,16.22B,21.20B,15.05B,15.05B,,,8.799B,205.24B,,229.09B,455.62B,,6.00M,11.90B,21.80B,10.48B,,565.00M,-1.104B,-539.00M,22.70B,,AOR,Restated
2007-12,11.06B,5.237B,16.30B,,30.05B,30.05B,46.34B,,,,39.38B,197.61B,0.00,258.10B,485.81B,,,3.553B,3.553B,3.553B,,,,15.66B,15.66B,15.66B,19.21B,14.10B,14.10B,,,11.44B,,,25.54B,462.36B,,6.00M,11.84B,20.86B,9.693B,400.00M,312.00M,-265.00M,447.00M,23.46B,,AOR,Restated
2007-09,9.905B,4.124B,14.03B,,,,14.03B,,,,37.55B,180.13B,,260.82B,480.41B,,1.593B,2.968B,4.561B,4.561B,,,,13.48B,13.48B,13.48B,18.04B,11.52B,11.52B,,,12.71B,109.08B,,133.31B,457.44B,,6.00M,11.51B,20.79B,9.004B,,207.00M,-531.00M,-324.00M,22.98B,,AOR,Restated
2007-06,6.471B,7.797B,14.27B,,,,14.27B,,,,36.12B,177.74B,,254.44B,461.81B,,,,1.556B,1.556B,,,,12.95B,12.95B,12.95B,14.50B,11.15B,11.15B,2.922B,2.922B,10.05B,187.75B,,211.87B,438.87B,,6.00M,10.64B,20.74B,8.301B,,-29.00M,-119.00M,-148.00M,22.94B,,AOR,Restated
2007-03,6.808B,4.964B,11.77B,,,,11.77B,,,,35.11B,180.46B,,257.11B,458.91B,,1.472B,3.212B,4.684B,4.684B,,,,13.93B,13.93B,13.93B,18.62B,11.83B,11.83B,,,10.10B,187.92B,,209.86B,435.37B,,6.00M,9.894B,20.70B,7.757B,,,,692.00M,23.54B,,AOR,Restated
2006-12,8.589B,5.034B,13.62B,,,,13.62B,,,,34.63B,179.42B,,255.06B,454.27B,,1.458B,3.108B,4.566B,4.566B,,,,12.54B,12.54B,12.54B,17.10B,11.42B,11.42B,,,11.48B,106.95B,,129.86B,431.37B,,6.00M,8.844B,20.67B,7.143B,,122.00M,397.00M,519.00M,22.89B,,AOR,Restated
2006-09,9.567B,4.478B,14.04B,,,,14.04B,,,,34.14B,172.44B,,248.98B,446.90B,,1.405B,2.954B,4.359B,4.359B,,,,10.76B,10.76B,10.76B,15.12B,9.214B,9.214B,,,12.36B,105.87B,,127.44B,423.70B,,6.00M,8.303B,20.59B,6.597B,,64.00M,830.00M,894.00M,23.20B,,AOR,Restated
2006-06,8.411B,3.957B,12.37B,,,,12.37B,,,,8.66B,170.02B,,250.82B,440.68B,,1.351B,2.124B,3.475B,3.475B,,,,11.46B,11.46B,11.46B,14.94B,9.27B,9.27B,,,17.21B,185.59B,,212.07B,419.18B,,6.00M,7.11B,20.55B,6.026B,,123.00M,-268.00M,-145.00M,21.49B,,AOR,Restated
2006-03,8.598B,3.835B,12.43B,,,,12.43B,,,,8.497B,166.68B,,242.77B,433.62B,,2.994B,2.597B,5.591B,5.591B,,,,11.36B,11.36B,11.36B,16.95B,9.034B,9.034B,,,12.93B,179.04B,,201.00B,411.28B,,6.00M,6.652B,20.52B,5.443B,,,,595.00M,22.33B,,AOR,Restated
2005-12,,,,,,,,,,,32.81B,,,248.71B,413.37B,,,,,,,,,11.11B,11.11B,11.11B,11.11B,8.27B,8.27B,,,,,,8.27B,390.61B,,6.00M,5.947B,20.50B,4.925B,,-75.00M,,-75.00M,22.76B,,AOR,Restated
2005-09,8.376B,3.599B,11.98B,,,,11.98B,,,,8.364B,164.80B,,238.26B,413.58B,,3.21B,2.509B,5.719B,5.719B,,,,6.691B,6.691B,6.691B,12.41B,8.803B,8.803B,,,11.06B,179.56B,,199.43B,389.93B,,6.00M,6.007B,20.46B,4.353B,,,,1.54B,23.66B,,AOR,Restated
2005-06,8.285B,4.272B,12.56B,,,,12.56B,,,,31.68B,168.44B,,240.85B,409.50B,,3.203B,3.19B,6.393B,6.393B,,,,6.234B,6.234B,6.234B,12.63B,8.734B,8.734B,,,11.14B,180.26B,,200.14B,385.92B,,6.00M,4.649B,20.42B,3.775B,,,,2.274B,23.57B,,AOR,Restated
2005-03,8.497B,4.852B,13.35B,,,,13.35B,,,,32.19B,166.73B,,240.73B,403.17B,,3.345B,2.642B,5.987B,5.987B,,,,7.01B,7.01B,7.01B,13.00B,7.731B,7.731B,,,12.52B,179.65B,,199.91B,380.75B,,6.00M,3.773B,20.45B,3.277B,,,,1.61B,22.42B,,AOR,Restated
2004-12,,,,,,,,,,,32.76B,,,274.38B,400.83B,,,,,,,,,4.044B,4.044B,4.044B,4.044B,7.627B,7.627B,,,,1.807B,,9.434B,378.48B,,6.00M,2.851B,20.35B,2.967B,,,,,22.34B,,AOR,Restated
2004-09,6.302B,4.653B,10.96B,1.252B,,1.252B,12.21B,,,,31.53B,154.52B,,258.36B,381.94B,,2.408B,2.602B,5.01B,5.01B,,,,6.612B,6.612B,6.612B,11.62B,7.458B,7.458B,,,11.13B,167.64B,,186.23B,360.29B,,6.00M,2.628B,19.63B,2.634B,,,,2.112B,21.65B,,AOR,Restated
2004-06,5.898B,6.076B,11.97B,1.146B,,1.146B,13.12B,,,,31.60B,150.72B,,253.45B,374.70B,,2.23B,2.038B,4.268B,4.268B,,,,5.023B,5.023B,5.023B,9.291B,6.187B,6.187B,,,11.58B,166.38B,,184.15B,354.08B,,6.00M,1.903B,19.62B,2.286B,,,,1.492B,20.63B,,AOR,Restated
2004-03,8.058B,5.386B,13.44B,1.072B,,1.072B,14.52B,,,,26.80B,149.93B,,206.35B,334.17B,,2.555B,2.764B,5.319B,5.319B,,,,4.603B,4.603B,4.603B,9.922B,5.57B,5.57B,,,12.87B,150.80B,,169.24B,312.31B,,6.00M,1.357B,19.61B,1.932B,,,,2.813B,21.85B,,AOR,Restated
2003-12,,,,,,,,,,,27.62B,,,204.97B,321.27B,,,,,,,,,4.739B,4.739B,4.739B,4.739B,5.61B,5.61B,,,,1.687B,,7.297B,299.98B,,6.00M,960.00M,19.56B,1.632B,,,,,21.29B,,AOR,Restated
2003-09,8.642B,7.661B,16.30B,908.00M,,908.00M,17.21B,,,,27.42B,146.17B,,203.63B,325.77B,,1.951B,2.031B,3.982B,3.982B,,,,5.117B,5.117B,5.117B,9.099B,6.08B,6.08B,,,11.63B,144.64B,,162.36B,304.28B,,6.00M,676.00M,19.56B,1.397B,,,,2.705B,21.49B,,AOR,Restated
2003-06,10.09B,3.728B,13.82B,6.425B,,6.425B,20.24B,,,,27.61B,137.90B,,201.08B,336.60B,,6.099B,2.406B,8.505B,8.505B,,,,5.416B,5.416B,5.416B,13.92B,4.413B,4.413B,,,16.69B,143.65B,690.00M,164.75B,313.22B,,6.00M,381.00M,19.54B,1.165B,,,,4.011B,22.70B,,AOR,Restated
2003-03,10.69B,2.985B,13.68B,5.126B,,5.126B,18.80B,,,,27.83B,133.60B,,193.35B,299.25B,,4.915B,2.304B,7.219B,7.219B,,,,4.212B,4.212B,4.212B,11.43B,4.332B,4.332B,,,17.42B,142.09B,690.00M,163.84B,276.70B,,6.00M,186.00M,19.52B,990.00M,,,,3.157B,21.86B,,AOR,Restated
2002-12,,,,,,,,,,,28.11B,,,213.37B,292.75B,,,,,,,,,3.469B,3.469B,3.469B,3.469B,4.757B,4.757B,,,,,690.00M,4.757B,270.73B,,6.00M,-10.00M,19.51B,743.00M,,,,,21.33B,,AOR,Restated
