,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,14.66B,14.66B,,2.846B,2.846B,,,,,2.846B,,,-54.00M,,250.00M,68.00M,200.00M,,,-3.00M,197.00M,197.00M,70.00M,250.00M,,0.46,,,,0.46,0.46,,0.46,,,,0.46,0.46,,405.30M,428.00M,0.90,,AOR,Restated
2018-03,13.76B,13.76B,,2.923B,2.923B,,,,,2.923B,,,-507.00M,,1.693B,352.00M,1.364B,,,-1.00M,1.363B,1.363B,-22.00M,1.693B,,3.19,,,,3.19,3.19,,3.14,,,,3.14,3.14,,422.26M,430.57M,0.90,,AOR,Restated
2017-12,16.26B,16.26B,,3.102B,3.102B,,,,,3.102B,,,337.00M,,1.116B,-2.758B,3.865B,,,-100.00M,3.765B,3.765B,-49.00M,1.116B,,8.886,,,,8.886,8.886,,8.701,,,,8.701,8.701,,424.47M,432.37M,0.75,,AOR,Restated
2017-09,16.31B,16.31B,,2.921B,2.921B,,,,,2.921B,,,327.00M,,3.021B,800.00M,2.241B,,,-3.00M,2.238B,2.238B,164.00M,3.021B,,5.19,,,,5.19,5.19,,5.09,,,,5.09,5.09,,426.01M,435.17M,0.75,,AOR,Restated
2017-06,13.44B,13.44B,,2.983B,2.983B,,,,,2.983B,,,420.00M,,608.00M,125.00M,496.00M,,,-5.00M,491.00M,491.00M,157.00M,608.00M,,1.13,,,,1.13,1.13,,1.12,,,,1.12,1.12,,429.20M,436.61M,0.75,,AOR,Restated
2017-03,13.67B,13.67B,,2.909B,2.909B,,,,,2.909B,,,217.00M,,1.742B,395.00M,1.372B,,,-3.00M,1.369B,1.369B,-50.00M,1.742B,,3.14,,,,3.14,3.14,,3.09,,,,3.09,3.09,,429.90M,439.10M,0.75,,AOR,Restated
2016-12,13.05B,13.05B,,2.958B,2.958B,,,,,2.958B,,,435.00M,,317.00M,35.00M,293.00M,,,-9.00M,284.00M,284.00M,-84.00M,317.00M,,1.711,,,,1.711,1.711,,1.711,,,,1.711,1.711,,431.34M,438.86M,0.70,,AOR,Restated
2016-09,16.96B,16.96B,,2.983B,2.983B,,,,,2.983B,,,-55.00M,,2.315B,501.00M,1.832B,,,-5.00M,1.827B,1.827B,-22.00M,2.315B,,4.14,,,,4.14,4.14,,4.07,,,,4.07,4.07,,436.23M,444.72M,0.70,,AOR,Restated
2016-06,14.44B,14.44B,,3.026B,3.026B,,,,,3.026B,,,86.00M,,1.341B,431.00M,925.00M,,,-4.00M,921.00M,921.00M,257.00M,1.341B,,2.06,,,,2.06,2.06,,2.04,,,,2.04,2.04,,441.75M,448.53M,0.70,,AOR,Restated
2016-03,14.33B,14.33B,,2.812B,2.812B,,,,,2.812B,,,-23.00M,,1.732B,368.00M,1.369B,,,-33.00M,1.336B,1.336B,167.00M,1.732B,,2.97,,,,2.97,2.97,,2.93,,,,2.93,2.93,,444.78M,452.56M,0.70,,AOR,Restated
2015-12,14.26B,14.26B,,2.894B,2.894B,,,,,2.894B,,,,,843.00M,110.00M,740.00M,,,-5.00M,735.00M,735.00M,-13.00M,843.00M,,1.644,0.00,,,1.644,1.644,,1.60,0.00,,,1.60,1.60,,449.37M,458.14M,0.70,,AOR,Restated
2015-09,13.60B,13.60B,,2.773B,2.773B,,,,,2.773B,,,-397.00M,,2.049B,584.00M,1.467B,0.00,,-2.00M,1.465B,1.465B,174.00M,2.049B,,3.22,0.00,,,3.22,3.22,,3.16,0.00,,,3.16,3.16,,450.62M,460.13M,0.58,,AOR,Restated
2015-06,13.71B,13.71B,,2.483B,2.483B,,,,,2.483B,,,124.00M,,2.129B,679.00M,1.459B,0.00,,-53.00M,1.406B,1.406B,-218.00M,2.129B,,3.07,0.00,,,3.07,3.07,,3.03,0.00,,,3.03,3.03,,453.09M,461.06M,0.58,,AOR,Restated
2015-03,15.55B,15.55B,,2.762B,2.762B,,,,,2.762B,,,215.00M,,2.748B,699.00M,2.046B,0.00,,-10.00M,2.036B,2.036B,170.00M,2.748B,,4.44,0.00,,,4.44,4.44,,4.37,0.00,,,4.37,4.37,,454.28M,462.47M,0.58,,AOR,Restated
2014-12,15.72B,15.72B,,3.518B,3.518B,,,,,3.518B,,,-2.155B,,-1.75B,-294.00M,-1.451B,4.00M,,-12.00M,-1.459B,-1.463B,177.00M,-1.75B,,-3.194,0.00,,,-3.194,-3.194,,-3.194,0.00,,,-3.194,-3.194,,448.58M,452.87M,0.58,,AOR,Restated
2014-09,12.38B,12.38B,,2.789B,2.789B,,,,,2.789B,,,-625.00M,,284.00M,-234.00M,523.00M,0.00,,-11.00M,512.00M,512.00M,275.00M,284.00M,,1.00,0.00,,,1.00,1.00,,0.99,0.00,,,0.99,0.99,,458.00M,466.67M,0.53,,AOR,Restated
2014-06,13.15B,13.15B,,2.802B,2.802B,,,,,2.802B,,,267.00M,,1.507B,404.00M,1.109B,4.00M,,-23.00M,1.09B,1.086B,138.00M,1.507B,,2.25,0.01,,,2.25,2.26,,2.21,0.01,,,2.21,2.22,,456.64M,467.12M,0.53,,AOR,Restated
2014-03,12.85B,12.85B,,2.698B,2.698B,,,,,2.698B,,,535.00M,,1.718B,473.00M,1.245B,4.00M,,-11.00M,1.238B,1.234B,41.00M,1.718B,,2.62,0.01,,,2.62,2.63,,2.58,0.01,,,2.58,2.59,,459.32M,467.95M,0.53,,AOR,Restated
2013-12,9.939B,9.939B,,2.943B,2.943B,,,,,2.943B,,,-886.00M,,-882.00M,-453.00M,-424.00M,-4.00M,,-32.00M,-460.00M,-456.00M,73.00M,-882.00M,,-0.93,-0.01,,,-0.93,-0.94,,-0.93,-0.01,,,-0.93,-0.94,,417.81M,417.81M,0.53,,AOR,Restated
2013-09,11.31B,11.31B,,2.658B,2.658B,,,,,2.658B,,,1.514B,,1.526B,497.00M,1.032B,8.00M,,-13.00M,1.027B,1.019B,177.00M,1.526B,,2.06,0.01,,,2.06,2.07,,2.02,0.01,,,2.02,2.04,,459.42M,468.14M,0.40,,AOR,Restated
2013-06,10.04B,10.04B,,2.727B,2.727B,,,,,2.727B,,,-1.823B,,-769.00M,-275.00M,-489.00M,2.00M,,-27.00M,-514.00M,-516.00M,52.00M,-769.00M,,-1.12,0.00,,,-1.12,-1.12,,-1.12,0.00,,,-1.12,-1.12,,464.29M,464.29M,0.40,,AOR,Restated
2013-03,10.17B,10.17B,,2.683B,2.683B,,,,,2.683B,,,-2.004B,,-1.559B,-827.00M,-686.00M,1.00M,,-35.00M,-720.00M,-721.00M,109.00M,-1.559B,,-1.58,0.00,,,-1.58,-1.58,,-1.58,0.00,,,-1.58,-1.58,,464.56M,464.56M,0.40,,AOR,Restated
2012-12,45.94B,45.94B,,2.94B,2.94B,,,,,2.94B,,,,,-568.00M,-381.00M,-185.00M,3.00M,,1.00M,-181.00M,-184.00M,72.00M,-568.00M,,-0.36,0.01,,,-0.36,-0.35,,-0.36,0.01,,,-0.36,-0.35,,426.50M,433.81M,1.60,,AOR,Restated
2012-09,13.14B,13.14B,,2.742B,2.742B,,,,,2.742B,,,,,-930.00M,-328.00M,-557.00M,-2.00M,,-25.00M,-584.00M,-582.00M,27.00M,-930.00M,,-1.34,0.00,,,-1.34,-1.34,,-1.34,0.00,,,-1.34,-1.34,,464.18M,464.18M,0.00,,AOR,Restated
2012-06,16.14B,16.14B,,2.652B,2.652B,,,,,2.652B,,,,,2.969B,743.00M,2.232B,7.00M,,-15.00M,2.224B,2.217B,98.00M,2.969B,,4.74,0.01,,,4.74,4.75,,4.67,0.01,,,4.67,4.69,,464.84M,471.86M,0.00,,AOR,Restated
2012-03,9.623B,9.623B,,2.76B,2.76B,,,,,2.76B,,,,,-763.00M,179.00M,-935.00M,7.00M,,-11.00M,-939.00M,-946.00M,105.00M,-763.00M,,-2.04,0.01,,,-2.04,-2.03,,-2.04,0.01,,,-2.04,-2.03,,472.41M,472.41M,0.00,,AOR,Restated
2011-12,11.74B,11.74B,,,2.867B,,,,,2.867B,,,,,846.00M,203.00M,644.00M,14.00M,,30.00M,688.00M,674.00M,88.00M,846.00M,,1.26,0.03,,,1.26,1.29,,1.25,0.03,,,1.25,1.27,,450.36M,457.86M,1.45,,AOR,Restated
2011-09,14.93B,14.93B,,,2.665B,,1.463B,-1.463B,1.51B,4.175B,1.463B,-1.463B,,-1.463B,2.406B,860.00M,1.613B,-9.00M,,-10.00M,1.594B,1.603B,35.00M,3.869B,,3.24,-0.02,,,3.24,3.22,,3.19,-0.02,,,3.19,3.18,,481.20M,489.30M,0.00,,AOR,Restated
2011-06,12.24B,12.24B,,,2.689B,,,,511.00M,3.20B,,,,,1.084B,292.00M,802.00M,16.00M,,-29.00M,789.00M,773.00M,186.00M,1.084B,,1.56,0.04,,,1.56,1.60,,1.55,0.03,,,1.55,1.58,,486.00M,494.80M,0.00,,AOR,Restated
2011-03,10.17B,10.17B,,,2.384B,,,,354.00M,2.738B,,,,,628.00M,160.00M,572.00M,14.00M,,-25.00M,561.00M,547.00M,-19.00M,628.00M,,1.09,0.03,,,1.09,1.12,,1.08,0.02,,,1.08,1.10,,484.90M,493.90M,0.00,,AOR,Restated
2010-12,8.066B,8.066B,,,2.69B,,,,,2.69B,,,,,-125.00M,-58.00M,-18.00M,13.00M,,-12.00M,-17.00M,-30.00M,-48.00M,-125.00M,,-0.03,0.03,,,-0.03,0.00,,-0.03,0.03,,,-0.03,0.00,,450.38M,457.84M,1.15,,AOR,Restated
2010-09,9.917B,9.917B,,,1.949B,,,,-6.00M,1.943B,,,,,1.75B,524.00M,1.24B,2.00M,,2.00M,1.244B,1.242B,-17.00M,1.75B,,2.49,0.01,,,2.49,2.50,,2.46,0.00,,,2.46,2.46,,464.80M,473.20M,0.00,,AOR,
2010-06,10.99B,10.99B,,,1.853B,,,,992.00M,2.845B,,,,,1.506B,426.00M,1.089B,15.00M,,-27.00M,1.077B,1.062B,-8.00M,1.506B,,1.69,0.03,,,1.69,1.72,,1.66,0.03,,,1.66,1.70,,464.30M,473.30M,0.00,,AOR,Restated
2010-03,9.247B,9.247B,,,1.817B,,,,426.00M,2.243B,,,,,1.009B,351.00M,668.00M,3.00M,,26.00M,697.00M,694.00M,-31.00M,1.009B,,1.16,0.00,,,1.16,1.16,,1.15,0.00,,,1.15,1.15,,463.00M,471.50M,0.00,,AOR,Restated
2009-12,8.619B,8.619B,,,865.00M,,,,,865.00M,,,,,711.00M,264.00M,1.94B,-65.00M,,-10.00M,1.865B,1.93B,17.00M,711.00M,,4.09,-0.15,,,4.09,3.94,,4.06,-0.15,,,4.06,3.91,,462.00M,471.00M,0.70,,AOR,Restated
2009-09,8.543B,8.543B,,,1.887B,,,,,1.887B,,,,,848.00M,-153.00M,1.032B,0.00,,50.00M,1.082B,1.082B,-34.00M,848.00M,,2.36,0.00,,,2.36,2.36,,2.35,0.00,,,2.35,2.35,,461.20M,464.60M,0.00,,AOR,Restated
2009-06,6.879B,6.879B,,,1.627B,,,,,1.627B,,,,,-10.00M,-163.00M,158.00M,22.00M,,-17.00M,163.00M,141.00M,50.00M,-10.00M,,1.20,0.05,,,1.20,1.25,,1.20,0.05,,,1.20,1.25,,432.90M,434.30M,0.00,,AOR,Restated
2009-03,8.525B,8.525B,,,3.013B,,,,,3.013B,,,,,3.00M,-2.00M,-1.00M,4.00M,,11.00M,14.00M,10.00M,142.00M,3.00M,,0.00,0.01,,,0.00,0.01,,0.00,0.01,,,0.00,0.01,,422.10M,423.20M,0.00,,AOR,Restated
2008-12,6.928B,6.928B,,,2.851B,,,,,2.851B,,,,,-1.633B,-421.00M,-1.597B,14.00M,,1.00M,-1.582B,-1.596B,344.00M,-1.633B,,-3.83,0.03,,,-3.83,-3.80,,-3.83,0.03,,,-3.83,-3.80,,421.00M,421.00M,0.58,,AOR,Restated
2008-09,7.03B,7.03B,,,1.997B,,,,,1.997B,,,,,-196.00M,-149.00M,-176.00M,5.00M,,-5.00M,-176.00M,-181.00M,165.00M,-196.00M,,-0.27,0.02,,,-0.27,-0.25,,-0.27,0.02,,,-0.27,-0.25,,423.80M,423.80M,0.00,,AOR,Restated
2008-06,7.703B,7.703B,,,2.161B,,,,,2.161B,,,,,628.00M,60.00M,592.00M,-3.00M,,-8.00M,581.00M,584.00M,102.00M,628.00M,,1.34,-0.01,,,1.34,1.33,,1.33,-0.01,,,1.33,1.32,,431.90M,436.50M,0.00,,AOR,Restated
2008-03,7.564B,7.564B,,,2.27B,,,,,2.27B,,,,,63.00M,23.00M,83.00M,1.00M,,-24.00M,60.00M,59.00M,106.00M,63.00M,,0.18,0.00,,,0.18,0.18,,0.18,0.00,,,0.18,0.18,,422.10M,446.90M,0.00,,AOR,Restated
2007-12,8.808B,8.808B,,,2.368B,,,,,2.368B,,,,,996.00M,182.00M,860.00M,11.00M,,,871.00M,860.00M,113.00M,996.00M,,1.76,0.02,,,1.76,1.78,,1.73,0.02,,,1.73,1.75,,450.20M,458.40M,1.15,,AOR,Restated
2007-09,8.393B,8.393B,,2.145B,2.145B,,,,820.00M,2.965B,,,729.00M,,1.12B,316.00M,871.00M,-4.00M,,,867.00M,871.00M,62.00M,1.12B,,1.92,-0.01,,,1.92,1.91,,1.89,-0.01,,,1.89,1.88,,457.00M,464.90M,0.00,,AOR,Restated
2007-06,8.425B,8.425B,,,2.219B,,,,4.458B,6.677B,,,1.809B,,1.143B,324.00M,875.00M,-29.00M,,,846.00M,875.00M,35.00M,1.143B,,1.89,-0.06,,,1.89,1.83,,1.86,-0.06,,,1.86,1.80,,463.70M,472.80M,0.00,,AOR,Restated
2007-03,8.775B,8.775B,,,2.109B,,,,711.00M,2.82B,,,1.861B,,1.427B,423.00M,1.081B,39.00M,,,1.12B,1.081B,62.00M,1.427B,,2.14,1.08,,,2.14,2.22,,2.10,0.08,,,2.10,2.18,,468.40M,477.20M,0.00,,AOR,Restated
2006-12,8.807B,8.807B,,2.239B,2.239B,,,,29.66B,31.90B,,,1.792B,,1.377B,419.00M,1.02B,17.00M,,,1.037B,1.02B,78.00M,1.377B,,1.88,0.03,,,1.88,1.91,,1.85,0.03,,,1.85,1.88,,473.40M,482.60M,0.95,,AOR,Restated
2006-09,8.361B,8.361B,,1.725B,1.725B,,,,-4.434B,-2.709B,,,1.727B,,1.473B,384.00M,1.139B,66.00M,,,1.205B,1.139B,136.00M,1.473B,,2.29,0.14,,,2.29,2.43,,2.25,0.13,,,2.25,2.38,,480.80M,490.50M,0.00,,AOR,Restated
2006-06,7.313B,7.313B,,,1.987B,,,,525.00M,2.512B,,,1.333B,,583.00M,165.00M,463.00M,-10.00M,,,453.00M,463.00M,52.00M,583.00M,,0.92,-0.02,,,0.92,0.90,,0.91,-0.02,,,0.91,0.89,,488.20M,497.10M,0.00,,AOR,Restated
2006-03,7.85B,7.85B,,,2.158B,,,,623.00M,2.781B,,,1.476B,,967.00M,279.00M,739.00M,-6.00M,,,733.00M,739.00M,84.00M,967.00M,,1.42,-0.02,,,1.42,1.40,,1.39,-0.02,,,1.39,1.38,,494.60M,504.10M,0.00,,AOR,Restated
2005-12,7.502B,7.502B,,1.967B,1.967B,,,,4.309B,6.276B,,,1.104B,,525.00M,283.00M,384.00M,-20.00M,,,364.00M,384.00M,54.00M,525.00M,,0.86,-0.04,,,0.86,0.82,,0.84,-0.04,,,0.84,0.80,,499.80M,510.10M,0.78,,AOR,Restated
2005-09,7.791B,7.791B,,1.955B,1.955B,,,,4.076B,6.031B,,,1.497B,,1.118B,-261.00M,1.379B,-15.00M,,,1.364B,1.379B,190.00M,1.118B,,2.66,-0.03,,,2.66,2.63,,2.62,-0.03,,,2.62,2.59,,509.10M,518.30M,0.00,,AOR,Restated
2005-06,8.335B,8.335B,,,1.928B,,,,,1.928B,,,1.678B,,1.316B,389.00M,927.00M,-44.00M,,,883.00M,927.00M,138.00M,1.316B,,1.59,-0.09,,,1.59,1.50,,1.56,-0.09,,,1.56,1.48,,516.50M,525.20M,0.00,,AOR,Restated
2005-03,7.713B,7.713B,,1.796B,1.796B,,,,,1.796B,,,1.339B,,1.318B,388.00M,930.00M,-1.00M,,,929.00M,930.00M,119.00M,1.318B,,1.51,0.00,,,1.51,1.51,,1.49,0.00,,,1.49,1.49,,521.80M,530.00M,0.00,,AOR,Restated
2004-12,6.871B,6.871B,,1.682B,1.682B,,,,,1.682B,,,837.00M,,799.00M,233.00M,621.00M,-43.00M,0.00,,578.00M,642.00M,111.00M,799.00M,,0.73,-0.19,0.00,,0.73,0.65,,0.72,-0.19,-0.0002,,0.72,0.64,,517.45M,527.15M,0.625,,AOR,Restated
2004-09,7.332B,7.332B,,1.763B,1.763B,,,,,1.763B,,,1.673B,,1.071B,329.00M,742.00M,-15.00M,1.00M,,728.00M,741.00M,135.00M,1.071B,,1.14,-0.03,0.00,0.0019,1.14,1.11,,1.11,-0.03,0.0019,0.0019,1.11,1.08,,513.90M,525.71M,0.00,,AOR,Restated
2004-06,6.882B,6.882B,,1.783B,1.783B,,,,,1.783B,,,1.234B,,689.00M,149.00M,540.00M,-11.00M,20.00M,,549.00M,520.00M,155.00M,689.00M,,1.02,-0.02,0.00,0.0384,1.02,1.04,,1.00,-0.02,0.0376,0.0376,1.00,1.02,,521.48M,532.15M,0.00,,AOR,Restated
2004-03,6.751B,6.751B,,1.652B,1.652B,,,,,1.652B,,,1.349B,,706.00M,220.00M,486.00M,-6.00M,-79.00M,,401.00M,486.00M,136.00M,706.00M,,0.74,-0.01,0.00,,0.74,0.58,,0.73,-0.01,-0.1492,,0.73,0.57,,529.66M,539.87M,0.00,,AOR,Restated
2003-12,6.516B,6.516B,,1.327B,1.327B,-2.00M,,,29.17B,30.50B,,,992.00M,,788.00M,244.00M,589.00M,-14.00M,,,575.00M,590.38M,225.00M,788.00M,,0.95,-0.03,,,0.9526,0.92,,0.94,-0.03,,,0.9425,0.91,,534.59M,541.98M,0.50,,AOR,Restated
2003-09,6.693B,6.693B,,1.748B,1.748B,-34.00M,459.00M,-459.00M,-3.715B,-2.001B,459.00M,-459.00M,1.212B,-459.00M,559.00M,237.00M,322.00M,-25.00M,0.00,,297.00M,342.40M,205.00M,1.018B,,0.48,-0.04,0.00,,0.5177,0.44,,0.48,-0.04,0.00,,0.5174,0.44,,541.48M,545.86M,0.00,,AOR,Restated
2003-06,7.304B,7.304B,,2.158B,2.158B,-455.00M,455.00M,-455.00M,-3.814B,-2.111B,455.00M,-455.00M,1.552B,-455.00M,216.00M,38.00M,178.00M,18.00M,0.00,,196.00M,552.95M,111.00M,671.00M,,0.21,0.04,0.00,,0.8951,0.25,,0.21,0.04,0.00,,0.8925,0.25,,547.26M,549.38M,0.00,,AOR,Restated
2003-03,6.785B,6.785B,,,1.94B,,,,,1.94B,,,1.353B,,314.00M,102.00M,212.00M,-16.00M,0.00,,196.00M,212.00M,173.00M,314.00M,,0.42,-0.03,0.00,,0.42,0.39,,0.42,-0.03,0.00,,0.42,0.39,,554.42M,556.52M,0.00,,AOR,Restated
2002-12,6.311B,6.311B,,1.917B,1.917B,,,,,1.917B,,,-4.496B,,82.00M,-82.00M,-109.00M,-84.00M,,,-193.00M,-109.00M,114.00M,82.00M,,-0.08,-0.01,,,-0.08,-0.09,,-0.08,-0.01,,,-0.08,-0.09,,563.02M,564.90M,0.40,,AOR,Restated
2002-09,6.597B,6.597B,,2.099B,2.099B,,468.00M,-468.00M,,2.099B,468.00M,-468.00M,3.365B,-468.00M,0.00,-159.00M,288.00M,14.00M,,,302.00M,288.00M,177.00M,468.00M,,0.67,0.03,,,0.67,0.70,,0.67,0.03,,,0.67,0.70,,575.11M,576.79M,,,AOR,
2002-06,6.564B,6.564B,,2.135B,2.135B,,449.00M,-449.00M,,2.135B,449.00M,-449.00M,3.214B,-449.00M,0.00,-38.00M,-65.00M,-3.00M,,,-68.00M,-65.00M,196.00M,449.00M,,-0.1113,-0.0051,,,-0.1113,-0.1164,,-0.1113,-0.0051,,,-0.1113,-0.1164,,583.93M,585.24M,,,AOR,
2002-03,6.714B,6.714B,,2.146B,2.146B,,448.00M,-448.00M,-3.651B,-1.505B,448.00M,-448.00M,1.52B,-448.00M,244.00M,91.00M,153.00M,,,,153.00M,153.00M,72.00M,692.00M,,0.46,0.00,,,0.46,0.46,,0.2618,0.00,,,0.2618,0.2618,,584.32M,584.32M,,,AOR,
