,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-03,1.364B,-425.00M,-425.00M,-22.00M,-22.00M,-157.00M,,,421.00M,,,-1.158B,991.00M,2.301B,,,,,-158.00M,-40.00M,-2.273B,,1.052B,-90.00M,962.00M,,-363.00M,-363.00M,-388.00M,-388.00M,45.00M,442.00M,889.00M,,14.54B,917.00M,304.00M,15.76B,,,1.071B,-19.00M,-363.00M,,AOR,Restated
2017-12,3.865B,511.00M,511.00M,-49.00M,-49.00M,-602.00M,,,-2.967B,,,-1.185B,49.00M,4.674B,,,,0.00,-3.306B,-71.00M,-3.735B,,-931.00M,7.00M,-924.00M,,-323.00M,-323.00M,-320.00M,-320.00M,38.00M,662.00M,-955.00M,,14.59B,-16.00M,-35.00M,14.54B,,,36.00M,-967.00M,-323.00M,,AOR,Restated
2017-09,2.241B,-1.608B,-1.608B,164.00M,164.00M,-702.00M,,,789.00M,,,-351.00M,2.945B,4.075B,,,,0.00,-4.741B,-355.00M,-5.575B,,224.00M,-15.00M,209.00M,,-315.00M,-315.00M,-323.00M,-323.00M,47.00M,-362.00M,-755.00M,,16.81B,-2.255B,35.00M,14.59B,,,868.00M,-644.00M,-315.00M,,AOR,Restated
2017-06,496.00M,1.092B,1.092B,157.00M,157.00M,-924.00M,,,188.00M,,,-322.00M,1.295B,3.063B,,,,-64.00M,1.142B,-152.00M,372.00M,,-26.00M,1.00M,-25.00M,,-321.00M,-321.00M,-324.00M,-324.00M,45.00M,504.00M,22.00M,,13.36B,3.457B,-6.00M,16.81B,,,176.00M,-202.00M,-321.00M,,AOR,Restated
2017-03,1.372B,-427.00M,-427.00M,-50.00M,-50.00M,-584.00M,,,371.00M,,,-1.537B,397.00M,1.648B,,,,,-1.958B,-145.00M,-3.019B,,131.00M,45.00M,176.00M,,-291.00M,-291.00M,-329.00M,-329.00M,116.00M,-13.00M,430.00M,,14.18B,-941.00M,116.00M,13.36B,,,145.00M,-14.00M,-291.00M,,AOR,Restated
2016-12,293.00M,1.933B,1.933B,-84.00M,-84.00M,-112.00M,,,-131.00M,,,-7.029B,-4.821B,-2.198B,,,,0.00,-7.379B,-584.00M,-8.61B,,-8.00M,-224.00M,-232.00M,,-661.00M,-661.00M,-361.00M,-361.00M,314.00M,1.302B,435.00M,,24.73B,-10.37B,-310.00M,14.18B,,,1.293B,-1.301B,-661.00M,,AOR,Restated
2016-09,1.832B,-813.00M,-813.00M,-22.00M,-22.00M,-560.00M,,,466.00M,,,-960.00M,2.289B,3.55B,,,,0.00,-4.664B,50.00M,-5.295B,,1.182B,476.00M,1.658B,,-606.00M,-606.00M,-308.00M,-308.00M,58.00M,1.492B,2.182B,,24.14B,437.00M,149.00M,24.73B,,,1.252B,-70.00M,-606.00M,,AOR,Restated
2016-06,925.00M,-1.433B,-1.433B,257.00M,257.00M,-373.00M,,,215.00M,,,4.408B,6.763B,7.197B,,,,0.00,-4.605B,117.00M,-5.041B,,-898.00M,18.00M,-880.00M,,-376.00M,-376.00M,-313.00M,-313.00M,31.00M,1.407B,-562.00M,,22.49B,1.594B,56.00M,24.14B,,,144.00M,-1.042B,-376.00M,,AOR,Restated
2016-03,1.369B,-1.881B,-1.881B,167.00M,167.00M,-845.00M,,,68.00M,,,3.809B,6.231B,6.327B,,,,-532.00M,-2.347B,61.00M,-2.748B,,-287.00M,22.00M,-265.00M,,-476.00M,-476.00M,-318.00M,-318.00M,23.00M,1.151B,1.146B,,17.61B,4.725B,155.00M,22.49B,,,53.00M,-340.00M,-476.00M,,AOR,Restated
2015-12,740.00M,165.00M,165.00M,-13.00M,-13.00M,-342.00M,,,-78.00M,,,-2.21B,832.00M,2.112B,,,,0.00,-2.376B,50.00M,-2.583B,,-446.00M,-166.00M,-612.00M,,-269.00M,-269.00M,-316.00M,-316.00M,51.00M,-21.00M,-2.137B,,20.21B,-2.608B,13.00M,17.61B,,,589.00M,-1.035B,-269.00M,,AOR,Restated
2015-09,1.467B,-1.70B,-1.70B,174.00M,174.00M,-394.00M,,,257.00M,,,5.761B,7.968B,8.355B,,,,0.00,-4.483B,92.00M,-5.877B,,-527.00M,-259.00M,-786.00M,,-242.00M,-242.00M,-264.00M,-264.00M,33.00M,1.256B,675.00M,,17.04B,3.153B,16.00M,20.21B,,,1.229B,-1.756B,-242.00M,,AOR,Restated
2015-06,1.459B,-129.00M,-129.00M,-218.00M,-218.00M,38.00M,,,394.00M,,,-5.301B,-3.879B,-2.053B,,,,0.00,-243.00M,59.00M,-934.00M,,1.323B,358.00M,1.681B,,-250.00M,-250.00M,-269.00M,-269.00M,84.00M,264.00M,977.00M,,19.12B,-2.01B,-71.00M,17.04B,,,2.196B,-873.00M,-250.00M,,AOR,Restated
2015-03,2.046B,-2.361B,-2.361B,170.00M,170.00M,-661.00M,,,644.00M,,,2.777B,5.101B,5.528B,,,,0.00,2.761B,-95.00M,1.648B,,-141.00M,135.00M,-6.00M,,-903.00M,-903.00M,-268.00M,-268.00M,41.00M,-505.00M,-3.086B,,14.92B,4.09B,111.00M,19.12B,,,1.152B,-1.293B,-903.00M,,AOR,Restated
2014-12,-1.447B,-744.00M,-744.00M,177.00M,177.00M,-781.00M,,,-363.00M,,,4.287B,9.581B,7.974B,,,,0.00,-5.83B,-41.00M,-7.411B,,-2.112B,-379.00M,-2.491B,,-250.00M,-250.00M,-272.00M,-272.00M,39.00M,444.00M,-2.489B,,17.22B,-1.926B,-378.00M,14.92B,,,2.682B,-4.794B,-250.00M,,AOR,Restated
2014-09,523.00M,-75.00M,-75.00M,275.00M,275.00M,-358.00M,,,-237.00M,,,2.736B,4.62B,5.867B,,,,0.00,-418.00M,40.00M,-2.152B,,837.00M,28.00M,865.00M,,-250.00M,-250.00M,-250.00M,-250.00M,92.00M,1.111B,1.501B,,12.16B,5.216B,-154.00M,17.22B,,,2.456B,-1.619B,-250.00M,,AOR,Restated
2014-06,1.113B,-609.00M,-609.00M,138.00M,138.00M,-746.00M,,,510.00M,,,494.00M,2.502B,3.576B,,,,0.00,-4.126B,16.00M,-4.556B,,925.00M,-148.00M,777.00M,,-250.00M,-250.00M,-253.00M,-253.00M,61.00M,240.00M,620.00M,,12.47B,-360.00M,48.00M,12.16B,,,1.671B,-746.00M,-250.00M,,AOR,Restated
2014-03,1.249B,-208.00M,-208.00M,41.00M,41.00M,-610.00M,,,388.00M,,,-1.219B,492.00M,1.979B,,,,-23.00M,-1.877B,212.00M,-2.969B,,921.00M,472.00M,1.393B,,-250.00M,-250.00M,-252.00M,-252.00M,77.00M,338.00M,1.997B,,11.44B,1.007B,26.00M,12.47B,,,1.146B,-225.00M,-250.00M,,AOR,Restated
2013-12,-428.00M,1.349B,1.349B,73.00M,73.00M,-482.00M,,,619.00M,,,-815.00M,1.542B,2.962B,,,,0.00,-2.613B,-62.00M,-4.058B,,530.00M,-173.00M,357.00M,,-251.00M,-251.00M,-248.00M,-248.00M,122.00M,281.00M,90.00M,,12.65B,-1.006B,-205.00M,11.44B,,,1.041B,-511.00M,-251.00M,,AOR,Restated
2013-09,1.04B,2.11B,2.11B,177.00M,177.00M,-439.00M,,,719.00M,,,-1.612B,-550.00M,3.097B,,,,0.00,-3.066B,-70.00M,-4.423B,,948.00M,-227.00M,721.00M,,-250.00M,-250.00M,-192.00M,-192.00M,110.00M,41.00M,887.00M,,13.04B,-439.00M,44.00M,12.65B,,,1.528B,-580.00M,-250.00M,,AOR,Restated
2013-06,-487.00M,1.024B,1.024B,52.00M,52.00M,129.00M,,,-1.028B,,,401.00M,1.087B,2.199B,,,,0.00,-4.053B,7.00M,-4.201B,,-1.11B,-95.00M,-1.205B,,-237.00M,-237.00M,-196.00M,-196.00M,70.00M,-86.00M,916.00M,,14.48B,-1.086B,-346.00M,13.04B,,,498.00M,-1.608B,-237.00M,,AOR,Restated
2013-03,-685.00M,723.00M,723.00M,109.00M,109.00M,-607.00M,,,-1.653B,,,-640.00M,-403.00M,187.00M,,,,-488.00M,-2.346B,-228.00M,-3.652B,,353.00M,591.00M,944.00M,,0.00,0.00,-211.00M,-211.00M,46.00M,-774.00M,349.00M,,18.10B,-3.116B,-507.00M,14.48B,,,1.593B,-1.24B,0.00,,AOR,Restated
2012-12,-182.00M,375.00M,375.00M,72.00M,72.00M,-442.00M,,,-352.00M,,,2.936B,8.372B,9.16B,,,,0.00,-4.123B,-24.00M,-4.008B,,2.661B,-509.00M,2.152B,,0.00,0.00,-715.00M,-715.00M,33.00M,-468.00M,-636.00M,,13.91B,4.516B,-322.00M,18.10B,,,3.668B,-1.007B,0.00,,AOR,Restated
2012-09,-559.00M,1.445B,1.445B,27.00M,27.00M,-688.00M,,,544.00M,,,-1.127B,4.432B,5.713B,,,,0.00,-5.364B,-15.00M,-5.903B,,-697.00M,137.00M,-560.00M,,-150.00M,-150.00M,-3.00M,-3.00M,23.00M,351.00M,-175.00M,,14.24B,-365.00M,29.00M,13.91B,,,1.085B,-1.782B,-150.00M,,AOR,Restated
2012-06,2.239B,-1.763B,-1.763B,98.00M,98.00M,-335.00M,,,54.00M,,,436.00M,3.783B,5.269B,,,,0.00,-2.796B,166.00M,-3.285B,,-230.00M,-356.00M,-586.00M,,-275.00M,-275.00M,-6.00M,-6.00M,31.00M,-2.265B,-2.013B,,14.20B,-29.00M,70.00M,14.24B,,,181.00M,-411.00M,-275.00M,,AOR,Restated
2012-03,-928.00M,1.384B,1.384B,105.00M,105.00M,-560.00M,,,281.00M,,,-2.075B,-200.00M,767.00M,,,,0.00,-1.77B,16.00M,-2.224B,,939.00M,145.00M,1.084B,,-225.00M,-225.00M,-44.00M,-44.00M,63.00M,-329.00M,1.519B,,14.25B,62.00M,-112.00M,14.20B,,,1.13B,-191.00M,-225.00M,,AOR,Restated
2011-12,658.00M,115.00M,115.00M,88.00M,88.00M,-377.00M,,,-442.00M,-340.00M,,-5.83B,65.00M,1.556B,,,,0.00,-1.852B,63.00M,-2.311B,,-1.167B,-103.00M,-1.27B,,-304.00M,-304.00M,-653.00M,-653.00M,33.00M,574.00M,-494.00M,,15.53B,-1.249B,-26.00M,14.25B,,,1.037B,-2.204B,-304.00M,,AOR,Restated
2011-09,1.604B,-2.528B,-2.528B,35.00M,35.00M,-223.00M,,,169.00M,50.00M,,4.355B,5.296B,5.647B,,,,0.00,-4.403B,320.00M,-4.677B,,-268.00M,47.00M,-221.00M,,-695.00M,-695.00M,-2.00M,-2.00M,20.00M,1.443B,545.00M,,13.91B,1.515B,102.00M,15.53B,,,193.00M,-461.00M,-695.00M,,AOR,Restated
2011-06,818.00M,-468.00M,-468.00M,186.00M,186.00M,-505.00M,,,24.00M,290.00M,,1.725B,1.721B,2.943B,,,,0.00,-2.033B,81.00M,-2.375B,,2.158B,-377.00M,1.781B,,0.00,0.00,-8.00M,-8.00M,22.00M,424.00M,2.219B,,11.00B,2.787B,127.00M,13.91B,,,892.00M,1.266B,0.00,,AOR,Restated
2011-03,586.00M,50.00M,50.00M,-19.00M,-19.00M,-277.00M,,,166.00M,,,1.231B,1.068B,2.231B,,,,-2.321B,-1.073B,-282.00M,-3.932B,,-196.00M,537.00M,341.00M,,0.00,0.00,-41.00M,-41.00M,47.00M,-518.00M,-171.00M,,12.92B,-1.872B,-48.00M,11.00B,,,144.00M,-340.00M,0.00,,AOR,Restated
2010-12,-5.00M,1.154B,1.154B,-48.00M,-48.00M,-54.00M,,,406.00M,,,-4.06B,321.00M,1.938B,,,,0.00,-2.549B,8.00M,-2.392B,,1.259B,130.00M,1.389B,,0.00,970.00M,-533.00M,-533.00M,20.00M,372.00M,1.355B,,11.97B,901.00M,41.00M,12.92B,,,1.938B,-679.00M,0.00,,AOR,Restated
2010-09,1.242B,-29.00M,-29.00M,-17.00M,-17.00M,-540.00M,,,-266.00M,,,1.454B,224.00M,2.053B,,,,0.00,-1.835B,53.00M,-2.172B,,-15.00M,170.00M,155.00M,,0.00,0.00,-2.00M,-2.00M,18.00M,352.00M,523.00M,,11.35B,404.00M,217.00M,11.97B,,,185.00M,-200.00M,0.00,,AOR,
2010-06,1.104B,-1.786B,-1.786B,-8.00M,-8.00M,-355.00M,,,-35.00M,,,2.393B,2.416B,2.602B,,,,0.00,10.00M,224.00M,-288.00M,,-953.00M,276.00M,-677.00M,,,,-6.00M,-6.00M,30.00M,103.00M,-550.00M,,9.626B,1.764B,-38.00M,11.35B,,,1.031B,-1.984B,,,AOR,Restated
2010-03,671.00M,-389.00M,-389.00M,-31.00M,-31.00M,-530.00M,,,-1.238B,,,823.00M,-1.007B,-51.00M,,,,0.00,-4.356B,137.00M,-3.67B,,532.00M,108.00M,640.00M,,,,-34.00M,-34.00M,30.00M,-351.00M,285.00M,,13.16B,-3.436B,-102.00M,9.626B,,,1.407B,-875.00M,,,AOR,Restated
2009-12,1.875B,320.00M,-1.927B,17.00M,17.00M,-376.00M,,,1.703B,,,-476.00M,649.00M,1.137B,,,,,-1.094B,16.00M,3.825B,,-3.409B,82.00M,-3.327B,0.00,,0.00,-308.00M,-308.00M,25.00M,-364.00M,-3.974B,,11.97B,988.00M,205.00M,13.16B,,0.00,163.00M,-3.572B,,,AOR,Restated
2009-09,1.032B,444.00M,444.00M,-34.00M,-34.00M,-751.00M,,,-450.00M,-1.977B,-1.699B,3.583B,-1.064B,944.00M,,,,,13.12B,-15.34B,-1.587B,,2.516B,-1.262B,1.254B,0.00,,0.00,-2.00M,-2.00M,17.00M,-2.282B,-1.013B,,13.49B,-1.656B,136.00M,11.97B,,0.00,2.283B,233.00M,,,AOR,Restated
2009-06,180.00M,2.271B,2.271B,50.00M,50.00M,-2.197B,,,-474.00M,1.977B,1.699B,-3.794B,-1.349B,1.223B,,,,,-14.01B,15.19B,1.222B,,-1.897B,-1.48B,-3.377B,1.391B,,1.391B,-6.00M,-6.00M,13.00M,-1.28B,-3.259B,,14.34B,-814.00M,-31.00M,13.49B,,1.391B,1.904B,-1.895B,,,AOR,Restated
2009-03,3.00M,-138.00M,-138.00M,142.00M,142.00M,571.00M,,,322.00M,,,1.012B,1.958B,2.536B,,,,,-1.005B,-66.00M,-1.031B,,-1.703B,-1.906B,-3.609B,,,,-31.00M,-31.00M,9.00M,1.456B,-2.175B,,15.03B,-670.00M,-22.00M,14.34B,,,964.00M,-4.573B,,,AOR,Restated
2008-12,-1.583B,316.00M,316.00M,344.00M,344.00M,-1.406B,,,290.00M,,2.749B,129.00M,4.517B,4.523B,,,,,2.738B,-2.015B,433.00M,,-2.176B,47.00M,-2.129B,0.00,-51.00M,-51.00M,-231.00M,-231.00M,12.00M,1.00B,-1.399B,,11.36B,3.557B,110.00M,15.03B,,0.00,4.428B,-6.557B,-51.00M,,AOR,Restated
2008-09,-171.00M,273.00M,273.00M,165.00M,165.00M,849.00M,,,-362.00M,-302.00M,-1.751B,4.336B,1.594B,2.71B,,,,,-6.282B,115.00M,-6.143B,,-181.00M,1.197B,1.016B,0.00,-393.00M,-393.00M,-3.00M,-3.00M,37.00M,4.224B,4.881B,,9.943B,1.448B,-30.00M,11.36B,,0.00,1.565B,-549.00M,-393.00M,,AOR,Restated
2008-06,589.00M,898.00M,898.00M,102.00M,102.00M,1.497B,,,-63.00M,389.00M,694.00M,-956.00M,-195.00M,2.254B,,,,,631.00M,-190.00M,-449.00M,,273.00M,-2.004B,-1.731B,0.00,-848.00M,-848.00M,-8.00M,-8.00M,27.00M,1.30B,-1.26B,,9.76B,545.00M,-362.00M,9.943B,,0.00,3.678B,-4.649B,-848.00M,,AOR,Restated
2008-03,84.00M,912.00M,912.00M,106.00M,106.00M,-277.00M,,,-402.00M,-87.00M,1.057B,-408.00M,-94.00M,1.368B,,,,,-3.279B,106.00M,-4.546B,,-2.767B,760.00M,-2.007B,,-869.00M,-869.00M,-75.00M,-75.00M,29.00M,4.421B,1.499B,,11.06B,-1.679B,379.00M,9.76B,,,2.11B,-4.877B,-869.00M,,AOR,Restated
2007-12,871.00M,,,113.00M,113.00M,1.036B,1.572B,,-1.764B,,,-2.188B,458.00M,1.865B,,,,,2.485B,-256.00M,-1.498B,,3.684B,-566.00M,3.118B,,-750.00M,-750.00M,-450.00M,-450.00M,46.00M,-1.173B,791.00M,,9.905B,1.158B,-3.00M,11.06B,,,6.978B,-2.942B,-750.00M,,AOR,Restated
2007-09,867.00M,,,62.00M,62.00M,713.00M,-1.572B,,1.835B,,,-147.00M,-321.00M,1.321B,,,,,-2.253B,244.00M,-2.009B,,667.00M,918.00M,1.585B,,-799.00M,-799.00M,-3.00M,-3.00M,38.00M,3.303B,4.124B,,6.471B,3.461B,-27.00M,9.905B,,,1.353B,-686.00M,-799.00M,,AOR,Restated
2007-06,846.00M,,,35.00M,35.00M,383.00M,,247.00M,56.00M,,,1.04B,825.00M,2.089B,,,,,-778.00M,-293.00M,-1.071B,,-1.316B,,-1.316B,-83.00M,-739.00M,-822.00M,-8.00M,-8.00M,137.00M,680.00M,-1.329B,,6.808B,-336.00M,-1.00M,6.471B,,-83.00M,1.339B,-2.655B,-739.00M,,AOR,Restated
2007-03,1.12B,,,62.00M,62.00M,175.00M,,-247.00M,-22.00M,,,-397.00M,-666.00M,691.00M,,,,,-627.00M,201.00M,-426.00M,,724.00M,,724.00M,83.00M,-712.00M,-629.00M,-72.00M,-72.00M,,-2.07B,-2.047B,,8.589B,-1.782B,1.00M,6.808B,,83.00M,1.111B,-387.00M,-712.00M,,AOR,Restated
2006-12,1.037B,,,78.00M,78.00M,825.00M,-186.00M,-283.00M,131.00M,-186.00M,131.00M,1.864B,1.188B,2.354B,,,,0.00,-5.871B,-312.00M,-6.183B,,4.493B,-2.091B,2.402B,49.00M,-657.00M,-608.00M,-387.00M,-387.00M,,1.411B,2.818B,,9.567B,-1.011B,33.00M,8.589B,,49.00M,5.561B,-1.068B,-657.00M,,AOR,Restated
2006-09,1.205B,,,136.00M,136.00M,455.00M,-1.059B,-556.00M,2.096B,-1.059B,2.557B,-682.00M,286.00M,2.082B,,,,0.00,-909.00M,280.00M,-629.00M,,261.00M,3.424B,3.685B,38.00M,-624.00M,-586.00M,-2.00M,-2.00M,,-3.322B,-225.00M,,8.411B,1.228B,-72.00M,9.567B,,38.00M,715.00M,-454.00M,-624.00M,,AOR,Restated
2006-06,453.00M,,,52.00M,52.00M,679.00M,,-220.00M,-170.00M,,,-1.536B,-1.691B,-507.00M,,,,-724.00M,-3.76B,1.031B,-3.453B,,129.00M,,129.00M,29.00M,-627.00M,-598.00M,-7.00M,-7.00M,,4.167B,3.691B,,8.598B,-269.00M,82.00M,8.411B,,29.00M,510.00M,-381.00M,-627.00M,,AOR,Restated
2006-03,733.00M,,,84.00M,84.00M,232.00M,,-235.00M,631.00M,,,-764.00M,-603.00M,446.00M,,,,,-130.00M,248.00M,118.00M,,909.00M,,909.00M,50.00M,-604.00M,-554.00M,-44.00M,-44.00M,,-73.00M,238.00M,,7.799B,802.00M,-3.00M,8.598B,,50.00M,1.132B,-223.00M,-604.00M,,AOR,Restated
2005-12,364.00M,,,54.00M,54.00M,1.084B,1.033B,-250.00M,1.039B,1.033B,1.039B,-4.283B,-639.00M,93.00M,,,,0.00,-4.912B,581.00M,-4.331B,,1.791B,532.00M,2.323B,37.00M,-642.00M,-605.00M,-350.00M,-350.00M,,2.393B,3.761B,,8.376B,-477.00M,-100.00M,7.799B,,37.00M,2.505B,-714.00M,-642.00M,,AOR,Restated
2005-09,1.364B,,,190.00M,190.00M,222.00M,-524.00M,-149.00M,811.00M,-524.00M,811.00M,-673.00M,-397.00M,1.379B,,,,0.00,-62.69B,61.72B,-964.00M,,348.00M,1.689B,2.037B,36.00M,-621.00M,-585.00M,-1.00M,-1.00M,,-1.702B,-251.00M,,8.285B,164.00M,-73.00M,8.376B,,36.00M,383.00M,-35.00M,-621.00M,,AOR,Restated
2005-06,883.00M,,,138.00M,138.00M,88.00M,-450.00M,-241.00M,528.00M,-450.00M,528.00M,1.238B,912.00M,2.021B,,,,0.00,28.42B,-28.74B,-324.00M,,968.00M,-1.07B,-102.00M,47.00M,-417.00M,-370.00M,-6.00M,-6.00M,,-1.371B,-1.849B,,8.497B,-152.00M,-60.00M,8.285B,,47.00M,1.17B,-202.00M,-417.00M,,AOR,Restated
2005-03,929.00M,,,119.00M,119.00M,-155.00M,-59.00M,-152.00M,762.00M,-59.00M,762.00M,-1.456B,-354.00M,539.00M,,,,,27.48B,-33.13B,-5.654B,,-222.00M,3.67B,3.448B,49.00M,-415.00M,-366.00M,-37.00M,-37.00M,,2.442B,5.487B,,8.072B,372.00M,53.00M,8.497B,,49.00M,323.00M,-545.00M,-415.00M,,AOR,Restated
2004-12,578.00M,-912.00M,-912.00M,111.00M,111.00M,-1.563B,-1.569B,407.00M,1.126B,-1.569B,1.126B,4.624B,3.887B,2.101B,,,,859.00M,-85.06B,86.40B,2.20B,,-83.00M,-312.00M,-1.955B,725.00M,-304.00M,421.00M,45.00M,-296.00M,,-609.00M,-2.439B,,6.302B,1.862B,-92.00M,8.072B,,725.00M,1.13B,-1.213B,-304.00M,,AOR,Restated
2004-09,728.00M,,,135.00M,135.00M,-100.00M,382.00M,-110.00M,144.00M,382.00M,144.00M,-3.661B,-2.829B,-2.066B,,,,-39.00M,25.19B,-25.73B,-576.00M,,1.209B,-63.00M,1.146B,24.00M,-398.00M,-374.00M,-1.00M,-1.00M,,2.251B,3.022B,,5.898B,380.00M,24.00M,6.302B,,24.00M,1.477B,-268.00M,-398.00M,,AOR,Restated
2004-06,549.00M,622.00M,622.00M,155.00M,155.00M,-308.00M,1.78B,-144.00M,448.00M,1.78B,448.00M,-1.522B,2.646B,3.664B,,69.00M,69.00M,-1.742B,27.16B,-32.69B,-7.205B,,819.00M,2.194B,3.013B,14.00M,-398.00M,-384.00M,-6.00M,-6.00M,,-1.235B,1.388B,,8.058B,-2.153B,-7.00M,5.898B,,14.00M,1.313B,-494.00M,-398.00M,,AOR,Restated
