,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2008-06,1.096B,1.096B,268.27M,827.24M,62.99M,61.64M,124.63M,-35.57M,95.34M,9.029M,-9.029M,,535.26M,291.98M,9.029M,-9.029M,-35.57M,-9.029M,247.38M,69.18M,178.21M,,,178.21M,203.83M,571.71M,315.29M,256.41M,0.36,0.0,,0.412,0.36,0.355,0.0,,0.406,0.355,493.07M,502.27M,0.06
2008-03,1.134B,1.134B,283.85M,850.17M,,,52.93M,-30.99M,86.75M,12.19M,-12.19M,,436.88M,413.29M,12.19M,-12.19M,-30.99M,-12.19M,370.11M,129.16M,240.96M,,0.443M,240.96M,261.13M,679.50M,297.20M,382.30M,0.49,0.0,,0.5311,0.49,0.48,0.0,,0.5204,0.48,490.86M,499.53M,0.045
2007-12,1.232B,1.232B,312.29M,919.35M,,,66.05M,-46.63M,58.27M,,,-67.67M,338.88M,580.47M,,,-46.63M,,511.08M,149.88M,361.20M,,3.161M,361.20M,394.15M,862.71M,282.23M,580.47M,0.735,0.0,,0.8024,0.735,0.72,0.0,,0.7862,0.72,488.91M,497.45M,0.045
2007-09,942.56M,942.56M,249.19M,693.38M,,,48.10M,-29.82M,47.11M,,,-47.90M,326.50M,366.87M,,,-29.82M,,318.60M,114.60M,204.00M,,1.637M,204.00M,223.10M,646.06M,279.19M,366.87M,0.415,0.0,,0.4542,0.415,0.41,0.0,,0.4486,0.41,486.97M,494.85M,0.045
2007-06,1.009B,1.009B,217.81M,791.34M,,,47.18M,33.55M,62.05M,,,-46.09M,322.92M,468.42M,,,33.55M,,465.87M,158.82M,307.05M,,0.99M,307.05M,284.94M,728.20M,259.78M,468.42M,0.63,0.0,,0.5845,0.63,0.62,0.0,,0.5753,0.62,486.45M,494.52M,0.045
2007-03,911.04M,911.04M,219.89M,691.15M,,,43.88M,-43.36M,40.65M,,,1.205M,330.07M,361.08M,,,-43.36M,,335.32M,117.65M,217.67M,,0.875M,217.67M,245.82M,605.42M,244.34M,361.08M,0.445,0.0,,0.503,0.445,0.44,0.0,,0.4971,0.44,485.53M,493.35M,0.03
2006-12,603.06M,603.06M,233.16M,369.90M,,,47.72M,273.84M,46.24M,,,,-20.00M,389.90M,,,273.84M,,352.52M,109.90M,242.62M,,5.421M,242.62M,54.15M,620.34M,230.44M,389.90M,0.49,0.0,,0.1014,0.49,0.48,0.0,,0.0976,0.48,484.96M,492.86M,0.03
2006-09,968.73M,968.73M,171.86M,796.87M,,,42.36M,-30.38M,54.07M,,,,312.50M,484.37M,,,-30.38M,,466.00M,166.86M,299.14M,,1.858M,299.14M,318.64M,700.44M,216.07M,484.37M,0.615,0.0,,0.6553,0.615,0.605,0.0,,0.6446,0.605,483.82M,492.27M,0.03
2006-06,828.00M,919.09M,163.18M,755.91M,,,38.61M,67.57M,46.86M,,,,278.39M,477.51M,,,67.57M,,464.29M,132.88M,331.42M,,1.858M,331.42M,283.19M,670.44M,192.93M,477.51M,0.68,0.0,,0.5802,0.68,0.67,0.0,,0.5719,0.67,483.23M,491.77M,0.03
2006-03,977.51M,1.085B,165.70M,918.84M,,,36.29M,76.03M,53.69M,,,,267.64M,651.20M,,,76.03M,,629.83M,203.12M,426.71M,,1.858M,426.71M,375.19M,828.85M,177.65M,651.20M,0.88,0.0,,0.7732,0.88,0.865,0.0,,0.7603,0.865,482.24M,491.85M,0.02
