,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-03,638.59M,14.97M,37.81M,52.78M,,748.59M,171.36M,64.61M,35.49M,,1.535M,-109.65M,-106.80M,75.60M,-8.863M,-29.06M,17.99M,-160.78M,1.552B,-1.441B,,-1.441B,,-15.22M,-1.456B,-1.671M,,-1.671M,,-16.78M,-16.78M,,,-97.03M,-97.03M,1.453M,0.057M,-113.96M,834.23M,-18.22M,0.09M,816.09M,,,-1.671M,-16.78M,,
2017-12,2.430B,65.22M,47.74M,112.96M,,881.74M,-1.589B,153.44M,32.31M,,16.53M,-366.69M,-156.87M,197.33M,-574.67M,-20.65M,210.36M,-711.18M,1.328B,-1.057B,,-1.057B,,-175.23M,-1.232B,-1.658M,,-1.658M,,-13.03M,-13.03M,,,-97.27M,-97.27M,9.666M,0.039M,-102.26M,846.14M,-6.634M,-5.276M,834.23M,,,-1.658M,-13.03M,,
2017-09,100.54M,8.202M,8.745M,16.95M,,846.22M,79.69M,53.68M,43.48M,,2.682M,-129.23M,-11.54M,25.35M,-22.85M,-2.355M,-41.24M,-181.87M,961.36M,-1.094B,,-1.094B,,57.66M,-1.036B,-601.65M,,-601.65M,,-28.70M,-28.70M,,,-96.28M,-96.28M,1.566M,-0.096M,-725.15M,1.649B,-800.18M,-3.13M,846.14M,,,-601.65M,-28.70M,,
2017-06,23.05M,8.916M,-8.767M,0.149M,,865.38M,34.47M,78.93M,27.60M,,-3.369M,75.10M,-30.86M,55.77M,-16.41M,-15.62M,-15.81M,52.16M,1.078B,-1.027B,,-1.027B,,144.26M,-882.67M,-1.632M,,-1.632M,,-3.05M,-3.05M,,,-96.28M,-96.28M,7.252M,,-93.71M,1.547B,102.00M,0.876M,1.649B,,,-1.632M,-3.05M,-81.96M,-77.83M
2017-03,28.52M,16.76M,-60.11M,-43.35M,,816.04M,0.694M,193.19M,30.46M,,-3.48M,28.69M,24.74M,-18.19M,-44.68M,-51.25M,-63.32M,-124.02M,898.05M,-946.56M,,-946.56M,,110.14M,-836.43M,-1.619M,,-1.619M,,-18.63M,-18.63M,,,-96.71M,-96.71M,2.356M,,-114.60M,1.600B,-52.98M,-0.353M,1.547B,,,-1.619M,-18.63M,81.96M,77.83M
2016-12,-142.35M,-104.03M,65.79M,-38.25M,,862.52M,-22.72M,297.95M,31.02M,-7.286M,23.19M,-220.94M,33.13M,105.95M,-28.11M,-53.02M,-36.34M,-199.33M,804.74M,-740.90M,,-740.90M,,697.04M,10.67M,-165.44M,,-165.44M,,-26.48M,-26.48M,,,-96.12M,-96.12M,9.013M,8.14M,-270.89M,1.049B,544.53M,6.642M,1.600B,,0.00,-165.44M,-26.48M,,67.55M
2016-09,-190.00M,-108.20M,-30.19M,-138.39M,,899.51M,-108.20M,177.99M,37.60M,-10.26M,25.05M,10.71M,41.75M,22.82M,21.06M,35.23M,-65.31M,66.27M,759.58M,-653.76M,,-653.76M,,271.27M,-382.48M,-1.596M,,-1.596M,,-26.89M,-26.89M,,,-92.69M,-92.69M,3.659M,9.43M,-108.08M,779.72M,269.01M,-0.009M,1.049B,,0.00,-1.596M,-26.89M,,66.36M
2016-06,-292.56M,15.55M,29.54M,45.09M,,862.49M,-187.60M,72.71M,27.09M,-11.81M,27.98M,-154.97M,38.24M,177.13M,-37.54M,-6.427M,-56.68M,-40.25M,503.15M,-614.94M,,-614.94M,,302.57M,-312.38M,-1.581M,,-1.581M,,-16.08M,-16.08M,,,-91.87M,-91.87M,7.936M,11.78M,-89.82M,668.48M,100.95M,10.29M,779.72M,,0.00,-1.581M,-16.08M,,65.93M
2016-03,-471.78M,-9.147M,12.25M,3.105M,,928.89M,-196.70M,71.62M,32.38M,,7.095M,132.40M,57.58M,-287.17M,3.946M,7.992M,2.228M,-83.02M,291.59M,-573.19M,,-573.19M,,4.439M,-568.75M,329.81M,,329.81M,,-12.67M,-12.67M,,,-92.17M,-92.17M,2.688M,-1.592M,226.06M,718.51M,-51.10M,1.072M,668.48M,,991.10M,-661.29M,-12.67M,,52.19M
2015-12,-284.30M,3.656M,64.12M,67.78M,,769.46M,-105.28M,168.17M,28.65M,-1.839M,12.22M,193.10M,31.44M,-164.76M,-28.82M,-50.57M,-19.44M,-39.05M,615.81M,-842.80M,,-842.80M,,67.94M,-774.86M,228.46M,,228.46M,,-5.372M,-5.372M,,,-92.43M,-92.43M,7.723M,1.834M,140.22M,742.69M,-18.83M,-5.356M,718.51M,,230.02M,-1.557M,-5.372M,41.11M,222.09M
2015-09,-4.076B,1.185M,70.64M,71.82M,,722.17M,-2.222B,6.307B,40.28M,-7.826M,-0.296M,150.13M,-10.60M,-297.12M,70.85M,33.16M,349.40M,295.83M,1.131B,-1.357B,,-1.357B,,-321.30M,-1.678B,28.15M,,28.15M,,-17.06M,-17.06M,,,-91.45M,-91.45M,0.483M,3.497M,-76.37M,1.367B,-623.15M,-1.552M,742.69M,,29.70M,-1.546M,-17.06M,49.56M,102.11M
2015-06,5.268M,5.564M,241.93M,247.49M,,909.23M,-57.56M,68.52M,28.60M,-7.535M,-1.503M,-54.92M,99.78M,-259.75M,16.94M,-16.99M,-90.19M,-305.13M,887.37M,-1.268B,,-1.268B,,204.89M,-1.063B,-501.53M,,-501.53M,,-10.90M,-10.90M,,,-91.47M,-91.47M,10.50M,7.905M,-585.50M,2.127B,-761.09M,1.062M,1.367B,,0.00,-501.53M,-10.90M,-62.35M,-158.24M
2015-03,-169.75M,-1.607M,291.50M,289.89M,,912.79M,-97.24M,69.44M,33.05M,-8.858M,28.76M,353.10M,-62.17M,-675.77M,59.18M,-31.86M,259.99M,-97.53M,960.55M,-1.546B,,-1.546B,,-258.62M,-1.804B,988.70M,,988.70M,,-15.46M,-15.46M,,,-91.66M,-91.66M,3.984M,7.004M,892.57M,2.087B,48.90M,-8.691M,2.127B,,990.22M,-1.521M,-15.46M,12.79M,56.12M
2014-12,444.59M,-431.89M,-527.21M,-959.10M,,1.014B,730.42M,535.64M,41.45M,-11.63M,53.48M,426.02M,-42.79M,-183.05M,47.52M,8.802M,5.154M,261.66M,2.110B,-2.007B,,-2.007B,,624.14M,-1.382B,-1.509M,,-1.509M,,-12.60M,-12.60M,,,-92.02M,-92.02M,10.51M,11.95M,-83.67M,1.481B,644.32M,-38.25M,2.087B,,0.00,-1.509M,-12.60M,12.26M,53.77M
2014-09,1.104B,-60.35M,-537.16M,-597.51M,,1.040B,495.41M,55.54M,38.49M,-24.07M,34.04M,-91.71M,-9.41M,279.96M,79.49M,9.517M,-76.92M,190.92M,2.336B,-2.113B,,-2.113B,,94.20M,-2.019B,-1.499M,,-1.499M,,-25.30M,-25.30M,,,-67.99M,-67.99M,1.307M,23.61M,-69.86M,1.230B,248.05M,2.954M,1.481B,,0.00,-1.499M,-25.30M,82.98M,41.30M
2014-06,706.35M,-3.856M,142.40M,138.55M,,996.60M,246.30M,39.04M,29.58M,-36.34M,4.734M,-105.02M,-40.81M,-38.40M,-128.92M,86.27M,36.64M,-190.24M,1.935B,-2.225B,,-2.225B,,-64.14M,-2.289B,-1.484M,,-1.484M,,-60.63M,-60.63M,,,-67.90M,-67.90M,9.448M,36.38M,-84.18M,1.667B,-438.61M,1.541M,1.230B,,0.00,-1.484M,-60.63M,226.14M,48.76M
2014-03,660.93M,-11.50M,121.70M,110.20M,,946.49M,232.81M,113.36M,35.56M,-27.42M,17.38M,-144.32M,-68.95M,501.61M,-12.54M,-29.17M,-68.28M,178.36M,2.268B,-1.903B,,-1.903B,,79.04M,-1.824B,-5.254M,,-5.254M,,-28.90M,-28.90M,,,-51.78M,-51.78M,0.985M,-5.068M,-90.01M,1.318B,354.10M,-5.096M,1.667B,,496.22M,-501.47M,-28.90M,21.36M,53.55M
