,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2011-03,1.668B,0.0,1.668B,1.229B,,1.259B,481.83M,28.07M,114.83M,3.598B,,,32.39B,-12.75B,19.64B,,306.47M,19.95B,23.55B,1.839B,40.25M,,1.879B,136.90M,2.016B,,220.00M,,220.00M,113.18M,7.944M,150.91M,2.500B,5.005B,5.005B,3.571B,3.571B,,680.75M,9.257B,11.76B,202.68M,8.963B,2.148B,11.72M,,,,485.46M,11.79B
2010-12,788.85M,,788.85M,1.113B,,1.168B,415.79M,9.26M,145.35M,2.527B,,,31.00B,-12.32B,18.68B,,415.89M,19.10B,21.62B,1.665B,38.96M,,1.704B,82.17M,1.786B,,220.00M,,220.00M,70.04M,41.70M,143.98M,2.220B,5.003B,5.003B,3.502B,3.502B,,667.46M,9.173B,11.39B,202.54M,8.870B,729.99M,11.15M,,,,440.07M,10.23B
2010-09,27.83M,,27.83M,897.73M,,987.09M,381.26M,,138.26M,1.534B,,,29.81B,-11.56B,18.25B,,160.60M,18.41B,19.94B,1.541B,38.95M,,1.580B,114.76M,1.695B,,,,,45.37M,45.37M,197.96M,1.938B,3.769B,3.769B,3.424B,3.424B,,695.86M,7.888B,9.827B,202.54M,8.856B,695.05M,11.18M,,,,375.85M,10.12B
2010-06,650.11M,,650.11M,810.14M,,840.83M,306.56M,1.169M,117.47M,1.916B,,,28.14B,-10.71B,17.42B,,125.22M,17.55B,19.47B,1.256B,38.85M,90.05M,1.385B,,1.385B,,,,,9.889M,9.889M,163.69M,1.558B,3.734B,3.734B,3.424B,3.424B,,618.74M,7.777B,9.335B,202.54M,8.966B,656.53M,8.857M,,,,314.63M,10.13B
2010-03,230.08M,,230.08M,869.04M,,911.27M,313.07M,5.133M,86.30M,1.546B,,,27.14B,-10.33B,16.82B,,146.28M,16.96B,18.51B,1.134B,38.76M,,1.173B,90.18M,1.263B,,37.00M,,37.00M,20.65M,20.65M,172.12M,1.493B,2.76B,2.76B,3.456B,3.456B,,635.24M,6.851B,8.344B,202.53M,8.946B,620.37M,8.863M,,,,405.23M,10.16B
2009-12,685.75M,,685.75M,771.42M,,808.43M,261.72M,0.00,83.64M,1.840B,,,25.96B,-9.825B,16.14B,,139.90M,16.28B,18.12B,979.14M,36.29M,,1.015B,92.86M,1.108B,,37.00M,,37.00M,62.63M,35.41M,137.64M,1.346B,2.76B,2.76B,3.382B,3.382B,,632.65M,6.775B,8.121B,202.53M,8.867B,596.70M,7.653M,,,,339.72M,9.998B
2009-09,608.51M,,608.51M,604.26M,,631.39M,240.23M,,351.55M,1.832B,,,24.78B,-9.524B,15.25B,,137.05M,15.39B,17.22B,783.76M,36.26M,,820.02M,86.33M,906.35M,,37.00M,,37.00M,114.30M,114.30M,143.49M,1.201B,2.76B,2.76B,3.133B,3.133B,,609.15M,6.502B,7.704B,202.52M,8.503B,528.54M,7.895M,,,,291.63M,9.518B
2009-06,706.96M,,706.96M,570.26M,,589.34M,243.61M,,670.36M,2.210B,,,23.46B,-9.019B,14.45B,,136.80M,14.58B,16.79B,720.05M,35.98M,,756.04M,78.47M,834.51M,,37.00M,,37.00M,213.41M,213.41M,104.70M,1.190B,2.76B,2.76B,3.033B,3.033B,,550.34M,6.344B,7.533B,202.50M,8.536B,395.13M,4.173M,,,,130.50M,9.260B
2009-03,85.21M,,85.21M,558.12M,,563.32M,242.63M,6.822M,911.76M,1.810B,,,22.55B,-8.540B,14.01B,,167.44M,14.17B,15.98B,774.43M,35.94M,,810.38M,78.87M,889.24M,,,,,296.47M,296.47M,97.59M,1.283B,2.105B,2.105B,2.966B,2.966B,,514.14M,5.585B,6.868B,202.50M,8.589B,349.21M,3.132M,,,,-21.69M,9.116B
2008-12,331.31M,,331.31M,722.70M,,749.75M,187.97M,,839.42M,2.108B,,,21.86B,-8.204B,13.66B,,185.47M,13.84B,15.95B,1.122B,33.46M,,1.156B,86.26M,1.242B,,37.00M,,37.00M,368.23M,368.23M,117.75M,1.765B,1.86B,1.86B,2.814B,2.814B,,498.29M,5.172B,6.937B,202.50M,8.466B,323.80M,5.736M,,,,27.79M,9.014B
2008-09,885.98M,,885.98M,1.048B,8.789M,1.057B,146.57M,,386.80M,2.477B,20.22B,901.21M,21.12B,-7.985B,13.13B,,223.84M,13.36B,15.83B,1.341B,,,1.341B,136.25M,1.477B,,37.00M,,37.00M,200.12M,200.12M,118.89M,1.833B,1.86B,1.86B,2.708B,2.708B,,512.01M,5.080B,6.913B,202.50M,8.038B,369.13M,5.125M,,,,314.98M,8.920B
2008-06,108.10M,,108.10M,1.229B,239.44M,1.468B,109.97M,347.93M,54.10M,2.088B,18.93B,776.86M,19.71B,-7.718B,11.99B,,147.95M,12.14B,14.22B,1.380B,,,1.380B,137.59M,1.517B,,,,,61.05M,61.05M,866.80M,2.445B,1.147B,1.147B,2.545B,2.545B,,661.42M,4.354B,6.799B,202.50M,6.516B,321.03M,16.34M,,,,403.20M,7.426B
2008-03,204.94M,,204.94M,1.010B,133.00M,1.143B,98.56M,191.07M,52.65M,1.690B,17.86B,668.21M,18.53B,-7.389B,11.14B,,115.76M,11.26B,12.95B,1.209B,,,1.209B,105.14M,1.314B,,,,,19.54M,19.54M,391.48M,1.725B,1.185B,1.185B,2.387B,2.387B,,462.87M,4.035B,5.760B,202.50M,6.368B,263.09M,31.44M,,,,388.85M,7.191B
2007-12,54.23M,,54.23M,835.67M,110.37M,946.04M,102.32M,33.53M,155.91M,1.292B,16.98B,581.40M,17.56B,-7.134B,10.43B,,367.61M,10.80B,12.09B,1.152B,,,1.152B,104.65M,1.257B,,,,,108.98M,108.98M,108.40M,1.474B,1.185B,1.185B,2.071B,2.071B,,368.34M,3.625B,5.099B,207.47M,6.157B,221.10M,61.90M,4.977M,,,466.70M,6.990B
2007-09,301.94M,,301.94M,678.76M,92.57M,771.33M,109.84M,,127.11M,1.310B,16.96B,,16.96B,-6.921B,10.03B,,123.28M,10.16B,11.47B,964.52M,,,964.52M,102.52M,1.067B,,98.44M,,98.44M,84.50M,84.50M,91.58M,1.342B,1.185B,1.185B,1.961B,1.961B,,353.33M,3.499B,4.841B,245.53M,5.821B,186.26M,76.02M,43.04M,,,450.50M,6.627B
2007-06,58.53M,,58.53M,741.91M,39.67M,781.58M,116.30M,,107.36M,1.064B,15.89B,,15.89B,-6.551B,9.340B,,120.64M,9.460B,10.52B,925.83M,,,925.83M,101.37M,1.027B,,,,,54.90M,54.90M,76.44M,1.159B,883.84M,883.84M,1.861B,1.861B,,328.12M,3.073B,4.232B,255.45M,5.641B,162.59M,95.03M,52.95M,,,328.92M,6.293B
2007-03,141.70M,,141.70M,734.23M,42.20M,776.43M,122.46M,9.767M,77.74M,1.128B,14.79B,,14.79B,-6.213B,8.581B,,117.91M,8.699B,9.827B,924.64M,,,924.64M,80.19M,1.005B,,,,,21.07M,21.07M,72.64M,1.099B,820.04M,820.04M,1.748B,1.748B,,315.10M,2.883B,3.981B,255.41M,5.357B,140.64M,101.67M,52.92M,,,194.63M,5.846B
2006-12,218.26M,,218.26M,754.13M,94.31M,848.44M,113.59M,,169.79M,1.350B,13.89B,,13.89B,-5.950B,7.944B,,108.03M,8.052B,9.402B,896.57M,,,896.57M,130.98M,1.028B,,,,,144.62M,144.62M,82.84M,1.255B,733.44M,733.44M,1.513B,1.513B,,300.91M,2.547B,3.802B,255.38M,5.151B,129.99M,113.44M,52.89M,,,176.70M,5.600B
2006-09,595.93M,,595.93M,656.52M,,656.52M,117.38M,,213.16M,1.583B,13.19B,,13.19B,-5.735B,7.454B,,127.84M,7.582B,9.165B,794.59M,,,794.59M,143.90M,938.48M,,124.08M,,124.08M,122.15M,122.15M,74.26M,1.259B,705.44M,705.44M,1.416B,1.416B,,310.06M,2.432B,3.691B,301.74M,4.928B,121.30M,118.89M,99.24M,,,241.64M,5.474B
2006-06,759.11M,,759.11M,597.56M,,597.56M,98.43M,,143.61M,1.599B,12.45B,,12.45B,-5.513B,6.934B,,109.43M,7.043B,8.642B,680.58M,,,680.58M,131.15M,811.72M,,124.08M,,124.08M,83.67M,83.67M,63.04M,1.083B,768.44M,768.44M,1.346B,1.346B,,296.41M,2.411B,3.494B,301.68M,4.646B,91.85M,133.72M,99.18M,,,242.83M,5.148B
2006-03,821.33M,,821.33M,627.67M,,627.67M,76.64M,,139.13M,1.665B,11.74B,,11.74B,-5.270B,6.473B,,105.81M,6.579B,8.243B,673.91M,,,673.91M,169.36M,843.27M,,124.08M,,124.08M,36.23M,36.23M,63.95M,1.068B,808.67M,808.67M,1.334B,1.334B,,289.85M,2.433B,3.500B,301.62M,4.331B,60.90M,125.68M,99.12M,,,175.74M,4.743B
2005-12,643.81M,,643.81M,762.21M,0.255M,762.46M,63.22M,24.38M,69.37M,1.563B,11.17B,,11.17B,-5.086B,6.087B,,102.90M,6.190B,7.753B,679.55M,,,679.55M,140.90M,820.45M,,126.08M,,126.08M,164.66M,164.66M,60.86M,1.172B,858.99M,858.99M,1.123B,1.123B,,283.41M,2.265B,3.437B,301.56M,3.920B,84.70M,131.34M,99.06M,,,140.89M,4.316B
2005-09,341.06M,,341.06M,631.32M,,631.32M,54.89M,28.13M,88.61M,1.144B,10.72B,,10.72B,-4.939B,5.780B,,102.13M,5.883B,7.027B,508.82M,,,508.82M,97.61M,606.43M,,,,,105.38M,105.38M,61.45M,773.26M,1.043B,1.043B,1.088B,1.088B,,271.36M,2.402B,3.175B,301.50M,3.468B,72.77M,140.72M,99.00M,,,149.50M,3.851B
