,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2015-05,2.757B,,210.00M,507.00M,717.00M,717.00M,-62.00M,244.00M,-117.00M,201.00M,-1.659B,-18.00M,-749.00M,1.451B,,,1.706B,731.00M,4.527B,,-597.00M,,,-7.00M,-3.12B,,-3.724B,,9.897B,9.897B,360.00M,-2.011B,-1.651B,-655.00M,-655.00M,,-167.00M,7.424B,,13.70B,8.227B,-212.00M,21.72B,,360.00M,9.897B,0.00,-2.011B,,AOR,Restated
2015-02,2.496B,,178.00M,526.00M,704.00M,704.00M,-165.00M,234.00M,55.00M,23.00M,54.00M,-92.00M,-77.00M,-343.00M,,,-626.00M,-1.084B,2.263B,,-368.00M,,,-1.11B,-936.00M,,-2.414B,,0.00,0.00,549.00M,-1.996B,-1.447B,-530.00M,-530.00M,,93.00M,-1.884B,,16.15B,-2.035B,-417.00M,13.70B,,549.00M,0.00,0.00,-1.996B,,AOR,Restated
2014-11,2.501B,,164.00M,569.00M,733.00M,733.00M,-253.00M,240.00M,17.00M,57.00M,-693.00M,4.00M,164.00M,227.00M,,,-1.935B,-2.233B,1.062B,,-225.00M,,,-5.085B,-899.00M,,-6.209B,,0.00,0.00,314.00M,-2.089B,-1.775B,-533.00M,-533.00M,,-146.00M,-2.454B,,24.18B,-7.601B,-425.00M,16.15B,,314.00M,0.00,0.00,-2.089B,,AOR,Restated
2014-08,2.184B,,160.00M,547.00M,707.00M,707.00M,-68.00M,215.00M,45.00M,46.00M,2.506B,10.00M,275.00M,-1.088B,,,1.896B,3.599B,6.728B,,-201.00M,,,-37.00M,-6.462B,,-6.70B,,8.445B,8.445B,593.00M,-2.005B,-1.412B,-537.00M,-537.00M,,24.00M,6.52B,,17.77B,6.548B,-138.00M,24.18B,,593.00M,9.945B,-1.50B,-2.005B,,AOR,Restated
2014-05,3.646B,,156.00M,568.00M,724.00M,724.00M,59.00M,222.00M,104.00M,239.00M,-1.982B,37.00M,-324.00M,1.235B,,,374.00M,-660.00M,4.456B,,-154.00M,,,-422.00M,-1.031B,,-1.607B,,0.00,0.00,636.00M,-1.992B,-1.356B,-538.00M,-538.00M,,88.00M,-1.806B,,16.83B,1.043B,-106.00M,17.77B,,636.00M,0.00,0.00,-1.992B,,AOR,Restated
2014-02,2.565B,,150.00M,560.00M,710.00M,710.00M,-100.00M,201.00M,68.00M,21.00M,17.00M,7.00M,-66.00M,-311.00M,,,-85.00M,-438.00M,3.027B,,-147.00M,,,-1.318B,2.163B,,698.00M,,0.00,0.00,754.00M,-2.04B,-1.286B,-541.00M,-541.00M,,91.00M,-1.736B,,14.89B,1.989B,-51.00M,16.83B,,754.00M,0.00,0.00,-2.04B,,AOR,Restated
2013-11,2.553B,,152.00M,577.00M,729.00M,729.00M,-106.00M,182.00M,31.00M,34.00M,-718.00M,8.00M,-119.00M,431.00M,,,-1.879B,-2.277B,1.146B,,-126.00M,,,-434.00M,-2.569B,,-3.129B,,0.00,0.00,480.00M,-2.833B,-2.353B,-545.00M,-545.00M,,31.00M,-2.867B,,19.66B,-4.85B,80.00M,14.89B,,480.00M,0.00,0.00,-2.833B,,AOR,Restated
2013-08,2.191B,,150.00M,595.00M,745.00M,745.00M,-101.00M,200.00M,27.00M,17.00M,2.707B,5.00M,366.00M,-1.307B,,,1.442B,3.213B,6.292B,,-153.00M,,,-1.314B,-2.034B,,-3.501B,,5.566B,5.566B,285.00M,-2.968B,-2.683B,-554.00M,-554.00M,,12.00M,2.341B,,14.61B,5.132B,-81.00M,19.66B,,285.00M,5.566B,0.00,-2.968B,,AOR,Restated
2013-05,3.806B,,146.00M,596.00M,742.00M,742.00M,-225.00M,189.00M,17.00M,35.00M,-2.002B,-18.00M,-314.00M,1.259B,,,957.00M,-118.00M,4.564B,,-183.00M,,,-1.713B,-333.00M,,-2.229B,,-1.25B,-1.25B,227.00M,-2.817B,-2.59B,0.00,0.00,,214.00M,-3.626B,,16.10B,-1.291B,-197.00M,14.61B,,227.00M,0.00,-1.25B,-2.817B,,AOR,Restated
2013-02,2.504B,,139.00M,586.00M,725.00M,725.00M,148.00M,180.00M,68.00M,40.00M,231.00M,-48.00M,-28.00M,-416.00M,,,-210.00M,-471.00M,3.194B,,-116.00M,,,-932.00M,383.00M,,-665.00M,,0.00,0.00,548.00M,-2.132B,-1.584B,-850.00M,-850.00M,,125.00M,-2.309B,,15.91B,220.00M,-31.00M,16.10B,,548.00M,0.00,0.00,-2.132B,,AOR,Restated
