,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-05,21.62B,45.64B,67.26B,5.136B,,5.136B,,,,,3.762B,,,76.16B,0.00,868.00M,3.893B,6.818B,,229.00M,11.81B,-5.911B,5.897B,43.76B,6.67B,50.42B,1.395B,3.975B,61.69B,137.85B,,529.00M,,529.00M,,529.00M,,4.491B,4.491B,4.491B,8.341B,8.341B,,3.957B,19.12B,56.13B,56.13B,,,501.00M,2.297B,71.85B,90.98B,,28.95B,19.11B,,,,-1.689B,46.37B,,AOR,Restated
2018-02,19.49B,50.97B,70.46B,3.902B,,3.902B,328.00M,36.00M,132.00M,496.00M,2.879B,,,77.73B,,,,,,,,,5.904B,42.96B,6.40B,49.36B,1.815B,3.385B,60.47B,138.20B,,603.00M,,603.00M,,603.00M,,4.491B,4.491B,4.491B,8.003B,8.003B,,3.373B,17.97B,56.22B,56.22B,,,483.00M,2.441B,71.96B,89.93B,,29.05B,20.04B,,,,-1.296B,47.79B,,AOR,Restated
2017-11,21.31B,50.27B,71.58B,3.798B,,3.798B,288.00M,35.00M,113.00M,436.00M,2.731B,,,78.54B,,,,,,,,,5.868B,42.96B,6.794B,49.76B,1.222B,3.369B,60.22B,138.76B,,554.00M,,554.00M,,554.00M,,2.499B,2.499B,2.499B,8.076B,8.076B,,2.865B,15.49B,58.17B,58.17B,,,432.00M,2.716B,66.97B,82.46B,,28.47B,28.30B,,,,-902.00M,55.87B,,AOR,Restated
2017-08,21.32B,45.58B,66.90B,3.591B,,3.591B,158.00M,34.00M,120.00M,312.00M,2.535B,,,73.34B,,,,,,,,,5.586B,43.02B,7.186B,50.21B,1.181B,3.289B,60.26B,133.60B,,593.00M,,593.00M,,593.00M,,4.998B,4.998B,4.998B,10.27B,10.27B,,2.849B,20.23B,48.29B,48.29B,,,407.00M,2.821B,57.00B,77.23B,,28.09B,28.59B,,,,-716.00M,55.96B,,AOR,Restated
2017-05,21.78B,44.29B,66.08B,5.30B,,5.30B,,,,,3.137B,,,74.52B,0.00,830.00M,3.466B,5.763B,,235.00M,10.29B,-4.979B,5.315B,43.04B,7.679B,50.72B,1.143B,3.294B,60.48B,134.99B,,599.00M,,599.00M,,599.00M,,9.797B,9.797B,9.797B,8.233B,8.233B,,3.583B,24.18B,48.11B,48.11B,,,386.00M,2.774B,56.57B,80.74B,,27.06B,27.60B,,,,-803.00M,53.86B,,AOR,Restated
2017-02,19.75B,39.60B,59.35B,3.721B,,3.721B,244.00M,46.00M,101.00M,391.00M,2.547B,,,66.01B,,,,,,,,,5.07B,42.50B,7.788B,50.29B,918.00M,3.091B,59.37B,125.38B,,481.00M,,481.00M,,481.00M,,3.498B,3.498B,3.498B,7.388B,7.388B,,2.907B,15.79B,50.47B,50.47B,,,408.00M,2.938B,58.57B,74.36B,,25.97B,25.58B,,,,-931.00M,50.62B,,AOR,Restated
2016-11,18.59B,39.61B,58.21B,3.69B,,3.69B,153.00M,46.00M,128.00M,327.00M,2.511B,,,64.73B,,,,,,,,,4.882B,42.08B,7.968B,50.05B,895.00M,3.038B,58.87B,123.60B,,615.00M,,615.00M,,615.00M,,3.838B,3.838B,3.838B,7.411B,7.411B,,2.997B,16.35B,50.49B,50.49B,,,383.00M,2.82B,58.41B,74.76B,,25.16B,24.38B,,,,-1.072B,48.46B,,AOR,Restated
2016-08,28.61B,39.78B,68.40B,3.407B,,3.407B,140.00M,45.00M,101.00M,286.00M,2.362B,,,74.45B,,,,,,,,,4.108B,35.35B,5.091B,40.44B,1.142B,3.081B,48.77B,123.22B,,551.00M,,551.00M,,551.00M,,999.00M,999.00M,999.00M,9.462B,9.462B,,2.711B,15.14B,53.06B,53.06B,,,397.00M,2.161B,60.25B,75.39B,,24.59B,23.38B,,,,-533.00M,47.44B,,AOR,Restated
2016-05,20.15B,35.97B,56.12B,5.385B,,5.385B,95.00M,31.00M,86.00M,212.00M,2.591B,,,64.31B,0.00,744.00M,2.754B,4.501B,,97.00M,8.096B,-4.096B,4.00B,34.59B,4.943B,39.53B,1.291B,3.043B,47.87B,112.18B,,504.00M,,504.00M,,504.00M,,3.75B,3.75B,3.75B,7.655B,7.655B,,3.333B,17.21B,40.10B,40.10B,,,501.00M,2.169B,47.18B,64.39B,,24.22B,23.89B,,,,-816.00M,47.29B,,AOR,Restated
2016-02,15.58B,35.18B,50.77B,3.844B,,3.844B,102.00M,23.00M,87.00M,212.00M,2.246B,,,57.07B,,,,,,,,,4.011B,34.28B,5.249B,39.53B,1.382B,2.899B,47.82B,104.89B,,410.00M,,410.00M,,410.00M,,,,,6.912B,6.912B,,2.967B,11.82B,40.11B,40.11B,,,466.00M,2.209B,46.73B,58.56B,,23.53B,23.39B,,,,-1.046B,45.87B,,AOR,Restated
2015-11,17.41B,34.92B,52.34B,3.956B,,3.956B,108.00M,36.00M,94.00M,238.00M,2.089B,,,58.62B,,,,,,,,,3.855B,34.17B,5.599B,39.77B,1.341B,2.899B,47.86B,106.48B,,415.00M,,415.00M,,415.00M,,2.00B,2.00B,2.00B,6.998B,6.998B,,2.744B,13.75B,39.94B,39.94B,,,408.00M,2.184B,46.40B,60.15B,,23.43B,23.74B,,,,-1.239B,45.92B,,AOR,Restated
2015-08,16.74B,39.19B,55.93B,3.475B,,3.475B,113.00M,47.00M,91.00M,251.00M,1.795B,671.00M,,62.12B,,,,,,,,,3.896B,34.13B,5.955B,40.09B,789.00M,2.811B,47.58B,109.71B,,422.00M,,422.00M,,422.00M,,2.00B,2.00B,2.00B,9.078B,9.078B,,2.507B,15.39B,40.05B,40.05B,,,441.00M,2.319B,46.78B,62.17B,,23.27B,24.96B,,,,-1.139B,47.10B,,AOR,Restated
2015-05,21.72B,32.65B,54.37B,5.618B,,5.618B,112.00M,38.00M,164.00M,314.00M,2.22B,,,62.52B,0.00,589.00M,2.721B,3.892B,,93.00M,7.295B,-3.609B,3.686B,34.09B,6.406B,40.49B,1.458B,2.746B,48.38B,110.90B,,806.00M,,806.00M,,806.00M,,1.999B,1.999B,1.999B,7.245B,7.245B,,3.317B,15.21B,39.96B,39.96B,,,435.00M,2.254B,46.60B,61.80B,,23.16B,26.50B,,,,-996.00M,48.66B,,AOR,Restated
2015-02,13.70B,30.08B,43.78B,4.178B,,4.178B,95.00M,65.00M,125.00M,285.00M,2.123B,931.00M,,51.29B,,,,,,,,,3.335B,34.33B,6.842B,41.17B,674.00M,2.343B,47.52B,98.82B,,626.00M,318.00M,944.00M,,944.00M,,1.999B,1.999B,1.999B,6.443B,6.443B,,2.842B,13.79B,30.26B,30.26B,,,437.00M,1.937B,36.49B,50.28B,,22.69B,26.16B,,,,-764.00M,48.10B,,AOR,Restated
2014-11,16.15B,28.58B,44.73B,4.326B,,4.326B,66.00M,34.00M,108.00M,208.00M,1.866B,907.00M,,52.04B,,,,,,,,,3.169B,33.38B,7.167B,40.55B,427.00M,2.119B,46.26B,98.30B,,490.00M,440.00M,930.00M,,930.00M,,,,,6.816B,6.816B,,2.693B,11.98B,32.46B,32.46B,,,419.00M,1.671B,38.36B,50.34B,,22.04B,25.97B,,,,-468.00M,47.54B,,AOR,Restated
2014-08,24.18B,27.44B,51.62B,3.551B,,3.551B,72.00M,23.00M,84.00M,179.00M,2.015B,833.00M,,58.19B,,,,,,,,,3.086B,29.71B,5.605B,35.31B,916.00M,2.218B,41.53B,99.73B,,423.00M,425.00M,848.00M,,848.00M,,,,,8.939B,8.939B,,2.099B,13.38B,32.57B,32.57B,,,577.00M,1.703B,38.42B,51.80B,,21.71B,25.84B,,,,-193.00M,47.35B,,AOR,Restated
2014-05,17.77B,21.05B,38.82B,6.087B,,6.087B,74.00M,28.00M,87.00M,189.00M,2.119B,914.00M,,48.13B,0.00,632.00M,2.582B,2.999B,,26.00M,6.239B,-3.178B,3.061B,29.65B,6.137B,35.79B,837.00M,2.451B,42.14B,90.27B,,471.00M,416.00M,887.00M,,887.00M,,1.508B,1.508B,1.508B,7.269B,7.269B,,2.785B,14.39B,22.59B,22.59B,,,569.00M,1.657B,28.43B,42.82B,,21.08B,25.96B,,,,-164.00M,46.88B,,AOR,Restated
2014-02,16.83B,20.39B,37.22B,4.071B,,4.071B,99.00M,32.00M,96.00M,227.00M,1.869B,1.012B,,44.40B,,,,,,,,,3.052B,29.32B,6.558B,35.88B,720.00M,2.506B,42.16B,86.56B,,396.00M,438.00M,834.00M,,834.00M,,1.516B,1.516B,1.516B,6.473B,6.473B,,2.686B,13.09B,22.68B,22.68B,,,528.00M,1.503B,28.24B,41.33B,,20.34B,24.61B,,,,-235.00M,44.71B,,AOR,Restated
2013-11,14.89B,22.08B,36.97B,4.192B,,4.192B,118.00M,29.00M,87.00M,234.00M,1.889B,963.00M,,44.25B,,,,,,,,,3.039B,28.27B,6.521B,34.79B,760.00M,2.397B,40.99B,85.24B,,408.00M,543.00M,951.00M,,951.00M,,1.525B,1.525B,1.525B,6.667B,6.667B,,2.401B,13.11B,22.64B,22.64B,,,503.00M,1.471B,28.06B,41.17B,,19.40B,24.39B,,,,-226.00M,43.56B,,AOR,Restated
2013-08,19.66B,19.44B,39.10B,3.45B,,3.45B,135.00M,34.00M,74.00M,243.00M,1.723B,937.00M,,45.46B,,,,,,,,,3.052B,27.96B,6.914B,34.88B,722.00M,2.296B,40.95B,86.41B,,367.00M,571.00M,938.00M,,938.00M,,1.533B,1.533B,1.533B,8.524B,8.524B,,2.106B,14.53B,22.58B,22.58B,,,445.00M,1.459B,27.89B,42.42B,,19.06B,24.83B,,,,-344.00M,43.54B,,AOR,Restated
2013-05,14.61B,17.60B,32.22B,6.049B,,6.049B,114.00M,31.00M,95.00M,240.00M,2.213B,974.00M,,41.69B,0.00,632.00M,2.477B,2.619B,,28.00M,5.756B,-2.703B,3.053B,27.34B,6.64B,33.98B,766.00M,2.318B,40.12B,81.81B,,419.00M,911.00M,1.33B,,1.33B,,,,,7.118B,7.118B,,2.573B,12.87B,18.49B,18.49B,,,497.00M,1.402B,23.80B,36.67B,,18.89B,25.85B,,,,-99.00M,44.65B,,AOR,Restated
2013-02,16.10B,17.31B,33.41B,4.169B,,4.169B,101.00M,31.00M,79.00M,211.00M,2.07B,829.00M,,40.69B,,,,,,,,,3.034B,26.10B,6.662B,32.76B,651.00M,2.315B,38.76B,79.45B,,361.00M,,361.00M,,361.00M,,1.25B,1.25B,1.25B,6.278B,6.278B,,2.47B,11.92B,18.50B,18.50B,,,442.00M,1.467B,23.74B,35.66B,,18.64B,24.55B,,,,154.00M,43.35B,,AOR,Restated
2012-11,15.91B,17.78B,33.70B,4.401B,,4.401B,83.00M,21.00M,60.00M,164.00M,1.976B,893.00M,,41.13B,,,,,,,,,3.093B,25.46B,6.873B,32.33B,782.00M,2.322B,38.53B,79.66B,,372.00M,,372.00M,,372.00M,,1.25B,1.25B,1.25B,6.504B,6.504B,,2.675B,12.35B,18.51B,18.51B,,,427.00M,1.487B,23.90B,36.25B,,18.02B,24.75B,,,,222.00M,42.98B,,AOR,Restated
2012-08,15.67B,15.94B,31.61B,3.775B,,3.775B,76.00M,12.00M,60.00M,148.00M,1.729B,913.00M,,38.17B,,,,,,,,,3.037B,25.29B,7.376B,32.66B,547.00M,2.138B,38.39B,76.56B,,388.00M,,388.00M,,388.00M,,1.25B,1.25B,1.25B,8.316B,8.316B,,2.529B,13.96B,13.52B,13.52B,,,407.00M,1.614B,18.87B,32.82B,,17.90B,25.12B,,,,311.00M,43.33B,,AOR,Restated
2012-05,14.96B,15.72B,30.68B,6.377B,,6.377B,45.00M,20.00M,93.00M,158.00M,1.935B,877.00M,,40.02B,0.00,702.00M,2.351B,2.253B,,113.00M,5.419B,-2.398B,3.021B,25.12B,7.899B,33.02B,595.00M,1.67B,38.30B,78.33B,,438.00M,528.00M,966.00M,,966.00M,,2.95B,2.95B,2.95B,7.035B,7.035B,,2.435B,15.39B,13.52B,13.52B,,,399.00M,1.569B,18.85B,34.24B,,17.49B,26.09B,,,,112.00M,43.69B,,AOR,Restated
2012-02,13.78B,15.96B,29.74B,4.656B,,4.656B,60.00M,13.00M,99.00M,172.00M,1.678B,1.29B,,37.54B,,,,,,,,,2.936B,23.82B,7.455B,31.27B,977.00M,1.636B,36.82B,74.36B,,442.00M,,442.00M,,442.00M,0.00,,0.00,0.00,6.285B,6.285B,,3.24B,11.63B,14.78B,14.78B,,,393.00M,1.47B,19.46B,31.10B,,17.34B,25.12B,,,,416.00M,42.87B,,AOR,Restated
2011-11,13.29B,17.73B,31.01B,4.434B,,4.434B,71.00M,20.00M,127.00M,218.00M,1.579B,1.239B,,38.48B,,,,,,,,,2.90B,21.99B,7.152B,29.15B,1.122B,1.26B,34.43B,72.91B,,445.00M,,445.00M,,445.00M,0.00,,0.00,0.00,6.091B,6.091B,,2.954B,11.07B,14.78B,14.78B,,,347.00M,1.41B,19.57B,30.64B,,17.24B,24.38B,,,,292.00M,41.92B,,AOR,Restated
2011-08,13.16B,18.50B,31.66B,4.194B,,4.194B,73.00M,27.00M,159.00M,259.00M,1.831B,1.262B,,39.21B,,,,,,,,,2.93B,21.83B,7.662B,29.49B,1.152B,1.078B,34.65B,73.86B,,614.00M,,614.00M,,614.00M,0.00,,0.00,0.00,7.925B,7.925B,,2.964B,13.06B,14.79B,14.79B,,,347.00M,1.494B,19.56B,32.62B,,16.92B,23.38B,,,,592.00M,40.89B,,AOR,Restated
2011-05,16.16B,12.68B,28.85B,6.628B,,6.628B,94.00M,17.00M,192.00M,303.00M,2.206B,1.189B,,39.17B,0.00,692.00M,2.245B,2.098B,,60.00M,5.095B,-2.238B,2.857B,21.55B,7.86B,29.41B,1.076B,1.015B,34.36B,73.54B,,494.00M,,494.00M,,494.00M,,1.15B,1.15B,1.15B,6.802B,6.802B,,3.426B,14.19B,14.77B,14.77B,,,469.00M,1.157B,19.10B,33.29B,,16.65B,22.58B,,,,542.00M,39.78B,,AOR,Restated
2011-02,11.86B,12.49B,24.36B,4.495B,,4.495B,89.00M,16.00M,171.00M,276.00M,2.14B,1.193B,,32.46B,,,,,,,,,2.894B,21.42B,8.324B,29.75B,1.519B,1.045B,35.21B,67.67B,,673.00M,,673.00M,,673.00M,0.00,,0.00,0.00,5.849B,5.849B,,2.888B,11.28B,14.75B,14.75B,350.00M,350.00M,442.00M,1.145B,19.32B,30.61B,,16.13B,20.06B,,,,427.00M,36.62B,,AOR,Restated
2010-11,10.42B,14.42B,24.84B,4.406B,,4.406B,91.00M,46.00M,99.00M,236.00M,2.017B,1.219B,,32.72B,,,,,,,,,2.87B,20.89B,8.526B,29.42B,1.22B,1.015B,34.52B,67.24B,,762.00M,,762.00M,1.642B,2.404B,2.255B,,2.255B,2.255B,5.742B,5.742B,,2.935B,13.34B,14.78B,14.78B,350.00M,350.00M,438.00M,1.136B,19.06B,32.39B,,15.66B,18.42B,,,,327.00M,34.41B,,AOR,Restated
2010-08,12.02B,11.62B,23.64B,3.721B,,3.721B,89.00M,42.00M,104.00M,235.00M,1.529B,1.142B,,30.26B,,,,,,,,,2.835B,20.90B,9.124B,30.02B,1.119B,1.012B,34.99B,65.26B,,706.00M,,706.00M,1.438B,2.144B,2.26B,,2.26B,2.26B,6.903B,6.903B,,2.493B,13.80B,14.78B,14.78B,349.00M,349.00M,406.00M,3.816B,18.94B,32.74B,,14.92B,17.03B,,,,156.00M,32.11B,,AOR,Restated
2010-05,9.914B,8.555B,18.47B,5.585B,,5.585B,95.00M,43.00M,121.00M,259.00M,1.532B,1.159B,,27.00B,0.00,757.00M,1.995B,1.809B,,87.00M,4.648B,-1.885B,2.763B,20.42B,9.321B,29.75B,1.267B,798.00M,34.57B,61.58B,,775.00M,,775.00M,,775.00M,3.145B,,3.145B,3.145B,5.90B,5.90B,,2.976B,14.69B,11.51B,11.51B,424.00M,424.00M,401.00M,1.059B,15.69B,30.38B,,14.65B,16.15B,,,,4.00M,30.80B,,AOR,Restated
2010-02,9.331B,8.158B,17.49B,3.898B,,3.898B,105.00M,52.00M,158.00M,315.00M,1.299B,978.00M,,23.98B,,,,,,,,,2.869B,20.42B,9.868B,30.28B,,2.255B,35.41B,59.39B,,616.00M,,616.00M,1.452B,2.068B,4.22B,,4.22B,4.22B,5.389B,5.389B,,2.574B,14.25B,14.77B,14.77B,339.00M,339.00M,375.00M,1.172B,16.28B,30.54B,,13.97B,14.26B,,,,246.00M,28.48B,,AOR,Restated
2009-11,14.92B,5.865B,20.78B,3.086B,,3.086B,,,,,662.00M,703.00M,,25.24B,,,,,,,,,1.956B,19.10B,6.584B,25.68B,,960.00M,28.60B,53.83B,,255.00M,,255.00M,1.129B,1.384B,1.001B,,1.001B,1.001B,4.395B,4.395B,,1.754B,8.534B,13.75B,13.75B,351.00M,351.00M,384.00M,3.282B,17.38B,25.92B,,13.53B,13.54B,,,,461.00M,27.53B,,AOR,Restated
2009-08,16.10B,4.467B,20.56B,2.584B,,2.584B,,,,,586.00M,710.00M,,24.44B,,,,,,,,,1.924B,18.87B,6.886B,25.75B,,876.00M,28.55B,53.00B,,260.00M,,260.00M,1.033B,1.293B,1.001B,,1.001B,1.001B,5.283B,5.283B,,1.583B,9.16B,13.72B,13.72B,465.00M,465.00M,344.00M,3.163B,17.35B,26.51B,,13.32B,12.56B,,,,261.00M,26.14B,,AOR,Restated
2009-05,8.995B,3.629B,12.62B,4.43B,,4.43B,,,,,866.00M,661.00M,,18.58B,0.00,515.00M,1.579B,1.606B,,126.00M,3.826B,-1.904B,1.922B,18.84B,7.269B,26.11B,,802.00M,28.84B,47.42B,,271.00M,,271.00M,1.409B,1.68B,1.001B,,1.001B,1.001B,4.592B,4.592B,,1.876B,9.149B,9.237B,9.237B,480.00M,480.00M,,3.46B,13.18B,22.33B,,12.98B,11.89B,,,,216.00M,25.09B,,AOR,Restated
2009-02,8.211B,3.083B,11.29B,3.025B,,3.025B,,,,,657.00M,635.00M,,15.61B,,,,,,,3.866B,-1.952B,1.914B,18.64B,7.704B,26.35B,,1.078B,29.34B,44.95B,,272.00M,,272.00M,1.073B,1.345B,1.002B,,1.002B,1.002B,3.952B,3.952B,,1.673B,7.972B,10.24B,10.24B,942.00M,942.00M,,2.722B,13.90B,21.87B,,12.76B,10.47B,,,,-149.00M,23.08B,,,Restated
2008-11,7.353B,3.293B,10.65B,3.253B,,3.253B,,,,,605.00M,634.00M,,15.14B,,,,,,,3.859B,-1.952B,1.907B,18.59B,8.101B,26.69B,,1.069B,29.66B,44.80B,,346.00M,,346.00M,1.062B,1.408B,1.002B,,1.002B,1.002B,3.881B,3.881B,,1.672B,7.963B,10.24B,10.24B,1.062B,1.062B,,2.72B,14.02B,21.98B,,12.74B,10.18B,,,,-99.00M,22.82B,,,Restated
2008-08,8.553B,4.468B,13.02B,3.26B,,3.26B,,,,,665.00M,905.00M,,17.85B,,,,,,,3.838B,-1.952B,1.886B,18.26B,8.153B,26.41B,,1.103B,29.40B,47.25B,,402.00M,,402.00M,1.138B,1.54B,1.001B,,1.001B,1.001B,5.017B,5.017B,,1.689B,9.247B,10.24B,10.24B,1.214B,1.214B,,2.74B,14.19B,23.44B,,12.83B,10.59B,,,,395.00M,23.82B,,,Restated
2008-05,8.262B,2.781B,11.04B,5.127B,,5.127B,,,,,1.08B,853.00M,,18.10B,0.00,212.00M,1.505B,1.717B,,206.00M,3.64B,-1.952B,1.688B,17.99B,8.395B,26.39B,,1.091B,29.16B,47.27B,,383.00M,,383.00M,1.77B,2.153B,1.001B,,1.001B,1.001B,4.492B,4.492B,,2.383B,10.03B,10.24B,10.24B,1.218B,1.218B,,2.761B,14.21B,24.24B,,12.45B,9.961B,,,,618.00M,23.02B,,,Restated
2008-02,8.409B,2.097B,10.51B,3.235B,420.00M,3.655B,,,,,606.00M,964.00M,,15.73B,,,,,,,3.426B,-1.856B,1.57B,13.68B,5.406B,19.08B,257.00M,675.00M,21.58B,37.32B,,383.00M,,383.00M,1.46B,1.843B,,,1.00M,1.00M,3.683B,3.683B,,1.303B,6.83B,6.237B,6.237B,742.00M,742.00M,,2.692B,9.671B,16.50B,,11.85B,8.368B,,,,600.00M,20.82B,,,
2007-11,6.733B,1.699B,8.432B,3.264B,373.00M,3.637B,,,,,520.00M,969.00M,,13.56B,,,,,,,3.511B,-1.856B,1.655B,13.66B,5.683B,19.35B,412.00M,682.00M,22.10B,35.65B,,346.00M,,346.00M,1.36B,1.706B,,,2.00M,2.00M,3.577B,3.577B,,1.264B,6.549B,6.236B,6.236B,1.045B,1.045B,,2.528B,9.809B,16.36B,,11.26B,7.478B,,,,561.00M,19.30B,,,
