,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DeferredTaxes,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2004-03,44.90M,,,,395.30M,166.50M,26.20M,10.30M,192.70M,-881.10M,-13.40M,-488.50M,,-48.30M,,-59.70M,1.30M,-58.40M,,-2.346B,2.181B,-222.80M,,274.10M,,274.10M,1.20M,,1.20M,,-57.90M,6.20M,223.60M,,180.80M,-47.50M,,133.30M,,,1.20M,297.40M,-23.30M,,,AOR,Restated
2003-12,310.70M,149.90M,149.90M,,-172.70M,-1.883B,263.40M,85.80M,-4.25B,7.240B,-1.577B,-181.90M,,477.90M,,-76.10M,0.50M,-75.60M,-803.30M,-552.90M,795.90M,-635.90M,,-260.20M,,-260.20M,399.70M,,381.80M,,-195.60M,180.90M,106.90M,,233.40M,-51.10M,,180.80M,,,399.70M,0.00,-260.20M,,,AOR,Restated
2003-09,-1.383B,,,,-45.10M,-1.683B,-54.60M,542.50M,513.10M,-1.219B,4.964B,3.159B,,1.731B,,-80.60M,102.60M,22.00M,0.00,273.90M,-1.918B,-1.622B,,-3.70M,,-3.70M,-0.20M,,-0.20M,,-7.50M,-52.60M,-64.00M,,187.70M,45.70M,,233.40M,,,-0.20M,0.00,-3.70M,,,AOR,Restated
2003-06,214.80M,170.30M,170.30M,,-409.90M,-359.30M,57.90M,-47.90M,14.30M,1.003B,157.60M,785.50M,,760.70M,,-112.60M,3.30M,-109.30M,0.00,-956.80M,47.90M,-1.018B,,292.10M,,292.10M,0.00,,0.00,,-7.60M,-52.80M,231.70M,,213.50M,-25.80M,,187.70M,,,0.00,706.40M,-414.30M,,,AOR,Restated
2003-03,190.00M,-170.30M,-170.30M,,313.80M,-417.70M,-173.50M,28.00M,-527.40M,216.30M,411.50M,-519.60M,,-186.10M,,-177.10M,0.10M,-177.00M,,-813.40M,1.394B,404.10M,,-129.30M,,-129.30M,0.20M,,0.20M,,-7.50M,-53.30M,-189.90M,,185.40M,28.10M,,213.50M,,,0.20M,0.00,-129.30M,,,AOR,Restated
2002-12,228.50M,-305.20M,-305.20M,,-143.70M,313.20M,325.80M,-510.90M,640.40M,-258.30M,,477.60M,,388.90M,,-188.60M,-102.20M,-290.80M,,-64.24B,2.602B,-61.93B,,-267.50M,,-267.50M,0.00,706.50M,706.50M,,-166.90M,-614.80M,-342.70M,,308.80M,-124.40M,,183.90M,,,0.00,0.00,-267.50M,706.50M,,AOR,Restated
2002-09,228.70M,400.20M,400.20M,,-228.60M,31.50M,-325.80M,543.30M,-295.70M,290.70M,,206.00M,,606.30M,,-136.00M,102.20M,-33.80M,,66.64B,-5.188B,61.42B,,-19.90M,,-19.90M,0.00,-774.60M,-774.60M,,64.90M,587.60M,-142.00M,,182.10M,126.70M,,308.80M,,,0.00,65.00M,-84.90M,-774.60M,,AOR,Restated
2002-06,201.90M,-110.00M,-110.00M,,-328.30M,846.10M,,-237.50M,846.10M,-237.50M,,1.164B,,927.80M,,-89.60M,,-89.60M,,-2.364B,1.854B,-599.30M,,-0.30M,,-0.30M,-0.80M,-204.70M,-205.50M,,-58.60M,-11.20M,-275.60M,,129.20M,52.90M,,182.10M,,,-0.80M,,-0.30M,-204.70M,,AOR,
2002-03,252.90M,-290.20M,-290.20M,,314.40M,-189.80M,,3.20M,-189.80M,3.20M,,-411.90M,,-134.80M,,-100.20M,,-100.20M,,-331.70M,-393.10M,-825.00M,,-0.20M,,-0.20M,1.071B,-121.40M,949.50M,,-36.40M,-5.20M,907.70M,,181.30M,-52.10M,,129.20M,,,1.071B,,-0.20M,-121.40M,,AOR,
2001-12,190.10M,312.50M,312.50M,,-9.013B,-1.195B,,5.412B,-1.195B,5.412B,,8.472B,,97.90M,,-155.10M,,-155.10M,,-207.80M,-123.40M,-486.30M,,473.00M,,473.00M,-0.60M,-16.10M,-16.70M,,-29.60M,-15.40M,411.30M,,158.50M,22.90M,,180.80M,,,-0.60M,551.00M,-78.00M,-16.10M,,AOR,Restated
2001-09,165.70M,-173.50M,-173.50M,,8.754B,-1.043B,,-3.008B,-1.043B,-3.008B,,-8.105B,,641.20M,,-117.50M,,-117.50M,,1.146B,-973.20M,55.50M,,-397.90M,,-397.90M,49.80M,-303.90M,-254.10M,,-40.40M,-11.20M,-703.60M,,165.40M,-6.90M,,158.50M,,,49.80M,-0.30M,-397.60M,-303.90M,,AOR,
2001-06,-1.415B,13.30M,13.30M,,-3.365B,-1.047B,,3.383B,-1.047B,3.383B,,4.646B,,-120.70M,,-127.60M,,-127.60M,,1.092B,-743.00M,221.60M,,-59.20M,,-59.20M,0.40M,,0.40M,,-41.50M,-17.10M,-117.40M,,181.90M,-16.50M,,165.40M,,,0.40M,449.40M,-508.60M,,,AOR,
2001-03,472.30M,160.20M,160.20M,,-113.80M,-513.90M,,227.70M,-513.90M,227.70M,,-598.10M,,-79.40M,,-102.30M,,-102.30M,,-1.099B,1.475B,273.20M,,-154.00M,,-154.00M,,,,,-32.50M,-20.60M,-207.10M,,195.20M,-13.30M,,181.90M,,,,,-154.00M,,,AOR,
2000-12,474.80M,-157.50M,-157.50M,,-685.30M,46.40M,,-467.70M,46.40M,-467.70M,,-819.70M,,-686.30M,,-120.20M,,-120.20M,,1.880B,-949.00M,811.10M,,-2.10M,,-2.10M,,-87.60M,-87.60M,,-32.60M,-23.60M,-145.90M,,216.30M,-21.10M,,195.20M,,,,50.60M,-52.70M,-87.60M,,AOR,Restated
2000-09,679.60M,60.50M,60.50M,,116.40M,37.80M,,-221.70M,37.80M,-221.70M,,-388.90M,,467.60M,,-131.30M,,-131.30M,,-189.70M,-89.60M,-410.60M,,-1.80M,,-1.80M,,-152.00M,-152.00M,,-32.90M,109.70M,-77.00M,,236.30M,-20.00M,,216.30M,,,,0.70M,-2.50M,-152.00M,,AOR,
2000-06,510.60M,68.70M,68.70M,,95.70M,-632.20M,,256.50M,-632.20M,256.50M,,-768.90M,,-93.90M,,-81.80M,,-81.80M,,-829.10M,875.30M,-35.60M,,297.10M,,297.10M,,-17.00M,-17.00M,,-32.60M,-103.70M,143.80M,,222.00M,14.30M,,236.30M,,,,400.60M,-103.50M,-17.00M,,AOR,
2000-03,183.60M,-129.20M,-129.20M,,522.70M,-1.096B,,803.00M,-1.096B,803.00M,,-703.30M,,-126.20M,,-333.90M,,-333.90M,,1.536B,-577.40M,624.70M,,17.10M,,17.10M,,-327.00M,-327.00M,,-35.10M,-115.40M,-460.40M,,183.90M,38.10M,,222.00M,,,,25.00M,-7.90M,-327.00M,,AOR,
1999-12,-365.70M,-759.00M,-759.00M,,-2.620B,714.70M,,202.00M,-630.30M,202.00M,,111.70M,,-3.084B,,-216.30M,,-216.30M,,3.762B,-432.70M,3.113B,,15.30M,,15.30M,,-166.20M,-166.20M,,-36.40M,-20.40M,-207.70M,,362.90M,-179.00M,,183.90M,,,,19.00M,-3.70M,-166.20M,,AOR,Restated
1999-09,271.30M,-379.70M,-379.70M,,796.40M,-567.40M,,109.20M,-567.40M,109.20M,,-978.20M,,-290.20M,,-152.20M,,-152.20M,,919.00M,-84.90M,681.90M,,-145.00M,,-145.00M,,-125.80M,-125.80M,,-38.00M,-14.90M,-323.70M,,294.90M,68.00M,,362.90M,,,,10.80M,-155.80M,-125.80M,,,
1999-06,254.30M,565.40M,565.40M,,812.70M,149.80M,,-491.30M,149.80M,-491.30M,,-770.20M,,862.20M,,-129.80M,,-129.80M,,-2.104B,1.559B,-674.70M,,-98.90M,,-98.90M,,-126.00M,-126.00M,,-46.60M,-22.00M,-293.50M,,400.90M,-106.00M,,294.90M,,,,3.50M,-102.40M,-126.00M,,,
1999-03,203.30M,-185.70M,-185.70M,,-567.50M,-284.00M,,814.80M,-284.00M,814.80M,,993.60M,,443.70M,,-209.90M,,-209.90M,,-674.40M,803.80M,-80.50M,,-24.40M,,-24.40M,,-183.60M,-183.60M,,-28.00M,-13.70M,-249.70M,,287.40M,113.50M,,400.90M,,,,191.80M,-216.20M,-183.60M,,,
1998-12,-315.80M,673.40M,673.40M,,779.10M,-89.00M,,-612.70M,71.90M,-612.70M,,-1.707B,,-81.50M,,-298.80M,,-298.80M,,-1.901B,2.308B,108.40M,,266.10M,,266.10M,,-299.00M,-299.00M,,-38.40M,150.80M,79.50M,,181.00M,106.40M,,287.40M,,,,62.10M,204.00M,-299.00M,,AOR,Restated
1998-09,617.10M,149.10M,149.10M,,-1.12B,873.50M,,-449.30M,873.50M,-449.30M,,868.80M,,515.00M,,-133.40M,,-133.40M,,706.10M,-792.30M,-219.60M,,4.00M,,4.00M,,-110.10M,-110.10M,,-39.10M,-155.50M,-300.70M,,,-5.30M,,181.00M,,,,6.60M,-2.60M,-110.10M,,,
1998-06,247.20M,-406.80M,-406.80M,,594.30M,-954.10M,,597.00M,-954.10M,597.00M,,-802.50M,,-367.80M,,-112.30M,,-112.30M,,852.50M,-376.90M,363.30M,,-54.30M,,-54.30M,,,,,-49.00M,-4.70M,-108.00M,,,-112.50M,,,,,,707.40M,-761.70M,,,,
1998-03,-83.70M,-415.70M,-415.70M,,622.70M,-790.80M,,652.90M,-790.80M,652.90M,,-425.20M,,-301.90M,,-99.50M,,-99.50M,,-27.50M,267.50M,140.50M,,-3.90M,,-3.90M,,,,,-28.80M,-4.90M,-37.60M,,497.80M,-199.00M,,,,,,297.70M,-301.60M,,,,
1997-12,292.90M,598.60M,598.60M,,-2.417B,251.20M,,661.20M,251.20M,661.20M,,1.619B,,494.40M,,-169.30M,,-169.30M,,670.20M,-880.20M,-379.30M,,24.90M,-0.10M,1.390B,,,,,-44.70M,-1.371B,-26.50M,,,88.60M,,497.80M,,,,26.90M,-2.00M,,,AOR,Restated
1997-09,197.60M,-234.10M,-234.10M,,1.195B,121.70M,,-509.50M,121.70M,-509.50M,,-876.20M,,282.60M,,-133.30M,,-133.30M,,-972.80M,-448.80M,-1.555B,,1.236B,0.10M,0.10M,,,,,-28.80M,1.232B,1.203B,,,-69.00M,,,,,,1.239B,-2.30M,,,,
1997-06,63.80M,-344.30M,-344.30M,,-444.80M,114.50M,,302.80M,114.50M,302.80M,,695.80M,,-29.50M,,-269.50M,,-269.50M,,1.037B,-683.50M,83.70M,,8.10M,-10.00M,-130.10M,,,,,-28.80M,124.80M,-34.10M,,,20.10M,,,,,,0.00,8.10M,,,,
1997-03,239.30M,-20.20M,-20.20M,,1.735B,-224.10M,,-940.00M,-224.10M,-940.00M,,-2.458B,,-503.70M,,-130.30M,,-130.30M,,-1.101B,1.800B,568.50M,,120.10M,,120.10M,,,,,-28.70M,-3.80M,87.60M,,305.70M,152.40M,,,,,,395.30M,-275.20M,,,,
1996-12,247.80M,53.50M,53.50M,,-2.194B,833.40M,,288.50M,833.40M,288.50M,,1.806B,,673.40M,,-194.30M,,-139.90M,,2.353B,-3.162B,-948.50M,,300.20M,10.00M,51.70M,,0.00,0.00,,-28.80M,251.00M,273.90M,,,-1.20M,,305.70M,,,,551.40M,-251.20M,0.00,,AOR,Restated
1996-09,388.60M,-11.90M,-11.90M,,-389.60M,-553.70M,,733.20M,-553.70M,733.20M,,279.10M,,266.20M,,-141.70M,,-141.70M,,111.60M,-130.60M,-160.70M,,-17.30M,-2.90M,-2.90M,,-78.10M,-78.10M,,-28.70M,-30.10M,-139.80M,,,-34.30M,,,,,,-14.60M,-2.70M,-78.10M,,,
1996-06,378.70M,-326.40M,-326.40M,,541.80M,211.70M,,-531.60M,211.70M,-531.60M,,-762.20M,,-168.10M,,-113.60M,,-113.60M,,2.175B,-1.770B,290.80M,,-12.30M,-2.30M,-2.30M,,-137.60M,-137.60M,,-29.20M,-15.70M,-184.80M,,,-62.10M,,,,,,56.70M,-69.00M,-137.60M,,,
1996-03,368.80M,284.80M,284.80M,,53.00M,-621.90M,,395.80M,-621.90M,395.80M,,-534.40M,,172.20M,,-95.90M,,-95.90M,,-1.847B,2.199B,256.20M,,-228.90M,-2.50M,-2.50M,,,,,-29.50M,-234.80M,-266.80M,,241.70M,161.60M,,,,,,22.40M,-251.30M,,,,
1995-12,745.10M,,,,-2.452B,748.80M,,184.60M,954.70M,-105.70M,,1.767B,,588.30M,,844.40M,,860.90M,,-100.40M,-1.339B,-578.50M,,6.20M,3.20M,1.331B,,-1.70M,-1.70M,,-29.60M,-1.327B,-27.10M,,,-17.20M,,241.70M,,,,-494.10M,500.30M,-1.70M,,AOR,Restated
1995-09,386.40M,,,,-65.30M,-30.20M,,-92.00M,-30.20M,-92.00M,,-287.00M,,34.10M,,-1.017B,,-1.017B,,646.00M,388.90M,17.50M,,222.00M,-205.10M,-1.305B,,0.00,0.00,,-14.70M,1.317B,-2.40M,,,49.10M,,,,,,498.50M,-276.50M,0.00,,,
1995-06,419.70M,,,,2.102B,-1.248B,,-26.40M,-1.248B,-26.40M,,-2.624B,,-103.30M,,-47.90M,,-47.90M,,-672.20M,-187.90M,-908.00M,,1.105B,,1.105B,,0.00,0.00,,-14.80M,-2.40M,1.088B,,,76.10M,,,,,,1.333B,-227.90M,0.00,,,
1995-03,214.50M,,,,-503.60M,323.10M,,224.10M,323.10M,224.10M,,1.066B,,776.80M,,-37.00M,,-37.00M,,1.636B,-2.380B,-780.70M,,-4.70M,,-4.70M,,-4.30M,-4.30M,,-14.70M,0.60M,-23.10M,,160.60M,-26.90M,,,,,,,-4.70M,-4.30M,,,
1994-12,79.10M,,,,2.367B,-258.50M,,-1.122B,347.10M,-1.200B,,-2.238B,,256.60M,,-48.20M,,49.50M,,-1.576B,1.364B,-162.30M,,-2.20M,,-2.20M,,-63.20M,-63.20M,,-14.70M,2.20M,-77.90M,,,16.30M,,160.60M,,,,,-2.70M,-63.20M,,AOR,Restated
1994-09,134.20M,,,,-323.50M,55.90M,,339.80M,55.90M,339.80M,,792.70M,,603.40M,,-63.60M,,-63.60M,,-156.30M,-344.10M,-564.00M,,7.30M,,7.30M,,-24.60M,-24.60M,,-15.00M,3.30M,-29.00M,,,10.50M,,,,,,,7.30M,-24.60M,,,
1994-06,60.40M,,,,-52.40M,-652.20M,,803.40M,-652.20M,803.40M,,276.00M,,284.00M,,-54.40M,,-54.40M,,-3.132B,3.122B,-64.50M,,-31.70M,,-31.70M,,-136.80M,-136.80M,,-15.10M,1.80M,-181.80M,,,37.70M,,,,,,,-31.70M,-136.80M,,,
1994-03,-5.90M,,,,-227.70M,249.20M,,57.30M,249.20M,57.30M,,588.90M,,355.30M,,-42.90M,,-42.90M,,-331.70M,-0.10M,-374.70M,,-27.40M,,-27.40M,,-0.50M,-0.50M,,-15.40M,3.10M,-40.20M,,155.70M,-59.60M,,,,,,,-27.40M,-0.50M,,,
1993-12,138.42M,,,,2.966B,15.46M,,-842.37M,-632.70M,-1.245B,,-2.708B,,350.18M,,-51.38M,,-31.10M,,-5.404B,4.868B,-567.34M,,500.85M,,500.85M,,-232.10M,-232.10M,,-15.89M,4.996M,257.86M,,,40.70M,,155.70M,,,,884.51M,-383.66M,-232.10M,,,Restated
1993-09,-89.60M,,,,-2.538B,577.50M,,926.30M,577.50M,926.30M,,2.992B,,364.50M,,-45.20M,,-45.20M,,1.647B,-1.936B,-334.30M,,2.50M,,2.50M,,0.00,0.00,,-16.00M,6.40M,-7.10M,,,23.10M,,,,,,4.10M,-1.60M,0.00,,,
1993-06,203.60M,,,,259.80M,270.30M,,-283.00M,270.30M,-283.00M,,-67.40M,,396.00M,,-43.20M,,-43.20M,,2.500B,-2.930B,-473.20M,,135.50M,,135.50M,,-96.40M,-96.40M,,-16.10M,17.90M,40.90M,,,-36.30M,,,,,,293.30M,-157.80M,-96.40M,,,
1993-03,341.70M,,,,-534.20M,-215.10M,,602.10M,-215.10M,602.10M,,742.50M,,550.00M,,-19.70M,,-19.70M,,-281.20M,,-300.90M,,-202.10M,,-202.10M,,-7.80M,-7.80M,,-16.30M,,-226.20M,,105.30M,22.90M,,,,,,,-202.10M,-7.80M,,,
1992-12,-639.60M,,,,1.457B,240.80M,,-194.20M,240.80M,-194.20M,,100.80M,,546.60M,,-65.50M,,-65.50M,,1.193B,-1.697B,-569.10M,,-0.40M,,-0.40M,,0.00,0.00,,-16.30M,0.10M,-16.60M,,,-39.00M,,,,,,,-1.90M,0.00,,,
1992-09,128.10M,,,,551.00M,-223.20M,,62.70M,-223.20M,62.70M,,-330.00M,,349.10M,,-12.40M,,-12.40M,,-274.40M,0.00,-286.80M,,-0.80M,,-0.80M,,-19.90M,-19.90M,,-16.20M,-0.10M,-37.00M,,,25.30M,,,,,,,-0.80M,-19.90M,,,
1992-06,272.80M,,,,249.10M,-190.10M,,202.40M,-190.10M,202.40M,,0.50M,,522.40M,,319.00M,,319.00M,,-339.00M,-347.00M,-367.00M,,-1.10M,,-1.10M,,-121.80M,-121.80M,,-16.50M,,-139.40M,,,16.00M,,,,,,,-1.10M,-121.80M,,,
1992-03,216.60M,,,,506.30M,-123.30M,,-99.20M,-123.30M,-99.20M,,-453.60M,,269.30M,,-364.80M,,-364.80M,,434.70M,-17.80M,52.10M,,-206.90M,,-206.90M,,-96.50M,-96.50M,,-16.80M,,-320.20M,,101.80M,1.20M,,,,,,,-206.90M,-96.50M,,,
1991-12,272.20M,,,,-3.648B,371.60M,,1.779B,371.60M,1.779B,,4.348B,,706.30M,,-24.90M,,-24.90M,,-1.016B,302.50M,-738.90M,,-1.10M,0.00,0.00,,-24.30M,-24.30M,,-16.80M,-1.10M,-42.20M,,,-74.80M,,,,,,0.00,-1.10M,-24.30M,,,
1991-09,205.40M,,,,226.10M,184.30M,,-131.50M,184.30M,-131.50M,,97.10M,,528.60M,,-15.80M,,-15.80M,,-2.073B,1.845B,-244.20M,,-16.60M,0.00,0.00,,-170.90M,-170.90M,,-17.10M,-16.60M,-204.60M,,,79.90M,,,,,,0.80M,-17.40M,-170.90M,,,
1991-06,290.70M,,,,449.50M,-118.00M,,11.30M,-118.00M,11.30M,,-237.50M,,502.70M,,-29.50M,,-29.50M,,-1.030B,860.80M,-198.20M,,-44.80M,-173.60M,-173.60M,,-69.00M,-69.00M,,-17.50M,-44.90M,-305.00M,,,-0.60M,,,,,,0.00,-44.80M,-69.00M,,,
1991-03,136.00M,,,,1.171B,-140.90M,,-17.30M,-140.90M,-17.30M,,-329.60M,,977.70M,,-20.00M,,-20.00M,,374.90M,-1.231B,-876.50M,,156.30M,-225.80M,-225.80M,,,,,-17.50M,156.30M,-87.00M,,83.00M,14.30M,,,,,,396.70M,-240.40M,,,,
1990-12,116.90M,,,-102.80M,647.60M,-72.60M,,17.50M,-72.60M,17.50M,,-110.30M,,526.60M,,-14.70M,,-14.70M,,851.40M,-1.357B,-520.30M,,-15.90M,181.00M,181.00M,,-181.30M,-181.30M,,-17.50M,-14.00M,-31.80M,,,-25.50M,,,,,,0.30M,-16.20M,-181.30M,,,
1990-09,271.20M,,,-21.70M,498.80M,-52.90M,,14.60M,-52.90M,14.60M,,-85.90M,,662.40M,,-52.80M,,-52.80M,,-1.138B,765.20M,-425.20M,,-15.60M,18.10M,56.80M,,-186.60M,-186.60M,,-18.50M,-52.50M,-200.80M,,,36.50M,,,,,,-0.10M,-15.50M,-186.60M,,,
1990-06,193.00M,,,-65.00M,687.10M,-149.70M,,-36.80M,-149.70M,-36.80M,,-403.70M,,411.40M,,-2.70M,,-2.70M,,-1.017B,601.90M,-417.40M,,-6.10M,,-6.10M,,0.00,0.00,,-18.50M,4.40M,-20.20M,,,-26.40M,,,,,,0.30M,-6.40M,0.00,,,
1990-03,223.60M,,,-51.70M,1.074B,-309.10M,,52.80M,-309.10M,52.80M,,-536.00M,,709.70M,,-33.30M,,-33.30M,,-807.80M,314.20M,-526.90M,,-32.60M,,-32.60M,,-98.80M,-98.80M,,-18.70M,2.40M,-147.70M,,63.30M,35.20M,,,,,,,-32.60M,-98.80M,,,
