,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,SecuritySoldNotYetRepurchased,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2004-09,139.10M,8.786B,8.925B,,,18.89B,,27.82B,3.763B,295.00M,,295.00M,,41.30B,674.80M,49.87B,71.46B,,,,4.544B,4.544B,1.056B,1.056B,1.056B,,,5.600B,4.777B,,4.777B,,,,115.80M,43.39B,4.381B,1.647B,52.66B,58.36B,,186.10M,9.168B,1.515B,7.70M,,,11.45B,,AOR,Restated
2004-06,190.70M,5.717B,5.908B,,,21.32B,,27.23B,3.778B,298.30M,,298.30M,,38.54B,996.10M,47.52B,71.95B,,,,5.223B,5.223B,,,,,,5.223B,5.579B,,5.579B,,,,970.10M,43.59B,4.610B,1.607B,54.75B,59.66B,,185.50M,8.945B,1.515B,7.70M,,,10.68B,,AOR,Restated
2004-03,133.30M,10.33B,10.46B,,,19.14B,,29.60B,3.826B,307.50M,,307.50M,,40.19B,599.50M,55.59B,77.56B,,,,6.222B,6.222B,,,,,,6.222B,6.105B,,6.105B,,,,370.60M,42.37B,4.833B,1.665B,53.68B,64.77B,,186.10M,8.592B,1.514B,7.70M,,,11.12B,,AOR,Restated
2003-12,,,,,,,,,,,,,,,,,77.67B,,,,,,,,,,,,,,,,,,,,,,,66.82B,,,,,,,,10.86B,,AOR,Restated
2003-09,233.40M,12.96B,13.19B,,,19.89B,,33.09B,3.862B,442.90M,,442.90M,,42.72B,425.60M,51.05B,77.79B,,,,4.72B,4.72B,,,,,,4.72B,6.075B,,6.075B,,,,880.60M,46.05B,5.237B,1.710B,58.25B,65.60B,,185.40M,8.289B,1.114B,7.70M,,,10.48B,,AOR,Restated
2003-06,187.70M,9.192B,9.380B,,,17.74B,,27.12B,3.896B,446.70M,,446.70M,,41.49B,139.30M,51.58B,75.70B,,,,4.958B,4.958B,,,,,,4.958B,6.076B,,6.076B,,,,1.390B,41.45B,5.198B,1.956B,54.12B,61.51B,,185.80M,9.718B,1.114B,7.70M,,,12.23B,,AOR,Restated
2003-03,213.50M,8.870B,9.084B,,,18.19B,,27.28B,3.213B,171.00M,,171.00M,,38.59B,514.40M,47.54B,72.30B,,,,4.707B,4.707B,,,,,,4.707B,5.529B,,5.529B,,,,670.20M,40.70B,5.115B,1.902B,52.02B,58.82B,,185.80M,9.549B,1.114B,7.70M,,,11.58B,,AOR,Restated
2002-12,,,,,,,,,3.125B,,177.80M,177.80M,,,,64.86B,70.52B,,,,,,,,,,,,5.652B,,5.652B,,,,,,4.82B,1.895B,10.47B,57.39B,,185.80M,9.405B,1.114B,7.70M,,,11.00B,,AOR,Restated
2002-09,308.80M,10.51B,10.82B,,,18.42B,,29.23B,3.043B,,202.30M,202.30M,,41.00B,595.00M,50.49B,75.51B,,,,4.765B,4.765B,,,,,,4.765B,5.915B,,5.915B,,,,1.212B,42.58B,5.002B,1.891B,54.71B,62.51B,,191.50M,9.750B,1.116B,351.20M,,,11.11B,,AOR,Restated
2002-06,182.10M,8.434B,8.616B,,,19.11B,,27.73B,3.000B,,262.80M,262.80M,,42.29B,724.00M,51.66B,77.58B,,,,4.635B,4.635B,,,,,,4.635B,5.930B,,5.930B,,,,3.133B,43.02B,4.914B,1.875B,57.00B,64.95B,,191.50M,9.595B,1.116B,310.10M,,,10.76B,,AOR,
2002-03,129.20M,6.768B,6.897B,,,19.95B,,26.84B,3.004B,,307.20M,307.20M,,39.63B,759.50M,49.17B,76.16B,,,,5.143B,5.143B,,,,,,5.143B,5.924B,,5.924B,,,,1.171B,43.44B,4.960B,1.952B,55.49B,63.63B,,191.50M,9.439B,1.116B,122.90M,,,10.58B,,AOR,
2001-12,,,,,,,,,3.075B,,318.60M,318.60M,,,,68.51B,74.73B,,,,,,,,,,,,5.920B,,5.920B,,,,,,4.505B,1.949B,10.43B,63.61B,,191.50M,8.995B,48.20M,,,,9.170B,,AOR,Restated
2001-09,158.50M,8.514B,8.672B,,,19.02B,,27.69B,3.034B,,360.20M,360.20M,,39.81B,839.90M,49.40B,75.60B,,,,4.529B,4.529B,,,,,,4.529B,5.443B,,5.443B,,,,1.430B,43.36B,4.766B,2.021B,55.00B,63.87B,,197.20M,9.331B,49.30M,282.20M,,,9.71B,,AOR,
2001-06,165.40M,10.13B,10.30B,,,17.42B,,27.72B,3.010B,,349.80M,349.80M,,40.00B,850.00M,49.40B,74.39B,,,,1.679B,1.679B,,,,,,1.679B,5.835B,,5.835B,,,,2.407B,41.91B,,1.972B,50.15B,62.73B,,197.20M,9.194B,47.60M,,,,9.681B,,AOR,
2001-03,181.90M,10.86B,11.05B,,,16.21B,,27.26B,3.018B,,359.80M,359.80M,,40.76B,351.10M,50.46B,73.52B,,,,1.511B,1.511B,,,,,,1.511B,5.887B,,5.887B,,,,3.037B,38.76B,,2.292B,47.68B,59.44B,,197.20M,10.64B,47.60M,,,,11.79B,,AOR,
2000-12,,,,,,,,,3.206B,,378.70M,378.70M,,,,64.86B,71.59B,,,,,,,,,,,,6.04B,,6.04B,,,,,,4.821B,2.208B,10.86B,58.41B,,0.00,10.19B,144.20M,,,,10.97B,,AOR,Restated
2000-09,216.30M,11.04B,11.26B,,,15.40B,,26.66B,3.200B,,397.00M,397.00M,,42.19B,743.20M,50.00B,73.45B,,,,2.571B,2.571B,,,,,,2.571B,6.026B,,6.026B,,,,1.839B,39.25B,,2.239B,47.11B,60.63B,,,,,,,,10.58B,,AOR,
2000-06,236.30M,11.03B,11.27B,,,15.27B,,26.54B,3.156B,,405.20M,405.20M,,38.63B,866.60M,47.84B,71.23B,,,,1.34B,1.34B,,,,,,1.34B,6.024B,,6.024B,,,,1.949B,39.41B,,2.163B,47.38B,59.10B,,104.50M,9.350B,150.70M,305.70M,,,9.964B,,AOR,
2000-03,222.00M,9.758B,9.980B,,,14.85B,,24.83B,3.15B,,414.20M,414.20M,,40.25B,770.30M,49.28B,72.43B,,,,1.217B,1.217B,,,,,,1.217B,5.724B,,5.724B,,,,3.103B,,,2.269B,8.828B,60.31B,,,8.854B,,,,,9.852B,,AOR,
1999-12,183.90M,7.318B,7.502B,,,13.54B,,21.04B,2.953B,,409.50M,409.50M,,39.27B,773.90M,47.93B,69.46B,,,,516.60M,516.60M,,,,,,516.60M,5.706B,,5.706B,,,,1.647B,39.27B,5.103B,2.350B,51.73B,57.14B,,104.50M,8.706B,150.70M,,,1.017B,9.978B,,AOR,Restated
1999-09,,,,,,,,,3.084B,,457.50M,457.50M,,,,65.39B,72.61B,,,,,,,,,,,,5.699B,,5.699B,,,,,,,2.430B,5.699B,60.28B,,,9.492B,,,,,9.906B,,,
1999-06,,,,,,,,,2.992B,,462.60M,462.60M,,,,66.16B,73.75B,,,,,,,,,,,,5.843B,,5.843B,,,,,40.39B,,2.531B,46.23B,60.89B,,,9.278B,,,,,10.33B,,,
1999-03,,,,,,,,,2.942B,,482.10M,482.10M,,,,65.76B,73.30B,,,,,,,,,,,,5.943B,,5.943B,,,,,41.11B,,2.607B,47.05B,60.07B,,,9.051B,,,,,10.63B,,,
1998-12,287.40M,7.792B,8.080B,,,13.09B,,21.17B,2.848B,,489.40M,489.40M,,41.58B,872.60M,49.11B,70.98B,,,,1.161B,1.161B,,,,,,1.161B,5.967B,,5.967B,,,,579.50M,40.40B,5.039B,2.477B,51.99B,58.30B,,112.60M,9.034B,162.30M,,,892.80M,10.20B,,AOR,Restated
1998-09,,,,,,,,,2.670B,,720.20M,720.20M,,,,63.26B,71.00B,,,,,,,,,,,,5.701B,,5.701B,,,,,40.48B,,2.503B,46.18B,57.99B,,,9.447B,,,,,10.51B,,,
1998-06,,,,,,,,,2.62B,,756.70M,756.70M,,,,63.38B,71.35B,,,,,,,,,,,,5.696B,,5.696B,,,,,40.62B,,2.553B,46.32B,58.99B,,,8.946B,,,,,9.803B,,,
1998-03,,,,,,,,,2.591B,,754.00M,754.00M,,,,62.42B,70.44B,,,,,,,,,,,,5.749B,,5.749B,,,,,40.41B,,2.457B,46.16B,58.46B,,,8.783B,,,,,9.529B,,,
1997-12,497.80M,8.754B,9.252B,,,13.75B,,23.01B,2.590B,,751.40M,751.40M,,40.64B,944.30M,46.83B,69.98B,,,,1.559B,1.559B,,,,,,1.559B,5.753B,,5.753B,,,,152.70M,39.83B,4.700B,2.464B,50.43B,57.85B,,115.00M,8.895B,165.80M,,,488.90M,9.665B,,AOR,Restated
1997-09,,,,,,,,,2.493B,,708.50M,708.50M,,,,62.29B,70.52B,,,,,,,,,,,,5.727B,,5.727B,,,,,40.63B,,2.266B,46.36B,58.95B,,,8.631B,,,,,9.302B,,,
1997-06,,,,,,,,,2.437B,,548.60M,548.60M,,,,61.34B,69.49B,,,,,,,,,,,,4.490B,,4.490B,,,,,40.97B,,2.050B,45.46B,58.57B,,,8.520B,,,,,8.868B,,,
1997-03,,,,,,,,,2.284B,,554.80M,554.80M,,,,61.60B,69.67B,,,,,,,,,,,,4.492B,,4.492B,,,,,40.99B,,1.857B,45.48B,59.19B,,,8.456B,,,,,8.615B,,,
1996-12,305.70M,8.305B,8.611B,,,13.43B,,22.04B,2.225B,,562.40M,562.40M,,38.92B,1.138B,44.56B,67.40B,,,,966.40M,966.40M,,,,,,966.40M,4.371B,,4.371B,,,,548.30M,39.98B,4.659B,1.881B,49.56B,56.79B,,115.00M,8.217B,165.80M,,,233.60M,8.731B,,AOR,Restated
1996-09,,,,,,,,,2.080B,,531.40M,531.40M,300.30M,,,59.29B,66.77B,,,,,,,,,,,,4.058B,,4.058B,,,,,41.07B,,1.759B,45.13B,56.64B,,,9.410B,,,,,8.377B,,,
1996-06,,,,,,,,,2.026B,,504.40M,504.40M,297.90M,,,58.86B,66.13B,,,,,,,,,,,,4.076B,,4.076B,,,,,41.10B,,1.722B,45.18B,56.41B,,,8.274B,,,,,7.993B,,,
1996-03,,,,,,,,,1.500B,,474.80M,474.80M,309.00M,,,60.70B,67.92B,,,,,,,,,,,,4.019B,,4.019B,,,,,40.93B,,1.301B,44.95B,58.59B,,,7.527B,,,,,8.031B,,,
1995-12,241.70M,7.137B,7.379B,,,13.66B,,21.04B,1.438B,,481.80M,481.80M,,38.82B,1.205B,48.92B,65.52B,,,,2.218B,2.218B,,,,,,2.218B,4.248B,,4.248B,,,,774.10M,40.80B,4.550B,1.339B,50.37B,55.94B,,117.80M,7.158B,170.00M,,,793.10M,8.239B,,AOR,Restated
1995-09,,,,,,,,,1.357B,,,,303.10M,,,61.42B,68.89B,,,,,,,,,,,,4.242B,,4.242B,,,,,41.13B,,1.117B,45.38B,60.49B,,,7.095B,,,,,7.280B,,,
1995-06,,,,,,,,,1.328B,,,,322.20M,,,59.54B,66.88B,,,,,,,,,,,,4.225B,,4.225B,,,,,40.86B,,1.077B,45.09B,58.84B,,,6.075B,,,,,6.963B,,,
1995-03,,,,,,,,,1.084B,,,,242.30M,,,42.92B,49.98B,,,,,,,,,,,,2.142B,,2.142B,,,,,29.12B,,945.20M,31.26B,42.99B,,,5.670B,,,,,6.043B,,,
1994-12,160.60M,8.438B,8.598B,,,8.068B,175.10M,16.84B,1.090B,,92.80M,92.80M,176.30M,30.73B,1.679B,39.23B,50.34B,,,,1.153B,1.153B,,,,,,1.153B,2.144B,,2.144B,,,,4.572B,28.93B,2.691B,844.80M,38.34B,44.09B,,59.00M,5.470B,219.10M,,,-342.70M,5.405B,,AOR,Restated
1994-09,,,,,,,,,1.091B,,,,290.10M,,,44.29B,51.27B,,,,,,,,,,,,2.147B,,2.147B,,,,,28.76B,,864.70M,30.91B,44.88B,,,5.620B,,,,,5.523B,,,
1994-06,,,,,,,,,1.063B,,,,293.50M,,,43.83B,50.70B,,,,,,,,,,,,2.138B,,2.138B,,,,,28.26B,,918.90M,30.40B,44.29B,,,5.501B,,,,,5.49B,,,
1994-03,,,,,,,,,1.045B,,,,291.70M,,,44.55B,51.66B,,,,,,,,,,,,2.169B,,2.169B,,,,,27.95B,,965.30M,30.12B,44.99B,,,,,,,,5.706B,,,
1993-12,155.70M,8.025B,8.181B,,,7.475B,,15.66B,1.038B,,,,173.61M,26.92B,1.074B,36.17B,45.85B,,,,914.90M,914.90M,,,,,,914.90M,2.196B,,2.196B,,,,613.25M,27.44B,2.556B,1.033B,32.80B,38.69B,,61.52M,5.477B,210.29M,,,-28.01M,6.127B,,,Restated
1993-09,,,,,,,,,1.022B,,,,,,,37.40B,45.32B,,,,,,,,,,,,1.713B,,1.713B,,,,,27.23B,,962.30M,28.94B,38.48B,,,5.592B,,,,,5.872B,,,
1993-06,,,,,,,,,1.042B,,,,,,,37.27B,44.96B,,,,,,,,,,,,1.706B,,1.706B,,,,,26.72B,,998.50M,28.43B,37.96B,,,5.592B,,,,,5.997B,,,
1993-03,,,,,,,,,1.051B,,,,,,,35.68B,44.20B,,,,,,,,,,,,1.564B,609.10M,2.173B,,,,,26.35B,,986.10M,28.52B,37.37B,,,5.592B,,,,,5.844B,,,
1992-12,,,,,,,,,1.002B,,,,330.10M,,,32.35B,40.49B,,,,,,,,,,,,1.760B,,1.760B,,,,,17.85B,2.27B,933.80M,21.88B,34.03B,,,5.267B,,,,,5.527B,,,
1992-09,,,,,,,,,985.30M,,,,,,,31.90B,39.68B,,,,,,,,,,,,1.754B,,1.754B,,,,,21.95B,,1.033B,23.70B,32.63B,,,6.016B,,,,,6.013B,,,
1992-06,,,,,,,,,1.010B,,,,,,,31.19B,38.94B,,,,,,,,,,,,1.748B,,1.748B,,,,,21.43B,,1.031B,23.18B,31.99B,,,5.920B,,,,,5.913B,,,
1992-03,,,,,,,,,1.012B,,,,,,,30.91B,38.78B,,,,,,,,,,,,1.742B,,1.742B,,,,,21.04B,,1.006B,22.78B,31.98B,,,5.664B,,,,,5.795B,,,
1991-12,,,,,,,,,593.80M,,,,,,,31.37B,39.20B,,,,,,2.00M,2.00M,2.00M,,,2.00M,1.945B,,1.945B,,,,,15.42B,2.352B,991.10M,19.72B,32.54B,,,5.464B,,,,,5.667B,,,
1991-09,,,,,,,,,594.00M,,,,,,,29.94B,37.69B,,,,,,2.00M,2.00M,2.00M,,,2.00M,2.400B,,2.400B,,,,,20.47B,,948.40M,22.87B,31.30B,,,5.440B,,,,,5.448B,,,
1991-06,,,,,,,,,597.20M,,,,,,,31.54B,39.34B,,,,,,2.00M,2.00M,2.00M,,,2.00M,2.418B,,2.418B,,,,,20.10B,,930.90M,22.51B,33.01B,,,5.252B,,,,,5.399B,,,
1991-03,,,,,,,,,598.80M,,,,,,,31.03B,38.38B,,,,,,175.70M,175.70M,175.70M,,,175.70M,2.433B,,2.433B,,,,,19.59B,,911.30M,22.03B,32.22B,,,4.979B,,,,,5.248B,,,
1990-12,,,,,,,,,606.50M,,,,,,,27.93B,34.74B,,,,,,401.40M,401.40M,401.40M,,,401.40M,2.247B,,2.247B,,,,,13.97B,2.406B,887.20M,18.62B,28.81B,,,4.860B,,,,,5.041B,,,
1990-09,,,,,,,,,599.70M,,,,,,,28.89B,35.65B,,,,,,220.40M,220.40M,220.40M,,,220.40M,2.252B,,2.252B,,,,,18.62B,,851.20M,20.87B,29.82B,,,5.210B,,,,,4.976B,,,
1990-06,,,,,,,,,581.40M,,,,,,,28.39B,34.73B,,,,,,202.70M,202.70M,202.70M,,,202.70M,1.842B,,1.842B,,,,,18.11B,,858.90M,19.95B,28.82B,,,4.958B,,,,,5.059B,,,
1990-03,,,,,,,,,587.30M,,,,,,,28.43B,34.56B,,,,,,202.70M,202.70M,202.70M,,,202.70M,2.260B,,2.260B,,,,,17.53B,,845.60M,19.79B,28.83B,,,44.78B,,,,,4.885B,,,
1989-12,,,,,,,,,607.40M,,,,,,,26.68B,32.45B,,,,,,202.30M,202.30M,202.30M,,,202.30M,2.233B,,2.233B,,,,,12.08B,2.132B,835.90M,16.44B,26.80B,,,4.578B,,,,,4.810B,,,
1989-09,,,,,,,,,576.90M,,,,,,,25.99B,31.82B,,,,,,,,,,,,1.712B,,1.712B,,,,,16.24B,,831.20M,17.95B,26.33B,,,4.406B,,,,,4.652B,,,
1988-12,,,,,,,,,,,,,,,,,25.83B,,,,,,,,,,,,1.411B,,1.411B,,,,,,,,1.411B,21.80B,,,3.824B,,,,,4.028B,,,
1987-12,,,,,,,,,,,,,,,,,22.21B,,,,,,,,,,,,1.453B,,1.453B,,,,,,,,1.453B,18.96B,,,3.317B,,,,,3.252B,,,
1986-12,,,,,,,,,,,,,,,,,19.02B,,,,,,,,,,,,1.275B,,1.275B,,,,,,,,1.275B,16.11B,,,2.699B,,,,,2.917B,,,
1985-12,,,,,,,,,,,,,,,,,16.12B,,,,,,,,,,,,790.90M,,790.90M,,,,,,,,790.90M,13.68B,,,2.235B,,,,,2.442B,,,
1984-12,,,,,,,,,,,,,,,,,12.56B,,,,,,,,,,,,403.80M,,403.80M,,,,,,,,403.80M,10.55B,,,1.891B,,,,,2.007B,,,
